activator_excavator v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 323.2 MB
activator_excavator v1 36 games, 25103 moves, e=0.975, loss: 12.0, -, 37.5% elo% vs. v0, avg. reward: 0.373, 2.019 sec/game, 0.8 min. total, 374.1 MB
activator_excavator v1 37 games, 25806 moves, e=0.974, loss: 10.6, -, 35.9% elo% vs. v0, avg. reward: 0.366, 2.026 sec/game, 0.8 min. total, 374.3 MB
activator_excavator v1 38 games, 26624 moves, e=0.974, loss: 8.5, -, 34.4% elo% vs. v0, avg. reward: 0.359, 2.047 sec/game, 0.8 min. total, 374.6 MB
activator_excavator v1 39 games, 27405 moves, e=0.973, loss: 8.5, -, 33.0% elo% vs. v0, avg. reward: 0.359, 2.051 sec/game, 0.9 min. total, 374.8 MB
activator_excavator v1 40 games, 28062 moves, e=0.972, loss: 6.3, -, 31.7% elo% vs. v0, avg. reward: 0.352, 2.079 sec/game, 0.9 min. total, 374.7 MB
activator_excavator v1 41 games, 28778 moves, e=0.972, loss: 5.3, -, 30.4% elo% vs. v0, avg. reward: 0.346, 2.067 sec/game, 0.9 min. total, 374.9 MB
activator_excavator v1 42 games, 29526 moves, e=0.971, loss: 4.0, +, 33.2% elo% vs. v0, avg. reward: 0.381, 2.088 sec/game, 1.0 min. total, 375.0 MB
activator_excavator v1 43 games, 30215 moves, e=0.970, loss: 3.0, -, 31.9% elo% vs. v0, avg. reward: 0.396, 2.123 sec/game, 1.0 min. total, 375.1 MB
activator_excavator v1 44 games, 30900 moves, e=0.969, loss: 5.7, -, 30.6% elo% vs. v0, avg. reward: 0.396, 2.108 sec/game, 1.0 min. total, 375.1 MB
activator_excavator v1 45 games, 31562 moves, e=0.969, loss: 10.6, -, 29.4% elo% vs. v0, avg. reward: 0.388, 2.105 sec/game, 1.1 min. total, 375.9 MB
activator_excavator v1 46 games, 32354 moves, e=0.968, loss: 10.7, -, 28.3% elo% vs. v0, avg. reward: 0.407, 2.125 sec/game, 1.1 min. total, 377.5 MB
activator_excavator v1 47 games, 33011 moves, e=0.967, loss: 16.0, -, 27.3% elo% vs. v0, avg. reward: 0.402, 2.142 sec/game, 1.1 min. total, 377.5 MB
activator_excavator v1 48 games, 33679 moves, e=0.967, loss: 18.2, -, 26.3% elo% vs. v0, avg. reward: 0.394, 2.179 sec/game, 1.2 min. total, 377.8 MB
activator_excavator v1 49 games, 34383 moves, e=0.966, loss: 14.9, +, 29.0% elo% vs. v0, avg. reward: 0.401, 2.149 sec/game, 1.2 min. total, 377.6 MB
activator_excavator v1 50 games, 35154 moves, e=0.965, loss: 14.8, +, 31.8% elo% vs. v0, avg. reward: 0.396, 2.127 sec/game, 1.2 min. total, 377.9 MB
activator_excavator v1 51 games, 35867 moves, e=0.964, loss: 13.7, +, 34.5% elo% vs. v0, avg. reward: 0.438, 2.125 sec/game, 1.3 min. total, 378.0 MB
activator_excavator v1 52 games, 36500 moves, e=0.964, loss: 20.8, -, 33.1% elo% vs. v0, avg. reward: 0.484, 2.084 sec/game, 1.3 min. total, 377.9 MB
activator_excavator v1 53 games, 37140 moves, e=0.963, loss: 19.4, -, 31.8% elo% vs. v0, avg. reward: 0.483, 2.081 sec/game, 1.3 min. total, 378.0 MB
activator_excavator v1 54 games, 37835 moves, e=0.963, loss: 22.4, -, 30.5% elo% vs. v0, avg. reward: 0.474, 2.021 sec/game, 1.4 min. total, 378.1 MB
activator_excavator v1 55 games, 38503 moves, e=0.962, loss: 27.9, ., 31.3% elo% vs. v0, avg. reward: 0.466, 1.994 sec/game, 1.4 min. total, 379.3 MB
