crept_manicure v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
crept_manicure v5 151 games, 110683 moves, e=0.890, loss: 1.4, -, 10.6% elo% vs. simple_bot, avg. reward: 0.182, 2.187 sec/game, 4.5 min. total, 518.4 MB
crept_manicure v5 152 games, 111474 moves, e=0.890, loss: 1.5, -, 10.4% elo% vs. simple_bot, avg. reward: 0.182, 2.207 sec/game, 4.5 min. total, 518.4 MB
crept_manicure v5 153 games, 112315 moves, e=0.889, loss: 1.5, -, 10.3% elo% vs. simple_bot, avg. reward: 0.182, 2.233 sec/game, 4.5 min. total, 520.4 MB
crept_manicure v5 154 games, 113131 moves, e=0.888, loss: 1.5, -, 10.1% elo% vs. simple_bot, avg. reward: 0.183, 2.273 sec/game, 4.6 min. total, 518.7 MB
crept_manicure v5 155 games, 113831 moves, e=0.887, loss: 1.5, -, 9.9% elo% vs. simple_bot, avg. reward: 0.183, 2.293 sec/game, 4.6 min. total, 519.0 MB
crept_manicure v5 156 games, 114568 moves, e=0.887, loss: 1.5, -, 9.8% elo% vs. simple_bot, avg. reward: 0.183, 2.290 sec/game, 4.7 min. total, 519.1 MB
crept_manicure v5 157 games, 115414 moves, e=0.886, loss: 1.6, -, 9.6% elo% vs. simple_bot, avg. reward: 0.185, 2.322 sec/game, 4.7 min. total, 519.2 MB
crept_manicure v5 158 games, 116282 moves, e=0.885, loss: 1.7, -, 9.5% elo% vs. simple_bot, avg. reward: 0.185, 2.366 sec/game, 4.8 min. total, 519.2 MB
crept_manicure v5 159 games, 117022 moves, e=0.884, loss: 1.6, -, 9.3% elo% vs. simple_bot, avg. reward: 0.184, 2.402 sec/game, 4.8 min. total, 519.1 MB
crept_manicure v5 160 games, 117890 moves, e=0.883, loss: 1.6, -, 9.2% elo% vs. simple_bot, avg. reward: 0.185, 2.453 sec/game, 4.9 min. total, 519.3 MB
crept_manicure v5 161 games, 118746 moves, e=0.882, loss: 1.6, -, 9.0% elo% vs. simple_bot, avg. reward: 0.186, 2.504 sec/game, 4.9 min. total, 519.3 MB
crept_manicure v5 162 games, 119538 moves, e=0.882, loss: 1.7, -, 8.9% elo% vs. simple_bot, avg. reward: 0.184, 2.573 sec/game, 5.0 min. total, 519.4 MB
crept_manicure v5 163 games, 120350 moves, e=0.881, loss: 1.6, -, 8.8% elo% vs. simple_bot, avg. reward: 0.185, 2.597 sec/game, 5.0 min. total, 519.6 MB
crept_manicure v5 164 games, 121216 moves, e=0.880, loss: 1.6, -, 8.6% elo% vs. simple_bot, avg. reward: 0.184, 2.636 sec/game, 5.1 min. total, 520.4 MB
crept_manicure v5 165 games, 121988 moves, e=0.879, loss: 1.6, -, 8.5% elo% vs. simple_bot, avg. reward: 0.186, 2.629 sec/game, 5.1 min. total, 520.7 MB
crept_manicure v5 166 games, 122772 moves, e=0.878, loss: 1.6, -, 8.4% elo% vs. simple_bot, avg. reward: 0.189, 2.656 sec/game, 5.2 min. total, 520.8 MB
crept_manicure v5 167 games, 123558 moves, e=0.878, loss: 1.6, -, 8.3% elo% vs. simple_bot, avg. reward: 0.189, 2.685 sec/game, 5.2 min. total, 520.7 MB
crept_manicure v5 168 games, 124497 moves, e=0.877, loss: 1.8, -, 8.1% elo% vs. simple_bot, avg. reward: 0.190, 2.731 sec/game, 5.3 min. total, 520.6 MB
crept_manicure v5 169 games, 125393 moves, e=0.876, loss: 1.9, -, 8.0% elo% vs. simple_bot, avg. reward: 0.190, 2.779 sec/game, 5.3 min. total, 520.6 MB
crept_manicure v5 170 games, 126335 moves, e=0.875, loss: 1.9, -, 7.9% elo% vs. simple_bot, avg. reward: 0.191, 2.779 sec/game, 5.3 min. total, 520.4 MB
crept_manicure v5 171 games, 127183 moves, e=0.874, loss: 1.9, -, 7.8% elo% vs. simple_bot, avg. reward: 0.192, 2.835 sec/game, 5.4 min. total, 520.6 MB
crept_manicure v5 172 games, 128111 moves, e=0.873, loss: 1.9, -, 7.7% elo% vs. simple_bot, avg. reward: 0.194, 2.893 sec/game, 5.5 min. total, 522.1 MB
crept_manicure v5 173 games, 128906 moves, e=0.872, loss: 1.9, -, 7.6% elo% vs. simple_bot, avg. reward: 0.193, 2.894 sec/game, 5.5 min. total, 522.6 MB
crept_manicure v5 174 games, 129709 moves, e=0.872, loss: 1.9, -, 7.5% elo% vs. simple_bot, avg. reward: 0.193, 2.857 sec/game, 5.5 min. total, 522.7 MB
crept_manicure v5 175 games, 130454 moves, e=0.871, loss: 1.9, -, 7.4% elo% vs. simple_bot, avg. reward: 0.192, 2.839 sec/game, 5.6 min. total, 522.9 MB
crept_manicure v5 176 games, 131383 moves, e=0.870, loss: 1.7, -, 7.3% elo% vs. simple_bot, avg. reward: 0.192, 2.856 sec/game, 5.6 min. total, 522.7 MB
crept_manicure v5 177 games, 132154 moves, e=0.869, loss: 1.7, -, 7.2% elo% vs. simple_bot, avg. reward: 0.192, 2.843 sec/game, 5.7 min. total, 522.8 MB
crept_manicure v5 178 games, 132866 moves, e=0.868, loss: 1.7, -, 7.2% elo% vs. simple_bot, avg. reward: 0.193, 2.799 sec/game, 5.7 min. total, 522.8 MB
crept_manicure v5 179 games, 133708 moves, e=0.868, loss: 1.7, -, 7.1% elo% vs. simple_bot, avg. reward: 0.194, 2.794 sec/game, 5.8 min. total, 523.0 MB
crept_manicure v5 180 games, 134543 moves, e=0.867, loss: 1.8, -, 7.0% elo% vs. simple_bot, avg. reward: 0.195, 2.792 sec/game, 5.8 min. total, 523.9 MB
crept_manicure v5 181 games, 135418 moves, e=0.866, loss: 1.7, -, 6.9% elo% vs. simple_bot, avg. reward: 0.197, 2.764 sec/game, 5.8 min. total, 524.3 MB
crept_manicure v5 182 games, 136305 moves, e=0.865, loss: 1.7, -, 6.8% elo% vs. simple_bot, avg. reward: 0.197, 2.749 sec/game, 5.9 min. total, 524.1 MB
crept_manicure v5 183 games, 137175 moves, e=0.864, loss: 1.8, -, 6.7% elo% vs. simple_bot, avg. reward: 0.199, 2.767 sec/game, 5.9 min. total, 524.1 MB
crept_manicure v5 184 games, 138005 moves, e=0.863, loss: 1.8, -, 6.7% elo% vs. simple_bot, avg. reward: 0.201, 2.780 sec/game, 6.0 min. total, 524.2 MB
crept_manicure v5 185 games, 138782 moves, e=0.863, loss: 1.8, -, 6.6% elo% vs. simple_bot, avg. reward: 0.203, 2.778 sec/game, 6.0 min. total, 524.5 MB
crept_manicure v5 186 games, 139592 moves, e=0.862, loss: 1.9, -, 6.5% elo% vs. simple_bot, avg. reward: 0.203, 2.755 sec/game, 6.1 min. total, 524.9 MB
crept_manicure v5 187 games, 140358 moves, e=0.861, loss: 1.9, -, 6.4% elo% vs. simple_bot, avg. reward: 0.203, 2.733 sec/game, 6.1 min. total, 524.7 MB
crept_manicure v5 188 games, 141171 moves, e=0.860, loss: 2.0, -, 6.4% elo% vs. simple_bot, avg. reward: 0.202, 2.693 sec/game, 6.2 min. total, 525.6 MB
crept_manicure v5 189 games, 141938 moves, e=0.859, loss: 2.1, -, 6.3% elo% vs. simple_bot, avg. reward: 0.201, 2.674 sec/game, 6.2 min. total, 527.1 MB
crept_manicure v5 190 games, 142712 moves, e=0.859, loss: 2.2, -, 6.2% elo% vs. simple_bot, avg. reward: 0.201, 2.658 sec/game, 6.2 min. total, 527.3 MB
crept_manicure v5 191 games, 143617 moves, e=0.858, loss: 2.3, -, 6.2% elo% vs. simple_bot, avg. reward: 0.200, 2.655 sec/game, 6.3 min. total, 527.3 MB
crept_manicure v5 192 games, 144438 moves, e=0.857, loss: 2.3, -, 6.1% elo% vs. simple_bot, avg. reward: 0.203, 2.603 sec/game, 6.3 min. total, 527.5 MB
crept_manicure v5 193 games, 145236 moves, e=0.856, loss: 2.4, -, 6.0% elo% vs. simple_bot, avg. reward: 0.204, 2.587 sec/game, 6.4 min. total, 527.3 MB
crept_manicure v5 194 games, 146134 moves, e=0.855, loss: 2.5, -, 6.0% elo% vs. simple_bot, avg. reward: 0.205, 2.587 sec/game, 6.4 min. total, 527.2 MB
crept_manicure v5 195 games, 146901 moves, e=0.855, loss: 2.4, -, 5.9% elo% vs. simple_bot, avg. reward: 0.205, 2.588 sec/game, 6.4 min. total, 527.2 MB
crept_manicure v5 196 games, 147759 moves, e=0.854, loss: 2.6, -, 5.8% elo% vs. simple_bot, avg. reward: 0.204, 2.573 sec/game, 6.5 min. total, 527.9 MB
crept_manicure v5 197 games, 148560 moves, e=0.853, loss: 2.5, -, 5.8% elo% vs. simple_bot, avg. reward: 0.203, 2.557 sec/game, 6.5 min. total, 528.1 MB
crept_manicure v5 198 games, 149464 moves, e=0.852, loss: 2.5, -, 5.7% elo% vs. simple_bot, avg. reward: 0.202, 2.587 sec/game, 6.6 min. total, 528.4 MB
crept_manicure v5 199 games, 150407 moves, e=0.851, loss: 2.6, -, 5.7% elo% vs. simple_bot, avg. reward: 0.203, 2.595 sec/game, 6.6 min. total, 528.1 MB
crept_manicure v5 200 games, 151238 moves, e=0.850, loss: 2.4, -, 5.6% elo% vs. simple_bot, avg. reward: 0.204, 2.555 sec/game, 6.7 min. total, 528.1 MB
crept_manicure v6 201 games, 152135 moves, e=0.849, loss: 2.3, -, 47.7% elo% vs. simple_bot, avg. reward: 0.206, 2.559 sec/game, 6.7 min. total, 528.1 MB
crept_manicure v6 202 games, 152894 moves, e=0.849, loss: 2.1, -, 45.5% elo% vs. simple_bot, avg. reward: 0.208, 2.526 sec/game, 6.7 min. total, 528.4 MB
crept_manicure v6 203 games, 153722 moves, e=0.848, loss: 2.1, -, 43.4% elo% vs. simple_bot, avg. reward: 0.209, 2.497 sec/game, 6.8 min. total, 528.4 MB
crept_manicure v6 204 games, 154550 moves, e=0.847, loss: 2.1, -, 41.5% elo% vs. simple_bot, avg. reward: 0.210, 2.471 sec/game, 6.8 min. total, 528.5 MB
crept_manicure v6 205 games, 155381 moves, e=0.846, loss: 2.1, -, 39.6% elo% vs. simple_bot, avg. reward: 0.211, 2.470 sec/game, 6.9 min. total, 529.2 MB
crept_manicure v6 206 games, 156311 moves, e=0.845, loss: 2.0, -, 37.9% elo% vs. simple_bot, avg. reward: 0.208, 2.505 sec/game, 6.9 min. total, 530.5 MB
crept_manicure v6 207 games, 157098 moves, e=0.844, loss: 1.9, -, 36.3% elo% vs. simple_bot, avg. reward: 0.211, 2.506 sec/game, 7.0 min. total, 530.4 MB
crept_manicure v6 208 games, 157951 moves, e=0.844, loss: 1.9, -, 34.8% elo% vs. simple_bot, avg. reward: 0.213, 2.507 sec/game, 7.0 min. total, 530.4 MB
crept_manicure v6 209 games, 158887 moves, e=0.843, loss: 2.1, -, 33.3% elo% vs. simple_bot, avg. reward: 0.214, 2.538 sec/game, 7.0 min. total, 530.7 MB
crept_manicure v6 210 games, 159726 moves, e=0.842, loss: 2.1, -, 32.0% elo% vs. simple_bot, avg. reward: 0.213, 2.536 sec/game, 7.1 min. total, 530.6 MB
crept_manicure v6 211 games, 160560 moves, e=0.841, loss: 2.1, -, 30.7% elo% vs. simple_bot, avg. reward: 0.213, 2.519 sec/game, 7.1 min. total, 530.9 MB
crept_manicure v6 212 games, 161481 moves, e=0.840, loss: 2.2, -, 29.5% elo% vs. simple_bot, avg. reward: 0.213, 2.536 sec/game, 7.2 min. total, 531.0 MB
crept_manicure v6 213 games, 162277 moves, e=0.839, loss: 2.2, -, 28.4% elo% vs. simple_bot, avg. reward: 0.214, 2.534 sec/game, 7.2 min. total, 532.0 MB
crept_manicure v6 214 games, 163031 moves, e=0.839, loss: 2.1, -, 27.3% elo% vs. simple_bot, avg. reward: 0.216, 2.524 sec/game, 7.2 min. total, 533.5 MB
crept_manicure v6 215 games, 164091 moves, e=0.838, loss: 2.1, -, 26.4% elo% vs. simple_bot, avg. reward: 0.218, 2.577 sec/game, 7.3 min. total, 533.7 MB
crept_manicure v6 216 games, 165014 moves, e=0.837, loss: 2.2, -, 25.4% elo% vs. simple_bot, avg. reward: 0.222, 2.603 sec/game, 7.4 min. total, 533.6 MB
crept_manicure v6 217 games, 165909 moves, e=0.836, loss: 2.3, -, 24.5% elo% vs. simple_bot, avg. reward: 0.223, 2.626 sec/game, 7.4 min. total, 533.6 MB
crept_manicure v6 218 games, 166802 moves, e=0.835, loss: 2.3, -, 23.7% elo% vs. simple_bot, avg. reward: 0.221, 2.620 sec/game, 7.4 min. total, 533.8 MB
crept_manicure v6 219 games, 167722 moves, e=0.834, loss: 2.4, -, 22.9% elo% vs. simple_bot, avg. reward: 0.223, 2.609 sec/game, 7.5 min. total, 533.9 MB
crept_manicure v6 220 games, 168522 moves, e=0.833, loss: 2.4, -, 22.2% elo% vs. simple_bot, avg. reward: 0.226, 2.645 sec/game, 7.5 min. total, 533.9 MB
crept_manicure v6 221 games, 169432 moves, e=0.832, loss: 2.4, -, 21.5% elo% vs. simple_bot, avg. reward: 0.228, 2.644 sec/game, 7.6 min. total, 534.6 MB
crept_manicure v6 222 games, 170336 moves, e=0.831, loss: 2.5, -, 20.8% elo% vs. simple_bot, avg. reward: 0.230, 2.665 sec/game, 7.6 min. total, 534.6 MB
crept_manicure v6 223 games, 171153 moves, e=0.831, loss: 2.4, -, 20.2% elo% vs. simple_bot, avg. reward: 0.231, 2.678 sec/game, 7.7 min. total, 535.0 MB
crept_manicure v6 224 games, 172016 moves, e=0.830, loss: 2.5, -, 19.6% elo% vs. simple_bot, avg. reward: 0.233, 2.668 sec/game, 7.7 min. total, 534.9 MB
crept_manicure v6 225 games, 172934 moves, e=0.829, loss: 2.6, -, 19.1% elo% vs. simple_bot, avg. reward: 0.236, 2.698 sec/game, 7.8 min. total, 535.0 MB
crept_manicure v6 226 games, 173831 moves, e=0.828, loss: 2.7, -, 18.5% elo% vs. simple_bot, avg. reward: 0.238, 2.680 sec/game, 7.8 min. total, 535.2 MB
crept_manicure v6 227 games, 174724 moves, e=0.827, loss: 2.6, -, 18.0% elo% vs. simple_bot, avg. reward: 0.240, 2.697 sec/game, 7.8 min. total, 535.2 MB
crept_manicure v6 228 games, 175543 moves, e=0.826, loss: 2.6, -, 17.5% elo% vs. simple_bot, avg. reward: 0.239, 2.696 sec/game, 7.9 min. total, 535.1 MB
crept_manicure v6 229 games, 176496 moves, e=0.825, loss: 2.6, -, 17.1% elo% vs. simple_bot, avg. reward: 0.240, 2.679 sec/game, 7.9 min. total, 535.6 MB
crept_manicure v6 230 games, 177416 moves, e=0.824, loss: 2.6, -, 16.6% elo% vs. simple_bot, avg. reward: 0.242, 2.708 sec/game, 8.0 min. total, 535.8 MB
crept_manicure v6 231 games, 178507 moves, e=0.823, loss: 2.7, -, 16.2% elo% vs. simple_bot, avg. reward: 0.242, 2.725 sec/game, 8.0 min. total, 536.8 MB
crept_manicure v6 232 games, 179481 moves, e=0.822, loss: 2.7, -, 15.8% elo% vs. simple_bot, avg. reward: 0.244, 2.740 sec/game, 8.1 min. total, 538.4 MB
crept_manicure v6 233 games, 180531 moves, e=0.821, loss: 2.7, -, 15.4% elo% vs. simple_bot, avg. reward: 0.246, 2.785 sec/game, 8.1 min. total, 538.2 MB
crept_manicure v6 234 games, 181569 moves, e=0.820, loss: 2.6, -, 15.1% elo% vs. simple_bot, avg. reward: 0.246, 2.839 sec/game, 8.2 min. total, 538.2 MB
crept_manicure v6 235 games, 182555 moves, e=0.819, loss: 2.7, -, 14.7% elo% vs. simple_bot, avg. reward: 0.249, 2.828 sec/game, 8.2 min. total, 538.1 MB
crept_manicure v6 236 games, 183387 moves, e=0.818, loss: 2.6, -, 14.4% elo% vs. simple_bot, avg. reward: 0.248, 2.793 sec/game, 8.3 min. total, 538.3 MB
crept_manicure v6 237 games, 184399 moves, e=0.817, loss: 2.6, -, 14.0% elo% vs. simple_bot, avg. reward: 0.251, 2.816 sec/game, 8.3 min. total, 538.3 MB
crept_manicure v6 238 games, 185317 moves, e=0.817, loss: 2.5, -, 13.7% elo% vs. simple_bot, avg. reward: 0.253, 2.827 sec/game, 8.4 min. total, 538.4 MB
crept_manicure v6 239 games, 186183 moves, e=0.816, loss: 2.5, -, 13.4% elo% vs. simple_bot, avg. reward: 0.253, 2.850 sec/game, 8.4 min. total, 538.4 MB
crept_manicure v6 240 games, 187044 moves, e=0.815, loss: 2.6, -, 13.1% elo% vs. simple_bot, avg. reward: 0.253, 2.824 sec/game, 8.5 min. total, 538.5 MB
crept_manicure v6 241 games, 187951 moves, e=0.814, loss: 2.6, -, 12.9% elo% vs. simple_bot, avg. reward: 0.256, 2.826 sec/game, 8.5 min. total, 539.9 MB
crept_manicure v6 242 games, 188851 moves, e=0.813, loss: 2.7, -, 12.6% elo% vs. simple_bot, avg. reward: 0.257, 2.829 sec/game, 8.6 min. total, 539.5 MB
crept_manicure v6 243 games, 189838 moves, e=0.812, loss: 2.8, -, 12.4% elo% vs. simple_bot, avg. reward: 0.259, 2.843 sec/game, 8.6 min. total, 539.5 MB
crept_manicure v6 244 games, 190689 moves, e=0.811, loss: 2.9, -, 12.1% elo% vs. simple_bot, avg. reward: 0.261, 2.833 sec/game, 8.7 min. total, 539.8 MB
crept_manicure v6 245 games, 191567 moves, e=0.810, loss: 2.9, -, 11.9% elo% vs. simple_bot, avg. reward: 0.260, 2.819 sec/game, 8.7 min. total, 539.9 MB
crept_manicure v6 246 games, 192488 moves, e=0.809, loss: 2.8, -, 11.7% elo% vs. simple_bot, avg. reward: 0.263, 2.817 sec/game, 8.7 min. total, 540.0 MB
crept_manicure v6 247 games, 193240 moves, e=0.809, loss: 2.9, -, 11.4% elo% vs. simple_bot, avg. reward: 0.264, 2.798 sec/game, 8.8 min. total, 539.9 MB
crept_manicure v6 248 games, 194291 moves, e=0.808, loss: 2.9, -, 11.2% elo% vs. simple_bot, avg. reward: 0.268, 2.833 sec/game, 8.8 min. total, 540.2 MB
crept_manicure v6 249 games, 195036 moves, e=0.807, loss: 2.9, -, 11.0% elo% vs. simple_bot, avg. reward: 0.268, 2.814 sec/game, 8.9 min. total, 541.3 MB
crept_manicure v6 250 games, 195827 moves, e=0.806, loss: 3.0, -, 10.8% elo% vs. simple_bot, avg. reward: 0.269, 2.782 sec/game, 8.9 min. total, 542.0 MB
crept_manicure v6 251 games, 196704 moves, e=0.805, loss: 3.4, -, 10.6% elo% vs. simple_bot, avg. reward: 0.272, 2.762 sec/game, 9.0 min. total, 541.9 MB
crept_manicure v6 252 games, 197350 moves, e=0.805, loss: 3.4, -, 10.4% elo% vs. simple_bot, avg. reward: 0.273, 2.708 sec/game, 9.0 min. total, 542.1 MB
crept_manicure v6 253 games, 198210 moves, e=0.804, loss: 3.5, -, 10.3% elo% vs. simple_bot, avg. reward: 0.275, 2.672 sec/game, 9.0 min. total, 542.1 MB
crept_manicure v6 254 games, 199118 moves, e=0.803, loss: 3.4, -, 10.1% elo% vs. simple_bot, avg. reward: 0.278, 2.630 sec/game, 9.1 min. total, 542.2 MB
crept_manicure v6 255 games, 199899 moves, e=0.802, loss: 3.4, -, 9.9% elo% vs. simple_bot, avg. reward: 0.278, 2.612 sec/game, 9.1 min. total, 542.6 MB
crept_manicure v6 256 games, 200808 moves, e=0.801, loss: 3.3, -, 9.8% elo% vs. simple_bot, avg. reward: 0.280, 2.623 sec/game, 9.2 min. total, 542.7 MB
crept_manicure v6 257 games, 201621 moves, e=0.800, loss: 3.4, -, 9.6% elo% vs. simple_bot, avg. reward: 0.279, 2.596 sec/game, 9.2 min. total, 543.5 MB
crept_manicure v6 258 games, 202485 moves, e=0.800, loss: 3.3, -, 9.5% elo% vs. simple_bot, avg. reward: 0.278, 2.562 sec/game, 9.2 min. total, 545.1 MB
crept_manicure v6 259 games, 203307 moves, e=0.799, loss: 3.3, -, 9.3% elo% vs. simple_bot, avg. reward: 0.281, 2.535 sec/game, 9.3 min. total, 544.9 MB
crept_manicure v6 260 games, 204162 moves, e=0.798, loss: 3.2, -, 9.2% elo% vs. simple_bot, avg. reward: 0.282, 2.535 sec/game, 9.3 min. total, 544.7 MB
crept_manicure v6 261 games, 205114 moves, e=0.797, loss: 3.3, -, 9.0% elo% vs. simple_bot, avg. reward: 0.285, 2.528 sec/game, 9.4 min. total, 544.7 MB
crept_manicure v6 262 games, 206108 moves, e=0.796, loss: 3.3, -, 8.9% elo% vs. simple_bot, avg. reward: 0.287, 2.586 sec/game, 9.4 min. total, 544.8 MB
crept_manicure v6 263 games, 206898 moves, e=0.795, loss: 3.4, -, 8.8% elo% vs. simple_bot, avg. reward: 0.289, 2.558 sec/game, 9.5 min. total, 544.8 MB
crept_manicure v6 264 games, 207810 moves, e=0.794, loss: 3.3, -, 8.6% elo% vs. simple_bot, avg. reward: 0.290, 2.585 sec/game, 9.5 min. total, 544.9 MB
crept_manicure v6 265 games, 208930 moves, e=0.793, loss: 3.7, -, 8.5% elo% vs. simple_bot, avg. reward: 0.292, 2.623 sec/game, 9.6 min. total, 544.9 MB
crept_manicure v6 266 games, 209835 moves, e=0.792, loss: 3.4, -, 8.4% elo% vs. simple_bot, avg. reward: 0.292, 2.630 sec/game, 9.6 min. total, 545.3 MB
crept_manicure v6 267 games, 210814 moves, e=0.791, loss: 3.7, -, 8.3% elo% vs. simple_bot, avg. reward: 0.294, 2.652 sec/game, 9.7 min. total, 546.7 MB
crept_manicure v6 268 games, 211799 moves, e=0.790, loss: 3.7, -, 8.1% elo% vs. simple_bot, avg. reward: 0.296, 2.654 sec/game, 9.7 min. total, 546.8 MB
crept_manicure v6 269 games, 212776 moves, e=0.789, loss: 3.7, -, 8.0% elo% vs. simple_bot, avg. reward: 0.297, 2.684 sec/game, 9.8 min. total, 547.0 MB
crept_manicure v6 270 games, 213796 moves, e=0.788, loss: 3.8, -, 7.9% elo% vs. simple_bot, avg. reward: 0.300, 2.722 sec/game, 9.8 min. total, 547.2 MB
crept_manicure v6 271 games, 214812 moves, e=0.787, loss: 3.9, -, 7.8% elo% vs. simple_bot, avg. reward: 0.300, 2.744 sec/game, 9.9 min. total, 547.1 MB
crept_manicure v6 272 games, 215571 moves, e=0.787, loss: 3.9, -, 7.7% elo% vs. simple_bot, avg. reward: 0.302, 2.765 sec/game, 9.9 min. total, 547.1 MB
crept_manicure v6 273 games, 216587 moves, e=0.786, loss: 3.7, -, 7.6% elo% vs. simple_bot, avg. reward: 0.304, 2.788 sec/game, 10.0 min. total, 547.1 MB
crept_manicure v6 274 games, 217384 moves, e=0.785, loss: 3.8, -, 7.5% elo% vs. simple_bot, avg. reward: 0.307, 2.770 sec/game, 10.0 min. total, 548.8 MB
crept_manicure v6 275 games, 218368 moves, e=0.784, loss: 4.0, -, 7.4% elo% vs. simple_bot, avg. reward: 0.311, 2.783 sec/game, 10.0 min. total, 550.1 MB
crept_manicure v6 276 games, 219271 moves, e=0.783, loss: 4.0, -, 7.3% elo% vs. simple_bot, avg. reward: 0.315, 2.788 sec/game, 10.1 min. total, 550.1 MB
crept_manicure v6 277 games, 220228 moves, e=0.782, loss: 4.1, -, 7.2% elo% vs. simple_bot, avg. reward: 0.318, 2.797 sec/game, 10.1 min. total, 549.8 MB
crept_manicure v6 278 games, 221155 moves, e=0.781, loss: 4.2, -, 7.2% elo% vs. simple_bot, avg. reward: 0.319, 2.816 sec/game, 10.2 min. total, 550.2 MB
crept_manicure v6 279 games, 222027 moves, e=0.780, loss: 4.3, -, 7.1% elo% vs. simple_bot, avg. reward: 0.322, 2.838 sec/game, 10.2 min. total, 550.1 MB
crept_manicure v6 280 games, 223121 moves, e=0.779, loss: 3.9, -, 7.0% elo% vs. simple_bot, avg. reward: 0.322, 2.880 sec/game, 10.3 min. total, 549.9 MB
crept_manicure v6 281 games, 224081 moves, e=0.778, loss: 4.0, -, 6.9% elo% vs. simple_bot, avg. reward: 0.323, 2.885 sec/game, 10.3 min. total, 550.0 MB
crept_manicure v6 282 games, 224976 moves, e=0.777, loss: 4.2, -, 6.8% elo% vs. simple_bot, avg. reward: 0.325, 2.819 sec/game, 10.4 min. total, 551.8 MB
crept_manicure v6 283 games, 225821 moves, e=0.776, loss: 4.1, -, 6.7% elo% vs. simple_bot, avg. reward: 0.326, 2.836 sec/game, 10.4 min. total, 552.0 MB
crept_manicure v6 284 games, 226685 moves, e=0.776, loss: 4.1, -, 6.7% elo% vs. simple_bot, avg. reward: 0.325, 2.813 sec/game, 10.5 min. total, 552.0 MB
crept_manicure v6 285 games, 227625 moves, e=0.775, loss: 4.0, -, 6.6% elo% vs. simple_bot, avg. reward: 0.326, 2.791 sec/game, 10.5 min. total, 551.9 MB
crept_manicure v6 286 games, 228616 moves, e=0.774, loss: 3.7, -, 6.5% elo% vs. simple_bot, avg. reward: 0.327, 2.796 sec/game, 10.6 min. total, 551.8 MB
crept_manicure v6 287 games, 229628 moves, e=0.773, loss: 3.8, -, 6.4% elo% vs. simple_bot, avg. reward: 0.330, 2.814 sec/game, 10.6 min. total, 551.8 MB
crept_manicure v6 288 games, 230628 moves, e=0.772, loss: 3.9, -, 6.4% elo% vs. simple_bot, avg. reward: 0.332, 2.811 sec/game, 10.7 min. total, 551.9 MB
crept_manicure v6 289 games, 231726 moves, e=0.771, loss: 3.9, -, 6.3% elo% vs. simple_bot, avg. reward: 0.332, 2.840 sec/game, 10.7 min. total, 552.0 MB
crept_manicure v6 290 games, 232652 moves, e=0.770, loss: 4.1, -, 6.2% elo% vs. simple_bot, avg. reward: 0.334, 2.863 sec/game, 10.8 min. total, 552.8 MB
crept_manicure v6 291 games, 233492 moves, e=0.769, loss: 4.0, -, 6.2% elo% vs. simple_bot, avg. reward: 0.336, 2.848 sec/game, 10.8 min. total, 554.0 MB
crept_manicure v6 292 games, 234396 moves, e=0.768, loss: 4.3, -, 6.1% elo% vs. simple_bot, avg. reward: 0.336, 2.872 sec/game, 10.9 min. total, 554.0 MB
crept_manicure v6 293 games, 235507 moves, e=0.767, loss: 4.2, -, 6.0% elo% vs. simple_bot, avg. reward: 0.338, 2.878 sec/game, 10.9 min. total, 554.2 MB
crept_manicure v6 294 games, 236592 moves, e=0.766, loss: 4.4, -, 6.0% elo% vs. simple_bot, avg. reward: 0.340, 2.930 sec/game, 11.0 min. total, 554.7 MB
crept_manicure v6 295 games, 237630 moves, e=0.765, loss: 4.4, -, 5.9% elo% vs. simple_bot, avg. reward: 0.342, 2.928 sec/game, 11.0 min. total, 554.8 MB
crept_manicure v6 296 games, 238490 moves, e=0.764, loss: 4.4, -, 5.8% elo% vs. simple_bot, avg. reward: 0.344, 2.923 sec/game, 11.1 min. total, 554.6 MB
crept_manicure v6 297 games, 239504 moves, e=0.763, loss: 4.4, -, 5.8% elo% vs. simple_bot, avg. reward: 0.347, 2.936 sec/game, 11.1 min. total, 554.7 MB
crept_manicure v6 298 games, 240481 moves, e=0.762, loss: 4.8, -, 5.7% elo% vs. simple_bot, avg. reward: 0.350, 2.937 sec/game, 11.2 min. total, 556.2 MB
crept_manicure v6 299 games, 241421 moves, e=0.761, loss: 4.4, -, 5.7% elo% vs. simple_bot, avg. reward: 0.350, 2.930 sec/game, 11.2 min. total, 558.0 MB
crept_manicure v6 300 games, 242436 moves, e=0.760, loss: 4.5, -, 5.6% elo% vs. simple_bot, avg. reward: 0.355, 2.913 sec/game, 11.3 min. total, 557.7 MB
crept_manicure v7 301 games, 243378 moves, e=0.759, loss: 4.5, -, 47.7% elo% vs. simple_bot, avg. reward: 0.356, 2.915 sec/game, 11.3 min. total, 557.8 MB
crept_manicure v7 302 games, 244397 moves, e=0.758, loss: 4.4, -, 45.5% elo% vs. simple_bot, avg. reward: 0.355, 2.934 sec/game, 11.4 min. total, 558.0 MB
