viper_dwindle v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.5 MB
viper_dwindle v5 149 games, 107847 moves, e=0.893, loss: 1.5, -, 43.1% elo% vs. simple_bot, avg. reward: -6.551, 3.147 sec/game, 3.4 min. total, 451.9 MB
viper_dwindle v5 150 games, 108631 moves, e=0.892, loss: 1.5, -, 41.2% elo% vs. simple_bot, avg. reward: -6.543, 3.163 sec/game, 3.4 min. total, 453.9 MB
viper_dwindle v5 151 games, 109393 moves, e=0.892, loss: 1.3, -, 39.4% elo% vs. simple_bot, avg. reward: -6.542, 3.152 sec/game, 3.4 min. total, 451.7 MB
viper_dwindle v5 152 games, 110149 moves, e=0.891, loss: 1.1, -, 37.7% elo% vs. simple_bot, avg. reward: -6.535, 3.154 sec/game, 3.4 min. total, 453.1 MB
viper_dwindle v5 153 games, 110979 moves, e=0.890, loss: 1.1, -, 36.0% elo% vs. simple_bot, avg. reward: -6.528, 3.165 sec/game, 3.4 min. total, 451.9 MB
viper_dwindle v5 154 games, 111752 moves, e=0.889, loss: 1.4, -, 34.5% elo% vs. simple_bot, avg. reward: -6.508, 3.166 sec/game, 3.5 min. total, 454.0 MB
viper_dwindle v5 155 games, 112541 moves, e=0.889, loss: 1.4, -, 33.1% elo% vs. simple_bot, avg. reward: -6.501, 3.167 sec/game, 3.5 min. total, 454.1 MB
viper_dwindle v5 156 games, 113146 moves, e=0.888, loss: 1.4, +, 35.9% elo% vs. simple_bot, avg. reward: -6.516, 3.158 sec/game, 3.5 min. total, 452.3 MB
viper_dwindle v5 157 games, 113947 moves, e=0.887, loss: 1.6, +, 38.6% elo% vs. simple_bot, avg. reward: -6.507, 3.176 sec/game, 3.5 min. total, 454.7 MB
viper_dwindle v5 158 games, 114767 moves, e=0.886, loss: 1.4, -, 37.0% elo% vs. simple_bot, avg. reward: -6.500, 3.178 sec/game, 3.6 min. total, 453.4 MB
viper_dwindle v5 159 games, 115624 moves, e=0.886, loss: 1.3, -, 35.4% elo% vs. simple_bot, avg. reward: -6.489, 3.199 sec/game, 3.6 min. total, 453.3 MB
viper_dwindle v5 160 games, 116399 moves, e=0.885, loss: 1.5, -, 33.9% elo% vs. simple_bot, avg. reward: -6.483, 1.801 sec/game, 3.6 min. total, 454.2 MB
viper_dwindle v5 161 games, 117160 moves, e=0.884, loss: 1.5, -, 32.5% elo% vs. simple_bot, avg. reward: -6.494, 4.328 sec/game, 4.5 min. total, 454.8 MB
viper_dwindle v5 162 games, 117929 moves, e=0.883, loss: 1.6, -, 31.2% elo% vs. simple_bot, avg. reward: -6.490, 3.857 sec/game, 4.5 min. total, 456.1 MB
viper_dwindle v5 163 games, 118672 moves, e=0.883, loss: 1.6, -, 30.0% elo% vs. simple_bot, avg. reward: -6.483, 3.994 sec/game, 4.6 min. total, 455.4 MB
viper_dwindle v5 164 games, 119456 moves, e=0.882, loss: 1.6, +, 32.8% elo% vs. simple_bot, avg. reward: -6.485, 5.376 sec/game, 5.0 min. total, 454.9 MB
viper_dwindle v5 165 games, 120204 moves, e=0.881, loss: 1.7, -, 31.5% elo% vs. simple_bot, avg. reward: -6.475, 7.616 sec/game, 5.8 min. total, 455.7 MB
viper_dwindle v5 166 games, 121004 moves, e=0.880, loss: 1.7, -, 30.2% elo% vs. simple_bot, avg. reward: -6.472, 7.620 sec/game, 5.8 min. total, 456.8 MB
viper_dwindle v5 167 games, 121751 moves, e=0.879, loss: 1.6, -, 29.1% elo% vs. simple_bot, avg. reward: -6.464, 7.614 sec/game, 5.9 min. total, 456.4 MB
viper_dwindle v5 168 games, 122671 moves, e=0.879, loss: 1.4, +, 31.8% elo% vs. simple_bot, avg. reward: -6.449, 7.631 sec/game, 5.9 min. total, 455.7 MB
viper_dwindle v5 169 games, 123583 moves, e=0.878, loss: 1.4, -, 30.6% elo% vs. simple_bot, avg. reward: -6.421, 7.644 sec/game, 5.9 min. total, 455.9 MB
viper_dwindle v5 170 games, 124366 moves, e=0.877, loss: 1.4, +, 33.4% elo% vs. simple_bot, avg. reward: -6.413, 8.809 sec/game, 6.3 min. total, 457.7 MB
viper_dwindle v5 171 games, 125134 moves, e=0.876, loss: 1.3, -, 32.0% elo% vs. simple_bot, avg. reward: -6.415, 11.319 sec/game, 7.2 min. total, 459.0 MB
viper_dwindle v5 172 games, 125961 moves, e=0.875, loss: 1.3, -, 30.7% elo% vs. simple_bot, avg. reward: -6.403, 11.333 sec/game, 7.2 min. total, 458.9 MB
viper_dwindle v5 173 games, 126665 moves, e=0.875, loss: 1.3, -, 29.5% elo% vs. simple_bot, avg. reward: -6.406, 11.316 sec/game, 7.2 min. total, 458.0 MB
viper_dwindle v5 174 games, 127391 moves, e=0.874, loss: 1.5, ., 30.3% elo% vs. simple_bot, avg. reward: -6.398, 11.315 sec/game, 7.2 min. total, 459.4 MB
viper_dwindle v5 175 games, 128246 moves, e=0.873, loss: 1.4, -, 29.2% elo% vs. simple_bot, avg. reward: -6.381, 11.319 sec/game, 7.3 min. total, 457.7 MB
viper_dwindle v5 176 games, 129068 moves, e=0.872, loss: 1.4, -, 28.1% elo% vs. simple_bot, avg. reward: -6.365, 11.846 sec/game, 7.5 min. total, 459.1 MB
viper_dwindle v5 177 games, 129935 moves, e=0.871, loss: 1.5, -, 27.0% elo% vs. simple_bot, avg. reward: -6.351, 17.087 sec/game, 9.2 min. total, 458.3 MB
viper_dwindle v5 178 games, 130753 moves, e=0.871, loss: 1.7, +, 29.8% elo% vs. simple_bot, avg. reward: -6.350, 17.095 sec/game, 9.2 min. total, 458.2 MB
viper_dwindle v5 179 games, 131421 moves, e=0.870, loss: 1.6, -, 28.6% elo% vs. simple_bot, avg. reward: -6.351, 17.067 sec/game, 9.3 min. total, 458.7 MB
viper_dwindle v5 180 games, 132257 moves, e=0.869, loss: 1.7, +, 31.4% elo% vs. simple_bot, avg. reward: -6.335, 17.076 sec/game, 9.3 min. total, 460.0 MB
viper_dwindle v5 181 games, 133213 moves, e=0.868, loss: 1.8, +, 34.2% elo% vs. simple_bot, avg. reward: -6.322, 14.564 sec/game, 9.3 min. total, 459.3 MB
viper_dwindle v5 182 games, 133932 moves, e=0.867, loss: 1.8, -, 32.8% elo% vs. simple_bot, avg. reward: -6.317, 14.560 sec/game, 9.3 min. total, 459.7 MB
viper_dwindle v5 183 games, 134711 moves, e=0.867, loss: 1.9, +, 35.6% elo% vs. simple_bot, avg. reward: -6.306, 15.265 sec/game, 9.6 min. total, 460.1 MB
viper_dwindle v5 184 games, 135525 moves, e=0.866, loss: 1.8, +, 38.3% elo% vs. simple_bot, avg. reward: -6.277, 18.794 sec/game, 11.3 min. total, 461.1 MB
viper_dwindle v5 185 games, 136413 moves, e=0.865, loss: 1.9, +, 41.0% elo% vs. simple_bot, avg. reward: -6.263, 16.546 sec/game, 11.3 min. total, 461.3 MB
viper_dwindle v5 186 games, 137206 moves, e=0.864, loss: 2.0, -, 39.2% elo% vs. simple_bot, avg. reward: -6.257, 16.545 sec/game, 11.3 min. total, 461.5 MB
viper_dwindle v5 187 games, 138043 moves, e=0.863, loss: 1.9, -, 37.5% elo% vs. simple_bot, avg. reward: -6.255, 16.551 sec/game, 11.4 min. total, 459.5 MB
viper_dwindle v5 188 games, 138773 moves, e=0.863, loss: 1.9, -, 35.9% elo% vs. simple_bot, avg. reward: -6.256, 16.570 sec/game, 11.4 min. total, 463.1 MB
viper_dwindle v5 189 games, 139488 moves, e=0.862, loss: 1.8, +, 38.7% elo% vs. simple_bot, avg. reward: -6.268, 16.600 sec/game, 11.4 min. total, 462.1 MB
viper_dwindle v5 190 games, 140327 moves, e=0.861, loss: 1.8, +, 41.4% elo% vs. simple_bot, avg. reward: -6.262, 15.458 sec/game, 11.5 min. total, 463.2 MB
viper_dwindle v5 191 games, 141229 moves, e=0.860, loss: 2.1, +, 44.0% elo% vs. simple_bot, avg. reward: -6.251, 12.986 sec/game, 11.5 min. total, 462.2 MB
viper_dwindle v5 192 games, 142147 moves, e=0.859, loss: 1.8, -, 42.0% elo% vs. simple_bot, avg. reward: -6.229, 12.997 sec/game, 11.5 min. total, 461.4 MB
viper_dwindle v5 193 games, 143051 moves, e=0.858, loss: 1.8, -, 40.2% elo% vs. simple_bot, avg. reward: -6.225, 13.029 sec/game, 11.6 min. total, 463.2 MB
viper_dwindle v5 194 games, 143864 moves, e=0.858, loss: 1.7, -, 38.4% elo% vs. simple_bot, avg. reward: -6.219, 13.039 sec/game, 11.6 min. total, 463.0 MB
viper_dwindle v5 195 games, 144585 moves, e=0.857, loss: 1.7, +, 41.1% elo% vs. simple_bot, avg. reward: -6.224, 13.042 sec/game, 11.6 min. total, 462.2 MB
viper_dwindle v5 196 games, 145281 moves, e=0.856, loss: 1.6, -, 39.3% elo% vs. simple_bot, avg. reward: -6.226, 12.540 sec/game, 11.6 min. total, 462.2 MB
viper_dwindle v5 197 games, 146007 moves, e=0.855, loss: 1.9, +, 42.0% elo% vs. simple_bot, avg. reward: -6.228, 7.293 sec/game, 11.7 min. total, 465.4 MB
viper_dwindle v5 198 games, 146786 moves, e=0.855, loss: 1.9, +, 44.6% elo% vs. simple_bot, avg. reward: -6.221, 7.292 sec/game, 11.7 min. total, 462.8 MB
viper_dwindle v5 199 games, 147457 moves, e=0.854, loss: 1.6, -, 42.6% elo% vs. simple_bot, avg. reward: -6.235, 7.303 sec/game, 11.7 min. total, 463.9 MB
viper_dwindle v5 200 games, 148175 moves, e=0.853, loss: 1.9, +, 45.2% elo% vs. simple_bot, avg. reward: -6.233, 7.292 sec/game, 11.7 min. total, 464.3 MB
viper_dwindle v6 201 games, 149003 moves, e=0.852, loss: 1.7, +, 52.3% elo% vs. simple_bot, avg. reward: -6.230, 7.293 sec/game, 11.7 min. total, 463.0 MB
viper_dwindle v6 202 games, 149808 moves, e=0.852, loss: 1.6, +, 54.5% elo% vs. simple_bot, avg. reward: -6.219, 7.300 sec/game, 11.8 min. total, 464.8 MB
viper_dwindle v6 203 games, 150548 moves, e=0.851, loss: 1.6, +, 56.6% elo% vs. simple_bot, avg. reward: -6.211, 6.467 sec/game, 11.8 min. total, 464.8 MB
viper_dwindle v6 204 games, 151373 moves, e=0.850, loss: 1.6, -, 54.0% elo% vs. simple_bot, avg. reward: -6.201, 1.551 sec/game, 11.8 min. total, 465.5 MB
viper_dwindle v6 205 games, 152108 moves, e=0.849, loss: 1.4, +, 56.1% elo% vs. simple_bot, avg. reward: -6.196, 1.550 sec/game, 11.8 min. total, 464.8 MB
viper_dwindle v6 206 games, 152882 moves, e=0.849, loss: 1.4, +, 58.1% elo% vs. simple_bot, avg. reward: -6.195, 1.555 sec/game, 11.9 min. total, 464.4 MB
viper_dwindle v6 207 games, 153714 moves, e=0.848, loss: 1.6, ., 57.7% elo% vs. simple_bot, avg. reward: -6.184, 1.558 sec/game, 11.9 min. total, 465.0 MB
viper_dwindle v6 208 games, 154663 moves, e=0.847, loss: 1.4, +, 59.6% elo% vs. simple_bot, avg. reward: -6.171, 1.561 sec/game, 11.9 min. total, 465.3 MB
viper_dwindle v6 209 games, 155478 moves, e=0.846, loss: 1.5, ., 59.2% elo% vs. simple_bot, avg. reward: -6.158, 1.522 sec/game, 11.9 min. total, 467.2 MB
viper_dwindle v6 210 games, 156349 moves, e=0.845, loss: 1.5, +, 61.0% elo% vs. simple_bot, avg. reward: -6.146, 1.507 sec/game, 12.0 min. total, 465.4 MB
viper_dwindle v6 211 games, 157144 moves, e=0.844, loss: 1.6, +, 62.7% elo% vs. simple_bot, avg. reward: -6.125, 1.477 sec/game, 12.0 min. total, 468.1 MB
viper_dwindle v6 212 games, 157914 moves, e=0.844, loss: 1.6, -, 59.9% elo% vs. simple_bot, avg. reward: -6.114, 1.457 sec/game, 12.0 min. total, 465.4 MB
viper_dwindle v6 213 games, 158719 moves, e=0.843, loss: 1.7, +, 61.7% elo% vs. simple_bot, avg. reward: -6.105, 1.440 sec/game, 12.0 min. total, 465.5 MB
viper_dwindle v6 214 games, 159534 moves, e=0.842, loss: 1.8, -, 59.0% elo% vs. simple_bot, avg. reward: -6.098, 1.447 sec/game, 12.1 min. total, 466.3 MB
viper_dwindle v6 215 games, 160302 moves, e=0.841, loss: 1.8, -, 56.3% elo% vs. simple_bot, avg. reward: -6.092, 1.444 sec/game, 12.1 min. total, 466.6 MB
viper_dwindle v6 216 games, 161282 moves, e=0.840, loss: 1.7, +, 58.3% elo% vs. simple_bot, avg. reward: -6.069, 1.464 sec/game, 12.1 min. total, 467.7 MB
viper_dwindle v6 217 games, 162109 moves, e=0.840, loss: 1.7, +, 60.1% elo% vs. simple_bot, avg. reward: -6.058, 1.468 sec/game, 12.1 min. total, 468.1 MB
viper_dwindle v6 218 games, 162952 moves, e=0.839, loss: 1.7, ., 59.7% elo% vs. simple_bot, avg. reward: -6.039, 1.480 sec/game, 12.2 min. total, 469.3 MB
viper_dwindle v6 219 games, 163782 moves, e=0.838, loss: 1.9, +, 61.5% elo% vs. simple_bot, avg. reward: -6.029, 1.484 sec/game, 12.2 min. total, 469.7 MB
viper_dwindle v6 220 games, 164497 moves, e=0.837, loss: 1.8, +, 63.1% elo% vs. simple_bot, avg. reward: -6.033, 1.493 sec/game, 12.2 min. total, 468.9 MB
viper_dwindle v6 221 games, 165221 moves, e=0.836, loss: 1.8, +, 64.7% elo% vs. simple_bot, avg. reward: -6.043, 1.474 sec/game, 12.2 min. total, 468.5 MB
viper_dwindle v6 222 games, 166068 moves, e=0.836, loss: 1.8, +, 66.2% elo% vs. simple_bot, avg. reward: -6.036, 1.485 sec/game, 12.3 min. total, 469.5 MB
viper_dwindle v6 223 games, 166802 moves, e=0.835, loss: 1.8, +, 67.5% elo% vs. simple_bot, avg. reward: -6.042, 1.486 sec/game, 12.3 min. total, 468.8 MB
viper_dwindle v6 224 games, 167755 moves, e=0.834, loss: 1.8, +, 68.8% elo% vs. simple_bot, avg. reward: -6.026, 1.497 sec/game, 12.3 min. total, 467.9 MB
viper_dwindle v6 225 games, 168650 moves, e=0.833, loss: 1.4, +, 70.1% elo% vs. simple_bot, avg. reward: -6.009, 1.507 sec/game, 12.3 min. total, 468.2 MB
viper_dwindle v7 226 games, 169438 moves, e=0.832, loss: 1.4, +, 54.5% elo% vs. terrible_bot, avg. reward: -6.000, 1.512 sec/game, 12.4 min. total, 472.2 MB
viper_dwindle v7 227 games, 170147 moves, e=0.832, loss: 1.5, -, 52.0% elo% vs. terrible_bot, avg. reward: -6.015, 1.507 sec/game, 12.4 min. total, 472.6 MB
viper_dwindle v7 228 games, 171075 moves, e=0.831, loss: 1.9, -, 49.6% elo% vs. terrible_bot, avg. reward: -6.004, 1.493 sec/game, 12.4 min. total, 473.1 MB
viper_dwindle v7 229 games, 171865 moves, e=0.830, loss: 1.6, +, 51.9% elo% vs. terrible_bot, avg. reward: -5.988, 1.492 sec/game, 12.4 min. total, 470.9 MB
viper_dwindle v7 230 games, 172631 moves, e=0.829, loss: 1.6, +, 54.1% elo% vs. terrible_bot, avg. reward: -5.976, 1.489 sec/game, 12.5 min. total, 471.7 MB
viper_dwindle v7 231 games, 173525 moves, e=0.828, loss: 1.7, +, 56.2% elo% vs. terrible_bot, avg. reward: -5.974, 1.502 sec/game, 12.5 min. total, 471.3 MB
viper_dwindle v7 232 games, 174297 moves, e=0.827, loss: 1.5, +, 58.2% elo% vs. terrible_bot, avg. reward: -5.968, 1.504 sec/game, 12.5 min. total, 470.8 MB
viper_dwindle v7 233 games, 174995 moves, e=0.827, loss: 1.6, +, 60.0% elo% vs. terrible_bot, avg. reward: -5.974, 1.502 sec/game, 12.5 min. total, 470.9 MB
viper_dwindle v7 234 games, 175656 moves, e=0.826, loss: 1.8, +, 61.8% elo% vs. terrible_bot, avg. reward: -5.984, 1.483 sec/game, 12.6 min. total, 472.6 MB
viper_dwindle v7 235 games, 176625 moves, e=0.825, loss: 1.7, +, 63.4% elo% vs. terrible_bot, avg. reward: -5.966, 1.497 sec/game, 12.6 min. total, 472.6 MB
viper_dwindle v7 236 games, 177534 moves, e=0.824, loss: 1.8, -, 60.7% elo% vs. terrible_bot, avg. reward: -5.942, 1.499 sec/game, 12.6 min. total, 472.6 MB
viper_dwindle v7 237 games, 178210 moves, e=0.824, loss: 1.7, +, 62.4% elo% vs. terrible_bot, avg. reward: -5.944, 1.499 sec/game, 12.6 min. total, 471.7 MB
viper_dwindle v7 238 games, 179205 moves, e=0.823, loss: 2.1, ., 61.9% elo% vs. terrible_bot, avg. reward: -5.931, 1.505 sec/game, 12.7 min. total, 471.3 MB
viper_dwindle v7 239 games, 180046 moves, e=0.822, loss: 1.8, +, 63.5% elo% vs. terrible_bot, avg. reward: -5.923, 1.507 sec/game, 12.7 min. total, 473.5 MB
viper_dwindle v7 240 games, 180989 moves, e=0.821, loss: 1.8, ., 62.9% elo% vs. terrible_bot, avg. reward: -5.899, 1.518 sec/game, 12.7 min. total, 473.5 MB
viper_dwindle v7 241 games, 181696 moves, e=0.820, loss: 2.1, +, 64.5% elo% vs. terrible_bot, avg. reward: -5.893, 1.528 sec/game, 12.7 min. total, 470.7 MB
viper_dwindle v7 242 games, 182659 moves, e=0.819, loss: 1.9, +, 66.0% elo% vs. terrible_bot, avg. reward: -5.874, 1.539 sec/game, 12.8 min. total, 470.9 MB
viper_dwindle v7 243 games, 183406 moves, e=0.818, loss: 1.7, +, 67.4% elo% vs. terrible_bot, avg. reward: -5.869, 1.530 sec/game, 12.8 min. total, 472.2 MB
viper_dwindle v7 244 games, 184228 moves, e=0.818, loss: 1.8, -, 64.6% elo% vs. terrible_bot, avg. reward: -5.865, 1.528 sec/game, 12.8 min. total, 473.4 MB
viper_dwindle v7 245 games, 184945 moves, e=0.817, loss: 2.0, +, 66.1% elo% vs. terrible_bot, avg. reward: -5.868, 1.508 sec/game, 12.8 min. total, 471.6 MB
viper_dwindle v7 246 games, 185964 moves, e=0.816, loss: 1.9, -, 63.3% elo% vs. terrible_bot, avg. reward: -5.849, 1.525 sec/game, 12.9 min. total, 471.7 MB
viper_dwindle v7 247 games, 186843 moves, e=0.815, loss: 1.8, -, 60.6% elo% vs. terrible_bot, avg. reward: -5.839, 1.538 sec/game, 12.9 min. total, 472.9 MB
viper_dwindle v7 248 games, 187734 moves, e=0.814, loss: 1.8, -, 57.9% elo% vs. terrible_bot, avg. reward: -5.831, 1.539 sec/game, 12.9 min. total, 472.9 MB
viper_dwindle v7 249 games, 188514 moves, e=0.813, loss: 1.9, +, 59.7% elo% vs. terrible_bot, avg. reward: -5.823, 1.538 sec/game, 13.0 min. total, 471.6 MB
viper_dwindle v7 250 games, 189260 moves, e=0.813, loss: 1.9, +, 61.5% elo% vs. terrible_bot, avg. reward: -5.826, 1.530 sec/game, 13.0 min. total, 472.1 MB
viper_dwindle v7 251 games, 190108 moves, e=0.812, loss: 1.9, +, 63.2% elo% vs. terrible_bot, avg. reward: -5.817, 1.535 sec/game, 13.0 min. total, 472.0 MB
viper_dwindle v7 252 games, 190982 moves, e=0.811, loss: 1.8, +, 64.7% elo% vs. terrible_bot, avg. reward: -5.807, 1.546 sec/game, 13.0 min. total, 473.6 MB
viper_dwindle v7 253 games, 191802 moves, e=0.810, loss: 1.8, +, 66.2% elo% vs. terrible_bot, avg. reward: -5.810, 1.548 sec/game, 13.1 min. total, 472.6 MB
viper_dwindle v7 254 games, 192536 moves, e=0.809, loss: 1.9, +, 67.6% elo% vs. terrible_bot, avg. reward: -5.814, 1.560 sec/game, 13.1 min. total, 475.6 MB
viper_dwindle v7 255 games, 193512 moves, e=0.808, loss: 1.9, +, 68.9% elo% vs. terrible_bot, avg. reward: -5.803, 1.562 sec/game, 13.1 min. total, 476.7 MB
viper_dwindle v7 256 games, 194316 moves, e=0.808, loss: 1.8, +, 70.1% elo% vs. terrible_bot, avg. reward: -5.780, 1.560 sec/game, 13.1 min. total, 476.0 MB
viper_dwindle v8 257 games, 195163 moves, e=0.807, loss: 1.8, +, 54.5% elo% vs. supershibe, avg. reward: -5.776, 1.566 sec/game, 13.2 min. total, 476.1 MB
viper_dwindle v8 258 games, 195985 moves, e=0.806, loss: 1.7, ., 54.3% elo% vs. supershibe, avg. reward: -5.776, 1.557 sec/game, 13.2 min. total, 474.8 MB
viper_dwindle v8 259 games, 196772 moves, e=0.805, loss: 1.9, +, 56.4% elo% vs. supershibe, avg. reward: -5.780, 1.557 sec/game, 13.2 min. total, 476.5 MB
viper_dwindle v8 260 games, 197704 moves, e=0.804, loss: 1.9, -, 53.8% elo% vs. supershibe, avg. reward: -5.767, 1.560 sec/game, 13.2 min. total, 475.1 MB
viper_dwindle v8 261 games, 198550 moves, e=0.803, loss: 1.8, +, 55.9% elo% vs. supershibe, avg. reward: -5.759, 1.563 sec/game, 13.3 min. total, 475.3 MB
viper_dwindle v8 262 games, 199453 moves, e=0.803, loss: 1.9, +, 57.9% elo% vs. supershibe, avg. reward: -5.749, 1.543 sec/game, 13.3 min. total, 475.9 MB
viper_dwindle v8 263 games, 200251 moves, e=0.802, loss: 1.9, +, 59.8% elo% vs. supershibe, avg. reward: -5.745, 1.548 sec/game, 13.3 min. total, 479.6 MB
viper_dwindle v8 264 games, 201100 moves, e=0.801, loss: 1.9, +, 61.5% elo% vs. supershibe, avg. reward: -5.739, 1.556 sec/game, 13.3 min. total, 478.8 MB
viper_dwindle v8 265 games, 201943 moves, e=0.800, loss: 1.9, +, 63.2% elo% vs. supershibe, avg. reward: -5.731, 1.569 sec/game, 13.4 min. total, 477.9 MB
viper_dwindle v8 266 games, 202739 moves, e=0.799, loss: 2.1, +, 64.8% elo% vs. supershibe, avg. reward: -5.729, 1.548 sec/game, 13.4 min. total, 478.4 MB
viper_dwindle v8 267 games, 203528 moves, e=0.799, loss: 1.9, +, 66.2% elo% vs. supershibe, avg. reward: -5.725, 1.545 sec/game, 13.4 min. total, 478.9 MB
viper_dwindle v8 268 games, 204425 moves, e=0.798, loss: 2.0, +, 67.6% elo% vs. supershibe, avg. reward: -5.724, 1.549 sec/game, 13.4 min. total, 478.8 MB
viper_dwindle v8 269 games, 205293 moves, e=0.797, loss: 1.7, +, 68.9% elo% vs. supershibe, avg. reward: -5.729, 1.552 sec/game, 13.5 min. total, 478.3 MB
viper_dwindle v8 270 games, 206041 moves, e=0.796, loss: 1.6, +, 70.1% elo% vs. supershibe, avg. reward: -5.731, 1.552 sec/game, 13.5 min. total, 479.0 MB
viper_dwindle v9 271 games, 206982 moves, e=0.795, loss: 1.4, -, 49.9% elo% vs. gir, avg. reward: -5.720, 1.546 sec/game, 13.5 min. total, 480.2 MB
viper_dwindle v9 272 games, 207722 moves, e=0.794, loss: 1.4, -, 47.6% elo% vs. gir, avg. reward: -5.727, 1.528 sec/game, 13.5 min. total, 480.1 MB
viper_dwindle v9 273 games, 208665 moves, e=0.793, loss: 1.6, +, 50.0% elo% vs. gir, avg. reward: -5.705, 1.536 sec/game, 13.6 min. total, 481.9 MB
viper_dwindle v9 274 games, 209456 moves, e=0.793, loss: 1.6, -, 47.7% elo% vs. gir, avg. reward: -5.698, 1.531 sec/game, 13.6 min. total, 479.8 MB
viper_dwindle v9 275 games, 210263 moves, e=0.792, loss: 1.7, -, 45.5% elo% vs. gir, avg. reward: -5.695, 1.510 sec/game, 13.6 min. total, 480.3 MB
viper_dwindle v9 276 games, 211146 moves, e=0.791, loss: 1.9, -, 43.5% elo% vs. gir, avg. reward: -5.693, 1.494 sec/game, 13.6 min. total, 481.0 MB
viper_dwindle v9 277 games, 212050 moves, e=0.790, loss: 1.6, -, 41.5% elo% vs. gir, avg. reward: -5.687, 1.491 sec/game, 13.7 min. total, 480.0 MB
viper_dwindle v9 278 games, 212893 moves, e=0.789, loss: 1.9, -, 39.7% elo% vs. gir, avg. reward: -5.684, 1.481 sec/game, 13.7 min. total, 480.0 MB
viper_dwindle v9 279 games, 213772 moves, e=0.788, loss: 1.8, -, 37.9% elo% vs. gir, avg. reward: -5.668, 1.486 sec/game, 13.7 min. total, 479.9 MB
viper_dwindle v9 280 games, 214643 moves, e=0.788, loss: 1.8, +, 40.6% elo% vs. gir, avg. reward: -5.666, 1.467 sec/game, 13.7 min. total, 481.8 MB
viper_dwindle v9 281 games, 215528 moves, e=0.787, loss: 2.1, -, 38.9% elo% vs. gir, avg. reward: -5.672, 1.467 sec/game, 13.8 min. total, 482.3 MB
viper_dwindle v9 282 games, 216379 moves, e=0.786, loss: 2.1, -, 37.2% elo% vs. gir, avg. reward: -5.660, 1.467 sec/game, 13.8 min. total, 480.7 MB
viper_dwindle v9 283 games, 217296 moves, e=0.785, loss: 2.4, -, 35.6% elo% vs. gir, avg. reward: -5.648, 1.474 sec/game, 13.8 min. total, 482.1 MB
viper_dwindle v9 284 games, 218015 moves, e=0.784, loss: 2.4, -, 34.1% elo% vs. gir, avg. reward: -5.653, 1.445 sec/game, 13.8 min. total, 483.4 MB
viper_dwindle v9 285 games, 218868 moves, e=0.783, loss: 2.3, -, 32.7% elo% vs. gir, avg. reward: -5.656, 1.438 sec/game, 13.8 min. total, 481.2 MB
viper_dwindle v9 286 games, 219823 moves, e=0.782, loss: 2.3, -, 31.4% elo% vs. gir, avg. reward: -5.644, 1.448 sec/game, 13.9 min. total, 481.7 MB
viper_dwindle v9 287 games, 220814 moves, e=0.781, loss: 2.4, -, 30.2% elo% vs. gir, avg. reward: -5.633, 1.454 sec/game, 13.9 min. total, 483.5 MB
viper_dwindle v9 288 games, 221655 moves, e=0.781, loss: 2.4, -, 29.0% elo% vs. gir, avg. reward: -5.624, 1.434 sec/game, 13.9 min. total, 482.5 MB
viper_dwindle v9 289 games, 222571 moves, e=0.780, loss: 2.5, +, 31.8% elo% vs. gir, avg. reward: -5.607, 1.433 sec/game, 14.0 min. total, 482.1 MB
viper_dwindle v9 290 games, 223483 moves, e=0.779, loss: 2.4, -, 30.5% elo% vs. gir, avg. reward: -5.601, 1.436 sec/game, 14.0 min. total, 483.6 MB
viper_dwindle v9 291 games, 224390 moves, e=0.778, loss: 2.3, -, 29.3% elo% vs. gir, avg. reward: -5.598, 1.438 sec/game, 14.0 min. total, 483.8 MB
viper_dwindle v9 292 games, 225302 moves, e=0.777, loss: 2.5, -, 28.2% elo% vs. gir, avg. reward: -5.598, 1.447 sec/game, 14.0 min. total, 485.3 MB
viper_dwindle v9 293 games, 226307 moves, e=0.776, loss: 2.3, -, 27.2% elo% vs. gir, avg. reward: -5.589, 1.454 sec/game, 14.1 min. total, 484.5 MB
viper_dwindle v9 294 games, 227143 moves, e=0.775, loss: 2.2, -, 26.2% elo% vs. gir, avg. reward: -5.587, 1.453 sec/game, 14.1 min. total, 483.5 MB
viper_dwindle v9 295 games, 228129 moves, e=0.774, loss: 2.3, -, 25.3% elo% vs. gir, avg. reward: -5.565, 1.472 sec/game, 14.1 min. total, 484.0 MB
viper_dwindle v9 296 games, 228985 moves, e=0.773, loss: 2.3, +, 28.0% elo% vs. gir, avg. reward: -5.549, 1.466 sec/game, 14.1 min. total, 483.7 MB
viper_dwindle v9 297 games, 229862 moves, e=0.772, loss: 2.2, -, 26.9% elo% vs. gir, avg. reward: -5.533, 1.467 sec/game, 14.2 min. total, 483.7 MB
viper_dwindle v9 298 games, 230599 moves, e=0.772, loss: 2.1, -, 26.0% elo% vs. gir, avg. reward: -5.535, 1.457 sec/game, 14.2 min. total, 486.0 MB
viper_dwindle v9 299 games, 231473 moves, e=0.771, loss: 1.9, ., 26.8% elo% vs. gir, avg. reward: -5.516, 1.452 sec/game, 14.2 min. total, 485.1 MB
viper_dwindle v9 300 games, 232257 moves, e=0.770, loss: 2.1, -, 25.9% elo% vs. gir, avg. reward: -5.510, 1.451 sec/game, 14.2 min. total, 485.5 MB
