viper_dwindle v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.5 MB
viper_dwindle v3 35 games, 25505 moves, e=0.975, loss: 1.3, +, 54.8% elo% vs. random_no_suicide, avg. reward: -6.551, 1.129 sec/game, 0.4 min. total, 431.5 MB
viper_dwindle v3 36 games, 26260 moves, e=0.974, loss: 1.4, -, 52.3% elo% vs. random_no_suicide, avg. reward: -6.545, 1.127 sec/game, 0.4 min. total, 430.6 MB
viper_dwindle v3 37 games, 26831 moves, e=0.973, loss: 1.5, +, 54.5% elo% vs. random_no_suicide, avg. reward: -6.589, 1.112 sec/game, 0.5 min. total, 431.5 MB
viper_dwindle v3 38 games, 27490 moves, e=0.973, loss: 1.4, +, 56.5% elo% vs. random_no_suicide, avg. reward: -6.606, 1.111 sec/game, 0.5 min. total, 429.9 MB
viper_dwindle v3 39 games, 28146 moves, e=0.972, loss: 1.4, +, 58.5% elo% vs. random_no_suicide, avg. reward: -6.626, 1.098 sec/game, 0.5 min. total, 430.0 MB
viper_dwindle v3 40 games, 28782 moves, e=0.972, loss: 1.4, +, 60.3% elo% vs. random_no_suicide, avg. reward: -6.648, 1.098 sec/game, 0.5 min. total, 429.9 MB
viper_dwindle v3 41 games, 29510 moves, e=0.971, loss: 1.4, +, 62.1% elo% vs. random_no_suicide, avg. reward: -6.647, 1.088 sec/game, 0.5 min. total, 432.4 MB
viper_dwindle v3 42 games, 30240 moves, e=0.970, loss: 1.2, +, 63.7% elo% vs. random_no_suicide, avg. reward: -6.640, 1.101 sec/game, 0.5 min. total, 432.6 MB
viper_dwindle v3 43 games, 30861 moves, e=0.969, loss: 1.3, +, 65.2% elo% vs. random_no_suicide, avg. reward: -6.667, 1.091 sec/game, 0.6 min. total, 432.2 MB
viper_dwindle v3 44 games, 31548 moves, e=0.969, loss: 1.4, +, 66.7% elo% vs. random_no_suicide, avg. reward: -6.670, 1.081 sec/game, 0.6 min. total, 431.7 MB
viper_dwindle v3 45 games, 32278 moves, e=0.968, loss: 1.3, +, 68.0% elo% vs. random_no_suicide, avg. reward: -6.665, 1.073 sec/game, 0.6 min. total, 431.5 MB
viper_dwindle v3 46 games, 32930 moves, e=0.967, loss: 1.4, +, 69.3% elo% vs. random_no_suicide, avg. reward: -6.680, 1.067 sec/game, 0.6 min. total, 434.0 MB
viper_dwindle v3 47 games, 33670 moves, e=0.967, loss: 1.4, +, 70.5% elo% vs. random_no_suicide, avg. reward: -6.675, 1.065 sec/game, 0.6 min. total, 432.6 MB
viper_dwindle v4 48 games, 34364 moves, e=0.966, loss: 1.5, +, 54.5% elo% vs. simple_bot, avg. reward: -6.680, 1.055 sec/game, 0.6 min. total, 432.4 MB
viper_dwindle v4 49 games, 35226 moves, e=0.965, loss: 1.7, ., 54.3% elo% vs. simple_bot, avg. reward: -6.659, 1.052 sec/game, 0.7 min. total, 432.6 MB
viper_dwindle v4 50 games, 35920 moves, e=0.964, loss: 1.6, +, 56.4% elo% vs. simple_bot, avg. reward: -6.663, 1.050 sec/game, 0.7 min. total, 433.4 MB
viper_dwindle v4 51 games, 36653 moves, e=0.964, loss: 1.6, -, 53.8% elo% vs. simple_bot, avg. reward: -6.658, 1.056 sec/game, 0.7 min. total, 434.6 MB
viper_dwindle v4 52 games, 37348 moves, e=0.963, loss: 1.6, -, 51.3% elo% vs. simple_bot, avg. reward: -6.664, 1.061 sec/game, 0.7 min. total, 435.7 MB
viper_dwindle v4 53 games, 38112 moves, e=0.962, loss: 1.6, -, 49.0% elo% vs. simple_bot, avg. reward: -6.654, 1.058 sec/game, 0.7 min. total, 435.3 MB
viper_dwindle v4 54 games, 38709 moves, e=0.962, loss: 1.7, -, 46.7% elo% vs. simple_bot, avg. reward: -6.678, 1.062 sec/game, 0.8 min. total, 436.0 MB
viper_dwindle v4 55 games, 39446 moves, e=0.961, loss: 1.7, +, 49.2% elo% vs. simple_bot, avg. reward: -6.672, 1.072 sec/game, 0.8 min. total, 436.2 MB
viper_dwindle v4 56 games, 40169 moves, e=0.960, loss: 1.7, +, 51.5% elo% vs. simple_bot, avg. reward: -6.668, 1.071 sec/game, 0.8 min. total, 437.4 MB
viper_dwindle v4 57 games, 40891 moves, e=0.960, loss: 1.6, +, 53.7% elo% vs. simple_bot, avg. reward: -6.668, 1.095 sec/game, 0.8 min. total, 436.6 MB
viper_dwindle v4 58 games, 41658 moves, e=0.959, loss: 1.6, +, 55.8% elo% vs. simple_bot, avg. reward: -6.664, 1.112 sec/game, 0.8 min. total, 439.0 MB
viper_dwindle v4 59 games, 42376 moves, e=0.958, loss: 1.3, +, 57.8% elo% vs. simple_bot, avg. reward: -6.663, 1.129 sec/game, 0.9 min. total, 438.7 MB
viper_dwindle v4 60 games, 43086 moves, e=0.957, loss: 1.2, -, 55.2% elo% vs. simple_bot, avg. reward: -6.663, 1.137 sec/game, 0.9 min. total, 437.5 MB
viper_dwindle v4 61 games, 43961 moves, e=0.956, loss: 1.3, -, 52.7% elo% vs. simple_bot, avg. reward: -6.637, 1.156 sec/game, 0.9 min. total, 438.5 MB
viper_dwindle v4 62 games, 44669 moves, e=0.956, loss: 1.4, -, 50.3% elo% vs. simple_bot, avg. reward: -6.633, 1.159 sec/game, 0.9 min. total, 436.7 MB
viper_dwindle v4 63 games, 45363 moves, e=0.955, loss: 1.4, -, 48.0% elo% vs. simple_bot, avg. reward: -6.636, 1.178 sec/game, 1.0 min. total, 438.0 MB
viper_dwindle v4 64 games, 46170 moves, e=0.954, loss: 1.3, -, 45.8% elo% vs. simple_bot, avg. reward: -6.624, 1.196 sec/game, 1.0 min. total, 436.8 MB
viper_dwindle v4 65 games, 46837 moves, e=0.954, loss: 1.4, -, 43.7% elo% vs. simple_bot, avg. reward: -6.632, 1.195 sec/game, 1.0 min. total, 436.8 MB
viper_dwindle v4 66 games, 47602 moves, e=0.953, loss: 1.4, -, 41.7% elo% vs. simple_bot, avg. reward: -6.624, 1.211 sec/game, 1.0 min. total, 437.6 MB
viper_dwindle v4 67 games, 48279 moves, e=0.952, loss: 1.2, -, 39.8% elo% vs. simple_bot, avg. reward: -6.631, 1.218 sec/game, 1.0 min. total, 438.4 MB
viper_dwindle v4 68 games, 48999 moves, e=0.951, loss: 1.4, -, 38.1% elo% vs. simple_bot, avg. reward: -6.630, 1.227 sec/game, 1.1 min. total, 437.6 MB
viper_dwindle v4 69 games, 49636 moves, e=0.951, loss: 1.3, -, 36.5% elo% vs. simple_bot, avg. reward: -6.645, 1.210 sec/game, 1.1 min. total, 439.1 MB
viper_dwindle v4 70 games, 50330 moves, e=0.950, loss: 1.3, -, 34.9% elo% vs. simple_bot, avg. reward: -6.649, 1.218 sec/game, 1.1 min. total, 438.5 MB
viper_dwindle v4 71 games, 51144 moves, e=0.949, loss: 1.4, -, 33.5% elo% vs. simple_bot, avg. reward: -6.638, 1.220 sec/game, 1.1 min. total, 437.7 MB
viper_dwindle v4 72 games, 51860 moves, e=0.949, loss: 1.5, -, 32.1% elo% vs. simple_bot, avg. reward: -6.639, 1.231 sec/game, 1.1 min. total, 438.5 MB
viper_dwindle v4 73 games, 52580 moves, e=0.948, loss: 1.5, -, 30.8% elo% vs. simple_bot, avg. reward: -6.638, 1.223 sec/game, 1.2 min. total, 441.1 MB
viper_dwindle v4 74 games, 53251 moves, e=0.947, loss: 1.3, -, 29.6% elo% vs. simple_bot, avg. reward: -6.646, 1.229 sec/game, 1.2 min. total, 438.4 MB
viper_dwindle v4 75 games, 53954 moves, e=0.947, loss: 1.4, ., 30.4% elo% vs. simple_bot, avg. reward: -6.651, 1.213 sec/game, 1.2 min. total, 440.9 MB
viper_dwindle v4 76 games, 54616 moves, e=0.946, loss: 1.5, -, 29.3% elo% vs. simple_bot, avg. reward: -6.656, 1.207 sec/game, 1.2 min. total, 439.7 MB
viper_dwindle v4 77 games, 55319 moves, e=0.945, loss: 1.2, -, 28.2% elo% vs. simple_bot, avg. reward: -6.659, 1.202 sec/game, 1.2 min. total, 440.1 MB
viper_dwindle v4 78 games, 56107 moves, e=0.944, loss: 1.4, -, 27.1% elo% vs. simple_bot, avg. reward: -6.651, 1.197 sec/game, 1.2 min. total, 441.5 MB
viper_dwindle v4 79 games, 56842 moves, e=0.944, loss: 1.6, -, 26.1% elo% vs. simple_bot, avg. reward: -6.650, 1.192 sec/game, 1.3 min. total, 440.6 MB
viper_dwindle v4 80 games, 57532 moves, e=0.943, loss: 1.4, -, 25.2% elo% vs. simple_bot, avg. reward: -6.653, 1.189 sec/game, 1.3 min. total, 441.2 MB
viper_dwindle v4 81 games, 58281 moves, e=0.942, loss: 1.4, +, 27.9% elo% vs. simple_bot, avg. reward: -6.645, 1.172 sec/game, 1.3 min. total, 440.1 MB
viper_dwindle v4 82 games, 58955 moves, e=0.942, loss: 1.5, +, 30.7% elo% vs. simple_bot, avg. reward: -6.650, 1.161 sec/game, 1.3 min. total, 441.1 MB
viper_dwindle v4 83 games, 59621 moves, e=0.941, loss: 1.6, -, 29.5% elo% vs. simple_bot, avg. reward: -6.659, 1.155 sec/game, 1.3 min. total, 441.3 MB
viper_dwindle v4 84 games, 60181 moves, e=0.940, loss: 1.6, +, 32.2% elo% vs. simple_bot, avg. reward: -6.683, 1.142 sec/game, 1.4 min. total, 441.8 MB
viper_dwindle v4 85 games, 60895 moves, e=0.940, loss: 1.4, -, 31.0% elo% vs. simple_bot, avg. reward: -6.680, 1.141 sec/game, 1.4 min. total, 442.7 MB
viper_dwindle v4 86 games, 61631 moves, e=0.939, loss: 1.5, +, 33.7% elo% vs. simple_bot, avg. reward: -6.678, 1.136 sec/game, 1.4 min. total, 441.4 MB
viper_dwindle v4 87 games, 62413 moves, e=0.938, loss: 1.5, +, 36.5% elo% vs. simple_bot, avg. reward: -6.666, 1.137 sec/game, 1.4 min. total, 443.7 MB
viper_dwindle v4 88 games, 63164 moves, e=0.937, loss: 1.5, +, 39.3% elo% vs. simple_bot, avg. reward: -6.660, 1.142 sec/game, 1.4 min. total, 444.2 MB
viper_dwindle v4 89 games, 64009 moves, e=0.937, loss: 1.6, +, 42.0% elo% vs. simple_bot, avg. reward: -6.649, 1.154 sec/game, 1.5 min. total, 442.3 MB
viper_dwindle v4 90 games, 64766 moves, e=0.936, loss: 1.5, +, 44.6% elo% vs. simple_bot, avg. reward: -6.644, 1.144 sec/game, 1.5 min. total, 443.1 MB
viper_dwindle v4 91 games, 65524 moves, e=0.935, loss: 1.4, -, 42.6% elo% vs. simple_bot, avg. reward: -6.640, 1.139 sec/game, 1.5 min. total, 443.7 MB
viper_dwindle v4 92 games, 66182 moves, e=0.934, loss: 1.5, -, 40.7% elo% vs. simple_bot, avg. reward: -6.646, 1.133 sec/game, 1.5 min. total, 441.8 MB
viper_dwindle v4 93 games, 67015 moves, e=0.934, loss: 1.7, +, 43.3% elo% vs. simple_bot, avg. reward: -6.636, 1.141 sec/game, 1.5 min. total, 444.1 MB
viper_dwindle v4 94 games, 67754 moves, e=0.933, loss: 1.4, +, 45.9% elo% vs. simple_bot, avg. reward: -6.632, 1.151 sec/game, 1.6 min. total, 442.4 MB
viper_dwindle v4 95 games, 68521 moves, e=0.932, loss: 1.3, -, 43.8% elo% vs. simple_bot, avg. reward: -6.628, 1.168 sec/game, 1.6 min. total, 442.4 MB
viper_dwindle v4 96 games, 69213 moves, e=0.931, loss: 1.3, +, 46.4% elo% vs. simple_bot, avg. reward: -6.628, 1.179 sec/game, 1.6 min. total, 442.4 MB
viper_dwindle v4 97 games, 69957 moves, e=0.931, loss: 1.4, +, 48.8% elo% vs. simple_bot, avg. reward: -6.627, 1.189 sec/game, 1.6 min. total, 443.2 MB
viper_dwindle v4 98 games, 70681 moves, e=0.930, loss: 1.3, +, 51.2% elo% vs. simple_bot, avg. reward: -6.626, 1.197 sec/game, 1.6 min. total, 443.7 MB
viper_dwindle v4 99 games, 71508 moves, e=0.929, loss: 1.4, +, 53.4% elo% vs. simple_bot, avg. reward: -6.617, 1.206 sec/game, 1.7 min. total, 443.8 MB
viper_dwindle v4 100 games, 72212 moves, e=0.929, loss: 1.4, -, 51.0% elo% vs. simple_bot, avg. reward: -6.618, 1.219 sec/game, 1.7 min. total, 442.5 MB
viper_dwindle v5 101 games, 72987 moves, e=0.928, loss: 1.3, -, 47.7% elo% vs. simple_bot, avg. reward: -6.605, 1.228 sec/game, 1.7 min. total, 444.0 MB
viper_dwindle v5 102 games, 73674 moves, e=0.927, loss: 1.4, +, 50.1% elo% vs. simple_bot, avg. reward: -6.603, 1.240 sec/game, 1.7 min. total, 445.0 MB
viper_dwindle v5 103 games, 74350 moves, e=0.926, loss: 1.4, +, 52.4% elo% vs. simple_bot, avg. reward: -6.611, 1.238 sec/game, 1.8 min. total, 446.5 MB
viper_dwindle v5 104 games, 75048 moves, e=0.926, loss: 1.2, +, 54.6% elo% vs. simple_bot, avg. reward: -6.611, 1.259 sec/game, 1.8 min. total, 445.7 MB
viper_dwindle v5 105 games, 75741 moves, e=0.925, loss: 1.4, -, 52.1% elo% vs. simple_bot, avg. reward: -6.598, 1.262 sec/game, 1.8 min. total, 444.4 MB
viper_dwindle v5 106 games, 76510 moves, e=0.924, loss: 1.2, ., 52.0% elo% vs. simple_bot, avg. reward: -6.586, 1.269 sec/game, 1.8 min. total, 446.0 MB
viper_dwindle v5 107 games, 77209 moves, e=0.924, loss: 1.3, +, 54.2% elo% vs. simple_bot, avg. reward: -6.582, 1.271 sec/game, 1.8 min. total, 445.7 MB
viper_dwindle v5 108 games, 77980 moves, e=0.923, loss: 1.4, +, 56.3% elo% vs. simple_bot, avg. reward: -6.578, 1.278 sec/game, 1.9 min. total, 445.8 MB
viper_dwindle v5 109 games, 78661 moves, e=0.922, loss: 1.4, -, 53.7% elo% vs. simple_bot, avg. reward: -6.580, 1.269 sec/game, 1.9 min. total, 444.9 MB
viper_dwindle v5 110 games, 79398 moves, e=0.921, loss: 1.6, +, 55.8% elo% vs. simple_bot, avg. reward: -6.577, 1.283 sec/game, 1.9 min. total, 446.9 MB
viper_dwindle v5 111 games, 80019 moves, e=0.921, loss: 1.5, -, 53.3% elo% vs. simple_bot, avg. reward: -6.584, 1.279 sec/game, 1.9 min. total, 445.1 MB
viper_dwindle v5 112 games, 80702 moves, e=0.920, loss: 1.6, -, 50.8% elo% vs. simple_bot, avg. reward: -6.582, 1.278 sec/game, 1.9 min. total, 446.1 MB
viper_dwindle v5 113 games, 81448 moves, e=0.919, loss: 1.4, +, 53.1% elo% vs. simple_bot, avg. reward: -6.570, 1.287 sec/game, 2.0 min. total, 445.8 MB
viper_dwindle v5 114 games, 82182 moves, e=0.919, loss: 1.4, +, 55.2% elo% vs. simple_bot, avg. reward: -6.569, 1.287 sec/game, 2.0 min. total, 446.2 MB
viper_dwindle v5 115 games, 82885 moves, e=0.918, loss: 1.4, -, 52.7% elo% vs. simple_bot, avg. reward: -6.572, 1.279 sec/game, 2.0 min. total, 446.0 MB
