amendable_wisdom v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 300.7 MB
amendable_wisdom v9 679 games, 589865 moves, e=0.416, loss: 10.5, -, 12.5% elo% vs. random_no_suicide, avg. reward: -3.755, 1.299 sec/game, 11.2 min. total, 501.9 MB
amendable_wisdom v9 680 games, 591028 moves, e=0.415, loss: 9.9, -, 12.3% elo% vs. random_no_suicide, avg. reward: -3.747, 1.301 sec/game, 11.2 min. total, 501.9 MB
amendable_wisdom v9 681 games, 592194 moves, e=0.414, loss: 10.3, -, 12.0% elo% vs. random_no_suicide, avg. reward: -3.732, 1.302 sec/game, 11.2 min. total, 502.0 MB
amendable_wisdom v9 682 games, 593224 moves, e=0.413, loss: 10.2, -, 11.8% elo% vs. random_no_suicide, avg. reward: -3.736, 1.295 sec/game, 11.2 min. total, 502.1 MB
amendable_wisdom v9 683 games, 594176 moves, e=0.412, loss: 10.5, -, 11.6% elo% vs. random_no_suicide, avg. reward: -3.738, 1.283 sec/game, 11.2 min. total, 502.3 MB
amendable_wisdom v9 684 games, 595237 moves, e=0.411, loss: 11.0, -, 11.4% elo% vs. random_no_suicide, avg. reward: -3.718, 1.269 sec/game, 11.3 min. total, 502.5 MB
amendable_wisdom v9 685 games, 596329 moves, e=0.410, loss: 10.9, -, 11.1% elo% vs. random_no_suicide, avg. reward: -3.723, 1.267 sec/game, 11.3 min. total, 502.6 MB
amendable_wisdom v9 686 games, 597376 moves, e=0.409, loss: 11.2, +, 12.9% elo% vs. random_no_suicide, avg. reward: -3.709, 1.270 sec/game, 11.3 min. total, 502.6 MB
amendable_wisdom v9 687 games, 598506 moves, e=0.407, loss: 11.3, +, 14.8% elo% vs. random_no_suicide, avg. reward: -3.705, 1.276 sec/game, 11.3 min. total, 502.6 MB
amendable_wisdom v9 688 games, 599667 moves, e=0.406, loss: 11.7, ., 15.6% elo% vs. random_no_suicide, avg. reward: -3.704, 1.306 sec/game, 11.4 min. total, 502.6 MB
amendable_wisdom v9 689 games, 600672 moves, e=0.405, loss: 11.8, +, 17.8% elo% vs. random_no_suicide, avg. reward: -3.706, 1.322 sec/game, 11.4 min. total, 502.6 MB
amendable_wisdom v9 690 games, 601807 moves, e=0.404, loss: 11.5, -, 17.3% elo% vs. random_no_suicide, avg. reward: -3.708, 1.318 sec/game, 11.4 min. total, 502.6 MB
amendable_wisdom v9 691 games, 602933 moves, e=0.403, loss: 11.1, ., 18.2% elo% vs. random_no_suicide, avg. reward: -3.707, 1.308 sec/game, 11.4 min. total, 503.2 MB
amendable_wisdom v9 692 games, 603975 moves, e=0.402, loss: 11.3, ., 19.1% elo% vs. random_no_suicide, avg. reward: -3.712, 1.301 sec/game, 11.4 min. total, 503.2 MB
amendable_wisdom v9 693 games, 605098 moves, e=0.401, loss: 10.7, -, 18.5% elo% vs. random_no_suicide, avg. reward: -3.706, 1.301 sec/game, 11.5 min. total, 503.8 MB
amendable_wisdom v9 694 games, 606235 moves, e=0.400, loss: 11.1, -, 18.0% elo% vs. random_no_suicide, avg. reward: -3.704, 1.308 sec/game, 11.5 min. total, 504.5 MB
amendable_wisdom v9 695 games, 607272 moves, e=0.399, loss: 10.7, -, 17.5% elo% vs. random_no_suicide, avg. reward: -3.700, 1.308 sec/game, 11.5 min. total, 504.5 MB
amendable_wisdom v9 696 games, 608518 moves, e=0.398, loss: 10.7, -, 17.1% elo% vs. random_no_suicide, avg. reward: -3.693, 1.310 sec/game, 11.5 min. total, 504.5 MB
amendable_wisdom v9 697 games, 609660 moves, e=0.396, loss: 10.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: -3.686, 1.307 sec/game, 11.6 min. total, 504.5 MB
amendable_wisdom v9 698 games, 610588 moves, e=0.396, loss: 11.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: -3.685, 1.299 sec/game, 11.6 min. total, 504.5 MB
amendable_wisdom v9 699 games, 611744 moves, e=0.394, loss: 11.2, -, 15.8% elo% vs. random_no_suicide, avg. reward: -3.674, 1.309 sec/game, 11.6 min. total, 504.5 MB
amendable_wisdom v9 700 games, 612789 moves, e=0.393, loss: 11.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: -3.673, 1.303 sec/game, 11.6 min. total, 504.5 MB
amendable_wisdom v10 701 games, 613728 moves, e=0.392, loss: 11.9, -, 47.7% elo% vs. random_no_suicide, avg. reward: -3.671, 1.291 sec/game, 11.6 min. total, 505.0 MB
amendable_wisdom v10 702 games, 614850 moves, e=0.391, loss: 11.4, -, 45.5% elo% vs. random_no_suicide, avg. reward: -3.668, 1.303 sec/game, 11.7 min. total, 505.7 MB
amendable_wisdom v10 703 games, 615810 moves, e=0.390, loss: 11.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: -3.672, 1.302 sec/game, 11.7 min. total, 505.8 MB
amendable_wisdom v10 704 games, 616924 moves, e=0.389, loss: 11.5, -, 41.5% elo% vs. random_no_suicide, avg. reward: -3.662, 1.303 sec/game, 11.7 min. total, 505.7 MB
amendable_wisdom v10 705 games, 618210 moves, e=0.388, loss: 11.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: -3.649, 1.319 sec/game, 11.7 min. total, 505.7 MB
amendable_wisdom v10 706 games, 619339 moves, e=0.387, loss: 11.7, -, 37.9% elo% vs. random_no_suicide, avg. reward: -3.646, 1.321 sec/game, 11.8 min. total, 505.8 MB
amendable_wisdom v10 707 games, 620516 moves, e=0.386, loss: 11.3, +, 40.6% elo% vs. random_no_suicide, avg. reward: -3.629, 1.324 sec/game, 11.8 min. total, 505.8 MB
amendable_wisdom v10 708 games, 621625 moves, e=0.385, loss: 11.1, -, 38.8% elo% vs. random_no_suicide, avg. reward: -3.628, 1.319 sec/game, 11.8 min. total, 505.8 MB
amendable_wisdom v10 709 games, 622618 moves, e=0.384, loss: 10.6, -, 37.2% elo% vs. random_no_suicide, avg. reward: -3.632, 1.318 sec/game, 11.8 min. total, 505.8 MB
amendable_wisdom v10 710 games, 623874 moves, e=0.382, loss: 10.2, -, 35.6% elo% vs. random_no_suicide, avg. reward: -3.625, 1.335 sec/game, 11.9 min. total, 505.9 MB
amendable_wisdom v10 711 games, 624981 moves, e=0.381, loss: 10.3, -, 34.1% elo% vs. random_no_suicide, avg. reward: -3.625, 1.335 sec/game, 11.9 min. total, 505.9 MB
amendable_wisdom v10 712 games, 626177 moves, e=0.380, loss: 10.6, -, 32.7% elo% vs. random_no_suicide, avg. reward: -3.626, 1.357 sec/game, 11.9 min. total, 506.7 MB
amendable_wisdom v10 713 games, 627374 moves, e=0.379, loss: 10.3, -, 31.4% elo% vs. random_no_suicide, avg. reward: -3.621, 1.368 sec/game, 11.9 min. total, 507.1 MB
amendable_wisdom v10 714 games, 628586 moves, e=0.378, loss: 10.4, -, 30.2% elo% vs. random_no_suicide, avg. reward: -3.611, 1.367 sec/game, 11.9 min. total, 507.2 MB
amendable_wisdom v10 715 games, 629741 moves, e=0.377, loss: 10.2, -, 29.0% elo% vs. random_no_suicide, avg. reward: -3.599, 1.365 sec/game, 12.0 min. total, 507.2 MB
amendable_wisdom v10 716 games, 630717 moves, e=0.376, loss: 10.4, -, 27.9% elo% vs. random_no_suicide, avg. reward: -3.592, 1.346 sec/game, 12.0 min. total, 507.2 MB
amendable_wisdom v10 717 games, 631894 moves, e=0.374, loss: 9.9, -, 26.9% elo% vs. random_no_suicide, avg. reward: -3.588, 1.350 sec/game, 12.0 min. total, 507.2 MB
amendable_wisdom v10 718 games, 632878 moves, e=0.373, loss: 10.2, -, 25.9% elo% vs. random_no_suicide, avg. reward: -3.596, 1.347 sec/game, 12.0 min. total, 507.2 MB
amendable_wisdom v10 719 games, 634211 moves, e=0.372, loss: 10.4, -, 25.0% elo% vs. random_no_suicide, avg. reward: -3.575, 1.347 sec/game, 12.0 min. total, 507.3 MB
amendable_wisdom v10 720 games, 635201 moves, e=0.371, loss: 10.2, -, 24.2% elo% vs. random_no_suicide, avg. reward: -3.577, 1.348 sec/game, 12.1 min. total, 507.6 MB
amendable_wisdom v10 721 games, 636357 moves, e=0.370, loss: 10.7, -, 23.4% elo% vs. random_no_suicide, avg. reward: -3.569, 1.361 sec/game, 12.1 min. total, 508.1 MB
amendable_wisdom v10 722 games, 637436 moves, e=0.369, loss: 10.7, -, 22.6% elo% vs. random_no_suicide, avg. reward: -3.565, 1.346 sec/game, 12.1 min. total, 508.6 MB
amendable_wisdom v10 723 games, 638538 moves, e=0.368, loss: 10.6, -, 21.9% elo% vs. random_no_suicide, avg. reward: -3.567, 1.346 sec/game, 12.1 min. total, 508.6 MB
amendable_wisdom v10 724 games, 639619 moves, e=0.367, loss: 10.5, -, 21.2% elo% vs. random_no_suicide, avg. reward: -3.560, 1.338 sec/game, 12.1 min. total, 508.6 MB
amendable_wisdom v10 725 games, 640704 moves, e=0.366, loss: 10.4, -, 20.5% elo% vs. random_no_suicide, avg. reward: -3.563, 1.318 sec/game, 12.2 min. total, 508.6 MB
amendable_wisdom v10 726 games, 641803 moves, e=0.365, loss: 10.5, -, 19.9% elo% vs. random_no_suicide, avg. reward: -3.556, 1.313 sec/game, 12.2 min. total, 508.6 MB
amendable_wisdom v10 727 games, 642886 moves, e=0.364, loss: 10.4, -, 19.4% elo% vs. random_no_suicide, avg. reward: -3.558, 1.297 sec/game, 12.2 min. total, 508.6 MB
amendable_wisdom v10 728 games, 644175 moves, e=0.362, loss: 10.5, -, 18.8% elo% vs. random_no_suicide, avg. reward: -3.548, 1.291 sec/game, 12.2 min. total, 509.0 MB
amendable_wisdom v10 729 games, 645243 moves, e=0.361, loss: 10.5, -, 18.3% elo% vs. random_no_suicide, avg. reward: -3.555, 1.277 sec/game, 12.3 min. total, 509.2 MB
amendable_wisdom v10 730 games, 646296 moves, e=0.360, loss: 11.0, -, 17.8% elo% vs. random_no_suicide, avg. reward: -3.557, 1.259 sec/game, 12.3 min. total, 509.3 MB
amendable_wisdom v10 731 games, 647409 moves, e=0.359, loss: 10.7, -, 17.3% elo% vs. random_no_suicide, avg. reward: -3.548, 1.260 sec/game, 12.3 min. total, 509.3 MB
amendable_wisdom v10 732 games, 648583 moves, e=0.358, loss: 10.8, +, 19.6% elo% vs. random_no_suicide, avg. reward: -3.545, 1.250 sec/game, 12.3 min. total, 509.3 MB
amendable_wisdom v10 733 games, 649805 moves, e=0.357, loss: 10.6, -, 19.0% elo% vs. random_no_suicide, avg. reward: -3.537, 1.240 sec/game, 12.3 min. total, 509.3 MB
amendable_wisdom v10 734 games, 650849 moves, e=0.356, loss: 10.3, -, 18.5% elo% vs. random_no_suicide, avg. reward: -3.530, 1.234 sec/game, 12.4 min. total, 509.3 MB
amendable_wisdom v10 735 games, 652133 moves, e=0.354, loss: 10.2, +, 20.9% elo% vs. random_no_suicide, avg. reward: -3.516, 1.242 sec/game, 12.4 min. total, 509.3 MB
amendable_wisdom v10 736 games, 653269 moves, e=0.353, loss: 10.4, -, 20.2% elo% vs. random_no_suicide, avg. reward: -3.508, 1.248 sec/game, 12.4 min. total, 509.3 MB
amendable_wisdom v10 737 games, 654361 moves, e=0.352, loss: 10.3, -, 19.7% elo% vs. random_no_suicide, avg. reward: -3.508, 1.256 sec/game, 12.4 min. total, 509.4 MB
amendable_wisdom v10 738 games, 655444 moves, e=0.351, loss: 10.4, -, 19.1% elo% vs. random_no_suicide, avg. reward: -3.505, 1.264 sec/game, 12.4 min. total, 511.4 MB
amendable_wisdom v10 739 games, 656687 moves, e=0.350, loss: 10.1, -, 18.6% elo% vs. random_no_suicide, avg. reward: -3.491, 1.269 sec/game, 12.5 min. total, 512.8 MB
amendable_wisdom v10 740 games, 657671 moves, e=0.349, loss: 10.2, -, 18.0% elo% vs. random_no_suicide, avg. reward: -3.490, 1.271 sec/game, 12.5 min. total, 511.6 MB
amendable_wisdom v10 741 games, 658859 moves, e=0.348, loss: 9.6, -, 17.6% elo% vs. random_no_suicide, avg. reward: -3.487, 1.288 sec/game, 12.5 min. total, 511.6 MB
amendable_wisdom v10 742 games, 659887 moves, e=0.347, loss: 9.8, -, 17.1% elo% vs. random_no_suicide, avg. reward: -3.487, 1.298 sec/game, 12.5 min. total, 511.7 MB
amendable_wisdom v10 743 games, 660963 moves, e=0.346, loss: 10.4, -, 16.6% elo% vs. random_no_suicide, avg. reward: -3.494, 1.299 sec/game, 12.6 min. total, 511.7 MB
amendable_wisdom v10 744 games, 662037 moves, e=0.345, loss: 11.2, +, 18.9% elo% vs. random_no_suicide, avg. reward: -3.490, 1.310 sec/game, 12.6 min. total, 511.7 MB
amendable_wisdom v10 745 games, 663236 moves, e=0.343, loss: 10.8, -, 18.4% elo% vs. random_no_suicide, avg. reward: -3.484, 1.339 sec/game, 12.6 min. total, 512.0 MB
amendable_wisdom v10 746 games, 664541 moves, e=0.342, loss: 10.4, -, 17.9% elo% vs. random_no_suicide, avg. reward: -3.477, 1.355 sec/game, 12.6 min. total, 512.0 MB
amendable_wisdom v10 747 games, 665657 moves, e=0.341, loss: 10.3, -, 17.4% elo% vs. random_no_suicide, avg. reward: -3.478, 1.380 sec/game, 12.7 min. total, 512.0 MB
amendable_wisdom v10 748 games, 666702 moves, e=0.340, loss: 10.6, -, 16.9% elo% vs. random_no_suicide, avg. reward: -3.472, 1.395 sec/game, 12.7 min. total, 512.0 MB
amendable_wisdom v10 749 games, 667971 moves, e=0.339, loss: 10.3, ., 17.8% elo% vs. random_no_suicide, avg. reward: -3.462, 1.418 sec/game, 12.7 min. total, 512.3 MB
amendable_wisdom v10 750 games, 669178 moves, e=0.338, loss: 10.2, -, 17.3% elo% vs. random_no_suicide, avg. reward: -3.453, 1.432 sec/game, 12.7 min. total, 512.3 MB
amendable_wisdom v10 751 games, 670329 moves, e=0.336, loss: 9.9, -, 16.9% elo% vs. random_no_suicide, avg. reward: -3.445, 1.439 sec/game, 12.8 min. total, 512.3 MB
amendable_wisdom v10 752 games, 671578 moves, e=0.335, loss: 9.7, -, 16.4% elo% vs. random_no_suicide, avg. reward: -3.438, 1.446 sec/game, 12.8 min. total, 512.3 MB
amendable_wisdom v10 753 games, 672626 moves, e=0.334, loss: 9.8, -, 16.0% elo% vs. random_no_suicide, avg. reward: -3.435, 1.445 sec/game, 12.8 min. total, 512.4 MB
amendable_wisdom v10 754 games, 673670 moves, e=0.333, loss: 10.1, -, 15.6% elo% vs. random_no_suicide, avg. reward: -3.435, 1.452 sec/game, 12.8 min. total, 512.4 MB
amendable_wisdom v10 755 games, 674746 moves, e=0.332, loss: 10.3, -, 15.3% elo% vs. random_no_suicide, avg. reward: -3.434, 1.439 sec/game, 12.9 min. total, 512.4 MB
amendable_wisdom v10 756 games, 675866 moves, e=0.331, loss: 9.8, -, 14.9% elo% vs. random_no_suicide, avg. reward: -3.425, 1.442 sec/game, 12.9 min. total, 512.5 MB
amendable_wisdom v10 757 games, 677164 moves, e=0.330, loss: 9.8, -, 14.6% elo% vs. random_no_suicide, avg. reward: -3.414, 1.455 sec/game, 12.9 min. total, 513.2 MB
amendable_wisdom v10 758 games, 678251 moves, e=0.329, loss: 10.5, +, 16.6% elo% vs. random_no_suicide, avg. reward: -3.416, 1.457 sec/game, 12.9 min. total, 513.7 MB
amendable_wisdom v10 759 games, 679356 moves, e=0.327, loss: 10.3, +, 18.9% elo% vs. random_no_suicide, avg. reward: -3.401, 1.462 sec/game, 13.0 min. total, 513.7 MB
amendable_wisdom v10 760 games, 680667 moves, e=0.326, loss: 10.3, -, 18.3% elo% vs. random_no_suicide, avg. reward: -3.385, 1.477 sec/game, 13.0 min. total, 513.7 MB
amendable_wisdom v10 761 games, 681779 moves, e=0.325, loss: 10.2, -, 17.8% elo% vs. random_no_suicide, avg. reward: -3.385, 1.461 sec/game, 13.0 min. total, 513.7 MB
amendable_wisdom v10 762 games, 683053 moves, e=0.324, loss: 9.9, -, 17.4% elo% vs. random_no_suicide, avg. reward: -3.378, 1.470 sec/game, 13.0 min. total, 513.8 MB
amendable_wisdom v10 763 games, 684386 moves, e=0.322, loss: 9.2, -, 16.9% elo% vs. random_no_suicide, avg. reward: -3.366, 1.485 sec/game, 13.1 min. total, 513.8 MB
amendable_wisdom v10 764 games, 685405 moves, e=0.321, loss: 9.5, -, 16.5% elo% vs. random_no_suicide, avg. reward: -3.370, 1.476 sec/game, 13.1 min. total, 514.3 MB
amendable_wisdom v10 765 games, 686702 moves, e=0.320, loss: 8.9, -, 16.1% elo% vs. random_no_suicide, avg. reward: -3.369, 1.472 sec/game, 13.1 min. total, 514.4 MB
amendable_wisdom v10 766 games, 687889 moves, e=0.319, loss: 9.0, -, 15.7% elo% vs. random_no_suicide, avg. reward: -3.362, 1.462 sec/game, 13.1 min. total, 514.9 MB
amendable_wisdom v10 767 games, 689053 moves, e=0.318, loss: 9.0, -, 15.3% elo% vs. random_no_suicide, avg. reward: -3.362, 1.451 sec/game, 13.2 min. total, 515.0 MB
amendable_wisdom v10 768 games, 690232 moves, e=0.317, loss: 9.1, -, 14.9% elo% vs. random_no_suicide, avg. reward: -3.347, 1.433 sec/game, 13.2 min. total, 515.0 MB
amendable_wisdom v10 769 games, 691413 moves, e=0.316, loss: 9.1, -, 14.6% elo% vs. random_no_suicide, avg. reward: -3.339, 1.422 sec/game, 13.2 min. total, 515.1 MB
amendable_wisdom v10 770 games, 692685 moves, e=0.314, loss: 9.5, +, 16.7% elo% vs. random_no_suicide, avg. reward: -3.336, 1.421 sec/game, 13.2 min. total, 515.1 MB
amendable_wisdom v10 771 games, 693843 moves, e=0.313, loss: 9.3, ., 17.5% elo% vs. random_no_suicide, avg. reward: -3.339, 1.416 sec/game, 13.2 min. total, 515.1 MB
amendable_wisdom v10 772 games, 695109 moves, e=0.312, loss: 9.2, -, 17.1% elo% vs. random_no_suicide, avg. reward: -3.335, 1.417 sec/game, 13.3 min. total, 515.4 MB
amendable_wisdom v10 773 games, 696312 moves, e=0.311, loss: 9.7, -, 16.6% elo% vs. random_no_suicide, avg. reward: -3.326, 1.424 sec/game, 13.3 min. total, 515.4 MB
amendable_wisdom v10 774 games, 697359 moves, e=0.310, loss: 9.5, ., 17.5% elo% vs. random_no_suicide, avg. reward: -3.323, 1.426 sec/game, 13.3 min. total, 515.4 MB
amendable_wisdom v10 775 games, 698560 moves, e=0.308, loss: 9.9, +, 19.8% elo% vs. random_no_suicide, avg. reward: -3.318, 1.434 sec/game, 13.3 min. total, 515.9 MB
amendable_wisdom v10 776 games, 699850 moves, e=0.307, loss: 9.6, -, 19.2% elo% vs. random_no_suicide, avg. reward: -3.315, 1.439 sec/game, 13.4 min. total, 515.9 MB
amendable_wisdom v10 777 games, 701219 moves, e=0.306, loss: 9.1, -, 18.7% elo% vs. random_no_suicide, avg. reward: -3.305, 1.436 sec/game, 13.4 min. total, 515.9 MB
amendable_wisdom v10 778 games, 702311 moves, e=0.305, loss: 8.6, -, 18.2% elo% vs. random_no_suicide, avg. reward: -3.311, 1.427 sec/game, 13.4 min. total, 515.9 MB
amendable_wisdom v10 779 games, 703514 moves, e=0.304, loss: 8.8, +, 20.5% elo% vs. random_no_suicide, avg. reward: -3.306, 1.422 sec/game, 13.4 min. total, 516.0 MB
amendable_wisdom v10 780 games, 704669 moves, e=0.302, loss: 8.9, -, 19.9% elo% vs. random_no_suicide, avg. reward: -3.306, 1.416 sec/game, 13.5 min. total, 516.0 MB
amendable_wisdom v10 781 games, 705973 moves, e=0.301, loss: 8.9, -, 19.3% elo% vs. random_no_suicide, avg. reward: -3.297, 1.422 sec/game, 13.5 min. total, 516.4 MB
amendable_wisdom v10 782 games, 707049 moves, e=0.300, loss: 9.3, -, 18.8% elo% vs. random_no_suicide, avg. reward: -3.293, 1.414 sec/game, 13.5 min. total, 516.7 MB
amendable_wisdom v10 783 games, 708244 moves, e=0.299, loss: 9.3, -, 18.3% elo% vs. random_no_suicide, avg. reward: -3.276, 1.413 sec/game, 13.5 min. total, 517.2 MB
amendable_wisdom v10 784 games, 709442 moves, e=0.298, loss: 9.2, +, 20.6% elo% vs. random_no_suicide, avg. reward: -3.271, 1.435 sec/game, 13.6 min. total, 517.2 MB
amendable_wisdom v10 785 games, 710597 moves, e=0.297, loss: 9.3, +, 23.1% elo% vs. random_no_suicide, avg. reward: -3.264, 1.427 sec/game, 13.6 min. total, 517.2 MB
amendable_wisdom v10 786 games, 711695 moves, e=0.295, loss: 9.6, -, 22.4% elo% vs. random_no_suicide, avg. reward: -3.264, 1.419 sec/game, 13.6 min. total, 517.2 MB
amendable_wisdom v10 787 games, 712810 moves, e=0.294, loss: 10.0, +, 24.9% elo% vs. random_no_suicide, avg. reward: -3.260, 1.413 sec/game, 13.6 min. total, 517.3 MB
amendable_wisdom v10 788 games, 714094 moves, e=0.293, loss: 10.3, -, 24.1% elo% vs. random_no_suicide, avg. reward: -3.259, 1.432 sec/game, 13.7 min. total, 517.3 MB
amendable_wisdom v10 789 games, 715374 moves, e=0.292, loss: 10.0, -, 23.3% elo% vs. random_no_suicide, avg. reward: -3.245, 1.444 sec/game, 13.7 min. total, 517.3 MB
amendable_wisdom v10 790 games, 716610 moves, e=0.291, loss: 10.2, -, 22.5% elo% vs. random_no_suicide, avg. reward: -3.243, 1.442 sec/game, 13.7 min. total, 517.7 MB
amendable_wisdom v10 791 games, 717695 moves, e=0.289, loss: 9.6, -, 21.8% elo% vs. random_no_suicide, avg. reward: -3.246, 1.431 sec/game, 13.7 min. total, 517.7 MB
amendable_wisdom v10 792 games, 718811 moves, e=0.288, loss: 9.8, -, 21.1% elo% vs. random_no_suicide, avg. reward: -3.238, 1.417 sec/game, 13.7 min. total, 518.6 MB
amendable_wisdom v10 793 games, 719921 moves, e=0.287, loss: 9.6, -, 20.5% elo% vs. random_no_suicide, avg. reward: -3.239, 1.420 sec/game, 13.8 min. total, 518.9 MB
amendable_wisdom v10 794 games, 721276 moves, e=0.286, loss: 9.5, -, 19.9% elo% vs. random_no_suicide, avg. reward: -3.228, 1.423 sec/game, 13.8 min. total, 518.9 MB
amendable_wisdom v10 795 games, 722591 moves, e=0.285, loss: 9.7, -, 19.3% elo% vs. random_no_suicide, avg. reward: -3.223, 1.432 sec/game, 13.8 min. total, 518.9 MB
amendable_wisdom v10 796 games, 723748 moves, e=0.283, loss: 9.0, -, 18.8% elo% vs. random_no_suicide, avg. reward: -3.219, 1.424 sec/game, 13.8 min. total, 518.9 MB
amendable_wisdom v10 797 games, 724783 moves, e=0.282, loss: 9.3, -, 18.2% elo% vs. random_no_suicide, avg. reward: -3.220, 1.400 sec/game, 13.9 min. total, 518.9 MB
amendable_wisdom v10 798 games, 726156 moves, e=0.281, loss: 9.1, -, 17.7% elo% vs. random_no_suicide, avg. reward: -3.199, 1.417 sec/game, 13.9 min. total, 519.0 MB
amendable_wisdom v10 799 games, 727290 moves, e=0.280, loss: 9.2, -, 17.3% elo% vs. random_no_suicide, avg. reward: -3.198, 1.402 sec/game, 13.9 min. total, 519.0 MB
amendable_wisdom v10 800 games, 728349 moves, e=0.279, loss: 9.0, -, 16.8% elo% vs. random_no_suicide, avg. reward: -3.191, 1.396 sec/game, 13.9 min. total, 519.1 MB
amendable_wisdom v11 801 games, 729440 moves, e=0.278, loss: 9.2, +, 52.3% elo% vs. random_no_suicide, avg. reward: -3.183, 1.382 sec/game, 13.9 min. total, 520.2 MB
amendable_wisdom v11 802 games, 730516 moves, e=0.277, loss: 9.3, -, 49.9% elo% vs. random_no_suicide, avg. reward: -3.180, 1.388 sec/game, 14.0 min. total, 520.4 MB
amendable_wisdom v11 803 games, 731595 moves, e=0.276, loss: 9.5, +, 52.2% elo% vs. random_no_suicide, avg. reward: -3.168, 1.371 sec/game, 14.0 min. total, 520.4 MB
amendable_wisdom v11 804 games, 732660 moves, e=0.275, loss: 9.8, -, 49.8% elo% vs. random_no_suicide, avg. reward: -3.164, 1.345 sec/game, 14.0 min. total, 520.5 MB
amendable_wisdom v11 805 games, 733871 moves, e=0.273, loss: 9.3, -, 47.5% elo% vs. random_no_suicide, avg. reward: -3.163, 1.347 sec/game, 14.0 min. total, 520.5 MB
amendable_wisdom v11 806 games, 735049 moves, e=0.272, loss: 8.9, -, 45.3% elo% vs. random_no_suicide, avg. reward: -3.159, 1.353 sec/game, 14.1 min. total, 520.5 MB
amendable_wisdom v11 807 games, 736220 moves, e=0.271, loss: 9.1, -, 43.3% elo% vs. random_no_suicide, avg. reward: -3.157, 1.358 sec/game, 14.1 min. total, 520.5 MB
amendable_wisdom v11 808 games, 737356 moves, e=0.270, loss: 9.0, -, 41.3% elo% vs. random_no_suicide, avg. reward: -3.157, 1.341 sec/game, 14.1 min. total, 521.0 MB
amendable_wisdom v11 809 games, 738400 moves, e=0.269, loss: 9.0, -, 39.5% elo% vs. random_no_suicide, avg. reward: -3.158, 1.320 sec/game, 14.1 min. total, 521.1 MB
amendable_wisdom v11 810 games, 739618 moves, e=0.268, loss: 9.6, -, 37.8% elo% vs. random_no_suicide, avg. reward: -3.161, 1.320 sec/game, 14.1 min. total, 521.5 MB
amendable_wisdom v11 811 games, 740773 moves, e=0.267, loss: 9.9, -, 36.1% elo% vs. random_no_suicide, avg. reward: -3.160, 1.332 sec/game, 14.2 min. total, 521.9 MB
amendable_wisdom v11 812 games, 741973 moves, e=0.265, loss: 10.0, -, 34.6% elo% vs. random_no_suicide, avg. reward: -3.159, 1.333 sec/game, 14.2 min. total, 521.9 MB
amendable_wisdom v11 813 games, 743084 moves, e=0.264, loss: 9.7, -, 33.2% elo% vs. random_no_suicide, avg. reward: -3.157, 1.324 sec/game, 14.2 min. total, 522.0 MB
amendable_wisdom v11 814 games, 744245 moves, e=0.263, loss: 10.1, -, 31.9% elo% vs. random_no_suicide, avg. reward: -3.159, 1.319 sec/game, 14.2 min. total, 522.2 MB
amendable_wisdom v11 815 games, 745404 moves, e=0.262, loss: 10.9, +, 34.6% elo% vs. random_no_suicide, avg. reward: -3.160, 1.310 sec/game, 14.3 min. total, 522.2 MB
amendable_wisdom v11 816 games, 746585 moves, e=0.261, loss: 10.4, -, 33.2% elo% vs. random_no_suicide, avg. reward: -3.154, 1.309 sec/game, 14.3 min. total, 522.2 MB
amendable_wisdom v11 817 games, 747762 moves, e=0.260, loss: 10.3, -, 31.9% elo% vs. random_no_suicide, avg. reward: -3.151, 1.322 sec/game, 14.3 min. total, 522.2 MB
amendable_wisdom v11 818 games, 749073 moves, e=0.258, loss: 10.0, -, 30.6% elo% vs. random_no_suicide, avg. reward: -3.132, 1.326 sec/game, 14.3 min. total, 522.3 MB
amendable_wisdom v11 819 games, 750230 moves, e=0.257, loss: 9.5, -, 29.4% elo% vs. random_no_suicide, avg. reward: -3.137, 1.347 sec/game, 14.3 min. total, 523.1 MB
amendable_wisdom v11 820 games, 751406 moves, e=0.256, loss: 9.5, -, 28.3% elo% vs. random_no_suicide, avg. reward: -3.127, 1.367 sec/game, 14.4 min. total, 523.2 MB
amendable_wisdom v11 821 games, 752669 moves, e=0.255, loss: 9.0, -, 27.3% elo% vs. random_no_suicide, avg. reward: -3.118, 1.400 sec/game, 14.4 min. total, 523.2 MB
amendable_wisdom v11 822 games, 754055 moves, e=0.253, loss: 9.0, -, 26.3% elo% vs. random_no_suicide, avg. reward: -3.108, 1.411 sec/game, 14.4 min. total, 523.2 MB
amendable_wisdom v11 823 games, 755161 moves, e=0.252, loss: 8.6, -, 25.4% elo% vs. random_no_suicide, avg. reward: -3.105, 1.411 sec/game, 14.5 min. total, 523.3 MB
amendable_wisdom v11 824 games, 756356 moves, e=0.251, loss: 8.5, -, 24.5% elo% vs. random_no_suicide, avg. reward: -3.099, 1.421 sec/game, 14.5 min. total, 523.3 MB
