amendable_wisdom v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 300.7 MB
amendable_wisdom v2 34 games, 24584 moves, e=0.976, loss: 30.6, ., 54.5% elo% vs. guard_bot, avg. reward: -6.346, 0.817 sec/game, 0.3 min. total, 416.7 MB
amendable_wisdom v2 35 games, 25307 moves, e=0.975, loss: 29.9, ., 54.3% elo% vs. guard_bot, avg. reward: -6.349, 0.801 sec/game, 0.3 min. total, 416.7 MB
amendable_wisdom v2 36 games, 26044 moves, e=0.974, loss: 30.2, ., 54.1% elo% vs. guard_bot, avg. reward: -6.345, 0.798 sec/game, 0.3 min. total, 416.7 MB
amendable_wisdom v2 37 games, 26782 moves, e=0.973, loss: 30.2, ., 53.9% elo% vs. guard_bot, avg. reward: -6.344, 0.796 sec/game, 0.3 min. total, 416.8 MB
amendable_wisdom v2 38 games, 27460 moves, e=0.973, loss: 29.9, ., 53.7% elo% vs. guard_bot, avg. reward: -6.352, 0.784 sec/game, 0.3 min. total, 416.8 MB
amendable_wisdom v2 39 games, 28210 moves, e=0.972, loss: 30.0, ., 53.6% elo% vs. guard_bot, avg. reward: -6.341, 0.788 sec/game, 0.4 min. total, 416.8 MB
amendable_wisdom v2 40 games, 28903 moves, e=0.971, loss: 30.2, ., 53.4% elo% vs. guard_bot, avg. reward: -6.357, 0.781 sec/game, 0.4 min. total, 416.8 MB
amendable_wisdom v2 41 games, 29690 moves, e=0.971, loss: 29.8, ., 53.3% elo% vs. guard_bot, avg. reward: -6.347, 0.783 sec/game, 0.4 min. total, 417.0 MB
amendable_wisdom v2 42 games, 30374 moves, e=0.970, loss: 29.5, ., 53.1% elo% vs. guard_bot, avg. reward: -6.361, 0.791 sec/game, 0.4 min. total, 417.1 MB
amendable_wisdom v2 43 games, 31029 moves, e=0.969, loss: 29.9, ., 53.0% elo% vs. guard_bot, avg. reward: -6.380, 0.800 sec/game, 0.4 min. total, 417.1 MB
amendable_wisdom v2 44 games, 31734 moves, e=0.969, loss: 30.0, ., 52.8% elo% vs. guard_bot, avg. reward: -6.385, 0.794 sec/game, 0.4 min. total, 417.1 MB
amendable_wisdom v2 45 games, 32403 moves, e=0.968, loss: 29.6, ., 52.7% elo% vs. guard_bot, avg. reward: -6.394, 0.800 sec/game, 0.4 min. total, 417.1 MB
amendable_wisdom v2 46 games, 32994 moves, e=0.967, loss: 29.9, ., 52.6% elo% vs. guard_bot, avg. reward: -6.429, 0.781 sec/game, 0.4 min. total, 418.0 MB
amendable_wisdom v2 47 games, 33741 moves, e=0.967, loss: 31.0, ., 52.5% elo% vs. guard_bot, avg. reward: -6.421, 0.779 sec/game, 0.5 min. total, 418.3 MB
amendable_wisdom v2 48 games, 34505 moves, e=0.966, loss: 31.3, ., 52.3% elo% vs. guard_bot, avg. reward: -6.411, 0.770 sec/game, 0.5 min. total, 418.3 MB
amendable_wisdom v2 49 games, 35227 moves, e=0.965, loss: 31.1, ., 52.2% elo% vs. guard_bot, avg. reward: -6.408, 0.775 sec/game, 0.5 min. total, 418.3 MB
amendable_wisdom v2 50 games, 35880 moves, e=0.964, loss: 31.1, ., 52.1% elo% vs. guard_bot, avg. reward: -6.419, 0.771 sec/game, 0.5 min. total, 418.3 MB
amendable_wisdom v2 51 games, 36652 moves, e=0.964, loss: 30.7, ., 52.0% elo% vs. guard_bot, avg. reward: -6.411, 0.776 sec/game, 0.5 min. total, 418.3 MB
amendable_wisdom v2 52 games, 37321 moves, e=0.963, loss: 31.5, ., 51.9% elo% vs. guard_bot, avg. reward: -6.418, 0.761 sec/game, 0.5 min. total, 418.3 MB
amendable_wisdom v2 53 games, 38009 moves, e=0.962, loss: 30.9, ., 51.8% elo% vs. guard_bot, avg. reward: -6.427, 0.755 sec/game, 0.5 min. total, 418.3 MB
amendable_wisdom v2 54 games, 38797 moves, e=0.962, loss: 31.7, ., 51.8% elo% vs. guard_bot, avg. reward: -6.418, 0.764 sec/game, 0.5 min. total, 418.4 MB
amendable_wisdom v2 55 games, 39453 moves, e=0.961, loss: 31.5, ., 51.7% elo% vs. guard_bot, avg. reward: -6.430, 0.772 sec/game, 0.6 min. total, 418.4 MB
amendable_wisdom v2 56 games, 40167 moves, e=0.960, loss: 31.1, ., 51.6% elo% vs. guard_bot, avg. reward: -6.435, 0.770 sec/game, 0.6 min. total, 418.5 MB
amendable_wisdom v2 57 games, 40926 moves, e=0.959, loss: 31.6, ., 51.5% elo% vs. guard_bot, avg. reward: -6.427, 0.785 sec/game, 0.6 min. total, 418.5 MB
amendable_wisdom v2 58 games, 41652 moves, e=0.959, loss: 30.9, ., 51.5% elo% vs. guard_bot, avg. reward: -6.427, 0.805 sec/game, 0.6 min. total, 418.5 MB
amendable_wisdom v2 59 games, 42269 moves, e=0.958, loss: 30.9, ., 51.4% elo% vs. guard_bot, avg. reward: -6.444, 0.804 sec/game, 0.6 min. total, 418.5 MB
