streak_dipper v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.1 MB
streak_dipper v4 144 games, 105887 moves, e=0.895, loss: 6.6, +, 34.9% elo% vs. random_no_suicide, avg. reward: -12.550, 1.269 sec/game, 2.8 min. total, 450.4 MB
streak_dipper v4 145 games, 106747 moves, e=0.894, loss: 6.7, +, 37.6% elo% vs. random_no_suicide, avg. reward: -12.544, 1.270 sec/game, 2.8 min. total, 450.7 MB
streak_dipper v4 146 games, 107492 moves, e=0.894, loss: 6.8, -, 36.0% elo% vs. random_no_suicide, avg. reward: -12.542, 1.301 sec/game, 2.8 min. total, 450.1 MB
streak_dipper v4 147 games, 108201 moves, e=0.893, loss: 6.9, -, 34.5% elo% vs. random_no_suicide, avg. reward: -12.547, 1.296 sec/game, 2.8 min. total, 452.2 MB
streak_dipper v4 148 games, 108999 moves, e=0.892, loss: 6.9, -, 33.1% elo% vs. random_no_suicide, avg. reward: -12.547, 1.299 sec/game, 2.8 min. total, 450.9 MB
streak_dipper v4 149 games, 109776 moves, e=0.891, loss: 6.7, -, 31.7% elo% vs. random_no_suicide, avg. reward: -12.534, 1.301 sec/game, 2.9 min. total, 451.9 MB
streak_dipper v4 150 games, 110553 moves, e=0.891, loss: 7.0, -, 30.5% elo% vs. random_no_suicide, avg. reward: -12.515, 1.278 sec/game, 2.9 min. total, 451.9 MB
streak_dipper v4 151 games, 111337 moves, e=0.890, loss: 7.0, -, 29.3% elo% vs. random_no_suicide, avg. reward: -12.500, 1.283 sec/game, 2.9 min. total, 451.0 MB
streak_dipper v4 152 games, 112156 moves, e=0.889, loss: 7.3, -, 28.2% elo% vs. random_no_suicide, avg. reward: -12.502, 1.282 sec/game, 2.9 min. total, 452.8 MB
streak_dipper v4 153 games, 112931 moves, e=0.888, loss: 8.0, -, 27.2% elo% vs. random_no_suicide, avg. reward: -12.530, 1.279 sec/game, 3.0 min. total, 451.0 MB
streak_dipper v4 154 games, 113695 moves, e=0.887, loss: 8.4, -, 26.2% elo% vs. random_no_suicide, avg. reward: -12.519, 1.277 sec/game, 3.0 min. total, 451.0 MB
streak_dipper v4 155 games, 114413 moves, e=0.887, loss: 8.4, -, 25.3% elo% vs. random_no_suicide, avg. reward: -12.535, 1.277 sec/game, 3.0 min. total, 451.0 MB
streak_dipper v4 156 games, 115137 moves, e=0.886, loss: 8.1, -, 24.4% elo% vs. random_no_suicide, avg. reward: -12.519, 1.264 sec/game, 3.0 min. total, 452.3 MB
streak_dipper v4 157 games, 115832 moves, e=0.885, loss: 7.9, +, 27.1% elo% vs. random_no_suicide, avg. reward: -12.534, 1.263 sec/game, 3.0 min. total, 453.3 MB
streak_dipper v4 158 games, 116560 moves, e=0.885, loss: 7.9, ., 27.9% elo% vs. random_no_suicide, avg. reward: -12.555, 1.257 sec/game, 3.1 min. total, 453.1 MB
streak_dipper v4 159 games, 117309 moves, e=0.884, loss: 8.1, -, 26.9% elo% vs. random_no_suicide, avg. reward: -12.565, 1.258 sec/game, 3.1 min. total, 455.0 MB
streak_dipper v4 160 games, 118090 moves, e=0.883, loss: 8.7, -, 25.9% elo% vs. random_no_suicide, avg. reward: -12.554, 1.273 sec/game, 3.1 min. total, 455.6 MB
streak_dipper v4 161 games, 119013 moves, e=0.882, loss: 8.7, -, 25.0% elo% vs. random_no_suicide, avg. reward: -12.547, 1.286 sec/game, 3.1 min. total, 455.4 MB
streak_dipper v4 162 games, 119803 moves, e=0.881, loss: 8.7, -, 24.2% elo% vs. random_no_suicide, avg. reward: -12.555, 1.323 sec/game, 3.2 min. total, 455.0 MB
streak_dipper v4 163 games, 120591 moves, e=0.881, loss: 8.1, -, 23.3% elo% vs. random_no_suicide, avg. reward: -12.543, 1.334 sec/game, 3.2 min. total, 456.2 MB
streak_dipper v4 164 games, 121194 moves, e=0.880, loss: 8.4, -, 22.6% elo% vs. random_no_suicide, avg. reward: -12.563, 1.319 sec/game, 3.2 min. total, 454.4 MB
streak_dipper v4 165 games, 121848 moves, e=0.879, loss: 8.2, -, 21.9% elo% vs. random_no_suicide, avg. reward: -12.563, 1.308 sec/game, 3.2 min. total, 455.7 MB
streak_dipper v4 166 games, 122657 moves, e=0.879, loss: 8.4, -, 21.2% elo% vs. random_no_suicide, avg. reward: -12.555, 1.288 sec/game, 3.2 min. total, 454.9 MB
streak_dipper v4 167 games, 123438 moves, e=0.878, loss: 8.3, +, 23.7% elo% vs. random_no_suicide, avg. reward: -12.531, 1.301 sec/game, 3.3 min. total, 454.7 MB
streak_dipper v4 168 games, 124222 moves, e=0.877, loss: 7.9, -, 22.9% elo% vs. random_no_suicide, avg. reward: -12.483, 1.297 sec/game, 3.3 min. total, 456.0 MB
streak_dipper v4 169 games, 125109 moves, e=0.876, loss: 8.1, ., 23.8% elo% vs. random_no_suicide, avg. reward: -12.464, 1.315 sec/game, 3.3 min. total, 457.1 MB
streak_dipper v4 170 games, 125795 moves, e=0.875, loss: 8.0, ., 24.7% elo% vs. random_no_suicide, avg. reward: -12.452, 1.313 sec/game, 3.3 min. total, 458.6 MB
streak_dipper v4 171 games, 126715 moves, e=0.875, loss: 7.6, -, 23.9% elo% vs. random_no_suicide, avg. reward: -12.424, 1.306 sec/game, 3.4 min. total, 456.4 MB
streak_dipper v4 172 games, 127495 moves, e=0.874, loss: 7.4, -, 23.1% elo% vs. random_no_suicide, avg. reward: -12.404, 1.307 sec/game, 3.4 min. total, 457.3 MB
streak_dipper v4 173 games, 128247 moves, e=0.873, loss: 7.5, -, 22.3% elo% vs. random_no_suicide, avg. reward: -12.397, 1.303 sec/game, 3.4 min. total, 457.8 MB
streak_dipper v4 174 games, 129016 moves, e=0.872, loss: 7.4, +, 24.9% elo% vs. random_no_suicide, avg. reward: -12.392, 1.306 sec/game, 3.4 min. total, 456.9 MB
streak_dipper v4 175 games, 129792 moves, e=0.872, loss: 7.8, -, 24.1% elo% vs. random_no_suicide, avg. reward: -12.370, 1.311 sec/game, 3.4 min. total, 457.1 MB
streak_dipper v4 176 games, 130651 moves, e=0.871, loss: 7.9, +, 26.7% elo% vs. random_no_suicide, avg. reward: -12.334, 1.325 sec/game, 3.5 min. total, 458.6 MB
streak_dipper v4 177 games, 131511 moves, e=0.870, loss: 7.8, -, 25.8% elo% vs. random_no_suicide, avg. reward: -12.316, 1.370 sec/game, 3.5 min. total, 457.3 MB
streak_dipper v4 178 games, 132374 moves, e=0.869, loss: 8.0, +, 28.5% elo% vs. random_no_suicide, avg. reward: -12.304, 1.405 sec/game, 3.5 min. total, 456.3 MB
streak_dipper v4 179 games, 133110 moves, e=0.868, loss: 7.5, +, 31.2% elo% vs. random_no_suicide, avg. reward: -12.296, 1.387 sec/game, 3.5 min. total, 457.1 MB
streak_dipper v4 180 games, 133812 moves, e=0.868, loss: 7.8, -, 30.0% elo% vs. random_no_suicide, avg. reward: -12.296, 1.391 sec/game, 3.6 min. total, 457.8 MB
streak_dipper v4 181 games, 134499 moves, e=0.867, loss: 7.9, +, 32.8% elo% vs. random_no_suicide, avg. reward: -12.297, 1.376 sec/game, 3.6 min. total, 457.5 MB
streak_dipper v4 182 games, 135272 moves, e=0.866, loss: 8.1, +, 35.6% elo% vs. random_no_suicide, avg. reward: -12.280, 1.349 sec/game, 3.6 min. total, 458.5 MB
streak_dipper v4 183 games, 135938 moves, e=0.865, loss: 7.9, -, 34.1% elo% vs. random_no_suicide, avg. reward: -12.314, 1.336 sec/game, 3.6 min. total, 458.2 MB
streak_dipper v4 184 games, 136625 moves, e=0.865, loss: 7.9, -, 32.7% elo% vs. random_no_suicide, avg. reward: -12.321, 1.343 sec/game, 3.6 min. total, 456.9 MB
streak_dipper v4 185 games, 137392 moves, e=0.864, loss: 7.9, -, 31.4% elo% vs. random_no_suicide, avg. reward: -12.302, 1.347 sec/game, 3.7 min. total, 457.3 MB
streak_dipper v4 186 games, 138117 moves, e=0.863, loss: 8.0, -, 30.1% elo% vs. random_no_suicide, avg. reward: -12.303, 1.333 sec/game, 3.7 min. total, 458.4 MB
streak_dipper v4 187 games, 138902 moves, e=0.862, loss: 8.0, -, 29.0% elo% vs. random_no_suicide, avg. reward: -12.299, 1.315 sec/game, 3.7 min. total, 459.6 MB
streak_dipper v4 188 games, 139503 moves, e=0.862, loss: 8.1, -, 27.9% elo% vs. random_no_suicide, avg. reward: -12.336, 1.291 sec/game, 3.7 min. total, 459.0 MB
streak_dipper v4 189 games, 140245 moves, e=0.861, loss: 8.6, +, 30.6% elo% vs. random_no_suicide, avg. reward: -12.350, 1.269 sec/game, 3.7 min. total, 460.8 MB
streak_dipper v4 190 games, 141001 moves, e=0.860, loss: 8.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: -12.343, 1.267 sec/game, 3.7 min. total, 459.0 MB
streak_dipper v4 191 games, 141814 moves, e=0.860, loss: 8.7, +, 32.2% elo% vs. random_no_suicide, avg. reward: -12.339, 1.254 sec/game, 3.8 min. total, 461.3 MB
streak_dipper v4 192 games, 142608 moves, e=0.859, loss: 9.3, -, 30.9% elo% vs. random_no_suicide, avg. reward: -12.344, 1.251 sec/game, 3.8 min. total, 459.1 MB
streak_dipper v4 193 games, 143396 moves, e=0.858, loss: 8.9, -, 29.7% elo% vs. random_no_suicide, avg. reward: -12.319, 1.255 sec/game, 3.8 min. total, 459.8 MB
streak_dipper v4 194 games, 144241 moves, e=0.857, loss: 8.7, -, 28.6% elo% vs. random_no_suicide, avg. reward: -12.289, 1.253 sec/game, 3.8 min. total, 459.3 MB
streak_dipper v4 195 games, 144988 moves, e=0.856, loss: 9.2, +, 31.4% elo% vs. random_no_suicide, avg. reward: -12.279, 1.245 sec/game, 3.9 min. total, 459.4 MB
streak_dipper v4 196 games, 145789 moves, e=0.856, loss: 9.3, -, 30.1% elo% vs. random_no_suicide, avg. reward: -12.279, 1.228 sec/game, 3.9 min. total, 461.3 MB
streak_dipper v4 197 games, 146572 moves, e=0.855, loss: 9.3, -, 29.0% elo% vs. random_no_suicide, avg. reward: -12.289, 1.194 sec/game, 3.9 min. total, 462.8 MB
streak_dipper v4 198 games, 147386 moves, e=0.854, loss: 8.9, +, 31.7% elo% vs. random_no_suicide, avg. reward: -12.283, 1.155 sec/game, 3.9 min. total, 462.0 MB
streak_dipper v4 199 games, 148226 moves, e=0.853, loss: 8.7, +, 34.5% elo% vs. random_no_suicide, avg. reward: -12.273, 1.169 sec/game, 3.9 min. total, 461.7 MB
streak_dipper v4 200 games, 149094 moves, e=0.852, loss: 8.4, +, 37.3% elo% vs. random_no_suicide, avg. reward: -12.254, 1.158 sec/game, 3.9 min. total, 463.3 MB
streak_dipper v5 201 games, 149939 moves, e=0.852, loss: 8.1, +, 52.3% elo% vs. random_no_suicide, avg. reward: -12.215, 1.167 sec/game, 4.0 min. total, 462.7 MB
streak_dipper v5 202 games, 150749 moves, e=0.851, loss: 8.5, +, 54.5% elo% vs. random_no_suicide, avg. reward: -12.188, 1.160 sec/game, 4.0 min. total, 462.4 MB
streak_dipper v5 203 games, 151508 moves, e=0.850, loss: 8.1, -, 52.0% elo% vs. random_no_suicide, avg. reward: -12.207, 1.160 sec/game, 4.0 min. total, 463.8 MB
streak_dipper v5 204 games, 152260 moves, e=0.849, loss: 8.0, +, 54.2% elo% vs. random_no_suicide, avg. reward: -12.190, 1.166 sec/game, 4.0 min. total, 462.4 MB
streak_dipper v5 205 games, 153037 moves, e=0.848, loss: 7.6, +, 56.3% elo% vs. random_no_suicide, avg. reward: -12.197, 1.166 sec/game, 4.0 min. total, 462.0 MB
streak_dipper v5 206 games, 153784 moves, e=0.848, loss: 7.9, +, 58.2% elo% vs. random_no_suicide, avg. reward: -12.195, 1.165 sec/game, 4.1 min. total, 462.1 MB
streak_dipper v5 207 games, 154664 moves, e=0.847, loss: 7.9, -, 55.6% elo% vs. random_no_suicide, avg. reward: -12.149, 1.198 sec/game, 4.1 min. total, 464.1 MB
streak_dipper v5 208 games, 155456 moves, e=0.846, loss: 7.8, +, 57.6% elo% vs. random_no_suicide, avg. reward: -12.143, 1.257 sec/game, 4.1 min. total, 465.1 MB
streak_dipper v5 209 games, 156276 moves, e=0.845, loss: 7.4, +, 59.5% elo% vs. random_no_suicide, avg. reward: -12.123, 1.284 sec/game, 4.2 min. total, 466.1 MB
streak_dipper v5 210 games, 157019 moves, e=0.845, loss: 7.6, +, 61.3% elo% vs. random_no_suicide, avg. reward: -12.112, 1.314 sec/game, 4.2 min. total, 464.6 MB
streak_dipper v5 211 games, 157798 moves, e=0.844, loss: 7.9, +, 63.0% elo% vs. random_no_suicide, avg. reward: -12.113, 1.340 sec/game, 4.2 min. total, 465.9 MB
streak_dipper v5 212 games, 158543 moves, e=0.843, loss: 7.9, +, 64.6% elo% vs. random_no_suicide, avg. reward: -12.093, 1.352 sec/game, 4.2 min. total, 466.8 MB
streak_dipper v5 213 games, 159234 moves, e=0.842, loss: 8.2, ., 63.9% elo% vs. random_no_suicide, avg. reward: -12.113, 1.366 sec/game, 4.3 min. total, 464.6 MB
streak_dipper v5 214 games, 160166 moves, e=0.841, loss: 8.2, -, 61.2% elo% vs. random_no_suicide, avg. reward: -12.073, 1.400 sec/game, 4.3 min. total, 465.5 MB
streak_dipper v5 215 games, 160906 moves, e=0.841, loss: 8.2, +, 62.9% elo% vs. random_no_suicide, avg. reward: -12.060, 1.411 sec/game, 4.3 min. total, 464.6 MB
streak_dipper v5 216 games, 161713 moves, e=0.840, loss: 8.4, -, 60.1% elo% vs. random_no_suicide, avg. reward: -12.046, 1.424 sec/game, 4.3 min. total, 465.5 MB
streak_dipper v5 217 games, 162580 moves, e=0.839, loss: 7.7, +, 61.9% elo% vs. random_no_suicide, avg. reward: -12.037, 1.435 sec/game, 4.4 min. total, 464.6 MB
streak_dipper v5 218 games, 163409 moves, e=0.838, loss: 8.2, +, 63.5% elo% vs. random_no_suicide, avg. reward: -12.008, 1.444 sec/game, 4.4 min. total, 465.9 MB
streak_dipper v5 219 games, 164158 moves, e=0.837, loss: 8.6, -, 60.8% elo% vs. random_no_suicide, avg. reward: -12.010, 1.443 sec/game, 4.4 min. total, 464.8 MB
streak_dipper v5 220 games, 164868 moves, e=0.837, loss: 8.0, +, 62.5% elo% vs. random_no_suicide, avg. reward: -11.990, 1.449 sec/game, 4.4 min. total, 468.3 MB
streak_dipper v5 221 games, 165676 moves, e=0.836, loss: 8.0, +, 64.1% elo% vs. random_no_suicide, avg. reward: -12.000, 1.449 sec/game, 4.5 min. total, 466.5 MB
streak_dipper v5 222 games, 166380 moves, e=0.835, loss: 8.5, +, 65.6% elo% vs. random_no_suicide, avg. reward: -11.996, 1.443 sec/game, 4.5 min. total, 468.4 MB
streak_dipper v5 223 games, 167136 moves, e=0.835, loss: 8.3, +, 67.0% elo% vs. random_no_suicide, avg. reward: -12.001, 1.449 sec/game, 4.5 min. total, 468.4 MB
streak_dipper v5 224 games, 168075 moves, e=0.834, loss: 9.2, -, 64.2% elo% vs. random_no_suicide, avg. reward: -11.953, 1.471 sec/game, 4.5 min. total, 466.4 MB
streak_dipper v5 225 games, 168801 moves, e=0.833, loss: 8.4, +, 65.7% elo% vs. random_no_suicide, avg. reward: -11.966, 1.468 sec/game, 4.5 min. total, 468.1 MB
streak_dipper v5 226 games, 169514 moves, e=0.832, loss: 8.3, +, 67.1% elo% vs. random_no_suicide, avg. reward: -11.974, 1.472 sec/game, 4.6 min. total, 468.5 MB
streak_dipper v5 227 games, 170216 moves, e=0.831, loss: 8.0, +, 68.4% elo% vs. random_no_suicide, avg. reward: -12.006, 1.436 sec/game, 4.6 min. total, 468.5 MB
streak_dipper v5 228 games, 171015 moves, e=0.831, loss: 8.1, -, 65.7% elo% vs. random_no_suicide, avg. reward: -12.000, 1.406 sec/game, 4.6 min. total, 467.8 MB
streak_dipper v5 229 games, 171878 moves, e=0.830, loss: 7.7, -, 62.9% elo% vs. random_no_suicide, avg. reward: -11.985, 1.384 sec/game, 4.6 min. total, 467.8 MB
streak_dipper v5 230 games, 172770 moves, e=0.829, loss: 8.2, +, 64.5% elo% vs. random_no_suicide, avg. reward: -11.984, 1.371 sec/game, 4.6 min. total, 469.9 MB
streak_dipper v5 231 games, 173652 moves, e=0.828, loss: 7.6, +, 66.0% elo% vs. random_no_suicide, avg. reward: -11.990, 1.366 sec/game, 4.7 min. total, 470.6 MB
streak_dipper v5 232 games, 174430 moves, e=0.827, loss: 7.8, +, 67.3% elo% vs. random_no_suicide, avg. reward: -11.992, 1.348 sec/game, 4.7 min. total, 469.8 MB
streak_dipper v5 233 games, 175253 moves, e=0.826, loss: 8.0, ., 66.6% elo% vs. random_no_suicide, avg. reward: -12.005, 1.346 sec/game, 4.7 min. total, 468.9 MB
streak_dipper v5 234 games, 176019 moves, e=0.826, loss: 7.6, -, 63.9% elo% vs. random_no_suicide, avg. reward: -11.987, 1.311 sec/game, 4.7 min. total, 469.8 MB
streak_dipper v5 235 games, 176673 moves, e=0.825, loss: 7.8, +, 65.4% elo% vs. random_no_suicide, avg. reward: -12.013, 1.292 sec/game, 4.8 min. total, 469.9 MB
streak_dipper v5 236 games, 177587 moves, e=0.824, loss: 7.6, -, 62.6% elo% vs. random_no_suicide, avg. reward: -11.995, 1.293 sec/game, 4.8 min. total, 469.9 MB
streak_dipper v5 237 games, 178441 moves, e=0.823, loss: 7.7, -, 59.9% elo% vs. random_no_suicide, avg. reward: -11.972, 1.290 sec/game, 4.8 min. total, 470.9 MB
streak_dipper v5 238 games, 179361 moves, e=0.822, loss: 8.3, +, 61.6% elo% vs. random_no_suicide, avg. reward: -11.947, 1.297 sec/game, 4.8 min. total, 469.8 MB
streak_dipper v5 239 games, 180238 moves, e=0.822, loss: 8.4, ., 61.1% elo% vs. random_no_suicide, avg. reward: -11.941, 1.307 sec/game, 4.8 min. total, 469.9 MB
streak_dipper v5 240 games, 181107 moves, e=0.821, loss: 8.6, -, 58.4% elo% vs. random_no_suicide, avg. reward: -11.923, 1.306 sec/game, 4.9 min. total, 470.2 MB
streak_dipper v5 241 games, 182035 moves, e=0.820, loss: 8.8, +, 60.3% elo% vs. random_no_suicide, avg. reward: -11.900, 1.318 sec/game, 4.9 min. total, 471.1 MB
streak_dipper v5 242 games, 182870 moves, e=0.819, loss: 8.8, ., 59.8% elo% vs. random_no_suicide, avg. reward: -11.877, 1.323 sec/game, 4.9 min. total, 470.8 MB
streak_dipper v5 243 games, 183751 moves, e=0.818, loss: 8.7, -, 57.1% elo% vs. random_no_suicide, avg. reward: -11.865, 1.330 sec/game, 4.9 min. total, 471.7 MB
streak_dipper v5 244 games, 184648 moves, e=0.817, loss: 8.4, +, 59.1% elo% vs. random_no_suicide, avg. reward: -11.832, 1.325 sec/game, 5.0 min. total, 471.7 MB
streak_dipper v5 245 games, 185457 moves, e=0.816, loss: 8.1, +, 60.9% elo% vs. random_no_suicide, avg. reward: -11.841, 1.331 sec/game, 5.0 min. total, 470.9 MB
streak_dipper v5 246 games, 186218 moves, e=0.816, loss: 8.1, +, 62.6% elo% vs. random_no_suicide, avg. reward: -11.831, 1.333 sec/game, 5.0 min. total, 472.1 MB
streak_dipper v5 247 games, 187067 moves, e=0.815, loss: 8.1, +, 64.2% elo% vs. random_no_suicide, avg. reward: -11.812, 1.347 sec/game, 5.0 min. total, 470.9 MB
streak_dipper v5 248 games, 187806 moves, e=0.814, loss: 8.2, +, 65.7% elo% vs. random_no_suicide, avg. reward: -11.817, 1.337 sec/game, 5.0 min. total, 471.0 MB
streak_dipper v5 249 games, 188722 moves, e=0.813, loss: 8.1, -, 62.9% elo% vs. random_no_suicide, avg. reward: -11.805, 1.344 sec/game, 5.1 min. total, 472.5 MB
streak_dipper v5 250 games, 189570 moves, e=0.812, loss: 7.7, +, 64.5% elo% vs. random_no_suicide, avg. reward: -11.795, 1.340 sec/game, 5.1 min. total, 474.3 MB
streak_dipper v5 251 games, 190324 moves, e=0.812, loss: 8.0, ., 63.9% elo% vs. random_no_suicide, avg. reward: -11.795, 1.320 sec/game, 5.1 min. total, 475.3 MB
streak_dipper v5 252 games, 191100 moves, e=0.811, loss: 8.0, +, 65.4% elo% vs. random_no_suicide, avg. reward: -11.800, 1.319 sec/game, 5.1 min. total, 474.4 MB
streak_dipper v5 253 games, 192113 moves, e=0.810, loss: 8.9, +, 66.8% elo% vs. random_no_suicide, avg. reward: -11.768, 1.333 sec/game, 5.2 min. total, 474.4 MB
streak_dipper v5 254 games, 192940 moves, e=0.809, loss: 8.7, +, 68.2% elo% vs. random_no_suicide, avg. reward: -11.756, 1.347 sec/game, 5.2 min. total, 475.3 MB
streak_dipper v5 255 games, 193795 moves, e=0.808, loss: 9.1, +, 69.4% elo% vs. random_no_suicide, avg. reward: -11.729, 1.368 sec/game, 5.2 min. total, 475.6 MB
streak_dipper v5 256 games, 194470 moves, e=0.807, loss: 8.3, -, 66.6% elo% vs. random_no_suicide, avg. reward: -11.740, 1.352 sec/game, 5.2 min. total, 477.0 MB
streak_dipper v5 257 games, 195357 moves, e=0.807, loss: 8.3, -, 63.9% elo% vs. random_no_suicide, avg. reward: -11.711, 1.350 sec/game, 5.2 min. total, 474.8 MB
streak_dipper v5 258 games, 196169 moves, e=0.806, loss: 8.4, ., 63.3% elo% vs. random_no_suicide, avg. reward: -11.697, 1.337 sec/game, 5.3 min. total, 477.1 MB
streak_dipper v5 259 games, 196979 moves, e=0.805, loss: 8.5, -, 60.5% elo% vs. random_no_suicide, avg. reward: -11.688, 1.327 sec/game, 5.3 min. total, 474.9 MB
streak_dipper v5 260 games, 197894 moves, e=0.804, loss: 9.0, +, 62.2% elo% vs. random_no_suicide, avg. reward: -11.665, 1.342 sec/game, 5.3 min. total, 475.2 MB
streak_dipper v5 261 games, 198743 moves, e=0.803, loss: 9.3, +, 63.9% elo% vs. random_no_suicide, avg. reward: -11.675, 1.324 sec/game, 5.3 min. total, 476.9 MB
streak_dipper v5 262 games, 199612 moves, e=0.802, loss: 9.4, +, 65.4% elo% vs. random_no_suicide, avg. reward: -11.664, 1.337 sec/game, 5.4 min. total, 476.0 MB
streak_dipper v5 263 games, 200423 moves, e=0.802, loss: 9.1, +, 66.8% elo% vs. random_no_suicide, avg. reward: -11.659, 1.331 sec/game, 5.4 min. total, 477.9 MB
streak_dipper v5 264 games, 201285 moves, e=0.801, loss: 8.8, +, 68.2% elo% vs. random_no_suicide, avg. reward: -11.604, 1.329 sec/game, 5.4 min. total, 478.0 MB
streak_dipper v5 265 games, 202114 moves, e=0.800, loss: 8.1, -, 65.4% elo% vs. random_no_suicide, avg. reward: -11.569, 1.345 sec/game, 5.4 min. total, 478.1 MB
streak_dipper v5 266 games, 202912 moves, e=0.799, loss: 7.1, +, 66.8% elo% vs. random_no_suicide, avg. reward: -11.566, 1.345 sec/game, 5.4 min. total, 478.7 MB
streak_dipper v5 267 games, 203814 moves, e=0.798, loss: 7.8, +, 68.1% elo% vs. random_no_suicide, avg. reward: -11.550, 1.346 sec/game, 5.5 min. total, 478.9 MB
streak_dipper v5 268 games, 204707 moves, e=0.797, loss: 7.6, +, 69.4% elo% vs. random_no_suicide, avg. reward: -11.535, 1.360 sec/game, 5.5 min. total, 480.5 MB
streak_dipper v5 269 games, 205604 moves, e=0.796, loss: 7.8, +, 70.6% elo% vs. random_no_suicide, avg. reward: -11.530, 1.360 sec/game, 5.5 min. total, 477.9 MB
streak_dipper v6 270 games, 206527 moves, e=0.796, loss: 7.9, -, 45.5% elo% vs. simple_bot, avg. reward: -11.493, 1.357 sec/game, 5.5 min. total, 478.9 MB
streak_dipper v6 271 games, 207383 moves, e=0.795, loss: 8.0, -, 43.4% elo% vs. simple_bot, avg. reward: -11.499, 1.364 sec/game, 5.6 min. total, 480.5 MB
streak_dipper v6 272 games, 208202 moves, e=0.794, loss: 8.1, -, 41.5% elo% vs. simple_bot, avg. reward: -11.489, 1.364 sec/game, 5.6 min. total, 479.6 MB
streak_dipper v6 273 games, 209274 moves, e=0.793, loss: 8.4, -, 39.6% elo% vs. simple_bot, avg. reward: -11.454, 1.353 sec/game, 5.6 min. total, 480.9 MB
streak_dipper v6 274 games, 210206 moves, e=0.792, loss: 8.3, -, 37.9% elo% vs. simple_bot, avg. reward: -11.434, 1.352 sec/game, 5.6 min. total, 480.4 MB
streak_dipper v6 275 games, 210978 moves, e=0.791, loss: 8.6, -, 36.3% elo% vs. simple_bot, avg. reward: -11.435, 1.340 sec/game, 5.7 min. total, 481.3 MB
streak_dipper v6 276 games, 211700 moves, e=0.790, loss: 8.4, -, 34.8% elo% vs. simple_bot, avg. reward: -11.458, 1.336 sec/game, 5.7 min. total, 482.0 MB
streak_dipper v6 277 games, 212534 moves, e=0.790, loss: 8.7, -, 33.3% elo% vs. simple_bot, avg. reward: -11.459, 1.333 sec/game, 5.7 min. total, 481.9 MB
streak_dipper v6 278 games, 213429 moves, e=0.789, loss: 10.0, -, 32.0% elo% vs. simple_bot, avg. reward: -11.453, 1.341 sec/game, 5.7 min. total, 482.5 MB
streak_dipper v6 279 games, 214291 moves, e=0.788, loss: 9.9, -, 30.7% elo% vs. simple_bot, avg. reward: -11.432, 1.345 sec/game, 5.7 min. total, 484.7 MB
streak_dipper v6 280 games, 215101 moves, e=0.787, loss: 9.5, -, 29.5% elo% vs. simple_bot, avg. reward: -11.401, 1.325 sec/game, 5.8 min. total, 483.8 MB
streak_dipper v6 281 games, 215865 moves, e=0.786, loss: 9.5, -, 28.4% elo% vs. simple_bot, avg. reward: -11.387, 1.322 sec/game, 5.8 min. total, 483.5 MB
streak_dipper v6 282 games, 216610 moves, e=0.786, loss: 9.9, -, 27.3% elo% vs. simple_bot, avg. reward: -11.388, 1.311 sec/game, 5.8 min. total, 482.9 MB
streak_dipper v6 283 games, 217544 moves, e=0.785, loss: 9.3, -, 26.4% elo% vs. simple_bot, avg. reward: -11.338, 1.339 sec/game, 5.8 min. total, 485.2 MB
streak_dipper v6 284 games, 218289 moves, e=0.784, loss: 9.4, -, 25.4% elo% vs. simple_bot, avg. reward: -11.324, 1.336 sec/game, 5.9 min. total, 484.9 MB
streak_dipper v6 285 games, 219133 moves, e=0.783, loss: 9.8, -, 24.5% elo% vs. simple_bot, avg. reward: -11.316, 1.329 sec/game, 5.9 min. total, 485.5 MB
streak_dipper v6 286 games, 219949 moves, e=0.782, loss: 10.2, -, 23.7% elo% vs. simple_bot, avg. reward: -11.294, 1.343 sec/game, 5.9 min. total, 487.3 MB
streak_dipper v6 287 games, 220742 moves, e=0.781, loss: 10.8, -, 22.9% elo% vs. simple_bot, avg. reward: -11.283, 1.345 sec/game, 5.9 min. total, 486.9 MB
streak_dipper v6 288 games, 221488 moves, e=0.781, loss: 10.4, -, 22.2% elo% vs. simple_bot, avg. reward: -11.252, 1.333 sec/game, 5.9 min. total, 486.0 MB
streak_dipper v6 289 games, 222462 moves, e=0.780, loss: 10.0, -, 21.5% elo% vs. simple_bot, avg. reward: -11.215, 1.340 sec/game, 6.0 min. total, 487.3 MB
streak_dipper v6 290 games, 223438 moves, e=0.779, loss: 10.0, -, 20.8% elo% vs. simple_bot, avg. reward: -11.184, 1.377 sec/game, 6.0 min. total, 485.5 MB
streak_dipper v6 291 games, 224334 moves, e=0.778, loss: 9.7, -, 20.2% elo% vs. simple_bot, avg. reward: -11.170, 1.394 sec/game, 6.0 min. total, 486.9 MB
streak_dipper v6 292 games, 225171 moves, e=0.777, loss: 10.2, -, 19.6% elo% vs. simple_bot, avg. reward: -11.160, 1.404 sec/game, 6.1 min. total, 488.2 MB
streak_dipper v6 293 games, 225926 moves, e=0.776, loss: 9.7, -, 19.1% elo% vs. simple_bot, avg. reward: -11.166, 1.392 sec/game, 6.1 min. total, 486.4 MB
