streak_dipper v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.1 MB
streak_dipper v2 35 games, 24315 moves, e=0.976, loss: 12.5, ., 61.7% elo% vs. guard_bot, avg. reward: -13.598, 1.378 sec/game, 0.5 min. total, 427.2 MB
streak_dipper v2 36 games, 24970 moves, e=0.975, loss: 12.4, ., 61.1% elo% vs. guard_bot, avg. reward: -13.633, 1.383 sec/game, 0.5 min. total, 427.4 MB
streak_dipper v2 37 games, 25783 moves, e=0.974, loss: 13.0, ., 60.7% elo% vs. guard_bot, avg. reward: -13.580, 1.398 sec/game, 0.6 min. total, 427.5 MB
streak_dipper v2 38 games, 26495 moves, e=0.974, loss: 13.3, +, 62.4% elo% vs. guard_bot, avg. reward: -13.575, 1.385 sec/game, 0.6 min. total, 427.0 MB
streak_dipper v2 39 games, 27214 moves, e=0.973, loss: 11.6, +, 64.0% elo% vs. guard_bot, avg. reward: -13.559, 1.388 sec/game, 0.6 min. total, 426.2 MB
streak_dipper v2 40 games, 27956 moves, e=0.972, loss: 11.6, ., 63.4% elo% vs. guard_bot, avg. reward: -13.522, 1.340 sec/game, 0.6 min. total, 426.1 MB
streak_dipper v2 41 games, 28596 moves, e=0.972, loss: 12.0, ., 62.8% elo% vs. guard_bot, avg. reward: -13.550, 1.321 sec/game, 0.6 min. total, 427.3 MB
streak_dipper v2 42 games, 29405 moves, e=0.971, loss: 11.8, +, 64.4% elo% vs. guard_bot, avg. reward: -13.506, 1.320 sec/game, 0.7 min. total, 426.0 MB
streak_dipper v2 43 games, 30065 moves, e=0.970, loss: 11.1, +, 65.9% elo% vs. guard_bot, avg. reward: -13.519, 1.310 sec/game, 0.7 min. total, 426.8 MB
streak_dipper v2 44 games, 30816 moves, e=0.969, loss: 11.0, +, 67.3% elo% vs. guard_bot, avg. reward: -13.500, 1.312 sec/game, 0.7 min. total, 428.8 MB
streak_dipper v2 45 games, 31626 moves, e=0.969, loss: 11.1, ., 66.6% elo% vs. guard_bot, avg. reward: -13.451, 1.309 sec/game, 0.7 min. total, 429.3 MB
streak_dipper v2 46 games, 32350 moves, e=0.968, loss: 12.1, +, 67.9% elo% vs. guard_bot, avg. reward: -13.443, 1.303 sec/game, 0.7 min. total, 429.8 MB
streak_dipper v2 47 games, 33086 moves, e=0.967, loss: 12.4, +, 69.2% elo% vs. guard_bot, avg. reward: -13.421, 1.309 sec/game, 0.8 min. total, 429.2 MB
