smelting_pointy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 327.6 MB
smelting_pointy v9 539 games, 514852 moves, e=0.490, loss: 1.5, +, 50.6% elo% vs. v7, avg. reward: 0.678, 3.651 sec/game, 24.2 min. total, 725.2 MB
smelting_pointy v9 540 games, 515989 moves, e=0.489, loss: 1.6, -, 48.3% elo% vs. v7, avg. reward: 0.680, 3.620 sec/game, 24.2 min. total, 725.3 MB
smelting_pointy v9 541 games, 517350 moves, e=0.488, loss: 1.5, +, 50.6% elo% vs. v7, avg. reward: 0.681, 3.623 sec/game, 24.3 min. total, 727.3 MB
smelting_pointy v9 542 games, 518597 moves, e=0.487, loss: 1.5, +, 52.9% elo% vs. v7, avg. reward: 0.680, 3.622 sec/game, 24.3 min. total, 731.4 MB
smelting_pointy v9 543 games, 519699 moves, e=0.485, loss: 1.6, -, 50.5% elo% vs. v7, avg. reward: 0.680, 3.601 sec/game, 24.4 min. total, 731.1 MB
smelting_pointy v9 544 games, 521032 moves, e=0.484, loss: 1.7, -, 48.2% elo% vs. v7, avg. reward: 0.682, 3.619 sec/game, 24.5 min. total, 731.0 MB
smelting_pointy v9 545 games, 522526 moves, e=0.483, loss: 1.7, -, 45.9% elo% vs. v7, avg. reward: 0.684, 3.650 sec/game, 24.5 min. total, 731.9 MB
smelting_pointy v9 546 games, 523971 moves, e=0.481, loss: 1.7, -, 43.9% elo% vs. v7, avg. reward: 0.685, 3.667 sec/game, 24.6 min. total, 731.8 MB
smelting_pointy v9 547 games, 525155 moves, e=0.480, loss: 1.8, -, 41.9% elo% vs. v7, avg. reward: 0.683, 3.633 sec/game, 24.6 min. total, 731.7 MB
smelting_pointy v9 548 games, 526386 moves, e=0.479, loss: 1.7, -, 40.0% elo% vs. v7, avg. reward: 0.684, 3.633 sec/game, 24.7 min. total, 731.9 MB
smelting_pointy v9 549 games, 527413 moves, e=0.478, loss: 1.9, +, 42.7% elo% vs. v7, avg. reward: 0.683, 3.603 sec/game, 24.8 min. total, 732.3 MB
smelting_pointy v9 550 games, 528762 moves, e=0.477, loss: 2.1, -, 40.8% elo% vs. v7, avg. reward: 0.682, 3.571 sec/game, 24.8 min. total, 734.4 MB
smelting_pointy v9 551 games, 530124 moves, e=0.475, loss: 1.9, -, 39.0% elo% vs. v7, avg. reward: 0.680, 3.596 sec/game, 24.9 min. total, 736.1 MB
smelting_pointy v9 552 games, 531346 moves, e=0.474, loss: 1.8, -, 37.3% elo% vs. v7, avg. reward: 0.678, 3.595 sec/game, 24.9 min. total, 735.8 MB
smelting_pointy v9 553 games, 532838 moves, e=0.472, loss: 1.9, +, 40.0% elo% vs. v7, avg. reward: 0.681, 3.608 sec/game, 25.0 min. total, 736.3 MB
smelting_pointy v9 554 games, 534123 moves, e=0.471, loss: 1.9, -, 38.3% elo% vs. v7, avg. reward: 0.678, 3.636 sec/game, 25.1 min. total, 736.7 MB
smelting_pointy v9 555 games, 535673 moves, e=0.470, loss: 1.6, +, 41.0% elo% vs. v7, avg. reward: 0.681, 3.648 sec/game, 25.1 min. total, 736.9 MB
smelting_pointy v9 556 games, 537019 moves, e=0.468, loss: 1.7, -, 39.2% elo% vs. v7, avg. reward: 0.685, 3.659 sec/game, 25.2 min. total, 737.1 MB
smelting_pointy v9 557 games, 538404 moves, e=0.467, loss: 1.5, +, 41.9% elo% vs. v7, avg. reward: 0.684, 3.674 sec/game, 25.3 min. total, 737.2 MB
smelting_pointy v9 558 games, 539795 moves, e=0.466, loss: 1.5, +, 44.5% elo% vs. v7, avg. reward: 0.682, 3.703 sec/game, 25.3 min. total, 738.5 MB
smelting_pointy v9 559 games, 541187 moves, e=0.464, loss: 1.4, -, 42.5% elo% vs. v7, avg. reward: 0.682, 3.711 sec/game, 25.4 min. total, 738.7 MB
smelting_pointy v9 560 games, 542447 moves, e=0.463, loss: 1.4, -, 40.6% elo% vs. v7, avg. reward: 0.686, 3.713 sec/game, 25.5 min. total, 738.2 MB
smelting_pointy v9 561 games, 543787 moves, e=0.462, loss: 1.4, +, 43.2% elo% vs. v7, avg. reward: 0.689, 3.726 sec/game, 25.5 min. total, 737.8 MB
smelting_pointy v9 562 games, 545207 moves, e=0.460, loss: 1.4, -, 41.3% elo% vs. v7, avg. reward: 0.691, 3.743 sec/game, 25.6 min. total, 737.6 MB
smelting_pointy v9 563 games, 546549 moves, e=0.459, loss: 1.3, +, 43.9% elo% vs. v7, avg. reward: 0.695, 3.751 sec/game, 25.7 min. total, 737.4 MB
smelting_pointy v9 564 games, 547952 moves, e=0.458, loss: 1.3, ., 44.2% elo% vs. v7, avg. reward: 0.699, 3.766 sec/game, 25.7 min. total, 737.7 MB
smelting_pointy v9 565 games, 549389 moves, e=0.456, loss: 1.1, +, 46.8% elo% vs. v7, avg. reward: 0.700, 3.766 sec/game, 25.8 min. total, 739.4 MB
smelting_pointy v9 566 games, 550710 moves, e=0.455, loss: 1.2, -, 44.6% elo% vs. v7, avg. reward: 0.700, 3.752 sec/game, 25.8 min. total, 740.9 MB
smelting_pointy v9 567 games, 552034 moves, e=0.453, loss: 1.2, +, 47.2% elo% vs. v7, avg. reward: 0.699, 3.784 sec/game, 25.9 min. total, 741.6 MB
smelting_pointy v9 568 games, 553366 moves, e=0.452, loss: 1.2, -, 45.0% elo% vs. v7, avg. reward: 0.698, 3.799 sec/game, 26.0 min. total, 741.3 MB
smelting_pointy v9 569 games, 554580 moves, e=0.451, loss: 1.2, +, 47.5% elo% vs. v7, avg. reward: 0.699, 3.814 sec/game, 26.0 min. total, 741.4 MB
smelting_pointy v9 570 games, 556177 moves, e=0.449, loss: 1.3, +, 49.9% elo% vs. v7, avg. reward: 0.702, 3.859 sec/game, 26.1 min. total, 742.0 MB
smelting_pointy v9 571 games, 557448 moves, e=0.448, loss: 1.2, +, 52.2% elo% vs. v7, avg. reward: 0.706, 3.847 sec/game, 26.2 min. total, 741.6 MB
smelting_pointy v9 572 games, 558829 moves, e=0.447, loss: 1.3, +, 54.4% elo% vs. v7, avg. reward: 0.708, 3.844 sec/game, 26.2 min. total, 741.6 MB
smelting_pointy v9 573 games, 560260 moves, e=0.445, loss: 1.3, -, 51.9% elo% vs. v7, avg. reward: 0.708, 3.856 sec/game, 26.3 min. total, 744.1 MB
smelting_pointy v9 574 games, 561827 moves, e=0.444, loss: 1.2, +, 54.1% elo% vs. v7, avg. reward: 0.707, 3.887 sec/game, 26.4 min. total, 745.8 MB
smelting_pointy v9 575 games, 562982 moves, e=0.443, loss: 1.2, +, 56.2% elo% vs. v7, avg. reward: 0.711, 3.840 sec/game, 26.4 min. total, 746.3 MB
smelting_pointy v9 576 games, 564561 moves, e=0.441, loss: 1.3, +, 58.2% elo% vs. v7, avg. reward: 0.711, 3.855 sec/game, 26.5 min. total, 748.9 MB
smelting_pointy v9 577 games, 565832 moves, e=0.440, loss: 1.3, -, 55.6% elo% vs. v7, avg. reward: 0.716, 3.841 sec/game, 26.6 min. total, 746.7 MB
smelting_pointy v9 578 games, 567378 moves, e=0.438, loss: 1.4, +, 57.6% elo% vs. v7, avg. reward: 0.719, 3.856 sec/game, 26.6 min. total, 747.4 MB
smelting_pointy v9 579 games, 568738 moves, e=0.437, loss: 1.4, +, 59.5% elo% vs. v7, avg. reward: 0.722, 3.854 sec/game, 26.7 min. total, 747.5 MB
smelting_pointy v9 580 games, 570073 moves, e=0.436, loss: 1.4, -, 56.8% elo% vs. v7, avg. reward: 0.720, 3.869 sec/game, 26.7 min. total, 747.6 MB
smelting_pointy v9 581 games, 571365 moves, e=0.434, loss: 1.4, +, 58.8% elo% vs. v7, avg. reward: 0.723, 3.858 sec/game, 26.8 min. total, 749.1 MB
smelting_pointy v9 582 games, 572848 moves, e=0.433, loss: 1.5, +, 60.6% elo% vs. v7, avg. reward: 0.728, 3.874 sec/game, 26.9 min. total, 750.0 MB
smelting_pointy v9 583 games, 574287 moves, e=0.431, loss: 1.5, -, 57.9% elo% vs. v7, avg. reward: 0.732, 3.890 sec/game, 26.9 min. total, 749.0 MB
smelting_pointy v9 584 games, 575827 moves, e=0.430, loss: 1.6, -, 55.3% elo% vs. v7, avg. reward: 0.740, 3.907 sec/game, 27.0 min. total, 749.7 MB
smelting_pointy v9 585 games, 577238 moves, e=0.429, loss: 1.5, +, 57.3% elo% vs. v7, avg. reward: 0.743, 3.895 sec/game, 27.1 min. total, 750.2 MB
smelting_pointy v9 586 games, 578677 moves, e=0.427, loss: 1.6, +, 59.2% elo% vs. v7, avg. reward: 0.748, 3.909 sec/game, 27.1 min. total, 750.0 MB
smelting_pointy v9 587 games, 580286 moves, e=0.426, loss: 1.6, +, 61.0% elo% vs. v7, avg. reward: 0.750, 3.942 sec/game, 27.2 min. total, 751.1 MB
smelting_pointy v9 588 games, 581636 moves, e=0.424, loss: 1.5, ., 60.5% elo% vs. v7, avg. reward: 0.752, 3.943 sec/game, 27.3 min. total, 753.3 MB
smelting_pointy v9 589 games, 582980 moves, e=0.423, loss: 1.5, +, 62.3% elo% vs. v7, avg. reward: 0.752, 3.962 sec/game, 27.4 min. total, 754.9 MB
smelting_pointy v9 590 games, 584514 moves, e=0.421, loss: 1.5, +, 63.9% elo% vs. v7, avg. reward: 0.757, 3.949 sec/game, 27.4 min. total, 755.8 MB
smelting_pointy v9 591 games, 586154 moves, e=0.420, loss: 1.7, +, 65.4% elo% vs. v7, avg. reward: 0.760, 3.994 sec/game, 27.5 min. total, 756.7 MB
smelting_pointy v9 592 games, 587671 moves, e=0.418, loss: 1.6, +, 66.8% elo% vs. v7, avg. reward: 0.762, 4.025 sec/game, 27.6 min. total, 756.6 MB
smelting_pointy v9 593 games, 589142 moves, e=0.417, loss: 1.6, +, 68.2% elo% vs. v7, avg. reward: 0.766, 4.011 sec/game, 27.6 min. total, 756.5 MB
smelting_pointy v9 594 games, 590653 moves, e=0.415, loss: 1.5, ., 67.4% elo% vs. v7, avg. reward: 0.769, 4.011 sec/game, 27.7 min. total, 755.7 MB
smelting_pointy v9 595 games, 591978 moves, e=0.414, loss: 1.6, -, 64.6% elo% vs. v7, avg. reward: 0.770, 4.021 sec/game, 27.8 min. total, 755.5 MB
smelting_pointy v9 596 games, 593454 moves, e=0.412, loss: 1.5, ., 64.0% elo% vs. v7, avg. reward: 0.771, 4.022 sec/game, 27.8 min. total, 757.1 MB
smelting_pointy v9 597 games, 594960 moves, e=0.411, loss: 1.5, -, 61.3% elo% vs. v7, avg. reward: 0.772, 4.051 sec/game, 27.9 min. total, 760.1 MB
smelting_pointy v9 598 games, 596179 moves, e=0.410, loss: 1.5, +, 62.9% elo% vs. v7, avg. reward: 0.772, 4.013 sec/game, 28.0 min. total, 757.8 MB
smelting_pointy v9 599 games, 597594 moves, e=0.408, loss: 1.4, +, 64.5% elo% vs. v7, avg. reward: 0.770, 4.007 sec/game, 28.0 min. total, 757.8 MB
smelting_pointy v9 600 games, 598791 moves, e=0.407, loss: 1.4, -, 61.8% elo% vs. v7, avg. reward: 0.771, 4.003 sec/game, 28.1 min. total, 757.7 MB
smelting_pointy v10 601 games, 600315 moves, e=0.406, loss: 1.2, -, 47.7% elo% vs. v7, avg. reward: 0.772, 4.021 sec/game, 28.2 min. total, 757.6 MB
smelting_pointy v10 602 games, 601638 moves, e=0.404, loss: 1.2, +, 50.1% elo% vs. v7, avg. reward: 0.773, 4.005 sec/game, 28.2 min. total, 757.3 MB
smelting_pointy v10 603 games, 603098 moves, e=0.403, loss: 1.3, ., 50.1% elo% vs. v7, avg. reward: 0.775, 4.005 sec/game, 28.3 min. total, 757.8 MB
smelting_pointy v10 604 games, 604526 moves, e=0.402, loss: 1.3, -, 47.8% elo% vs. v7, avg. reward: 0.778, 3.990 sec/game, 28.3 min. total, 759.8 MB
smelting_pointy v10 605 games, 605971 moves, e=0.400, loss: 1.3, +, 50.2% elo% vs. v7, avg. reward: 0.781, 4.001 sec/game, 28.4 min. total, 761.0 MB
smelting_pointy v10 606 games, 607458 moves, e=0.399, loss: 1.3, +, 52.5% elo% vs. v7, avg. reward: 0.784, 4.006 sec/game, 28.5 min. total, 761.6 MB
smelting_pointy v10 607 games, 608901 moves, e=0.397, loss: 1.3, -, 50.1% elo% vs. v7, avg. reward: 0.789, 3.990 sec/game, 28.6 min. total, 762.3 MB
smelting_pointy v10 608 games, 610339 moves, e=0.396, loss: 1.4, ., 50.1% elo% vs. v7, avg. reward: 0.789, 3.994 sec/game, 28.6 min. total, 762.6 MB
smelting_pointy v10 609 games, 611798 moves, e=0.394, loss: 1.4, -, 47.8% elo% vs. v7, avg. reward: 0.791, 4.010 sec/game, 28.7 min. total, 763.3 MB
smelting_pointy v10 610 games, 613049 moves, e=0.393, loss: 1.4, +, 50.2% elo% vs. v7, avg. reward: 0.792, 3.978 sec/game, 28.7 min. total, 763.0 MB
smelting_pointy v10 611 games, 614323 moves, e=0.392, loss: 1.3, +, 52.5% elo% vs. v7, avg. reward: 0.795, 3.933 sec/game, 28.8 min. total, 763.3 MB
smelting_pointy v10 612 games, 615744 moves, e=0.390, loss: 1.4, +, 54.6% elo% vs. v7, avg. reward: 0.799, 3.919 sec/game, 28.9 min. total, 765.2 MB
smelting_pointy v10 613 games, 617268 moves, e=0.389, loss: 1.3, +, 56.7% elo% vs. v7, avg. reward: 0.800, 3.936 sec/game, 28.9 min. total, 765.7 MB
smelting_pointy v10 614 games, 618794 moves, e=0.387, loss: 1.4, -, 54.1% elo% vs. v7, avg. reward: 0.799, 3.943 sec/game, 29.0 min. total, 766.5 MB
smelting_pointy v10 615 games, 620566 moves, e=0.386, loss: 1.4, ., 53.9% elo% vs. v7, avg. reward: 0.799, 4.003 sec/game, 29.1 min. total, 766.9 MB
smelting_pointy v10 616 games, 622229 moves, e=0.384, loss: 1.4, -, 51.5% elo% vs. v7, avg. reward: 0.797, 4.019 sec/game, 29.2 min. total, 767.1 MB
smelting_pointy v10 617 games, 623897 moves, e=0.382, loss: 1.3, +, 53.7% elo% vs. v7, avg. reward: 0.795, 4.039 sec/game, 29.2 min. total, 768.4 MB
smelting_pointy v10 618 games, 625394 moves, e=0.381, loss: 1.2, -, 51.2% elo% vs. v7, avg. reward: 0.794, 4.065 sec/game, 29.3 min. total, 769.0 MB
smelting_pointy v10 619 games, 626831 moves, e=0.379, loss: 1.2, -, 48.9% elo% vs. v7, avg. reward: 0.794, 4.082 sec/game, 29.4 min. total, 771.0 MB
smelting_pointy v10 620 games, 628223 moves, e=0.378, loss: 1.2, -, 46.6% elo% vs. v7, avg. reward: 0.795, 4.087 sec/game, 29.4 min. total, 771.6 MB
smelting_pointy v10 621 games, 629873 moves, e=0.376, loss: 1.3, -, 44.5% elo% vs. v7, avg. reward: 0.793, 4.117 sec/game, 29.5 min. total, 771.5 MB
smelting_pointy v10 622 games, 631500 moves, e=0.375, loss: 1.4, +, 47.0% elo% vs. v7, avg. reward: 0.795, 4.157 sec/game, 29.6 min. total, 771.5 MB
smelting_pointy v10 623 games, 632881 moves, e=0.373, loss: 1.4, +, 49.5% elo% vs. v7, avg. reward: 0.794, 4.160 sec/game, 29.7 min. total, 772.4 MB
smelting_pointy v10 624 games, 634121 moves, e=0.372, loss: 1.4, -, 47.2% elo% vs. v7, avg. reward: 0.795, 4.150 sec/game, 29.7 min. total, 771.6 MB
smelting_pointy v10 625 games, 635829 moves, e=0.371, loss: 1.4, +, 49.6% elo% vs. v7, avg. reward: 0.794, 4.178 sec/game, 29.8 min. total, 772.3 MB
smelting_pointy v10 626 games, 637283 moves, e=0.369, loss: 1.5, -, 47.3% elo% vs. v7, avg. reward: 0.799, 4.182 sec/game, 29.9 min. total, 773.0 MB
smelting_pointy v10 627 games, 638738 moves, e=0.368, loss: 1.5, +, 49.8% elo% vs. v7, avg. reward: 0.798, 4.189 sec/game, 30.0 min. total, 776.0 MB
smelting_pointy v10 628 games, 640313 moves, e=0.366, loss: 1.4, +, 52.1% elo% vs. v7, avg. reward: 0.800, 4.219 sec/game, 30.0 min. total, 773.9 MB
smelting_pointy v10 629 games, 641632 moves, e=0.365, loss: 1.3, ., 52.0% elo% vs. v7, avg. reward: 0.799, 4.207 sec/game, 30.1 min. total, 773.0 MB
smelting_pointy v10 630 games, 643180 moves, e=0.363, loss: 1.4, -, 49.6% elo% vs. v7, avg. reward: 0.800, 4.249 sec/game, 30.2 min. total, 772.9 MB
smelting_pointy v10 631 games, 644566 moves, e=0.362, loss: 1.4, -, 47.3% elo% vs. v7, avg. reward: 0.797, 4.270 sec/game, 30.2 min. total, 773.0 MB
smelting_pointy v10 632 games, 645936 moves, e=0.361, loss: 1.4, -, 45.1% elo% vs. v7, avg. reward: 0.797, 4.275 sec/game, 30.3 min. total, 772.5 MB
smelting_pointy v10 633 games, 647478 moves, e=0.359, loss: 1.4, -, 43.1% elo% vs. v7, avg. reward: 0.797, 4.279 sec/game, 30.4 min. total, 772.3 MB
smelting_pointy v10 634 games, 648945 moves, e=0.358, loss: 1.4, -, 41.2% elo% vs. v7, avg. reward: 0.796, 4.266 sec/game, 30.4 min. total, 775.0 MB
smelting_pointy v10 635 games, 650536 moves, e=0.356, loss: 1.3, ., 41.5% elo% vs. v7, avg. reward: 0.797, 4.259 sec/game, 30.5 min. total, 775.8 MB
smelting_pointy v10 636 games, 651955 moves, e=0.355, loss: 1.3, -, 39.7% elo% vs. v7, avg. reward: 0.799, 4.230 sec/game, 30.6 min. total, 776.1 MB
smelting_pointy v10 637 games, 653456 moves, e=0.353, loss: 1.3, -, 38.0% elo% vs. v7, avg. reward: 0.801, 4.211 sec/game, 30.7 min. total, 775.9 MB
smelting_pointy v10 638 games, 654883 moves, e=0.352, loss: 1.3, -, 36.3% elo% vs. v7, avg. reward: 0.805, 4.215 sec/game, 30.7 min. total, 776.1 MB
smelting_pointy v10 639 games, 656302 moves, e=0.350, loss: 1.4, -, 34.8% elo% vs. v7, avg. reward: 0.810, 4.198 sec/game, 30.8 min. total, 776.8 MB
smelting_pointy v10 640 games, 657853 moves, e=0.349, loss: 1.4, +, 37.6% elo% vs. v7, avg. reward: 0.808, 4.226 sec/game, 30.9 min. total, 776.8 MB
smelting_pointy v10 641 games, 659207 moves, e=0.347, loss: 1.3, -, 36.0% elo% vs. v7, avg. reward: 0.812, 4.187 sec/game, 30.9 min. total, 776.6 MB
smelting_pointy v10 642 games, 660681 moves, e=0.346, loss: 1.4, -, 34.5% elo% vs. v7, avg. reward: 0.818, 4.149 sec/game, 31.0 min. total, 778.2 MB
smelting_pointy v10 643 games, 662163 moves, e=0.344, loss: 1.4, -, 33.0% elo% vs. v7, avg. reward: 0.821, 4.164 sec/game, 31.1 min. total, 778.9 MB
smelting_pointy v10 644 games, 663614 moves, e=0.343, loss: 1.4, ., 33.7% elo% vs. v7, avg. reward: 0.821, 4.175 sec/game, 31.1 min. total, 778.8 MB
smelting_pointy v10 645 games, 665140 moves, e=0.342, loss: 1.4, -, 32.4% elo% vs. v7, avg. reward: 0.823, 4.148 sec/game, 31.2 min. total, 779.4 MB
smelting_pointy v10 646 games, 666405 moves, e=0.340, loss: 1.4, -, 31.1% elo% vs. v7, avg. reward: 0.826, 4.127 sec/game, 31.3 min. total, 779.1 MB
smelting_pointy v10 647 games, 667591 moves, e=0.339, loss: 1.4, +, 33.8% elo% vs. v7, avg. reward: 0.833, 4.076 sec/game, 31.3 min. total, 778.7 MB
smelting_pointy v10 648 games, 669071 moves, e=0.338, loss: 1.4, +, 36.6% elo% vs. v7, avg. reward: 0.837, 4.061 sec/game, 31.4 min. total, 780.0 MB
smelting_pointy v10 649 games, 670617 moves, e=0.336, loss: 1.5, +, 39.4% elo% vs. v7, avg. reward: 0.840, 4.083 sec/game, 31.5 min. total, 781.1 MB
smelting_pointy v10 650 games, 672091 moves, e=0.335, loss: 1.5, +, 42.1% elo% vs. v7, avg. reward: 0.845, 4.061 sec/game, 31.5 min. total, 783.3 MB
smelting_pointy v10 651 games, 673532 moves, e=0.333, loss: 1.4, +, 44.7% elo% vs. v7, avg. reward: 0.849, 4.057 sec/game, 31.6 min. total, 784.2 MB
smelting_pointy v10 652 games, 675093 moves, e=0.332, loss: 1.4, +, 47.2% elo% vs. v7, avg. reward: 0.856, 4.080 sec/game, 31.7 min. total, 784.4 MB
smelting_pointy v10 653 games, 676553 moves, e=0.330, loss: 1.4, ., 47.3% elo% vs. v7, avg. reward: 0.858, 4.061 sec/game, 31.7 min. total, 785.7 MB
smelting_pointy v10 654 games, 678031 moves, e=0.329, loss: 1.4, -, 45.2% elo% vs. v7, avg. reward: 0.865, 4.070 sec/game, 31.8 min. total, 786.2 MB
smelting_pointy v10 655 games, 679534 moves, e=0.327, loss: 1.3, +, 47.7% elo% vs. v7, avg. reward: 0.867, 4.034 sec/game, 31.9 min. total, 785.8 MB
smelting_pointy v10 656 games, 681106 moves, e=0.326, loss: 1.3, +, 50.1% elo% vs. v7, avg. reward: 0.870, 4.071 sec/game, 31.9 min. total, 786.2 MB
smelting_pointy v10 657 games, 682480 moves, e=0.324, loss: 1.4, +, 52.4% elo% vs. v7, avg. reward: 0.874, 4.042 sec/game, 32.0 min. total, 785.4 MB
smelting_pointy v10 658 games, 683912 moves, e=0.323, loss: 1.4, +, 54.6% elo% vs. v7, avg. reward: 0.878, 4.050 sec/game, 32.1 min. total, 786.6 MB
smelting_pointy v10 659 games, 685367 moves, e=0.321, loss: 1.4, +, 56.6% elo% vs. v7, avg. reward: 0.885, 4.057 sec/game, 32.1 min. total, 787.2 MB
smelting_pointy v10 660 games, 686973 moves, e=0.320, loss: 1.3, -, 54.1% elo% vs. v7, avg. reward: 0.887, 4.058 sec/game, 32.2 min. total, 787.3 MB
smelting_pointy v10 661 games, 688538 moves, e=0.318, loss: 1.3, +, 56.2% elo% vs. v7, avg. reward: 0.892, 4.090 sec/game, 32.3 min. total, 787.5 MB
smelting_pointy v10 662 games, 690064 moves, e=0.317, loss: 1.4, +, 58.1% elo% vs. v7, avg. reward: 0.896, 4.104 sec/game, 32.4 min. total, 787.2 MB
smelting_pointy v10 663 games, 691490 moves, e=0.315, loss: 1.4, +, 60.0% elo% vs. v7, avg. reward: 0.900, 4.084 sec/game, 32.4 min. total, 787.1 MB
smelting_pointy v10 664 games, 692910 moves, e=0.314, loss: 1.4, +, 61.8% elo% vs. v7, avg. reward: 0.904, 4.084 sec/game, 32.5 min. total, 787.3 MB
smelting_pointy v10 665 games, 694390 moves, e=0.313, loss: 1.3, -, 59.0% elo% vs. v7, avg. reward: 0.907, 4.071 sec/game, 32.6 min. total, 788.2 MB
smelting_pointy v10 666 games, 695840 moves, e=0.311, loss: 1.3, +, 60.8% elo% vs. v7, avg. reward: 0.910, 4.110 sec/game, 32.6 min. total, 790.1 MB
smelting_pointy v10 667 games, 697255 moves, e=0.310, loss: 1.4, +, 62.5% elo% vs. v7, avg. reward: 0.918, 4.139 sec/game, 32.7 min. total, 791.0 MB
smelting_pointy v10 668 games, 698728 moves, e=0.308, loss: 1.4, +, 64.2% elo% vs. v7, avg. reward: 0.919, 4.123 sec/game, 32.8 min. total, 790.8 MB
smelting_pointy v10 669 games, 700410 moves, e=0.307, loss: 1.4, +, 65.7% elo% vs. v7, avg. reward: 0.926, 4.142 sec/game, 32.8 min. total, 792.5 MB
smelting_pointy v10 670 games, 701789 moves, e=0.305, loss: 1.4, +, 67.1% elo% vs. v7, avg. reward: 0.931, 4.141 sec/game, 32.9 min. total, 792.2 MB
smelting_pointy v10 671 games, 703231 moves, e=0.304, loss: 1.4, +, 68.4% elo% vs. v7, avg. reward: 0.935, 4.141 sec/game, 33.0 min. total, 792.6 MB
smelting_pointy v10 672 games, 704694 moves, e=0.302, loss: 1.5, +, 69.6% elo% vs. v7, avg. reward: 0.938, 4.127 sec/game, 33.0 min. total, 792.7 MB
smelting_pointy v10 673 games, 706190 moves, e=0.301, loss: 1.5, +, 70.8% elo% vs. v7, avg. reward: 0.944, 4.143 sec/game, 33.1 min. total, 793.7 MB
smelting_pointy v11 674 games, 707628 moves, e=0.299, loss: 1.4, +, 54.5% elo% vs. v10, avg. reward: 0.948, 4.136 sec/game, 33.2 min. total, 797.4 MB
smelting_pointy v11 675 games, 709139 moves, e=0.298, loss: 1.4, -, 52.0% elo% vs. v10, avg. reward: 0.954, 4.174 sec/game, 33.3 min. total, 797.2 MB
smelting_pointy v11 676 games, 710576 moves, e=0.297, loss: 1.4, -, 49.6% elo% vs. v10, avg. reward: 0.958, 4.155 sec/game, 33.3 min. total, 796.6 MB
smelting_pointy v11 677 games, 712216 moves, e=0.295, loss: 1.6, +, 51.9% elo% vs. v10, avg. reward: 0.963, 4.219 sec/game, 33.4 min. total, 797.3 MB
smelting_pointy v11 678 games, 713796 moves, e=0.293, loss: 1.5, ., 51.8% elo% vs. v10, avg. reward: 0.965, 4.233 sec/game, 33.5 min. total, 797.5 MB
smelting_pointy v11 679 games, 715288 moves, e=0.292, loss: 1.5, +, 54.0% elo% vs. v10, avg. reward: 0.969, 4.245 sec/game, 33.6 min. total, 798.1 MB
smelting_pointy v11 680 games, 716700 moves, e=0.290, loss: 1.5, +, 56.1% elo% vs. v10, avg. reward: 0.975, 4.230 sec/game, 33.6 min. total, 797.8 MB
smelting_pointy v11 681 games, 718222 moves, e=0.289, loss: 1.5, +, 58.1% elo% vs. v10, avg. reward: 0.979, 4.218 sec/game, 33.7 min. total, 800.3 MB
smelting_pointy v11 682 games, 720030 moves, e=0.287, loss: 1.6, -, 55.5% elo% vs. v10, avg. reward: 0.979, 4.259 sec/game, 33.8 min. total, 801.9 MB
smelting_pointy v11 683 games, 721802 moves, e=0.285, loss: 1.4, +, 57.5% elo% vs. v10, avg. reward: 0.981, 4.304 sec/game, 33.9 min. total, 802.2 MB
smelting_pointy v11 684 games, 723525 moves, e=0.284, loss: 1.4, -, 54.9% elo% vs. v10, avg. reward: 0.981, 4.337 sec/game, 33.9 min. total, 803.8 MB
smelting_pointy v11 685 games, 725061 moves, e=0.282, loss: 1.4, -, 52.4% elo% vs. v10, avg. reward: 0.985, 4.350 sec/game, 34.0 min. total, 804.4 MB
smelting_pointy v11 686 games, 726597 moves, e=0.281, loss: 1.4, ., 52.3% elo% vs. v10, avg. reward: 0.987, 4.349 sec/game, 34.1 min. total, 804.9 MB
smelting_pointy v11 687 games, 728154 moves, e=0.279, loss: 1.4, ., 52.2% elo% vs. v10, avg. reward: 0.990, 4.367 sec/game, 34.1 min. total, 805.4 MB
smelting_pointy v11 688 games, 729727 moves, e=0.278, loss: 1.4, +, 54.4% elo% vs. v10, avg. reward: 0.994, 4.383 sec/game, 34.2 min. total, 806.7 MB
smelting_pointy v11 689 games, 731326 moves, e=0.276, loss: 1.4, -, 51.9% elo% vs. v10, avg. reward: 0.996, 4.381 sec/game, 34.3 min. total, 806.0 MB
smelting_pointy v11 690 games, 732870 moves, e=0.274, loss: 1.3, ., 51.8% elo% vs. v10, avg. reward: 1.001, 4.394 sec/game, 34.4 min. total, 804.8 MB
smelting_pointy v11 691 games, 734471 moves, e=0.273, loss: 1.4, +, 54.0% elo% vs. v10, avg. reward: 1.004, 4.423 sec/game, 34.4 min. total, 803.9 MB
smelting_pointy v11 692 games, 735950 moves, e=0.271, loss: 1.4, -, 51.5% elo% vs. v10, avg. reward: 1.008, 4.412 sec/game, 34.5 min. total, 803.8 MB
smelting_pointy v11 693 games, 737611 moves, e=0.270, loss: 1.4, +, 53.7% elo% vs. v10, avg. reward: 1.007, 4.424 sec/game, 34.6 min. total, 804.6 MB
smelting_pointy v11 694 games, 739218 moves, e=0.268, loss: 1.4, +, 55.9% elo% vs. v10, avg. reward: 1.012, 4.444 sec/game, 34.7 min. total, 804.8 MB
