smelting_pointy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 327.6 MB
smelting_pointy v1 36 games, 25627 moves, e=0.975, loss: 0.2, +, 59.8% elo% vs. v0, avg. reward: 0.128, 1.926 sec/game, 0.8 min. total, 423.3 MB
smelting_pointy v1 37 games, 26291 moves, e=0.974, loss: 0.3, +, 61.5% elo% vs. v0, avg. reward: 0.126, 1.921 sec/game, 0.8 min. total, 423.8 MB
smelting_pointy v1 38 games, 26970 moves, e=0.973, loss: 0.3, +, 63.2% elo% vs. v0, avg. reward: 0.125, 1.907 sec/game, 0.8 min. total, 423.5 MB
smelting_pointy v1 39 games, 27642 moves, e=0.973, loss: 0.3, +, 64.8% elo% vs. v0, avg. reward: 0.125, 1.912 sec/game, 0.8 min. total, 423.6 MB
smelting_pointy v1 40 games, 28324 moves, e=0.972, loss: 0.3, +, 66.2% elo% vs. v0, avg. reward: 0.129, 1.915 sec/game, 0.9 min. total, 423.4 MB
smelting_pointy v1 41 games, 28929 moves, e=0.971, loss: 0.3, +, 67.6% elo% vs. v0, avg. reward: 0.127, 1.905 sec/game, 0.9 min. total, 424.4 MB
smelting_pointy v1 42 games, 29734 moves, e=0.971, loss: 0.3, +, 68.9% elo% vs. v0, avg. reward: 0.128, 1.911 sec/game, 0.9 min. total, 427.2 MB
smelting_pointy v1 43 games, 30375 moves, e=0.970, loss: 0.3, +, 70.1% elo% vs. v0, avg. reward: 0.127, 1.899 sec/game, 1.0 min. total, 430.5 MB
smelting_pointy v2 44 games, 31209 moves, e=0.969, loss: 0.4, +, 54.5% elo% vs. v1, avg. reward: 0.125, 1.879 sec/game, 1.0 min. total, 504.8 MB
smelting_pointy v2 45 games, 31941 moves, e=0.968, loss: 0.4, +, 56.6% elo% vs. v1, avg. reward: 0.128, 1.893 sec/game, 1.0 min. total, 506.0 MB
smelting_pointy v2 46 games, 32634 moves, e=0.968, loss: 0.4, +, 58.5% elo% vs. v1, avg. reward: 0.132, 1.879 sec/game, 1.1 min. total, 507.1 MB
smelting_pointy v2 47 games, 33307 moves, e=0.967, loss: 0.4, -, 55.9% elo% vs. v1, avg. reward: 0.131, 1.894 sec/game, 1.1 min. total, 508.4 MB
smelting_pointy v2 48 games, 34139 moves, e=0.966, loss: 0.5, -, 53.3% elo% vs. v1, avg. reward: 0.130, 1.912 sec/game, 1.1 min. total, 509.9 MB
smelting_pointy v2 49 games, 34896 moves, e=0.965, loss: 0.5, +, 55.5% elo% vs. v1, avg. reward: 0.128, 1.898 sec/game, 1.2 min. total, 512.0 MB
smelting_pointy v2 50 games, 35680 moves, e=0.965, loss: 0.5, -, 52.9% elo% vs. v1, avg. reward: 0.128, 1.895 sec/game, 1.2 min. total, 513.7 MB
smelting_pointy v2 51 games, 36356 moves, e=0.964, loss: 0.5, -, 50.5% elo% vs. v1, avg. reward: 0.128, 1.905 sec/game, 1.2 min. total, 514.2 MB
smelting_pointy v2 52 games, 37122 moves, e=0.963, loss: 0.6, +, 52.8% elo% vs. v1, avg. reward: 0.127, 1.899 sec/game, 1.3 min. total, 514.0 MB
smelting_pointy v2 53 games, 37948 moves, e=0.962, loss: 0.6, -, 50.3% elo% vs. v1, avg. reward: 0.126, 1.904 sec/game, 1.3 min. total, 513.9 MB
smelting_pointy v2 54 games, 38684 moves, e=0.962, loss: 0.6, +, 52.6% elo% vs. v1, avg. reward: 0.127, 1.914 sec/game, 1.3 min. total, 514.2 MB
smelting_pointy v2 55 games, 39412 moves, e=0.961, loss: 0.6, +, 54.8% elo% vs. v1, avg. reward: 0.127, 1.902 sec/game, 1.4 min. total, 515.1 MB
smelting_pointy v2 56 games, 40141 moves, e=0.960, loss: 0.6, ., 54.6% elo% vs. v1, avg. reward: 0.128, 1.900 sec/game, 1.4 min. total, 514.9 MB
smelting_pointy v2 57 games, 40979 moves, e=0.959, loss: 0.6, +, 56.6% elo% vs. v1, avg. reward: 0.128, 1.942 sec/game, 1.4 min. total, 515.9 MB
smelting_pointy v2 58 games, 41754 moves, e=0.959, loss: 0.6, +, 58.6% elo% vs. v1, avg. reward: 0.128, 1.963 sec/game, 1.5 min. total, 518.0 MB
smelting_pointy v2 59 games, 42502 moves, e=0.958, loss: 0.6, +, 60.4% elo% vs. v1, avg. reward: 0.129, 1.982 sec/game, 1.5 min. total, 519.5 MB
smelting_pointy v2 60 games, 43147 moves, e=0.957, loss: 0.6, +, 62.2% elo% vs. v1, avg. reward: 0.129, 1.973 sec/game, 1.5 min. total, 519.7 MB
smelting_pointy v2 61 games, 43834 moves, e=0.957, loss: 0.6, +, 63.8% elo% vs. v1, avg. reward: 0.130, 1.980 sec/game, 1.6 min. total, 519.8 MB
smelting_pointy v2 62 games, 44548 moves, e=0.956, loss: 0.6, +, 65.3% elo% vs. v1, avg. reward: 0.129, 1.984 sec/game, 1.6 min. total, 519.9 MB
smelting_pointy v2 63 games, 45232 moves, e=0.955, loss: 0.7, +, 66.7% elo% vs. v1, avg. reward: 0.130, 1.988 sec/game, 1.6 min. total, 520.0 MB
smelting_pointy v2 64 games, 45991 moves, e=0.954, loss: 0.7, +, 68.1% elo% vs. v1, avg. reward: 0.129, 1.995 sec/game, 1.7 min. total, 520.0 MB
smelting_pointy v2 65 games, 46817 moves, e=0.954, loss: 0.8, -, 65.3% elo% vs. v1, avg. reward: 0.129, 2.011 sec/game, 1.7 min. total, 520.1 MB
smelting_pointy v2 66 games, 47733 moves, e=0.953, loss: 0.9, -, 62.5% elo% vs. v1, avg. reward: 0.131, 2.055 sec/game, 1.7 min. total, 520.4 MB
smelting_pointy v2 67 games, 48479 moves, e=0.952, loss: 0.9, +, 64.1% elo% vs. v1, avg. reward: 0.131, 2.067 sec/game, 1.8 min. total, 520.7 MB
smelting_pointy v2 68 games, 49236 moves, e=0.951, loss: 0.9, +, 65.6% elo% vs. v1, avg. reward: 0.132, 2.073 sec/game, 1.8 min. total, 521.9 MB
smelting_pointy v2 69 games, 50089 moves, e=0.950, loss: 1.0, -, 62.9% elo% vs. v1, avg. reward: 0.133, 2.100 sec/game, 1.9 min. total, 523.0 MB
smelting_pointy v2 70 games, 50871 moves, e=0.950, loss: 1.0, +, 64.4% elo% vs. v1, avg. reward: 0.134, 2.110 sec/game, 1.9 min. total, 522.8 MB
smelting_pointy v2 71 games, 51666 moves, e=0.949, loss: 1.0, -, 61.7% elo% vs. v1, avg. reward: 0.133, 2.122 sec/game, 1.9 min. total, 522.9 MB
smelting_pointy v2 72 games, 52454 moves, e=0.948, loss: 1.0, +, 63.3% elo% vs. v1, avg. reward: 0.135, 2.133 sec/game, 2.0 min. total, 523.1 MB
smelting_pointy v2 73 games, 53239 moves, e=0.947, loss: 1.0, -, 60.6% elo% vs. v1, avg. reward: 0.137, 2.137 sec/game, 2.0 min. total, 522.8 MB
smelting_pointy v2 74 games, 54108 moves, e=0.946, loss: 1.1, +, 62.3% elo% vs. v1, avg. reward: 0.136, 2.159 sec/game, 2.0 min. total, 523.2 MB
smelting_pointy v2 75 games, 54743 moves, e=0.946, loss: 1.1, ., 61.8% elo% vs. v1, avg. reward: 0.136, 2.157 sec/game, 2.1 min. total, 523.1 MB
smelting_pointy v2 76 games, 55575 moves, e=0.945, loss: 1.1, +, 63.4% elo% vs. v1, avg. reward: 0.138, 2.176 sec/game, 2.1 min. total, 524.9 MB
smelting_pointy v2 77 games, 56275 moves, e=0.944, loss: 1.1, +, 65.0% elo% vs. v1, avg. reward: 0.138, 2.139 sec/game, 2.1 min. total, 526.4 MB
smelting_pointy v2 78 games, 57010 moves, e=0.944, loss: 1.1, +, 66.4% elo% vs. v1, avg. reward: 0.138, 2.134 sec/game, 2.2 min. total, 526.9 MB
smelting_pointy v2 79 games, 57663 moves, e=0.943, loss: 1.1, +, 67.8% elo% vs. v1, avg. reward: 0.138, 2.111 sec/game, 2.2 min. total, 527.0 MB
smelting_pointy v2 80 games, 58423 moves, e=0.942, loss: 1.1, +, 69.1% elo% vs. v1, avg. reward: 0.140, 2.121 sec/game, 2.2 min. total, 527.1 MB
smelting_pointy v2 81 games, 59244 moves, e=0.941, loss: 1.1, +, 70.3% elo% vs. v1, avg. reward: 0.141, 2.129 sec/game, 2.3 min. total, 527.5 MB
smelting_pointy v3 82 games, 60093 moves, e=0.941, loss: 1.1, +, 54.5% elo% vs. v2, avg. reward: 0.140, 2.141 sec/game, 2.3 min. total, 547.9 MB
smelting_pointy v3 83 games, 60845 moves, e=0.940, loss: 1.1, -, 52.0% elo% vs. v2, avg. reward: 0.141, 2.157 sec/game, 2.4 min. total, 548.5 MB
smelting_pointy v3 84 games, 61761 moves, e=0.939, loss: 1.1, -, 49.6% elo% vs. v2, avg. reward: 0.141, 2.186 sec/game, 2.4 min. total, 548.3 MB
smelting_pointy v3 85 games, 62627 moves, e=0.938, loss: 1.1, -, 47.3% elo% vs. v2, avg. reward: 0.141, 2.201 sec/game, 2.4 min. total, 550.4 MB
