atrophy_happiness v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.9 MB
atrophy_happiness v2 34 games, 24741 moves, e=0.976, loss: 33.2, +, 58.3% elo% vs. guard_bot, avg. reward: 6.376, 1.492 sec/game, 0.6 min. total, 430.5 MB
atrophy_happiness v2 35 games, 25384 moves, e=0.975, loss: 32.8, +, 60.2% elo% vs. guard_bot, avg. reward: 6.393, 1.478 sec/game, 0.6 min. total, 430.0 MB
atrophy_happiness v2 36 games, 26096 moves, e=0.974, loss: 33.0, ., 59.7% elo% vs. guard_bot, avg. reward: 6.378, 1.469 sec/game, 0.6 min. total, 430.6 MB
atrophy_happiness v2 37 games, 26759 moves, e=0.974, loss: 33.1, ., 59.3% elo% vs. guard_bot, avg. reward: 6.356, 1.472 sec/game, 0.6 min. total, 430.5 MB
atrophy_happiness v2 38 games, 27479 moves, e=0.973, loss: 34.2, ., 58.9% elo% vs. guard_bot, avg. reward: 6.365, 1.462 sec/game, 0.7 min. total, 430.1 MB
atrophy_happiness v2 39 games, 28200 moves, e=0.972, loss: 35.3, ., 58.5% elo% vs. guard_bot, avg. reward: 6.373, 1.473 sec/game, 0.7 min. total, 430.5 MB
atrophy_happiness v2 40 games, 28904 moves, e=0.971, loss: 37.1, +, 60.3% elo% vs. guard_bot, avg. reward: 6.387, 1.461 sec/game, 0.7 min. total, 430.8 MB
atrophy_happiness v2 41 games, 29599 moves, e=0.971, loss: 39.1, ., 59.9% elo% vs. guard_bot, avg. reward: 6.376, 1.460 sec/game, 0.7 min. total, 430.7 MB
atrophy_happiness v2 42 games, 30460 moves, e=0.970, loss: 39.9, ., 59.4% elo% vs. guard_bot, avg. reward: 6.365, 1.477 sec/game, 0.8 min. total, 431.0 MB
atrophy_happiness v2 43 games, 31111 moves, e=0.969, loss: 40.3, ., 59.0% elo% vs. guard_bot, avg. reward: 6.380, 1.470 sec/game, 0.8 min. total, 430.7 MB
atrophy_happiness v2 44 games, 31837 moves, e=0.968, loss: 42.6, ., 58.6% elo% vs. guard_bot, avg. reward: 6.378, 1.446 sec/game, 0.8 min. total, 432.3 MB
atrophy_happiness v2 45 games, 32546 moves, e=0.968, loss: 44.5, ., 58.2% elo% vs. guard_bot, avg. reward: 6.397, 1.439 sec/game, 0.8 min. total, 432.3 MB
atrophy_happiness v2 46 games, 33110 moves, e=0.967, loss: 43.6, ., 57.9% elo% vs. guard_bot, avg. reward: 6.406, 1.421 sec/game, 0.8 min. total, 434.7 MB
atrophy_happiness v2 47 games, 33907 moves, e=0.966, loss: 45.8, ., 57.5% elo% vs. guard_bot, avg. reward: 6.392, 1.415 sec/game, 0.9 min. total, 434.3 MB
atrophy_happiness v2 48 games, 34707 moves, e=0.966, loss: 49.0, ., 57.2% elo% vs. guard_bot, avg. reward: 6.395, 1.417 sec/game, 0.9 min. total, 436.7 MB
atrophy_happiness v2 49 games, 35360 moves, e=0.965, loss: 49.5, ., 56.8% elo% vs. guard_bot, avg. reward: 6.394, 1.401 sec/game, 0.9 min. total, 437.3 MB
atrophy_happiness v2 50 games, 36052 moves, e=0.964, loss: 48.5, ., 56.5% elo% vs. guard_bot, avg. reward: 6.370, 1.381 sec/game, 0.9 min. total, 438.1 MB
atrophy_happiness v2 51 games, 36801 moves, e=0.964, loss: 51.1, ., 56.2% elo% vs. guard_bot, avg. reward: 6.375, 1.384 sec/game, 1.0 min. total, 438.7 MB
atrophy_happiness v2 52 games, 37496 moves, e=0.963, loss: 50.4, ., 56.0% elo% vs. guard_bot, avg. reward: 6.365, 1.367 sec/game, 1.0 min. total, 438.8 MB
atrophy_happiness v2 53 games, 38177 moves, e=0.962, loss: 49.2, ., 55.7% elo% vs. guard_bot, avg. reward: 6.363, 1.349 sec/game, 1.0 min. total, 439.2 MB
atrophy_happiness v2 54 games, 39013 moves, e=0.961, loss: 50.4, ., 55.4% elo% vs. guard_bot, avg. reward: 6.347, 1.359 sec/game, 1.0 min. total, 439.3 MB
atrophy_happiness v2 55 games, 39807 moves, e=0.961, loss: 51.8, ., 55.2% elo% vs. guard_bot, avg. reward: 6.343, 1.358 sec/game, 1.0 min. total, 440.0 MB
atrophy_happiness v2 56 games, 40644 moves, e=0.960, loss: 53.7, ., 54.9% elo% vs. guard_bot, avg. reward: 6.339, 1.373 sec/game, 1.1 min. total, 440.5 MB
atrophy_happiness v2 57 games, 41330 moves, e=0.959, loss: 52.7, ., 54.7% elo% vs. guard_bot, avg. reward: 6.327, 1.356 sec/game, 1.1 min. total, 440.7 MB
atrophy_happiness v2 58 games, 41984 moves, e=0.958, loss: 55.2, ., 54.5% elo% vs. guard_bot, avg. reward: 6.332, 1.364 sec/game, 1.1 min. total, 441.9 MB
atrophy_happiness v2 59 games, 42786 moves, e=0.958, loss: 58.3, ., 54.3% elo% vs. guard_bot, avg. reward: 6.329, 1.359 sec/game, 1.1 min. total, 443.0 MB
atrophy_happiness v2 60 games, 43609 moves, e=0.957, loss: 56.7, +, 56.4% elo% vs. guard_bot, avg. reward: 6.323, 1.367 sec/game, 1.2 min. total, 443.6 MB
atrophy_happiness v2 61 games, 44222 moves, e=0.956, loss: 56.0, ., 56.1% elo% vs. guard_bot, avg. reward: 6.303, 1.352 sec/game, 1.2 min. total, 445.5 MB
atrophy_happiness v2 62 games, 44985 moves, e=0.955, loss: 55.9, ., 55.8% elo% vs. guard_bot, avg. reward: 6.308, 1.344 sec/game, 1.2 min. total, 445.0 MB
atrophy_happiness v2 63 games, 45758 moves, e=0.955, loss: 59.3, +, 57.8% elo% vs. guard_bot, avg. reward: 6.299, 1.343 sec/game, 1.2 min. total, 445.3 MB
atrophy_happiness v2 64 games, 46505 moves, e=0.954, loss: 61.5, +, 59.7% elo% vs. guard_bot, avg. reward: 6.294, 1.359 sec/game, 1.3 min. total, 445.3 MB
atrophy_happiness v2 65 games, 47180 moves, e=0.953, loss: 62.3, +, 61.5% elo% vs. guard_bot, avg. reward: 6.293, 1.353 sec/game, 1.3 min. total, 445.5 MB
atrophy_happiness v2 66 games, 47963 moves, e=0.953, loss: 66.2, ., 61.0% elo% vs. guard_bot, avg. reward: 6.280, 1.382 sec/game, 1.3 min. total, 445.8 MB
atrophy_happiness v2 67 games, 48615 moves, e=0.952, loss: 66.9, +, 62.7% elo% vs. guard_bot, avg. reward: 6.286, 1.372 sec/game, 1.3 min. total, 446.2 MB
atrophy_happiness v2 68 games, 49398 moves, e=0.951, loss: 68.1, +, 64.3% elo% vs. guard_bot, avg. reward: 6.277, 1.370 sec/game, 1.4 min. total, 446.0 MB
atrophy_happiness v2 69 games, 50213 moves, e=0.950, loss: 67.2, +, 65.8% elo% vs. guard_bot, avg. reward: 6.271, 1.391 sec/game, 1.4 min. total, 446.0 MB
atrophy_happiness v2 70 games, 50950 moves, e=0.950, loss: 70.3, +, 67.2% elo% vs. guard_bot, avg. reward: 6.271, 1.402 sec/game, 1.4 min. total, 446.5 MB
atrophy_happiness v2 71 games, 51681 moves, e=0.949, loss: 69.7, +, 68.5% elo% vs. guard_bot, avg. reward: 6.281, 1.394 sec/game, 1.4 min. total, 446.0 MB
atrophy_happiness v2 72 games, 52440 moves, e=0.948, loss: 70.8, ., 67.7% elo% vs. guard_bot, avg. reward: 6.277, 1.404 sec/game, 1.4 min. total, 446.5 MB
