bullfrog_excavator v1 36 games, 25955 moves, e=0.974, loss: nan, -, 42.0% elo% vs. v0, avg. reward: -9.783, 0.255 sec/game, 0.1 min. total, 420.9 MB
bullfrog_excavator v1 37 games, 26627 moves, e=0.974, loss: nan, -, 40.1% elo% vs. v0, avg. reward: -9.808, 0.256 sec/game, 0.1 min. total, 423.2 MB
bullfrog_excavator v1 38 games, 27309 moves, e=0.973, loss: nan, -, 38.3% elo% vs. v0, avg. reward: -9.820, 0.257 sec/game, 0.2 min. total, 426.1 MB
bullfrog_excavator v1 39 games, 27953 moves, e=0.972, loss: nan, +, 41.0% elo% vs. v0, avg. reward: -9.854, 0.256 sec/game, 0.2 min. total, 429.2 MB
bullfrog_excavator v1 40 games, 28641 moves, e=0.972, loss: nan, +, 43.7% elo% vs. v0, avg. reward: -9.860, 0.258 sec/game, 0.2 min. total, 433.7 MB
bullfrog_excavator v1 41 games, 29378 moves, e=0.971, loss: nan, ., 44.0% elo% vs. v0, avg. reward: -9.850, 0.260 sec/game, 0.2 min. total, 437.7 MB
bullfrog_excavator v1 42 games, 30070 moves, e=0.970, loss: nan, -, 42.0% elo% vs. v0, avg. reward: -9.860, 0.263 sec/game, 0.2 min. total, 441.9 MB
bullfrog_excavator v1 43 games, 30854 moves, e=0.969, loss: nan, -, 40.1% elo% vs. v0, avg. reward: -9.829, 0.266 sec/game, 0.2 min. total, 444.8 MB
bullfrog_excavator v1 44 games, 31559 moves, e=0.969, loss: nan, -, 38.4% elo% vs. v0, avg. reward: -9.836, 0.266 sec/game, 0.2 min. total, 444.8 MB
bullfrog_excavator v1 45 games, 32366 moves, e=0.968, loss: nan, +, 41.1% elo% vs. v0, avg. reward: -9.811, 0.267 sec/game, 0.2 min. total, 446.1 MB
bullfrog_excavator v1 46 games, 33170 moves, e=0.967, loss: nan, -, 39.3% elo% vs. v0, avg. reward: -9.786, 0.269 sec/game, 0.2 min. total, 448.2 MB
bullfrog_excavator v1 47 games, 33948 moves, e=0.966, loss: nan, +, 42.0% elo% vs. v0, avg. reward: -9.770, 0.272 sec/game, 0.2 min. total, 449.8 MB
