demeaning_prong v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.9 MB
demeaning_prong v1 35 games, 23715 moves, e=0.977, loss: 2.3, +, 70.3% elo% vs. random_bot, avg. reward: -9.257, 1.292 sec/game, 0.5 min. total, 395.4 MB
demeaning_prong v2 36 games, 24495 moves, e=0.976, loss: 2.4, +, 54.5% elo% vs. guard_bot, avg. reward: -9.224, 1.292 sec/game, 0.5 min. total, 449.8 MB
demeaning_prong v2 37 games, 25268 moves, e=0.975, loss: 2.5, +, 56.6% elo% vs. guard_bot, avg. reward: -9.191, 1.294 sec/game, 0.5 min. total, 452.9 MB
demeaning_prong v2 38 games, 25990 moves, e=0.974, loss: 2.5, +, 58.5% elo% vs. guard_bot, avg. reward: -9.179, 1.291 sec/game, 0.6 min. total, 450.2 MB
demeaning_prong v2 39 games, 26634 moves, e=0.974, loss: 2.6, +, 60.4% elo% vs. guard_bot, avg. reward: -9.197, 1.287 sec/game, 0.6 min. total, 450.8 MB
demeaning_prong v2 40 games, 27261 moves, e=0.973, loss: 2.4, +, 62.1% elo% vs. guard_bot, avg. reward: -9.213, 1.261 sec/game, 0.6 min. total, 451.2 MB
demeaning_prong v2 41 games, 28005 moves, e=0.972, loss: 2.5, +, 63.7% elo% vs. guard_bot, avg. reward: -9.193, 1.267 sec/game, 0.6 min. total, 454.2 MB
demeaning_prong v2 42 games, 28886 moves, e=0.971, loss: 2.5, +, 65.2% elo% vs. guard_bot, avg. reward: -9.135, 1.277 sec/game, 0.6 min. total, 456.6 MB
demeaning_prong v2 43 games, 29584 moves, e=0.971, loss: 2.8, +, 66.7% elo% vs. guard_bot, avg. reward: -9.125, 1.267 sec/game, 0.7 min. total, 457.2 MB
demeaning_prong v2 44 games, 30228 moves, e=0.970, loss: 2.7, +, 68.0% elo% vs. guard_bot, avg. reward: -9.132, 1.277 sec/game, 0.7 min. total, 458.8 MB
demeaning_prong v2 45 games, 30831 moves, e=0.969, loss: 2.4, +, 69.3% elo% vs. guard_bot, avg. reward: -9.150, 1.259 sec/game, 0.7 min. total, 457.6 MB
demeaning_prong v2 46 games, 31507 moves, e=0.969, loss: 2.3, +, 70.5% elo% vs. guard_bot, avg. reward: -9.150, 1.260 sec/game, 0.7 min. total, 458.8 MB
demeaning_prong v3 47 games, 32182 moves, e=0.968, loss: 2.0, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.151, 1.239 sec/game, 0.7 min. total, 462.4 MB
demeaning_prong v3 48 games, 32968 moves, e=0.967, loss: 2.2, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.123, 1.260 sec/game, 0.8 min. total, 462.5 MB
demeaning_prong v3 49 games, 33665 moves, e=0.967, loss: 2.7, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.117, 1.259 sec/game, 0.8 min. total, 463.6 MB
demeaning_prong v3 50 games, 34280 moves, e=0.966, loss: 2.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.140, 1.249 sec/game, 0.8 min. total, 466.1 MB
demeaning_prong v3 51 games, 35027 moves, e=0.965, loss: 2.8, -, 41.4% elo% vs. random_no_suicide, avg. reward: -9.127, 1.261 sec/game, 0.8 min. total, 468.9 MB
