demeaning_prong v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.9 MB
demeaning_prong v5 298 games, 229010 moves, e=0.773, loss: 2.6, +, 47.1% elo% vs. random_no_suicide, avg. reward: -7.365, 1.813 sec/game, 7.3 min. total, 533.7 MB
demeaning_prong v5 299 games, 229810 moves, e=0.772, loss: 2.4, +, 49.5% elo% vs. random_no_suicide, avg. reward: -7.354, 1.816 sec/game, 7.3 min. total, 533.8 MB
demeaning_prong v5 300 games, 230710 moves, e=0.772, loss: 2.2, +, 51.8% elo% vs. random_no_suicide, avg. reward: -7.352, 1.830 sec/game, 7.3 min. total, 533.8 MB
demeaning_prong v6 301 games, 231643 moves, e=0.771, loss: 2.0, -, 47.7% elo% vs. random_no_suicide, avg. reward: -7.352, 1.832 sec/game, 7.4 min. total, 533.1 MB
demeaning_prong v6 302 games, 232679 moves, e=0.770, loss: 2.0, +, 50.1% elo% vs. random_no_suicide, avg. reward: -7.344, 1.855 sec/game, 7.4 min. total, 534.3 MB
demeaning_prong v6 303 games, 233531 moves, e=0.769, loss: 1.9, +, 52.4% elo% vs. random_no_suicide, avg. reward: -7.349, 1.856 sec/game, 7.4 min. total, 534.9 MB
demeaning_prong v6 304 games, 234278 moves, e=0.768, loss: 1.9, +, 54.6% elo% vs. random_no_suicide, avg. reward: -7.369, 1.857 sec/game, 7.5 min. total, 534.9 MB
demeaning_prong v6 305 games, 235154 moves, e=0.767, loss: 1.9, +, 56.6% elo% vs. random_no_suicide, avg. reward: -7.356, 1.866 sec/game, 7.5 min. total, 534.9 MB
demeaning_prong v6 306 games, 236100 moves, e=0.766, loss: 2.0, +, 58.6% elo% vs. random_no_suicide, avg. reward: -7.350, 1.866 sec/game, 7.5 min. total, 535.0 MB
demeaning_prong v6 307 games, 236937 moves, e=0.765, loss: 2.1, +, 60.4% elo% vs. random_no_suicide, avg. reward: -7.353, 1.868 sec/game, 7.6 min. total, 536.8 MB
demeaning_prong v6 308 games, 237765 moves, e=0.765, loss: 2.1, +, 62.2% elo% vs. random_no_suicide, avg. reward: -7.355, 1.858 sec/game, 7.6 min. total, 536.3 MB
demeaning_prong v6 309 games, 238727 moves, e=0.764, loss: 2.2, +, 63.8% elo% vs. random_no_suicide, avg. reward: -7.340, 1.862 sec/game, 7.6 min. total, 536.4 MB
demeaning_prong v6 310 games, 239520 moves, e=0.763, loss: 2.1, +, 65.3% elo% vs. random_no_suicide, avg. reward: -7.326, 1.856 sec/game, 7.7 min. total, 536.5 MB
demeaning_prong v6 311 games, 240335 moves, e=0.762, loss: 2.1, +, 66.7% elo% vs. random_no_suicide, avg. reward: -7.316, 1.849 sec/game, 7.7 min. total, 536.5 MB
demeaning_prong v6 312 games, 241222 moves, e=0.761, loss: 1.8, +, 68.1% elo% vs. random_no_suicide, avg. reward: -7.300, 1.861 sec/game, 7.7 min. total, 536.4 MB
demeaning_prong v6 313 games, 242040 moves, e=0.760, loss: 2.1, -, 65.3% elo% vs. random_no_suicide, avg. reward: -7.298, 1.831 sec/game, 7.7 min. total, 536.9 MB
demeaning_prong v6 314 games, 242961 moves, e=0.759, loss: 2.1, +, 66.7% elo% vs. random_no_suicide, avg. reward: -7.305, 1.829 sec/game, 7.8 min. total, 537.0 MB
demeaning_prong v6 315 games, 243810 moves, e=0.759, loss: 2.1, +, 68.1% elo% vs. random_no_suicide, avg. reward: -7.282, 1.833 sec/game, 7.8 min. total, 536.8 MB
demeaning_prong v6 316 games, 244725 moves, e=0.758, loss: 2.1, +, 69.4% elo% vs. random_no_suicide, avg. reward: -7.258, 1.841 sec/game, 7.8 min. total, 536.9 MB
demeaning_prong v6 317 games, 245569 moves, e=0.757, loss: 2.1, +, 70.5% elo% vs. random_no_suicide, avg. reward: -7.256, 1.839 sec/game, 7.9 min. total, 536.8 MB
demeaning_prong v7 318 games, 246506 moves, e=0.756, loss: 2.1, ., 52.2% elo% vs. simple_bot, avg. reward: -7.242, 1.836 sec/game, 7.9 min. total, 538.0 MB
demeaning_prong v7 319 games, 247365 moves, e=0.755, loss: 2.3, +, 54.4% elo% vs. simple_bot, avg. reward: -7.235, 1.862 sec/game, 7.9 min. total, 541.0 MB
demeaning_prong v7 320 games, 248095 moves, e=0.754, loss: 2.2, +, 56.5% elo% vs. simple_bot, avg. reward: -7.246, 1.864 sec/game, 8.0 min. total, 540.0 MB
demeaning_prong v7 321 games, 248891 moves, e=0.754, loss: 2.0, +, 58.4% elo% vs. simple_bot, avg. reward: -7.244, 1.862 sec/game, 8.0 min. total, 544.6 MB
demeaning_prong v7 322 games, 249905 moves, e=0.753, loss: 2.2, -, 55.8% elo% vs. simple_bot, avg. reward: -7.213, 1.891 sec/game, 8.0 min. total, 544.6 MB
demeaning_prong v7 323 games, 250731 moves, e=0.752, loss: 2.4, -, 53.2% elo% vs. simple_bot, avg. reward: -7.210, 1.896 sec/game, 8.1 min. total, 544.9 MB
demeaning_prong v7 324 games, 251566 moves, e=0.751, loss: 2.5, -, 50.8% elo% vs. simple_bot, avg. reward: -7.210, 1.917 sec/game, 8.1 min. total, 544.9 MB
demeaning_prong v7 325 games, 252486 moves, e=0.750, loss: 2.7, +, 53.1% elo% vs. simple_bot, avg. reward: -7.194, 1.938 sec/game, 8.2 min. total, 540.2 MB
demeaning_prong v7 326 games, 253414 moves, e=0.749, loss: 2.7, +, 55.2% elo% vs. simple_bot, avg. reward: -7.189, 1.955 sec/game, 8.2 min. total, 540.3 MB
demeaning_prong v7 327 games, 254273 moves, e=0.748, loss: 2.5, +, 57.2% elo% vs. simple_bot, avg. reward: -7.185, 1.972 sec/game, 8.2 min. total, 540.6 MB
demeaning_prong v7 328 games, 255185 moves, e=0.747, loss: 2.4, +, 59.1% elo% vs. simple_bot, avg. reward: -7.171, 1.989 sec/game, 8.3 min. total, 540.6 MB
demeaning_prong v7 329 games, 256114 moves, e=0.746, loss: 2.3, +, 61.0% elo% vs. simple_bot, avg. reward: -7.143, 1.997 sec/game, 8.3 min. total, 541.7 MB
demeaning_prong v7 330 games, 256876 moves, e=0.746, loss: 2.4, +, 62.7% elo% vs. simple_bot, avg. reward: -7.141, 2.019 sec/game, 8.3 min. total, 541.8 MB
demeaning_prong v7 331 games, 257700 moves, e=0.745, loss: 2.3, ., 62.1% elo% vs. simple_bot, avg. reward: -7.148, 2.041 sec/game, 8.4 min. total, 546.3 MB
demeaning_prong v7 332 games, 258644 moves, e=0.744, loss: 2.5, ., 61.6% elo% vs. simple_bot, avg. reward: -7.130, 2.057 sec/game, 8.4 min. total, 541.9 MB
demeaning_prong v7 333 games, 259574 moves, e=0.743, loss: 2.6, +, 63.2% elo% vs. simple_bot, avg. reward: -7.120, 2.085 sec/game, 8.4 min. total, 543.3 MB
demeaning_prong v7 334 games, 260421 moves, e=0.742, loss: 2.8, +, 64.8% elo% vs. simple_bot, avg. reward: -7.129, 2.091 sec/game, 8.5 min. total, 542.3 MB
demeaning_prong v7 335 games, 261257 moves, e=0.741, loss: 2.7, +, 66.3% elo% vs. simple_bot, avg. reward: -7.117, 2.114 sec/game, 8.5 min. total, 542.5 MB
demeaning_prong v7 336 games, 262238 moves, e=0.740, loss: 2.2, +, 67.6% elo% vs. simple_bot, avg. reward: -7.121, 2.134 sec/game, 8.5 min. total, 544.1 MB
demeaning_prong v7 337 games, 263299 moves, e=0.739, loss: 2.2, +, 68.9% elo% vs. simple_bot, avg. reward: -7.099, 2.170 sec/game, 8.6 min. total, 543.5 MB
demeaning_prong v7 338 games, 264135 moves, e=0.739, loss: 2.2, +, 70.1% elo% vs. simple_bot, avg. reward: -7.104, 2.166 sec/game, 8.6 min. total, 543.8 MB
demeaning_prong v8 339 games, 265040 moves, e=0.738, loss: 2.4, -, 47.7% elo% vs. terrible_bot, avg. reward: -7.100, 2.156 sec/game, 8.7 min. total, 548.7 MB
demeaning_prong v8 340 games, 265900 moves, e=0.737, loss: 2.3, +, 50.1% elo% vs. terrible_bot, avg. reward: -7.101, 2.169 sec/game, 8.7 min. total, 544.0 MB
demeaning_prong v8 341 games, 266855 moves, e=0.736, loss: 1.8, -, 47.8% elo% vs. terrible_bot, avg. reward: -7.094, 2.187 sec/game, 8.7 min. total, 549.0 MB
demeaning_prong v8 342 games, 267693 moves, e=0.735, loss: 1.9, -, 45.6% elo% vs. terrible_bot, avg. reward: -7.084, 2.163 sec/game, 8.8 min. total, 544.2 MB
demeaning_prong v8 343 games, 268653 moves, e=0.734, loss: 1.8, -, 43.5% elo% vs. terrible_bot, avg. reward: -7.062, 2.183 sec/game, 8.8 min. total, 544.6 MB
demeaning_prong v8 344 games, 269486 moves, e=0.733, loss: 1.9, -, 41.6% elo% vs. terrible_bot, avg. reward: -7.066, 2.179 sec/game, 8.8 min. total, 546.0 MB
demeaning_prong v8 345 games, 270439 moves, e=0.732, loss: 2.0, +, 44.2% elo% vs. terrible_bot, avg. reward: -7.066, 2.174 sec/game, 8.9 min. total, 548.4 MB
demeaning_prong v8 346 games, 271404 moves, e=0.731, loss: 2.2, +, 46.8% elo% vs. terrible_bot, avg. reward: -7.049, 2.182 sec/game, 8.9 min. total, 548.2 MB
demeaning_prong v8 347 games, 272440 moves, e=0.730, loss: 2.0, +, 49.2% elo% vs. terrible_bot, avg. reward: -7.023, 2.196 sec/game, 9.0 min. total, 548.4 MB
demeaning_prong v8 348 games, 273278 moves, e=0.729, loss: 1.8, +, 51.5% elo% vs. terrible_bot, avg. reward: -7.025, 2.185 sec/game, 9.0 min. total, 549.6 MB
demeaning_prong v8 349 games, 274192 moves, e=0.729, loss: 2.1, +, 53.8% elo% vs. terrible_bot, avg. reward: -7.019, 2.186 sec/game, 9.0 min. total, 548.4 MB
demeaning_prong v8 350 games, 275025 moves, e=0.728, loss: 1.9, +, 55.9% elo% vs. terrible_bot, avg. reward: -7.018, 2.174 sec/game, 9.1 min. total, 548.4 MB
demeaning_prong v8 351 games, 276002 moves, e=0.727, loss: 2.2, +, 57.9% elo% vs. terrible_bot, avg. reward: -7.012, 2.184 sec/game, 9.1 min. total, 549.7 MB
demeaning_prong v8 352 games, 276982 moves, e=0.726, loss: 2.1, -, 55.3% elo% vs. terrible_bot, avg. reward: -7.001, 2.182 sec/game, 9.1 min. total, 552.7 MB
demeaning_prong v8 353 games, 277972 moves, e=0.725, loss: 2.1, -, 52.7% elo% vs. terrible_bot, avg. reward: -6.987, 2.188 sec/game, 9.2 min. total, 553.7 MB
demeaning_prong v8 354 games, 278867 moves, e=0.724, loss: 1.9, +, 54.9% elo% vs. terrible_bot, avg. reward: -6.985, 2.182 sec/game, 9.2 min. total, 549.0 MB
demeaning_prong v8 355 games, 279721 moves, e=0.723, loss: 2.2, -, 52.4% elo% vs. terrible_bot, avg. reward: -6.988, 2.175 sec/game, 9.2 min. total, 549.0 MB
demeaning_prong v8 356 games, 280528 moves, e=0.722, loss: 2.0, +, 54.6% elo% vs. terrible_bot, avg. reward: -6.996, 2.155 sec/game, 9.3 min. total, 548.9 MB
demeaning_prong v8 357 games, 281358 moves, e=0.721, loss: 2.5, -, 52.1% elo% vs. terrible_bot, avg. reward: -6.983, 2.132 sec/game, 9.3 min. total, 549.2 MB
demeaning_prong v8 358 games, 282369 moves, e=0.720, loss: 2.4, -, 49.7% elo% vs. terrible_bot, avg. reward: -6.971, 2.151 sec/game, 9.3 min. total, 553.5 MB
demeaning_prong v8 359 games, 283228 moves, e=0.720, loss: 2.3, -, 47.4% elo% vs. terrible_bot, avg. reward: -6.974, 2.145 sec/game, 9.4 min. total, 553.9 MB
demeaning_prong v8 360 games, 284147 moves, e=0.719, loss: 2.4, ., 47.5% elo% vs. terrible_bot, avg. reward: -6.962, 2.143 sec/game, 9.4 min. total, 553.5 MB
demeaning_prong v8 361 games, 285110 moves, e=0.718, loss: 2.4, ., 47.6% elo% vs. terrible_bot, avg. reward: -6.946, 2.142 sec/game, 9.4 min. total, 549.4 MB
demeaning_prong v8 362 games, 285993 moves, e=0.717, loss: 2.5, ., 47.7% elo% vs. terrible_bot, avg. reward: -6.947, 2.134 sec/game, 9.5 min. total, 549.4 MB
demeaning_prong v8 363 games, 286927 moves, e=0.716, loss: 2.6, +, 50.1% elo% vs. terrible_bot, avg. reward: -6.935, 2.118 sec/game, 9.5 min. total, 550.6 MB
demeaning_prong v8 364 games, 287850 moves, e=0.715, loss: 2.8, +, 52.4% elo% vs. terrible_bot, avg. reward: -6.918, 2.119 sec/game, 9.5 min. total, 551.8 MB
demeaning_prong v8 365 games, 288613 moves, e=0.714, loss: 2.8, +, 54.6% elo% vs. terrible_bot, avg. reward: -6.924, 2.104 sec/game, 9.6 min. total, 550.7 MB
demeaning_prong v8 366 games, 289687 moves, e=0.713, loss: 2.5, +, 56.7% elo% vs. terrible_bot, avg. reward: -6.910, 2.116 sec/game, 9.6 min. total, 552.0 MB
demeaning_prong v8 367 games, 290688 moves, e=0.712, loss: 2.7, +, 58.6% elo% vs. terrible_bot, avg. reward: -6.896, 2.108 sec/game, 9.7 min. total, 550.7 MB
demeaning_prong v8 368 games, 291686 moves, e=0.711, loss: 2.3, +, 60.5% elo% vs. terrible_bot, avg. reward: -6.890, 2.122 sec/game, 9.7 min. total, 550.6 MB
demeaning_prong v8 369 games, 292587 moves, e=0.710, loss: 2.4, +, 62.2% elo% vs. terrible_bot, avg. reward: -6.891, 2.116 sec/game, 9.7 min. total, 552.5 MB
demeaning_prong v8 370 games, 293582 moves, e=0.709, loss: 2.3, +, 63.8% elo% vs. terrible_bot, avg. reward: -6.871, 2.142 sec/game, 9.8 min. total, 551.8 MB
demeaning_prong v8 371 games, 294452 moves, e=0.708, loss: 2.2, +, 65.3% elo% vs. terrible_bot, avg. reward: -6.859, 2.128 sec/game, 9.8 min. total, 552.6 MB
demeaning_prong v8 372 games, 295393 moves, e=0.708, loss: 2.4, +, 66.8% elo% vs. terrible_bot, avg. reward: -6.851, 2.131 sec/game, 9.8 min. total, 553.8 MB
demeaning_prong v8 373 games, 296303 moves, e=0.707, loss: 2.3, +, 68.1% elo% vs. terrible_bot, avg. reward: -6.844, 2.118 sec/game, 9.9 min. total, 553.8 MB
demeaning_prong v8 374 games, 297322 moves, e=0.706, loss: 2.4, +, 69.4% elo% vs. terrible_bot, avg. reward: -6.831, 2.132 sec/game, 9.9 min. total, 552.3 MB
demeaning_prong v8 375 games, 298339 moves, e=0.705, loss: 2.6, +, 70.6% elo% vs. terrible_bot, avg. reward: -6.819, 2.146 sec/game, 9.9 min. total, 552.4 MB
demeaning_prong v9 376 games, 299252 moves, e=0.704, loss: 2.9, +, 50.1% elo% vs. supershibe, avg. reward: -6.808, 2.157 sec/game, 10.0 min. total, 552.6 MB
demeaning_prong v9 377 games, 300184 moves, e=0.703, loss: 2.8, +, 52.4% elo% vs. supershibe, avg. reward: -6.804, 2.176 sec/game, 10.0 min. total, 553.2 MB
demeaning_prong v9 378 games, 301174 moves, e=0.702, loss: 2.5, -, 50.0% elo% vs. supershibe, avg. reward: -6.808, 2.175 sec/game, 10.1 min. total, 555.4 MB
demeaning_prong v9 379 games, 302087 moves, e=0.701, loss: 2.5, +, 52.3% elo% vs. supershibe, avg. reward: -6.802, 2.203 sec/game, 10.1 min. total, 557.3 MB
demeaning_prong v9 380 games, 303033 moves, e=0.700, loss: 2.4, +, 54.5% elo% vs. supershibe, avg. reward: -6.785, 2.216 sec/game, 10.1 min. total, 557.4 MB
demeaning_prong v9 381 games, 303999 moves, e=0.699, loss: 2.3, +, 56.5% elo% vs. supershibe, avg. reward: -6.770, 2.217 sec/game, 10.2 min. total, 557.4 MB
demeaning_prong v9 382 games, 304971 moves, e=0.698, loss: 2.4, +, 58.5% elo% vs. supershibe, avg. reward: -6.756, 2.233 sec/game, 10.2 min. total, 557.2 MB
demeaning_prong v9 383 games, 305996 moves, e=0.697, loss: 2.3, -, 55.9% elo% vs. supershibe, avg. reward: -6.747, 2.249 sec/game, 10.3 min. total, 557.6 MB
demeaning_prong v9 384 games, 307016 moves, e=0.696, loss: 2.4, +, 57.9% elo% vs. supershibe, avg. reward: -6.735, 2.261 sec/game, 10.3 min. total, 557.7 MB
demeaning_prong v9 385 games, 307898 moves, e=0.695, loss: 2.3, +, 59.7% elo% vs. supershibe, avg. reward: -6.722, 2.282 sec/game, 10.3 min. total, 557.8 MB
demeaning_prong v9 386 games, 308779 moves, e=0.694, loss: 2.6, +, 61.5% elo% vs. supershibe, avg. reward: -6.716, 2.262 sec/game, 10.4 min. total, 557.9 MB
demeaning_prong v9 387 games, 309622 moves, e=0.693, loss: 2.5, +, 63.2% elo% vs. supershibe, avg. reward: -6.716, 2.245 sec/game, 10.4 min. total, 557.9 MB
demeaning_prong v9 388 games, 310573 moves, e=0.693, loss: 2.6, +, 64.7% elo% vs. supershibe, avg. reward: -6.710, 2.260 sec/game, 10.4 min. total, 558.7 MB
demeaning_prong v8 375 games, 298339 moves, e=0.705, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 308.1 MB
demeaning_prong v9 376 games, 299229 moves, e=0.704, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -6.833, 0.715 sec/game, 0.0 min. total, 317.8 MB
demeaning_prong v9 377 games, 300205 moves, e=0.703, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -6.348, 0.672 sec/game, 0.0 min. total, 323.1 MB
demeaning_prong v9 378 games, 301055 moves, e=0.702, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -6.635, 0.638 sec/game, 0.0 min. total, 327.3 MB
demeaning_prong v9 379 games, 301841 moves, e=0.701, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -6.843, 0.607 sec/game, 0.0 min. total, 331.5 MB
demeaning_prong v9 380 games, 302818 moves, e=0.700, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -6.677, 0.605 sec/game, 0.1 min. total, 335.7 MB
demeaning_prong v9 381 games, 303813 moves, e=0.699, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -6.570, 0.605 sec/game, 0.1 min. total, 341.5 MB
demeaning_prong v9 382 games, 304740 moves, e=0.698, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -6.568, 0.601 sec/game, 0.1 min. total, 346.4 MB
demeaning_prong v9 383 games, 305759 moves, e=0.697, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -6.487, 0.609 sec/game, 0.1 min. total, 351.8 MB
demeaning_prong v9 384 games, 306829 moves, e=0.696, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -6.359, 0.617 sec/game, 0.1 min. total, 356.8 MB
demeaning_prong v9 385 games, 307841 moves, e=0.695, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -6.316, 0.621 sec/game, 0.1 min. total, 361.9 MB
demeaning_prong v9 386 games, 308693 moves, e=0.694, loss: 2.5, +, 69.3% elo% vs. random_bot, avg. reward: -6.398, 0.691 sec/game, 0.1 min. total, 378.7 MB
demeaning_prong v9 387 games, 309701 moves, e=0.693, loss: 2.5, +, 70.5% elo% vs. random_bot, avg. reward: -6.327, 0.815 sec/game, 0.2 min. total, 380.4 MB
demeaning_prong v10 388 games, 310654 moves, e=0.692, loss: 2.5, +, 54.5% elo% vs. guard_bot, avg. reward: -6.309, 0.897 sec/game, 0.2 min. total, 440.7 MB
demeaning_prong v10 389 games, 311687 moves, e=0.691, loss: 2.5, +, 56.6% elo% vs. guard_bot, avg. reward: -6.237, 1.005 sec/game, 0.2 min. total, 441.9 MB
demeaning_prong v10 390 games, 312711 moves, e=0.690, loss: 2.4, +, 58.5% elo% vs. guard_bot, avg. reward: -6.192, 1.078 sec/game, 0.3 min. total, 443.3 MB
demeaning_prong v10 391 games, 313692 moves, e=0.689, loss: 2.2, +, 60.4% elo% vs. guard_bot, avg. reward: -6.170, 1.130 sec/game, 0.3 min. total, 447.3 MB
demeaning_prong v10 392 games, 314635 moves, e=0.689, loss: 2.3, +, 62.1% elo% vs. guard_bot, avg. reward: -6.190, 1.187 sec/game, 0.3 min. total, 450.6 MB
demeaning_prong v10 393 games, 315534 moves, e=0.688, loss: 2.3, +, 63.7% elo% vs. guard_bot, avg. reward: -6.224, 1.232 sec/game, 0.4 min. total, 450.8 MB
demeaning_prong v10 394 games, 316317 moves, e=0.687, loss: 2.4, +, 65.2% elo% vs. guard_bot, avg. reward: -6.318, 1.253 sec/game, 0.4 min. total, 451.1 MB
demeaning_prong v10 395 games, 317202 moves, e=0.686, loss: 2.4, +, 66.7% elo% vs. guard_bot, avg. reward: -6.346, 1.288 sec/game, 0.4 min. total, 451.0 MB
demeaning_prong v10 396 games, 318147 moves, e=0.685, loss: 2.6, +, 68.0% elo% vs. guard_bot, avg. reward: -6.341, 1.349 sec/game, 0.5 min. total, 451.1 MB
demeaning_prong v10 397 games, 319104 moves, e=0.684, loss: 2.4, +, 69.3% elo% vs. guard_bot, avg. reward: -6.323, 1.421 sec/game, 0.5 min. total, 451.6 MB
demeaning_prong v10 398 games, 320019 moves, e=0.683, loss: 2.5, +, 70.5% elo% vs. guard_bot, avg. reward: -6.323, 1.487 sec/game, 0.5 min. total, 452.5 MB
demeaning_prong v11 399 games, 321031 moves, e=0.682, loss: 2.5, +, 54.5% elo% vs. random_no_suicide, avg. reward: -6.305, 1.565 sec/game, 0.6 min. total, 458.4 MB
demeaning_prong v11 400 games, 321989 moves, e=0.681, loss: 2.8, +, 56.6% elo% vs. random_no_suicide, avg. reward: -6.296, 1.642 sec/game, 0.6 min. total, 458.6 MB
demeaning_prong v12 401 games, 322974 moves, e=0.680, loss: 2.6, +, 52.3% elo% vs. random_no_suicide, avg. reward: -6.280, 1.719 sec/game, 0.6 min. total, 460.0 MB
demeaning_prong v12 402 games, 323913 moves, e=0.679, loss: 2.5, +, 54.5% elo% vs. random_no_suicide, avg. reward: -6.271, 1.785 sec/game, 0.7 min. total, 460.0 MB
demeaning_prong v12 403 games, 324829 moves, e=0.678, loss: 2.5, +, 56.6% elo% vs. random_no_suicide, avg. reward: -6.280, 1.847 sec/game, 0.7 min. total, 460.1 MB
demeaning_prong v12 404 games, 325850 moves, e=0.677, loss: 2.3, +, 58.5% elo% vs. random_no_suicide, avg. reward: -6.262, 1.918 sec/game, 0.7 min. total, 460.5 MB
demeaning_prong v12 405 games, 326734 moves, e=0.677, loss: 2.4, +, 60.4% elo% vs. random_no_suicide, avg. reward: -6.290, 1.979 sec/game, 0.8 min. total, 460.8 MB
demeaning_prong v12 406 games, 327675 moves, e=0.676, loss: 2.6, +, 62.1% elo% vs. random_no_suicide, avg. reward: -6.285, 2.006 sec/game, 0.8 min. total, 460.9 MB
demeaning_prong v12 407 games, 328747 moves, e=0.675, loss: 2.7, -, 59.4% elo% vs. random_no_suicide, avg. reward: -6.255, 2.011 sec/game, 0.8 min. total, 460.7 MB
demeaning_prong v12 408 games, 329719 moves, e=0.674, loss: 2.7, -, 56.7% elo% vs. random_no_suicide, avg. reward: -6.242, 2.013 sec/game, 0.9 min. total, 462.0 MB
demeaning_prong v12 409 games, 330518 moves, e=0.673, loss: 2.8, -, 54.1% elo% vs. random_no_suicide, avg. reward: -6.285, 1.987 sec/game, 0.9 min. total, 460.9 MB
demeaning_prong v12 410 games, 331624 moves, e=0.672, loss: 2.6, +, 56.2% elo% vs. random_no_suicide, avg. reward: -6.259, 1.993 sec/game, 0.9 min. total, 461.1 MB
demeaning_prong v12 411 games, 332550 moves, e=0.671, loss: 2.4, -, 53.6% elo% vs. random_no_suicide, avg. reward: -6.264, 2.001 sec/game, 1.0 min. total, 462.0 MB
demeaning_prong v12 412 games, 333354 moves, e=0.670, loss: 2.8, -, 51.2% elo% vs. random_no_suicide, avg. reward: -6.298, 1.979 sec/game, 1.0 min. total, 465.9 MB
demeaning_prong v12 413 games, 334243 moves, e=0.669, loss: 2.3, ., 51.1% elo% vs. random_no_suicide, avg. reward: -6.311, 1.975 sec/game, 1.0 min. total, 466.0 MB
demeaning_prong v12 414 games, 335133 moves, e=0.668, loss: 2.3, +, 53.4% elo% vs. random_no_suicide, avg. reward: -6.320, 1.988 sec/game, 1.1 min. total, 467.2 MB
demeaning_prong v12 415 games, 335997 moves, e=0.667, loss: 2.4, +, 55.5% elo% vs. random_no_suicide, avg. reward: -6.337, 1.975 sec/game, 1.1 min. total, 467.4 MB
demeaning_prong v12 416 games, 336915 moves, e=0.666, loss: 2.6, +, 57.5% elo% vs. random_no_suicide, avg. reward: -6.340, 1.983 sec/game, 1.1 min. total, 467.9 MB
demeaning_prong v12 417 games, 337781 moves, e=0.666, loss: 2.5, +, 59.4% elo% vs. random_no_suicide, avg. reward: -6.358, 1.964 sec/game, 1.2 min. total, 468.7 MB
demeaning_prong v12 418 games, 338773 moves, e=0.665, loss: 2.3, +, 61.2% elo% vs. random_no_suicide, avg. reward: -6.345, 1.976 sec/game, 1.2 min. total, 469.6 MB
demeaning_prong v12 419 games, 339906 moves, e=0.663, loss: 2.1, +, 62.9% elo% vs. random_no_suicide, avg. reward: -6.319, 1.991 sec/game, 1.2 min. total, 471.4 MB
demeaning_prong v12 420 games, 340838 moves, e=0.663, loss: 2.1, +, 64.5% elo% vs. random_no_suicide, avg. reward: -6.315, 1.981 sec/game, 1.3 min. total, 472.7 MB
demeaning_prong v12 421 games, 341720 moves, e=0.662, loss: 2.3, +, 66.0% elo% vs. random_no_suicide, avg. reward: -6.324, 1.969 sec/game, 1.3 min. total, 472.6 MB
demeaning_prong v12 422 games, 342670 moves, e=0.661, loss: 2.2, +, 67.3% elo% vs. random_no_suicide, avg. reward: -6.322, 1.982 sec/game, 1.3 min. total, 472.5 MB
demeaning_prong v12 423 games, 343613 moves, e=0.660, loss: 2.1, -, 64.6% elo% vs. random_no_suicide, avg. reward: -6.319, 1.987 sec/game, 1.4 min. total, 471.1 MB
demeaning_prong v12 424 games, 344669 moves, e=0.659, loss: 2.3, +, 66.0% elo% vs. random_no_suicide, avg. reward: -6.299, 1.990 sec/game, 1.4 min. total, 474.7 MB
demeaning_prong v12 425 games, 345668 moves, e=0.658, loss: 2.3, +, 67.4% elo% vs. random_no_suicide, avg. reward: -6.283, 2.003 sec/game, 1.4 min. total, 473.9 MB
demeaning_prong v12 426 games, 346582 moves, e=0.657, loss: 2.5, +, 68.7% elo% vs. random_no_suicide, avg. reward: -6.289, 2.004 sec/game, 1.5 min. total, 475.2 MB
demeaning_prong v12 427 games, 347595 moves, e=0.656, loss: 2.8, +, 70.0% elo% vs. random_no_suicide, avg. reward: -6.276, 2.002 sec/game, 1.5 min. total, 475.0 MB
demeaning_prong v12 428 games, 348602 moves, e=0.655, loss: 2.9, +, 71.1% elo% vs. random_no_suicide, avg. reward: -6.269, 2.015 sec/game, 1.5 min. total, 476.0 MB
demeaning_prong v13 429 games, 349838 moves, e=0.654, loss: 3.3, +, 54.5% elo% vs. simple_bot, avg. reward: -6.239, 2.052 sec/game, 1.6 min. total, 473.8 MB
demeaning_prong v13 430 games, 350970 moves, e=0.653, loss: 3.0, +, 56.6% elo% vs. simple_bot, avg. reward: -6.215, 2.062 sec/game, 1.6 min. total, 475.3 MB
demeaning_prong v13 431 games, 351992 moves, e=0.652, loss: 3.2, +, 58.5% elo% vs. simple_bot, avg. reward: -6.199, 2.076 sec/game, 1.7 min. total, 474.6 MB
demeaning_prong v13 432 games, 352949 moves, e=0.651, loss: 3.1, +, 60.4% elo% vs. simple_bot, avg. reward: -6.197, 2.110 sec/game, 1.7 min. total, 477.7 MB
demeaning_prong v13 433 games, 353862 moves, e=0.650, loss: 3.0, +, 62.1% elo% vs. simple_bot, avg. reward: -6.201, 2.124 sec/game, 1.7 min. total, 479.2 MB
