robot,opponent,win,loss,draw,percent
ColinBots/field/model_36_3100_9822631.h5,zoo.random_no_suicide,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.might_win_sometimes,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.snoflake,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.goulinator,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.random_bot,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.rowlake,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.terrible_bot,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.guard_bot,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.kamikaze,19.0,0.0,1.0,97.5
ColinBots/field/model_36_3100_9822631.h5,zoo.supershibe,19.0,0.0,1.0,97.5
ColinBots/field/model_36_3100_9822631.h5,zoo.schmosby,19.0,1.0,0.0,95.0
ColinBots/field/model_36_3100_9822631.h5,zoo.sunguard,18.0,1.0,1.0,92.5
ColinBots/field/model_36_3100_9822631.h5,zoo.gir,16.0,3.0,1.0,82.5
ColinBots/field/model_36_3100_9822631.h5,zoo.simple_bot,15.0,4.0,1.0,77.5
ColinBots/field/model_36_3100_9822631.h5,zoo.btr,0.0,20.0,0.0,0.0
ColinBots/field/model_36_3100_9822631.h5,zoo.spferical,0.0,20.0,0.0,0.0
ColinBots/field/model_36_3100_9822631.h5,zoo.dulladob,0.0,20.0,0.0,0.0
,,266.0,69.0,5.0,78.97058823529412
