transpire_herself v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
transpire_herself v3 35 games, 25341 moves, e=0.975, loss: 7.9, -, 32.5% elo% vs. random_no_suicide, avg. reward: -9.753, 1.294 sec/game, 0.5 min. total, 461.6 MB
transpire_herself v3 36 games, 25989 moves, e=0.974, loss: 8.0, -, 31.2% elo% vs. random_no_suicide, avg. reward: -9.793, 1.294 sec/game, 0.5 min. total, 462.8 MB
transpire_herself v3 37 games, 26727 moves, e=0.974, loss: 8.1, -, 30.0% elo% vs. random_no_suicide, avg. reward: -9.771, 1.295 sec/game, 0.5 min. total, 463.3 MB
transpire_herself v3 38 games, 27485 moves, e=0.973, loss: 7.6, -, 28.8% elo% vs. random_no_suicide, avg. reward: -9.763, 1.301 sec/game, 0.6 min. total, 463.7 MB
transpire_herself v3 39 games, 28183 moves, e=0.972, loss: 7.4, -, 27.7% elo% vs. random_no_suicide, avg. reward: -9.776, 1.294 sec/game, 0.6 min. total, 463.6 MB
transpire_herself v3 40 games, 28883 moves, e=0.971, loss: 8.0, -, 26.7% elo% vs. random_no_suicide, avg. reward: -9.793, 1.304 sec/game, 0.6 min. total, 463.8 MB
transpire_herself v3 41 games, 29648 moves, e=0.971, loss: 8.6, -, 25.8% elo% vs. random_no_suicide, avg. reward: -9.774, 1.312 sec/game, 0.6 min. total, 463.8 MB
transpire_herself v3 42 games, 30371 moves, e=0.970, loss: 8.2, -, 24.9% elo% vs. random_no_suicide, avg. reward: -9.773, 1.342 sec/game, 0.7 min. total, 464.1 MB
transpire_herself v3 43 games, 30974 moves, e=0.969, loss: 7.9, -, 24.0% elo% vs. random_no_suicide, avg. reward: -9.823, 1.343 sec/game, 0.7 min. total, 464.7 MB
transpire_herself v3 44 games, 31784 moves, e=0.969, loss: 7.1, -, 23.2% elo% vs. random_no_suicide, avg. reward: -9.787, 1.379 sec/game, 0.7 min. total, 464.4 MB
transpire_herself v3 45 games, 32522 moves, e=0.968, loss: 8.1, -, 22.5% elo% vs. random_no_suicide, avg. reward: -9.777, 1.394 sec/game, 0.8 min. total, 465.2 MB
transpire_herself v3 46 games, 33270 moves, e=0.967, loss: 8.0, -, 21.8% elo% vs. random_no_suicide, avg. reward: -9.765, 1.384 sec/game, 0.8 min. total, 465.7 MB
transpire_herself v3 47 games, 34088 moves, e=0.966, loss: 8.0, -, 21.1% elo% vs. random_no_suicide, avg. reward: -9.738, 1.407 sec/game, 0.8 min. total, 467.4 MB
transpire_herself v3 48 games, 34816 moves, e=0.966, loss: 7.9, -, 20.4% elo% vs. random_no_suicide, avg. reward: -9.727, 1.411 sec/game, 0.8 min. total, 467.3 MB
transpire_herself v3 49 games, 35572 moves, e=0.965, loss: 7.7, -, 19.8% elo% vs. random_no_suicide, avg. reward: -9.712, 1.413 sec/game, 0.8 min. total, 467.3 MB
transpire_herself v3 50 games, 36222 moves, e=0.964, loss: 8.5, -, 19.3% elo% vs. random_no_suicide, avg. reward: -9.733, 1.391 sec/game, 0.9 min. total, 467.3 MB
transpire_herself v3 51 games, 36964 moves, e=0.963, loss: 8.2, -, 18.7% elo% vs. random_no_suicide, avg. reward: -9.721, 1.402 sec/game, 0.9 min. total, 467.1 MB
transpire_herself v3 52 games, 37716 moves, e=0.963, loss: 8.3, -, 18.2% elo% vs. random_no_suicide, avg. reward: -9.716, 1.392 sec/game, 0.9 min. total, 467.5 MB
transpire_herself v3 53 games, 38429 moves, e=0.962, loss: 8.0, -, 17.7% elo% vs. random_no_suicide, avg. reward: -9.721, 1.392 sec/game, 0.9 min. total, 467.6 MB
transpire_herself v3 54 games, 39233 moves, e=0.961, loss: 7.9, -, 17.2% elo% vs. random_no_suicide, avg. reward: -9.700, 1.404 sec/game, 1.0 min. total, 467.6 MB
transpire_herself v3 55 games, 40051 moves, e=0.960, loss: 7.9, -, 16.8% elo% vs. random_no_suicide, avg. reward: -9.677, 1.417 sec/game, 1.0 min. total, 467.8 MB
transpire_herself v3 56 games, 40685 moves, e=0.960, loss: 7.7, -, 16.4% elo% vs. random_no_suicide, avg. reward: -9.701, 1.409 sec/game, 1.0 min. total, 468.1 MB
transpire_herself v3 57 games, 41500 moves, e=0.959, loss: 7.7, -, 16.0% elo% vs. random_no_suicide, avg. reward: -9.678, 1.429 sec/game, 1.0 min. total, 469.1 MB
transpire_herself v3 58 games, 42299 moves, e=0.958, loss: 7.4, -, 15.6% elo% vs. random_no_suicide, avg. reward: -9.661, 1.431 sec/game, 1.0 min. total, 469.5 MB
transpire_herself v3 59 games, 43100 moves, e=0.957, loss: 7.3, -, 15.2% elo% vs. random_no_suicide, avg. reward: -9.650, 1.432 sec/game, 1.1 min. total, 469.5 MB
transpire_herself v3 60 games, 43828 moves, e=0.957, loss: 7.8, -, 14.8% elo% vs. random_no_suicide, avg. reward: -9.651, 1.438 sec/game, 1.1 min. total, 469.7 MB
transpire_herself v3 61 games, 44541 moves, e=0.956, loss: 7.7, -, 14.5% elo% vs. random_no_suicide, avg. reward: -9.652, 1.423 sec/game, 1.1 min. total, 469.6 MB
transpire_herself v3 62 games, 45312 moves, e=0.955, loss: 7.3, -, 14.2% elo% vs. random_no_suicide, avg. reward: -9.648, 1.413 sec/game, 1.1 min. total, 469.7 MB
transpire_herself v3 63 games, 46051 moves, e=0.954, loss: 6.8, -, 13.8% elo% vs. random_no_suicide, avg. reward: -9.646, 1.405 sec/game, 1.2 min. total, 469.7 MB
transpire_herself v3 64 games, 46799 moves, e=0.954, loss: 6.3, -, 13.5% elo% vs. random_no_suicide, avg. reward: -9.645, 1.371 sec/game, 1.2 min. total, 469.8 MB
transpire_herself v3 65 games, 47498 moves, e=0.953, loss: 6.3, -, 13.3% elo% vs. random_no_suicide, avg. reward: -9.652, 1.357 sec/game, 1.2 min. total, 469.9 MB
transpire_herself v3 66 games, 48179 moves, e=0.952, loss: 6.1, -, 13.0% elo% vs. random_no_suicide, avg. reward: -9.658, 1.356 sec/game, 1.2 min. total, 469.9 MB
transpire_herself v3 67 games, 48894 moves, e=0.952, loss: 6.2, +, 14.9% elo% vs. random_no_suicide, avg. reward: -9.661, 1.337 sec/game, 1.2 min. total, 467.1 MB
transpire_herself v3 68 games, 49523 moves, e=0.951, loss: 6.1, -, 14.6% elo% vs. random_no_suicide, avg. reward: -9.678, 1.331 sec/game, 1.3 min. total, 471.9 MB
transpire_herself v3 69 games, 50261 moves, e=0.950, loss: 6.8, -, 14.2% elo% vs. random_no_suicide, avg. reward: -9.679, 1.351 sec/game, 1.3 min. total, 469.7 MB
transpire_herself v3 70 games, 50950 moves, e=0.950, loss: 6.3, +, 16.3% elo% vs. random_no_suicide, avg. reward: -9.687, 1.361 sec/game, 1.3 min. total, 469.0 MB
transpire_herself v3 71 games, 51709 moves, e=0.949, loss: 6.2, +, 18.5% elo% vs. random_no_suicide, avg. reward: -9.679, 1.352 sec/game, 1.3 min. total, 467.6 MB
