transpire_herself v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
transpire_herself v13 799 games, 1086002 moves, e=0.010, loss: 2.3, -, 6.7% elo% vs. simple_bot, avg. reward: -1.301, 6.700 sec/game, 33.8 min. total, 754.6 MB
transpire_herself v13 800 games, 1089851 moves, e=0.010, loss: 2.2, -, 6.6% elo% vs. simple_bot, avg. reward: -1.284, 6.732 sec/game, 33.9 min. total, 754.5 MB
transpire_herself v14 801 games, 1093425 moves, e=0.010, loss: 2.1, -, 47.7% elo% vs. simple_bot, avg. reward: -1.265, 6.748 sec/game, 34.0 min. total, 755.9 MB
transpire_herself v14 802 games, 1097207 moves, e=0.010, loss: 2.0, -, 45.5% elo% vs. simple_bot, avg. reward: -1.247, 6.771 sec/game, 34.1 min. total, 755.8 MB
transpire_herself v14 803 games, 1101039 moves, e=0.010, loss: 2.3, -, 43.4% elo% vs. simple_bot, avg. reward: -1.228, 6.781 sec/game, 34.3 min. total, 755.1 MB
transpire_herself v14 804 games, 1105013 moves, e=0.010, loss: 2.0, -, 41.5% elo% vs. simple_bot, avg. reward: -1.211, 6.841 sec/game, 34.4 min. total, 754.4 MB
transpire_herself v14 805 games, 1108789 moves, e=0.010, loss: 1.9, -, 39.6% elo% vs. simple_bot, avg. reward: -1.189, 6.918 sec/game, 34.5 min. total, 755.2 MB
transpire_herself v14 806 games, 1112863 moves, e=0.010, loss: 1.6, -, 37.9% elo% vs. simple_bot, avg. reward: -1.165, 6.977 sec/game, 34.6 min. total, 756.6 MB
transpire_herself v14 807 games, 1116640 moves, e=0.010, loss: 1.7, -, 36.3% elo% vs. simple_bot, avg. reward: -1.148, 7.012 sec/game, 34.7 min. total, 755.4 MB
transpire_herself v14 808 games, 1120375 moves, e=0.010, loss: 2.0, -, 34.8% elo% vs. simple_bot, avg. reward: -1.129, 7.051 sec/game, 34.9 min. total, 755.1 MB
transpire_herself v14 809 games, 1124166 moves, e=0.010, loss: 2.5, -, 33.3% elo% vs. simple_bot, avg. reward: -1.112, 7.081 sec/game, 35.0 min. total, 757.2 MB
transpire_herself v14 810 games, 1127768 moves, e=0.010, loss: 2.6, +, 36.1% elo% vs. simple_bot, avg. reward: -1.098, 7.084 sec/game, 35.1 min. total, 759.2 MB
transpire_herself v14 811 games, 1131739 moves, e=0.010, loss: 2.8, -, 34.6% elo% vs. simple_bot, avg. reward: -1.085, 7.133 sec/game, 35.2 min. total, 759.5 MB
transpire_herself v14 812 games, 1135381 moves, e=0.010, loss: 2.7, -, 33.2% elo% vs. simple_bot, avg. reward: -1.074, 7.144 sec/game, 35.3 min. total, 759.3 MB
transpire_herself v14 813 games, 1138675 moves, e=0.010, loss: 2.4, -, 31.8% elo% vs. simple_bot, avg. reward: -1.061, 7.095 sec/game, 35.4 min. total, 760.9 MB
transpire_herself v14 814 games, 1142213 moves, e=0.010, loss: 2.7, -, 30.6% elo% vs. simple_bot, avg. reward: -1.051, 7.081 sec/game, 35.6 min. total, 762.2 MB
transpire_herself v14 815 games, 1145417 moves, e=0.010, loss: 2.9, -, 29.4% elo% vs. simple_bot, avg. reward: -1.041, 7.039 sec/game, 35.7 min. total, 761.7 MB
transpire_herself v14 816 games, 1148992 moves, e=0.010, loss: 3.2, -, 28.3% elo% vs. simple_bot, avg. reward: -1.030, 7.005 sec/game, 35.8 min. total, 762.4 MB
transpire_herself v14 817 games, 1152071 moves, e=0.010, loss: 3.7, -, 27.2% elo% vs. simple_bot, avg. reward: -1.019, 6.955 sec/game, 35.9 min. total, 760.4 MB
transpire_herself v14 818 games, 1154912 moves, e=0.010, loss: 3.8, -, 26.2% elo% vs. simple_bot, avg. reward: -1.006, 6.884 sec/game, 36.0 min. total, 758.4 MB
transpire_herself v14 819 games, 1158116 moves, e=0.010, loss: 3.5, -, 25.3% elo% vs. simple_bot, avg. reward: -0.989, 6.828 sec/game, 36.1 min. total, 759.9 MB
transpire_herself v14 820 games, 1161393 moves, e=0.010, loss: 3.9, -, 24.4% elo% vs. simple_bot, avg. reward: -0.972, 6.788 sec/game, 36.2 min. total, 760.4 MB
transpire_herself v14 821 games, 1164784 moves, e=0.010, loss: 3.7, -, 23.6% elo% vs. simple_bot, avg. reward: -0.953, 6.767 sec/game, 36.3 min. total, 763.8 MB
transpire_herself v14 822 games, 1168456 moves, e=0.010, loss: 3.2, +, 26.3% elo% vs. simple_bot, avg. reward: -0.938, 6.764 sec/game, 36.4 min. total, 765.4 MB
transpire_herself v14 823 games, 1172196 moves, e=0.010, loss: 2.6, -, 25.3% elo% vs. simple_bot, avg. reward: -0.927, 6.760 sec/game, 36.5 min. total, 764.1 MB
transpire_herself v14 824 games, 1176235 moves, e=0.010, loss: 2.5, -, 24.5% elo% vs. simple_bot, avg. reward: -0.911, 6.788 sec/game, 36.6 min. total, 763.0 MB
transpire_herself v14 825 games, 1180008 moves, e=0.010, loss: 2.5, -, 23.6% elo% vs. simple_bot, avg. reward: -0.896, 6.782 sec/game, 36.8 min. total, 766.0 MB
transpire_herself v14 826 games, 1184018 moves, e=0.010, loss: 2.5, -, 22.9% elo% vs. simple_bot, avg. reward: -0.879, 6.782 sec/game, 36.9 min. total, 767.7 MB
transpire_herself v14 827 games, 1187625 moves, e=0.010, loss: 2.6, -, 22.1% elo% vs. simple_bot, avg. reward: -0.868, 6.779 sec/game, 37.0 min. total, 770.4 MB
transpire_herself v14 828 games, 1191376 moves, e=0.010, loss: 2.7, -, 21.4% elo% vs. simple_bot, avg. reward: -0.858, 6.773 sec/game, 37.1 min. total, 769.4 MB
transpire_herself v14 829 games, 1195270 moves, e=0.010, loss: 2.7, -, 20.8% elo% vs. simple_bot, avg. reward: -0.844, 6.781 sec/game, 37.2 min. total, 770.5 MB
transpire_herself v14 830 games, 1198508 moves, e=0.010, loss: 2.3, -, 20.1% elo% vs. simple_bot, avg. reward: -0.832, 6.760 sec/game, 37.3 min. total, 770.8 MB
transpire_herself v14 831 games, 1202277 moves, e=0.010, loss: 2.3, -, 19.6% elo% vs. simple_bot, avg. reward: -0.818, 6.741 sec/game, 37.5 min. total, 770.0 MB
transpire_herself v14 832 games, 1205650 moves, e=0.010, loss: 2.5, -, 19.0% elo% vs. simple_bot, avg. reward: -0.808, 6.714 sec/game, 37.6 min. total, 770.5 MB
transpire_herself v14 833 games, 1209532 moves, e=0.010, loss: 3.0, -, 18.5% elo% vs. simple_bot, avg. reward: -0.797, 6.757 sec/game, 37.7 min. total, 771.8 MB
transpire_herself v14 834 games, 1212945 moves, e=0.010, loss: 3.1, -, 18.0% elo% vs. simple_bot, avg. reward: -0.786, 6.741 sec/game, 37.8 min. total, 773.7 MB
transpire_herself v14 835 games, 1216693 moves, e=0.010, loss: 2.5, -, 17.5% elo% vs. simple_bot, avg. reward: -0.770, 6.783 sec/game, 37.9 min. total, 772.4 MB
transpire_herself v14 836 games, 1220379 moves, e=0.010, loss: 1.8, +, 19.8% elo% vs. simple_bot, avg. reward: -0.754, 6.788 sec/game, 38.0 min. total, 775.1 MB
transpire_herself v14 837 games, 1224897 moves, e=0.010, loss: 1.4, -, 19.2% elo% vs. simple_bot, avg. reward: -0.739, 6.922 sec/game, 38.2 min. total, 773.7 MB
transpire_herself v14 838 games, 1228803 moves, e=0.010, loss: 1.2, +, 21.6% elo% vs. simple_bot, avg. reward: -0.722, 7.018 sec/game, 38.3 min. total, 773.2 MB
transpire_herself v14 839 games, 1232683 moves, e=0.010, loss: 1.4, -, 21.0% elo% vs. simple_bot, avg. reward: -0.708, 7.084 sec/game, 38.4 min. total, 773.3 MB
transpire_herself v14 840 games, 1236724 moves, e=0.010, loss: 1.7, -, 20.3% elo% vs. simple_bot, avg. reward: -0.693, 7.142 sec/game, 38.5 min. total, 775.9 MB
transpire_herself v14 841 games, 1240811 moves, e=0.010, loss: 1.9, -, 19.7% elo% vs. simple_bot, avg. reward: -0.678, 7.213 sec/game, 38.7 min. total, 775.7 MB
transpire_herself v14 842 games, 1244557 moves, e=0.010, loss: 2.2, -, 19.2% elo% vs. simple_bot, avg. reward: -0.670, 7.226 sec/game, 38.8 min. total, 775.1 MB
transpire_herself v14 843 games, 1248045 moves, e=0.010, loss: 1.9, -, 18.6% elo% vs. simple_bot, avg. reward: -0.664, 7.201 sec/game, 38.9 min. total, 779.5 MB
transpire_herself v14 844 games, 1251706 moves, e=0.010, loss: 1.7, +, 21.0% elo% vs. simple_bot, avg. reward: -0.654, 7.157 sec/game, 39.0 min. total, 779.4 MB
transpire_herself v14 845 games, 1255800 moves, e=0.010, loss: 1.6, +, 23.5% elo% vs. simple_bot, avg. reward: -0.642, 7.197 sec/game, 39.2 min. total, 778.8 MB
transpire_herself v14 846 games, 1259852 moves, e=0.010, loss: 1.5, -, 22.7% elo% vs. simple_bot, avg. reward: -0.632, 7.204 sec/game, 39.3 min. total, 778.3 MB
transpire_herself v14 847 games, 1263587 moves, e=0.010, loss: 1.5, -, 22.0% elo% vs. simple_bot, avg. reward: -0.616, 7.212 sec/game, 39.4 min. total, 776.8 MB
transpire_herself v14 848 games, 1267481 moves, e=0.010, loss: 1.3, +, 24.6% elo% vs. simple_bot, avg. reward: -0.605, 7.232 sec/game, 39.5 min. total, 780.2 MB
transpire_herself v14 849 games, 1271567 moves, e=0.010, loss: 1.3, -, 23.7% elo% vs. simple_bot, avg. reward: -0.598, 7.241 sec/game, 39.7 min. total, 780.7 MB
transpire_herself v14 850 games, 1275593 moves, e=0.010, loss: 1.2, ., 24.6% elo% vs. simple_bot, avg. reward: -0.591, 7.297 sec/game, 39.8 min. total, 781.4 MB
transpire_herself v14 851 games, 1279697 moves, e=0.010, loss: 1.6, -, 23.8% elo% vs. simple_bot, avg. reward: -0.584, 7.323 sec/game, 39.9 min. total, 782.1 MB
transpire_herself v14 852 games, 1283643 moves, e=0.010, loss: 1.6, -, 23.0% elo% vs. simple_bot, avg. reward: -0.574, 7.366 sec/game, 40.0 min. total, 782.1 MB
transpire_herself v14 853 games, 1287500 moves, e=0.010, loss: 1.7, +, 25.6% elo% vs. simple_bot, avg. reward: -0.568, 7.372 sec/game, 40.1 min. total, 783.2 MB
transpire_herself v14 854 games, 1291168 moves, e=0.010, loss: 1.6, -, 24.7% elo% vs. simple_bot, avg. reward: -0.564, 7.412 sec/game, 40.3 min. total, 781.9 MB
transpire_herself v14 855 games, 1294527 moves, e=0.010, loss: 1.7, -, 23.9% elo% vs. simple_bot, avg. reward: -0.556, 7.375 sec/game, 40.4 min. total, 783.3 MB
transpire_herself v14 856 games, 1298300 moves, e=0.010, loss: 1.6, -, 23.1% elo% vs. simple_bot, avg. reward: -0.552, 7.384 sec/game, 40.5 min. total, 787.2 MB
transpire_herself v14 857 games, 1302250 moves, e=0.010, loss: 1.5, -, 22.4% elo% vs. simple_bot, avg. reward: -0.549, 7.339 sec/game, 40.6 min. total, 787.5 MB
transpire_herself v14 858 games, 1306281 moves, e=0.010, loss: 1.5, -, 21.6% elo% vs. simple_bot, avg. reward: -0.542, 7.362 sec/game, 40.8 min. total, 786.8 MB
transpire_herself v14 859 games, 1310122 moves, e=0.010, loss: 1.8, +, 24.2% elo% vs. simple_bot, avg. reward: -0.538, 7.350 sec/game, 40.9 min. total, 786.3 MB
transpire_herself v14 860 games, 1313925 moves, e=0.010, loss: 1.5, -, 23.4% elo% vs. simple_bot, avg. reward: -0.531, 7.338 sec/game, 41.0 min. total, 787.2 MB
transpire_herself v14 861 games, 1317704 moves, e=0.010, loss: 1.5, -, 22.6% elo% vs. simple_bot, avg. reward: -0.525, 7.307 sec/game, 41.1 min. total, 788.3 MB
transpire_herself v14 862 games, 1321784 moves, e=0.010, loss: 1.4, -, 21.9% elo% vs. simple_bot, avg. reward: -0.519, 7.329 sec/game, 41.2 min. total, 788.9 MB
transpire_herself v14 863 games, 1325823 moves, e=0.010, loss: 1.4, +, 24.5% elo% vs. simple_bot, avg. reward: -0.514, 7.378 sec/game, 41.4 min. total, 791.1 MB
transpire_herself v14 864 games, 1330062 moves, e=0.010, loss: 1.2, +, 27.1% elo% vs. simple_bot, avg. reward: -0.508, 7.426 sec/game, 41.5 min. total, 791.5 MB
transpire_herself v14 865 games, 1334366 moves, e=0.010, loss: 1.5, -, 26.1% elo% vs. simple_bot, avg. reward: -0.505, 7.428 sec/game, 41.6 min. total, 792.6 MB
transpire_herself v14 866 games, 1338128 moves, e=0.010, loss: 1.7, -, 25.2% elo% vs. simple_bot, avg. reward: -0.502, 7.393 sec/game, 41.7 min. total, 790.8 MB
transpire_herself v14 867 games, 1341616 moves, e=0.010, loss: 1.6, -, 24.4% elo% vs. simple_bot, avg. reward: -0.497, 7.364 sec/game, 41.9 min. total, 792.7 MB
transpire_herself v14 868 games, 1345451 moves, e=0.010, loss: 1.6, ., 25.2% elo% vs. simple_bot, avg. reward: -0.494, 7.358 sec/game, 42.0 min. total, 793.9 MB
transpire_herself v14 869 games, 1349438 moves, e=0.010, loss: 1.5, -, 24.4% elo% vs. simple_bot, avg. reward: -0.490, 7.354 sec/game, 42.1 min. total, 794.3 MB
transpire_herself v14 870 games, 1353465 moves, e=0.010, loss: 1.4, +, 27.0% elo% vs. simple_bot, avg. reward: -0.484, 7.355 sec/game, 42.2 min. total, 794.5 MB
transpire_herself v14 871 games, 1357489 moves, e=0.010, loss: 1.4, +, 29.8% elo% vs. simple_bot, avg. reward: -0.479, 7.352 sec/game, 42.4 min. total, 794.6 MB
transpire_herself v14 872 games, 1361284 moves, e=0.010, loss: 1.3, +, 32.5% elo% vs. simple_bot, avg. reward: -0.474, 7.348 sec/game, 42.5 min. total, 795.6 MB
transpire_herself v14 873 games, 1365197 moves, e=0.010, loss: 1.0, +, 35.3% elo% vs. simple_bot, avg. reward: -0.469, 7.352 sec/game, 42.6 min. total, 797.3 MB
transpire_herself v14 874 games, 1369172 moves, e=0.010, loss: 1.2, +, 38.1% elo% vs. simple_bot, avg. reward: -0.463, 7.359 sec/game, 42.7 min. total, 797.9 MB
transpire_herself v14 875 games, 1373292 moves, e=0.010, loss: 0.9, +, 40.8% elo% vs. simple_bot, avg. reward: -0.457, 7.434 sec/game, 42.9 min. total, 797.1 MB
transpire_herself v14 876 games, 1377267 moves, e=0.010, loss: 1.2, +, 43.5% elo% vs. simple_bot, avg. reward: -0.454, 7.450 sec/game, 43.0 min. total, 798.1 MB
transpire_herself v14 877 games, 1381320 moves, e=0.010, loss: 1.5, +, 46.0% elo% vs. simple_bot, avg. reward: -0.451, 7.453 sec/game, 43.1 min. total, 797.1 MB
transpire_herself v14 878 games, 1385417 moves, e=0.010, loss: 1.7, -, 43.9% elo% vs. simple_bot, avg. reward: -0.447, 7.441 sec/game, 43.2 min. total, 799.2 MB
transpire_herself v14 879 games, 1389066 moves, e=0.010, loss: 1.6, +, 46.5% elo% vs. simple_bot, avg. reward: -0.445, 7.424 sec/game, 43.3 min. total, 800.1 MB
transpire_herself v14 880 games, 1392625 moves, e=0.010, loss: 1.5, +, 49.0% elo% vs. simple_bot, avg. reward: -0.444, 7.390 sec/game, 43.5 min. total, 800.1 MB
transpire_herself v13 800 games, 1089851 moves, e=0.010, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 307.9 MB
transpire_herself v14 801 games, 1093253 moves, e=0.010, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -0.660, 1.562 sec/game, 0.0 min. total, 327.6 MB
transpire_herself v14 802 games, 1097155 moves, e=0.010, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -0.576, 1.567 sec/game, 0.1 min. total, 343.3 MB
transpire_herself v14 803 games, 1100821 moves, e=0.010, loss: 2.8, +, 56.6% elo% vs. random_bot, avg. reward: -0.546, 2.113 sec/game, 0.1 min. total, 374.2 MB
transpire_herself v14 804 games, 1104400 moves, e=0.010, loss: 2.0, +, 58.5% elo% vs. random_bot, avg. reward: -0.508, 3.345 sec/game, 0.2 min. total, 381.9 MB
transpire_herself v14 805 games, 1108115 moves, e=0.010, loss: 1.9, +, 60.4% elo% vs. random_bot, avg. reward: -0.478, 4.078 sec/game, 0.3 min. total, 384.6 MB
transpire_herself v14 806 games, 1112213 moves, e=0.010, loss: 1.9, +, 62.1% elo% vs. random_bot, avg. reward: -0.451, 4.722 sec/game, 0.5 min. total, 386.0 MB
transpire_herself v14 807 games, 1116113 moves, e=0.010, loss: 1.7, +, 63.7% elo% vs. random_bot, avg. reward: -0.436, 5.081 sec/game, 0.6 min. total, 393.2 MB
transpire_herself v14 808 games, 1119739 moves, e=0.010, loss: 1.5, +, 65.2% elo% vs. random_bot, avg. reward: -0.419, 5.290 sec/game, 0.7 min. total, 393.0 MB
transpire_herself v14 809 games, 1123591 moves, e=0.010, loss: 1.3, +, 66.7% elo% vs. random_bot, avg. reward: -0.411, 5.535 sec/game, 0.8 min. total, 394.1 MB
transpire_herself v14 810 games, 1127359 moves, e=0.010, loss: 1.2, +, 68.0% elo% vs. random_bot, avg. reward: -0.416, 5.683 sec/game, 0.9 min. total, 396.4 MB
transpire_herself v14 811 games, 1131095 moves, e=0.010, loss: 1.9, +, 69.3% elo% vs. random_bot, avg. reward: -0.417, 5.816 sec/game, 1.1 min. total, 394.6 MB
transpire_herself v14 812 games, 1134388 moves, e=0.010, loss: 2.0, +, 70.5% elo% vs. random_bot, avg. reward: -0.429, 5.861 sec/game, 1.2 min. total, 396.3 MB
transpire_herself v15 813 games, 1137848 moves, e=0.010, loss: 2.1, +, 54.5% elo% vs. guard_bot, avg. reward: -0.437, 5.909 sec/game, 1.3 min. total, 455.7 MB
transpire_herself v15 814 games, 1141657 moves, e=0.010, loss: 1.9, +, 56.6% elo% vs. guard_bot, avg. reward: -0.436, 6.011 sec/game, 1.4 min. total, 462.8 MB
transpire_herself v15 815 games, 1145589 moves, e=0.010, loss: 2.1, +, 58.5% elo% vs. guard_bot, avg. reward: -0.439, 6.117 sec/game, 1.5 min. total, 461.4 MB
transpire_herself v15 816 games, 1149523 moves, e=0.010, loss: 2.2, +, 60.4% elo% vs. guard_bot, avg. reward: -0.439, 6.199 sec/game, 1.7 min. total, 460.9 MB
transpire_herself v15 817 games, 1153449 moves, e=0.010, loss: 2.1, +, 62.1% elo% vs. guard_bot, avg. reward: -0.440, 6.270 sec/game, 1.8 min. total, 461.1 MB
transpire_herself v15 818 games, 1157167 moves, e=0.010, loss: 2.6, +, 63.7% elo% vs. guard_bot, avg. reward: -0.447, 6.305 sec/game, 1.9 min. total, 465.0 MB
transpire_herself v15 819 games, 1160616 moves, e=0.010, loss: 3.2, +, 65.2% elo% vs. guard_bot, avg. reward: -0.448, 6.311 sec/game, 2.0 min. total, 467.2 MB
transpire_herself v15 820 games, 1164430 moves, e=0.010, loss: 2.8, +, 66.7% elo% vs. guard_bot, avg. reward: -0.444, 6.349 sec/game, 2.1 min. total, 467.8 MB
transpire_herself v15 821 games, 1168625 moves, e=0.010, loss: 1.9, +, 68.0% elo% vs. guard_bot, avg. reward: -0.440, 6.649 sec/game, 2.2 min. total, 466.7 MB
transpire_herself v15 822 games, 1172698 moves, e=0.010, loss: 1.6, +, 69.3% elo% vs. guard_bot, avg. reward: -0.432, 6.958 sec/game, 2.4 min. total, 465.8 MB
transpire_herself v15 823 games, 1176721 moves, e=0.010, loss: 1.3, +, 70.5% elo% vs. guard_bot, avg. reward: -0.428, 7.178 sec/game, 2.5 min. total, 465.9 MB
transpire_herself v16 824 games, 1180476 moves, e=0.010, loss: 1.7, +, 54.5% elo% vs. random_no_suicide, avg. reward: -0.424, 7.175 sec/game, 2.6 min. total, 470.8 MB
transpire_herself v16 825 games, 1184117 moves, e=0.010, loss: 1.8, +, 56.6% elo% vs. random_no_suicide, avg. reward: -0.424, 7.178 sec/game, 2.7 min. total, 473.3 MB
transpire_herself v16 826 games, 1187747 moves, e=0.010, loss: 1.5, +, 58.5% elo% vs. random_no_suicide, avg. reward: -0.425, 7.132 sec/game, 2.8 min. total, 475.0 MB
transpire_herself v16 827 games, 1191225 moves, e=0.010, loss: 1.3, +, 60.4% elo% vs. random_no_suicide, avg. reward: -0.428, 7.097 sec/game, 3.0 min. total, 474.4 MB
transpire_herself v16 828 games, 1195173 moves, e=0.010, loss: 1.5, +, 62.1% elo% vs. random_no_suicide, avg. reward: -0.425, 7.136 sec/game, 3.1 min. total, 475.1 MB
transpire_herself v16 829 games, 1198660 moves, e=0.010, loss: 1.4, +, 63.7% elo% vs. random_no_suicide, avg. reward: -0.420, 7.094 sec/game, 3.2 min. total, 476.9 MB
transpire_herself v16 830 games, 1202204 moves, e=0.010, loss: 1.4, +, 65.2% elo% vs. random_no_suicide, avg. reward: -0.425, 7.078 sec/game, 3.3 min. total, 477.1 MB
transpire_herself v16 831 games, 1205363 moves, e=0.010, loss: 1.9, +, 66.7% elo% vs. random_no_suicide, avg. reward: -0.434, 7.015 sec/game, 3.4 min. total, 476.6 MB
transpire_herself v16 832 games, 1208437 moves, e=0.010, loss: 2.1, +, 68.0% elo% vs. random_no_suicide, avg. reward: -0.441, 6.990 sec/game, 3.5 min. total, 476.8 MB
transpire_herself v16 833 games, 1211788 moves, e=0.010, loss: 2.2, +, 69.3% elo% vs. random_no_suicide, avg. reward: -0.443, 6.998 sec/game, 3.6 min. total, 475.2 MB
transpire_herself v16 834 games, 1215522 moves, e=0.010, loss: 2.3, +, 70.5% elo% vs. random_no_suicide, avg. reward: -0.444, 6.977 sec/game, 3.7 min. total, 477.2 MB
transpire_herself v17 835 games, 1218941 moves, e=0.010, loss: 2.3, -, 49.9% elo% vs. simple_bot, avg. reward: -0.449, 6.917 sec/game, 3.8 min. total, 478.9 MB
transpire_herself v17 836 games, 1222715 moves, e=0.010, loss: 1.9, -, 47.6% elo% vs. simple_bot, avg. reward: -0.447, 6.920 sec/game, 4.0 min. total, 480.3 MB
transpire_herself v17 837 games, 1226670 moves, e=0.010, loss: 1.9, -, 45.4% elo% vs. simple_bot, avg. reward: -0.443, 6.918 sec/game, 4.1 min. total, 479.3 MB
transpire_herself v17 838 games, 1230335 moves, e=0.010, loss: 1.5, -, 43.4% elo% vs. simple_bot, avg. reward: -0.439, 6.913 sec/game, 4.2 min. total, 480.0 MB
transpire_herself v17 839 games, 1234177 moves, e=0.010, loss: 1.8, -, 41.4% elo% vs. simple_bot, avg. reward: -0.438, 6.969 sec/game, 4.3 min. total, 480.8 MB
transpire_herself v17 840 games, 1238313 moves, e=0.010, loss: 1.7, -, 39.6% elo% vs. simple_bot, avg. reward: -0.435, 7.008 sec/game, 4.5 min. total, 480.0 MB
transpire_herself v17 841 games, 1241718 moves, e=0.010, loss: 1.8, -, 37.8% elo% vs. simple_bot, avg. reward: -0.436, 6.945 sec/game, 4.6 min. total, 481.1 MB
transpire_herself v17 842 games, 1244804 moves, e=0.010, loss: 1.7, -, 36.2% elo% vs. simple_bot, avg. reward: -0.441, 6.860 sec/game, 4.7 min. total, 482.1 MB
transpire_herself v17 843 games, 1248692 moves, e=0.010, loss: 1.9, -, 34.7% elo% vs. simple_bot, avg. reward: -0.440, 6.834 sec/game, 4.8 min. total, 483.7 MB
transpire_herself v17 844 games, 1252145 moves, e=0.010, loss: 1.9, -, 33.3% elo% vs. simple_bot, avg. reward: -0.440, 6.815 sec/game, 4.9 min. total, 484.7 MB
transpire_herself v17 845 games, 1255727 moves, e=0.010, loss: 1.8, -, 31.9% elo% vs. simple_bot, avg. reward: -0.436, 6.798 sec/game, 5.0 min. total, 487.4 MB
transpire_herself v17 846 games, 1259248 moves, e=0.010, loss: 1.8, -, 30.6% elo% vs. simple_bot, avg. reward: -0.434, 6.778 sec/game, 5.1 min. total, 488.3 MB
transpire_herself v17 847 games, 1262972 moves, e=0.010, loss: 2.1, -, 29.5% elo% vs. simple_bot, avg. reward: -0.432, 6.799 sec/game, 5.2 min. total, 487.8 MB
transpire_herself v17 848 games, 1266475 moves, e=0.010, loss: 1.9, -, 28.3% elo% vs. simple_bot, avg. reward: -0.433, 6.770 sec/game, 5.3 min. total, 489.7 MB
transpire_herself v17 849 games, 1269712 moves, e=0.010, loss: 1.9, -, 27.3% elo% vs. simple_bot, avg. reward: -0.437, 6.751 sec/game, 5.4 min. total, 489.4 MB
transpire_herself v17 850 games, 1273005 moves, e=0.010, loss: 1.7, ., 28.1% elo% vs. simple_bot, avg. reward: -0.438, 6.734 sec/game, 5.6 min. total, 488.8 MB
transpire_herself v17 851 games, 1276498 moves, e=0.010, loss: 1.5, -, 27.1% elo% vs. simple_bot, avg. reward: -0.438, 6.772 sec/game, 5.7 min. total, 487.2 MB
transpire_herself v17 852 games, 1280035 moves, e=0.010, loss: 1.6, -, 26.1% elo% vs. simple_bot, avg. reward: -0.436, 6.818 sec/game, 5.8 min. total, 489.1 MB
transpire_herself v17 853 games, 1283032 moves, e=0.010, loss: 1.5, -, 25.2% elo% vs. simple_bot, avg. reward: -0.436, 6.771 sec/game, 5.9 min. total, 487.3 MB
transpire_herself v17 854 games, 1286152 moves, e=0.010, loss: 1.7, -, 24.3% elo% vs. simple_bot, avg. reward: -0.436, 6.733 sec/game, 6.0 min. total, 489.2 MB
transpire_herself v17 855 games, 1289268 moves, e=0.010, loss: 1.8, -, 23.5% elo% vs. simple_bot, avg. reward: -0.435, 6.716 sec/game, 6.1 min. total, 488.2 MB
transpire_herself v17 856 games, 1292340 moves, e=0.010, loss: 1.8, -, 22.8% elo% vs. simple_bot, avg. reward: -0.436, 6.642 sec/game, 6.2 min. total, 491.2 MB
transpire_herself v17 857 games, 1295452 moves, e=0.010, loss: 1.9, -, 22.0% elo% vs. simple_bot, avg. reward: -0.436, 6.573 sec/game, 6.3 min. total, 492.4 MB
transpire_herself v17 858 games, 1298514 moves, e=0.010, loss: 1.6, -, 21.3% elo% vs. simple_bot, avg. reward: -0.437, 6.526 sec/game, 6.4 min. total, 493.1 MB
transpire_herself v17 859 games, 1301578 moves, e=0.010, loss: 1.6, -, 20.7% elo% vs. simple_bot, avg. reward: -0.436, 6.443 sec/game, 6.5 min. total, 495.2 MB
transpire_herself v17 860 games, 1304772 moves, e=0.010, loss: 1.7, -, 20.1% elo% vs. simple_bot, avg. reward: -0.434, 6.360 sec/game, 6.6 min. total, 494.8 MB
transpire_herself v17 861 games, 1308143 moves, e=0.010, loss: 1.6, +, 22.5% elo% vs. simple_bot, avg. reward: -0.432, 6.361 sec/game, 6.7 min. total, 493.8 MB
transpire_herself v17 862 games, 1311782 moves, e=0.010, loss: 1.5, +, 25.1% elo% vs. simple_bot, avg. reward: -0.431, 6.413 sec/game, 6.8 min. total, 494.5 MB
transpire_herself v17 863 games, 1315100 moves, e=0.010, loss: 1.6, -, 24.3% elo% vs. simple_bot, avg. reward: -0.433, 6.373 sec/game, 6.9 min. total, 497.5 MB
transpire_herself v17 864 games, 1318693 moves, e=0.010, loss: 1.6, -, 23.4% elo% vs. simple_bot, avg. reward: -0.433, 6.383 sec/game, 7.0 min. total, 499.3 MB
transpire_herself v17 865 games, 1322335 moves, e=0.010, loss: 1.7, -, 22.7% elo% vs. simple_bot, avg. reward: -0.434, 6.398 sec/game, 7.1 min. total, 500.4 MB
transpire_herself v17 866 games, 1325896 moves, e=0.010, loss: 2.0, -, 22.0% elo% vs. simple_bot, avg. reward: -0.436, 6.413 sec/game, 7.2 min. total, 498.7 MB
transpire_herself v17 867 games, 1329205 moves, e=0.010, loss: 2.0, -, 21.3% elo% vs. simple_bot, avg. reward: -0.438, 6.386 sec/game, 7.4 min. total, 499.2 MB
transpire_herself v17 868 games, 1332452 moves, e=0.010, loss: 2.0, -, 20.6% elo% vs. simple_bot, avg. reward: -0.438, 6.346 sec/game, 7.5 min. total, 500.3 MB
