nutcase_devalue v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
nutcase_devalue v11 657 games, 463563 moves, e=0.954, loss: 2.2, -, 16.7% elo% vs. random_no_suicide, avg. reward: -8.646, 1.351 sec/game, 5.4 min. total, 515.7 MB
nutcase_devalue v11 658 games, 464135 moves, e=0.954, loss: 2.0, -, 16.3% elo% vs. random_no_suicide, avg. reward: -8.659, 1.349 sec/game, 5.4 min. total, 520.1 MB
nutcase_devalue v11 659 games, 464801 moves, e=0.954, loss: 1.8, -, 15.9% elo% vs. random_no_suicide, avg. reward: -8.660, 1.337 sec/game, 5.5 min. total, 515.8 MB
nutcase_devalue v11 660 games, 465407 moves, e=0.954, loss: 1.9, -, 15.5% elo% vs. random_no_suicide, avg. reward: -8.693, 1.316 sec/game, 5.5 min. total, 515.3 MB
nutcase_devalue v11 661 games, 466113 moves, e=0.954, loss: 2.0, -, 15.1% elo% vs. random_no_suicide, avg. reward: -8.687, 1.326 sec/game, 5.5 min. total, 515.4 MB
nutcase_devalue v11 662 games, 466860 moves, e=0.954, loss: 2.2, -, 14.8% elo% vs. random_no_suicide, avg. reward: -8.680, 1.337 sec/game, 5.5 min. total, 515.5 MB
nutcase_devalue v11 663 games, 467562 moves, e=0.954, loss: 2.0, -, 14.4% elo% vs. random_no_suicide, avg. reward: -8.680, 1.340 sec/game, 5.5 min. total, 516.3 MB
nutcase_devalue v11 664 games, 468323 moves, e=0.954, loss: 1.8, -, 14.1% elo% vs. random_no_suicide, avg. reward: -8.672, 1.341 sec/game, 5.6 min. total, 517.6 MB
nutcase_devalue v11 665 games, 469004 moves, e=0.954, loss: 1.9, -, 13.8% elo% vs. random_no_suicide, avg. reward: -8.663, 1.340 sec/game, 5.6 min. total, 517.3 MB
nutcase_devalue v11 666 games, 469761 moves, e=0.953, loss: 2.1, -, 13.5% elo% vs. random_no_suicide, avg. reward: -8.667, 1.341 sec/game, 5.6 min. total, 517.5 MB
nutcase_devalue v11 667 games, 470417 moves, e=0.953, loss: 2.1, -, 13.2% elo% vs. random_no_suicide, avg. reward: -8.668, 1.347 sec/game, 5.6 min. total, 517.3 MB
nutcase_devalue v11 668 games, 471015 moves, e=0.953, loss: 2.3, -, 12.9% elo% vs. random_no_suicide, avg. reward: -8.681, 1.318 sec/game, 5.6 min. total, 517.8 MB
nutcase_devalue v11 669 games, 471797 moves, e=0.953, loss: 2.3, -, 12.7% elo% vs. random_no_suicide, avg. reward: -8.680, 1.326 sec/game, 5.7 min. total, 517.4 MB
nutcase_devalue v11 670 games, 472459 moves, e=0.953, loss: 2.4, -, 12.4% elo% vs. random_no_suicide, avg. reward: -8.703, 1.336 sec/game, 5.7 min. total, 521.9 MB
nutcase_devalue v11 671 games, 473128 moves, e=0.953, loss: 2.2, -, 12.2% elo% vs. random_no_suicide, avg. reward: -8.692, 1.328 sec/game, 5.7 min. total, 518.0 MB
nutcase_devalue v11 672 games, 473772 moves, e=0.953, loss: 2.3, -, 11.9% elo% vs. random_no_suicide, avg. reward: -8.697, 1.316 sec/game, 5.7 min. total, 518.8 MB
nutcase_devalue v11 673 games, 474502 moves, e=0.953, loss: 2.2, -, 11.7% elo% vs. random_no_suicide, avg. reward: -8.690, 1.320 sec/game, 5.8 min. total, 520.8 MB
nutcase_devalue v11 674 games, 475173 moves, e=0.953, loss: 2.3, -, 11.5% elo% vs. random_no_suicide, avg. reward: -8.698, 1.309 sec/game, 5.8 min. total, 518.7 MB
nutcase_devalue v11 675 games, 475981 moves, e=0.953, loss: 2.1, -, 11.3% elo% vs. random_no_suicide, avg. reward: -8.683, 1.311 sec/game, 5.8 min. total, 518.8 MB
nutcase_devalue v11 676 games, 476661 moves, e=0.953, loss: 2.4, +, 13.0% elo% vs. random_no_suicide, avg. reward: -8.692, 1.301 sec/game, 5.8 min. total, 518.8 MB
nutcase_devalue v11 677 games, 477438 moves, e=0.953, loss: 2.5, -, 12.7% elo% vs. random_no_suicide, avg. reward: -8.678, 1.301 sec/game, 5.8 min. total, 518.6 MB
nutcase_devalue v11 678 games, 478179 moves, e=0.953, loss: 2.3, -, 12.5% elo% vs. random_no_suicide, avg. reward: -8.681, 1.316 sec/game, 5.9 min. total, 518.8 MB
nutcase_devalue v11 679 games, 478862 moves, e=0.953, loss: 2.1, -, 12.2% elo% vs. random_no_suicide, avg. reward: -8.690, 1.325 sec/game, 5.9 min. total, 519.1 MB
nutcase_devalue v11 680 games, 479553 moves, e=0.953, loss: 1.9, -, 12.0% elo% vs. random_no_suicide, avg. reward: -8.692, 1.337 sec/game, 5.9 min. total, 519.5 MB
nutcase_devalue v11 681 games, 480220 moves, e=0.952, loss: 2.0, +, 13.8% elo% vs. random_no_suicide, avg. reward: -8.696, 1.328 sec/game, 5.9 min. total, 520.8 MB
nutcase_devalue v11 682 games, 480911 moves, e=0.952, loss: 2.1, -, 13.5% elo% vs. random_no_suicide, avg. reward: -8.698, 1.330 sec/game, 6.0 min. total, 521.0 MB
nutcase_devalue v11 683 games, 481659 moves, e=0.952, loss: 2.2, +, 15.5% elo% vs. random_no_suicide, avg. reward: -8.690, 1.332 sec/game, 6.0 min. total, 519.8 MB
nutcase_devalue v11 684 games, 482334 moves, e=0.952, loss: 2.5, +, 17.6% elo% vs. random_no_suicide, avg. reward: -8.698, 1.329 sec/game, 6.0 min. total, 521.1 MB
nutcase_devalue v11 685 games, 483015 moves, e=0.952, loss: 2.7, +, 19.9% elo% vs. random_no_suicide, avg. reward: -8.715, 1.319 sec/game, 6.0 min. total, 521.2 MB
nutcase_devalue v11 686 games, 483701 moves, e=0.952, loss: 2.5, +, 22.4% elo% vs. random_no_suicide, avg. reward: -8.732, 1.308 sec/game, 6.0 min. total, 521.4 MB
nutcase_devalue v11 687 games, 484392 moves, e=0.952, loss: 2.6, +, 25.0% elo% vs. random_no_suicide, avg. reward: -8.743, 1.312 sec/game, 6.1 min. total, 522.6 MB
nutcase_devalue v11 688 games, 485082 moves, e=0.952, loss: 2.4, +, 27.6% elo% vs. random_no_suicide, avg. reward: -8.741, 1.324 sec/game, 6.1 min. total, 524.2 MB
nutcase_devalue v11 689 games, 485806 moves, e=0.952, loss: 2.5, +, 30.4% elo% vs. random_no_suicide, avg. reward: -8.744, 1.324 sec/game, 6.1 min. total, 524.2 MB
nutcase_devalue v11 690 games, 486330 moves, e=0.952, loss: 2.5, +, 33.2% elo% vs. random_no_suicide, avg. reward: -8.769, 1.304 sec/game, 6.1 min. total, 524.2 MB
nutcase_devalue v11 691 games, 487080 moves, e=0.952, loss: 2.7, +, 36.0% elo% vs. random_no_suicide, avg. reward: -8.753, 1.315 sec/game, 6.1 min. total, 524.3 MB
nutcase_devalue v11 692 games, 487810 moves, e=0.952, loss: 2.5, +, 38.7% elo% vs. random_no_suicide, avg. reward: -8.761, 1.328 sec/game, 6.2 min. total, 524.2 MB
nutcase_devalue v11 693 games, 488533 moves, e=0.952, loss: 2.6, +, 41.4% elo% vs. random_no_suicide, avg. reward: -8.741, 1.318 sec/game, 6.2 min. total, 524.5 MB
nutcase_devalue v11 694 games, 489208 moves, e=0.952, loss: 2.5, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.746, 1.318 sec/game, 6.2 min. total, 523.1 MB
nutcase_devalue v11 695 games, 489893 moves, e=0.952, loss: 2.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: -8.751, 1.317 sec/game, 6.2 min. total, 523.4 MB
nutcase_devalue v11 696 games, 490497 moves, e=0.951, loss: 2.6, -, 36.2% elo% vs. random_no_suicide, avg. reward: -8.760, 1.316 sec/game, 6.3 min. total, 525.5 MB
nutcase_devalue v11 697 games, 491159 moves, e=0.951, loss: 2.2, -, 34.7% elo% vs. random_no_suicide, avg. reward: -8.771, 1.304 sec/game, 6.3 min. total, 525.2 MB
nutcase_devalue v11 698 games, 491826 moves, e=0.951, loss: 2.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.786, 1.291 sec/game, 6.3 min. total, 525.0 MB
nutcase_devalue v11 699 games, 492501 moves, e=0.951, loss: 2.4, -, 31.9% elo% vs. random_no_suicide, avg. reward: -8.788, 1.282 sec/game, 6.3 min. total, 525.4 MB
nutcase_devalue v11 700 games, 493265 moves, e=0.951, loss: 2.6, -, 30.7% elo% vs. random_no_suicide, avg. reward: -8.778, 1.293 sec/game, 6.3 min. total, 525.3 MB
nutcase_devalue v12 701 games, 493990 moves, e=0.951, loss: 2.4, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.774, 1.302 sec/game, 6.4 min. total, 525.2 MB
nutcase_devalue v12 702 games, 494653 moves, e=0.951, loss: 2.3, -, 45.5% elo% vs. random_no_suicide, avg. reward: -8.773, 1.292 sec/game, 6.4 min. total, 525.4 MB
nutcase_devalue v12 703 games, 495405 moves, e=0.951, loss: 2.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.784, 1.300 sec/game, 6.4 min. total, 525.2 MB
nutcase_devalue v12 704 games, 496131 moves, e=0.951, loss: 2.1, -, 41.5% elo% vs. random_no_suicide, avg. reward: -8.778, 1.300 sec/game, 6.4 min. total, 526.0 MB
nutcase_devalue v12 705 games, 496811 moves, e=0.951, loss: 2.2, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.785, 1.301 sec/game, 6.5 min. total, 525.6 MB
nutcase_devalue v12 706 games, 497521 moves, e=0.951, loss: 2.0, -, 37.9% elo% vs. random_no_suicide, avg. reward: -8.782, 1.303 sec/game, 6.5 min. total, 526.1 MB
nutcase_devalue v12 707 games, 498189 moves, e=0.951, loss: 1.7, ., 38.4% elo% vs. random_no_suicide, avg. reward: -8.795, 1.301 sec/game, 6.5 min. total, 525.6 MB
nutcase_devalue v12 708 games, 498841 moves, e=0.951, loss: 1.7, -, 36.8% elo% vs. random_no_suicide, avg. reward: -8.813, 1.303 sec/game, 6.5 min. total, 525.6 MB
nutcase_devalue v12 709 games, 499526 moves, e=0.951, loss: 1.5, -, 35.2% elo% vs. random_no_suicide, avg. reward: -8.814, 1.296 sec/game, 6.5 min. total, 525.9 MB
nutcase_devalue v12 710 games, 500303 moves, e=0.950, loss: 1.5, -, 33.8% elo% vs. random_no_suicide, avg. reward: -8.818, 1.324 sec/game, 6.6 min. total, 526.1 MB
nutcase_devalue v12 711 games, 501053 moves, e=0.950, loss: 1.5, +, 36.5% elo% vs. random_no_suicide, avg. reward: -8.819, 1.325 sec/game, 6.6 min. total, 526.1 MB
nutcase_devalue v12 712 games, 501706 moves, e=0.950, loss: 1.6, -, 35.0% elo% vs. random_no_suicide, avg. reward: -8.828, 1.312 sec/game, 6.6 min. total, 526.2 MB
nutcase_devalue v12 713 games, 502413 moves, e=0.950, loss: 1.7, +, 37.8% elo% vs. random_no_suicide, avg. reward: -8.820, 1.317 sec/game, 6.6 min. total, 527.5 MB
nutcase_devalue v12 714 games, 503094 moves, e=0.950, loss: 1.8, +, 40.5% elo% vs. random_no_suicide, avg. reward: -8.821, 1.317 sec/game, 6.7 min. total, 526.2 MB
nutcase_devalue v12 715 games, 503689 moves, e=0.950, loss: 2.1, +, 43.2% elo% vs. random_no_suicide, avg. reward: -8.848, 1.304 sec/game, 6.7 min. total, 526.2 MB
nutcase_devalue v12 716 games, 504223 moves, e=0.950, loss: 1.9, +, 45.7% elo% vs. random_no_suicide, avg. reward: -8.879, 1.294 sec/game, 6.7 min. total, 527.5 MB
nutcase_devalue v12 717 games, 505007 moves, e=0.950, loss: 2.1, -, 43.7% elo% vs. random_no_suicide, avg. reward: -8.888, 1.307 sec/game, 6.7 min. total, 526.1 MB
nutcase_devalue v12 718 games, 505817 moves, e=0.950, loss: 2.1, -, 41.7% elo% vs. random_no_suicide, avg. reward: -8.861, 1.320 sec/game, 6.7 min. total, 526.0 MB
nutcase_devalue v12 719 games, 506687 moves, e=0.950, loss: 2.3, +, 44.3% elo% vs. random_no_suicide, avg. reward: -8.851, 1.343 sec/game, 6.8 min. total, 527.7 MB
nutcase_devalue v12 720 games, 507439 moves, e=0.950, loss: 2.3, -, 42.3% elo% vs. random_no_suicide, avg. reward: -8.856, 1.341 sec/game, 6.8 min. total, 527.5 MB
nutcase_devalue v12 721 games, 508184 moves, e=0.950, loss: 2.5, -, 40.4% elo% vs. random_no_suicide, avg. reward: -8.834, 1.341 sec/game, 6.8 min. total, 529.4 MB
nutcase_devalue v12 722 games, 508929 moves, e=0.950, loss: 2.4, -, 38.6% elo% vs. random_no_suicide, avg. reward: -8.816, 1.351 sec/game, 6.8 min. total, 527.4 MB
nutcase_devalue v12 723 games, 509659 moves, e=0.950, loss: 2.3, -, 37.0% elo% vs. random_no_suicide, avg. reward: -8.821, 1.349 sec/game, 6.9 min. total, 527.3 MB
nutcase_devalue v12 724 games, 510351 moves, e=0.949, loss: 2.2, -, 35.4% elo% vs. random_no_suicide, avg. reward: -8.828, 1.351 sec/game, 6.9 min. total, 527.2 MB
nutcase_devalue v12 725 games, 511125 moves, e=0.949, loss: 2.5, -, 33.9% elo% vs. random_no_suicide, avg. reward: -8.822, 1.362 sec/game, 6.9 min. total, 527.1 MB
nutcase_devalue v12 726 games, 511947 moves, e=0.949, loss: 2.7, -, 32.5% elo% vs. random_no_suicide, avg. reward: -8.808, 1.373 sec/game, 6.9 min. total, 532.1 MB
nutcase_devalue v12 727 games, 512727 moves, e=0.949, loss: 2.5, -, 31.2% elo% vs. random_no_suicide, avg. reward: -8.796, 1.377 sec/game, 7.0 min. total, 527.5 MB
nutcase_devalue v12 728 games, 513429 moves, e=0.949, loss: 2.4, -, 30.0% elo% vs. random_no_suicide, avg. reward: -8.811, 1.384 sec/game, 7.0 min. total, 528.3 MB
nutcase_devalue v12 729 games, 514213 moves, e=0.949, loss: 2.7, -, 28.9% elo% vs. random_no_suicide, avg. reward: -8.817, 1.398 sec/game, 7.0 min. total, 528.2 MB
nutcase_devalue v12 730 games, 514785 moves, e=0.949, loss: 2.5, -, 27.8% elo% vs. random_no_suicide, avg. reward: -8.839, 1.373 sec/game, 7.0 min. total, 528.4 MB
nutcase_devalue v12 731 games, 515432 moves, e=0.949, loss: 2.4, -, 26.8% elo% vs. random_no_suicide, avg. reward: -8.860, 1.358 sec/game, 7.0 min. total, 528.4 MB
nutcase_devalue v12 732 games, 516130 moves, e=0.949, loss: 2.4, -, 25.8% elo% vs. random_no_suicide, avg. reward: -8.864, 1.368 sec/game, 7.1 min. total, 528.3 MB
nutcase_devalue v12 733 games, 516864 moves, e=0.949, loss: 2.4, -, 24.9% elo% vs. random_no_suicide, avg. reward: -8.849, 1.370 sec/game, 7.1 min. total, 533.3 MB
nutcase_devalue v12 734 games, 517716 moves, e=0.949, loss: 2.6, -, 24.1% elo% vs. random_no_suicide, avg. reward: -8.828, 1.384 sec/game, 7.1 min. total, 528.6 MB
nutcase_devalue v12 735 games, 518520 moves, e=0.949, loss: 2.4, -, 23.3% elo% vs. random_no_suicide, avg. reward: -8.805, 1.398 sec/game, 7.1 min. total, 528.9 MB
nutcase_devalue v12 736 games, 519218 moves, e=0.949, loss: 2.5, -, 22.5% elo% vs. random_no_suicide, avg. reward: -8.811, 1.419 sec/game, 7.2 min. total, 529.9 MB
nutcase_devalue v12 737 games, 519966 moves, e=0.949, loss: 2.5, -, 21.8% elo% vs. random_no_suicide, avg. reward: -8.816, 1.418 sec/game, 7.2 min. total, 529.7 MB
nutcase_devalue v12 738 games, 520680 moves, e=0.948, loss: 2.6, -, 21.1% elo% vs. random_no_suicide, avg. reward: -8.816, 1.407 sec/game, 7.2 min. total, 529.7 MB
nutcase_devalue v12 739 games, 521485 moves, e=0.948, loss: 2.8, -, 20.5% elo% vs. random_no_suicide, avg. reward: -8.816, 1.406 sec/game, 7.2 min. total, 529.9 MB
nutcase_devalue v12 740 games, 522194 moves, e=0.948, loss: 2.7, -, 19.9% elo% vs. random_no_suicide, avg. reward: -8.816, 1.396 sec/game, 7.3 min. total, 529.5 MB
nutcase_devalue v12 741 games, 522849 moves, e=0.948, loss: 2.7, ., 20.8% elo% vs. random_no_suicide, avg. reward: -8.813, 1.387 sec/game, 7.3 min. total, 529.8 MB
nutcase_devalue v12 742 games, 523616 moves, e=0.948, loss: 2.5, +, 23.3% elo% vs. random_no_suicide, avg. reward: -8.787, 1.388 sec/game, 7.3 min. total, 530.5 MB
nutcase_devalue v12 743 games, 524349 moves, e=0.948, loss: 2.4, -, 22.5% elo% vs. random_no_suicide, avg. reward: -8.779, 1.391 sec/game, 7.3 min. total, 530.5 MB
nutcase_devalue v12 744 games, 525084 moves, e=0.948, loss: 2.1, +, 25.1% elo% vs. random_no_suicide, avg. reward: -8.788, 1.391 sec/game, 7.3 min. total, 532.6 MB
nutcase_devalue v12 745 games, 525717 moves, e=0.948, loss: 2.0, +, 27.8% elo% vs. random_no_suicide, avg. reward: -8.799, 1.384 sec/game, 7.4 min. total, 531.2 MB
nutcase_devalue v12 746 games, 526530 moves, e=0.948, loss: 1.9, -, 26.8% elo% vs. random_no_suicide, avg. reward: -8.792, 1.384 sec/game, 7.4 min. total, 533.3 MB
nutcase_devalue v12 747 games, 527222 moves, e=0.948, loss: 1.7, -, 25.8% elo% vs. random_no_suicide, avg. reward: -8.793, 1.374 sec/game, 7.4 min. total, 531.4 MB
nutcase_devalue v12 748 games, 528019 moves, e=0.948, loss: 2.0, ., 26.7% elo% vs. random_no_suicide, avg. reward: -8.778, 1.388 sec/game, 7.4 min. total, 531.5 MB
nutcase_devalue v12 749 games, 528638 moves, e=0.948, loss: 2.1, +, 29.4% elo% vs. random_no_suicide, avg. reward: -8.788, 1.361 sec/game, 7.5 min. total, 532.9 MB
nutcase_devalue v12 750 games, 529421 moves, e=0.948, loss: 1.9, -, 28.3% elo% vs. random_no_suicide, avg. reward: -8.762, 1.392 sec/game, 7.5 min. total, 531.5 MB
nutcase_devalue v12 751 games, 530082 moves, e=0.948, loss: 2.0, -, 27.2% elo% vs. random_no_suicide, avg. reward: -8.767, 1.398 sec/game, 7.5 min. total, 531.5 MB
nutcase_devalue v12 752 games, 530757 moves, e=0.947, loss: 1.8, -, 26.3% elo% vs. random_no_suicide, avg. reward: -8.779, 1.389 sec/game, 7.5 min. total, 532.0 MB
nutcase_devalue v12 753 games, 531427 moves, e=0.947, loss: 1.8, +, 29.0% elo% vs. random_no_suicide, avg. reward: -8.794, 1.378 sec/game, 7.6 min. total, 532.3 MB
nutcase_devalue v12 754 games, 532092 moves, e=0.947, loss: 1.7, +, 31.7% elo% vs. random_no_suicide, avg. reward: -8.817, 1.364 sec/game, 7.6 min. total, 533.7 MB
nutcase_devalue v12 755 games, 532828 moves, e=0.947, loss: 1.8, +, 34.5% elo% vs. random_no_suicide, avg. reward: -8.819, 1.363 sec/game, 7.6 min. total, 532.4 MB
nutcase_devalue v12 756 games, 533598 moves, e=0.947, loss: 2.1, -, 33.1% elo% vs. random_no_suicide, avg. reward: -8.815, 1.364 sec/game, 7.6 min. total, 532.0 MB
nutcase_devalue v12 757 games, 534358 moves, e=0.947, loss: 1.9, +, 35.9% elo% vs. random_no_suicide, avg. reward: -8.819, 1.362 sec/game, 7.6 min. total, 532.5 MB
nutcase_devalue v12 758 games, 535036 moves, e=0.947, loss: 1.9, -, 34.4% elo% vs. random_no_suicide, avg. reward: -8.802, 1.362 sec/game, 7.7 min. total, 532.8 MB
nutcase_devalue v12 759 games, 535735 moves, e=0.947, loss: 2.1, -, 33.0% elo% vs. random_no_suicide, avg. reward: -8.794, 1.350 sec/game, 7.7 min. total, 532.6 MB
nutcase_devalue v12 760 games, 536402 moves, e=0.947, loss: 2.2, -, 31.6% elo% vs. random_no_suicide, avg. reward: -8.781, 1.350 sec/game, 7.7 min. total, 533.8 MB
nutcase_devalue v12 761 games, 537159 moves, e=0.947, loss: 2.0, -, 30.4% elo% vs. random_no_suicide, avg. reward: -8.773, 1.360 sec/game, 7.7 min. total, 533.7 MB
nutcase_devalue v12 762 games, 537799 moves, e=0.947, loss: 1.9, ., 31.2% elo% vs. random_no_suicide, avg. reward: -8.789, 1.348 sec/game, 7.8 min. total, 533.8 MB
nutcase_devalue v12 763 games, 538478 moves, e=0.947, loss: 2.0, -, 29.9% elo% vs. random_no_suicide, avg. reward: -8.790, 1.337 sec/game, 7.8 min. total, 534.2 MB
nutcase_devalue v12 764 games, 539220 moves, e=0.947, loss: 1.8, -, 28.8% elo% vs. random_no_suicide, avg. reward: -8.789, 1.336 sec/game, 7.8 min. total, 534.1 MB
nutcase_devalue v12 765 games, 539855 moves, e=0.947, loss: 1.8, -, 27.7% elo% vs. random_no_suicide, avg. reward: -8.794, 1.331 sec/game, 7.8 min. total, 536.1 MB
nutcase_devalue v12 766 games, 540645 moves, e=0.946, loss: 1.8, -, 26.7% elo% vs. random_no_suicide, avg. reward: -8.792, 1.329 sec/game, 7.8 min. total, 533.9 MB
nutcase_devalue v12 767 games, 541413 moves, e=0.946, loss: 2.0, +, 29.4% elo% vs. random_no_suicide, avg. reward: -8.778, 1.339 sec/game, 7.9 min. total, 535.7 MB
nutcase_devalue v12 768 games, 542257 moves, e=0.946, loss: 2.0, -, 28.3% elo% vs. random_no_suicide, avg. reward: -8.744, 1.338 sec/game, 7.9 min. total, 537.1 MB
nutcase_devalue v12 769 games, 542919 moves, e=0.946, loss: 2.1, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.760, 1.348 sec/game, 7.9 min. total, 537.3 MB
nutcase_devalue v12 770 games, 543624 moves, e=0.946, loss: 2.3, +, 30.0% elo% vs. random_no_suicide, avg. reward: -8.751, 1.336 sec/game, 7.9 min. total, 537.5 MB
nutcase_devalue v12 771 games, 544297 moves, e=0.946, loss: 2.2, ., 30.8% elo% vs. random_no_suicide, avg. reward: -8.752, 1.330 sec/game, 8.0 min. total, 537.6 MB
nutcase_devalue v12 772 games, 544939 moves, e=0.946, loss: 2.0, +, 33.6% elo% vs. random_no_suicide, avg. reward: -8.752, 1.329 sec/game, 8.0 min. total, 539.0 MB
nutcase_devalue v12 773 games, 545772 moves, e=0.946, loss: 2.5, +, 36.4% elo% vs. random_no_suicide, avg. reward: -8.743, 1.341 sec/game, 8.0 min. total, 539.0 MB
nutcase_devalue v12 774 games, 546632 moves, e=0.946, loss: 2.1, -, 34.8% elo% vs. random_no_suicide, avg. reward: -8.722, 1.364 sec/game, 8.0 min. total, 537.4 MB
nutcase_devalue v12 775 games, 547369 moves, e=0.946, loss: 2.1, +, 37.6% elo% vs. random_no_suicide, avg. reward: -8.730, 1.365 sec/game, 8.0 min. total, 539.1 MB
nutcase_devalue v12 776 games, 548008 moves, e=0.946, loss: 2.1, +, 40.3% elo% vs. random_no_suicide, avg. reward: -8.734, 1.354 sec/game, 8.1 min. total, 540.0 MB
nutcase_devalue v12 777 games, 548782 moves, e=0.946, loss: 2.2, -, 38.5% elo% vs. random_no_suicide, avg. reward: -8.735, 1.355 sec/game, 8.1 min. total, 538.5 MB
nutcase_devalue v12 778 games, 549442 moves, e=0.946, loss: 2.9, +, 41.3% elo% vs. random_no_suicide, avg. reward: -8.748, 1.355 sec/game, 8.1 min. total, 539.9 MB
nutcase_devalue v12 779 games, 550232 moves, e=0.946, loss: 2.9, +, 43.9% elo% vs. random_no_suicide, avg. reward: -8.733, 1.357 sec/game, 8.1 min. total, 540.4 MB
nutcase_devalue v12 780 games, 550975 moves, e=0.945, loss: 2.8, -, 41.9% elo% vs. random_no_suicide, avg. reward: -8.727, 1.367 sec/game, 8.2 min. total, 539.0 MB
nutcase_devalue v12 781 games, 551679 moves, e=0.945, loss: 2.7, -, 40.1% elo% vs. random_no_suicide, avg. reward: -8.721, 1.357 sec/game, 8.2 min. total, 539.1 MB
nutcase_devalue v12 782 games, 552363 moves, e=0.945, loss: 2.7, -, 38.3% elo% vs. random_no_suicide, avg. reward: -8.722, 1.367 sec/game, 8.2 min. total, 539.3 MB
nutcase_devalue v12 783 games, 553123 moves, e=0.945, loss: 2.5, +, 41.0% elo% vs. random_no_suicide, avg. reward: -8.722, 1.379 sec/game, 8.2 min. total, 540.9 MB
nutcase_devalue v12 784 games, 553760 moves, e=0.945, loss: 2.7, +, 43.7% elo% vs. random_no_suicide, avg. reward: -8.724, 1.367 sec/game, 8.3 min. total, 541.1 MB
nutcase_devalue v12 785 games, 554385 moves, e=0.945, loss: 2.5, -, 41.7% elo% vs. random_no_suicide, avg. reward: -8.731, 1.367 sec/game, 8.3 min. total, 541.0 MB
nutcase_devalue v12 786 games, 555148 moves, e=0.945, loss: 2.5, -, 39.8% elo% vs. random_no_suicide, avg. reward: -8.718, 1.369 sec/game, 8.3 min. total, 540.1 MB
nutcase_devalue v12 787 games, 556026 moves, e=0.945, loss: 3.1, -, 38.1% elo% vs. random_no_suicide, avg. reward: -8.703, 1.371 sec/game, 8.3 min. total, 540.0 MB
nutcase_devalue v12 788 games, 556661 moves, e=0.945, loss: 3.0, -, 36.5% elo% vs. random_no_suicide, avg. reward: -8.711, 1.346 sec/game, 8.3 min. total, 539.7 MB
nutcase_devalue v12 789 games, 557492 moves, e=0.945, loss: 3.0, -, 34.9% elo% vs. random_no_suicide, avg. reward: -8.700, 1.367 sec/game, 8.4 min. total, 539.7 MB
nutcase_devalue v12 790 games, 558276 moves, e=0.945, loss: 2.6, -, 33.5% elo% vs. random_no_suicide, avg. reward: -8.659, 1.369 sec/game, 8.4 min. total, 539.9 MB
nutcase_devalue v12 791 games, 559038 moves, e=0.945, loss: 2.6, -, 32.1% elo% vs. random_no_suicide, avg. reward: -8.660, 1.381 sec/game, 8.4 min. total, 540.8 MB
nutcase_devalue v12 792 games, 559702 moves, e=0.945, loss: 2.3, -, 30.8% elo% vs. random_no_suicide, avg. reward: -8.668, 1.382 sec/game, 8.4 min. total, 540.5 MB
nutcase_devalue v12 793 games, 560392 moves, e=0.945, loss: 2.4, -, 29.6% elo% vs. random_no_suicide, avg. reward: -8.674, 1.378 sec/game, 8.5 min. total, 542.7 MB
nutcase_devalue v12 794 games, 561059 moves, e=0.944, loss: 2.4, +, 32.4% elo% vs. random_no_suicide, avg. reward: -8.674, 1.355 sec/game, 8.5 min. total, 540.9 MB
nutcase_devalue v12 795 games, 561834 moves, e=0.944, loss: 2.4, -, 31.1% elo% vs. random_no_suicide, avg. reward: -8.661, 1.356 sec/game, 8.5 min. total, 540.8 MB
nutcase_devalue v12 796 games, 562608 moves, e=0.944, loss: 2.2, -, 29.9% elo% vs. random_no_suicide, avg. reward: -8.638, 1.367 sec/game, 8.5 min. total, 541.2 MB
nutcase_devalue v12 797 games, 563327 moves, e=0.944, loss: 1.9, +, 32.7% elo% vs. random_no_suicide, avg. reward: -8.628, 1.357 sec/game, 8.5 min. total, 541.2 MB
nutcase_devalue v12 798 games, 563981 moves, e=0.944, loss: 1.7, +, 35.5% elo% vs. random_no_suicide, avg. reward: -8.627, 1.366 sec/game, 8.6 min. total, 541.4 MB
nutcase_devalue v12 799 games, 564726 moves, e=0.944, loss: 1.6, -, 34.0% elo% vs. random_no_suicide, avg. reward: -8.615, 1.357 sec/game, 8.6 min. total, 541.4 MB
nutcase_devalue v12 800 games, 565420 moves, e=0.944, loss: 2.1, -, 32.6% elo% vs. random_no_suicide, avg. reward: -8.628, 1.355 sec/game, 8.6 min. total, 542.0 MB
nutcase_devalue v13 801 games, 566215 moves, e=0.944, loss: 2.2, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.621, 1.366 sec/game, 8.6 min. total, 542.0 MB
nutcase_devalue v13 802 games, 566911 moves, e=0.944, loss: 2.3, +, 50.1% elo% vs. random_no_suicide, avg. reward: -8.615, 1.358 sec/game, 8.7 min. total, 543.5 MB
