nutcase_devalue v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
nutcase_devalue v2 35 games, 23819 moves, e=0.998, loss: 2.8, +, 68.2% elo% vs. guard_bot, avg. reward: -9.137, 1.232 sec/game, 0.5 min. total, 461.0 MB
nutcase_devalue v2 36 games, 24659 moves, e=0.998, loss: 2.9, +, 69.4% elo% vs. guard_bot, avg. reward: -9.079, 1.230 sec/game, 0.5 min. total, 464.3 MB
nutcase_devalue v2 37 games, 25383 moves, e=0.997, loss: 2.8, +, 70.6% elo% vs. guard_bot, avg. reward: -9.065, 1.240 sec/game, 0.5 min. total, 461.9 MB
nutcase_devalue v3 38 games, 26025 moves, e=0.997, loss: 2.7, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.070, 1.230 sec/game, 0.5 min. total, 463.8 MB
nutcase_devalue v3 39 games, 26741 moves, e=0.997, loss: 2.7, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.057, 1.216 sec/game, 0.5 min. total, 459.2 MB
nutcase_devalue v3 40 games, 27387 moves, e=0.997, loss: 2.5, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.077, 1.215 sec/game, 0.6 min. total, 460.8 MB
nutcase_devalue v3 41 games, 28079 moves, e=0.997, loss: 2.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.069, 1.213 sec/game, 0.6 min. total, 463.9 MB
nutcase_devalue v3 42 games, 28795 moves, e=0.997, loss: 2.9, -, 41.4% elo% vs. random_no_suicide, avg. reward: -9.062, 1.214 sec/game, 0.6 min. total, 467.1 MB
nutcase_devalue v3 43 games, 29424 moves, e=0.997, loss: 2.6, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.086, 1.213 sec/game, 0.6 min. total, 462.2 MB
nutcase_devalue v3 44 games, 30060 moves, e=0.997, loss: 2.4, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.108, 1.203 sec/game, 0.6 min. total, 464.7 MB
nutcase_devalue v3 45 games, 30693 moves, e=0.997, loss: 2.2, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.123, 1.203 sec/game, 0.7 min. total, 462.6 MB
nutcase_devalue v3 46 games, 31369 moves, e=0.997, loss: 2.4, -, 34.7% elo% vs. random_no_suicide, avg. reward: -9.123, 1.213 sec/game, 0.7 min. total, 467.3 MB
nutcase_devalue v3 47 games, 32079 moves, e=0.997, loss: 2.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.108, 1.215 sec/game, 0.7 min. total, 467.7 MB
nutcase_devalue v3 48 games, 32702 moves, e=0.997, loss: 2.3, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.129, 1.215 sec/game, 0.7 min. total, 463.8 MB
nutcase_devalue v3 49 games, 33443 moves, e=0.997, loss: 2.6, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.111, 1.214 sec/game, 0.7 min. total, 470.0 MB
nutcase_devalue v3 50 games, 34220 moves, e=0.997, loss: 2.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.086, 1.221 sec/game, 0.8 min. total, 465.4 MB
nutcase_devalue v3 51 games, 34940 moves, e=0.997, loss: 2.3, -, 28.3% elo% vs. random_no_suicide, avg. reward: -9.075, 1.221 sec/game, 0.8 min. total, 470.0 MB
