prepaid_shoptalk v1 34 games, 24033 moves, e=0.976, loss: 7.9, +, 68.9% elo% vs. random_bot, avg. reward: -9.981, 1.582 sec/game, 0.6 min. total, 392.6 MB
prepaid_shoptalk v1 35 games, 24772 moves, e=0.975, loss: 7.9, +, 70.1% elo% vs. random_bot, avg. reward: -9.966, 1.657 sec/game, 0.6 min. total, 394.8 MB
prepaid_shoptalk v2 36 games, 25530 moves, e=0.975, loss: 8.5, ., 52.2% elo% vs. guard_bot, avg. reward: -9.946, 1.629 sec/game, 0.6 min. total, 453.0 MB
prepaid_shoptalk v2 37 games, 26236 moves, e=0.974, loss: 7.7, +, 54.4% elo% vs. guard_bot, avg. reward: -9.943, 1.610 sec/game, 0.7 min. total, 453.3 MB
prepaid_shoptalk v2 38 games, 26933 moves, e=0.973, loss: 8.0, +, 56.5% elo% vs. guard_bot, avg. reward: -9.947, 1.606 sec/game, 0.7 min. total, 450.4 MB
prepaid_shoptalk v2 39 games, 27641 moves, e=0.973, loss: 7.6, +, 58.4% elo% vs. guard_bot, avg. reward: -9.947, 1.602 sec/game, 0.7 min. total, 451.4 MB
prepaid_shoptalk v2 40 games, 28332 moves, e=0.972, loss: 7.6, ., 58.0% elo% vs. guard_bot, avg. reward: -9.960, 1.594 sec/game, 0.7 min. total, 452.5 MB
prepaid_shoptalk v2 41 games, 29106 moves, e=0.971, loss: 7.6, +, 59.9% elo% vs. guard_bot, avg. reward: -9.935, 1.601 sec/game, 0.7 min. total, 452.8 MB
prepaid_shoptalk v2 42 games, 29844 moves, e=0.970, loss: 7.5, ., 59.5% elo% vs. guard_bot, avg. reward: -9.919, 1.574 sec/game, 0.8 min. total, 453.3 MB
prepaid_shoptalk v2 43 games, 30535 moves, e=0.970, loss: 7.7, ., 59.1% elo% vs. guard_bot, avg. reward: -9.923, 1.556 sec/game, 0.8 min. total, 453.8 MB
prepaid_shoptalk v2 44 games, 31309 moves, e=0.969, loss: 7.1, +, 60.9% elo% vs. guard_bot, avg. reward: -9.900, 1.571 sec/game, 0.8 min. total, 454.2 MB
prepaid_shoptalk v2 45 games, 31915 moves, e=0.968, loss: 7.0, +, 62.6% elo% vs. guard_bot, avg. reward: -9.941, 1.562 sec/game, 0.8 min. total, 456.7 MB
prepaid_shoptalk v2 46 games, 32700 moves, e=0.968, loss: 7.0, +, 64.2% elo% vs. guard_bot, avg. reward: -9.919, 1.548 sec/game, 0.9 min. total, 458.1 MB
prepaid_shoptalk v2 47 games, 33432 moves, e=0.967, loss: 6.7, ., 63.6% elo% vs. guard_bot, avg. reward: -9.910, 1.553 sec/game, 0.9 min. total, 459.8 MB
prepaid_shoptalk v2 48 games, 34037 moves, e=0.966, loss: 6.7, +, 65.1% elo% vs. guard_bot, avg. reward: -9.941, 1.517 sec/game, 0.9 min. total, 461.4 MB
prepaid_shoptalk v2 49 games, 34751 moves, e=0.966, loss: 7.2, +, 66.6% elo% vs. guard_bot, avg. reward: -9.941, 1.511 sec/game, 0.9 min. total, 461.2 MB
prepaid_shoptalk v2 50 games, 35420 moves, e=0.965, loss: 7.1, +, 67.9% elo% vs. guard_bot, avg. reward: -9.955, 1.485 sec/game, 1.0 min. total, 461.5 MB
prepaid_shoptalk v2 51 games, 36113 moves, e=0.964, loss: 7.2, +, 69.2% elo% vs. guard_bot, avg. reward: -9.950, 1.474 sec/game, 1.0 min. total, 463.1 MB
prepaid_shoptalk v2 52 games, 36801 moves, e=0.964, loss: 7.1, +, 70.4% elo% vs. guard_bot, avg. reward: -9.959, 1.457 sec/game, 1.0 min. total, 466.6 MB
prepaid_shoptalk v3 53 games, 37453 moves, e=0.963, loss: 7.4, +, 54.5% elo% vs. random_no_suicide, avg. reward: -9.975, 1.447 sec/game, 1.0 min. total, 464.3 MB
prepaid_shoptalk v3 54 games, 38212 moves, e=0.962, loss: 7.1, -, 52.0% elo% vs. random_no_suicide, avg. reward: -9.959, 1.446 sec/game, 1.1 min. total, 465.2 MB
prepaid_shoptalk v3 55 games, 39063 moves, e=0.961, loss: 7.0, -, 49.6% elo% vs. random_no_suicide, avg. reward: -9.926, 1.451 sec/game, 1.1 min. total, 466.8 MB
prepaid_shoptalk v3 56 games, 39855 moves, e=0.961, loss: 7.1, +, 51.9% elo% vs. random_no_suicide, avg. reward: -9.905, 1.452 sec/game, 1.1 min. total, 471.7 MB
prepaid_shoptalk v3 57 games, 40515 moves, e=0.960, loss: 6.8, ., 51.8% elo% vs. random_no_suicide, avg. reward: -9.922, 1.460 sec/game, 1.1 min. total, 471.4 MB
prepaid_shoptalk v3 58 games, 41347 moves, e=0.959, loss: 7.2, -, 49.4% elo% vs. random_no_suicide, avg. reward: -9.895, 1.469 sec/game, 1.2 min. total, 472.6 MB
prepaid_shoptalk v3 59 games, 42118 moves, e=0.958, loss: 7.2, -, 47.2% elo% vs. random_no_suicide, avg. reward: -9.881, 1.483 sec/game, 1.2 min. total, 473.1 MB
prepaid_shoptalk v3 60 games, 42915 moves, e=0.958, loss: 6.6, -, 45.0% elo% vs. random_no_suicide, avg. reward: -9.865, 1.485 sec/game, 1.2 min. total, 472.5 MB
prepaid_shoptalk v3 61 games, 43779 moves, e=0.957, loss: 7.1, -, 43.0% elo% vs. random_no_suicide, avg. reward: -9.829, 1.497 sec/game, 1.2 min. total, 473.1 MB
