nemeses_unhappy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.6 MB
nemeses_unhappy v7 463 games, 361754 moves, e=0.642, loss: 5.9, -, 8.8% elo% vs. random_no_suicide, avg. reward: -9.659, 2.542 sec/game, 16.9 min. total, 494.2 MB
nemeses_unhappy v7 464 games, 362669 moves, e=0.641, loss: 6.0, -, 8.6% elo% vs. random_no_suicide, avg. reward: -9.646, 2.541 sec/game, 16.9 min. total, 494.5 MB
nemeses_unhappy v7 465 games, 363522 moves, e=0.640, loss: 6.3, -, 8.5% elo% vs. random_no_suicide, avg. reward: -9.633, 2.561 sec/game, 17.0 min. total, 492.1 MB
nemeses_unhappy v7 466 games, 364490 moves, e=0.639, loss: 6.5, -, 8.4% elo% vs. random_no_suicide, avg. reward: -9.618, 2.568 sec/game, 17.0 min. total, 492.9 MB
nemeses_unhappy v7 467 games, 365321 moves, e=0.638, loss: 6.1, -, 8.3% elo% vs. random_no_suicide, avg. reward: -9.613, 2.591 sec/game, 17.1 min. total, 495.1 MB
nemeses_unhappy v7 468 games, 366239 moves, e=0.637, loss: 5.7, -, 8.1% elo% vs. random_no_suicide, avg. reward: -9.592, 2.619 sec/game, 17.1 min. total, 496.3 MB
nemeses_unhappy v7 469 games, 366991 moves, e=0.637, loss: 5.8, -, 8.0% elo% vs. random_no_suicide, avg. reward: -9.601, 2.619 sec/game, 17.1 min. total, 496.9 MB
nemeses_unhappy v7 470 games, 367913 moves, e=0.636, loss: 5.8, -, 7.9% elo% vs. random_no_suicide, avg. reward: -9.589, 2.624 sec/game, 17.2 min. total, 495.6 MB
nemeses_unhappy v7 471 games, 368806 moves, e=0.635, loss: 5.8, -, 7.8% elo% vs. random_no_suicide, avg. reward: -9.570, 2.632 sec/game, 17.2 min. total, 495.5 MB
nemeses_unhappy v7 472 games, 369722 moves, e=0.634, loss: 5.6, -, 7.7% elo% vs. random_no_suicide, avg. reward: -9.559, 2.628 sec/game, 17.3 min. total, 495.6 MB
nemeses_unhappy v7 473 games, 370569 moves, e=0.633, loss: 5.8, -, 7.6% elo% vs. random_no_suicide, avg. reward: -9.552, 2.650 sec/game, 17.3 min. total, 493.7 MB
nemeses_unhappy v7 474 games, 371436 moves, e=0.632, loss: 6.0, -, 7.5% elo% vs. random_no_suicide, avg. reward: -9.541, 2.647 sec/game, 17.4 min. total, 496.7 MB
nemeses_unhappy v7 475 games, 372279 moves, e=0.631, loss: 5.9, -, 7.4% elo% vs. random_no_suicide, avg. reward: -9.541, 2.647 sec/game, 17.4 min. total, 497.9 MB
nemeses_unhappy v7 476 games, 373143 moves, e=0.631, loss: 5.6, -, 7.3% elo% vs. random_no_suicide, avg. reward: -9.538, 2.645 sec/game, 17.5 min. total, 499.4 MB
nemeses_unhappy v7 477 games, 374209 moves, e=0.630, loss: 5.6, -, 7.2% elo% vs. random_no_suicide, avg. reward: -9.525, 2.665 sec/game, 17.5 min. total, 500.3 MB
nemeses_unhappy v7 478 games, 375134 moves, e=0.629, loss: 5.7, +, 8.5% elo% vs. random_no_suicide, avg. reward: -9.517, 2.685 sec/game, 17.6 min. total, 497.0 MB
nemeses_unhappy v7 479 games, 376086 moves, e=0.628, loss: 5.9, -, 8.4% elo% vs. random_no_suicide, avg. reward: -9.488, 2.712 sec/game, 17.6 min. total, 500.6 MB
nemeses_unhappy v7 480 games, 376981 moves, e=0.627, loss: 6.1, -, 8.2% elo% vs. random_no_suicide, avg. reward: -9.478, 2.730 sec/game, 17.6 min. total, 500.6 MB
nemeses_unhappy v7 481 games, 377856 moves, e=0.626, loss: 6.1, -, 8.1% elo% vs. random_no_suicide, avg. reward: -9.472, 2.731 sec/game, 17.7 min. total, 499.7 MB
nemeses_unhappy v7 482 games, 378774 moves, e=0.625, loss: 6.1, -, 8.0% elo% vs. random_no_suicide, avg. reward: -9.462, 2.711 sec/game, 17.7 min. total, 500.8 MB
nemeses_unhappy v7 483 games, 379755 moves, e=0.624, loss: 6.1, -, 7.9% elo% vs. random_no_suicide, avg. reward: -9.441, 2.693 sec/game, 17.8 min. total, 497.6 MB
nemeses_unhappy v7 484 games, 380809 moves, e=0.623, loss: 5.7, -, 7.8% elo% vs. random_no_suicide, avg. reward: -9.424, 2.740 sec/game, 17.8 min. total, 500.7 MB
nemeses_unhappy v7 485 games, 381765 moves, e=0.622, loss: 5.4, +, 9.1% elo% vs. random_no_suicide, avg. reward: -9.433, 2.738 sec/game, 17.9 min. total, 500.8 MB
nemeses_unhappy v7 486 games, 382604 moves, e=0.621, loss: 5.6, -, 9.0% elo% vs. random_no_suicide, avg. reward: -9.411, 2.736 sec/game, 17.9 min. total, 502.8 MB
nemeses_unhappy v7 487 games, 383544 moves, e=0.620, loss: 5.6, -, 8.8% elo% vs. random_no_suicide, avg. reward: -9.403, 2.735 sec/game, 18.0 min. total, 501.8 MB
nemeses_unhappy v7 488 games, 384577 moves, e=0.619, loss: 5.9, -, 8.7% elo% vs. random_no_suicide, avg. reward: -9.397, 2.746 sec/game, 18.0 min. total, 499.9 MB
nemeses_unhappy v7 489 games, 385449 moves, e=0.618, loss: 6.0, -, 8.6% elo% vs. random_no_suicide, avg. reward: -9.380, 2.759 sec/game, 18.1 min. total, 503.0 MB
nemeses_unhappy v7 490 games, 386267 moves, e=0.618, loss: 6.1, +, 10.0% elo% vs. random_no_suicide, avg. reward: -9.375, 2.743 sec/game, 18.1 min. total, 501.1 MB
nemeses_unhappy v7 491 games, 387320 moves, e=0.617, loss: 5.9, -, 9.8% elo% vs. random_no_suicide, avg. reward: -9.350, 2.762 sec/game, 18.2 min. total, 500.0 MB
nemeses_unhappy v7 492 games, 388208 moves, e=0.616, loss: 6.1, +, 11.4% elo% vs. random_no_suicide, avg. reward: -9.349, 2.767 sec/game, 18.2 min. total, 501.1 MB
nemeses_unhappy v7 493 games, 389161 moves, e=0.615, loss: 6.0, +, 13.2% elo% vs. random_no_suicide, avg. reward: -9.346, 2.795 sec/game, 18.3 min. total, 500.3 MB
nemeses_unhappy v7 494 games, 390153 moves, e=0.614, loss: 6.1, -, 12.9% elo% vs. random_no_suicide, avg. reward: -9.342, 2.826 sec/game, 18.3 min. total, 505.4 MB
nemeses_unhappy v7 495 games, 391043 moves, e=0.613, loss: 6.2, -, 12.6% elo% vs. random_no_suicide, avg. reward: -9.345, 2.833 sec/game, 18.4 min. total, 505.9 MB
nemeses_unhappy v7 496 games, 391874 moves, e=0.612, loss: 6.4, +, 14.5% elo% vs. random_no_suicide, avg. reward: -9.343, 2.825 sec/game, 18.4 min. total, 504.4 MB
nemeses_unhappy v7 497 games, 392846 moves, e=0.611, loss: 5.9, +, 16.6% elo% vs. random_no_suicide, avg. reward: -9.346, 2.805 sec/game, 18.4 min. total, 504.5 MB
nemeses_unhappy v7 498 games, 393861 moves, e=0.610, loss: 5.8, -, 16.2% elo% vs. random_no_suicide, avg. reward: -9.332, 2.820 sec/game, 18.5 min. total, 505.5 MB
nemeses_unhappy v7 499 games, 394768 moves, e=0.609, loss: 5.7, -, 15.8% elo% vs. random_no_suicide, avg. reward: -9.309, 2.806 sec/game, 18.5 min. total, 502.7 MB
nemeses_unhappy v7 500 games, 395718 moves, e=0.608, loss: 5.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: -9.286, 2.805 sec/game, 18.6 min. total, 506.2 MB
nemeses_unhappy v8 501 games, 396613 moves, e=0.607, loss: 5.8, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.275, 2.806 sec/game, 18.6 min. total, 506.3 MB
nemeses_unhappy v8 502 games, 397571 moves, e=0.606, loss: 6.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.246, 2.820 sec/game, 18.7 min. total, 506.9 MB
nemeses_unhappy v8 503 games, 398547 moves, e=0.605, loss: 6.0, +, 48.0% elo% vs. random_no_suicide, avg. reward: -9.230, 2.827 sec/game, 18.7 min. total, 508.3 MB
nemeses_unhappy v8 504 games, 399466 moves, e=0.605, loss: 6.1, -, 45.8% elo% vs. random_no_suicide, avg. reward: -9.204, 2.790 sec/game, 18.8 min. total, 505.2 MB
nemeses_unhappy v8 505 games, 400386 moves, e=0.604, loss: 6.1, -, 43.7% elo% vs. random_no_suicide, avg. reward: -9.180, 2.808 sec/game, 18.8 min. total, 509.3 MB
nemeses_unhappy v8 506 games, 401518 moves, e=0.602, loss: 6.1, -, 41.8% elo% vs. random_no_suicide, avg. reward: -9.145, 2.823 sec/game, 18.9 min. total, 507.8 MB
nemeses_unhappy v8 507 games, 402518 moves, e=0.602, loss: 6.0, +, 44.4% elo% vs. random_no_suicide, avg. reward: -9.136, 2.836 sec/game, 18.9 min. total, 505.5 MB
nemeses_unhappy v8 508 games, 403474 moves, e=0.601, loss: 6.2, -, 42.4% elo% vs. random_no_suicide, avg. reward: -9.124, 2.822 sec/game, 19.0 min. total, 509.6 MB
nemeses_unhappy v8 509 games, 404354 moves, e=0.600, loss: 6.2, +, 45.0% elo% vs. random_no_suicide, avg. reward: -9.110, 2.831 sec/game, 19.0 min. total, 506.2 MB
nemeses_unhappy v8 510 games, 405374 moves, e=0.599, loss: 6.4, -, 42.9% elo% vs. random_no_suicide, avg. reward: -9.084, 2.853 sec/game, 19.1 min. total, 509.6 MB
nemeses_unhappy v8 511 games, 406376 moves, e=0.598, loss: 6.6, +, 45.5% elo% vs. random_no_suicide, avg. reward: -9.053, 2.843 sec/game, 19.1 min. total, 506.7 MB
nemeses_unhappy v8 512 games, 407320 moves, e=0.597, loss: 6.2, -, 43.5% elo% vs. random_no_suicide, avg. reward: -9.040, 2.850 sec/game, 19.2 min. total, 511.0 MB
nemeses_unhappy v8 513 games, 408304 moves, e=0.596, loss: 6.4, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.018, 2.822 sec/game, 19.2 min. total, 513.0 MB
nemeses_unhappy v8 514 games, 409259 moves, e=0.595, loss: 6.2, +, 44.1% elo% vs. random_no_suicide, avg. reward: -8.995, 2.813 sec/game, 19.2 min. total, 509.0 MB
nemeses_unhappy v8 515 games, 410191 moves, e=0.594, loss: 6.3, -, 42.2% elo% vs. random_no_suicide, avg. reward: -8.972, 2.804 sec/game, 19.3 min. total, 511.1 MB
nemeses_unhappy v8 516 games, 411007 moves, e=0.593, loss: 6.4, +, 44.8% elo% vs. random_no_suicide, avg. reward: -8.967, 2.801 sec/game, 19.3 min. total, 509.1 MB
nemeses_unhappy v8 517 games, 411950 moves, e=0.592, loss: 6.5, ., 45.0% elo% vs. random_no_suicide, avg. reward: -8.942, 2.794 sec/game, 19.4 min. total, 512.6 MB
nemeses_unhappy v8 518 games, 412975 moves, e=0.591, loss: 6.4, +, 47.5% elo% vs. random_no_suicide, avg. reward: -8.919, 2.818 sec/game, 19.4 min. total, 508.9 MB
nemeses_unhappy v8 519 games, 413847 moves, e=0.590, loss: 6.4, +, 49.9% elo% vs. random_no_suicide, avg. reward: -8.916, 2.821 sec/game, 19.5 min. total, 510.5 MB
nemeses_unhappy v8 520 games, 414739 moves, e=0.589, loss: 6.4, -, 47.6% elo% vs. random_no_suicide, avg. reward: -8.912, 2.830 sec/game, 19.5 min. total, 513.0 MB
nemeses_unhappy v8 521 games, 415689 moves, e=0.588, loss: 6.3, +, 50.1% elo% vs. random_no_suicide, avg. reward: -8.892, 2.824 sec/game, 19.6 min. total, 511.9 MB
nemeses_unhappy v8 522 games, 416638 moves, e=0.588, loss: 6.3, +, 52.3% elo% vs. random_no_suicide, avg. reward: -8.882, 2.807 sec/game, 19.6 min. total, 511.8 MB
nemeses_unhappy v8 523 games, 417539 moves, e=0.587, loss: 6.5, -, 49.9% elo% vs. random_no_suicide, avg. reward: -8.869, 2.806 sec/game, 19.7 min. total, 513.8 MB
nemeses_unhappy v8 524 games, 418443 moves, e=0.586, loss: 6.5, +, 52.2% elo% vs. random_no_suicide, avg. reward: -8.859, 2.800 sec/game, 19.7 min. total, 511.7 MB
nemeses_unhappy v8 525 games, 419299 moves, e=0.585, loss: 6.5, -, 49.8% elo% vs. random_no_suicide, avg. reward: -8.849, 2.766 sec/game, 19.7 min. total, 515.6 MB
nemeses_unhappy v8 526 games, 420275 moves, e=0.584, loss: 6.4, -, 47.5% elo% vs. random_no_suicide, avg. reward: -8.828, 2.768 sec/game, 19.8 min. total, 515.0 MB
nemeses_unhappy v8 527 games, 421114 moves, e=0.583, loss: 6.3, -, 45.4% elo% vs. random_no_suicide, avg. reward: -8.818, 2.736 sec/game, 19.8 min. total, 515.0 MB
nemeses_unhappy v8 528 games, 422088 moves, e=0.582, loss: 6.4, +, 47.9% elo% vs. random_no_suicide, avg. reward: -8.809, 2.741 sec/game, 19.9 min. total, 511.9 MB
nemeses_unhappy v8 529 games, 423162 moves, e=0.581, loss: 6.4, +, 50.3% elo% vs. random_no_suicide, avg. reward: -8.797, 2.754 sec/game, 19.9 min. total, 514.7 MB
nemeses_unhappy v8 530 games, 424089 moves, e=0.580, loss: 6.3, -, 48.0% elo% vs. random_no_suicide, avg. reward: -8.790, 2.765 sec/game, 20.0 min. total, 516.7 MB
nemeses_unhappy v8 531 games, 425119 moves, e=0.579, loss: 6.4, +, 50.4% elo% vs. random_no_suicide, avg. reward: -8.768, 2.767 sec/game, 20.0 min. total, 515.1 MB
nemeses_unhappy v8 532 games, 426081 moves, e=0.578, loss: 6.3, -, 48.0% elo% vs. random_no_suicide, avg. reward: -8.751, 2.760 sec/game, 20.1 min. total, 518.5 MB
nemeses_unhappy v8 533 games, 426942 moves, e=0.577, loss: 6.5, +, 50.4% elo% vs. random_no_suicide, avg. reward: -8.754, 2.753 sec/game, 20.1 min. total, 515.5 MB
nemeses_unhappy v8 534 games, 427893 moves, e=0.576, loss: 6.4, +, 52.7% elo% vs. random_no_suicide, avg. reward: -8.743, 2.736 sec/game, 20.2 min. total, 518.8 MB
nemeses_unhappy v8 535 games, 428994 moves, e=0.575, loss: 6.4, -, 50.3% elo% vs. random_no_suicide, avg. reward: -8.706, 2.768 sec/game, 20.2 min. total, 518.9 MB
nemeses_unhappy v8 536 games, 430040 moves, e=0.574, loss: 6.5, +, 52.6% elo% vs. random_no_suicide, avg. reward: -8.695, 2.797 sec/game, 20.3 min. total, 515.7 MB
nemeses_unhappy v8 537 games, 430973 moves, e=0.573, loss: 6.3, -, 50.2% elo% vs. random_no_suicide, avg. reward: -8.678, 2.794 sec/game, 20.3 min. total, 516.1 MB
nemeses_unhappy v8 538 games, 431982 moves, e=0.572, loss: 6.3, +, 52.4% elo% vs. random_no_suicide, avg. reward: -8.649, 2.766 sec/game, 20.4 min. total, 515.7 MB
nemeses_unhappy v8 539 games, 433026 moves, e=0.571, loss: 6.3, -, 50.0% elo% vs. random_no_suicide, avg. reward: -8.629, 2.788 sec/game, 20.4 min. total, 518.1 MB
nemeses_unhappy v8 540 games, 434043 moves, e=0.570, loss: 6.0, ., 50.0% elo% vs. random_no_suicide, avg. reward: -8.610, 2.778 sec/game, 20.5 min. total, 520.7 MB
nemeses_unhappy v8 541 games, 434915 moves, e=0.569, loss: 5.9, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.596, 2.786 sec/game, 20.5 min. total, 520.4 MB
nemeses_unhappy v8 542 games, 435911 moves, e=0.568, loss: 6.2, -, 45.5% elo% vs. random_no_suicide, avg. reward: -8.579, 2.806 sec/game, 20.5 min. total, 519.3 MB
nemeses_unhappy v8 543 games, 436870 moves, e=0.567, loss: 6.3, -, 43.5% elo% vs. random_no_suicide, avg. reward: -8.563, 2.809 sec/game, 20.6 min. total, 519.3 MB
nemeses_unhappy v8 544 games, 437949 moves, e=0.566, loss: 6.5, +, 46.0% elo% vs. random_no_suicide, avg. reward: -8.545, 2.827 sec/game, 20.6 min. total, 517.5 MB
nemeses_unhappy v8 545 games, 438936 moves, e=0.565, loss: 6.4, +, 48.5% elo% vs. random_no_suicide, avg. reward: -8.528, 2.863 sec/game, 20.7 min. total, 517.8 MB
nemeses_unhappy v8 546 games, 440017 moves, e=0.564, loss: 6.2, +, 50.9% elo% vs. random_no_suicide, avg. reward: -8.506, 2.862 sec/game, 20.7 min. total, 517.7 MB
nemeses_unhappy v8 547 games, 440904 moves, e=0.564, loss: 6.2, +, 53.1% elo% vs. random_no_suicide, avg. reward: -8.494, 2.877 sec/game, 20.8 min. total, 517.9 MB
nemeses_unhappy v8 548 games, 441913 moves, e=0.563, loss: 6.1, +, 55.3% elo% vs. random_no_suicide, avg. reward: -8.466, 2.878 sec/game, 20.8 min. total, 520.4 MB
nemeses_unhappy v8 549 games, 442887 moves, e=0.562, loss: 6.0, +, 57.3% elo% vs. random_no_suicide, avg. reward: -8.449, 2.877 sec/game, 20.9 min. total, 519.9 MB
nemeses_unhappy v8 550 games, 443979 moves, e=0.560, loss: 6.0, +, 59.2% elo% vs. random_no_suicide, avg. reward: -8.419, 2.874 sec/game, 20.9 min. total, 522.2 MB
nemeses_unhappy v8 551 games, 445063 moves, e=0.559, loss: 6.4, +, 61.0% elo% vs. random_no_suicide, avg. reward: -8.404, 2.889 sec/game, 21.0 min. total, 522.1 MB
nemeses_unhappy v8 552 games, 446073 moves, e=0.558, loss: 6.5, +, 62.7% elo% vs. random_no_suicide, avg. reward: -8.393, 2.883 sec/game, 21.0 min. total, 521.4 MB
nemeses_unhappy v8 553 games, 447213 moves, e=0.557, loss: 6.4, +, 64.3% elo% vs. random_no_suicide, avg. reward: -8.359, 2.920 sec/game, 21.1 min. total, 522.3 MB
nemeses_unhappy v8 554 games, 448362 moves, e=0.556, loss: 6.7, +, 65.8% elo% vs. random_no_suicide, avg. reward: -8.343, 2.952 sec/game, 21.1 min. total, 520.1 MB
nemeses_unhappy v8 555 games, 449464 moves, e=0.555, loss: 6.6, +, 67.2% elo% vs. random_no_suicide, avg. reward: -8.311, 2.952 sec/game, 21.2 min. total, 521.3 MB
nemeses_unhappy v8 556 games, 450451 moves, e=0.554, loss: 6.4, +, 68.5% elo% vs. random_no_suicide, avg. reward: -8.298, 2.952 sec/game, 21.2 min. total, 524.1 MB
nemeses_unhappy v8 557 games, 451432 moves, e=0.553, loss: 6.5, ., 67.8% elo% vs. random_no_suicide, avg. reward: -8.291, 2.952 sec/game, 21.3 min. total, 524.0 MB
nemeses_unhappy v8 558 games, 452572 moves, e=0.552, loss: 6.3, -, 65.0% elo% vs. random_no_suicide, avg. reward: -8.261, 2.975 sec/game, 21.3 min. total, 527.5 MB
nemeses_unhappy v8 559 games, 453676 moves, e=0.551, loss: 6.1, +, 66.5% elo% vs. random_no_suicide, avg. reward: -8.229, 2.981 sec/game, 21.4 min. total, 524.5 MB
nemeses_unhappy v8 560 games, 454649 moves, e=0.550, loss: 6.2, +, 67.8% elo% vs. random_no_suicide, avg. reward: -8.216, 2.978 sec/game, 21.4 min. total, 524.2 MB
nemeses_unhappy v8 561 games, 455599 moves, e=0.549, loss: 6.0, +, 69.1% elo% vs. random_no_suicide, avg. reward: -8.209, 2.989 sec/game, 21.5 min. total, 525.7 MB
nemeses_unhappy v8 562 games, 456552 moves, e=0.548, loss: 5.8, +, 70.3% elo% vs. random_no_suicide, avg. reward: -8.211, 2.971 sec/game, 21.5 min. total, 524.5 MB
nemeses_unhappy v8 563 games, 457542 moves, e=0.547, loss: 5.9, +, 71.4% elo% vs. random_no_suicide, avg. reward: -8.206, 2.977 sec/game, 21.6 min. total, 524.9 MB
nemeses_unhappy v8 564 games, 458663 moves, e=0.546, loss: 5.8, +, 72.5% elo% vs. random_no_suicide, avg. reward: -8.190, 2.996 sec/game, 21.6 min. total, 527.0 MB
nemeses_unhappy v8 565 games, 459745 moves, e=0.545, loss: 5.7, +, 73.5% elo% vs. random_no_suicide, avg. reward: -8.169, 2.996 sec/game, 21.7 min. total, 526.8 MB
nemeses_unhappy v8 566 games, 460768 moves, e=0.544, loss: 5.8, +, 74.4% elo% vs. random_no_suicide, avg. reward: -8.161, 3.002 sec/game, 21.7 min. total, 528.6 MB
nemeses_unhappy v8 567 games, 461911 moves, e=0.543, loss: 6.1, +, 75.3% elo% vs. random_no_suicide, avg. reward: -8.137, 3.033 sec/game, 21.8 min. total, 526.6 MB
nemeses_unhappy v8 568 games, 463032 moves, e=0.542, loss: 6.2, +, 76.2% elo% vs. random_no_suicide, avg. reward: -8.117, 3.048 sec/game, 21.9 min. total, 526.5 MB
nemeses_unhappy v8 569 games, 464102 moves, e=0.541, loss: 6.2, -, 73.5% elo% vs. random_no_suicide, avg. reward: -8.084, 3.045 sec/game, 21.9 min. total, 530.0 MB
nemeses_unhappy v8 570 games, 465126 moves, e=0.540, loss: 6.1, +, 74.5% elo% vs. random_no_suicide, avg. reward: -8.065, 3.046 sec/game, 22.0 min. total, 527.9 MB
nemeses_unhappy v8 571 games, 466355 moves, e=0.538, loss: 6.2, +, 75.3% elo% vs. random_no_suicide, avg. reward: -8.052, 3.070 sec/game, 22.0 min. total, 526.7 MB
nemeses_unhappy v8 572 games, 467407 moves, e=0.537, loss: 5.9, +, 76.2% elo% vs. random_no_suicide, avg. reward: -8.043, 3.087 sec/game, 22.1 min. total, 528.5 MB
nemeses_unhappy v8 573 games, 468359 moves, e=0.536, loss: 6.0, +, 77.0% elo% vs. random_no_suicide, avg. reward: -8.032, 3.067 sec/game, 22.1 min. total, 529.6 MB
nemeses_unhappy v8 574 games, 469316 moves, e=0.535, loss: 6.3, +, 77.7% elo% vs. random_no_suicide, avg. reward: -8.019, 3.044 sec/game, 22.2 min. total, 529.4 MB
nemeses_unhappy v8 575 games, 470360 moves, e=0.534, loss: 6.3, -, 75.1% elo% vs. random_no_suicide, avg. reward: -8.000, 3.029 sec/game, 22.2 min. total, 530.0 MB
nemeses_unhappy v8 576 games, 471363 moves, e=0.533, loss: 6.2, +, 76.0% elo% vs. random_no_suicide, avg. reward: -7.981, 3.030 sec/game, 22.3 min. total, 529.6 MB
nemeses_unhappy v8 577 games, 472428 moves, e=0.532, loss: 5.9, +, 76.8% elo% vs. random_no_suicide, avg. reward: -7.972, 3.040 sec/game, 22.3 min. total, 530.1 MB
nemeses_unhappy v8 578 games, 473614 moves, e=0.531, loss: 6.1, +, 77.5% elo% vs. random_no_suicide, avg. reward: -7.952, 3.045 sec/game, 22.4 min. total, 531.3 MB
nemeses_unhappy v8 579 games, 474674 moves, e=0.530, loss: 6.2, +, 78.2% elo% vs. random_no_suicide, avg. reward: -7.946, 3.025 sec/game, 22.4 min. total, 530.1 MB
nemeses_unhappy v8 580 games, 475869 moves, e=0.529, loss: 6.4, +, 78.9% elo% vs. random_no_suicide, avg. reward: -7.928, 3.056 sec/game, 22.5 min. total, 531.1 MB
nemeses_unhappy v8 581 games, 477034 moves, e=0.528, loss: 6.3, +, 79.6% elo% vs. random_no_suicide, avg. reward: -7.904, 3.068 sec/game, 22.5 min. total, 533.5 MB
nemeses_unhappy v8 582 games, 478123 moves, e=0.527, loss: 6.2, +, 80.2% elo% vs. random_no_suicide, avg. reward: -7.886, 3.103 sec/game, 22.6 min. total, 532.0 MB
nemeses_unhappy v9 583 games, 479332 moves, e=0.525, loss: 6.2, -, 49.9% elo% vs. simple_bot, avg. reward: -7.861, 3.114 sec/game, 22.6 min. total, 566.7 MB
nemeses_unhappy v9 584 games, 480410 moves, e=0.524, loss: 6.1, -, 47.6% elo% vs. simple_bot, avg. reward: -7.851, 3.112 sec/game, 22.7 min. total, 567.2 MB
nemeses_unhappy v9 585 games, 481395 moves, e=0.523, loss: 6.2, -, 45.4% elo% vs. simple_bot, avg. reward: -7.839, 3.094 sec/game, 22.7 min. total, 567.0 MB
nemeses_unhappy v9 586 games, 482531 moves, e=0.522, loss: 6.3, -, 43.4% elo% vs. simple_bot, avg. reward: -7.817, 3.103 sec/game, 22.8 min. total, 566.2 MB
nemeses_unhappy v9 587 games, 483489 moves, e=0.521, loss: 6.5, -, 41.4% elo% vs. simple_bot, avg. reward: -7.810, 3.088 sec/game, 22.8 min. total, 570.0 MB
nemeses_unhappy v9 588 games, 484632 moves, e=0.520, loss: 6.4, -, 39.6% elo% vs. simple_bot, avg. reward: -7.794, 3.085 sec/game, 22.9 min. total, 571.5 MB
nemeses_unhappy v9 589 games, 485620 moves, e=0.519, loss: 6.3, -, 37.8% elo% vs. simple_bot, avg. reward: -7.786, 3.076 sec/game, 22.9 min. total, 571.0 MB
nemeses_unhappy v9 590 games, 486679 moves, e=0.518, loss: 6.4, -, 36.2% elo% vs. simple_bot, avg. reward: -7.768, 3.100 sec/game, 23.0 min. total, 567.8 MB
nemeses_unhappy v9 591 games, 487864 moves, e=0.517, loss: 6.5, -, 34.7% elo% vs. simple_bot, avg. reward: -7.752, 3.082 sec/game, 23.0 min. total, 567.9 MB
nemeses_unhappy v9 592 games, 489046 moves, e=0.516, loss: 6.2, -, 33.3% elo% vs. simple_bot, avg. reward: -7.731, 3.108 sec/game, 23.1 min. total, 569.9 MB
nemeses_unhappy v9 593 games, 490086 moves, e=0.515, loss: 6.2, -, 31.9% elo% vs. simple_bot, avg. reward: -7.714, 3.115 sec/game, 23.1 min. total, 570.0 MB
nemeses_unhappy v9 594 games, 491232 moves, e=0.514, loss: 6.1, -, 30.6% elo% vs. simple_bot, avg. reward: -7.705, 3.140 sec/game, 23.2 min. total, 571.4 MB
nemeses_unhappy v9 595 games, 492221 moves, e=0.513, loss: 5.9, -, 29.5% elo% vs. simple_bot, avg. reward: -7.687, 3.168 sec/game, 23.3 min. total, 569.1 MB
nemeses_unhappy v9 596 games, 493258 moves, e=0.512, loss: 5.8, -, 28.3% elo% vs. simple_bot, avg. reward: -7.664, 3.207 sec/game, 23.3 min. total, 571.6 MB
nemeses_unhappy v9 597 games, 494234 moves, e=0.511, loss: 5.7, -, 27.3% elo% vs. simple_bot, avg. reward: -7.649, 3.250 sec/game, 23.4 min. total, 571.9 MB
nemeses_unhappy v9 598 games, 495365 moves, e=0.510, loss: 6.0, -, 26.3% elo% vs. simple_bot, avg. reward: -7.634, 3.251 sec/game, 23.4 min. total, 573.0 MB
nemeses_unhappy v9 599 games, 496554 moves, e=0.508, loss: 6.0, -, 25.4% elo% vs. simple_bot, avg. reward: -7.611, 3.290 sec/game, 23.5 min. total, 571.8 MB
nemeses_unhappy v9 600 games, 497683 moves, e=0.507, loss: 6.2, -, 24.5% elo% vs. simple_bot, avg. reward: -7.593, 3.298 sec/game, 23.6 min. total, 572.0 MB
nemeses_unhappy v10 601 games, 498776 moves, e=0.506, loss: 6.2, -, 47.7% elo% vs. simple_bot, avg. reward: -7.575, 3.288 sec/game, 23.6 min. total, 573.4 MB
nemeses_unhappy v10 602 games, 499929 moves, e=0.505, loss: 6.1, -, 45.5% elo% vs. simple_bot, avg. reward: -7.551, 3.286 sec/game, 23.7 min. total, 576.0 MB
nemeses_unhappy v10 603 games, 500879 moves, e=0.504, loss: 6.4, -, 43.4% elo% vs. simple_bot, avg. reward: -7.540, 3.305 sec/game, 23.7 min. total, 572.6 MB
nemeses_unhappy v10 604 games, 501849 moves, e=0.503, loss: 6.3, -, 41.5% elo% vs. simple_bot, avg. reward: -7.534, 3.292 sec/game, 23.8 min. total, 572.5 MB
nemeses_unhappy v10 605 games, 502896 moves, e=0.502, loss: 6.4, -, 39.6% elo% vs. simple_bot, avg. reward: -7.520, 3.311 sec/game, 23.8 min. total, 575.9 MB
nemeses_unhappy v10 606 games, 504042 moves, e=0.501, loss: 6.7, -, 37.9% elo% vs. simple_bot, avg. reward: -7.515, 3.312 sec/game, 23.9 min. total, 574.8 MB
nemeses_unhappy v10 607 games, 505168 moves, e=0.500, loss: 6.6, -, 36.3% elo% vs. simple_bot, avg. reward: -7.492, 3.329 sec/game, 23.9 min. total, 574.8 MB
