primal_author v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
primal_author v12 556 games, 493212 moves, e=0.512, loss: 3.1, ., 35.4% elo% vs. gir, avg. reward: -6.037, 2.622 sec/game, 16.8 min. total, 623.4 MB
primal_author v12 557 games, 494498 moves, e=0.510, loss: 3.2, -, 33.9% elo% vs. gir, avg. reward: -6.008, 2.632 sec/game, 16.8 min. total, 622.1 MB
primal_author v12 558 games, 495904 moves, e=0.509, loss: 3.1, -, 32.5% elo% vs. gir, avg. reward: -5.976, 2.651 sec/game, 16.9 min. total, 622.3 MB
primal_author v12 559 games, 497238 moves, e=0.508, loss: 3.1, +, 35.3% elo% vs. gir, avg. reward: -5.969, 2.652 sec/game, 16.9 min. total, 624.7 MB
primal_author v12 560 games, 498323 moves, e=0.507, loss: 2.9, -, 33.8% elo% vs. gir, avg. reward: -5.961, 2.627 sec/game, 17.0 min. total, 623.3 MB
primal_author v12 561 games, 499564 moves, e=0.505, loss: 2.8, -, 32.5% elo% vs. gir, avg. reward: -5.956, 2.609 sec/game, 17.0 min. total, 624.9 MB
primal_author v12 562 games, 500719 moves, e=0.504, loss: 3.0, -, 31.2% elo% vs. gir, avg. reward: -5.951, 2.581 sec/game, 17.0 min. total, 623.4 MB
primal_author v12 563 games, 501930 moves, e=0.503, loss: 3.1, -, 30.0% elo% vs. gir, avg. reward: -5.940, 2.572 sec/game, 17.1 min. total, 623.9 MB
primal_author v12 564 games, 503077 moves, e=0.502, loss: 2.6, -, 28.8% elo% vs. gir, avg. reward: -5.937, 2.577 sec/game, 17.1 min. total, 625.0 MB
primal_author v12 565 games, 504540 moves, e=0.501, loss: 2.4, -, 27.7% elo% vs. gir, avg. reward: -5.914, 2.596 sec/game, 17.2 min. total, 625.0 MB
primal_author v12 566 games, 505515 moves, e=0.500, loss: 2.6, -, 26.7% elo% vs. gir, avg. reward: -5.920, 2.610 sec/game, 17.2 min. total, 625.3 MB
primal_author v12 567 games, 506734 moves, e=0.498, loss: 3.0, -, 25.8% elo% vs. gir, avg. reward: -5.920, 2.583 sec/game, 17.2 min. total, 625.0 MB
primal_author v12 568 games, 508063 moves, e=0.497, loss: 3.1, -, 24.9% elo% vs. gir, avg. reward: -5.892, 2.600 sec/game, 17.3 min. total, 625.1 MB
primal_author v12 569 games, 509235 moves, e=0.496, loss: 3.1, -, 24.0% elo% vs. gir, avg. reward: -5.884, 2.591 sec/game, 17.3 min. total, 625.1 MB
primal_author v12 570 games, 510480 moves, e=0.495, loss: 3.5, -, 23.2% elo% vs. gir, avg. reward: -5.881, 2.589 sec/game, 17.4 min. total, 626.6 MB
primal_author v12 571 games, 511605 moves, e=0.494, loss: 3.7, -, 22.5% elo% vs. gir, avg. reward: -5.875, 2.575 sec/game, 17.4 min. total, 627.1 MB
primal_author v12 572 games, 512896 moves, e=0.492, loss: 3.3, -, 21.8% elo% vs. gir, avg. reward: -5.872, 2.608 sec/game, 17.5 min. total, 627.3 MB
primal_author v12 573 games, 514254 moves, e=0.491, loss: 3.6, -, 21.1% elo% vs. gir, avg. reward: -5.859, 2.589 sec/game, 17.5 min. total, 627.5 MB
primal_author v12 574 games, 515413 moves, e=0.490, loss: 3.5, -, 20.4% elo% vs. gir, avg. reward: -5.855, 2.591 sec/game, 17.6 min. total, 627.3 MB
primal_author v12 575 games, 516725 moves, e=0.488, loss: 3.6, -, 19.8% elo% vs. gir, avg. reward: -5.837, 2.604 sec/game, 17.6 min. total, 627.3 MB
primal_author v12 576 games, 518079 moves, e=0.487, loss: 3.6, -, 19.3% elo% vs. gir, avg. reward: -5.816, 2.613 sec/game, 17.6 min. total, 628.3 MB
primal_author v12 577 games, 519189 moves, e=0.486, loss: 3.9, -, 18.7% elo% vs. gir, avg. reward: -5.816, 2.603 sec/game, 17.7 min. total, 631.5 MB
primal_author v12 578 games, 520530 moves, e=0.485, loss: 3.8, -, 18.2% elo% vs. gir, avg. reward: -5.807, 2.591 sec/game, 17.7 min. total, 636.4 MB
primal_author v12 579 games, 521844 moves, e=0.483, loss: 4.0, -, 17.7% elo% vs. gir, avg. reward: -5.793, 2.589 sec/game, 17.8 min. total, 631.8 MB
primal_author v12 580 games, 523169 moves, e=0.482, loss: 3.6, -, 17.2% elo% vs. gir, avg. reward: -5.774, 2.609 sec/game, 17.8 min. total, 631.9 MB
primal_author v12 581 games, 524523 moves, e=0.481, loss: 3.7, -, 16.8% elo% vs. gir, avg. reward: -5.767, 2.620 sec/game, 17.9 min. total, 632.2 MB
primal_author v12 582 games, 525784 moves, e=0.479, loss: 3.4, -, 16.4% elo% vs. gir, avg. reward: -5.761, 2.630 sec/game, 17.9 min. total, 633.1 MB
primal_author v12 583 games, 527076 moves, e=0.478, loss: 3.5, -, 16.0% elo% vs. gir, avg. reward: -5.720, 2.629 sec/game, 18.0 min. total, 633.0 MB
primal_author v12 584 games, 528345 moves, e=0.477, loss: 3.1, -, 15.6% elo% vs. gir, avg. reward: -5.693, 2.639 sec/game, 18.0 min. total, 633.2 MB
primal_author v12 585 games, 529548 moves, e=0.476, loss: 3.6, -, 15.2% elo% vs. gir, avg. reward: -5.682, 2.627 sec/game, 18.0 min. total, 633.1 MB
primal_author v12 586 games, 530826 moves, e=0.474, loss: 3.9, -, 14.8% elo% vs. gir, avg. reward: -5.663, 2.648 sec/game, 18.1 min. total, 633.4 MB
primal_author v12 587 games, 532030 moves, e=0.473, loss: 3.6, -, 14.5% elo% vs. gir, avg. reward: -5.645, 2.648 sec/game, 18.1 min. total, 634.3 MB
primal_author v12 588 games, 533332 moves, e=0.472, loss: 3.6, -, 14.2% elo% vs. gir, avg. reward: -5.626, 2.635 sec/game, 18.2 min. total, 634.9 MB
primal_author v12 589 games, 534709 moves, e=0.471, loss: 3.6, -, 13.8% elo% vs. gir, avg. reward: -5.605, 2.664 sec/game, 18.2 min. total, 635.1 MB
primal_author v12 590 games, 535959 moves, e=0.469, loss: 4.0, -, 13.5% elo% vs. gir, avg. reward: -5.598, 2.664 sec/game, 18.3 min. total, 636.5 MB
primal_author v12 591 games, 537361 moves, e=0.468, loss: 4.6, -, 13.3% elo% vs. gir, avg. reward: -5.596, 2.690 sec/game, 18.3 min. total, 636.7 MB
primal_author v12 592 games, 538387 moves, e=0.467, loss: 4.7, -, 13.0% elo% vs. gir, avg. reward: -5.596, 2.661 sec/game, 18.4 min. total, 635.3 MB
primal_author v12 593 games, 539654 moves, e=0.466, loss: 3.9, -, 12.7% elo% vs. gir, avg. reward: -5.580, 2.658 sec/game, 18.4 min. total, 636.1 MB
primal_author v12 594 games, 540985 moves, e=0.464, loss: 3.8, -, 12.5% elo% vs. gir, avg. reward: -5.575, 2.671 sec/game, 18.4 min. total, 639.5 MB
primal_author v12 595 games, 542423 moves, e=0.463, loss: 3.7, -, 12.2% elo% vs. gir, avg. reward: -5.552, 2.688 sec/game, 18.5 min. total, 638.4 MB
primal_author v12 596 games, 543803 moves, e=0.462, loss: 4.3, -, 12.0% elo% vs. gir, avg. reward: -5.541, 2.693 sec/game, 18.5 min. total, 638.4 MB
primal_author v12 597 games, 545108 moves, e=0.460, loss: 4.2, -, 11.7% elo% vs. gir, avg. reward: -5.527, 2.702 sec/game, 18.6 min. total, 639.7 MB
primal_author v12 598 games, 546359 moves, e=0.459, loss: 4.1, -, 11.5% elo% vs. gir, avg. reward: -5.517, 2.705 sec/game, 18.6 min. total, 638.4 MB
primal_author v12 599 games, 547746 moves, e=0.458, loss: 4.0, -, 11.3% elo% vs. gir, avg. reward: -5.503, 2.724 sec/game, 18.7 min. total, 640.4 MB
primal_author v12 600 games, 549204 moves, e=0.456, loss: 4.1, -, 11.1% elo% vs. gir, avg. reward: -5.488, 2.735 sec/game, 18.7 min. total, 641.4 MB
primal_author v13 601 games, 550609 moves, e=0.455, loss: 4.7, -, 47.7% elo% vs. gir, avg. reward: -5.471, 2.756 sec/game, 18.8 min. total, 640.2 MB
primal_author v13 602 games, 551886 moves, e=0.454, loss: 4.1, -, 45.5% elo% vs. gir, avg. reward: -5.460, 2.755 sec/game, 18.8 min. total, 640.3 MB
primal_author v13 603 games, 553019 moves, e=0.453, loss: 4.2, -, 43.4% elo% vs. gir, avg. reward: -5.459, 2.745 sec/game, 18.9 min. total, 640.2 MB
primal_author v13 604 games, 554281 moves, e=0.451, loss: 4.5, -, 41.5% elo% vs. gir, avg. reward: -5.447, 2.745 sec/game, 18.9 min. total, 640.2 MB
primal_author v13 605 games, 555485 moves, e=0.450, loss: 4.0, ., 41.9% elo% vs. gir, avg. reward: -5.426, 2.730 sec/game, 19.0 min. total, 640.7 MB
primal_author v13 606 games, 556686 moves, e=0.449, loss: 3.8, -, 40.0% elo% vs. gir, avg. reward: -5.413, 2.728 sec/game, 19.0 min. total, 642.7 MB
primal_author v13 607 games, 557922 moves, e=0.448, loss: 3.4, -, 38.2% elo% vs. gir, avg. reward: -5.405, 2.735 sec/game, 19.0 min. total, 642.5 MB
primal_author v13 608 games, 559360 moves, e=0.446, loss: 3.7, -, 36.6% elo% vs. gir, avg. reward: -5.394, 2.756 sec/game, 19.1 min. total, 642.2 MB
primal_author v13 609 games, 560613 moves, e=0.445, loss: 3.6, +, 39.3% elo% vs. gir, avg. reward: -5.394, 2.730 sec/game, 19.1 min. total, 644.1 MB
primal_author v13 610 games, 561773 moves, e=0.444, loss: 3.9, -, 37.6% elo% vs. gir, avg. reward: -5.394, 2.720 sec/game, 19.2 min. total, 642.9 MB
primal_author v13 611 games, 563273 moves, e=0.442, loss: 3.7, -, 36.0% elo% vs. gir, avg. reward: -5.381, 2.733 sec/game, 19.2 min. total, 643.1 MB
primal_author v13 612 games, 564542 moves, e=0.441, loss: 3.3, -, 34.5% elo% vs. gir, avg. reward: -5.367, 2.755 sec/game, 19.3 min. total, 646.8 MB
primal_author v13 613 games, 565706 moves, e=0.440, loss: 3.7, -, 33.1% elo% vs. gir, avg. reward: -5.364, 2.747 sec/game, 19.3 min. total, 645.0 MB
primal_author v13 614 games, 567062 moves, e=0.439, loss: 3.6, ., 33.8% elo% vs. gir, avg. reward: -5.349, 2.753 sec/game, 19.4 min. total, 645.3 MB
primal_author v13 615 games, 568295 moves, e=0.437, loss: 3.7, -, 32.4% elo% vs. gir, avg. reward: -5.346, 2.726 sec/game, 19.4 min. total, 645.3 MB
primal_author v13 616 games, 569599 moves, e=0.436, loss: 3.9, -, 31.1% elo% vs. gir, avg. reward: -5.336, 2.709 sec/game, 19.4 min. total, 645.4 MB
primal_author v13 617 games, 571026 moves, e=0.435, loss: 4.1, -, 29.9% elo% vs. gir, avg. reward: -5.317, 2.733 sec/game, 19.5 min. total, 646.1 MB
primal_author v13 618 games, 572430 moves, e=0.433, loss: 3.9, -, 28.8% elo% vs. gir, avg. reward: -5.293, 2.740 sec/game, 19.5 min. total, 646.6 MB
primal_author v13 619 games, 573967 moves, e=0.432, loss: 3.7, -, 27.7% elo% vs. gir, avg. reward: -5.274, 2.753 sec/game, 19.6 min. total, 646.8 MB
primal_author v13 620 games, 575182 moves, e=0.431, loss: 4.1, -, 26.7% elo% vs. gir, avg. reward: -5.265, 2.731 sec/game, 19.6 min. total, 647.0 MB
primal_author v13 621 games, 576637 moves, e=0.429, loss: 4.3, -, 25.7% elo% vs. gir, avg. reward: -5.255, 2.724 sec/game, 19.7 min. total, 648.6 MB
primal_author v13 622 games, 577870 moves, e=0.428, loss: 4.2, -, 24.8% elo% vs. gir, avg. reward: -5.253, 2.726 sec/game, 19.7 min. total, 647.5 MB
primal_author v13 623 games, 579279 moves, e=0.427, loss: 3.8, -, 24.0% elo% vs. gir, avg. reward: -5.249, 2.747 sec/game, 19.8 min. total, 649.4 MB
primal_author v13 624 games, 580747 moves, e=0.425, loss: 3.9, -, 23.2% elo% vs. gir, avg. reward: -5.229, 2.768 sec/game, 19.8 min. total, 650.1 MB
primal_author v13 625 games, 582218 moves, e=0.424, loss: 3.5, -, 22.4% elo% vs. gir, avg. reward: -5.211, 2.796 sec/game, 19.9 min. total, 649.8 MB
primal_author v13 626 games, 583684 moves, e=0.422, loss: 3.4, -, 21.7% elo% vs. gir, avg. reward: -5.195, 2.823 sec/game, 19.9 min. total, 649.8 MB
primal_author v13 627 games, 585091 moves, e=0.421, loss: 3.5, -, 21.1% elo% vs. gir, avg. reward: -5.178, 2.838 sec/game, 20.0 min. total, 651.2 MB
primal_author v13 628 games, 586649 moves, e=0.419, loss: 4.0, -, 20.4% elo% vs. gir, avg. reward: -5.160, 2.845 sec/game, 20.0 min. total, 649.8 MB
primal_author v13 629 games, 588382 moves, e=0.418, loss: 4.1, -, 19.8% elo% vs. gir, avg. reward: -5.135, 2.889 sec/game, 20.1 min. total, 651.6 MB
primal_author v13 630 games, 589708 moves, e=0.416, loss: 4.1, -, 19.2% elo% vs. gir, avg. reward: -5.118, 2.911 sec/game, 20.1 min. total, 651.5 MB
primal_author v13 631 games, 591293 moves, e=0.415, loss: 3.8, ., 20.1% elo% vs. gir, avg. reward: -5.093, 2.915 sec/game, 20.2 min. total, 651.3 MB
primal_author v13 632 games, 592563 moves, e=0.413, loss: 4.3, -, 19.5% elo% vs. gir, avg. reward: -5.089, 2.913 sec/game, 20.2 min. total, 651.3 MB
primal_author v13 633 games, 594239 moves, e=0.412, loss: 4.2, -, 19.0% elo% vs. gir, avg. reward: -5.066, 2.958 sec/game, 20.3 min. total, 651.8 MB
primal_author v13 634 games, 595498 moves, e=0.410, loss: 4.0, -, 18.5% elo% vs. gir, avg. reward: -5.056, 2.947 sec/game, 20.3 min. total, 651.8 MB
primal_author v13 635 games, 596806 moves, e=0.409, loss: 3.6, -, 17.9% elo% vs. gir, avg. reward: -5.051, 2.959 sec/game, 20.4 min. total, 653.1 MB
primal_author v13 636 games, 598173 moves, e=0.408, loss: 4.0, +, 20.3% elo% vs. gir, avg. reward: -5.031, 2.973 sec/game, 20.4 min. total, 655.8 MB
primal_author v13 637 games, 599597 moves, e=0.406, loss: 3.8, ., 21.2% elo% vs. gir, avg. reward: -5.012, 2.961 sec/game, 20.5 min. total, 654.5 MB
primal_author v13 638 games, 601138 moves, e=0.405, loss: 3.7, -, 20.5% elo% vs. gir, avg. reward: -4.990, 2.973 sec/game, 20.5 min. total, 654.9 MB
primal_author v13 639 games, 602601 moves, e=0.403, loss: 4.2, -, 19.9% elo% vs. gir, avg. reward: -4.978, 2.954 sec/game, 20.6 min. total, 656.6 MB
primal_author v13 640 games, 603970 moves, e=0.402, loss: 4.3, -, 19.3% elo% vs. gir, avg. reward: -4.974, 2.968 sec/game, 20.6 min. total, 655.3 MB
primal_author v13 641 games, 605338 moves, e=0.401, loss: 4.5, -, 18.8% elo% vs. gir, avg. reward: -4.959, 2.966 sec/game, 20.7 min. total, 655.6 MB
primal_author v13 642 games, 606847 moves, e=0.399, loss: 4.5, -, 18.3% elo% vs. gir, avg. reward: -4.951, 2.984 sec/game, 20.7 min. total, 656.4 MB
primal_author v13 643 games, 608302 moves, e=0.398, loss: 4.1, -, 17.8% elo% vs. gir, avg. reward: -4.940, 2.995 sec/game, 20.8 min. total, 656.4 MB
primal_author v13 644 games, 610063 moves, e=0.396, loss: 4.3, ., 18.7% elo% vs. gir, avg. reward: -4.908, 3.018 sec/game, 20.8 min. total, 656.5 MB
primal_author v13 645 games, 611604 moves, e=0.395, loss: 4.6, -, 18.1% elo% vs. gir, avg. reward: -4.893, 3.023 sec/game, 20.9 min. total, 656.4 MB
primal_author v13 646 games, 612987 moves, e=0.393, loss: 4.3, -, 17.7% elo% vs. gir, avg. reward: -4.871, 3.000 sec/game, 20.9 min. total, 656.5 MB
primal_author v13 647 games, 614225 moves, e=0.392, loss: 4.4, +, 20.0% elo% vs. gir, avg. reward: -4.877, 2.989 sec/game, 21.0 min. total, 659.2 MB
primal_author v13 648 games, 615619 moves, e=0.391, loss: 4.5, -, 19.4% elo% vs. gir, avg. reward: -4.863, 2.973 sec/game, 21.0 min. total, 659.6 MB
primal_author v13 649 games, 616992 moves, e=0.389, loss: 4.0, -, 18.8% elo% vs. gir, avg. reward: -4.857, 2.949 sec/game, 21.1 min. total, 659.5 MB
primal_author v13 650 games, 618339 moves, e=0.388, loss: 4.1, -, 18.3% elo% vs. gir, avg. reward: -4.854, 2.937 sec/game, 21.1 min. total, 659.8 MB
primal_author v13 651 games, 619857 moves, e=0.386, loss: 4.4, -, 17.8% elo% vs. gir, avg. reward: -4.842, 2.933 sec/game, 21.2 min. total, 659.6 MB
primal_author v13 652 games, 621476 moves, e=0.385, loss: 4.2, -, 17.3% elo% vs. gir, avg. reward: -4.811, 2.969 sec/game, 21.2 min. total, 659.9 MB
primal_author v13 653 games, 623001 moves, e=0.383, loss: 4.8, -, 16.9% elo% vs. gir, avg. reward: -4.802, 2.959 sec/game, 21.3 min. total, 660.1 MB
primal_author v13 654 games, 624525 moves, e=0.382, loss: 4.4, ., 17.8% elo% vs. gir, avg. reward: -4.789, 2.980 sec/game, 21.3 min. total, 663.4 MB
primal_author v13 655 games, 625915 moves, e=0.380, loss: 3.7, -, 17.3% elo% vs. gir, avg. reward: -4.770, 2.979 sec/game, 21.4 min. total, 663.3 MB
primal_author v13 656 games, 627225 moves, e=0.379, loss: 3.4, -, 16.8% elo% vs. gir, avg. reward: -4.764, 2.975 sec/game, 21.4 min. total, 663.3 MB
primal_author v13 657 games, 628647 moves, e=0.378, loss: 3.2, -, 16.4% elo% vs. gir, avg. reward: -4.761, 2.972 sec/game, 21.5 min. total, 661.8 MB
primal_author v13 658 games, 630012 moves, e=0.376, loss: 2.9, -, 16.0% elo% vs. gir, avg. reward: -4.764, 2.950 sec/game, 21.5 min. total, 663.2 MB
primal_author v13 659 games, 631423 moves, e=0.375, loss: 3.0, +, 18.2% elo% vs. gir, avg. reward: -4.757, 2.953 sec/game, 21.6 min. total, 664.1 MB
primal_author v13 660 games, 633036 moves, e=0.373, loss: 3.0, -, 17.7% elo% vs. gir, avg. reward: -4.732, 2.975 sec/game, 21.6 min. total, 664.0 MB
primal_author v13 661 games, 634399 moves, e=0.372, loss: 3.5, -, 17.2% elo% vs. gir, avg. reward: -4.722, 2.975 sec/game, 21.7 min. total, 663.8 MB
primal_author v13 662 games, 635993 moves, e=0.370, loss: 3.5, -, 16.8% elo% vs. gir, avg. reward: -4.705, 2.983 sec/game, 21.7 min. total, 665.3 MB
primal_author v13 663 games, 637544 moves, e=0.369, loss: 3.7, -, 16.3% elo% vs. gir, avg. reward: -4.685, 2.985 sec/game, 21.8 min. total, 664.5 MB
primal_author v13 664 games, 639166 moves, e=0.367, loss: 3.5, -, 15.9% elo% vs. gir, avg. reward: -4.662, 2.977 sec/game, 21.8 min. total, 665.2 MB
primal_author v13 665 games, 640609 moves, e=0.366, loss: 3.4, -, 15.5% elo% vs. gir, avg. reward: -4.663, 2.967 sec/game, 21.9 min. total, 667.2 MB
primal_author v13 666 games, 642047 moves, e=0.364, loss: 3.5, -, 15.2% elo% vs. gir, avg. reward: -4.637, 2.984 sec/game, 21.9 min. total, 665.8 MB
primal_author v13 667 games, 643665 moves, e=0.363, loss: 3.7, +, 17.3% elo% vs. gir, avg. reward: -4.616, 3.020 sec/game, 22.0 min. total, 666.0 MB
primal_author v13 668 games, 645275 moves, e=0.361, loss: 3.5, -, 16.8% elo% vs. gir, avg. reward: -4.604, 3.044 sec/game, 22.0 min. total, 666.5 MB
primal_author v13 669 games, 646833 moves, e=0.360, loss: 3.6, +, 19.1% elo% vs. gir, avg. reward: -4.587, 3.058 sec/game, 22.1 min. total, 666.1 MB
primal_author v13 670 games, 648347 moves, e=0.358, loss: 4.0, -, 18.6% elo% vs. gir, avg. reward: -4.571, 3.079 sec/game, 22.2 min. total, 666.1 MB
primal_author v13 671 games, 649907 moves, e=0.357, loss: 3.6, -, 18.1% elo% vs. gir, avg. reward: -4.553, 3.079 sec/game, 22.2 min. total, 668.5 MB
primal_author v13 672 games, 651504 moves, e=0.355, loss: 3.5, -, 17.6% elo% vs. gir, avg. reward: -4.541, 3.067 sec/game, 22.3 min. total, 667.9 MB
primal_author v13 673 games, 652902 moves, e=0.354, loss: 4.0, -, 17.1% elo% vs. gir, avg. reward: -4.535, 3.049 sec/game, 22.3 min. total, 668.1 MB
primal_author v13 674 games, 654268 moves, e=0.352, loss: 4.3, -, 16.7% elo% vs. gir, avg. reward: -4.521, 3.045 sec/game, 22.4 min. total, 668.1 MB
primal_author v13 675 games, 655817 moves, e=0.351, loss: 4.1, -, 16.2% elo% vs. gir, avg. reward: -4.508, 3.067 sec/game, 22.4 min. total, 668.5 MB
primal_author v13 676 games, 657194 moves, e=0.349, loss: 4.1, -, 15.8% elo% vs. gir, avg. reward: -4.509, 3.069 sec/game, 22.5 min. total, 668.8 MB
primal_author v13 677 games, 658590 moves, e=0.348, loss: 4.2, -, 15.5% elo% vs. gir, avg. reward: -4.489, 3.071 sec/game, 22.5 min. total, 670.3 MB
primal_author v13 678 games, 660005 moves, e=0.347, loss: 4.2, -, 15.1% elo% vs. gir, avg. reward: -4.487, 3.082 sec/game, 22.6 min. total, 668.9 MB
primal_author v13 679 games, 661372 moves, e=0.345, loss: 4.3, -, 14.7% elo% vs. gir, avg. reward: -4.480, 3.071 sec/game, 22.6 min. total, 669.2 MB
primal_author v13 680 games, 663004 moves, e=0.344, loss: 4.3, -, 14.4% elo% vs. gir, avg. reward: -4.466, 3.068 sec/game, 22.7 min. total, 670.6 MB
primal_author v13 681 games, 664649 moves, e=0.342, loss: 3.7, -, 14.1% elo% vs. gir, avg. reward: -4.449, 3.091 sec/game, 22.7 min. total, 669.6 MB
primal_author v13 682 games, 666125 moves, e=0.341, loss: 3.8, -, 13.8% elo% vs. gir, avg. reward: -4.440, 3.091 sec/game, 22.8 min. total, 671.5 MB
primal_author v13 683 games, 667485 moves, e=0.339, loss: 3.6, ., 14.6% elo% vs. gir, avg. reward: -4.435, 3.070 sec/game, 22.8 min. total, 674.5 MB
primal_author v13 684 games, 668947 moves, e=0.338, loss: 3.8, -, 14.2% elo% vs. gir, avg. reward: -4.426, 3.058 sec/game, 22.9 min. total, 673.4 MB
primal_author v13 685 games, 670293 moves, e=0.336, loss: 3.9, +, 16.3% elo% vs. gir, avg. reward: -4.411, 3.048 sec/game, 22.9 min. total, 673.8 MB
primal_author v13 686 games, 671833 moves, e=0.335, loss: 3.5, -, 15.9% elo% vs. gir, avg. reward: -4.399, 3.054 sec/game, 23.0 min. total, 674.0 MB
primal_author v13 687 games, 673328 moves, e=0.333, loss: 3.3, -, 15.5% elo% vs. gir, avg. reward: -4.381, 3.040 sec/game, 23.0 min. total, 673.7 MB
primal_author v13 688 games, 674863 moves, e=0.332, loss: 3.6, -, 15.1% elo% vs. gir, avg. reward: -4.371, 3.035 sec/game, 23.1 min. total, 674.2 MB
primal_author v13 689 games, 676563 moves, e=0.330, loss: 3.9, -, 14.8% elo% vs. gir, avg. reward: -4.358, 3.051 sec/game, 23.1 min. total, 674.8 MB
primal_author v13 690 games, 678194 moves, e=0.329, loss: 4.8, -, 14.4% elo% vs. gir, avg. reward: -4.339, 3.071 sec/game, 23.2 min. total, 679.8 MB
primal_author v13 691 games, 679741 moves, e=0.327, loss: 4.7, -, 14.1% elo% vs. gir, avg. reward: -4.329, 3.071 sec/game, 23.2 min. total, 675.5 MB
primal_author v13 692 games, 681236 moves, e=0.326, loss: 4.0, +, 16.1% elo% vs. gir, avg. reward: -4.307, 3.075 sec/game, 23.3 min. total, 676.9 MB
primal_author v13 693 games, 683043 moves, e=0.324, loss: 4.8, -, 15.7% elo% vs. gir, avg. reward: -4.282, 3.115 sec/game, 23.3 min. total, 681.0 MB
primal_author v13 694 games, 684724 moves, e=0.322, loss: 4.6, -, 15.4% elo% vs. gir, avg. reward: -4.269, 3.132 sec/game, 23.4 min. total, 678.2 MB
primal_author v13 695 games, 686352 moves, e=0.321, loss: 4.0, -, 15.0% elo% vs. gir, avg. reward: -4.261, 3.154 sec/game, 23.5 min. total, 678.9 MB
primal_author v13 696 games, 688041 moves, e=0.319, loss: 4.4, -, 14.6% elo% vs. gir, avg. reward: -4.250, 3.177 sec/game, 23.5 min. total, 679.0 MB
primal_author v13 697 games, 689641 moves, e=0.317, loss: 4.3, +, 16.7% elo% vs. gir, avg. reward: -4.234, 3.191 sec/game, 23.6 min. total, 679.4 MB
primal_author v13 698 games, 691332 moves, e=0.316, loss: 4.8, ., 17.6% elo% vs. gir, avg. reward: -4.210, 3.224 sec/game, 23.6 min. total, 678.1 MB
primal_author v13 699 games, 692830 moves, e=0.314, loss: 4.0, -, 17.1% elo% vs. gir, avg. reward: -4.201, 3.233 sec/game, 23.7 min. total, 679.0 MB
primal_author v13 700 games, 694550 moves, e=0.312, loss: 4.0, -, 16.7% elo% vs. gir, avg. reward: -4.191, 3.252 sec/game, 23.7 min. total, 680.9 MB
primal_author v14 701 games, 696420 moves, e=0.311, loss: 3.7, ., 50.0% elo% vs. gir, avg. reward: -4.172, 3.268 sec/game, 23.8 min. total, 681.0 MB
primal_author v14 702 games, 697998 moves, e=0.309, loss: 3.8, -, 47.7% elo% vs. gir, avg. reward: -4.154, 3.275 sec/game, 23.9 min. total, 681.0 MB
primal_author v14 703 games, 699752 moves, e=0.307, loss: 4.0, -, 45.5% elo% vs. gir, avg. reward: -4.126, 3.308 sec/game, 23.9 min. total, 681.4 MB
primal_author v14 704 games, 701530 moves, e=0.305, loss: 3.7, -, 43.4% elo% vs. gir, avg. reward: -4.101, 3.330 sec/game, 24.0 min. total, 682.1 MB
primal_author v14 705 games, 702893 moves, e=0.304, loss: 3.9, -, 41.5% elo% vs. gir, avg. reward: -4.088, 3.338 sec/game, 24.0 min. total, 682.7 MB
primal_author v14 706 games, 704475 moves, e=0.303, loss: 3.7, -, 39.6% elo% vs. gir, avg. reward: -4.072, 3.338 sec/game, 24.1 min. total, 683.2 MB
primal_author v14 707 games, 706116 moves, e=0.301, loss: 4.2, -, 37.9% elo% vs. gir, avg. reward: -4.051, 3.353 sec/game, 24.1 min. total, 682.5 MB
primal_author v14 708 games, 708078 moves, e=0.299, loss: 3.6, -, 36.3% elo% vs. gir, avg. reward: -4.035, 3.382 sec/game, 24.2 min. total, 684.2 MB
primal_author v14 709 games, 709668 moves, e=0.297, loss: 4.0, -, 34.8% elo% vs. gir, avg. reward: -4.019, 3.376 sec/game, 24.2 min. total, 684.0 MB
primal_author v14 710 games, 711120 moves, e=0.296, loss: 3.9, -, 33.3% elo% vs. gir, avg. reward: -4.003, 3.350 sec/game, 24.3 min. total, 685.1 MB
primal_author v14 711 games, 712964 moves, e=0.294, loss: 3.9, -, 32.0% elo% vs. gir, avg. reward: -3.990, 3.383 sec/game, 24.4 min. total, 687.6 MB
primal_author v14 712 games, 714656 moves, e=0.292, loss: 3.4, +, 34.8% elo% vs. gir, avg. reward: -3.975, 3.392 sec/game, 24.4 min. total, 689.2 MB
primal_author v14 713 games, 716270 moves, e=0.291, loss: 3.4, -, 33.3% elo% vs. gir, avg. reward: -3.956, 3.363 sec/game, 24.5 min. total, 689.4 MB
primal_author v14 714 games, 718222 moves, e=0.289, loss: 4.2, +, 36.1% elo% vs. gir, avg. reward: -3.937, 3.405 sec/game, 24.5 min. total, 689.0 MB
primal_author v14 715 games, 720105 moves, e=0.287, loss: 3.7, -, 34.6% elo% vs. gir, avg. reward: -3.912, 3.406 sec/game, 24.6 min. total, 687.9 MB
primal_author v14 716 games, 721927 moves, e=0.285, loss: 4.5, -, 33.2% elo% vs. gir, avg. reward: -3.892, 3.427 sec/game, 24.7 min. total, 689.5 MB
