primal_author v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
primal_author v3 36 games, 25388 moves, e=0.975, loss: 2.7, -, 30.6% elo% vs. random_no_suicide, avg. reward: -10.244, 1.289 sec/game, 0.5 min. total, 463.9 MB
primal_author v3 37 games, 26137 moves, e=0.974, loss: 3.0, -, 29.4% elo% vs. random_no_suicide, avg. reward: -10.218, 1.295 sec/game, 0.5 min. total, 463.9 MB
primal_author v3 38 games, 26704 moves, e=0.974, loss: 3.1, -, 28.3% elo% vs. random_no_suicide, avg. reward: -10.279, 1.275 sec/game, 0.5 min. total, 464.1 MB
primal_author v3 39 games, 27401 moves, e=0.973, loss: 3.2, -, 27.3% elo% vs. random_no_suicide, avg. reward: -10.283, 1.284 sec/game, 0.6 min. total, 464.3 MB
primal_author v3 40 games, 28144 moves, e=0.972, loss: 3.4, -, 26.3% elo% vs. random_no_suicide, avg. reward: -10.265, 1.288 sec/game, 0.6 min. total, 464.8 MB
primal_author v3 41 games, 28863 moves, e=0.971, loss: 3.7, -, 25.3% elo% vs. random_no_suicide, avg. reward: -10.255, 1.267 sec/game, 0.6 min. total, 462.5 MB
primal_author v3 42 games, 29705 moves, e=0.971, loss: 4.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: -10.209, 1.293 sec/game, 0.6 min. total, 463.6 MB
primal_author v3 43 games, 30412 moves, e=0.970, loss: 4.0, -, 23.6% elo% vs. random_no_suicide, avg. reward: -10.210, 1.286 sec/game, 0.7 min. total, 463.5 MB
primal_author v3 44 games, 31289 moves, e=0.969, loss: 3.9, +, 26.3% elo% vs. random_no_suicide, avg. reward: -10.154, 1.310 sec/game, 0.7 min. total, 463.9 MB
primal_author v3 45 games, 32101 moves, e=0.968, loss: 3.8, -, 25.4% elo% vs. random_no_suicide, avg. reward: -10.127, 1.325 sec/game, 0.7 min. total, 462.6 MB
primal_author v3 46 games, 32778 moves, e=0.968, loss: 3.7, -, 24.5% elo% vs. random_no_suicide, avg. reward: -10.139, 1.328 sec/game, 0.7 min. total, 462.5 MB
primal_author v3 47 games, 33451 moves, e=0.967, loss: 3.9, +, 27.1% elo% vs. random_no_suicide, avg. reward: -10.149, 1.321 sec/game, 0.8 min. total, 464.4 MB
primal_author v3 48 games, 34149 moves, e=0.966, loss: 4.0, +, 29.9% elo% vs. random_no_suicide, avg. reward: -10.149, 1.313 sec/game, 0.8 min. total, 465.0 MB
primal_author v3 49 games, 34829 moves, e=0.966, loss: 3.7, +, 32.6% elo% vs. random_no_suicide, avg. reward: -10.158, 1.314 sec/game, 0.8 min. total, 465.9 MB
primal_author v3 50 games, 35564 moves, e=0.965, loss: 3.7, ., 33.4% elo% vs. random_no_suicide, avg. reward: -10.156, 1.317 sec/game, 0.8 min. total, 465.0 MB
primal_author v3 51 games, 36288 moves, e=0.964, loss: 4.0, -, 32.0% elo% vs. random_no_suicide, avg. reward: -10.153, 1.318 sec/game, 0.8 min. total, 464.9 MB
primal_author v3 52 games, 37027 moves, e=0.963, loss: 3.2, +, 34.8% elo% vs. random_no_suicide, avg. reward: -10.145, 1.335 sec/game, 0.9 min. total, 465.0 MB
primal_author v3 53 games, 37869 moves, e=0.963, loss: 3.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: -10.109, 1.339 sec/game, 0.9 min. total, 465.1 MB
primal_author v3 54 games, 38686 moves, e=0.962, loss: 3.2, -, 32.0% elo% vs. random_no_suicide, avg. reward: -10.085, 1.357 sec/game, 0.9 min. total, 469.7 MB
primal_author v3 55 games, 39407 moves, e=0.961, loss: 3.1, -, 30.7% elo% vs. random_no_suicide, avg. reward: -10.083, 1.352 sec/game, 0.9 min. total, 469.8 MB
primal_author v3 56 games, 40299 moves, e=0.960, loss: 3.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: -10.043, 1.351 sec/game, 1.0 min. total, 465.6 MB
primal_author v3 57 games, 41073 moves, e=0.959, loss: 3.1, ., 30.3% elo% vs. random_no_suicide, avg. reward: -10.026, 1.353 sec/game, 1.0 min. total, 467.1 MB
primal_author v3 58 games, 41795 moves, e=0.959, loss: 2.6, -, 29.2% elo% vs. random_no_suicide, avg. reward: -10.025, 1.376 sec/game, 1.0 min. total, 465.4 MB
primal_author v3 59 games, 42610 moves, e=0.958, loss: 2.8, -, 28.1% elo% vs. random_no_suicide, avg. reward: -9.997, 1.380 sec/game, 1.0 min. total, 465.7 MB
primal_author v3 60 games, 43328 moves, e=0.957, loss: 2.4, -, 27.0% elo% vs. random_no_suicide, avg. reward: -9.997, 1.390 sec/game, 1.1 min. total, 467.1 MB
primal_author v3 61 games, 44083 moves, e=0.956, loss: 2.2, -, 26.1% elo% vs. random_no_suicide, avg. reward: -9.983, 1.394 sec/game, 1.1 min. total, 471.1 MB
primal_author v3 62 games, 44808 moves, e=0.956, loss: 2.3, -, 25.1% elo% vs. random_no_suicide, avg. reward: -9.980, 1.383 sec/game, 1.1 min. total, 469.5 MB
primal_author v3 63 games, 45622 moves, e=0.955, loss: 2.2, -, 24.3% elo% vs. random_no_suicide, avg. reward: -9.957, 1.395 sec/game, 1.1 min. total, 467.1 MB
primal_author v3 64 games, 46211 moves, e=0.954, loss: 2.8, ., 25.2% elo% vs. random_no_suicide, avg. reward: -9.995, 1.375 sec/game, 1.1 min. total, 468.5 MB
primal_author v3 65 games, 46974 moves, e=0.953, loss: 2.4, -, 24.3% elo% vs. random_no_suicide, avg. reward: -9.986, 1.363 sec/game, 1.2 min. total, 468.6 MB
primal_author v3 66 games, 47674 moves, e=0.953, loss: 2.9, +, 27.0% elo% vs. random_no_suicide, avg. reward: -9.989, 1.361 sec/game, 1.2 min. total, 468.8 MB
