slashed_kooky v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.0 MB
slashed_kooky v6 305 games, 235034 moves, e=0.767, loss: 5.5, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.349, 2.086 sec/game, 9.1 min. total, 501.1 MB
slashed_kooky v6 306 games, 235933 moves, e=0.766, loss: 5.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: -8.342, 2.116 sec/game, 9.1 min. total, 500.5 MB
slashed_kooky v6 307 games, 236789 moves, e=0.766, loss: 5.3, -, 36.3% elo% vs. random_no_suicide, avg. reward: -8.320, 2.106 sec/game, 9.2 min. total, 500.1 MB
slashed_kooky v6 308 games, 237523 moves, e=0.765, loss: 5.2, -, 34.8% elo% vs. random_no_suicide, avg. reward: -8.338, 2.105 sec/game, 9.2 min. total, 500.1 MB
slashed_kooky v6 309 games, 238256 moves, e=0.764, loss: 5.0, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.348, 2.091 sec/game, 9.2 min. total, 500.7 MB
slashed_kooky v6 310 games, 239098 moves, e=0.763, loss: 5.0, -, 32.0% elo% vs. random_no_suicide, avg. reward: -8.351, 2.094 sec/game, 9.3 min. total, 500.9 MB
slashed_kooky v6 311 games, 239944 moves, e=0.762, loss: 5.2, -, 30.7% elo% vs. random_no_suicide, avg. reward: -8.349, 2.095 sec/game, 9.3 min. total, 501.4 MB
slashed_kooky v6 312 games, 240829 moves, e=0.762, loss: 5.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: -8.329, 2.099 sec/game, 9.3 min. total, 501.4 MB
slashed_kooky v6 313 games, 241808 moves, e=0.761, loss: 5.3, -, 28.4% elo% vs. random_no_suicide, avg. reward: -8.311, 2.129 sec/game, 9.4 min. total, 501.9 MB
slashed_kooky v6 314 games, 242699 moves, e=0.760, loss: 4.9, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.300, 2.140 sec/game, 9.4 min. total, 504.1 MB
slashed_kooky v6 315 games, 243577 moves, e=0.759, loss: 4.6, -, 26.4% elo% vs. random_no_suicide, avg. reward: -8.307, 2.125 sec/game, 9.5 min. total, 502.7 MB
slashed_kooky v6 316 games, 244355 moves, e=0.758, loss: 4.9, -, 25.4% elo% vs. random_no_suicide, avg. reward: -8.311, 2.120 sec/game, 9.5 min. total, 505.5 MB
slashed_kooky v6 317 games, 245143 moves, e=0.757, loss: 5.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: -8.302, 2.129 sec/game, 9.5 min. total, 504.7 MB
slashed_kooky v6 318 games, 246100 moves, e=0.756, loss: 5.2, -, 23.7% elo% vs. random_no_suicide, avg. reward: -8.288, 2.149 sec/game, 9.6 min. total, 504.7 MB
slashed_kooky v6 319 games, 246882 moves, e=0.756, loss: 5.6, -, 22.9% elo% vs. random_no_suicide, avg. reward: -8.283, 2.138 sec/game, 9.6 min. total, 504.4 MB
slashed_kooky v6 320 games, 247685 moves, e=0.755, loss: 5.4, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.292, 2.138 sec/game, 9.6 min. total, 505.1 MB
slashed_kooky v6 321 games, 248566 moves, e=0.754, loss: 5.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.279, 2.111 sec/game, 9.7 min. total, 504.9 MB
slashed_kooky v6 322 games, 249419 moves, e=0.753, loss: 5.3, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.276, 2.126 sec/game, 9.7 min. total, 505.1 MB
slashed_kooky v6 323 games, 250280 moves, e=0.752, loss: 4.9, -, 20.2% elo% vs. random_no_suicide, avg. reward: -8.279, 2.127 sec/game, 9.7 min. total, 505.6 MB
slashed_kooky v6 324 games, 251156 moves, e=0.751, loss: 4.9, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.280, 2.135 sec/game, 9.8 min. total, 507.1 MB
slashed_kooky v6 325 games, 252057 moves, e=0.750, loss: 5.5, -, 19.1% elo% vs. random_no_suicide, avg. reward: -8.268, 2.161 sec/game, 9.8 min. total, 506.5 MB
slashed_kooky v6 326 games, 252932 moves, e=0.750, loss: 5.2, -, 18.5% elo% vs. random_no_suicide, avg. reward: -8.266, 2.155 sec/game, 9.9 min. total, 506.7 MB
slashed_kooky v6 327 games, 253844 moves, e=0.749, loss: 5.4, -, 18.0% elo% vs. random_no_suicide, avg. reward: -8.252, 2.167 sec/game, 9.9 min. total, 507.8 MB
slashed_kooky v6 328 games, 254912 moves, e=0.748, loss: 5.1, -, 17.5% elo% vs. random_no_suicide, avg. reward: -8.228, 2.196 sec/game, 9.9 min. total, 506.9 MB
slashed_kooky v6 329 games, 255716 moves, e=0.747, loss: 5.3, -, 17.1% elo% vs. random_no_suicide, avg. reward: -8.239, 2.199 sec/game, 10.0 min. total, 507.1 MB
slashed_kooky v6 330 games, 256533 moves, e=0.746, loss: 5.4, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.229, 2.216 sec/game, 10.0 min. total, 507.0 MB
slashed_kooky v6 331 games, 257317 moves, e=0.745, loss: 5.3, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.230, 2.206 sec/game, 10.0 min. total, 507.6 MB
slashed_kooky v6 332 games, 258128 moves, e=0.744, loss: 5.5, -, 15.8% elo% vs. random_no_suicide, avg. reward: -8.225, 2.190 sec/game, 10.1 min. total, 507.4 MB
slashed_kooky v6 333 games, 259125 moves, e=0.743, loss: 5.1, -, 15.4% elo% vs. random_no_suicide, avg. reward: -8.207, 2.190 sec/game, 10.1 min. total, 508.4 MB
slashed_kooky v6 334 games, 259951 moves, e=0.743, loss: 5.3, -, 15.1% elo% vs. random_no_suicide, avg. reward: -8.201, 2.179 sec/game, 10.1 min. total, 508.5 MB
slashed_kooky v6 335 games, 260882 moves, e=0.742, loss: 5.7, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.196, 2.209 sec/game, 10.2 min. total, 509.1 MB
slashed_kooky v6 336 games, 261737 moves, e=0.741, loss: 5.4, -, 14.4% elo% vs. random_no_suicide, avg. reward: -8.182, 2.198 sec/game, 10.2 min. total, 509.4 MB
slashed_kooky v6 337 games, 262594 moves, e=0.740, loss: 5.6, -, 14.0% elo% vs. random_no_suicide, avg. reward: -8.178, 2.208 sec/game, 10.3 min. total, 509.6 MB
slashed_kooky v6 338 games, 263481 moves, e=0.739, loss: 5.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: -8.168, 2.202 sec/game, 10.3 min. total, 509.6 MB
slashed_kooky v6 339 games, 264328 moves, e=0.738, loss: 5.5, -, 13.4% elo% vs. random_no_suicide, avg. reward: -8.172, 2.212 sec/game, 10.3 min. total, 510.4 MB
slashed_kooky v6 340 games, 265215 moves, e=0.737, loss: 5.4, -, 13.1% elo% vs. random_no_suicide, avg. reward: -8.152, 2.206 sec/game, 10.4 min. total, 510.2 MB
slashed_kooky v6 341 games, 266148 moves, e=0.737, loss: 5.6, -, 12.9% elo% vs. random_no_suicide, avg. reward: -8.140, 2.233 sec/game, 10.4 min. total, 510.4 MB
slashed_kooky v6 342 games, 267030 moves, e=0.736, loss: 5.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: -8.124, 2.234 sec/game, 10.4 min. total, 511.9 MB
slashed_kooky v6 343 games, 267969 moves, e=0.735, loss: 5.5, -, 12.4% elo% vs. random_no_suicide, avg. reward: -8.105, 2.237 sec/game, 10.5 min. total, 513.9 MB
slashed_kooky v6 344 games, 268740 moves, e=0.734, loss: 5.2, -, 12.1% elo% vs. random_no_suicide, avg. reward: -8.106, 2.217 sec/game, 10.5 min. total, 513.2 MB
slashed_kooky v6 345 games, 269520 moves, e=0.733, loss: 5.1, -, 11.9% elo% vs. random_no_suicide, avg. reward: -8.119, 2.192 sec/game, 10.6 min. total, 514.4 MB
slashed_kooky v6 346 games, 270294 moves, e=0.732, loss: 4.9, -, 11.7% elo% vs. random_no_suicide, avg. reward: -8.115, 2.179 sec/game, 10.6 min. total, 514.4 MB
slashed_kooky v6 347 games, 271087 moves, e=0.732, loss: 5.0, -, 11.4% elo% vs. random_no_suicide, avg. reward: -8.128, 2.167 sec/game, 10.6 min. total, 513.4 MB
slashed_kooky v6 348 games, 271947 moves, e=0.731, loss: 4.9, -, 11.2% elo% vs. random_no_suicide, avg. reward: -8.136, 2.152 sec/game, 10.7 min. total, 513.3 MB
slashed_kooky v6 349 games, 272844 moves, e=0.730, loss: 5.3, -, 11.0% elo% vs. random_no_suicide, avg. reward: -8.125, 2.165 sec/game, 10.7 min. total, 513.3 MB
slashed_kooky v6 350 games, 273620 moves, e=0.729, loss: 5.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: -8.140, 2.148 sec/game, 10.7 min. total, 513.4 MB
slashed_kooky v6 351 games, 274412 moves, e=0.728, loss: 5.4, -, 10.6% elo% vs. random_no_suicide, avg. reward: -8.142, 2.149 sec/game, 10.8 min. total, 513.5 MB
slashed_kooky v6 352 games, 275271 moves, e=0.727, loss: 5.4, -, 10.4% elo% vs. random_no_suicide, avg. reward: -8.124, 2.165 sec/game, 10.8 min. total, 513.8 MB
slashed_kooky v6 353 games, 276157 moves, e=0.727, loss: 6.0, -, 10.3% elo% vs. random_no_suicide, avg. reward: -8.113, 2.154 sec/game, 10.8 min. total, 512.7 MB
slashed_kooky v6 354 games, 277163 moves, e=0.726, loss: 5.9, -, 10.1% elo% vs. random_no_suicide, avg. reward: -8.087, 2.180 sec/game, 10.9 min. total, 514.8 MB
slashed_kooky v6 355 games, 277918 moves, e=0.725, loss: 5.9, -, 9.9% elo% vs. random_no_suicide, avg. reward: -8.112, 2.152 sec/game, 10.9 min. total, 514.7 MB
slashed_kooky v6 356 games, 278773 moves, e=0.724, loss: 5.4, -, 9.8% elo% vs. random_no_suicide, avg. reward: -8.122, 2.151 sec/game, 10.9 min. total, 514.9 MB
slashed_kooky v6 357 games, 279712 moves, e=0.723, loss: 5.5, -, 9.6% elo% vs. random_no_suicide, avg. reward: -8.114, 2.168 sec/game, 11.0 min. total, 515.3 MB
slashed_kooky v6 358 games, 280629 moves, e=0.722, loss: 5.7, -, 9.5% elo% vs. random_no_suicide, avg. reward: -8.089, 2.170 sec/game, 11.0 min. total, 515.2 MB
slashed_kooky v6 359 games, 281489 moves, e=0.721, loss: 5.7, -, 9.3% elo% vs. random_no_suicide, avg. reward: -8.090, 2.171 sec/game, 11.1 min. total, 515.5 MB
slashed_kooky v6 360 games, 282565 moves, e=0.720, loss: 5.7, -, 9.2% elo% vs. random_no_suicide, avg. reward: -8.076, 2.198 sec/game, 11.1 min. total, 515.8 MB
slashed_kooky v6 361 games, 283425 moves, e=0.719, loss: 5.4, -, 9.0% elo% vs. random_no_suicide, avg. reward: -8.074, 2.186 sec/game, 11.1 min. total, 517.3 MB
slashed_kooky v6 362 games, 284347 moves, e=0.718, loss: 5.6, -, 8.9% elo% vs. random_no_suicide, avg. reward: -8.053, 2.189 sec/game, 11.2 min. total, 517.1 MB
slashed_kooky v6 363 games, 285237 moves, e=0.718, loss: 5.3, -, 8.8% elo% vs. random_no_suicide, avg. reward: -8.051, 2.189 sec/game, 11.2 min. total, 518.1 MB
slashed_kooky v6 364 games, 286172 moves, e=0.717, loss: 5.5, -, 8.6% elo% vs. random_no_suicide, avg. reward: -8.055, 2.206 sec/game, 11.3 min. total, 518.2 MB
slashed_kooky v6 365 games, 287091 moves, e=0.716, loss: 5.5, -, 8.5% elo% vs. random_no_suicide, avg. reward: -8.053, 2.222 sec/game, 11.3 min. total, 518.4 MB
slashed_kooky v6 366 games, 288017 moves, e=0.715, loss: 5.7, -, 8.4% elo% vs. random_no_suicide, avg. reward: -8.056, 2.254 sec/game, 11.3 min. total, 519.6 MB
slashed_kooky v6 367 games, 288982 moves, e=0.714, loss: 5.4, -, 8.3% elo% vs. random_no_suicide, avg. reward: -8.045, 2.272 sec/game, 11.4 min. total, 518.6 MB
slashed_kooky v6 368 games, 289923 moves, e=0.713, loss: 5.6, -, 8.1% elo% vs. random_no_suicide, avg. reward: -8.028, 2.290 sec/game, 11.4 min. total, 518.9 MB
slashed_kooky v6 369 games, 290797 moves, e=0.712, loss: 5.4, -, 8.0% elo% vs. random_no_suicide, avg. reward: -8.019, 2.277 sec/game, 11.4 min. total, 519.5 MB
slashed_kooky v6 370 games, 291763 moves, e=0.711, loss: 5.3, -, 7.9% elo% vs. random_no_suicide, avg. reward: -8.003, 2.306 sec/game, 11.5 min. total, 520.4 MB
slashed_kooky v6 371 games, 292718 moves, e=0.710, loss: 5.6, -, 7.8% elo% vs. random_no_suicide, avg. reward: -7.976, 2.324 sec/game, 11.5 min. total, 522.5 MB
slashed_kooky v6 372 games, 293612 moves, e=0.709, loss: 5.2, -, 7.7% elo% vs. random_no_suicide, avg. reward: -7.959, 2.329 sec/game, 11.6 min. total, 521.6 MB
slashed_kooky v6 373 games, 294647 moves, e=0.708, loss: 5.0, -, 7.6% elo% vs. random_no_suicide, avg. reward: -7.951, 2.344 sec/game, 11.6 min. total, 521.5 MB
slashed_kooky v6 374 games, 295537 moves, e=0.707, loss: 5.0, -, 7.5% elo% vs. random_no_suicide, avg. reward: -7.948, 2.333 sec/game, 11.7 min. total, 522.8 MB
slashed_kooky v6 375 games, 296335 moves, e=0.707, loss: 5.4, -, 7.4% elo% vs. random_no_suicide, avg. reward: -7.960, 2.350 sec/game, 11.7 min. total, 522.0 MB
slashed_kooky v6 376 games, 297266 moves, e=0.706, loss: 5.5, -, 7.3% elo% vs. random_no_suicide, avg. reward: -7.939, 2.366 sec/game, 11.7 min. total, 522.0 MB
slashed_kooky v6 377 games, 298091 moves, e=0.705, loss: 5.3, -, 7.2% elo% vs. random_no_suicide, avg. reward: -7.943, 2.334 sec/game, 11.8 min. total, 522.1 MB
slashed_kooky v6 378 games, 298991 moves, e=0.704, loss: 5.5, -, 7.2% elo% vs. random_no_suicide, avg. reward: -7.945, 2.336 sec/game, 11.8 min. total, 522.1 MB
slashed_kooky v6 379 games, 299844 moves, e=0.703, loss: 5.4, -, 7.1% elo% vs. random_no_suicide, avg. reward: -7.944, 2.337 sec/game, 11.8 min. total, 522.3 MB
slashed_kooky v6 380 games, 300848 moves, e=0.702, loss: 5.3, -, 7.0% elo% vs. random_no_suicide, avg. reward: -7.918, 2.333 sec/game, 11.9 min. total, 523.8 MB
slashed_kooky v6 381 games, 301619 moves, e=0.701, loss: 5.9, -, 6.9% elo% vs. random_no_suicide, avg. reward: -7.924, 2.321 sec/game, 11.9 min. total, 523.5 MB
slashed_kooky v6 382 games, 302516 moves, e=0.701, loss: 5.8, -, 6.8% elo% vs. random_no_suicide, avg. reward: -7.920, 2.320 sec/game, 12.0 min. total, 523.8 MB
slashed_kooky v6 383 games, 303477 moves, e=0.700, loss: 5.6, -, 6.7% elo% vs. random_no_suicide, avg. reward: -7.906, 2.323 sec/game, 12.0 min. total, 523.9 MB
slashed_kooky v6 384 games, 304358 moves, e=0.699, loss: 5.5, -, 6.7% elo% vs. random_no_suicide, avg. reward: -7.869, 2.323 sec/game, 12.0 min. total, 524.2 MB
slashed_kooky v6 385 games, 305160 moves, e=0.698, loss: 5.3, -, 6.6% elo% vs. random_no_suicide, avg. reward: -7.890, 2.325 sec/game, 12.1 min. total, 524.2 MB
slashed_kooky v6 386 games, 306122 moves, e=0.697, loss: 5.6, -, 6.5% elo% vs. random_no_suicide, avg. reward: -7.861, 2.315 sec/game, 12.1 min. total, 524.5 MB
slashed_kooky v6 387 games, 307058 moves, e=0.696, loss: 5.7, -, 6.4% elo% vs. random_no_suicide, avg. reward: -7.856, 2.314 sec/game, 12.1 min. total, 525.6 MB
slashed_kooky v6 388 games, 308017 moves, e=0.695, loss: 5.7, -, 6.4% elo% vs. random_no_suicide, avg. reward: -7.840, 2.313 sec/game, 12.2 min. total, 525.9 MB
slashed_kooky v6 389 games, 308927 moves, e=0.694, loss: 5.9, -, 6.3% elo% vs. random_no_suicide, avg. reward: -7.840, 2.326 sec/game, 12.2 min. total, 526.6 MB
slashed_kooky v6 390 games, 309788 moves, e=0.693, loss: 6.2, -, 6.2% elo% vs. random_no_suicide, avg. reward: -7.828, 2.315 sec/game, 12.3 min. total, 527.4 MB
slashed_kooky v6 391 games, 310791 moves, e=0.692, loss: 5.8, -, 6.2% elo% vs. random_no_suicide, avg. reward: -7.814, 2.331 sec/game, 12.3 min. total, 526.6 MB
slashed_kooky v6 392 games, 311828 moves, e=0.691, loss: 5.6, -, 6.1% elo% vs. random_no_suicide, avg. reward: -7.804, 2.344 sec/game, 12.4 min. total, 527.1 MB
slashed_kooky v6 393 games, 312592 moves, e=0.691, loss: 5.4, -, 6.0% elo% vs. random_no_suicide, avg. reward: -7.806, 2.310 sec/game, 12.4 min. total, 527.1 MB
slashed_kooky v6 394 games, 313543 moves, e=0.690, loss: 5.3, -, 6.0% elo% vs. random_no_suicide, avg. reward: -7.790, 2.311 sec/game, 12.4 min. total, 527.0 MB
slashed_kooky v6 395 games, 314378 moves, e=0.689, loss: 5.7, -, 5.9% elo% vs. random_no_suicide, avg. reward: -7.797, 2.317 sec/game, 12.5 min. total, 527.4 MB
slashed_kooky v6 396 games, 315481 moves, e=0.688, loss: 5.8, -, 5.8% elo% vs. random_no_suicide, avg. reward: -7.773, 2.332 sec/game, 12.5 min. total, 527.5 MB
slashed_kooky v6 397 games, 316476 moves, e=0.687, loss: 5.6, -, 5.8% elo% vs. random_no_suicide, avg. reward: -7.752, 2.363 sec/game, 12.5 min. total, 527.5 MB
slashed_kooky v6 398 games, 317320 moves, e=0.686, loss: 5.8, -, 5.7% elo% vs. random_no_suicide, avg. reward: -7.747, 2.359 sec/game, 12.6 min. total, 527.5 MB
slashed_kooky v6 399 games, 318263 moves, e=0.685, loss: 6.1, -, 5.7% elo% vs. random_no_suicide, avg. reward: -7.742, 2.359 sec/game, 12.6 min. total, 529.2 MB
slashed_kooky v6 400 games, 319152 moves, e=0.684, loss: 5.9, -, 5.6% elo% vs. random_no_suicide, avg. reward: -7.736, 2.348 sec/game, 12.7 min. total, 529.5 MB
slashed_kooky v7 401 games, 319965 moves, e=0.683, loss: 5.7, -, 47.7% elo% vs. random_no_suicide, avg. reward: -7.750, 2.348 sec/game, 12.7 min. total, 529.6 MB
slashed_kooky v7 402 games, 320861 moves, e=0.682, loss: 6.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: -7.743, 2.351 sec/game, 12.7 min. total, 529.6 MB
slashed_kooky v7 403 games, 321870 moves, e=0.681, loss: 6.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: -7.742, 2.363 sec/game, 12.8 min. total, 529.0 MB
slashed_kooky v7 404 games, 322755 moves, e=0.680, loss: 5.8, -, 41.5% elo% vs. random_no_suicide, avg. reward: -7.730, 2.360 sec/game, 12.8 min. total, 529.7 MB
slashed_kooky v7 405 games, 323739 moves, e=0.679, loss: 5.8, -, 39.6% elo% vs. random_no_suicide, avg. reward: -7.708, 2.375 sec/game, 12.9 min. total, 529.9 MB
slashed_kooky v7 406 games, 324874 moves, e=0.678, loss: 5.6, -, 37.9% elo% vs. random_no_suicide, avg. reward: -7.686, 2.404 sec/game, 12.9 min. total, 531.0 MB
slashed_kooky v7 407 games, 325871 moves, e=0.677, loss: 5.9, -, 36.3% elo% vs. random_no_suicide, avg. reward: -7.675, 2.407 sec/game, 12.9 min. total, 530.8 MB
slashed_kooky v7 408 games, 326765 moves, e=0.677, loss: 5.7, -, 34.8% elo% vs. random_no_suicide, avg. reward: -7.654, 2.394 sec/game, 13.0 min. total, 531.9 MB
slashed_kooky v7 409 games, 327733 moves, e=0.676, loss: 5.9, -, 33.3% elo% vs. random_no_suicide, avg. reward: -7.629, 2.410 sec/game, 13.0 min. total, 531.9 MB
slashed_kooky v7 410 games, 328556 moves, e=0.675, loss: 5.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: -7.629, 2.393 sec/game, 13.1 min. total, 533.0 MB
slashed_kooky v7 411 games, 329441 moves, e=0.674, loss: 5.9, -, 30.7% elo% vs. random_no_suicide, avg. reward: -7.620, 2.375 sec/game, 13.1 min. total, 532.9 MB
slashed_kooky v7 412 games, 330444 moves, e=0.673, loss: 5.7, -, 29.5% elo% vs. random_no_suicide, avg. reward: -7.607, 2.372 sec/game, 13.1 min. total, 532.6 MB
slashed_kooky v7 413 games, 331350 moves, e=0.672, loss: 5.9, -, 28.4% elo% vs. random_no_suicide, avg. reward: -7.613, 2.393 sec/game, 13.2 min. total, 534.3 MB
slashed_kooky v7 414 games, 332162 moves, e=0.671, loss: 5.9, -, 27.3% elo% vs. random_no_suicide, avg. reward: -7.622, 2.388 sec/game, 13.2 min. total, 533.4 MB
slashed_kooky v7 415 games, 333103 moves, e=0.670, loss: 6.1, -, 26.4% elo% vs. random_no_suicide, avg. reward: -7.615, 2.383 sec/game, 13.3 min. total, 534.7 MB
slashed_kooky v7 416 games, 333975 moves, e=0.669, loss: 6.0, -, 25.4% elo% vs. random_no_suicide, avg. reward: -7.601, 2.370 sec/game, 13.3 min. total, 533.8 MB
slashed_kooky v7 417 games, 334936 moves, e=0.668, loss: 5.9, -, 24.5% elo% vs. random_no_suicide, avg. reward: -7.584, 2.356 sec/game, 13.3 min. total, 535.3 MB
slashed_kooky v7 418 games, 335995 moves, e=0.667, loss: 6.5, -, 23.7% elo% vs. random_no_suicide, avg. reward: -7.577, 2.380 sec/game, 13.4 min. total, 536.1 MB
slashed_kooky v7 419 games, 336879 moves, e=0.666, loss: 6.2, -, 22.9% elo% vs. random_no_suicide, avg. reward: -7.567, 2.382 sec/game, 13.4 min. total, 535.2 MB
slashed_kooky v7 420 games, 337791 moves, e=0.666, loss: 6.3, -, 22.2% elo% vs. random_no_suicide, avg. reward: -7.558, 2.382 sec/game, 13.5 min. total, 536.4 MB
slashed_kooky v7 421 games, 338754 moves, e=0.665, loss: 6.1, -, 21.5% elo% vs. random_no_suicide, avg. reward: -7.550, 2.408 sec/game, 13.5 min. total, 537.4 MB
slashed_kooky v7 422 games, 339862 moves, e=0.664, loss: 5.9, -, 20.8% elo% vs. random_no_suicide, avg. reward: -7.526, 2.437 sec/game, 13.5 min. total, 537.3 MB
slashed_kooky v7 423 games, 340786 moves, e=0.663, loss: 5.5, -, 20.2% elo% vs. random_no_suicide, avg. reward: -7.518, 2.427 sec/game, 13.6 min. total, 536.8 MB
slashed_kooky v7 424 games, 341721 moves, e=0.662, loss: 5.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: -7.512, 2.430 sec/game, 13.6 min. total, 536.6 MB
slashed_kooky v7 425 games, 342518 moves, e=0.661, loss: 5.8, -, 19.1% elo% vs. random_no_suicide, avg. reward: -7.524, 2.400 sec/game, 13.7 min. total, 536.4 MB
slashed_kooky v7 426 games, 343503 moves, e=0.660, loss: 6.1, -, 18.5% elo% vs. random_no_suicide, avg. reward: -7.518, 2.384 sec/game, 13.7 min. total, 536.7 MB
slashed_kooky v7 427 games, 344442 moves, e=0.659, loss: 6.1, -, 18.0% elo% vs. random_no_suicide, avg. reward: -7.516, 2.391 sec/game, 13.7 min. total, 538.7 MB
slashed_kooky v7 428 games, 345496 moves, e=0.658, loss: 5.5, -, 17.5% elo% vs. random_no_suicide, avg. reward: -7.516, 2.427 sec/game, 13.8 min. total, 537.9 MB
slashed_kooky v7 429 games, 346575 moves, e=0.657, loss: 5.8, -, 17.1% elo% vs. random_no_suicide, avg. reward: -7.489, 2.427 sec/game, 13.8 min. total, 539.2 MB
slashed_kooky v7 430 games, 347673 moves, e=0.656, loss: 5.5, -, 16.6% elo% vs. random_no_suicide, avg. reward: -7.468, 2.472 sec/game, 13.9 min. total, 538.2 MB
slashed_kooky v7 431 games, 348668 moves, e=0.655, loss: 5.5, -, 16.2% elo% vs. random_no_suicide, avg. reward: -7.445, 2.475 sec/game, 13.9 min. total, 538.5 MB
slashed_kooky v7 432 games, 349688 moves, e=0.654, loss: 5.5, -, 15.8% elo% vs. random_no_suicide, avg. reward: -7.426, 2.473 sec/game, 14.0 min. total, 538.9 MB
slashed_kooky v7 433 games, 350648 moves, e=0.653, loss: 5.5, -, 15.4% elo% vs. random_no_suicide, avg. reward: -7.425, 2.488 sec/game, 14.0 min. total, 539.0 MB
slashed_kooky v7 434 games, 351755 moves, e=0.652, loss: 5.7, -, 15.1% elo% vs. random_no_suicide, avg. reward: -7.399, 2.521 sec/game, 14.1 min. total, 539.4 MB
slashed_kooky v7 435 games, 352611 moves, e=0.651, loss: 5.4, -, 14.7% elo% vs. random_no_suicide, avg. reward: -7.408, 2.507 sec/game, 14.1 min. total, 540.8 MB
slashed_kooky v7 436 games, 353493 moves, e=0.650, loss: 5.5, -, 14.4% elo% vs. random_no_suicide, avg. reward: -7.402, 2.506 sec/game, 14.1 min. total, 542.3 MB
slashed_kooky v7 437 games, 354466 moves, e=0.649, loss: 5.3, -, 14.0% elo% vs. random_no_suicide, avg. reward: -7.390, 2.526 sec/game, 14.2 min. total, 541.5 MB
slashed_kooky v7 438 games, 355636 moves, e=0.648, loss: 5.4, -, 13.7% elo% vs. random_no_suicide, avg. reward: -7.372, 2.541 sec/game, 14.2 min. total, 541.6 MB
slashed_kooky v7 439 games, 356693 moves, e=0.647, loss: 5.4, -, 13.4% elo% vs. random_no_suicide, avg. reward: -7.353, 2.556 sec/game, 14.3 min. total, 541.4 MB
slashed_kooky v7 440 games, 357662 moves, e=0.646, loss: 5.5, -, 13.1% elo% vs. random_no_suicide, avg. reward: -7.344, 2.569 sec/game, 14.3 min. total, 541.7 MB
slashed_kooky v7 441 games, 358610 moves, e=0.645, loss: 5.1, -, 12.9% elo% vs. random_no_suicide, avg. reward: -7.342, 2.555 sec/game, 14.4 min. total, 541.8 MB
slashed_kooky v7 442 games, 359454 moves, e=0.644, loss: 5.4, -, 12.6% elo% vs. random_no_suicide, avg. reward: -7.344, 2.522 sec/game, 14.4 min. total, 542.2 MB
slashed_kooky v7 443 games, 360443 moves, e=0.643, loss: 5.5, -, 12.4% elo% vs. random_no_suicide, avg. reward: -7.341, 2.521 sec/game, 14.4 min. total, 542.4 MB
slashed_kooky v7 444 games, 361404 moves, e=0.642, loss: 5.3, -, 12.1% elo% vs. random_no_suicide, avg. reward: -7.320, 2.534 sec/game, 14.5 min. total, 543.6 MB
slashed_kooky v7 445 games, 362373 moves, e=0.641, loss: 5.2, -, 11.9% elo% vs. random_no_suicide, avg. reward: -7.300, 2.565 sec/game, 14.5 min. total, 543.4 MB
slashed_kooky v7 446 games, 363238 moves, e=0.640, loss: 5.7, -, 11.7% elo% vs. random_no_suicide, avg. reward: -7.292, 2.536 sec/game, 14.5 min. total, 544.0 MB
slashed_kooky v7 447 games, 364105 moves, e=0.640, loss: 5.2, -, 11.4% elo% vs. random_no_suicide, avg. reward: -7.280, 2.532 sec/game, 14.6 min. total, 544.0 MB
slashed_kooky v7 448 games, 365036 moves, e=0.639, loss: 5.2, -, 11.2% elo% vs. random_no_suicide, avg. reward: -7.270, 2.498 sec/game, 14.6 min. total, 544.2 MB
slashed_kooky v7 449 games, 365941 moves, e=0.638, loss: 5.5, -, 11.0% elo% vs. random_no_suicide, avg. reward: -7.276, 2.487 sec/game, 14.7 min. total, 544.2 MB
slashed_kooky v7 450 games, 366908 moves, e=0.637, loss: 5.5, -, 10.8% elo% vs. random_no_suicide, avg. reward: -7.258, 2.470 sec/game, 14.7 min. total, 544.2 MB
slashed_kooky v7 451 games, 367931 moves, e=0.636, loss: 5.2, -, 10.6% elo% vs. random_no_suicide, avg. reward: -7.237, 2.481 sec/game, 14.8 min. total, 544.5 MB
slashed_kooky v7 452 games, 368931 moves, e=0.635, loss: 5.4, -, 10.4% elo% vs. random_no_suicide, avg. reward: -7.225, 2.482 sec/game, 14.8 min. total, 544.6 MB
