slashed_kooky v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.0 MB
slashed_kooky v2 35 games, 24930 moves, e=0.975, loss: 7.1, +, 61.3% elo% vs. guard_bot, avg. reward: -9.856, 1.556 sec/game, 0.6 min. total, 434.8 MB
slashed_kooky v2 36 games, 25748 moves, e=0.975, loss: 7.1, +, 63.0% elo% vs. guard_bot, avg. reward: -9.815, 1.582 sec/game, 0.6 min. total, 435.4 MB
slashed_kooky v2 37 games, 26470 moves, e=0.974, loss: 7.3, ., 62.4% elo% vs. guard_bot, avg. reward: -9.809, 1.573 sec/game, 0.7 min. total, 435.2 MB
slashed_kooky v2 38 games, 27214 moves, e=0.973, loss: 6.9, ., 61.9% elo% vs. guard_bot, avg. reward: -9.796, 1.586 sec/game, 0.7 min. total, 435.5 MB
slashed_kooky v2 39 games, 27907 moves, e=0.972, loss: 7.3, +, 63.5% elo% vs. guard_bot, avg. reward: -9.799, 1.599 sec/game, 0.7 min. total, 435.4 MB
slashed_kooky v2 40 games, 28608 moves, e=0.972, loss: 7.0, ., 63.0% elo% vs. guard_bot, avg. reward: -9.806, 1.589 sec/game, 0.7 min. total, 435.6 MB
slashed_kooky v2 41 games, 29343 moves, e=0.971, loss: 7.2, +, 64.5% elo% vs. guard_bot, avg. reward: -9.797, 1.591 sec/game, 0.8 min. total, 435.7 MB
slashed_kooky v2 42 games, 30151 moves, e=0.970, loss: 7.1, +, 66.0% elo% vs. guard_bot, avg. reward: -9.762, 1.611 sec/game, 0.8 min. total, 435.9 MB
slashed_kooky v2 43 games, 30882 moves, e=0.969, loss: 7.2, +, 67.4% elo% vs. guard_bot, avg. reward: -9.766, 1.613 sec/game, 0.8 min. total, 435.9 MB
slashed_kooky v2 44 games, 31538 moves, e=0.969, loss: 7.6, +, 68.7% elo% vs. guard_bot, avg. reward: -9.795, 1.616 sec/game, 0.8 min. total, 436.5 MB
slashed_kooky v2 45 games, 32328 moves, e=0.968, loss: 7.0, ., 68.0% elo% vs. guard_bot, avg. reward: -9.769, 1.630 sec/game, 0.9 min. total, 436.8 MB
slashed_kooky v2 46 games, 33055 moves, e=0.967, loss: 7.3, ., 67.2% elo% vs. guard_bot, avg. reward: -9.771, 1.633 sec/game, 0.9 min. total, 437.4 MB
slashed_kooky v2 47 games, 33780 moves, e=0.967, loss: 7.4, +, 68.6% elo% vs. guard_bot, avg. reward: -9.760, 1.624 sec/game, 0.9 min. total, 438.0 MB
slashed_kooky v2 48 games, 34465 moves, e=0.966, loss: 7.4, +, 69.8% elo% vs. guard_bot, avg. reward: -9.772, 1.637 sec/game, 0.9 min. total, 438.6 MB
slashed_kooky v2 49 games, 35174 moves, e=0.965, loss: 8.2, ., 69.0% elo% vs. guard_bot, avg. reward: -9.775, 1.622 sec/game, 1.0 min. total, 438.7 MB
slashed_kooky v2 50 games, 35840 moves, e=0.965, loss: 7.9, ., 68.3% elo% vs. guard_bot, avg. reward: -9.793, 1.635 sec/game, 1.0 min. total, 440.6 MB
slashed_kooky v2 51 games, 36602 moves, e=0.964, loss: 8.3, +, 69.5% elo% vs. guard_bot, avg. reward: -9.783, 1.620 sec/game, 1.0 min. total, 440.9 MB
slashed_kooky v2 52 games, 37311 moves, e=0.963, loss: 8.0, +, 70.7% elo% vs. guard_bot, avg. reward: -9.781, 1.602 sec/game, 1.1 min. total, 440.8 MB
slashed_kooky v3 53 games, 37963 moves, e=0.962, loss: 8.2, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.800, 1.602 sec/game, 1.1 min. total, 439.8 MB
slashed_kooky v3 54 games, 38655 moves, e=0.962, loss: 8.2, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.812, 1.594 sec/game, 1.1 min. total, 439.7 MB
slashed_kooky v3 55 games, 39387 moves, e=0.961, loss: 8.1, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.807, 1.596 sec/game, 1.1 min. total, 440.3 MB
slashed_kooky v3 56 games, 40108 moves, e=0.960, loss: 7.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.808, 1.584 sec/game, 1.2 min. total, 440.4 MB
slashed_kooky v3 57 games, 40772 moves, e=0.960, loss: 7.6, -, 41.4% elo% vs. random_no_suicide, avg. reward: -9.825, 1.584 sec/game, 1.2 min. total, 440.9 MB
slashed_kooky v3 58 games, 41496 moves, e=0.959, loss: 7.3, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.825, 1.586 sec/game, 1.2 min. total, 443.3 MB
slashed_kooky v3 59 games, 42269 moves, e=0.958, loss: 6.9, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.812, 1.588 sec/game, 1.2 min. total, 442.2 MB
slashed_kooky v3 60 games, 42893 moves, e=0.958, loss: 6.6, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.841, 1.588 sec/game, 1.3 min. total, 443.2 MB
slashed_kooky v3 61 games, 43524 moves, e=0.957, loss: 7.2, -, 34.7% elo% vs. random_no_suicide, avg. reward: -9.865, 1.575 sec/game, 1.3 min. total, 442.8 MB
