sinless_impurity v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.5 MB
sinless_impurity v6 338 games, 265372 moves, e=0.737, loss: 41906.3, -, 13.7% elo% vs. random_no_suicide, avg. reward: 26.505, 2.590 sec/game, 11.6 min. total, 559.3 MB
sinless_impurity v6 339 games, 266257 moves, e=0.736, loss: 48426.8, -, 13.4% elo% vs. random_no_suicide, avg. reward: 26.731, 2.599 sec/game, 11.7 min. total, 558.9 MB
sinless_impurity v6 340 games, 267076 moves, e=0.736, loss: 51799.2, -, 13.1% elo% vs. random_no_suicide, avg. reward: 26.735, 2.594 sec/game, 11.7 min. total, 558.9 MB
sinless_impurity v6 341 games, 267933 moves, e=0.735, loss: 53133.4, -, 12.9% elo% vs. random_no_suicide, avg. reward: 26.650, 2.604 sec/game, 11.7 min. total, 558.8 MB
sinless_impurity v6 342 games, 268864 moves, e=0.734, loss: 49346.0, -, 12.6% elo% vs. random_no_suicide, avg. reward: 26.076, 2.637 sec/game, 11.8 min. total, 559.0 MB
sinless_impurity v6 343 games, 269823 moves, e=0.733, loss: 44915.2, -, 12.4% elo% vs. random_no_suicide, avg. reward: 26.056, 2.668 sec/game, 11.8 min. total, 559.1 MB
sinless_impurity v6 344 games, 270749 moves, e=0.732, loss: 43334.4, -, 12.1% elo% vs. random_no_suicide, avg. reward: 26.506, 2.681 sec/game, 11.9 min. total, 559.0 MB
sinless_impurity v6 345 games, 271541 moves, e=0.731, loss: 44526.2, -, 11.9% elo% vs. random_no_suicide, avg. reward: 26.667, 2.635 sec/game, 11.9 min. total, 559.2 MB
sinless_impurity v6 346 games, 272414 moves, e=0.730, loss: 44045.2, -, 11.7% elo% vs. random_no_suicide, avg. reward: 27.151, 2.687 sec/game, 12.0 min. total, 559.6 MB
sinless_impurity v6 347 games, 273415 moves, e=0.729, loss: 40703.1, -, 11.4% elo% vs. random_no_suicide, avg. reward: 27.281, 2.739 sec/game, 12.0 min. total, 561.3 MB
sinless_impurity v6 348 games, 274324 moves, e=0.728, loss: 40828.7, -, 11.2% elo% vs. random_no_suicide, avg. reward: 27.006, 2.749 sec/game, 12.1 min. total, 561.0 MB
sinless_impurity v6 349 games, 275151 moves, e=0.728, loss: 41585.6, -, 11.0% elo% vs. random_no_suicide, avg. reward: 26.907, 2.775 sec/game, 12.1 min. total, 561.2 MB
sinless_impurity v6 350 games, 275936 moves, e=0.727, loss: 40394.9, -, 10.8% elo% vs. random_no_suicide, avg. reward: 26.905, 2.748 sec/game, 12.2 min. total, 561.3 MB
sinless_impurity v6 351 games, 277001 moves, e=0.726, loss: 42327.6, +, 12.5% elo% vs. random_no_suicide, avg. reward: 27.236, 2.826 sec/game, 12.2 min. total, 565.1 MB
sinless_impurity v6 352 games, 277945 moves, e=0.725, loss: 42517.1, -, 12.3% elo% vs. random_no_suicide, avg. reward: 27.303, 2.839 sec/game, 12.3 min. total, 561.3 MB
sinless_impurity v6 353 games, 278720 moves, e=0.724, loss: 49799.3, -, 12.0% elo% vs. random_no_suicide, avg. reward: 27.439, 2.839 sec/game, 12.3 min. total, 561.8 MB
sinless_impurity v6 354 games, 279516 moves, e=0.723, loss: 58120.1, -, 11.8% elo% vs. random_no_suicide, avg. reward: 27.802, 2.874 sec/game, 12.4 min. total, 561.9 MB
sinless_impurity v6 355 games, 280504 moves, e=0.722, loss: 55878.7, -, 11.6% elo% vs. random_no_suicide, avg. reward: 27.538, 2.894 sec/game, 12.4 min. total, 562.6 MB
sinless_impurity v6 356 games, 281199 moves, e=0.722, loss: 51671.3, -, 11.3% elo% vs. random_no_suicide, avg. reward: 27.359, 2.862 sec/game, 12.5 min. total, 563.9 MB
sinless_impurity v6 357 games, 282081 moves, e=0.721, loss: 48925.8, -, 11.1% elo% vs. random_no_suicide, avg. reward: 27.331, 2.844 sec/game, 12.5 min. total, 563.7 MB
sinless_impurity v6 358 games, 282911 moves, e=0.720, loss: 46249.3, +, 12.9% elo% vs. random_no_suicide, avg. reward: 26.841, 2.810 sec/game, 12.5 min. total, 563.9 MB
sinless_impurity v6 359 games, 283794 moves, e=0.719, loss: 47115.8, -, 12.6% elo% vs. random_no_suicide, avg. reward: 27.764, 2.795 sec/game, 12.6 min. total, 563.8 MB
sinless_impurity v6 360 games, 284692 moves, e=0.718, loss: 49812.9, -, 12.3% elo% vs. random_no_suicide, avg. reward: 27.704, 2.805 sec/game, 12.6 min. total, 563.8 MB
sinless_impurity v6 361 games, 285650 moves, e=0.717, loss: 50279.4, -, 12.1% elo% vs. random_no_suicide, avg. reward: 28.149, 2.806 sec/game, 12.7 min. total, 563.7 MB
sinless_impurity v6 362 games, 286526 moves, e=0.716, loss: 53751.1, -, 11.9% elo% vs. random_no_suicide, avg. reward: 28.209, 2.787 sec/game, 12.7 min. total, 564.0 MB
sinless_impurity v6 363 games, 287327 moves, e=0.716, loss: 51093.8, -, 11.6% elo% vs. random_no_suicide, avg. reward: 27.988, 2.755 sec/game, 12.8 min. total, 564.2 MB
sinless_impurity v6 364 games, 288136 moves, e=0.715, loss: 48470.8, -, 11.4% elo% vs. random_no_suicide, avg. reward: 28.496, 2.725 sec/game, 12.8 min. total, 565.3 MB
sinless_impurity v6 365 games, 289026 moves, e=0.714, loss: 52825.9, -, 11.2% elo% vs. random_no_suicide, avg. reward: 28.964, 2.738 sec/game, 12.8 min. total, 566.7 MB
sinless_impurity v6 366 games, 289850 moves, e=0.713, loss: 53134.4, -, 11.0% elo% vs. random_no_suicide, avg. reward: 28.357, 2.677 sec/game, 12.9 min. total, 567.3 MB
sinless_impurity v6 367 games, 290809 moves, e=0.712, loss: 47679.1, -, 10.8% elo% vs. random_no_suicide, avg. reward: 27.775, 2.648 sec/game, 12.9 min. total, 567.4 MB
sinless_impurity v6 368 games, 291753 moves, e=0.711, loss: 42649.4, -, 10.6% elo% vs. random_no_suicide, avg. reward: 27.537, 2.654 sec/game, 13.0 min. total, 567.6 MB
sinless_impurity v6 369 games, 292682 moves, e=0.710, loss: 45120.5, -, 10.4% elo% vs. random_no_suicide, avg. reward: 27.606, 2.648 sec/game, 13.0 min. total, 567.6 MB
sinless_impurity v6 370 games, 293562 moves, e=0.709, loss: 47250.6, -, 10.3% elo% vs. random_no_suicide, avg. reward: 27.474, 2.662 sec/game, 13.1 min. total, 567.7 MB
sinless_impurity v6 371 games, 294443 moves, e=0.709, loss: 45509.4, -, 10.1% elo% vs. random_no_suicide, avg. reward: 27.940, 2.614 sec/game, 13.1 min. total, 567.8 MB
sinless_impurity v6 372 games, 295379 moves, e=0.708, loss: 42182.4, -, 9.9% elo% vs. random_no_suicide, avg. reward: 28.374, 2.612 sec/game, 13.2 min. total, 568.3 MB
sinless_impurity v6 373 games, 296319 moves, e=0.707, loss: 42955.3, -, 9.8% elo% vs. random_no_suicide, avg. reward: 29.021, 2.610 sec/game, 13.2 min. total, 568.4 MB
sinless_impurity v6 374 games, 297301 moves, e=0.706, loss: 42987.9, -, 9.6% elo% vs. random_no_suicide, avg. reward: 29.021, 2.606 sec/game, 13.2 min. total, 569.6 MB
sinless_impurity v6 375 games, 298163 moves, e=0.705, loss: 39760.9, -, 9.4% elo% vs. random_no_suicide, avg. reward: 29.498, 2.590 sec/game, 13.3 min. total, 569.7 MB
sinless_impurity v6 376 games, 299082 moves, e=0.704, loss: 39020.6, +, 11.0% elo% vs. random_no_suicide, avg. reward: 29.337, 2.616 sec/game, 13.3 min. total, 569.6 MB
sinless_impurity v6 377 games, 300030 moves, e=0.703, loss: 35254.0, -, 10.8% elo% vs. random_no_suicide, avg. reward: 29.421, 2.615 sec/game, 13.4 min. total, 569.5 MB
sinless_impurity v6 378 games, 301074 moves, e=0.702, loss: 37222.1, -, 10.6% elo% vs. random_no_suicide, avg. reward: 29.663, 2.647 sec/game, 13.4 min. total, 569.9 MB
sinless_impurity v6 379 games, 301919 moves, e=0.701, loss: 43610.7, -, 10.4% elo% vs. random_no_suicide, avg. reward: 29.693, 2.633 sec/game, 13.5 min. total, 569.8 MB
sinless_impurity v6 380 games, 302718 moves, e=0.700, loss: 48038.4, -, 10.2% elo% vs. random_no_suicide, avg. reward: 30.187, 2.614 sec/game, 13.5 min. total, 569.8 MB
sinless_impurity v6 381 games, 303708 moves, e=0.699, loss: 51457.5, -, 10.1% elo% vs. random_no_suicide, avg. reward: 29.830, 2.620 sec/game, 13.5 min. total, 569.5 MB
sinless_impurity v6 382 games, 304643 moves, e=0.698, loss: 51814.7, -, 9.9% elo% vs. random_no_suicide, avg. reward: 30.119, 2.634 sec/game, 13.6 min. total, 570.7 MB
sinless_impurity v6 383 games, 305555 moves, e=0.698, loss: 50701.5, -, 9.7% elo% vs. random_no_suicide, avg. reward: 30.574, 2.647 sec/game, 13.6 min. total, 572.0 MB
sinless_impurity v6 384 games, 306420 moves, e=0.697, loss: 52116.7, -, 9.6% elo% vs. random_no_suicide, avg. reward: 30.156, 2.641 sec/game, 13.7 min. total, 572.2 MB
sinless_impurity v6 385 games, 307465 moves, e=0.696, loss: 49518.8, -, 9.4% elo% vs. random_no_suicide, avg. reward: 30.293, 2.670 sec/game, 13.7 min. total, 572.2 MB
sinless_impurity v6 386 games, 308394 moves, e=0.695, loss: 51431.5, -, 9.3% elo% vs. random_no_suicide, avg. reward: 30.502, 2.673 sec/game, 13.8 min. total, 572.5 MB
sinless_impurity v6 387 games, 309257 moves, e=0.694, loss: 44693.2, -, 9.1% elo% vs. random_no_suicide, avg. reward: 30.410, 2.663 sec/game, 13.8 min. total, 572.5 MB
sinless_impurity v6 388 games, 310151 moves, e=0.693, loss: 47098.0, -, 9.0% elo% vs. random_no_suicide, avg. reward: 29.970, 2.646 sec/game, 13.9 min. total, 572.4 MB
sinless_impurity v6 389 games, 311044 moves, e=0.692, loss: 50272.8, -, 8.9% elo% vs. random_no_suicide, avg. reward: 30.035, 2.636 sec/game, 13.9 min. total, 572.7 MB
sinless_impurity v6 390 games, 311825 moves, e=0.691, loss: 46261.9, -, 8.7% elo% vs. random_no_suicide, avg. reward: 29.481, 2.616 sec/game, 13.9 min. total, 572.7 MB
sinless_impurity v6 391 games, 312711 moves, e=0.690, loss: 41517.4, -, 8.6% elo% vs. random_no_suicide, avg. reward: 29.481, 2.615 sec/game, 14.0 min. total, 572.8 MB
sinless_impurity v6 392 games, 313663 moves, e=0.689, loss: 42091.7, -, 8.5% elo% vs. random_no_suicide, avg. reward: 29.455, 2.611 sec/game, 14.0 min. total, 574.1 MB
sinless_impurity v6 393 games, 314494 moves, e=0.689, loss: 38621.5, -, 8.4% elo% vs. random_no_suicide, avg. reward: 29.283, 2.597 sec/game, 14.1 min. total, 575.7 MB
sinless_impurity v6 394 games, 315280 moves, e=0.688, loss: 37989.9, -, 8.2% elo% vs. random_no_suicide, avg. reward: 29.271, 2.580 sec/game, 14.1 min. total, 575.3 MB
sinless_impurity v6 395 games, 316239 moves, e=0.687, loss: 34010.5, -, 8.1% elo% vs. random_no_suicide, avg. reward: 28.769, 2.575 sec/game, 14.1 min. total, 575.4 MB
sinless_impurity v6 396 games, 317221 moves, e=0.686, loss: 32514.5, +, 9.5% elo% vs. random_no_suicide, avg. reward: 28.813, 2.593 sec/game, 14.2 min. total, 575.6 MB
sinless_impurity v6 397 games, 318148 moves, e=0.685, loss: 32793.0, -, 9.3% elo% vs. random_no_suicide, avg. reward: 28.151, 2.598 sec/game, 14.2 min. total, 575.5 MB
sinless_impurity v6 398 games, 319239 moves, e=0.684, loss: 25577.7, +, 10.8% elo% vs. random_no_suicide, avg. reward: 28.433, 2.605 sec/game, 14.3 min. total, 575.4 MB
sinless_impurity v6 399 games, 320120 moves, e=0.683, loss: 25797.9, -, 10.7% elo% vs. random_no_suicide, avg. reward: 28.438, 2.610 sec/game, 14.3 min. total, 575.6 MB
sinless_impurity v6 400 games, 321096 moves, e=0.682, loss: 24947.5, -, 10.5% elo% vs. random_no_suicide, avg. reward: 28.754, 2.658 sec/game, 14.4 min. total, 575.7 MB
sinless_impurity v7 401 games, 322050 moves, e=0.681, loss: 22533.0, -, 47.7% elo% vs. random_no_suicide, avg. reward: 28.202, 2.663 sec/game, 14.4 min. total, 576.6 MB
sinless_impurity v7 402 games, 322946 moves, e=0.680, loss: 19286.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: 28.287, 2.668 sec/game, 14.5 min. total, 577.1 MB
sinless_impurity v7 403 games, 323920 moves, e=0.679, loss: 22694.0, +, 48.0% elo% vs. random_no_suicide, avg. reward: 28.433, 2.706 sec/game, 14.5 min. total, 580.8 MB
sinless_impurity v7 404 games, 324875 moves, e=0.678, loss: 22767.2, -, 45.8% elo% vs. random_no_suicide, avg. reward: 28.539, 2.737 sec/game, 14.6 min. total, 577.2 MB
sinless_impurity v7 405 games, 325727 moves, e=0.678, loss: 23078.7, -, 43.7% elo% vs. random_no_suicide, avg. reward: 28.577, 2.695 sec/game, 14.6 min. total, 577.2 MB
sinless_impurity v7 406 games, 326616 moves, e=0.677, loss: 32484.5, -, 41.8% elo% vs. random_no_suicide, avg. reward: 28.689, 2.702 sec/game, 14.7 min. total, 577.2 MB
sinless_impurity v7 407 games, 327693 moves, e=0.676, loss: 35681.8, -, 39.9% elo% vs. random_no_suicide, avg. reward: 28.506, 2.749 sec/game, 14.7 min. total, 577.3 MB
sinless_impurity v7 408 games, 328620 moves, e=0.675, loss: 41907.9, -, 38.1% elo% vs. random_no_suicide, avg. reward: 28.683, 2.753 sec/game, 14.8 min. total, 577.4 MB
sinless_impurity v7 409 games, 329541 moves, e=0.674, loss: 38611.7, -, 36.5% elo% vs. random_no_suicide, avg. reward: 29.366, 2.762 sec/game, 14.8 min. total, 578.6 MB
sinless_impurity v7 410 games, 330421 moves, e=0.673, loss: 49314.8, -, 35.0% elo% vs. random_no_suicide, avg. reward: 29.326, 2.781 sec/game, 14.9 min. total, 579.6 MB
sinless_impurity v7 411 games, 331325 moves, e=0.672, loss: 49187.7, -, 33.5% elo% vs. random_no_suicide, avg. reward: 29.198, 2.788 sec/game, 14.9 min. total, 579.6 MB
sinless_impurity v7 412 games, 332114 moves, e=0.671, loss: 51675.1, -, 32.1% elo% vs. random_no_suicide, avg. reward: 29.574, 2.774 sec/game, 15.0 min. total, 579.8 MB
sinless_impurity v7 413 games, 333004 moves, e=0.670, loss: 49018.2, -, 30.9% elo% vs. random_no_suicide, avg. reward: 29.649, 2.791 sec/game, 15.0 min. total, 579.8 MB
sinless_impurity v7 414 games, 333952 moves, e=0.669, loss: 51308.5, -, 29.7% elo% vs. random_no_suicide, avg. reward: 29.488, 2.810 sec/game, 15.0 min. total, 579.8 MB
sinless_impurity v7 415 games, 334848 moves, e=0.669, loss: 51865.6, -, 28.5% elo% vs. random_no_suicide, avg. reward: 30.052, 2.811 sec/game, 15.1 min. total, 579.7 MB
sinless_impurity v7 416 games, 335875 moves, e=0.667, loss: 53569.1, -, 27.5% elo% vs. random_no_suicide, avg. reward: 30.352, 2.814 sec/game, 15.1 min. total, 579.7 MB
sinless_impurity v7 417 games, 336719 moves, e=0.667, loss: 54531.6, -, 26.5% elo% vs. random_no_suicide, avg. reward: 30.819, 2.797 sec/game, 15.2 min. total, 580.7 MB
sinless_impurity v7 418 games, 337610 moves, e=0.666, loss: 50761.8, -, 25.5% elo% vs. random_no_suicide, avg. reward: 30.585, 2.764 sec/game, 15.2 min. total, 582.7 MB
sinless_impurity v7 419 games, 338470 moves, e=0.665, loss: 47696.7, -, 24.7% elo% vs. random_no_suicide, avg. reward: 30.218, 2.773 sec/game, 15.3 min. total, 584.5 MB
sinless_impurity v7 420 games, 339302 moves, e=0.664, loss: 53560.5, -, 23.8% elo% vs. random_no_suicide, avg. reward: 30.698, 2.739 sec/game, 15.3 min. total, 584.4 MB
sinless_impurity v7 421 games, 340149 moves, e=0.663, loss: 50761.4, -, 23.0% elo% vs. random_no_suicide, avg. reward: 30.090, 2.718 sec/game, 15.3 min. total, 584.8 MB
sinless_impurity v7 422 games, 341249 moves, e=0.662, loss: 49008.5, -, 22.3% elo% vs. random_no_suicide, avg. reward: 29.999, 2.729 sec/game, 15.4 min. total, 584.7 MB
sinless_impurity v7 423 games, 342151 moves, e=0.661, loss: 47996.5, -, 21.6% elo% vs. random_no_suicide, avg. reward: 30.788, 2.692 sec/game, 15.4 min. total, 584.7 MB
sinless_impurity v7 424 games, 343068 moves, e=0.660, loss: 43199.9, -, 20.9% elo% vs. random_no_suicide, avg. reward: 30.692, 2.671 sec/game, 15.5 min. total, 584.9 MB
sinless_impurity v7 425 games, 343990 moves, e=0.659, loss: 41741.2, -, 20.3% elo% vs. random_no_suicide, avg. reward: 30.909, 2.684 sec/game, 15.5 min. total, 585.3 MB
sinless_impurity v7 426 games, 344942 moves, e=0.659, loss: 45433.4, -, 19.7% elo% vs. random_no_suicide, avg. reward: 31.006, 2.681 sec/game, 15.6 min. total, 585.5 MB
sinless_impurity v7 427 games, 345904 moves, e=0.658, loss: 43250.8, -, 19.1% elo% vs. random_no_suicide, avg. reward: 30.838, 2.651 sec/game, 15.6 min. total, 585.3 MB
sinless_impurity v7 428 games, 346803 moves, e=0.657, loss: 46376.0, -, 18.6% elo% vs. random_no_suicide, avg. reward: 31.513, 2.648 sec/game, 15.7 min. total, 586.5 MB
sinless_impurity v7 429 games, 347880 moves, e=0.656, loss: 48845.4, -, 18.1% elo% vs. random_no_suicide, avg. reward: 31.049, 2.661 sec/game, 15.7 min. total, 586.6 MB
sinless_impurity v7 430 games, 348817 moves, e=0.655, loss: 45825.3, -, 17.6% elo% vs. random_no_suicide, avg. reward: 31.046, 2.675 sec/game, 15.8 min. total, 586.8 MB
sinless_impurity v7 431 games, 349640 moves, e=0.654, loss: 39736.4, -, 17.1% elo% vs. random_no_suicide, avg. reward: 30.998, 2.657 sec/game, 15.8 min. total, 586.7 MB
sinless_impurity v7 432 games, 350535 moves, e=0.653, loss: 47609.2, -, 16.7% elo% vs. random_no_suicide, avg. reward: 31.075, 2.670 sec/game, 15.8 min. total, 586.7 MB
sinless_impurity v7 433 games, 351521 moves, e=0.652, loss: 47628.6, -, 16.3% elo% vs. random_no_suicide, avg. reward: 31.285, 2.687 sec/game, 15.9 min. total, 587.1 MB
sinless_impurity v7 434 games, 352545 moves, e=0.651, loss: 45634.4, -, 15.9% elo% vs. random_no_suicide, avg. reward: 31.626, 2.689 sec/game, 15.9 min. total, 587.4 MB
sinless_impurity v7 435 games, 353446 moves, e=0.650, loss: 44196.5, -, 15.5% elo% vs. random_no_suicide, avg. reward: 31.517, 2.692 sec/game, 16.0 min. total, 587.9 MB
sinless_impurity v7 436 games, 354320 moves, e=0.649, loss: 48486.2, -, 15.1% elo% vs. random_no_suicide, avg. reward: 31.550, 2.675 sec/game, 16.0 min. total, 589.7 MB
sinless_impurity v7 437 games, 355338 moves, e=0.648, loss: 49312.7, -, 14.7% elo% vs. random_no_suicide, avg. reward: 31.751, 2.705 sec/game, 16.1 min. total, 590.1 MB
sinless_impurity v7 438 games, 356430 moves, e=0.647, loss: 51711.3, -, 14.4% elo% vs. random_no_suicide, avg. reward: 31.890, 2.722 sec/game, 16.1 min. total, 589.9 MB
sinless_impurity v7 439 games, 357356 moves, e=0.646, loss: 51237.2, -, 14.1% elo% vs. random_no_suicide, avg. reward: 32.097, 2.723 sec/game, 16.2 min. total, 590.0 MB
sinless_impurity v7 440 games, 358328 moves, e=0.645, loss: 50067.0, -, 13.8% elo% vs. random_no_suicide, avg. reward: 31.618, 2.746 sec/game, 16.2 min. total, 590.1 MB
sinless_impurity v7 441 games, 359223 moves, e=0.644, loss: 51651.5, -, 13.5% elo% vs. random_no_suicide, avg. reward: 31.156, 2.753 sec/game, 16.3 min. total, 590.3 MB
sinless_impurity v7 442 games, 360272 moves, e=0.643, loss: 54528.6, -, 13.2% elo% vs. random_no_suicide, avg. reward: 31.547, 2.744 sec/game, 16.3 min. total, 590.6 MB
sinless_impurity v7 443 games, 361167 moves, e=0.642, loss: 49545.8, -, 12.9% elo% vs. random_no_suicide, avg. reward: 31.684, 2.745 sec/game, 16.4 min. total, 590.7 MB
sinless_impurity v7 444 games, 362137 moves, e=0.641, loss: 48676.4, -, 12.6% elo% vs. random_no_suicide, avg. reward: 31.258, 2.758 sec/game, 16.4 min. total, 590.7 MB
sinless_impurity v7 445 games, 363163 moves, e=0.640, loss: 44777.6, -, 12.4% elo% vs. random_no_suicide, avg. reward: 31.138, 2.776 sec/game, 16.5 min. total, 591.5 MB
sinless_impurity v7 446 games, 364172 moves, e=0.639, loss: 38951.9, -, 12.1% elo% vs. random_no_suicide, avg. reward: 30.984, 2.786 sec/game, 16.5 min. total, 592.2 MB
sinless_impurity v7 447 games, 365237 moves, e=0.638, loss: 38541.9, -, 11.9% elo% vs. random_no_suicide, avg. reward: 30.768, 2.789 sec/game, 16.5 min. total, 592.1 MB
sinless_impurity v7 448 games, 366325 moves, e=0.637, loss: 38061.9, -, 11.7% elo% vs. random_no_suicide, avg. reward: 30.909, 2.862 sec/game, 16.6 min. total, 592.2 MB
sinless_impurity v7 449 games, 367417 moves, e=0.636, loss: 37040.2, -, 11.5% elo% vs. random_no_suicide, avg. reward: 31.119, 2.890 sec/game, 16.7 min. total, 592.3 MB
sinless_impurity v7 450 games, 368373 moves, e=0.635, loss: 35776.9, +, 13.2% elo% vs. random_no_suicide, avg. reward: 31.022, 2.877 sec/game, 16.7 min. total, 592.9 MB
sinless_impurity v7 451 games, 369370 moves, e=0.634, loss: 41569.2, -, 12.9% elo% vs. random_no_suicide, avg. reward: 30.753, 2.913 sec/game, 16.8 min. total, 593.1 MB
sinless_impurity v7 452 games, 370366 moves, e=0.633, loss: 43589.5, -, 12.7% elo% vs. random_no_suicide, avg. reward: 30.724, 2.930 sec/game, 16.8 min. total, 593.4 MB
sinless_impurity v7 453 games, 371340 moves, e=0.632, loss: 53835.7, -, 12.4% elo% vs. random_no_suicide, avg. reward: 30.536, 2.929 sec/game, 16.9 min. total, 594.6 MB
sinless_impurity v7 454 games, 372221 moves, e=0.632, loss: 50159.5, -, 12.2% elo% vs. random_no_suicide, avg. reward: 30.165, 2.899 sec/game, 16.9 min. total, 594.8 MB
sinless_impurity v7 455 games, 373066 moves, e=0.631, loss: 47521.1, -, 11.9% elo% vs. random_no_suicide, avg. reward: 30.508, 2.916 sec/game, 17.0 min. total, 594.6 MB
sinless_impurity v7 456 games, 374150 moves, e=0.630, loss: 45929.9, -, 11.7% elo% vs. random_no_suicide, avg. reward: 30.536, 2.976 sec/game, 17.0 min. total, 594.9 MB
sinless_impurity v7 457 games, 375046 moves, e=0.629, loss: 44662.1, -, 11.5% elo% vs. random_no_suicide, avg. reward: 30.531, 2.997 sec/game, 17.1 min. total, 595.0 MB
sinless_impurity v7 458 games, 375951 moves, e=0.628, loss: 42270.8, -, 11.3% elo% vs. random_no_suicide, avg. reward: 30.987, 3.011 sec/game, 17.1 min. total, 595.2 MB
sinless_impurity v7 459 games, 376816 moves, e=0.627, loss: 51621.5, -, 11.1% elo% vs. random_no_suicide, avg. reward: 30.536, 3.008 sec/game, 17.2 min. total, 595.0 MB
sinless_impurity v7 460 games, 377673 moves, e=0.626, loss: 48315.6, -, 10.9% elo% vs. random_no_suicide, avg. reward: 30.088, 2.996 sec/game, 17.2 min. total, 595.1 MB
sinless_impurity v7 461 games, 378809 moves, e=0.625, loss: 42454.3, -, 10.7% elo% vs. random_no_suicide, avg. reward: 30.033, 3.033 sec/game, 17.3 min. total, 596.7 MB
sinless_impurity v7 462 games, 379746 moves, e=0.624, loss: 37859.5, -, 10.5% elo% vs. random_no_suicide, avg. reward: 30.003, 3.017 sec/game, 17.3 min. total, 598.2 MB
sinless_impurity v7 463 games, 380688 moves, e=0.623, loss: 43584.7, -, 10.3% elo% vs. random_no_suicide, avg. reward: 30.066, 3.040 sec/game, 17.4 min. total, 598.2 MB
sinless_impurity v7 464 games, 381710 moves, e=0.622, loss: 46117.4, -, 10.1% elo% vs. random_no_suicide, avg. reward: 29.930, 3.050 sec/game, 17.4 min. total, 598.2 MB
sinless_impurity v7 465 games, 382687 moves, e=0.621, loss: 43153.4, -, 10.0% elo% vs. random_no_suicide, avg. reward: 29.793, 3.040 sec/game, 17.5 min. total, 598.2 MB
sinless_impurity v7 466 games, 383529 moves, e=0.620, loss: 51470.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: 30.150, 3.033 sec/game, 17.5 min. total, 598.0 MB
sinless_impurity v7 467 games, 384469 moves, e=0.619, loss: 51322.7, -, 9.6% elo% vs. random_no_suicide, avg. reward: 30.464, 3.028 sec/game, 17.6 min. total, 598.2 MB
sinless_impurity v7 468 games, 385398 moves, e=0.618, loss: 55000.0, -, 9.5% elo% vs. random_no_suicide, avg. reward: 30.891, 2.970 sec/game, 17.6 min. total, 598.2 MB
sinless_impurity v7 469 games, 386339 moves, e=0.618, loss: 49913.1, -, 9.3% elo% vs. random_no_suicide, avg. reward: 30.883, 2.952 sec/game, 17.7 min. total, 598.7 MB
sinless_impurity v7 470 games, 387297 moves, e=0.617, loss: 47030.3, -, 9.2% elo% vs. random_no_suicide, avg. reward: 30.672, 2.959 sec/game, 17.7 min. total, 600.3 MB
sinless_impurity v7 471 games, 388426 moves, e=0.615, loss: 48145.1, -, 9.1% elo% vs. random_no_suicide, avg. reward: 30.681, 2.984 sec/game, 17.8 min. total, 600.9 MB
sinless_impurity v7 472 games, 389358 moves, e=0.615, loss: 49872.6, +, 10.5% elo% vs. random_no_suicide, avg. reward: 30.682, 2.975 sec/game, 17.8 min. total, 601.3 MB
sinless_impurity v7 473 games, 390361 moves, e=0.614, loss: 45331.3, -, 10.4% elo% vs. random_no_suicide, avg. reward: 30.645, 2.980 sec/game, 17.9 min. total, 601.2 MB
sinless_impurity v7 474 games, 391248 moves, e=0.613, loss: 43476.0, -, 10.2% elo% vs. random_no_suicide, avg. reward: 31.085, 2.999 sec/game, 17.9 min. total, 601.0 MB
sinless_impurity v7 475 games, 392168 moves, e=0.612, loss: 46759.4, -, 10.0% elo% vs. random_no_suicide, avg. reward: 31.279, 2.987 sec/game, 18.0 min. total, 601.1 MB
sinless_impurity v7 476 games, 393112 moves, e=0.611, loss: 48869.5, -, 9.8% elo% vs. random_no_suicide, avg. reward: 30.849, 2.950 sec/game, 18.0 min. total, 601.3 MB
sinless_impurity v7 477 games, 394051 moves, e=0.610, loss: 49615.7, -, 9.7% elo% vs. random_no_suicide, avg. reward: 30.852, 2.922 sec/game, 18.0 min. total, 601.1 MB
sinless_impurity v7 478 games, 394924 moves, e=0.609, loss: 49404.9, -, 9.5% elo% vs. random_no_suicide, avg. reward: 30.931, 2.894 sec/game, 18.1 min. total, 601.8 MB
sinless_impurity v7 479 games, 396031 moves, e=0.608, loss: 52305.9, -, 9.4% elo% vs. random_no_suicide, avg. reward: 30.932, 2.923 sec/game, 18.1 min. total, 603.5 MB
sinless_impurity v7 480 games, 397126 moves, e=0.607, loss: 44864.7, -, 9.2% elo% vs. random_no_suicide, avg. reward: 30.913, 2.995 sec/game, 18.2 min. total, 603.8 MB
sinless_impurity v7 481 games, 397936 moves, e=0.606, loss: 48836.4, -, 9.1% elo% vs. random_no_suicide, avg. reward: 30.490, 2.956 sec/game, 18.3 min. total, 603.8 MB
sinless_impurity v7 482 games, 398815 moves, e=0.605, loss: 50475.3, -, 9.0% elo% vs. random_no_suicide, avg. reward: 30.413, 2.956 sec/game, 18.3 min. total, 603.5 MB
sinless_impurity v7 483 games, 399868 moves, e=0.604, loss: 48175.5, -, 8.8% elo% vs. random_no_suicide, avg. reward: 29.984, 2.961 sec/game, 18.4 min. total, 604.1 MB
