shelter_stage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.0 MB
shelter_stage v7 432 games, 349450 moves, e=0.654, loss: 2.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: -6.432, 2.188 sec/game, 12.0 min. total, 570.5 MB
shelter_stage v7 433 games, 350395 moves, e=0.653, loss: 2.5, -, 20.8% elo% vs. random_no_suicide, avg. reward: -6.428, 2.193 sec/game, 12.0 min. total, 570.6 MB
shelter_stage v7 434 games, 351460 moves, e=0.652, loss: 2.4, -, 20.2% elo% vs. random_no_suicide, avg. reward: -6.416, 2.225 sec/game, 12.1 min. total, 570.6 MB
shelter_stage v7 435 games, 352481 moves, e=0.651, loss: 2.4, -, 19.6% elo% vs. random_no_suicide, avg. reward: -6.397, 2.241 sec/game, 12.1 min. total, 571.3 MB
shelter_stage v7 436 games, 353577 moves, e=0.650, loss: 2.6, -, 19.1% elo% vs. random_no_suicide, avg. reward: -6.379, 2.252 sec/game, 12.2 min. total, 571.3 MB
shelter_stage v7 437 games, 354532 moves, e=0.649, loss: 2.6, -, 18.5% elo% vs. random_no_suicide, avg. reward: -6.373, 2.227 sec/game, 12.2 min. total, 573.3 MB
shelter_stage v7 438 games, 355414 moves, e=0.648, loss: 2.6, -, 18.0% elo% vs. random_no_suicide, avg. reward: -6.368, 2.224 sec/game, 12.2 min. total, 571.3 MB
shelter_stage v7 439 games, 356520 moves, e=0.647, loss: 2.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: -6.333, 2.253 sec/game, 12.3 min. total, 573.8 MB
shelter_stage v7 440 games, 357889 moves, e=0.646, loss: 2.7, -, 17.1% elo% vs. random_no_suicide, avg. reward: -6.304, 2.314 sec/game, 12.3 min. total, 573.8 MB
shelter_stage v7 441 games, 358924 moves, e=0.645, loss: 2.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: -6.296, 2.304 sec/game, 12.4 min. total, 574.4 MB
shelter_stage v7 442 games, 360002 moves, e=0.644, loss: 2.5, -, 16.2% elo% vs. random_no_suicide, avg. reward: -6.257, 2.318 sec/game, 12.4 min. total, 574.4 MB
shelter_stage v7 443 games, 360915 moves, e=0.643, loss: 2.5, +, 18.4% elo% vs. random_no_suicide, avg. reward: -6.264, 2.314 sec/game, 12.4 min. total, 574.1 MB
shelter_stage v7 444 games, 361926 moves, e=0.642, loss: 2.5, -, 17.9% elo% vs. random_no_suicide, avg. reward: -6.243, 2.324 sec/game, 12.5 min. total, 575.5 MB
shelter_stage v7 445 games, 362842 moves, e=0.641, loss: 2.2, -, 17.4% elo% vs. random_no_suicide, avg. reward: -6.240, 2.309 sec/game, 12.5 min. total, 573.7 MB
shelter_stage v7 446 games, 363754 moves, e=0.640, loss: 2.3, -, 17.0% elo% vs. random_no_suicide, avg. reward: -6.242, 2.311 sec/game, 12.5 min. total, 576.5 MB
shelter_stage v7 447 games, 364789 moves, e=0.639, loss: 2.4, -, 16.5% elo% vs. random_no_suicide, avg. reward: -6.233, 2.321 sec/game, 12.6 min. total, 576.5 MB
shelter_stage v7 448 games, 365679 moves, e=0.638, loss: 2.4, +, 18.8% elo% vs. random_no_suicide, avg. reward: -6.220, 2.295 sec/game, 12.6 min. total, 576.1 MB
shelter_stage v7 449 games, 366782 moves, e=0.637, loss: 2.5, -, 18.2% elo% vs. random_no_suicide, avg. reward: -6.201, 2.312 sec/game, 12.7 min. total, 576.8 MB
shelter_stage v7 450 games, 367909 moves, e=0.636, loss: 2.7, -, 17.7% elo% vs. random_no_suicide, avg. reward: -6.188, 2.312 sec/game, 12.7 min. total, 576.4 MB
shelter_stage v7 451 games, 368938 moves, e=0.635, loss: 2.8, +, 20.1% elo% vs. random_no_suicide, avg. reward: -6.193, 2.327 sec/game, 12.7 min. total, 576.7 MB
shelter_stage v7 452 games, 369924 moves, e=0.634, loss: 2.6, -, 19.5% elo% vs. random_no_suicide, avg. reward: -6.193, 2.350 sec/game, 12.8 min. total, 578.5 MB
shelter_stage v7 453 games, 370919 moves, e=0.633, loss: 2.5, -, 18.9% elo% vs. random_no_suicide, avg. reward: -6.188, 2.359 sec/game, 12.8 min. total, 578.5 MB
shelter_stage v7 454 games, 371985 moves, e=0.632, loss: 2.7, -, 18.4% elo% vs. random_no_suicide, avg. reward: -6.171, 2.382 sec/game, 12.9 min. total, 578.5 MB
shelter_stage v7 455 games, 373026 moves, e=0.631, loss: 2.8, -, 17.9% elo% vs. random_no_suicide, avg. reward: -6.158, 2.379 sec/game, 12.9 min. total, 578.5 MB
shelter_stage v7 456 games, 373988 moves, e=0.630, loss: 3.2, -, 17.4% elo% vs. random_no_suicide, avg. reward: -6.155, 2.345 sec/game, 12.9 min. total, 578.7 MB
shelter_stage v7 457 games, 375010 moves, e=0.629, loss: 2.8, -, 17.0% elo% vs. random_no_suicide, avg. reward: -6.146, 2.352 sec/game, 13.0 min. total, 578.9 MB
shelter_stage v7 458 games, 375988 moves, e=0.628, loss: 2.8, -, 16.5% elo% vs. random_no_suicide, avg. reward: -6.153, 2.358 sec/game, 13.0 min. total, 578.9 MB
shelter_stage v7 459 games, 376797 moves, e=0.627, loss: 3.0, -, 16.1% elo% vs. random_no_suicide, avg. reward: -6.166, 2.330 sec/game, 13.1 min. total, 579.3 MB
shelter_stage v7 460 games, 377873 moves, e=0.626, loss: 3.6, -, 15.7% elo% vs. random_no_suicide, avg. reward: -6.159, 2.321 sec/game, 13.1 min. total, 580.7 MB
shelter_stage v7 461 games, 378883 moves, e=0.625, loss: 3.5, +, 17.9% elo% vs. random_no_suicide, avg. reward: -6.161, 2.333 sec/game, 13.1 min. total, 579.8 MB
shelter_stage v7 462 games, 379899 moves, e=0.624, loss: 3.4, ., 18.8% elo% vs. random_no_suicide, avg. reward: -6.143, 2.320 sec/game, 13.2 min. total, 580.0 MB
shelter_stage v7 463 games, 380924 moves, e=0.623, loss: 3.3, -, 18.2% elo% vs. random_no_suicide, avg. reward: -6.145, 2.331 sec/game, 13.2 min. total, 580.3 MB
shelter_stage v7 464 games, 382017 moves, e=0.622, loss: 3.4, -, 17.7% elo% vs. random_no_suicide, avg. reward: -6.136, 2.343 sec/game, 13.3 min. total, 581.0 MB
shelter_stage v7 465 games, 383027 moves, e=0.621, loss: 3.6, -, 17.3% elo% vs. random_no_suicide, avg. reward: -6.133, 2.355 sec/game, 13.3 min. total, 581.1 MB
shelter_stage v7 466 games, 383920 moves, e=0.620, loss: 3.4, -, 16.8% elo% vs. random_no_suicide, avg. reward: -6.129, 2.354 sec/game, 13.3 min. total, 581.2 MB
shelter_stage v7 467 games, 385126 moves, e=0.619, loss: 3.5, -, 16.4% elo% vs. random_no_suicide, avg. reward: -6.120, 2.366 sec/game, 13.4 min. total, 584.1 MB
shelter_stage v7 468 games, 386150 moves, e=0.618, loss: 3.4, -, 16.0% elo% vs. random_no_suicide, avg. reward: -6.116, 2.383 sec/game, 13.4 min. total, 583.6 MB
shelter_stage v7 469 games, 387067 moves, e=0.617, loss: 3.5, -, 15.6% elo% vs. random_no_suicide, avg. reward: -6.122, 2.360 sec/game, 13.4 min. total, 583.6 MB
shelter_stage v7 470 games, 388160 moves, e=0.616, loss: 3.3, -, 15.2% elo% vs. random_no_suicide, avg. reward: -6.109, 2.357 sec/game, 13.5 min. total, 584.0 MB
shelter_stage v7 471 games, 389174 moves, e=0.615, loss: 3.4, -, 14.9% elo% vs. random_no_suicide, avg. reward: -6.104, 2.365 sec/game, 13.5 min. total, 583.9 MB
shelter_stage v7 472 games, 390184 moves, e=0.614, loss: 3.8, -, 14.5% elo% vs. random_no_suicide, avg. reward: -6.093, 2.342 sec/game, 13.6 min. total, 583.9 MB
shelter_stage v7 473 games, 391138 moves, e=0.613, loss: 3.7, -, 14.2% elo% vs. random_no_suicide, avg. reward: -6.098, 2.318 sec/game, 13.6 min. total, 584.2 MB
shelter_stage v7 474 games, 392284 moves, e=0.612, loss: 3.1, -, 13.9% elo% vs. random_no_suicide, avg. reward: -6.081, 2.300 sec/game, 13.6 min. total, 585.4 MB
shelter_stage v7 475 games, 393201 moves, e=0.611, loss: 2.9, -, 13.6% elo% vs. random_no_suicide, avg. reward: -6.068, 2.284 sec/game, 13.7 min. total, 583.4 MB
shelter_stage v7 476 games, 394257 moves, e=0.610, loss: 2.8, -, 13.3% elo% vs. random_no_suicide, avg. reward: -6.057, 2.304 sec/game, 13.7 min. total, 585.5 MB
shelter_stage v7 477 games, 395378 moves, e=0.609, loss: 2.8, +, 15.2% elo% vs. random_no_suicide, avg. reward: -6.044, 2.304 sec/game, 13.7 min. total, 586.3 MB
shelter_stage v7 478 games, 396456 moves, e=0.608, loss: 3.3, ., 16.1% elo% vs. random_no_suicide, avg. reward: -6.025, 2.316 sec/game, 13.8 min. total, 585.6 MB
shelter_stage v7 479 games, 397479 moves, e=0.606, loss: 3.2, -, 15.7% elo% vs. random_no_suicide, avg. reward: -6.011, 2.326 sec/game, 13.8 min. total, 585.6 MB
shelter_stage v7 480 games, 398585 moves, e=0.605, loss: 3.1, -, 15.3% elo% vs. random_no_suicide, avg. reward: -5.987, 2.300 sec/game, 13.9 min. total, 586.2 MB
shelter_stage v7 481 games, 399512 moves, e=0.604, loss: 3.1, -, 14.9% elo% vs. random_no_suicide, avg. reward: -5.980, 2.285 sec/game, 13.9 min. total, 586.8 MB
shelter_stage v7 482 games, 400491 moves, e=0.604, loss: 3.2, -, 14.6% elo% vs. random_no_suicide, avg. reward: -5.985, 2.285 sec/game, 13.9 min. total, 588.8 MB
shelter_stage v7 483 games, 401502 moves, e=0.603, loss: 3.5, -, 14.3% elo% vs. random_no_suicide, avg. reward: -5.976, 2.289 sec/game, 14.0 min. total, 588.7 MB
shelter_stage v7 484 games, 402537 moves, e=0.601, loss: 3.2, -, 13.9% elo% vs. random_no_suicide, avg. reward: -5.967, 2.279 sec/game, 14.0 min. total, 588.3 MB
shelter_stage v7 485 games, 403547 moves, e=0.600, loss: 3.0, -, 13.6% elo% vs. random_no_suicide, avg. reward: -5.957, 2.281 sec/game, 14.1 min. total, 589.0 MB
shelter_stage v7 486 games, 404354 moves, e=0.600, loss: 3.2, -, 13.3% elo% vs. random_no_suicide, avg. reward: -5.970, 2.278 sec/game, 14.1 min. total, 589.1 MB
shelter_stage v7 487 games, 405243 moves, e=0.599, loss: 3.5, -, 13.1% elo% vs. random_no_suicide, avg. reward: -5.967, 2.244 sec/game, 14.1 min. total, 589.1 MB
shelter_stage v7 488 games, 406230 moves, e=0.598, loss: 3.4, +, 15.0% elo% vs. random_no_suicide, avg. reward: -5.971, 2.238 sec/game, 14.2 min. total, 589.9 MB
shelter_stage v7 489 games, 407212 moves, e=0.597, loss: 3.2, -, 14.6% elo% vs. random_no_suicide, avg. reward: -5.971, 2.249 sec/game, 14.2 min. total, 591.3 MB
shelter_stage v7 490 games, 408418 moves, e=0.596, loss: 3.1, -, 14.3% elo% vs. random_no_suicide, avg. reward: -5.954, 2.261 sec/game, 14.2 min. total, 591.4 MB
shelter_stage v7 491 games, 409440 moves, e=0.595, loss: 2.6, +, 16.4% elo% vs. random_no_suicide, avg. reward: -5.945, 2.251 sec/game, 14.3 min. total, 590.9 MB
shelter_stage v7 492 games, 410507 moves, e=0.594, loss: 2.6, -, 15.9% elo% vs. random_no_suicide, avg. reward: -5.929, 2.260 sec/game, 14.3 min. total, 591.6 MB
shelter_stage v7 493 games, 411581 moves, e=0.593, loss: 2.7, +, 18.1% elo% vs. random_no_suicide, avg. reward: -5.924, 2.273 sec/game, 14.4 min. total, 591.7 MB
shelter_stage v7 494 games, 412964 moves, e=0.591, loss: 2.7, -, 17.6% elo% vs. random_no_suicide, avg. reward: -5.895, 2.297 sec/game, 14.4 min. total, 591.6 MB
shelter_stage v7 495 games, 414168 moves, e=0.590, loss: 2.8, -, 17.2% elo% vs. random_no_suicide, avg. reward: -5.883, 2.325 sec/game, 14.4 min. total, 591.5 MB
shelter_stage v7 496 games, 415174 moves, e=0.589, loss: 3.1, ., 18.1% elo% vs. random_no_suicide, avg. reward: -5.876, 2.338 sec/game, 14.5 min. total, 593.6 MB
shelter_stage v7 497 games, 416333 moves, e=0.588, loss: 2.5, +, 20.4% elo% vs. random_no_suicide, avg. reward: -5.855, 2.380 sec/game, 14.5 min. total, 594.2 MB
shelter_stage v7 498 games, 417493 moves, e=0.587, loss: 2.6, +, 22.9% elo% vs. random_no_suicide, avg. reward: -5.854, 2.412 sec/game, 14.6 min. total, 594.1 MB
shelter_stage v7 499 games, 418619 moves, e=0.586, loss: 2.6, +, 25.5% elo% vs. random_no_suicide, avg. reward: -5.837, 2.454 sec/game, 14.6 min. total, 594.9 MB
shelter_stage v7 500 games, 419731 moves, e=0.584, loss: 2.3, -, 24.6% elo% vs. random_no_suicide, avg. reward: -5.828, 2.479 sec/game, 14.7 min. total, 595.0 MB
shelter_stage v8 501 games, 420992 moves, e=0.583, loss: 2.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: -5.803, 2.519 sec/game, 14.7 min. total, 594.6 MB
shelter_stage v8 502 games, 422112 moves, e=0.582, loss: 2.5, -, 45.5% elo% vs. random_no_suicide, avg. reward: -5.797, 2.543 sec/game, 14.8 min. total, 592.2 MB
shelter_stage v8 503 games, 423173 moves, e=0.581, loss: 2.6, -, 43.4% elo% vs. random_no_suicide, avg. reward: -5.790, 2.563 sec/game, 14.8 min. total, 595.6 MB
shelter_stage v8 504 games, 424265 moves, e=0.580, loss: 3.1, -, 41.5% elo% vs. random_no_suicide, avg. reward: -5.777, 2.578 sec/game, 14.9 min. total, 593.7 MB
shelter_stage v8 505 games, 425240 moves, e=0.579, loss: 3.2, +, 44.1% elo% vs. random_no_suicide, avg. reward: -5.781, 2.590 sec/game, 14.9 min. total, 596.6 MB
shelter_stage v8 506 games, 426269 moves, e=0.578, loss: 3.1, -, 42.1% elo% vs. random_no_suicide, avg. reward: -5.769, 2.621 sec/game, 15.0 min. total, 596.3 MB
shelter_stage v8 507 games, 427322 moves, e=0.577, loss: 3.3, -, 40.3% elo% vs. random_no_suicide, avg. reward: -5.763, 2.652 sec/game, 15.0 min. total, 596.7 MB
shelter_stage v8 508 games, 428351 moves, e=0.576, loss: 3.2, -, 38.5% elo% vs. random_no_suicide, avg. reward: -5.754, 2.653 sec/game, 15.0 min. total, 597.1 MB
shelter_stage v8 509 games, 429551 moves, e=0.575, loss: 2.9, -, 36.8% elo% vs. random_no_suicide, avg. reward: -5.738, 2.671 sec/game, 15.1 min. total, 597.3 MB
shelter_stage v8 510 games, 430523 moves, e=0.574, loss: 3.5, -, 35.3% elo% vs. random_no_suicide, avg. reward: -5.732, 2.648 sec/game, 15.1 min. total, 598.2 MB
shelter_stage v8 511 games, 431538 moves, e=0.573, loss: 3.5, -, 33.8% elo% vs. random_no_suicide, avg. reward: -5.733, 2.650 sec/game, 15.2 min. total, 595.7 MB
shelter_stage v8 512 games, 432479 moves, e=0.572, loss: 3.8, -, 32.4% elo% vs. random_no_suicide, avg. reward: -5.736, 2.626 sec/game, 15.2 min. total, 598.4 MB
shelter_stage v8 513 games, 433583 moves, e=0.571, loss: 3.6, +, 35.2% elo% vs. random_no_suicide, avg. reward: -5.729, 2.638 sec/game, 15.2 min. total, 598.5 MB
shelter_stage v8 514 games, 434646 moves, e=0.570, loss: 3.6, -, 33.7% elo% vs. random_no_suicide, avg. reward: -5.715, 2.603 sec/game, 15.3 min. total, 598.6 MB
shelter_stage v8 515 games, 435463 moves, e=0.569, loss: 3.7, -, 32.4% elo% vs. random_no_suicide, avg. reward: -5.722, 2.571 sec/game, 15.3 min. total, 598.7 MB
shelter_stage v8 516 games, 436471 moves, e=0.568, loss: 3.3, +, 35.1% elo% vs. random_no_suicide, avg. reward: -5.727, 2.541 sec/game, 15.3 min. total, 599.3 MB
shelter_stage v8 517 games, 437596 moves, e=0.567, loss: 3.5, +, 37.9% elo% vs. random_no_suicide, avg. reward: -5.719, 2.509 sec/game, 15.4 min. total, 599.0 MB
shelter_stage v8 518 games, 438575 moves, e=0.566, loss: 3.7, +, 40.6% elo% vs. random_no_suicide, avg. reward: -5.709, 2.469 sec/game, 15.4 min. total, 601.8 MB
shelter_stage v8 519 games, 439570 moves, e=0.565, loss: 3.5, -, 38.8% elo% vs. random_no_suicide, avg. reward: -5.700, 2.432 sec/game, 15.5 min. total, 601.0 MB
shelter_stage v8 520 games, 440620 moves, e=0.564, loss: 3.5, -, 37.2% elo% vs. random_no_suicide, avg. reward: -5.687, 2.405 sec/game, 15.5 min. total, 598.8 MB
shelter_stage v8 521 games, 441868 moves, e=0.563, loss: 3.4, -, 35.6% elo% vs. random_no_suicide, avg. reward: -5.674, 2.389 sec/game, 15.5 min. total, 601.8 MB
shelter_stage v8 522 games, 442815 moves, e=0.562, loss: 3.5, -, 34.1% elo% vs. random_no_suicide, avg. reward: -5.670, 2.362 sec/game, 15.6 min. total, 601.1 MB
shelter_stage v8 523 games, 443856 moves, e=0.561, loss: 3.6, +, 36.9% elo% vs. random_no_suicide, avg. reward: -5.661, 2.338 sec/game, 15.6 min. total, 601.9 MB
shelter_stage v8 524 games, 444820 moves, e=0.560, loss: 3.4, -, 35.3% elo% vs. random_no_suicide, avg. reward: -5.657, 2.323 sec/game, 15.7 min. total, 602.6 MB
shelter_stage v8 525 games, 445999 moves, e=0.558, loss: 3.2, +, 38.1% elo% vs. random_no_suicide, avg. reward: -5.645, 2.323 sec/game, 15.7 min. total, 603.9 MB
shelter_stage v8 526 games, 447087 moves, e=0.557, loss: 3.4, +, 40.8% elo% vs. random_no_suicide, avg. reward: -5.629, 2.316 sec/game, 15.7 min. total, 603.8 MB
shelter_stage v8 527 games, 448233 moves, e=0.556, loss: 3.5, +, 43.4% elo% vs. random_no_suicide, avg. reward: -5.615, 2.320 sec/game, 15.8 min. total, 603.0 MB
shelter_stage v8 528 games, 449251 moves, e=0.555, loss: 3.4, +, 46.0% elo% vs. random_no_suicide, avg. reward: -5.617, 2.320 sec/game, 15.8 min. total, 604.1 MB
shelter_stage v8 529 games, 450520 moves, e=0.554, loss: 3.6, -, 43.9% elo% vs. random_no_suicide, avg. reward: -5.604, 2.328 sec/game, 15.9 min. total, 603.4 MB
shelter_stage v8 530 games, 451679 moves, e=0.553, loss: 3.2, +, 46.5% elo% vs. random_no_suicide, avg. reward: -5.601, 2.341 sec/game, 15.9 min. total, 604.1 MB
shelter_stage v8 531 games, 452705 moves, e=0.552, loss: 2.7, -, 44.4% elo% vs. random_no_suicide, avg. reward: -5.590, 2.340 sec/game, 15.9 min. total, 604.1 MB
shelter_stage v8 532 games, 453888 moves, e=0.551, loss: 3.0, -, 42.4% elo% vs. random_no_suicide, avg. reward: -5.573, 2.375 sec/game, 16.0 min. total, 602.9 MB
shelter_stage v8 533 games, 454886 moves, e=0.550, loss: 2.8, -, 40.5% elo% vs. random_no_suicide, avg. reward: -5.573, 2.354 sec/game, 16.0 min. total, 605.9 MB
shelter_stage v8 534 games, 455871 moves, e=0.549, loss: 2.4, +, 43.1% elo% vs. random_no_suicide, avg. reward: -5.575, 2.353 sec/game, 16.1 min. total, 605.4 MB
shelter_stage v8 535 games, 457220 moves, e=0.547, loss: 2.7, -, 41.2% elo% vs. random_no_suicide, avg. reward: -5.557, 2.404 sec/game, 16.1 min. total, 606.0 MB
shelter_stage v8 536 games, 458367 moves, e=0.546, loss: 2.9, +, 43.8% elo% vs. random_no_suicide, avg. reward: -5.551, 2.415 sec/game, 16.1 min. total, 605.6 MB
shelter_stage v8 537 games, 459501 moves, e=0.545, loss: 3.0, +, 46.4% elo% vs. random_no_suicide, avg. reward: -5.539, 2.415 sec/game, 16.2 min. total, 606.9 MB
shelter_stage v8 538 games, 460821 moves, e=0.544, loss: 2.8, +, 48.9% elo% vs. random_no_suicide, avg. reward: -5.512, 2.449 sec/game, 16.2 min. total, 607.6 MB
shelter_stage v8 539 games, 461778 moves, e=0.543, loss: 2.7, -, 46.6% elo% vs. random_no_suicide, avg. reward: -5.522, 2.436 sec/game, 16.3 min. total, 606.1 MB
shelter_stage v8 540 games, 462994 moves, e=0.542, loss: 2.8, -, 44.5% elo% vs. random_no_suicide, avg. reward: -5.527, 2.458 sec/game, 16.3 min. total, 609.1 MB
shelter_stage v8 541 games, 464021 moves, e=0.541, loss: 3.1, -, 42.5% elo% vs. random_no_suicide, avg. reward: -5.525, 2.435 sec/game, 16.4 min. total, 609.0 MB
shelter_stage v8 542 games, 465197 moves, e=0.539, loss: 3.4, -, 40.6% elo% vs. random_no_suicide, avg. reward: -5.515, 2.459 sec/game, 16.4 min. total, 608.9 MB
shelter_stage v8 543 games, 466317 moves, e=0.538, loss: 3.5, +, 43.2% elo% vs. random_no_suicide, avg. reward: -5.502, 2.468 sec/game, 16.4 min. total, 608.3 MB
shelter_stage v8 544 games, 467446 moves, e=0.537, loss: 3.3, +, 45.8% elo% vs. random_no_suicide, avg. reward: -5.493, 2.469 sec/game, 16.5 min. total, 608.5 MB
shelter_stage v8 545 games, 468582 moves, e=0.536, loss: 3.8, +, 48.3% elo% vs. random_no_suicide, avg. reward: -5.478, 2.468 sec/game, 16.5 min. total, 611.1 MB
shelter_stage v8 546 games, 469702 moves, e=0.535, loss: 3.4, -, 46.1% elo% vs. random_no_suicide, avg. reward: -5.460, 2.472 sec/game, 16.6 min. total, 608.4 MB
shelter_stage v8 547 games, 470840 moves, e=0.534, loss: 3.3, -, 44.0% elo% vs. random_no_suicide, avg. reward: -5.453, 2.473 sec/game, 16.6 min. total, 611.4 MB
shelter_stage v8 548 games, 472058 moves, e=0.533, loss: 3.2, -, 42.0% elo% vs. random_no_suicide, avg. reward: -5.430, 2.488 sec/game, 16.6 min. total, 610.5 MB
shelter_stage v8 549 games, 473328 moves, e=0.531, loss: 3.1, -, 40.1% elo% vs. random_no_suicide, avg. reward: -5.422, 2.488 sec/game, 16.7 min. total, 612.0 MB
shelter_stage v8 550 games, 474415 moves, e=0.530, loss: 3.5, -, 38.4% elo% vs. random_no_suicide, avg. reward: -5.424, 2.487 sec/game, 16.7 min. total, 611.8 MB
shelter_stage v8 551 games, 475556 moves, e=0.529, loss: 3.4, -, 36.7% elo% vs. random_no_suicide, avg. reward: -5.415, 2.498 sec/game, 16.8 min. total, 612.1 MB
shelter_stage v8 552 games, 476671 moves, e=0.528, loss: 3.3, -, 35.2% elo% vs. random_no_suicide, avg. reward: -5.405, 2.478 sec/game, 16.8 min. total, 612.7 MB
shelter_stage v8 553 games, 477716 moves, e=0.527, loss: 3.1, -, 33.7% elo% vs. random_no_suicide, avg. reward: -5.399, 2.498 sec/game, 16.9 min. total, 611.1 MB
shelter_stage v8 554 games, 478754 moves, e=0.526, loss: 2.6, -, 32.3% elo% vs. random_no_suicide, avg. reward: -5.401, 2.499 sec/game, 16.9 min. total, 614.0 MB
shelter_stage v8 555 games, 479844 moves, e=0.525, loss: 2.6, -, 31.0% elo% vs. random_no_suicide, avg. reward: -5.400, 2.468 sec/game, 16.9 min. total, 613.4 MB
shelter_stage v8 556 games, 480942 moves, e=0.524, loss: 2.7, +, 33.8% elo% vs. random_no_suicide, avg. reward: -5.393, 2.476 sec/game, 17.0 min. total, 613.5 MB
shelter_stage v8 557 games, 482139 moves, e=0.523, loss: 2.7, -, 32.4% elo% vs. random_no_suicide, avg. reward: -5.381, 2.481 sec/game, 17.0 min. total, 614.0 MB
shelter_stage v8 558 games, 483436 moves, e=0.521, loss: 3.3, -, 31.1% elo% vs. random_no_suicide, avg. reward: -5.363, 2.472 sec/game, 17.1 min. total, 614.2 MB
shelter_stage v8 559 games, 484735 moves, e=0.520, loss: 3.6, -, 29.9% elo% vs. random_no_suicide, avg. reward: -5.332, 2.505 sec/game, 17.1 min. total, 614.0 MB
shelter_stage v8 560 games, 485729 moves, e=0.519, loss: 3.8, +, 32.7% elo% vs. random_no_suicide, avg. reward: -5.338, 2.482 sec/game, 17.1 min. total, 616.2 MB
shelter_stage v8 561 games, 486991 moves, e=0.518, loss: 3.4, +, 35.5% elo% vs. random_no_suicide, avg. reward: -5.322, 2.513 sec/game, 17.2 min. total, 616.7 MB
shelter_stage v8 562 games, 488022 moves, e=0.517, loss: 3.8, +, 38.2% elo% vs. random_no_suicide, avg. reward: -5.317, 2.501 sec/game, 17.2 min. total, 616.8 MB
shelter_stage v8 563 games, 489053 moves, e=0.516, loss: 3.7, -, 36.6% elo% vs. random_no_suicide, avg. reward: -5.313, 2.492 sec/game, 17.3 min. total, 616.8 MB
shelter_stage v8 564 games, 490129 moves, e=0.515, loss: 3.9, -, 35.0% elo% vs. random_no_suicide, avg. reward: -5.313, 2.501 sec/game, 17.3 min. total, 616.7 MB
shelter_stage v8 565 games, 491410 moves, e=0.514, loss: 3.7, -, 33.6% elo% vs. random_no_suicide, avg. reward: -5.297, 2.517 sec/game, 17.4 min. total, 617.2 MB
shelter_stage v8 566 games, 492615 moves, e=0.512, loss: 3.6, -, 32.2% elo% vs. random_no_suicide, avg. reward: -5.280, 2.524 sec/game, 17.4 min. total, 616.8 MB
shelter_stage v8 567 games, 493845 moves, e=0.511, loss: 4.1, +, 35.0% elo% vs. random_no_suicide, avg. reward: -5.280, 2.534 sec/game, 17.4 min. total, 616.0 MB
shelter_stage v8 568 games, 495308 moves, e=0.510, loss: 4.3, ., 35.6% elo% vs. random_no_suicide, avg. reward: -5.255, 2.558 sec/game, 17.5 min. total, 618.8 MB
shelter_stage v8 569 games, 496521 moves, e=0.508, loss: 3.9, +, 38.4% elo% vs. random_no_suicide, avg. reward: -5.239, 2.558 sec/game, 17.5 min. total, 618.8 MB
shelter_stage v8 570 games, 497865 moves, e=0.507, loss: 3.5, +, 41.1% elo% vs. random_no_suicide, avg. reward: -5.223, 2.573 sec/game, 17.6 min. total, 618.4 MB
shelter_stage v8 571 games, 499005 moves, e=0.506, loss: 3.4, +, 43.8% elo% vs. random_no_suicide, avg. reward: -5.216, 2.575 sec/game, 17.6 min. total, 619.7 MB
shelter_stage v8 572 games, 500148 moves, e=0.505, loss: 3.3, +, 46.3% elo% vs. random_no_suicide, avg. reward: -5.209, 2.585 sec/game, 17.7 min. total, 619.9 MB
shelter_stage v8 573 games, 501230 moves, e=0.504, loss: 3.1, -, 44.2% elo% vs. random_no_suicide, avg. reward: -5.200, 2.576 sec/game, 17.7 min. total, 621.4 MB
shelter_stage v8 574 games, 502520 moves, e=0.503, loss: 2.8, -, 42.2% elo% vs. random_no_suicide, avg. reward: -5.192, 2.601 sec/game, 17.8 min. total, 620.0 MB
shelter_stage v8 575 games, 503754 moves, e=0.501, loss: 2.9, -, 40.3% elo% vs. random_no_suicide, avg. reward: -5.170, 2.622 sec/game, 17.8 min. total, 622.2 MB
shelter_stage v8 576 games, 505012 moves, e=0.500, loss: 3.3, -, 38.6% elo% vs. random_no_suicide, avg. reward: -5.154, 2.635 sec/game, 17.8 min. total, 622.1 MB
shelter_stage v8 577 games, 506337 moves, e=0.499, loss: 2.8, -, 36.9% elo% vs. random_no_suicide, avg. reward: -5.141, 2.645 sec/game, 17.9 min. total, 622.7 MB
shelter_stage v8 578 games, 507528 moves, e=0.498, loss: 2.9, -, 35.3% elo% vs. random_no_suicide, avg. reward: -5.132, 2.643 sec/game, 17.9 min. total, 623.0 MB
shelter_stage v8 579 games, 508814 moves, e=0.496, loss: 3.3, -, 33.9% elo% vs. random_no_suicide, avg. reward: -5.119, 2.643 sec/game, 18.0 min. total, 622.4 MB
shelter_stage v8 580 games, 509894 moves, e=0.495, loss: 3.2, +, 36.6% elo% vs. random_no_suicide, avg. reward: -5.118, 2.643 sec/game, 18.0 min. total, 623.7 MB
