shelter_stage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.0 MB
shelter_stage v2 35 games, 23881 moves, e=0.976, loss: 3.2, +, 70.8% elo% vs. guard_bot, avg. reward: -9.132, 1.314 sec/game, 0.5 min. total, 454.1 MB
shelter_stage v3 36 games, 24576 moves, e=0.976, loss: 2.9, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.129, 1.315 sec/game, 0.5 min. total, 458.6 MB
shelter_stage v3 37 games, 25361 moves, e=0.975, loss: 3.2, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.091, 1.306 sec/game, 0.5 min. total, 461.5 MB
shelter_stage v3 38 games, 26025 moves, e=0.974, loss: 3.0, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.097, 1.307 sec/game, 0.6 min. total, 462.6 MB
shelter_stage v3 39 games, 26582 moves, e=0.974, loss: 2.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.163, 1.291 sec/game, 0.6 min. total, 462.7 MB
shelter_stage v3 40 games, 27319 moves, e=0.973, loss: 2.6, -, 41.4% elo% vs. random_no_suicide, avg. reward: -9.151, 1.293 sec/game, 0.6 min. total, 463.3 MB
shelter_stage v3 41 games, 28020 moves, e=0.972, loss: 2.3, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.147, 1.285 sec/game, 0.6 min. total, 463.5 MB
shelter_stage v3 42 games, 28784 moves, e=0.972, loss: 2.0, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.126, 1.300 sec/game, 0.7 min. total, 463.7 MB
shelter_stage v3 43 games, 29483 moves, e=0.971, loss: 2.3, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.117, 1.313 sec/game, 0.7 min. total, 463.9 MB
shelter_stage v3 44 games, 30225 moves, e=0.970, loss: 2.4, -, 34.7% elo% vs. random_no_suicide, avg. reward: -9.104, 1.314 sec/game, 0.7 min. total, 463.3 MB
shelter_stage v3 45 games, 30838 moves, e=0.969, loss: 2.3, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.132, 1.293 sec/game, 0.7 min. total, 465.2 MB
shelter_stage v3 46 games, 31576 moves, e=0.969, loss: 2.1, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.116, 1.300 sec/game, 0.7 min. total, 463.7 MB
shelter_stage v3 47 games, 32366 moves, e=0.968, loss: 2.1, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.090, 1.312 sec/game, 0.8 min. total, 466.7 MB
shelter_stage v3 48 games, 33151 moves, e=0.967, loss: 2.1, +, 33.4% elo% vs. random_no_suicide, avg. reward: -9.067, 1.321 sec/game, 0.8 min. total, 466.5 MB
shelter_stage v3 49 games, 33899 moves, e=0.966, loss: 1.5, -, 32.1% elo% vs. random_no_suicide, avg. reward: -9.046, 1.333 sec/game, 0.8 min. total, 466.7 MB
shelter_stage v3 50 games, 34557 moves, e=0.966, loss: 1.6, +, 34.9% elo% vs. random_no_suicide, avg. reward: -9.056, 1.331 sec/game, 0.8 min. total, 466.3 MB
shelter_stage v3 51 games, 35230 moves, e=0.965, loss: 1.6, -, 33.4% elo% vs. random_no_suicide, avg. reward: -9.056, 1.332 sec/game, 0.9 min. total, 467.1 MB
shelter_stage v3 52 games, 36006 moves, e=0.964, loss: 1.7, -, 32.1% elo% vs. random_no_suicide, avg. reward: -9.035, 1.355 sec/game, 0.9 min. total, 467.3 MB
shelter_stage v3 53 games, 36659 moves, e=0.964, loss: 1.7, -, 30.8% elo% vs. random_no_suicide, avg. reward: -9.041, 1.345 sec/game, 0.9 min. total, 468.0 MB
shelter_stage v3 54 games, 37318 moves, e=0.963, loss: 2.0, -, 29.6% elo% vs. random_no_suicide, avg. reward: -9.045, 1.346 sec/game, 0.9 min. total, 467.5 MB
shelter_stage v3 55 games, 38086 moves, e=0.962, loss: 1.9, -, 28.5% elo% vs. random_no_suicide, avg. reward: -9.029, 1.359 sec/game, 1.0 min. total, 468.0 MB
shelter_stage v3 56 games, 38711 moves, e=0.962, loss: 1.7, -, 27.4% elo% vs. random_no_suicide, avg. reward: -9.049, 1.349 sec/game, 1.0 min. total, 468.0 MB
shelter_stage v3 57 games, 39549 moves, e=0.961, loss: 1.7, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.017, 1.352 sec/game, 1.0 min. total, 468.0 MB
shelter_stage v3 58 games, 40305 moves, e=0.960, loss: 2.0, -, 25.5% elo% vs. random_no_suicide, avg. reward: -9.002, 1.361 sec/game, 1.0 min. total, 468.4 MB
shelter_stage v3 59 games, 40996 moves, e=0.959, loss: 2.0, -, 24.6% elo% vs. random_no_suicide, avg. reward: -9.002, 1.378 sec/game, 1.0 min. total, 468.4 MB
shelter_stage v3 60 games, 41739 moves, e=0.959, loss: 1.9, -, 23.8% elo% vs. random_no_suicide, avg. reward: -8.990, 1.379 sec/game, 1.1 min. total, 467.9 MB
shelter_stage v3 61 games, 42472 moves, e=0.958, loss: 1.9, -, 23.0% elo% vs. random_no_suicide, avg. reward: -8.982, 1.380 sec/game, 1.1 min. total, 468.6 MB
shelter_stage v3 62 games, 43053 moves, e=0.957, loss: 2.0, -, 22.2% elo% vs. random_no_suicide, avg. reward: -9.014, 1.366 sec/game, 1.1 min. total, 468.2 MB
shelter_stage v3 63 games, 43709 moves, e=0.957, loss: 2.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: -9.022, 1.354 sec/game, 1.1 min. total, 468.9 MB
shelter_stage v3 64 games, 44498 moves, e=0.956, loss: 2.2, -, 20.9% elo% vs. random_no_suicide, avg. reward: -9.001, 1.355 sec/game, 1.2 min. total, 468.8 MB
shelter_stage v3 65 games, 45088 moves, e=0.955, loss: 2.1, -, 20.3% elo% vs. random_no_suicide, avg. reward: -9.028, 1.362 sec/game, 1.2 min. total, 469.1 MB
shelter_stage v3 66 games, 45870 moves, e=0.955, loss: 2.1, -, 19.7% elo% vs. random_no_suicide, avg. reward: -9.011, 1.360 sec/game, 1.2 min. total, 468.7 MB
shelter_stage v3 67 games, 46511 moves, e=0.954, loss: 1.9, -, 19.1% elo% vs. random_no_suicide, avg. reward: -9.027, 1.348 sec/game, 1.2 min. total, 469.5 MB
shelter_stage v3 68 games, 47205 moves, e=0.953, loss: 2.1, -, 18.6% elo% vs. random_no_suicide, avg. reward: -9.020, 1.338 sec/game, 1.2 min. total, 469.6 MB
shelter_stage v3 69 games, 47987 moves, e=0.952, loss: 2.1, -, 18.0% elo% vs. random_no_suicide, avg. reward: -9.002, 1.339 sec/game, 1.3 min. total, 469.9 MB
shelter_stage v3 70 games, 48707 moves, e=0.952, loss: 2.3, -, 17.6% elo% vs. random_no_suicide, avg. reward: -8.991, 1.354 sec/game, 1.3 min. total, 468.0 MB
shelter_stage v3 71 games, 49365 moves, e=0.951, loss: 2.5, -, 17.1% elo% vs. random_no_suicide, avg. reward: -8.993, 1.347 sec/game, 1.3 min. total, 470.6 MB
shelter_stage v3 72 games, 50122 moves, e=0.950, loss: 2.6, -, 16.7% elo% vs. random_no_suicide, avg. reward: -8.977, 1.349 sec/game, 1.3 min. total, 470.7 MB
shelter_stage v3 73 games, 50856 moves, e=0.950, loss: 2.5, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.971, 1.361 sec/game, 1.4 min. total, 470.7 MB
shelter_stage v3 74 games, 51561 moves, e=0.949, loss: 2.8, -, 15.8% elo% vs. random_no_suicide, avg. reward: -8.968, 1.365 sec/game, 1.4 min. total, 470.8 MB
shelter_stage v3 75 games, 52232 moves, e=0.948, loss: 3.0, -, 15.4% elo% vs. random_no_suicide, avg. reward: -8.972, 1.367 sec/game, 1.4 min. total, 470.9 MB
shelter_stage v3 76 games, 52903 moves, e=0.948, loss: 2.9, +, 17.6% elo% vs. random_no_suicide, avg. reward: -8.976, 1.369 sec/game, 1.4 min. total, 471.0 MB
shelter_stage v3 77 games, 53665 moves, e=0.947, loss: 2.9, -, 17.1% elo% vs. random_no_suicide, avg. reward: -8.964, 1.369 sec/game, 1.5 min. total, 472.1 MB
shelter_stage v3 78 games, 54319 moves, e=0.946, loss: 2.9, -, 16.7% elo% vs. random_no_suicide, avg. reward: -8.968, 1.359 sec/game, 1.5 min. total, 472.2 MB
shelter_stage v3 79 games, 55115 moves, e=0.945, loss: 3.2, -, 16.3% elo% vs. random_no_suicide, avg. reward: -8.953, 1.362 sec/game, 1.5 min. total, 473.1 MB
shelter_stage v3 80 games, 55764 moves, e=0.945, loss: 3.3, -, 15.9% elo% vs. random_no_suicide, avg. reward: -8.962, 1.350 sec/game, 1.5 min. total, 473.1 MB
shelter_stage v3 81 games, 56465 moves, e=0.944, loss: 3.2, -, 15.5% elo% vs. random_no_suicide, avg. reward: -8.961, 1.358 sec/game, 1.5 min. total, 472.5 MB
shelter_stage v3 82 games, 57192 moves, e=0.943, loss: 3.3, -, 15.1% elo% vs. random_no_suicide, avg. reward: -8.954, 1.362 sec/game, 1.6 min. total, 473.1 MB
shelter_stage v3 83 games, 57871 moves, e=0.943, loss: 3.1, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.958, 1.372 sec/game, 1.6 min. total, 472.6 MB
shelter_stage v3 84 games, 58485 moves, e=0.942, loss: 3.1, -, 14.4% elo% vs. random_no_suicide, avg. reward: -8.971, 1.350 sec/game, 1.6 min. total, 473.1 MB
shelter_stage v3 85 games, 59302 moves, e=0.941, loss: 3.1, -, 14.1% elo% vs. random_no_suicide, avg. reward: -8.956, 1.382 sec/game, 1.6 min. total, 473.4 MB
shelter_stage v3 86 games, 59961 moves, e=0.941, loss: 3.0, -, 13.8% elo% vs. random_no_suicide, avg. reward: -8.962, 1.385 sec/game, 1.7 min. total, 473.7 MB
shelter_stage v3 87 games, 60747 moves, e=0.940, loss: 2.9, -, 13.5% elo% vs. random_no_suicide, avg. reward: -8.947, 1.404 sec/game, 1.7 min. total, 473.7 MB
shelter_stage v3 88 games, 61456 moves, e=0.939, loss: 2.5, -, 13.2% elo% vs. random_no_suicide, avg. reward: -8.946, 1.420 sec/game, 1.7 min. total, 473.6 MB
shelter_stage v3 89 games, 62218 moves, e=0.938, loss: 2.3, -, 12.9% elo% vs. random_no_suicide, avg. reward: -8.937, 1.424 sec/game, 1.7 min. total, 473.9 MB
shelter_stage v3 90 games, 62961 moves, e=0.938, loss: 2.4, -, 12.6% elo% vs. random_no_suicide, avg. reward: -8.929, 1.415 sec/game, 1.8 min. total, 473.8 MB
shelter_stage v3 91 games, 63824 moves, e=0.937, loss: 2.2, -, 12.4% elo% vs. random_no_suicide, avg. reward: -8.911, 1.439 sec/game, 1.8 min. total, 474.1 MB
shelter_stage v3 92 games, 64499 moves, e=0.936, loss: 2.3, -, 12.1% elo% vs. random_no_suicide, avg. reward: -8.914, 1.429 sec/game, 1.8 min. total, 474.4 MB
shelter_stage v3 93 games, 65144 moves, e=0.936, loss: 2.5, -, 11.9% elo% vs. random_no_suicide, avg. reward: -8.922, 1.419 sec/game, 1.8 min. total, 475.4 MB
shelter_stage v3 94 games, 65923 moves, e=0.935, loss: 2.7, -, 11.7% elo% vs. random_no_suicide, avg. reward: -8.913, 1.439 sec/game, 1.9 min. total, 473.2 MB
shelter_stage v3 95 games, 66665 moves, e=0.934, loss: 2.6, -, 11.5% elo% vs. random_no_suicide, avg. reward: -8.908, 1.429 sec/game, 1.9 min. total, 475.3 MB
shelter_stage v3 96 games, 67334 moves, e=0.933, loss: 2.5, -, 11.2% elo% vs. random_no_suicide, avg. reward: -8.913, 1.441 sec/game, 1.9 min. total, 476.0 MB
shelter_stage v3 97 games, 67998 moves, e=0.933, loss: 2.6, -, 11.0% elo% vs. random_no_suicide, avg. reward: -8.917, 1.432 sec/game, 1.9 min. total, 476.1 MB
shelter_stage v3 98 games, 68765 moves, e=0.932, loss: 2.6, -, 10.8% elo% vs. random_no_suicide, avg. reward: -8.906, 1.446 sec/game, 2.0 min. total, 476.1 MB
shelter_stage v3 99 games, 69447 moves, e=0.931, loss: 2.7, -, 10.7% elo% vs. random_no_suicide, avg. reward: -8.908, 1.438 sec/game, 2.0 min. total, 476.1 MB
shelter_stage v3 100 games, 70153 moves, e=0.931, loss: 2.5, -, 10.5% elo% vs. random_no_suicide, avg. reward: -8.908, 1.450 sec/game, 2.0 min. total, 475.5 MB
