bullfight_antiviral v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
bullfight_antiviral v4 135 games, 97497 moves, e=0.903, loss: 3.0, +, 60.1% elo% vs. random_no_suicide, avg. reward: -6.294, 1.481 sec/game, 3.0 min. total, 455.2 MB
bullfight_antiviral v4 136 games, 98331 moves, e=0.903, loss: 2.7, -, 57.4% elo% vs. random_no_suicide, avg. reward: -6.281, 1.486 sec/game, 3.0 min. total, 456.1 MB
bullfight_antiviral v4 137 games, 99229 moves, e=0.902, loss: 2.9, +, 59.3% elo% vs. random_no_suicide, avg. reward: -6.257, 1.489 sec/game, 3.0 min. total, 456.0 MB
bullfight_antiviral v4 138 games, 99955 moves, e=0.901, loss: 2.9, +, 61.1% elo% vs. random_no_suicide, avg. reward: -6.257, 1.486 sec/game, 3.0 min. total, 456.4 MB
bullfight_antiviral v4 139 games, 100717 moves, e=0.900, loss: 2.8, -, 58.4% elo% vs. random_no_suicide, avg. reward: -6.250, 1.496 sec/game, 3.1 min. total, 456.4 MB
bullfight_antiviral v4 140 games, 101468 moves, e=0.900, loss: 2.9, -, 55.8% elo% vs. random_no_suicide, avg. reward: -6.252, 1.511 sec/game, 3.1 min. total, 456.6 MB
bullfight_antiviral v4 141 games, 102254 moves, e=0.899, loss: 2.9, +, 57.8% elo% vs. random_no_suicide, avg. reward: -6.248, 1.501 sec/game, 3.1 min. total, 456.5 MB
bullfight_antiviral v4 142 games, 103031 moves, e=0.898, loss: 2.8, +, 59.7% elo% vs. random_no_suicide, avg. reward: -6.239, 1.498 sec/game, 3.2 min. total, 457.2 MB
bullfight_antiviral v4 143 games, 103650 moves, e=0.897, loss: 3.0, +, 61.4% elo% vs. random_no_suicide, avg. reward: -6.250, 1.485 sec/game, 3.2 min. total, 457.2 MB
bullfight_antiviral v4 144 games, 104358 moves, e=0.897, loss: 3.0, +, 63.1% elo% vs. random_no_suicide, avg. reward: -6.258, 1.497 sec/game, 3.2 min. total, 457.6 MB
bullfight_antiviral v4 145 games, 105123 moves, e=0.896, loss: 3.0, ., 62.6% elo% vs. random_no_suicide, avg. reward: -6.256, 1.510 sec/game, 3.2 min. total, 457.2 MB
bullfight_antiviral v4 146 games, 105881 moves, e=0.895, loss: 3.2, ., 62.0% elo% vs. random_no_suicide, avg. reward: -6.245, 1.505 sec/game, 3.2 min. total, 457.8 MB
bullfight_antiviral v4 147 games, 106634 moves, e=0.894, loss: 3.3, +, 63.6% elo% vs. random_no_suicide, avg. reward: -6.247, 1.514 sec/game, 3.3 min. total, 458.4 MB
bullfight_antiviral v4 148 games, 107292 moves, e=0.894, loss: 3.5, +, 65.2% elo% vs. random_no_suicide, avg. reward: -6.240, 1.500 sec/game, 3.3 min. total, 458.6 MB
bullfight_antiviral v4 149 games, 108097 moves, e=0.893, loss: 3.6, +, 66.6% elo% vs. random_no_suicide, avg. reward: -6.222, 1.509 sec/game, 3.3 min. total, 458.6 MB
bullfight_antiviral v4 150 games, 108987 moves, e=0.892, loss: 3.7, +, 68.0% elo% vs. random_no_suicide, avg. reward: -6.208, 1.520 sec/game, 3.4 min. total, 458.6 MB
bullfight_antiviral v4 151 games, 109789 moves, e=0.891, loss: 3.6, +, 69.2% elo% vs. random_no_suicide, avg. reward: -6.201, 1.529 sec/game, 3.4 min. total, 458.7 MB
bullfight_antiviral v4 152 games, 110600 moves, e=0.891, loss: 3.5, +, 70.4% elo% vs. random_no_suicide, avg. reward: -6.190, 1.528 sec/game, 3.4 min. total, 459.0 MB
bullfight_antiviral v5 153 games, 111396 moves, e=0.890, loss: 3.3, -, 49.9% elo% vs. simple_bot, avg. reward: -6.187, 1.539 sec/game, 3.4 min. total, 460.0 MB
bullfight_antiviral v5 154 games, 112147 moves, e=0.889, loss: 3.4, -, 47.6% elo% vs. simple_bot, avg. reward: -6.176, 1.551 sec/game, 3.5 min. total, 460.9 MB
bullfight_antiviral v5 155 games, 113034 moves, e=0.888, loss: 3.4, -, 45.4% elo% vs. simple_bot, avg. reward: -6.154, 1.565 sec/game, 3.5 min. total, 462.4 MB
bullfight_antiviral v5 156 games, 113804 moves, e=0.887, loss: 3.3, -, 43.4% elo% vs. simple_bot, avg. reward: -6.166, 1.556 sec/game, 3.5 min. total, 463.0 MB
bullfight_antiviral v5 157 games, 114560 moves, e=0.887, loss: 3.2, -, 41.4% elo% vs. simple_bot, avg. reward: -6.170, 1.542 sec/game, 3.5 min. total, 463.0 MB
bullfight_antiviral v5 158 games, 115250 moves, e=0.886, loss: 3.3, -, 39.6% elo% vs. simple_bot, avg. reward: -6.173, 1.539 sec/game, 3.6 min. total, 463.1 MB
bullfight_antiviral v5 159 games, 115955 moves, e=0.885, loss: 3.3, -, 37.8% elo% vs. simple_bot, avg. reward: -6.172, 1.529 sec/game, 3.6 min. total, 463.3 MB
bullfight_antiviral v5 160 games, 116694 moves, e=0.884, loss: 3.1, -, 36.2% elo% vs. simple_bot, avg. reward: -6.180, 1.526 sec/game, 3.6 min. total, 462.9 MB
bullfight_antiviral v5 161 games, 117473 moves, e=0.884, loss: 3.1, -, 34.7% elo% vs. simple_bot, avg. reward: -6.168, 1.518 sec/game, 3.6 min. total, 463.0 MB
bullfight_antiviral v5 162 games, 118271 moves, e=0.883, loss: 2.9, -, 33.3% elo% vs. simple_bot, avg. reward: -6.161, 1.511 sec/game, 3.7 min. total, 463.6 MB
bullfight_antiviral v5 163 games, 118984 moves, e=0.882, loss: 2.8, -, 31.9% elo% vs. simple_bot, avg. reward: -6.158, 1.520 sec/game, 3.7 min. total, 463.9 MB
bullfight_antiviral v5 164 games, 119905 moves, e=0.881, loss: 3.0, -, 30.6% elo% vs. simple_bot, avg. reward: -6.149, 1.538 sec/game, 3.7 min. total, 464.1 MB
bullfight_antiviral v5 165 games, 120724 moves, e=0.880, loss: 3.0, -, 29.5% elo% vs. simple_bot, avg. reward: -6.135, 1.552 sec/game, 3.7 min. total, 464.6 MB
bullfight_antiviral v5 166 games, 121546 moves, e=0.880, loss: 2.9, -, 28.3% elo% vs. simple_bot, avg. reward: -6.129, 1.561 sec/game, 3.8 min. total, 464.6 MB
bullfight_antiviral v5 167 games, 122290 moves, e=0.879, loss: 3.1, -, 27.3% elo% vs. simple_bot, avg. reward: -6.129, 1.562 sec/game, 3.8 min. total, 464.5 MB
bullfight_antiviral v5 168 games, 123147 moves, e=0.878, loss: 3.0, -, 26.3% elo% vs. simple_bot, avg. reward: -6.115, 1.602 sec/game, 3.8 min. total, 464.6 MB
bullfight_antiviral v5 169 games, 124002 moves, e=0.877, loss: 3.1, -, 25.4% elo% vs. simple_bot, avg. reward: -6.103, 1.604 sec/game, 3.9 min. total, 464.7 MB
bullfight_antiviral v5 170 games, 124661 moves, e=0.877, loss: 3.2, -, 24.5% elo% vs. simple_bot, avg. reward: -6.107, 1.574 sec/game, 3.9 min. total, 464.7 MB
bullfight_antiviral v5 171 games, 125369 moves, e=0.876, loss: 3.2, -, 23.7% elo% vs. simple_bot, avg. reward: -6.107, 1.566 sec/game, 3.9 min. total, 465.5 MB
bullfight_antiviral v5 172 games, 126129 moves, e=0.875, loss: 3.2, -, 22.9% elo% vs. simple_bot, avg. reward: -6.109, 1.549 sec/game, 3.9 min. total, 466.4 MB
bullfight_antiviral v5 173 games, 126933 moves, e=0.874, loss: 3.2, -, 22.2% elo% vs. simple_bot, avg. reward: -6.104, 1.544 sec/game, 3.9 min. total, 466.5 MB
bullfight_antiviral v5 174 games, 127787 moves, e=0.873, loss: 3.3, -, 21.5% elo% vs. simple_bot, avg. reward: -6.095, 1.555 sec/game, 4.0 min. total, 466.5 MB
bullfight_antiviral v5 175 games, 128560 moves, e=0.873, loss: 3.4, -, 20.8% elo% vs. simple_bot, avg. reward: -6.078, 1.542 sec/game, 4.0 min. total, 466.9 MB
bullfight_antiviral v5 176 games, 129292 moves, e=0.872, loss: 3.2, -, 20.2% elo% vs. simple_bot, avg. reward: -6.078, 1.530 sec/game, 4.0 min. total, 467.0 MB
bullfight_antiviral v5 177 games, 130128 moves, e=0.871, loss: 3.1, -, 19.6% elo% vs. simple_bot, avg. reward: -6.074, 1.531 sec/game, 4.0 min. total, 467.0 MB
bullfight_antiviral v5 178 games, 131045 moves, e=0.870, loss: 3.1, -, 19.0% elo% vs. simple_bot, avg. reward: -6.060, 1.548 sec/game, 4.1 min. total, 466.8 MB
bullfight_antiviral v5 179 games, 131756 moves, e=0.870, loss: 3.2, -, 18.5% elo% vs. simple_bot, avg. reward: -6.066, 1.551 sec/game, 4.1 min. total, 467.9 MB
bullfight_antiviral v5 180 games, 132587 moves, e=0.869, loss: 3.7, -, 18.0% elo% vs. simple_bot, avg. reward: -6.050, 1.547 sec/game, 4.1 min. total, 469.0 MB
bullfight_antiviral v5 181 games, 133341 moves, e=0.868, loss: 3.6, -, 17.5% elo% vs. simple_bot, avg. reward: -6.050, 1.572 sec/game, 4.2 min. total, 469.2 MB
bullfight_antiviral v5 182 games, 134186 moves, e=0.867, loss: 3.4, -, 17.0% elo% vs. simple_bot, avg. reward: -6.029, 1.598 sec/game, 4.2 min. total, 469.4 MB
bullfight_antiviral v5 183 games, 134952 moves, e=0.866, loss: 3.4, -, 16.6% elo% vs. simple_bot, avg. reward: -6.028, 1.604 sec/game, 4.2 min. total, 469.2 MB
bullfight_antiviral v5 184 games, 135635 moves, e=0.866, loss: 3.4, -, 16.2% elo% vs. simple_bot, avg. reward: -6.025, 1.573 sec/game, 4.2 min. total, 469.8 MB
bullfight_antiviral v5 185 games, 136406 moves, e=0.865, loss: 3.6, -, 15.8% elo% vs. simple_bot, avg. reward: -6.018, 1.569 sec/game, 4.3 min. total, 469.3 MB
bullfight_antiviral v5 186 games, 137172 moves, e=0.864, loss: 3.3, -, 15.4% elo% vs. simple_bot, avg. reward: -6.017, 1.554 sec/game, 4.3 min. total, 470.0 MB
bullfight_antiviral v5 187 games, 137870 moves, e=0.864, loss: 3.3, -, 15.0% elo% vs. simple_bot, avg. reward: -6.021, 1.554 sec/game, 4.3 min. total, 470.2 MB
bullfight_antiviral v5 188 games, 138676 moves, e=0.863, loss: 3.3, -, 14.7% elo% vs. simple_bot, avg. reward: -6.016, 1.532 sec/game, 4.3 min. total, 471.4 MB
bullfight_antiviral v5 189 games, 139598 moves, e=0.862, loss: 3.7, -, 14.3% elo% vs. simple_bot, avg. reward: -5.985, 1.547 sec/game, 4.4 min. total, 471.1 MB
bullfight_antiviral v5 190 games, 140351 moves, e=0.861, loss: 3.9, -, 14.0% elo% vs. simple_bot, avg. reward: -5.991, 1.560 sec/game, 4.4 min. total, 471.2 MB
bullfight_antiviral v5 191 games, 141117 moves, e=0.860, loss: 3.9, -, 13.7% elo% vs. simple_bot, avg. reward: -5.989, 1.566 sec/game, 4.4 min. total, 471.1 MB
bullfight_antiviral v5 192 games, 141745 moves, e=0.860, loss: 3.9, -, 13.4% elo% vs. simple_bot, avg. reward: -6.015, 1.561 sec/game, 4.4 min. total, 471.2 MB
bullfight_antiviral v5 193 games, 142483 moves, e=0.859, loss: 3.7, -, 13.1% elo% vs. simple_bot, avg. reward: -6.006, 1.562 sec/game, 4.5 min. total, 471.2 MB
bullfight_antiviral v5 194 games, 143305 moves, e=0.858, loss: 3.7, -, 12.9% elo% vs. simple_bot, avg. reward: -6.004, 1.557 sec/game, 4.5 min. total, 471.8 MB
bullfight_antiviral v5 195 games, 143956 moves, e=0.857, loss: 3.7, -, 12.6% elo% vs. simple_bot, avg. reward: -6.003, 1.544 sec/game, 4.5 min. total, 473.0 MB
bullfight_antiviral v5 196 games, 144641 moves, e=0.857, loss: 4.0, -, 12.3% elo% vs. simple_bot, avg. reward: -5.997, 1.543 sec/game, 4.5 min. total, 473.5 MB
bullfight_antiviral v5 197 games, 145509 moves, e=0.856, loss: 4.1, -, 12.1% elo% vs. simple_bot, avg. reward: -5.993, 1.553 sec/game, 4.6 min. total, 473.2 MB
bullfight_antiviral v5 198 games, 146346 moves, e=0.855, loss: 4.1, -, 11.9% elo% vs. simple_bot, avg. reward: -5.990, 1.554 sec/game, 4.6 min. total, 473.3 MB
bullfight_antiviral v5 199 games, 147032 moves, e=0.854, loss: 3.9, -, 11.6% elo% vs. simple_bot, avg. reward: -5.991, 1.548 sec/game, 4.6 min. total, 473.1 MB
bullfight_antiviral v5 200 games, 147776 moves, e=0.854, loss: 3.8, -, 11.4% elo% vs. simple_bot, avg. reward: -5.987, 1.552 sec/game, 4.6 min. total, 473.7 MB
bullfight_antiviral v6 201 games, 148646 moves, e=0.853, loss: 3.7, -, 47.7% elo% vs. simple_bot, avg. reward: -5.977, 1.549 sec/game, 4.7 min. total, 473.2 MB
bullfight_antiviral v6 202 games, 149583 moves, e=0.852, loss: 3.6, -, 45.5% elo% vs. simple_bot, avg. reward: -5.961, 1.538 sec/game, 4.7 min. total, 473.3 MB
bullfight_antiviral v6 203 games, 150375 moves, e=0.851, loss: 3.7, -, 43.4% elo% vs. simple_bot, avg. reward: -5.952, 1.534 sec/game, 4.7 min. total, 473.9 MB
bullfight_antiviral v6 204 games, 151227 moves, e=0.850, loss: 3.8, -, 41.5% elo% vs. simple_bot, avg. reward: -5.945, 1.555 sec/game, 4.8 min. total, 474.3 MB
bullfight_antiviral v6 205 games, 151951 moves, e=0.850, loss: 3.9, -, 39.6% elo% vs. simple_bot, avg. reward: -5.937, 1.539 sec/game, 4.8 min. total, 474.4 MB
bullfight_antiviral v6 206 games, 152896 moves, e=0.849, loss: 3.9, -, 37.9% elo% vs. simple_bot, avg. reward: -5.930, 1.558 sec/game, 4.8 min. total, 474.6 MB
bullfight_antiviral v6 207 games, 153633 moves, e=0.848, loss: 3.5, -, 36.3% elo% vs. simple_bot, avg. reward: -5.928, 1.555 sec/game, 4.8 min. total, 475.1 MB
bullfight_antiviral v6 208 games, 154472 moves, e=0.847, loss: 3.3, -, 34.8% elo% vs. simple_bot, avg. reward: -5.917, 1.552 sec/game, 4.9 min. total, 475.1 MB
bullfight_antiviral v6 209 games, 155246 moves, e=0.846, loss: 3.5, -, 33.3% elo% vs. simple_bot, avg. reward: -5.914, 1.532 sec/game, 4.9 min. total, 474.9 MB
bullfight_antiviral v6 210 games, 155944 moves, e=0.846, loss: 3.6, -, 32.0% elo% vs. simple_bot, avg. reward: -5.911, 1.529 sec/game, 4.9 min. total, 475.7 MB
bullfight_antiviral v6 211 games, 156783 moves, e=0.845, loss: 3.6, -, 30.7% elo% vs. simple_bot, avg. reward: -5.907, 1.528 sec/game, 4.9 min. total, 477.0 MB
bullfight_antiviral v6 212 games, 157540 moves, e=0.844, loss: 3.9, -, 29.5% elo% vs. simple_bot, avg. reward: -5.904, 1.540 sec/game, 5.0 min. total, 477.1 MB
bullfight_antiviral v6 213 games, 158351 moves, e=0.843, loss: 3.8, -, 28.4% elo% vs. simple_bot, avg. reward: -5.901, 1.554 sec/game, 5.0 min. total, 477.3 MB
bullfight_antiviral v6 214 games, 159179 moves, e=0.842, loss: 3.9, -, 27.3% elo% vs. simple_bot, avg. reward: -5.901, 1.548 sec/game, 5.0 min. total, 477.5 MB
bullfight_antiviral v6 215 games, 159965 moves, e=0.842, loss: 4.1, -, 26.4% elo% vs. simple_bot, avg. reward: -5.903, 1.552 sec/game, 5.0 min. total, 477.9 MB
bullfight_antiviral v6 216 games, 160719 moves, e=0.841, loss: 4.1, -, 25.4% elo% vs. simple_bot, avg. reward: -5.910, 1.551 sec/game, 5.1 min. total, 477.5 MB
bullfight_antiviral v6 217 games, 161505 moves, e=0.840, loss: 4.0, -, 24.5% elo% vs. simple_bot, avg. reward: -5.911, 1.532 sec/game, 5.1 min. total, 477.5 MB
bullfight_antiviral v6 218 games, 162254 moves, e=0.839, loss: 4.2, -, 23.7% elo% vs. simple_bot, avg. reward: -5.903, 1.519 sec/game, 5.1 min. total, 477.6 MB
bullfight_antiviral v6 219 games, 162978 moves, e=0.839, loss: 4.2, -, 22.9% elo% vs. simple_bot, avg. reward: -5.888, 1.525 sec/game, 5.1 min. total, 478.6 MB
bullfight_antiviral v6 220 games, 163792 moves, e=0.838, loss: 4.2, -, 22.2% elo% vs. simple_bot, avg. reward: -5.869, 1.519 sec/game, 5.1 min. total, 478.7 MB
bullfight_antiviral v6 221 games, 164705 moves, e=0.837, loss: 4.3, -, 21.5% elo% vs. simple_bot, avg. reward: -5.863, 1.510 sec/game, 5.2 min. total, 478.9 MB
bullfight_antiviral v6 222 games, 165456 moves, e=0.836, loss: 4.4, -, 20.8% elo% vs. simple_bot, avg. reward: -5.867, 1.496 sec/game, 5.2 min. total, 478.9 MB
bullfight_antiviral v6 223 games, 166149 moves, e=0.836, loss: 4.4, -, 20.2% elo% vs. simple_bot, avg. reward: -5.871, 1.488 sec/game, 5.2 min. total, 479.1 MB
bullfight_antiviral v6 224 games, 166957 moves, e=0.835, loss: 4.1, -, 19.6% elo% vs. simple_bot, avg. reward: -5.856, 1.473 sec/game, 5.2 min. total, 480.8 MB
bullfight_antiviral v6 225 games, 167835 moves, e=0.834, loss: 4.2, -, 19.1% elo% vs. simple_bot, avg. reward: -5.828, 1.482 sec/game, 5.3 min. total, 480.0 MB
bullfight_antiviral v6 226 games, 168770 moves, e=0.833, loss: 4.0, -, 18.5% elo% vs. simple_bot, avg. reward: -5.815, 1.473 sec/game, 5.3 min. total, 480.2 MB
bullfight_antiviral v6 227 games, 169720 moves, e=0.832, loss: 4.1, -, 18.0% elo% vs. simple_bot, avg. reward: -5.794, 1.481 sec/game, 5.3 min. total, 481.5 MB
bullfight_antiviral v6 228 games, 170353 moves, e=0.831, loss: 4.2, -, 17.5% elo% vs. simple_bot, avg. reward: -5.808, 1.488 sec/game, 5.4 min. total, 481.4 MB
bullfight_antiviral v6 229 games, 171146 moves, e=0.831, loss: 4.0, -, 17.1% elo% vs. simple_bot, avg. reward: -5.787, 1.504 sec/game, 5.4 min. total, 481.5 MB
bullfight_antiviral v6 230 games, 171963 moves, e=0.830, loss: 4.0, -, 16.6% elo% vs. simple_bot, avg. reward: -5.780, 1.505 sec/game, 5.4 min. total, 481.6 MB
bullfight_antiviral v6 231 games, 172861 moves, e=0.829, loss: 4.0, -, 16.2% elo% vs. simple_bot, avg. reward: -5.761, 1.524 sec/game, 5.4 min. total, 481.7 MB
bullfight_antiviral v6 232 games, 173736 moves, e=0.828, loss: 3.9, -, 15.8% elo% vs. simple_bot, avg. reward: -5.759, 1.534 sec/game, 5.5 min. total, 481.7 MB
bullfight_antiviral v6 233 games, 174512 moves, e=0.827, loss: 4.0, -, 15.4% elo% vs. simple_bot, avg. reward: -5.750, 1.520 sec/game, 5.5 min. total, 481.8 MB
bullfight_antiviral v6 234 games, 175270 moves, e=0.826, loss: 4.1, -, 15.1% elo% vs. simple_bot, avg. reward: -5.736, 1.516 sec/game, 5.5 min. total, 482.0 MB
bullfight_antiviral v6 235 games, 176084 moves, e=0.826, loss: 4.0, -, 14.7% elo% vs. simple_bot, avg. reward: -5.732, 1.524 sec/game, 5.5 min. total, 482.4 MB
bullfight_antiviral v6 236 games, 176933 moves, e=0.825, loss: 4.0, -, 14.4% elo% vs. simple_bot, avg. reward: -5.730, 1.532 sec/game, 5.6 min. total, 482.2 MB
bullfight_antiviral v6 237 games, 177840 moves, e=0.824, loss: 4.2, -, 14.0% elo% vs. simple_bot, avg. reward: -5.731, 1.545 sec/game, 5.6 min. total, 482.2 MB
bullfight_antiviral v6 238 games, 178654 moves, e=0.823, loss: 4.4, -, 13.7% elo% vs. simple_bot, avg. reward: -5.721, 1.546 sec/game, 5.6 min. total, 482.1 MB
bullfight_antiviral v6 239 games, 179596 moves, e=0.822, loss: 4.2, -, 13.4% elo% vs. simple_bot, avg. reward: -5.708, 1.565 sec/game, 5.6 min. total, 482.2 MB
bullfight_antiviral v6 240 games, 180406 moves, e=0.821, loss: 4.2, -, 13.1% elo% vs. simple_bot, avg. reward: -5.705, 1.566 sec/game, 5.7 min. total, 483.3 MB
bullfight_antiviral v6 241 games, 181140 moves, e=0.821, loss: 4.1, -, 12.9% elo% vs. simple_bot, avg. reward: -5.703, 1.553 sec/game, 5.7 min. total, 483.6 MB
bullfight_antiviral v6 242 games, 181915 moves, e=0.820, loss: 4.0, -, 12.6% elo% vs. simple_bot, avg. reward: -5.700, 1.553 sec/game, 5.7 min. total, 484.8 MB
bullfight_antiviral v6 243 games, 182717 moves, e=0.819, loss: 3.8, -, 12.4% elo% vs. simple_bot, avg. reward: -5.677, 1.556 sec/game, 5.7 min. total, 484.9 MB
bullfight_antiviral v6 244 games, 183565 moves, e=0.818, loss: 4.0, -, 12.1% elo% vs. simple_bot, avg. reward: -5.665, 1.564 sec/game, 5.8 min. total, 485.5 MB
bullfight_antiviral v6 245 games, 184456 moves, e=0.817, loss: 4.2, -, 11.9% elo% vs. simple_bot, avg. reward: -5.652, 1.565 sec/game, 5.8 min. total, 485.5 MB
bullfight_antiviral v6 246 games, 185265 moves, e=0.817, loss: 4.2, -, 11.7% elo% vs. simple_bot, avg. reward: -5.647, 1.556 sec/game, 5.8 min. total, 485.6 MB
bullfight_antiviral v6 247 games, 186146 moves, e=0.816, loss: 3.9, -, 11.4% elo% vs. simple_bot, avg. reward: -5.635, 1.552 sec/game, 5.8 min. total, 485.1 MB
bullfight_antiviral v6 248 games, 186902 moves, e=0.815, loss: 4.1, -, 11.2% elo% vs. simple_bot, avg. reward: -5.628, 1.535 sec/game, 5.9 min. total, 485.2 MB
bullfight_antiviral v6 249 games, 187864 moves, e=0.814, loss: 4.2, -, 11.0% elo% vs. simple_bot, avg. reward: -5.616, 1.528 sec/game, 5.9 min. total, 487.1 MB
bullfight_antiviral v6 250 games, 188677 moves, e=0.813, loss: 3.9, -, 10.8% elo% vs. simple_bot, avg. reward: -5.618, 1.538 sec/game, 5.9 min. total, 487.6 MB
bullfight_antiviral v6 251 games, 189520 moves, e=0.812, loss: 3.9, -, 10.6% elo% vs. simple_bot, avg. reward: -5.616, 1.515 sec/game, 5.9 min. total, 487.7 MB
bullfight_antiviral v6 252 games, 190250 moves, e=0.812, loss: 4.2, -, 10.4% elo% vs. simple_bot, avg. reward: -5.626, 1.501 sec/game, 6.0 min. total, 487.6 MB
bullfight_antiviral v6 253 games, 191166 moves, e=0.811, loss: 4.5, -, 10.3% elo% vs. simple_bot, avg. reward: -5.616, 1.512 sec/game, 6.0 min. total, 487.9 MB
bullfight_antiviral v6 254 games, 192036 moves, e=0.810, loss: 4.4, -, 10.1% elo% vs. simple_bot, avg. reward: -5.604, 1.522 sec/game, 6.0 min. total, 487.9 MB
bullfight_antiviral v6 255 games, 192917 moves, e=0.809, loss: 4.4, -, 9.9% elo% vs. simple_bot, avg. reward: -5.606, 1.527 sec/game, 6.0 min. total, 488.1 MB
bullfight_antiviral v6 256 games, 193614 moves, e=0.808, loss: 4.7, -, 9.8% elo% vs. simple_bot, avg. reward: -5.608, 1.508 sec/game, 6.1 min. total, 488.1 MB
bullfight_antiviral v6 257 games, 194230 moves, e=0.808, loss: 4.5, -, 9.6% elo% vs. simple_bot, avg. reward: -5.624, 1.488 sec/game, 6.1 min. total, 488.7 MB
bullfight_antiviral v6 258 games, 195100 moves, e=0.807, loss: 4.8, -, 9.5% elo% vs. simple_bot, avg. reward: -5.611, 1.507 sec/game, 6.1 min. total, 489.0 MB
bullfight_antiviral v6 259 games, 195998 moves, e=0.806, loss: 4.7, -, 9.3% elo% vs. simple_bot, avg. reward: -5.593, 1.499 sec/game, 6.1 min. total, 488.5 MB
bullfight_antiviral v6 260 games, 196703 moves, e=0.805, loss: 4.8, -, 9.2% elo% vs. simple_bot, avg. reward: -5.597, 1.488 sec/game, 6.2 min. total, 488.7 MB
bullfight_antiviral v6 261 games, 197594 moves, e=0.804, loss: 4.7, -, 9.0% elo% vs. simple_bot, avg. reward: -5.586, 1.500 sec/game, 6.2 min. total, 489.2 MB
bullfight_antiviral v6 262 games, 198408 moves, e=0.804, loss: 4.9, -, 8.9% elo% vs. simple_bot, avg. reward: -5.582, 1.511 sec/game, 6.2 min. total, 489.4 MB
bullfight_antiviral v6 263 games, 199314 moves, e=0.803, loss: 4.9, -, 8.8% elo% vs. simple_bot, avg. reward: -5.564, 1.524 sec/game, 6.2 min. total, 489.2 MB
bullfight_antiviral v6 264 games, 200173 moves, e=0.802, loss: 4.7, -, 8.6% elo% vs. simple_bot, avg. reward: -5.564, 1.523 sec/game, 6.3 min. total, 490.8 MB
bullfight_antiviral v6 265 games, 200937 moves, e=0.801, loss: 5.1, -, 8.5% elo% vs. simple_bot, avg. reward: -5.571, 1.522 sec/game, 6.3 min. total, 490.6 MB
bullfight_antiviral v6 266 games, 201805 moves, e=0.800, loss: 5.0, -, 8.4% elo% vs. simple_bot, avg. reward: -5.563, 1.532 sec/game, 6.3 min. total, 490.6 MB
bullfight_antiviral v6 267 games, 202587 moves, e=0.799, loss: 4.8, -, 8.3% elo% vs. simple_bot, avg. reward: -5.560, 1.534 sec/game, 6.4 min. total, 490.3 MB
bullfight_antiviral v6 268 games, 203548 moves, e=0.798, loss: 4.8, -, 8.1% elo% vs. simple_bot, avg. reward: -5.552, 1.577 sec/game, 6.4 min. total, 490.4 MB
bullfight_antiviral v6 269 games, 204308 moves, e=0.798, loss: 4.9, -, 8.0% elo% vs. simple_bot, avg. reward: -5.555, 1.583 sec/game, 6.4 min. total, 490.5 MB
bullfight_antiviral v6 270 games, 205305 moves, e=0.797, loss: 4.8, -, 7.9% elo% vs. simple_bot, avg. reward: -5.524, 1.612 sec/game, 6.5 min. total, 490.5 MB
bullfight_antiviral v6 271 games, 206287 moves, e=0.796, loss: 4.6, -, 7.8% elo% vs. simple_bot, avg. reward: -5.502, 1.664 sec/game, 6.5 min. total, 491.7 MB
bullfight_antiviral v6 272 games, 207131 moves, e=0.795, loss: 4.7, -, 7.7% elo% vs. simple_bot, avg. reward: -5.495, 1.706 sec/game, 6.5 min. total, 492.1 MB
bullfight_antiviral v6 273 games, 208081 moves, e=0.794, loss: 4.7, -, 7.6% elo% vs. simple_bot, avg. reward: -5.486, 1.719 sec/game, 6.6 min. total, 492.8 MB
bullfight_antiviral v6 274 games, 208818 moves, e=0.793, loss: 4.8, -, 7.5% elo% vs. simple_bot, avg. reward: -5.496, 1.744 sec/game, 6.6 min. total, 492.4 MB
bullfight_antiviral v6 275 games, 209636 moves, e=0.792, loss: 4.7, -, 7.4% elo% vs. simple_bot, avg. reward: -5.492, 1.752 sec/game, 6.6 min. total, 492.4 MB
bullfight_antiviral v6 276 games, 210417 moves, e=0.792, loss: 4.6, -, 7.3% elo% vs. simple_bot, avg. reward: -5.492, 1.775 sec/game, 6.7 min. total, 492.4 MB
bullfight_antiviral v6 277 games, 211501 moves, e=0.791, loss: 4.3, -, 7.2% elo% vs. simple_bot, avg. reward: -5.476, 1.828 sec/game, 6.7 min. total, 492.5 MB
bullfight_antiviral v6 278 games, 212409 moves, e=0.790, loss: 4.3, -, 7.2% elo% vs. simple_bot, avg. reward: -5.480, 1.850 sec/game, 6.7 min. total, 493.4 MB
bullfight_antiviral v6 279 games, 213086 moves, e=0.789, loss: 4.4, -, 7.1% elo% vs. simple_bot, avg. reward: -5.482, 1.831 sec/game, 6.8 min. total, 495.5 MB
bullfight_antiviral v6 280 games, 213923 moves, e=0.788, loss: 4.5, -, 7.0% elo% vs. simple_bot, avg. reward: -5.481, 1.864 sec/game, 6.8 min. total, 495.2 MB
bullfight_antiviral v6 281 games, 214719 moves, e=0.787, loss: 4.5, -, 6.9% elo% vs. simple_bot, avg. reward: -5.476, 1.867 sec/game, 6.8 min. total, 495.8 MB
