bullfight_antiviral v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
bullfight_antiviral v3 34 games, 23762 moves, e=0.976, loss: 3.1, -, 49.6% elo% vs. random_no_suicide, avg. reward: -6.644, 1.284 sec/game, 0.5 min. total, 433.9 MB
bullfight_antiviral v3 35 games, 24682 moves, e=0.976, loss: 2.7, -, 47.3% elo% vs. random_no_suicide, avg. reward: -6.584, 1.304 sec/game, 0.5 min. total, 432.9 MB
bullfight_antiviral v3 36 games, 25362 moves, e=0.975, loss: 3.0, -, 45.1% elo% vs. random_no_suicide, avg. reward: -6.590, 1.297 sec/game, 0.5 min. total, 433.3 MB
bullfight_antiviral v3 37 games, 25986 moves, e=0.974, loss: 3.1, -, 43.1% elo% vs. random_no_suicide, avg. reward: -6.607, 1.287 sec/game, 0.6 min. total, 433.5 MB
bullfight_antiviral v3 38 games, 26706 moves, e=0.974, loss: 3.2, -, 41.2% elo% vs. random_no_suicide, avg. reward: -6.598, 1.294 sec/game, 0.6 min. total, 434.2 MB
bullfight_antiviral v3 39 games, 27398 moves, e=0.973, loss: 3.3, -, 39.3% elo% vs. random_no_suicide, avg. reward: -6.595, 1.309 sec/game, 0.6 min. total, 435.4 MB
bullfight_antiviral v3 40 games, 28129 moves, e=0.972, loss: 3.3, -, 37.6% elo% vs. random_no_suicide, avg. reward: -6.572, 1.314 sec/game, 0.6 min. total, 436.0 MB
bullfight_antiviral v3 41 games, 28854 moves, e=0.971, loss: 3.4, +, 40.4% elo% vs. random_no_suicide, avg. reward: -6.563, 1.331 sec/game, 0.6 min. total, 436.0 MB
bullfight_antiviral v3 42 games, 29523 moves, e=0.971, loss: 3.4, +, 43.0% elo% vs. random_no_suicide, avg. reward: -6.568, 1.337 sec/game, 0.7 min. total, 436.1 MB
bullfight_antiviral v3 43 games, 30244 moves, e=0.970, loss: 3.5, -, 41.1% elo% vs. random_no_suicide, avg. reward: -6.562, 1.346 sec/game, 0.7 min. total, 436.2 MB
