water_affection v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.9 MB
water_affection v18 809 games, 942819 moves, e=0.067, loss: 3.0, -, 52.6% elo% vs. v16, avg. reward: -2.146, 6.739 sec/game, 23.5 min. total, 698.8 MB
water_affection v18 810 games, 945891 moves, e=0.064, loss: 3.1, +, 54.7% elo% vs. v16, avg. reward: -2.132, 6.790 sec/game, 23.6 min. total, 698.9 MB
water_affection v18 811 games, 949247 moves, e=0.060, loss: 2.9, ., 54.5% elo% vs. v16, avg. reward: -2.108, 6.860 sec/game, 23.7 min. total, 698.5 MB
water_affection v18 812 games, 952592 moves, e=0.057, loss: 2.7, +, 56.6% elo% vs. v16, avg. reward: -2.088, 6.915 sec/game, 23.9 min. total, 701.4 MB
water_affection v18 813 games, 955879 moves, e=0.054, loss: 2.6, +, 58.6% elo% vs. v16, avg. reward: -2.071, 6.946 sec/game, 24.0 min. total, 703.6 MB
water_affection v18 814 games, 959020 moves, e=0.051, loss: 3.0, -, 55.9% elo% vs. v16, avg. reward: -2.050, 6.950 sec/game, 24.1 min. total, 702.6 MB
water_affection v18 815 games, 962569 moves, e=0.047, loss: 2.6, -, 53.4% elo% vs. v16, avg. reward: -2.026, 7.016 sec/game, 24.2 min. total, 700.9 MB
water_affection v18 816 games, 966025 moves, e=0.044, loss: 3.1, -, 50.9% elo% vs. v16, avg. reward: -2.005, 7.033 sec/game, 24.3 min. total, 704.7 MB
water_affection v18 817 games, 969688 moves, e=0.040, loss: 2.7, +, 53.2% elo% vs. v16, avg. reward: -1.979, 7.093 sec/game, 24.5 min. total, 704.6 MB
water_affection v18 818 games, 973264 moves, e=0.036, loss: 3.0, +, 55.3% elo% vs. v16, avg. reward: -1.956, 7.157 sec/game, 24.6 min. total, 705.1 MB
water_affection v18 819 games, 976743 moves, e=0.033, loss: 2.6, +, 57.3% elo% vs. v16, avg. reward: -1.927, 7.203 sec/game, 24.7 min. total, 709.0 MB
water_affection v18 820 games, 980570 moves, e=0.029, loss: 3.0, ., 57.0% elo% vs. v16, avg. reward: -1.905, 7.280 sec/game, 24.9 min. total, 707.0 MB
water_affection v18 821 games, 984404 moves, e=0.025, loss: 2.8, +, 58.9% elo% vs. v16, avg. reward: -1.877, 7.360 sec/game, 25.0 min. total, 708.0 MB
water_affection v18 822 games, 988431 moves, e=0.021, loss: 2.4, +, 60.7% elo% vs. v16, avg. reward: -1.852, 7.452 sec/game, 25.1 min. total, 706.4 MB
water_affection v18 823 games, 992317 moves, e=0.018, loss: 3.1, +, 62.5% elo% vs. v16, avg. reward: -1.829, 7.498 sec/game, 25.3 min. total, 706.9 MB
water_affection v18 824 games, 996439 moves, e=0.014, loss: 3.4, +, 64.1% elo% vs. v16, avg. reward: -1.807, 7.578 sec/game, 25.4 min. total, 707.2 MB
water_affection v18 825 games, 1000606 moves, e=0.010, loss: 3.0, -, 61.3% elo% vs. v16, avg. reward: -1.783, 7.680 sec/game, 25.6 min. total, 711.8 MB
water_affection v18 826 games, 1004837 moves, e=0.010, loss: 3.2, +, 63.0% elo% vs. v16, avg. reward: -1.758, 7.788 sec/game, 25.7 min. total, 714.3 MB
water_affection v18 827 games, 1008856 moves, e=0.010, loss: 3.0, +, 64.6% elo% vs. v16, avg. reward: -1.731, 7.817 sec/game, 25.9 min. total, 713.7 MB
water_affection v18 828 games, 1012979 moves, e=0.010, loss: 3.3, +, 66.0% elo% vs. v16, avg. reward: -1.712, 7.872 sec/game, 26.0 min. total, 713.2 MB
water_affection v18 829 games, 1016773 moves, e=0.010, loss: 3.4, +, 67.4% elo% vs. v16, avg. reward: -1.680, 7.909 sec/game, 26.1 min. total, 714.5 MB
water_affection v18 830 games, 1020969 moves, e=0.010, loss: 3.3, +, 68.7% elo% vs. v16, avg. reward: -1.655, 8.020 sec/game, 26.3 min. total, 714.9 MB
water_affection v18 831 games, 1024649 moves, e=0.010, loss: 2.9, +, 70.0% elo% vs. v16, avg. reward: -1.628, 8.062 sec/game, 26.4 min. total, 716.6 MB
water_affection v18 832 games, 1029128 moves, e=0.010, loss: 3.1, +, 71.1% elo% vs. v16, avg. reward: -1.602, 8.165 sec/game, 26.6 min. total, 714.9 MB
water_affection v19 833 games, 1033423 moves, e=0.010, loss: 2.2, -, 49.9% elo% vs. v18, avg. reward: -1.580, 8.266 sec/game, 26.7 min. total, 726.7 MB
water_affection v19 834 games, 1037896 moves, e=0.010, loss: 2.1, ., 49.9% elo% vs. v18, avg. reward: -1.553, 8.432 sec/game, 26.9 min. total, 718.4 MB
water_affection v19 835 games, 1042206 moves, e=0.010, loss: 2.2, +, 52.2% elo% vs. v18, avg. reward: -1.529, 8.507 sec/game, 27.1 min. total, 717.5 MB
water_affection v19 836 games, 1046432 moves, e=0.010, loss: 1.7, +, 54.4% elo% vs. v18, avg. reward: -1.504, 8.591 sec/game, 27.2 min. total, 718.5 MB
water_affection v19 837 games, 1050530 moves, e=0.010, loss: 1.8, -, 51.9% elo% vs. v18, avg. reward: -1.481, 8.650 sec/game, 27.4 min. total, 719.8 MB
water_affection v19 838 games, 1054933 moves, e=0.010, loss: 2.2, -, 49.5% elo% vs. v18, avg. reward: -1.459, 8.723 sec/game, 27.5 min. total, 720.7 MB
water_affection v19 839 games, 1059524 moves, e=0.010, loss: 1.8, -, 47.2% elo% vs. v18, avg. reward: -1.431, 8.845 sec/game, 27.7 min. total, 721.1 MB
water_affection v19 840 games, 1063701 moves, e=0.010, loss: 1.9, +, 49.7% elo% vs. v18, avg. reward: -1.411, 8.875 sec/game, 27.8 min. total, 722.3 MB
water_affection v19 841 games, 1068014 moves, e=0.010, loss: 2.2, -, 47.4% elo% vs. v18, avg. reward: -1.387, 8.912 sec/game, 28.0 min. total, 723.3 MB
water_affection v19 842 games, 1072372 moves, e=0.010, loss: 2.1, -, 45.2% elo% vs. v18, avg. reward: -1.360, 8.925 sec/game, 28.1 min. total, 725.0 MB
water_affection v19 843 games, 1076637 moves, e=0.010, loss: 1.9, ., 45.4% elo% vs. v18, avg. reward: -1.336, 8.978 sec/game, 28.3 min. total, 725.0 MB
water_affection v19 844 games, 1080591 moves, e=0.010, loss: 2.2, -, 43.4% elo% vs. v18, avg. reward: -1.312, 8.969 sec/game, 28.4 min. total, 726.2 MB
water_affection v19 845 games, 1084743 moves, e=0.010, loss: 2.6, +, 45.9% elo% vs. v18, avg. reward: -1.287, 8.949 sec/game, 28.6 min. total, 726.2 MB
water_affection v19 846 games, 1089117 moves, e=0.010, loss: 2.8, +, 48.4% elo% vs. v18, avg. reward: -1.271, 8.945 sec/game, 28.7 min. total, 728.2 MB
water_affection v19 847 games, 1093101 moves, e=0.010, loss: 2.7, +, 50.8% elo% vs. v18, avg. reward: -1.253, 8.942 sec/game, 28.8 min. total, 727.2 MB
water_affection v19 848 games, 1097320 moves, e=0.010, loss: 2.7, -, 48.5% elo% vs. v18, avg. reward: -1.229, 8.949 sec/game, 29.0 min. total, 730.0 MB
water_affection v19 849 games, 1101537 moves, e=0.010, loss: 2.2, -, 46.2% elo% vs. v18, avg. reward: -1.207, 8.979 sec/game, 29.1 min. total, 731.0 MB
water_affection v19 850 games, 1105701 moves, e=0.010, loss: 2.7, -, 44.1% elo% vs. v18, avg. reward: -1.186, 8.982 sec/game, 29.3 min. total, 731.7 MB
water_affection v19 851 games, 1110037 moves, e=0.010, loss: 2.3, +, 46.7% elo% vs. v18, avg. reward: -1.169, 9.038 sec/game, 29.4 min. total, 730.9 MB
water_affection v19 852 games, 1113975 moves, e=0.010, loss: 2.2, +, 49.1% elo% vs. v18, avg. reward: -1.152, 8.972 sec/game, 29.6 min. total, 732.5 MB
water_affection v19 853 games, 1118195 moves, e=0.010, loss: 2.6, +, 51.5% elo% vs. v18, avg. reward: -1.136, 8.963 sec/game, 29.7 min. total, 730.6 MB
water_affection v19 854 games, 1122469 moves, e=0.010, loss: 2.4, -, 49.1% elo% vs. v18, avg. reward: -1.118, 8.914 sec/game, 29.9 min. total, 731.1 MB
water_affection v19 855 games, 1126748 moves, e=0.010, loss: 2.2, +, 51.4% elo% vs. v18, avg. reward: -1.099, 8.894 sec/game, 30.0 min. total, 731.9 MB
water_affection v19 856 games, 1131036 moves, e=0.010, loss: 2.2, +, 53.7% elo% vs. v18, avg. reward: -1.082, 8.895 sec/game, 30.2 min. total, 735.2 MB
water_affection v19 857 games, 1135535 moves, e=0.010, loss: 1.8, +, 55.8% elo% vs. v18, avg. reward: -1.059, 8.935 sec/game, 30.3 min. total, 735.2 MB
water_affection v19 858 games, 1139504 moves, e=0.010, loss: 2.1, -, 53.2% elo% vs. v18, avg. reward: -1.038, 8.893 sec/game, 30.5 min. total, 735.1 MB
water_affection v19 859 games, 1143489 moves, e=0.010, loss: 2.2, +, 55.4% elo% vs. v18, avg. reward: -1.016, 8.817 sec/game, 30.6 min. total, 736.3 MB
water_affection v19 860 games, 1147575 moves, e=0.010, loss: 2.3, -, 52.8% elo% vs. v18, avg. reward: -0.999, 8.806 sec/game, 30.8 min. total, 736.1 MB
water_affection v19 861 games, 1151684 moves, e=0.010, loss: 2.2, +, 55.0% elo% vs. v18, avg. reward: -0.986, 8.787 sec/game, 30.9 min. total, 735.8 MB
water_affection v19 862 games, 1155494 moves, e=0.010, loss: 2.4, -, 52.5% elo% vs. v18, avg. reward: -0.973, 8.733 sec/game, 31.0 min. total, 738.5 MB
water_affection v19 863 games, 1159555 moves, e=0.010, loss: 2.7, -, 50.1% elo% vs. v18, avg. reward: -0.952, 8.707 sec/game, 31.2 min. total, 739.5 MB
water_affection v19 864 games, 1163615 moves, e=0.010, loss: 3.1, -, 47.8% elo% vs. v18, avg. reward: -0.936, 8.699 sec/game, 31.3 min. total, 739.6 MB
water_affection v19 865 games, 1167816 moves, e=0.010, loss: 2.9, -, 45.6% elo% vs. v18, avg. reward: -0.918, 8.714 sec/game, 31.5 min. total, 740.0 MB
water_affection v19 866 games, 1172062 moves, e=0.010, loss: 3.3, +, 48.1% elo% vs. v18, avg. reward: -0.906, 8.717 sec/game, 31.6 min. total, 740.8 MB
water_affection v19 867 games, 1176182 moves, e=0.010, loss: 3.0, +, 50.5% elo% vs. v18, avg. reward: -0.888, 8.734 sec/game, 31.8 min. total, 741.4 MB
water_affection v19 868 games, 1180478 moves, e=0.010, loss: 3.0, +, 52.7% elo% vs. v18, avg. reward: -0.873, 8.755 sec/game, 31.9 min. total, 742.6 MB
water_affection v19 869 games, 1184494 moves, e=0.010, loss: 2.6, -, 50.3% elo% vs. v18, avg. reward: -0.858, 8.737 sec/game, 32.1 min. total, 745.0 MB
water_affection v19 870 games, 1188608 moves, e=0.010, loss: 2.4, +, 52.6% elo% vs. v18, avg. reward: -0.844, 8.732 sec/game, 32.2 min. total, 742.7 MB
water_affection v19 871 games, 1192448 moves, e=0.010, loss: 3.0, -, 50.2% elo% vs. v18, avg. reward: -0.832, 8.680 sec/game, 32.3 min. total, 744.6 MB
water_affection v19 872 games, 1196512 moves, e=0.010, loss: 2.3, -, 47.9% elo% vs. v18, avg. reward: -0.816, 8.687 sec/game, 32.5 min. total, 745.6 MB
water_affection v19 873 games, 1200713 moves, e=0.010, loss: 2.2, +, 50.3% elo% vs. v18, avg. reward: -0.799, 8.691 sec/game, 32.6 min. total, 746.3 MB
water_affection v19 874 games, 1204856 moves, e=0.010, loss: 2.4, -, 48.0% elo% vs. v18, avg. reward: -0.786, 8.660 sec/game, 32.8 min. total, 747.3 MB
water_affection v19 875 games, 1209251 moves, e=0.010, loss: 2.4, +, 50.4% elo% vs. v18, avg. reward: -0.765, 8.692 sec/game, 32.9 min. total, 746.4 MB
water_affection v19 876 games, 1213405 moves, e=0.010, loss: 2.0, +, 52.6% elo% vs. v18, avg. reward: -0.748, 8.671 sec/game, 33.1 min. total, 746.1 MB
water_affection v19 877 games, 1217597 moves, e=0.010, loss: 2.2, -, 50.2% elo% vs. v18, avg. reward: -0.735, 8.634 sec/game, 33.2 min. total, 747.8 MB
water_affection v19 878 games, 1221714 moves, e=0.010, loss: 2.1, -, 47.9% elo% vs. v18, avg. reward: -0.720, 8.654 sec/game, 33.4 min. total, 749.5 MB
water_affection v19 879 games, 1225720 moves, e=0.010, loss: 2.6, -, 45.7% elo% vs. v18, avg. reward: -0.709, 8.657 sec/game, 33.5 min. total, 750.3 MB
water_affection v19 880 games, 1229693 moves, e=0.010, loss: 2.7, -, 43.6% elo% vs. v18, avg. reward: -0.699, 8.636 sec/game, 33.6 min. total, 751.3 MB
water_affection v19 881 games, 1233844 moves, e=0.010, loss: 2.1, +, 46.2% elo% vs. v18, avg. reward: -0.689, 8.656 sec/game, 33.8 min. total, 752.4 MB
water_affection v19 882 games, 1237954 moves, e=0.010, loss: 2.6, +, 48.7% elo% vs. v18, avg. reward: -0.678, 8.681 sec/game, 33.9 min. total, 753.5 MB
water_affection v19 883 games, 1241893 moves, e=0.010, loss: 2.7, -, 46.4% elo% vs. v18, avg. reward: -0.664, 8.663 sec/game, 34.1 min. total, 753.1 MB
water_affection v19 884 games, 1246079 moves, e=0.010, loss: 2.9, +, 48.9% elo% vs. v18, avg. reward: -0.653, 8.691 sec/game, 34.2 min. total, 755.8 MB
water_affection v19 885 games, 1250259 moves, e=0.010, loss: 3.0, +, 51.2% elo% vs. v18, avg. reward: -0.635, 8.687 sec/game, 34.4 min. total, 756.4 MB
water_affection v19 886 games, 1254651 moves, e=0.010, loss: 2.6, -, 48.9% elo% vs. v18, avg. reward: -0.620, 8.689 sec/game, 34.5 min. total, 755.4 MB
water_affection v19 887 games, 1259052 moves, e=0.010, loss: 2.5, +, 51.2% elo% vs. v18, avg. reward: -0.606, 8.734 sec/game, 34.7 min. total, 756.4 MB
water_affection v19 888 games, 1263327 moves, e=0.010, loss: 2.2, -, 48.9% elo% vs. v18, avg. reward: -0.592, 8.715 sec/game, 34.8 min. total, 756.9 MB
water_affection v19 889 games, 1267381 moves, e=0.010, loss: 2.1, +, 51.2% elo% vs. v18, avg. reward: -0.581, 8.724 sec/game, 35.0 min. total, 758.0 MB
water_affection v19 890 games, 1271592 moves, e=0.010, loss: 2.0, ., 51.2% elo% vs. v18, avg. reward: -0.567, 8.736 sec/game, 35.1 min. total, 758.0 MB
water_affection v19 891 games, 1275701 moves, e=0.010, loss: 2.1, +, 53.4% elo% vs. v18, avg. reward: -0.554, 8.770 sec/game, 35.3 min. total, 758.6 MB
water_affection v19 892 games, 1280032 moves, e=0.010, loss: 2.1, -, 51.0% elo% vs. v18, avg. reward: -0.544, 8.806 sec/game, 35.4 min. total, 758.6 MB
water_affection v19 893 games, 1284328 moves, e=0.010, loss: 2.1, ., 50.9% elo% vs. v18, avg. reward: -0.533, 8.814 sec/game, 35.6 min. total, 760.1 MB
water_affection v19 894 games, 1288647 moves, e=0.010, loss: 1.7, -, 48.6% elo% vs. v18, avg. reward: -0.525, 8.839 sec/game, 35.7 min. total, 760.6 MB
water_affection v19 895 games, 1293067 moves, e=0.010, loss: 2.1, -, 46.3% elo% vs. v18, avg. reward: -0.515, 8.830 sec/game, 35.9 min. total, 761.5 MB
water_affection v19 896 games, 1297370 moves, e=0.010, loss: 1.8, -, 44.2% elo% vs. v18, avg. reward: -0.507, 8.849 sec/game, 36.0 min. total, 761.1 MB
water_affection v19 897 games, 1301869 moves, e=0.010, loss: 2.1, +, 46.8% elo% vs. v18, avg. reward: -0.496, 8.880 sec/game, 36.2 min. total, 761.5 MB
water_affection v19 898 games, 1306088 moves, e=0.010, loss: 1.9, +, 49.2% elo% vs. v18, avg. reward: -0.487, 8.888 sec/game, 36.3 min. total, 763.8 MB
water_affection v19 899 games, 1310413 moves, e=0.010, loss: 2.2, -, 47.0% elo% vs. v18, avg. reward: -0.477, 8.932 sec/game, 36.5 min. total, 761.9 MB
water_affection v19 900 games, 1314714 moves, e=0.010, loss: 2.0, -, 44.8% elo% vs. v18, avg. reward: -0.468, 8.969 sec/game, 36.6 min. total, 763.7 MB
water_affection v20 901 games, 1318608 moves, e=0.010, loss: 2.3, -, 47.7% elo% vs. v18, avg. reward: -0.461, 8.934 sec/game, 36.8 min. total, 766.2 MB
water_affection v20 902 games, 1322789 moves, e=0.010, loss: 2.6, -, 45.5% elo% vs. v18, avg. reward: -0.453, 8.955 sec/game, 36.9 min. total, 767.5 MB
water_affection v20 903 games, 1327307 moves, e=0.010, loss: 2.0, -, 43.4% elo% vs. v18, avg. reward: -0.446, 8.999 sec/game, 37.1 min. total, 766.5 MB
water_affection v20 904 games, 1331464 moves, e=0.010, loss: 2.7, -, 41.5% elo% vs. v18, avg. reward: -0.440, 8.994 sec/game, 37.2 min. total, 767.4 MB
water_affection v20 905 games, 1335755 moves, e=0.010, loss: 2.3, +, 44.1% elo% vs. v18, avg. reward: -0.430, 8.994 sec/game, 37.4 min. total, 768.9 MB
water_affection v20 906 games, 1339876 moves, e=0.010, loss: 3.3, -, 42.1% elo% vs. v18, avg. reward: -0.423, 8.969 sec/game, 37.5 min. total, 769.1 MB
water_affection v20 907 games, 1344006 moves, e=0.010, loss: 3.1, +, 44.8% elo% vs. v18, avg. reward: -0.419, 8.938 sec/game, 37.6 min. total, 771.5 MB
water_affection v20 908 games, 1348040 moves, e=0.010, loss: 3.4, +, 47.3% elo% vs. v18, avg. reward: -0.414, 8.911 sec/game, 37.8 min. total, 771.8 MB
water_affection v20 909 games, 1352425 moves, e=0.010, loss: 3.4, +, 49.7% elo% vs. v18, avg. reward: -0.409, 8.942 sec/game, 37.9 min. total, 772.6 MB
water_affection v20 910 games, 1356834 moves, e=0.010, loss: 2.5, +, 52.0% elo% vs. v18, avg. reward: -0.400, 8.960 sec/game, 38.1 min. total, 774.0 MB
water_affection v20 911 games, 1360964 moves, e=0.010, loss: 2.4, +, 54.2% elo% vs. v18, avg. reward: -0.396, 8.958 sec/game, 38.2 min. total, 775.4 MB
water_affection v20 912 games, 1365098 moves, e=0.010, loss: 2.7, -, 51.7% elo% vs. v18, avg. reward: -0.390, 8.948 sec/game, 38.4 min. total, 773.6 MB
water_affection v20 913 games, 1368963 moves, e=0.010, loss: 2.7, -, 49.4% elo% vs. v18, avg. reward: -0.386, 8.910 sec/game, 38.5 min. total, 771.6 MB
water_affection v20 914 games, 1372910 moves, e=0.010, loss: 2.5, -, 47.1% elo% vs. v18, avg. reward: -0.379, 8.869 sec/game, 38.7 min. total, 774.7 MB
water_affection v20 915 games, 1377190 moves, e=0.010, loss: 1.8, -, 44.9% elo% vs. v18, avg. reward: -0.376, 8.856 sec/game, 38.8 min. total, 775.1 MB
water_affection v20 916 games, 1381440 moves, e=0.010, loss: 2.5, -, 42.9% elo% vs. v18, avg. reward: -0.372, 8.846 sec/game, 39.0 min. total, 775.2 MB
water_affection v20 917 games, 1385883 moves, e=0.010, loss: 2.7, +, 45.5% elo% vs. v18, avg. reward: -0.367, 8.841 sec/game, 39.1 min. total, 775.9 MB
water_affection v20 918 games, 1390023 moves, e=0.010, loss: 2.5, +, 48.0% elo% vs. v18, avg. reward: -0.365, 8.834 sec/game, 39.3 min. total, 777.4 MB
water_affection v20 919 games, 1394195 moves, e=0.010, loss: 2.3, -, 45.8% elo% vs. v18, avg. reward: -0.361, 8.823 sec/game, 39.4 min. total, 778.8 MB
water_affection v20 920 games, 1398192 moves, e=0.010, loss: 2.8, -, 43.7% elo% vs. v18, avg. reward: -0.361, 8.789 sec/game, 39.6 min. total, 778.6 MB
water_affection v20 921 games, 1402444 moves, e=0.010, loss: 2.7, +, 46.3% elo% vs. v18, avg. reward: -0.358, 8.841 sec/game, 39.7 min. total, 779.3 MB
water_affection v20 922 games, 1406409 moves, e=0.010, loss: 2.9, -, 44.2% elo% vs. v18, avg. reward: -0.356, 8.809 sec/game, 39.8 min. total, 779.2 MB
water_affection v20 923 games, 1410456 moves, e=0.010, loss: 2.9, ., 44.4% elo% vs. v18, avg. reward: -0.357, 8.775 sec/game, 40.0 min. total, 780.3 MB
water_affection v20 924 games, 1414620 moves, e=0.010, loss: 2.6, -, 42.4% elo% vs. v18, avg. reward: -0.357, 8.766 sec/game, 40.1 min. total, 779.5 MB
water_affection v20 925 games, 1418708 moves, e=0.010, loss: 2.6, -, 40.5% elo% vs. v18, avg. reward: -0.358, 8.754 sec/game, 40.3 min. total, 781.5 MB
water_affection v20 926 games, 1422947 moves, e=0.010, loss: 2.6, -, 38.7% elo% vs. v18, avg. reward: -0.358, 8.767 sec/game, 40.4 min. total, 781.2 MB
water_affection v20 927 games, 1427188 moves, e=0.010, loss: 2.7, -, 37.0% elo% vs. v18, avg. reward: -0.358, 8.766 sec/game, 40.6 min. total, 781.3 MB
water_affection v20 928 games, 1431687 moves, e=0.010, loss: 2.9, -, 35.5% elo% vs. v18, avg. reward: -0.356, 8.834 sec/game, 40.7 min. total, 782.2 MB
water_affection v20 929 games, 1436031 moves, e=0.010, loss: 2.6, ., 36.1% elo% vs. v18, avg. reward: -0.354, 8.823 sec/game, 40.9 min. total, 782.1 MB
water_affection v20 930 games, 1440375 moves, e=0.010, loss: 2.6, -, 34.6% elo% vs. v18, avg. reward: -0.354, 8.809 sec/game, 41.0 min. total, 784.9 MB
water_affection v20 931 games, 1444717 moves, e=0.010, loss: 2.3, +, 37.3% elo% vs. v18, avg. reward: -0.352, 8.854 sec/game, 41.2 min. total, 785.9 MB
water_affection v20 932 games, 1449082 moves, e=0.010, loss: 1.6, -, 35.7% elo% vs. v18, avg. reward: -0.351, 8.880 sec/game, 41.3 min. total, 786.7 MB
water_affection v20 933 games, 1453469 moves, e=0.010, loss: 1.4, -, 34.2% elo% vs. v18, avg. reward: -0.351, 8.930 sec/game, 41.5 min. total, 787.9 MB
water_affection v20 934 games, 1457597 moves, e=0.010, loss: 2.3, -, 32.8% elo% vs. v18, avg. reward: -0.353, 8.949 sec/game, 41.6 min. total, 789.5 MB
water_affection v20 935 games, 1461559 moves, e=0.010, loss: 3.1, +, 35.6% elo% vs. v18, avg. reward: -0.355, 8.916 sec/game, 41.8 min. total, 787.4 MB
water_affection v20 936 games, 1465655 moves, e=0.010, loss: 2.9, +, 38.4% elo% vs. v18, avg. reward: -0.355, 8.904 sec/game, 41.9 min. total, 789.8 MB
water_affection v20 937 games, 1470032 moves, e=0.010, loss: 3.0, +, 41.1% elo% vs. v18, avg. reward: -0.355, 8.897 sec/game, 42.1 min. total, 790.4 MB
water_affection v20 938 games, 1473990 moves, e=0.010, loss: 2.4, ., 41.5% elo% vs. v18, avg. reward: -0.356, 8.878 sec/game, 42.2 min. total, 791.9 MB
water_affection v20 939 games, 1478340 moves, e=0.010, loss: 2.7, +, 44.1% elo% vs. v18, avg. reward: -0.357, 8.883 sec/game, 42.4 min. total, 792.0 MB
water_affection v20 940 games, 1482893 moves, e=0.010, loss: 2.6, ., 44.4% elo% vs. v18, avg. reward: -0.354, 8.945 sec/game, 42.5 min. total, 792.5 MB
water_affection v20 941 games, 1487265 moves, e=0.010, loss: 2.1, -, 42.4% elo% vs. v18, avg. reward: -0.354, 8.941 sec/game, 42.7 min. total, 790.5 MB
water_affection v20 942 games, 1491827 moves, e=0.010, loss: 1.8, ., 42.7% elo% vs. v18, avg. reward: -0.354, 8.995 sec/game, 42.8 min. total, 796.7 MB
water_affection v20 943 games, 1496115 moves, e=0.010, loss: 2.0, -, 40.8% elo% vs. v18, avg. reward: -0.353, 9.022 sec/game, 43.0 min. total, 795.4 MB
water_affection v20 944 games, 1500275 moves, e=0.010, loss: 2.1, -, 39.0% elo% vs. v18, avg. reward: -0.352, 9.028 sec/game, 43.1 min. total, 797.5 MB
water_affection v20 945 games, 1504716 moves, e=0.010, loss: 2.8, -, 37.3% elo% vs. v18, avg. reward: -0.351, 9.072 sec/game, 43.3 min. total, 795.7 MB
water_affection v20 946 games, 1509031 moves, e=0.010, loss: 3.3, -, 35.7% elo% vs. v18, avg. reward: -0.350, 9.092 sec/game, 43.5 min. total, 795.6 MB
water_affection v20 947 games, 1513268 moves, e=0.010, loss: 2.6, +, 38.5% elo% vs. v18, avg. reward: -0.348, 9.092 sec/game, 43.6 min. total, 798.7 MB
water_affection v20 948 games, 1517361 moves, e=0.010, loss: 2.6, +, 41.2% elo% vs. v18, avg. reward: -0.349, 9.040 sec/game, 43.7 min. total, 800.8 MB
water_affection v20 949 games, 1521547 moves, e=0.010, loss: 2.2, -, 39.4% elo% vs. v18, avg. reward: -0.348, 9.035 sec/game, 43.9 min. total, 799.7 MB
water_affection v20 950 games, 1526217 moves, e=0.010, loss: 1.9, -, 37.7% elo% vs. v18, avg. reward: -0.346, 9.060 sec/game, 44.1 min. total, 798.8 MB
water_affection v20 951 games, 1530744 moves, e=0.010, loss: 2.1, -, 36.1% elo% vs. v18, avg. reward: -0.346, 9.052 sec/game, 44.2 min. total, 801.9 MB
water_affection v20 952 games, 1535114 moves, e=0.010, loss: 2.6, +, 38.8% elo% vs. v18, avg. reward: -0.346, 9.052 sec/game, 44.4 min. total, 803.0 MB
water_affection v20 953 games, 1539142 moves, e=0.010, loss: 3.0, ., 39.3% elo% vs. v18, avg. reward: -0.346, 9.008 sec/game, 44.5 min. total, 802.2 MB
water_affection v20 954 games, 1543487 moves, e=0.010, loss: 3.0, -, 37.6% elo% vs. v18, avg. reward: -0.347, 9.037 sec/game, 44.7 min. total, 802.0 MB
water_affection v20 955 games, 1547891 moves, e=0.010, loss: 2.7, +, 40.3% elo% vs. v18, avg. reward: -0.347, 9.079 sec/game, 44.8 min. total, 803.4 MB
water_affection v20 956 games, 1552380 moves, e=0.010, loss: 2.2, +, 43.0% elo% vs. v18, avg. reward: -0.347, 9.119 sec/game, 45.0 min. total, 805.1 MB
water_affection v20 957 games, 1557011 moves, e=0.010, loss: 2.2, +, 45.6% elo% vs. v18, avg. reward: -0.347, 9.157 sec/game, 45.1 min. total, 804.7 MB
water_affection v20 958 games, 1561313 moves, e=0.010, loss: 2.0, +, 48.1% elo% vs. v18, avg. reward: -0.346, 9.180 sec/game, 45.3 min. total, 804.7 MB
water_affection v20 959 games, 1565655 moves, e=0.010, loss: 2.1, -, 45.9% elo% vs. v18, avg. reward: -0.345, 9.188 sec/game, 45.4 min. total, 806.5 MB
water_affection v20 960 games, 1569765 moves, e=0.010, loss: 2.4, -, 43.8% elo% vs. v18, avg. reward: -0.344, 9.145 sec/game, 45.6 min. total, 806.6 MB
water_affection v20 961 games, 1573904 moves, e=0.010, loss: 2.6, ., 44.1% elo% vs. v18, avg. reward: -0.344, 9.127 sec/game, 45.7 min. total, 809.4 MB
water_affection v20 962 games, 1578171 moves, e=0.010, loss: 2.2, +, 46.6% elo% vs. v18, avg. reward: -0.342, 9.106 sec/game, 45.9 min. total, 808.7 MB
water_affection v20 963 games, 1581846 moves, e=0.010, loss: 2.5, -, 44.5% elo% vs. v18, avg. reward: -0.342, 9.043 sec/game, 46.0 min. total, 810.1 MB
water_affection v20 964 games, 1585531 moves, e=0.010, loss: 2.5, -, 42.5% elo% vs. v18, avg. reward: -0.342, 8.984 sec/game, 46.1 min. total, 810.6 MB
water_affection v20 965 games, 1589288 moves, e=0.010, loss: 2.7, -, 40.6% elo% vs. v18, avg. reward: -0.343, 8.916 sec/game, 46.3 min. total, 815.5 MB
water_affection v20 966 games, 1593348 moves, e=0.010, loss: 3.0, ., 41.0% elo% vs. v18, avg. reward: -0.342, 8.882 sec/game, 46.4 min. total, 814.4 MB
water_affection v20 967 games, 1597509 moves, e=0.010, loss: 3.4, +, 43.6% elo% vs. v18, avg. reward: -0.340, 8.868 sec/game, 46.6 min. total, 813.7 MB
water_affection v20 968 games, 1601747 moves, e=0.010, loss: 3.3, +, 46.2% elo% vs. v18, avg. reward: -0.341, 8.881 sec/game, 46.7 min. total, 813.6 MB
