banner_lazy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.3 MB
banner_lazy v2 35 games, 24557 moves, e=0.976, loss: 0.1, +, 69.5% elo% vs. guard_bot, avg. reward: 0.126, 1.975 sec/game, 0.7 min. total, 466.4 MB
banner_lazy v2 36 games, 25215 moves, e=0.975, loss: 0.1, +, 70.7% elo% vs. guard_bot, avg. reward: 0.126, 1.954 sec/game, 0.8 min. total, 466.6 MB
banner_lazy v3 37 games, 25813 moves, e=0.974, loss: 0.1, -, 49.9% elo% vs. random_no_suicide, avg. reward: 0.127, 1.923 sec/game, 0.8 min. total, 466.8 MB
banner_lazy v3 38 games, 26529 moves, e=0.974, loss: 0.1, -, 47.6% elo% vs. random_no_suicide, avg. reward: 0.124, 1.901 sec/game, 0.8 min. total, 468.1 MB
banner_lazy v3 39 games, 27334 moves, e=0.973, loss: 0.1, +, 50.0% elo% vs. random_no_suicide, avg. reward: 0.124, 1.886 sec/game, 0.8 min. total, 473.3 MB
banner_lazy v3 40 games, 28009 moves, e=0.972, loss: 0.1, +, 52.3% elo% vs. random_no_suicide, avg. reward: 0.122, 1.892 sec/game, 0.9 min. total, 469.5 MB
banner_lazy v3 41 games, 28577 moves, e=0.972, loss: 0.1, +, 54.5% elo% vs. random_no_suicide, avg. reward: 0.120, 1.855 sec/game, 0.9 min. total, 475.1 MB
banner_lazy v3 42 games, 29475 moves, e=0.971, loss: 0.1, +, 56.6% elo% vs. random_no_suicide, avg. reward: 0.121, 1.870 sec/game, 0.9 min. total, 474.5 MB
banner_lazy v3 43 games, 30243 moves, e=0.970, loss: 0.1, +, 58.5% elo% vs. random_no_suicide, avg. reward: 0.125, 1.841 sec/game, 1.0 min. total, 474.5 MB
banner_lazy v3 44 games, 30953 moves, e=0.969, loss: 0.1, +, 60.4% elo% vs. random_no_suicide, avg. reward: 0.127, 1.814 sec/game, 1.0 min. total, 474.8 MB
banner_lazy v3 45 games, 31685 moves, e=0.969, loss: 0.2, +, 62.1% elo% vs. random_no_suicide, avg. reward: 0.128, 1.819 sec/game, 1.0 min. total, 474.6 MB
banner_lazy v3 46 games, 32390 moves, e=0.968, loss: 0.2, +, 63.7% elo% vs. random_no_suicide, avg. reward: 0.127, 1.824 sec/game, 1.0 min. total, 474.4 MB
banner_lazy v3 47 games, 33208 moves, e=0.967, loss: 0.2, +, 65.3% elo% vs. random_no_suicide, avg. reward: 0.130, 1.805 sec/game, 1.1 min. total, 474.8 MB
banner_lazy v3 48 games, 33851 moves, e=0.966, loss: 0.2, +, 66.7% elo% vs. random_no_suicide, avg. reward: 0.129, 1.796 sec/game, 1.1 min. total, 475.0 MB
banner_lazy v3 49 games, 34580 moves, e=0.966, loss: 0.2, +, 68.0% elo% vs. random_no_suicide, avg. reward: 0.129, 1.762 sec/game, 1.1 min. total, 479.0 MB
banner_lazy v3 50 games, 35371 moves, e=0.965, loss: 0.2, +, 69.3% elo% vs. random_no_suicide, avg. reward: 0.129, 1.756 sec/game, 1.2 min. total, 477.1 MB
banner_lazy v3 51 games, 36097 moves, e=0.964, loss: 0.2, +, 70.5% elo% vs. random_no_suicide, avg. reward: 0.128, 1.765 sec/game, 1.2 min. total, 478.9 MB
banner_lazy v4 52 games, 36748 moves, e=0.964, loss: 0.2, -, 49.9% elo% vs. simple_bot, avg. reward: 0.128, 1.716 sec/game, 1.2 min. total, 479.0 MB
banner_lazy v4 53 games, 37358 moves, e=0.963, loss: 0.2, -, 47.6% elo% vs. simple_bot, avg. reward: 0.128, 1.668 sec/game, 1.2 min. total, 478.9 MB
banner_lazy v4 54 games, 38174 moves, e=0.962, loss: 0.2, -, 45.4% elo% vs. simple_bot, avg. reward: 0.128, 1.668 sec/game, 1.3 min. total, 479.1 MB
banner_lazy v4 55 games, 38814 moves, e=0.962, loss: 0.2, -, 43.4% elo% vs. simple_bot, avg. reward: 0.128, 1.644 sec/game, 1.3 min. total, 479.1 MB
banner_lazy v4 56 games, 39548 moves, e=0.961, loss: 0.2, -, 41.4% elo% vs. simple_bot, avg. reward: 0.129, 1.642 sec/game, 1.3 min. total, 479.1 MB
banner_lazy v4 57 games, 40335 moves, e=0.960, loss: 0.2, -, 39.6% elo% vs. simple_bot, avg. reward: 0.127, 1.681 sec/game, 1.3 min. total, 479.4 MB
banner_lazy v4 58 games, 41005 moves, e=0.959, loss: 0.2, -, 37.8% elo% vs. simple_bot, avg. reward: 0.129, 1.670 sec/game, 1.4 min. total, 482.0 MB
banner_lazy v4 59 games, 41737 moves, e=0.959, loss: 0.2, -, 36.2% elo% vs. simple_bot, avg. reward: 0.129, 1.678 sec/game, 1.4 min. total, 482.0 MB
banner_lazy v4 60 games, 42569 moves, e=0.958, loss: 0.2, -, 34.7% elo% vs. simple_bot, avg. reward: 0.133, 1.693 sec/game, 1.4 min. total, 482.0 MB
banner_lazy v4 61 games, 43292 moves, e=0.957, loss: 0.3, -, 33.3% elo% vs. simple_bot, avg. reward: 0.135, 1.706 sec/game, 1.5 min. total, 481.8 MB
banner_lazy v4 62 games, 44105 moves, e=0.956, loss: 0.3, -, 31.9% elo% vs. simple_bot, avg. reward: 0.134, 1.696 sec/game, 1.5 min. total, 481.9 MB
banner_lazy v4 63 games, 44932 moves, e=0.956, loss: 0.3, -, 30.6% elo% vs. simple_bot, avg. reward: 0.134, 1.705 sec/game, 1.5 min. total, 481.8 MB
banner_lazy v4 64 games, 45737 moves, e=0.955, loss: 0.4, -, 29.5% elo% vs. simple_bot, avg. reward: 0.133, 1.720 sec/game, 1.6 min. total, 481.9 MB
banner_lazy v4 65 games, 46406 moves, e=0.954, loss: 0.4, -, 28.3% elo% vs. simple_bot, avg. reward: 0.134, 1.706 sec/game, 1.6 min. total, 482.4 MB
banner_lazy v4 66 games, 47219 moves, e=0.953, loss: 0.4, -, 27.3% elo% vs. simple_bot, avg. reward: 0.134, 1.719 sec/game, 1.6 min. total, 482.4 MB
banner_lazy v4 67 games, 48049 moves, e=0.952, loss: 0.4, -, 26.3% elo% vs. simple_bot, avg. reward: 0.134, 1.738 sec/game, 1.6 min. total, 482.5 MB
