banner_lazy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.3 MB
banner_lazy v5 142 games, 106019 moves, e=0.895, loss: 1.3, -, 12.6% elo% vs. simple_bot, avg. reward: 0.156, 1.971 sec/game, 4.0 min. total, 501.7 MB
banner_lazy v5 143 games, 106812 moves, e=0.894, loss: 1.4, -, 12.4% elo% vs. simple_bot, avg. reward: 0.156, 1.975 sec/game, 4.0 min. total, 501.7 MB
banner_lazy v5 144 games, 107542 moves, e=0.894, loss: 1.4, -, 12.1% elo% vs. simple_bot, avg. reward: 0.157, 1.970 sec/game, 4.0 min. total, 501.6 MB
banner_lazy v5 145 games, 108385 moves, e=0.893, loss: 1.5, -, 11.9% elo% vs. simple_bot, avg. reward: 0.156, 1.959 sec/game, 4.1 min. total, 503.4 MB
banner_lazy v5 146 games, 109209 moves, e=0.892, loss: 1.5, -, 11.7% elo% vs. simple_bot, avg. reward: 0.158, 1.961 sec/game, 4.1 min. total, 503.7 MB
banner_lazy v5 147 games, 109943 moves, e=0.891, loss: 1.4, -, 11.4% elo% vs. simple_bot, avg. reward: 0.156, 1.944 sec/game, 4.1 min. total, 503.3 MB
banner_lazy v5 148 games, 110668 moves, e=0.890, loss: 1.4, -, 11.2% elo% vs. simple_bot, avg. reward: 0.157, 1.926 sec/game, 4.2 min. total, 503.6 MB
banner_lazy v5 149 games, 111468 moves, e=0.890, loss: 1.4, -, 11.0% elo% vs. simple_bot, avg. reward: 0.158, 1.916 sec/game, 4.2 min. total, 503.8 MB
banner_lazy v5 150 games, 112250 moves, e=0.889, loss: 1.5, -, 10.8% elo% vs. simple_bot, avg. reward: 0.158, 1.930 sec/game, 4.2 min. total, 504.2 MB
banner_lazy v5 151 games, 113153 moves, e=0.888, loss: 1.5, -, 10.6% elo% vs. simple_bot, avg. reward: 0.159, 1.960 sec/game, 4.3 min. total, 504.3 MB
banner_lazy v5 152 games, 114045 moves, e=0.887, loss: 1.5, -, 10.4% elo% vs. simple_bot, avg. reward: 0.161, 1.980 sec/game, 4.3 min. total, 504.9 MB
banner_lazy v5 153 games, 114939 moves, e=0.886, loss: 1.5, -, 10.3% elo% vs. simple_bot, avg. reward: 0.162, 1.990 sec/game, 4.3 min. total, 504.5 MB
banner_lazy v5 154 games, 115718 moves, e=0.885, loss: 1.5, -, 10.1% elo% vs. simple_bot, avg. reward: 0.164, 1.998 sec/game, 4.4 min. total, 504.5 MB
banner_lazy v5 155 games, 116476 moves, e=0.885, loss: 1.4, -, 9.9% elo% vs. simple_bot, avg. reward: 0.165, 1.973 sec/game, 4.4 min. total, 504.4 MB
banner_lazy v5 156 games, 117177 moves, e=0.884, loss: 1.4, -, 9.8% elo% vs. simple_bot, avg. reward: 0.164, 1.958 sec/game, 4.4 min. total, 505.2 MB
banner_lazy v5 157 games, 118064 moves, e=0.883, loss: 1.5, -, 9.6% elo% vs. simple_bot, avg. reward: 0.165, 1.964 sec/game, 4.5 min. total, 504.9 MB
banner_lazy v5 158 games, 118882 moves, e=0.882, loss: 1.5, -, 9.5% elo% vs. simple_bot, avg. reward: 0.166, 1.964 sec/game, 4.5 min. total, 505.0 MB
banner_lazy v5 159 games, 119804 moves, e=0.881, loss: 1.5, -, 9.3% elo% vs. simple_bot, avg. reward: 0.168, 1.977 sec/game, 4.5 min. total, 505.1 MB
banner_lazy v5 160 games, 120597 moves, e=0.881, loss: 1.5, -, 9.2% elo% vs. simple_bot, avg. reward: 0.166, 1.990 sec/game, 4.6 min. total, 505.3 MB
banner_lazy v5 161 games, 121313 moves, e=0.880, loss: 1.5, -, 9.0% elo% vs. simple_bot, avg. reward: 0.165, 1.974 sec/game, 4.6 min. total, 505.0 MB
banner_lazy v5 162 games, 122132 moves, e=0.879, loss: 1.5, -, 8.9% elo% vs. simple_bot, avg. reward: 0.166, 1.992 sec/game, 4.6 min. total, 505.1 MB
banner_lazy v5 163 games, 122866 moves, e=0.878, loss: 1.6, -, 8.8% elo% vs. simple_bot, avg. reward: 0.167, 1.974 sec/game, 4.7 min. total, 505.4 MB
banner_lazy v5 164 games, 123710 moves, e=0.878, loss: 1.6, -, 8.6% elo% vs. simple_bot, avg. reward: 0.168, 1.991 sec/game, 4.7 min. total, 505.3 MB
banner_lazy v5 165 games, 124439 moves, e=0.877, loss: 1.5, -, 8.5% elo% vs. simple_bot, avg. reward: 0.169, 1.991 sec/game, 4.7 min. total, 505.4 MB
banner_lazy v5 166 games, 125206 moves, e=0.876, loss: 1.6, -, 8.4% elo% vs. simple_bot, avg. reward: 0.171, 1.976 sec/game, 4.8 min. total, 505.4 MB
banner_lazy v5 167 games, 125944 moves, e=0.875, loss: 1.6, -, 8.3% elo% vs. simple_bot, avg. reward: 0.171, 1.976 sec/game, 4.8 min. total, 506.7 MB
banner_lazy v5 168 games, 126719 moves, e=0.875, loss: 1.6, -, 8.1% elo% vs. simple_bot, avg. reward: 0.172, 1.979 sec/game, 4.8 min. total, 506.7 MB
banner_lazy v5 169 games, 127546 moves, e=0.874, loss: 1.7, -, 8.0% elo% vs. simple_bot, avg. reward: 0.172, 1.993 sec/game, 4.9 min. total, 506.6 MB
banner_lazy v5 170 games, 128328 moves, e=0.873, loss: 1.7, -, 7.9% elo% vs. simple_bot, avg. reward: 0.171, 1.994 sec/game, 4.9 min. total, 506.7 MB
banner_lazy v5 171 games, 129119 moves, e=0.872, loss: 1.6, -, 7.8% elo% vs. simple_bot, avg. reward: 0.171, 1.969 sec/game, 4.9 min. total, 506.9 MB
banner_lazy v5 172 games, 129995 moves, e=0.871, loss: 1.6, -, 7.7% elo% vs. simple_bot, avg. reward: 0.173, 1.978 sec/game, 5.0 min. total, 507.1 MB
banner_lazy v5 173 games, 130849 moves, e=0.870, loss: 1.6, -, 7.6% elo% vs. simple_bot, avg. reward: 0.174, 1.973 sec/game, 5.0 min. total, 507.8 MB
banner_lazy v5 174 games, 131655 moves, e=0.870, loss: 1.6, -, 7.5% elo% vs. simple_bot, avg. reward: 0.176, 1.960 sec/game, 5.0 min. total, 509.2 MB
banner_lazy v5 175 games, 132396 moves, e=0.869, loss: 1.6, -, 7.4% elo% vs. simple_bot, avg. reward: 0.177, 1.972 sec/game, 5.1 min. total, 509.1 MB
banner_lazy v5 176 games, 133192 moves, e=0.868, loss: 1.6, -, 7.3% elo% vs. simple_bot, avg. reward: 0.178, 1.976 sec/game, 5.1 min. total, 509.4 MB
banner_lazy v5 177 games, 134007 moves, e=0.867, loss: 1.6, -, 7.2% elo% vs. simple_bot, avg. reward: 0.179, 1.961 sec/game, 5.1 min. total, 509.3 MB
banner_lazy v5 178 games, 134867 moves, e=0.866, loss: 1.6, -, 7.2% elo% vs. simple_bot, avg. reward: 0.180, 1.973 sec/game, 5.2 min. total, 509.7 MB
banner_lazy v5 179 games, 135631 moves, e=0.866, loss: 1.5, -, 7.1% elo% vs. simple_bot, avg. reward: 0.182, 1.960 sec/game, 5.2 min. total, 509.7 MB
banner_lazy v5 180 games, 136347 moves, e=0.865, loss: 1.4, -, 7.0% elo% vs. simple_bot, avg. reward: 0.183, 1.946 sec/game, 5.2 min. total, 509.7 MB
banner_lazy v5 181 games, 137214 moves, e=0.864, loss: 1.4, -, 6.9% elo% vs. simple_bot, avg. reward: 0.185, 1.965 sec/game, 5.3 min. total, 509.7 MB
banner_lazy v5 182 games, 138054 moves, e=0.863, loss: 1.4, -, 6.8% elo% vs. simple_bot, avg. reward: 0.186, 1.964 sec/game, 5.3 min. total, 510.8 MB
banner_lazy v5 183 games, 138939 moves, e=0.862, loss: 1.5, -, 6.7% elo% vs. simple_bot, avg. reward: 0.187, 1.999 sec/game, 5.3 min. total, 510.7 MB
banner_lazy v5 184 games, 139914 moves, e=0.861, loss: 1.5, -, 6.7% elo% vs. simple_bot, avg. reward: 0.187, 2.022 sec/game, 5.4 min. total, 510.7 MB
banner_lazy v5 185 games, 140752 moves, e=0.861, loss: 1.6, -, 6.6% elo% vs. simple_bot, avg. reward: 0.189, 2.028 sec/game, 5.4 min. total, 511.2 MB
banner_lazy v5 186 games, 141637 moves, e=0.860, loss: 1.5, -, 6.5% elo% vs. simple_bot, avg. reward: 0.190, 2.045 sec/game, 5.4 min. total, 510.9 MB
banner_lazy v5 187 games, 142352 moves, e=0.859, loss: 1.6, -, 6.4% elo% vs. simple_bot, avg. reward: 0.192, 2.056 sec/game, 5.5 min. total, 511.0 MB
banner_lazy v5 188 games, 143212 moves, e=0.858, loss: 1.6, -, 6.4% elo% vs. simple_bot, avg. reward: 0.194, 2.062 sec/game, 5.5 min. total, 511.2 MB
