twistable_tiptoeing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.8 MB
twistable_tiptoeing v2 141 games, 101751 moves, e=0.899, loss: 5.0, -, 50.3% elo% vs. v0, avg. reward: 0.444, 1.967 sec/game, 7.2 min. total, 435.0 MB
twistable_tiptoeing v2 142 games, 102491 moves, e=0.899, loss: 4.6, -, 48.0% elo% vs. v0, avg. reward: 0.445, 1.948 sec/game, 7.2 min. total, 436.8 MB
twistable_tiptoeing v2 143 games, 103218 moves, e=0.898, loss: 4.8, -, 45.8% elo% vs. v0, avg. reward: 0.447, 1.972 sec/game, 7.2 min. total, 435.0 MB
twistable_tiptoeing v2 144 games, 103924 moves, e=0.897, loss: 5.3, -, 43.7% elo% vs. v0, avg. reward: 0.444, 1.945 sec/game, 7.3 min. total, 435.1 MB
twistable_tiptoeing v2 145 games, 104667 moves, e=0.896, loss: 5.3, +, 46.3% elo% vs. v0, avg. reward: 0.450, 1.949 sec/game, 7.3 min. total, 435.4 MB
twistable_tiptoeing v2 146 games, 105474 moves, e=0.896, loss: 5.0, -, 44.2% elo% vs. v0, avg. reward: 0.444, 1.985 sec/game, 7.3 min. total, 435.8 MB
twistable_tiptoeing v2 147 games, 106277 moves, e=0.895, loss: 5.8, +, 46.7% elo% vs. v0, avg. reward: 0.441, 1.996 sec/game, 7.4 min. total, 436.8 MB
twistable_tiptoeing v2 148 games, 107132 moves, e=0.894, loss: 5.3, -, 44.6% elo% vs. v0, avg. reward: 0.447, 1.988 sec/game, 7.4 min. total, 437.1 MB
twistable_tiptoeing v2 149 games, 107789 moves, e=0.893, loss: 5.7, -, 42.6% elo% vs. v0, avg. reward: 0.447, 2.000 sec/game, 7.4 min. total, 437.3 MB
twistable_tiptoeing v2 150 games, 108514 moves, e=0.893, loss: 6.1, +, 45.2% elo% vs. v0, avg. reward: 0.445, 1.983 sec/game, 7.5 min. total, 437.1 MB
twistable_tiptoeing v2 151 games, 109263 moves, e=0.892, loss: 5.6, +, 47.7% elo% vs. v0, avg. reward: 0.444, 1.987 sec/game, 7.5 min. total, 437.6 MB
twistable_tiptoeing v2 152 games, 109917 moves, e=0.891, loss: 5.6, -, 45.5% elo% vs. v0, avg. reward: 0.445, 1.970 sec/game, 7.5 min. total, 437.7 MB
twistable_tiptoeing v2 153 games, 110664 moves, e=0.890, loss: 5.2, +, 48.0% elo% vs. v0, avg. reward: 0.441, 1.954 sec/game, 7.6 min. total, 437.7 MB
twistable_tiptoeing v2 154 games, 111423 moves, e=0.890, loss: 5.0, +, 50.4% elo% vs. v0, avg. reward: 0.439, 1.972 sec/game, 7.6 min. total, 437.8 MB
twistable_tiptoeing v2 155 games, 112157 moves, e=0.889, loss: 5.2, -, 48.1% elo% vs. v0, avg. reward: 0.441, 1.984 sec/game, 7.6 min. total, 437.8 MB
twistable_tiptoeing v2 156 games, 112899 moves, e=0.888, loss: 4.7, -, 45.9% elo% vs. v0, avg. reward: 0.444, 1.960 sec/game, 7.7 min. total, 440.4 MB
twistable_tiptoeing v2 157 games, 113630 moves, e=0.888, loss: 4.6, +, 48.4% elo% vs. v0, avg. reward: 0.448, 1.959 sec/game, 7.7 min. total, 439.5 MB
twistable_tiptoeing v2 158 games, 114494 moves, e=0.887, loss: 4.7, -, 46.1% elo% vs. v0, avg. reward: 0.452, 2.006 sec/game, 7.7 min. total, 439.8 MB
twistable_tiptoeing v2 159 games, 115355 moves, e=0.886, loss: 5.1, +, 48.6% elo% vs. v0, avg. reward: 0.456, 2.033 sec/game, 7.8 min. total, 439.8 MB
twistable_tiptoeing v2 160 games, 116108 moves, e=0.885, loss: 4.8, +, 51.0% elo% vs. v0, avg. reward: 0.454, 2.050 sec/game, 7.8 min. total, 439.8 MB
twistable_tiptoeing v2 161 games, 116947 moves, e=0.884, loss: 4.9, -, 48.6% elo% vs. v0, avg. reward: 0.460, 2.031 sec/game, 7.8 min. total, 439.6 MB
twistable_tiptoeing v2 162 games, 117733 moves, e=0.883, loss: 5.8, -, 46.4% elo% vs. v0, avg. reward: 0.463, 2.030 sec/game, 7.9 min. total, 439.6 MB
twistable_tiptoeing v2 163 games, 118481 moves, e=0.883, loss: 6.4, -, 44.3% elo% vs. v0, avg. reward: 0.460, 2.017 sec/game, 7.9 min. total, 439.6 MB
twistable_tiptoeing v2 164 games, 119192 moves, e=0.882, loss: 6.6, +, 46.8% elo% vs. v0, avg. reward: 0.458, 2.033 sec/game, 7.9 min. total, 441.2 MB
twistable_tiptoeing v2 165 games, 120002 moves, e=0.881, loss: 5.9, +, 49.3% elo% vs. v0, avg. reward: 0.459, 2.028 sec/game, 8.0 min. total, 443.7 MB
twistable_tiptoeing v2 166 games, 120772 moves, e=0.880, loss: 5.6, +, 51.6% elo% vs. v0, avg. reward: 0.460, 2.005 sec/game, 8.0 min. total, 443.6 MB
twistable_tiptoeing v2 167 games, 121450 moves, e=0.880, loss: 5.3, +, 53.8% elo% vs. v0, avg. reward: 0.462, 1.981 sec/game, 8.0 min. total, 443.7 MB
twistable_tiptoeing v2 168 games, 122137 moves, e=0.879, loss: 6.0, -, 51.4% elo% vs. v0, avg. reward: 0.467, 1.974 sec/game, 8.1 min. total, 445.5 MB
twistable_tiptoeing v2 169 games, 123003 moves, e=0.878, loss: 6.3, +, 53.6% elo% vs. v0, avg. reward: 0.466, 1.970 sec/game, 8.1 min. total, 443.9 MB
twistable_tiptoeing v2 170 games, 123628 moves, e=0.878, loss: 6.4, +, 55.7% elo% vs. v0, avg. reward: 0.464, 1.966 sec/game, 8.1 min. total, 443.8 MB
twistable_tiptoeing v2 171 games, 124333 moves, e=0.877, loss: 6.7, +, 57.7% elo% vs. v0, avg. reward: 0.463, 1.964 sec/game, 8.2 min. total, 443.6 MB
twistable_tiptoeing v2 172 games, 125064 moves, e=0.876, loss: 6.9, +, 59.6% elo% vs. v0, avg. reward: 0.457, 1.985 sec/game, 8.2 min. total, 443.8 MB
twistable_tiptoeing v2 173 games, 125831 moves, e=0.875, loss: 6.4, -, 56.9% elo% vs. v0, avg. reward: 0.452, 1.984 sec/game, 8.2 min. total, 445.6 MB
twistable_tiptoeing v2 174 games, 126624 moves, e=0.875, loss: 6.9, -, 54.3% elo% vs. v0, avg. reward: 0.446, 1.986 sec/game, 8.3 min. total, 447.8 MB
twistable_tiptoeing v2 175 games, 127433 moves, e=0.874, loss: 6.8, +, 56.4% elo% vs. v0, avg. reward: 0.449, 1.997 sec/game, 8.3 min. total, 446.1 MB
twistable_tiptoeing v2 176 games, 128227 moves, e=0.873, loss: 7.0, +, 58.4% elo% vs. v0, avg. reward: 0.456, 1.996 sec/game, 8.3 min. total, 446.2 MB
twistable_tiptoeing v2 177 games, 128939 moves, e=0.872, loss: 6.8, -, 55.8% elo% vs. v0, avg. reward: 0.458, 2.018 sec/game, 8.4 min. total, 446.2 MB
twistable_tiptoeing v2 178 games, 129698 moves, e=0.872, loss: 6.0, -, 53.2% elo% vs. v0, avg. reward: 0.461, 1.984 sec/game, 8.4 min. total, 447.9 MB
twistable_tiptoeing v2 179 games, 130412 moves, e=0.871, loss: 6.4, -, 50.8% elo% vs. v0, avg. reward: 0.459, 1.942 sec/game, 8.4 min. total, 446.4 MB
twistable_tiptoeing v2 180 games, 131306 moves, e=0.870, loss: 6.7, +, 53.0% elo% vs. v0, avg. reward: 0.462, 1.953 sec/game, 8.5 min. total, 447.1 MB
twistable_tiptoeing v2 181 games, 132009 moves, e=0.869, loss: 6.8, -, 50.6% elo% vs. v0, avg. reward: 0.458, 1.946 sec/game, 8.5 min. total, 447.4 MB
twistable_tiptoeing v2 182 games, 132921 moves, e=0.868, loss: 6.5, -, 48.3% elo% vs. v0, avg. reward: 0.457, 1.953 sec/game, 8.5 min. total, 448.4 MB
twistable_tiptoeing v2 183 games, 133701 moves, e=0.868, loss: 6.2, -, 46.0% elo% vs. v0, avg. reward: 0.455, 1.972 sec/game, 8.6 min. total, 450.1 MB
twistable_tiptoeing v2 184 games, 134428 moves, e=0.867, loss: 7.1, +, 48.5% elo% vs. v0, avg. reward: 0.458, 1.963 sec/game, 8.6 min. total, 448.4 MB
twistable_tiptoeing v2 185 games, 135234 moves, e=0.866, loss: 7.1, +, 50.9% elo% vs. v0, avg. reward: 0.459, 1.961 sec/game, 8.6 min. total, 448.2 MB
twistable_tiptoeing v2 186 games, 135998 moves, e=0.865, loss: 7.6, -, 48.5% elo% vs. v0, avg. reward: 0.455, 1.966 sec/game, 8.7 min. total, 450.1 MB
twistable_tiptoeing v2 187 games, 136774 moves, e=0.865, loss: 7.2, -, 46.3% elo% vs. v0, avg. reward: 0.453, 1.992 sec/game, 8.7 min. total, 448.5 MB
twistable_tiptoeing v2 188 games, 137508 moves, e=0.864, loss: 6.7, +, 48.8% elo% vs. v0, avg. reward: 0.450, 2.010 sec/game, 8.7 min. total, 451.4 MB
twistable_tiptoeing v2 189 games, 138252 moves, e=0.863, loss: 7.3, +, 51.1% elo% vs. v0, avg. reward: 0.450, 2.020 sec/game, 8.8 min. total, 451.9 MB
twistable_tiptoeing v2 190 games, 139073 moves, e=0.862, loss: 6.5, +, 53.4% elo% vs. v0, avg. reward: 0.447, 2.065 sec/game, 8.8 min. total, 452.1 MB
twistable_tiptoeing v2 191 games, 139829 moves, e=0.862, loss: 6.2, +, 55.5% elo% vs. v0, avg. reward: 0.449, 2.063 sec/game, 8.8 min. total, 453.9 MB
twistable_tiptoeing v2 192 games, 140594 moves, e=0.861, loss: 5.4, +, 57.5% elo% vs. v0, avg. reward: 0.449, 2.058 sec/game, 8.9 min. total, 451.8 MB
twistable_tiptoeing v2 193 games, 141411 moves, e=0.860, loss: 5.3, +, 59.4% elo% vs. v0, avg. reward: 0.447, 2.061 sec/game, 8.9 min. total, 452.3 MB
twistable_tiptoeing v2 194 games, 142242 moves, e=0.859, loss: 5.9, +, 61.2% elo% vs. v0, avg. reward: 0.451, 2.067 sec/game, 8.9 min. total, 452.0 MB
twistable_tiptoeing v2 195 games, 143037 moves, e=0.858, loss: 6.3, +, 62.9% elo% vs. v0, avg. reward: 0.450, 2.084 sec/game, 9.0 min. total, 452.0 MB
twistable_tiptoeing v2 196 games, 143926 moves, e=0.858, loss: 6.5, -, 60.2% elo% vs. v0, avg. reward: 0.448, 2.092 sec/game, 9.0 min. total, 453.9 MB
twistable_tiptoeing v2 197 games, 144837 moves, e=0.857, loss: 6.6, -, 57.5% elo% vs. v0, avg. reward: 0.449, 2.091 sec/game, 9.1 min. total, 454.2 MB
twistable_tiptoeing v2 198 games, 145711 moves, e=0.856, loss: 6.2, +, 59.4% elo% vs. v0, avg. reward: 0.446, 2.163 sec/game, 9.1 min. total, 452.2 MB
twistable_tiptoeing v2 199 games, 146427 moves, e=0.855, loss: 6.5, +, 61.2% elo% vs. v0, avg. reward: 0.448, 2.189 sec/game, 9.1 min. total, 454.1 MB
twistable_tiptoeing v2 200 games, 147193 moves, e=0.854, loss: 6.5, +, 62.9% elo% vs. v0, avg. reward: 0.449, 2.208 sec/game, 9.2 min. total, 452.3 MB
twistable_tiptoeing v3 201 games, 147972 moves, e=0.854, loss: 5.9, +, 52.3% elo% vs. v0, avg. reward: 0.453, 2.256 sec/game, 9.2 min. total, 452.9 MB
twistable_tiptoeing v3 202 games, 148724 moves, e=0.853, loss: 6.2, +, 54.5% elo% vs. v0, avg. reward: 0.451, 2.230 sec/game, 9.3 min. total, 452.9 MB
twistable_tiptoeing v3 203 games, 149542 moves, e=0.852, loss: 6.7, +, 56.6% elo% vs. v0, avg. reward: 0.453, 2.272 sec/game, 9.3 min. total, 431.5 MB
twistable_tiptoeing v3 204 games, 150204 moves, e=0.851, loss: 7.6, +, 58.5% elo% vs. v0, avg. reward: 0.461, 2.278 sec/game, 9.4 min. total, 433.2 MB
twistable_tiptoeing v3 205 games, 151168 moves, e=0.850, loss: 8.2, -, 55.9% elo% vs. v0, avg. reward: 0.460, 2.336 sec/game, 9.4 min. total, 431.1 MB
twistable_tiptoeing v3 206 games, 152020 moves, e=0.850, loss: 8.1, +, 57.9% elo% vs. v0, avg. reward: 0.465, 2.365 sec/game, 9.4 min. total, 431.4 MB
twistable_tiptoeing v3 207 games, 152818 moves, e=0.849, loss: 8.5, -, 55.2% elo% vs. v0, avg. reward: 0.471, 2.365 sec/game, 9.5 min. total, 433.0 MB
twistable_tiptoeing v3 208 games, 153663 moves, e=0.848, loss: 8.4, +, 57.3% elo% vs. v0, avg. reward: 0.476, 2.365 sec/game, 9.5 min. total, 431.0 MB
twistable_tiptoeing v3 209 games, 154352 moves, e=0.847, loss: 7.7, -, 54.7% elo% vs. v0, avg. reward: 0.477, 2.339 sec/game, 9.5 min. total, 431.2 MB
twistable_tiptoeing v3 210 games, 155231 moves, e=0.846, loss: 7.3, +, 56.7% elo% vs. v0, avg. reward: 0.474, 2.325 sec/game, 9.6 min. total, 431.1 MB
twistable_tiptoeing v3 211 games, 155959 moves, e=0.846, loss: 8.0, -, 54.2% elo% vs. v0, avg. reward: 0.480, 2.323 sec/game, 9.6 min. total, 431.3 MB
twistable_tiptoeing v3 212 games, 156823 moves, e=0.845, loss: 8.6, -, 51.7% elo% vs. v0, avg. reward: 0.476, 2.340 sec/game, 9.7 min. total, 432.8 MB
twistable_tiptoeing v3 213 games, 157727 moves, e=0.844, loss: 8.4, -, 49.3% elo% vs. v0, avg. reward: 0.474, 2.378 sec/game, 9.7 min. total, 434.0 MB
twistable_tiptoeing v3 214 games, 158407 moves, e=0.843, loss: 8.7, -, 47.0% elo% vs. v0, avg. reward: 0.482, 2.376 sec/game, 9.7 min. total, 435.5 MB
twistable_tiptoeing v3 215 games, 159367 moves, e=0.842, loss: 8.1, +, 49.5% elo% vs. v0, avg. reward: 0.477, 2.434 sec/game, 9.8 min. total, 417.5 MB
twistable_tiptoeing v3 216 games, 160259 moves, e=0.841, loss: 7.5, +, 51.8% elo% vs. v0, avg. reward: 0.481, 2.496 sec/game, 9.9 min. total, 404.0 MB
twistable_tiptoeing v3 217 games, 161014 moves, e=0.841, loss: 7.7, -, 49.4% elo% vs. v0, avg. reward: 0.483, 2.495 sec/game, 9.9 min. total, 404.0 MB
twistable_tiptoeing v3 218 games, 161706 moves, e=0.840, loss: 7.9, +, 51.7% elo% vs. v0, avg. reward: 0.480, 2.435 sec/game, 9.9 min. total, 404.2 MB
twistable_tiptoeing v3 219 games, 162638 moves, e=0.839, loss: 7.7, +, 53.9% elo% vs. v0, avg. reward: 0.481, 2.476 sec/game, 10.0 min. total, 405.4 MB
twistable_tiptoeing v3 220 games, 163490 moves, e=0.838, loss: 8.2, -, 51.5% elo% vs. v0, avg. reward: 0.481, 2.466 sec/game, 10.0 min. total, 406.5 MB
twistable_tiptoeing v3 221 games, 164264 moves, e=0.837, loss: 8.0, +, 53.7% elo% vs. v0, avg. reward: 0.483, 2.450 sec/game, 10.1 min. total, 408.1 MB
twistable_tiptoeing v3 222 games, 165071 moves, e=0.837, loss: 7.6, +, 55.8% elo% vs. v0, avg. reward: 0.486, 2.495 sec/game, 10.1 min. total, 406.1 MB
twistable_tiptoeing v3 223 games, 166037 moves, e=0.836, loss: 8.0, +, 57.8% elo% vs. v0, avg. reward: 0.482, 2.498 sec/game, 10.2 min. total, 408.2 MB
twistable_tiptoeing v3 224 games, 166860 moves, e=0.835, loss: 8.8, +, 59.7% elo% vs. v0, avg. reward: 0.480, 2.516 sec/game, 10.2 min. total, 406.5 MB
twistable_tiptoeing v3 225 games, 167666 moves, e=0.834, loss: 8.4, +, 61.5% elo% vs. v0, avg. reward: 0.483, 2.485 sec/game, 10.2 min. total, 406.5 MB
twistable_tiptoeing v3 226 games, 168501 moves, e=0.833, loss: 8.8, -, 58.8% elo% vs. v0, avg. reward: 0.484, 2.499 sec/game, 10.3 min. total, 407.1 MB
twistable_tiptoeing v3 227 games, 169249 moves, e=0.832, loss: 8.5, -, 56.1% elo% vs. v0, avg. reward: 0.476, 2.498 sec/game, 10.3 min. total, 408.7 MB
twistable_tiptoeing v3 228 games, 170038 moves, e=0.832, loss: 8.4, -, 53.5% elo% vs. v0, avg. reward: 0.475, 2.520 sec/game, 10.4 min. total, 412.2 MB
twistable_tiptoeing v3 229 games, 170873 moves, e=0.831, loss: 8.4, +, 55.7% elo% vs. v0, avg. reward: 0.476, 2.565 sec/game, 10.4 min. total, 411.9 MB
twistable_tiptoeing v3 230 games, 171669 moves, e=0.830, loss: 7.6, -, 53.1% elo% vs. v0, avg. reward: 0.479, 2.590 sec/game, 10.4 min. total, 408.8 MB
twistable_tiptoeing v3 231 games, 172710 moves, e=0.829, loss: 7.6, -, 50.7% elo% vs. v0, avg. reward: 0.480, 2.652 sec/game, 10.5 min. total, 411.3 MB
twistable_tiptoeing v3 232 games, 173423 moves, e=0.828, loss: 7.1, +, 53.0% elo% vs. v0, avg. reward: 0.480, 2.637 sec/game, 10.5 min. total, 411.6 MB
twistable_tiptoeing v3 233 games, 174195 moves, e=0.828, loss: 7.5, +, 55.1% elo% vs. v0, avg. reward: 0.480, 2.611 sec/game, 10.6 min. total, 409.8 MB
twistable_tiptoeing v3 234 games, 174959 moves, e=0.827, loss: 7.6, -, 52.6% elo% vs. v0, avg. reward: 0.479, 2.621 sec/game, 10.6 min. total, 411.6 MB
twistable_tiptoeing v3 235 games, 175711 moves, e=0.826, loss: 7.5, -, 50.2% elo% vs. v0, avg. reward: 0.484, 2.561 sec/game, 10.7 min. total, 411.7 MB
twistable_tiptoeing v3 236 games, 176448 moves, e=0.825, loss: 7.5, +, 52.5% elo% vs. v0, avg. reward: 0.493, 2.505 sec/game, 10.7 min. total, 411.5 MB
twistable_tiptoeing v3 237 games, 177264 moves, e=0.825, loss: 7.9, +, 54.6% elo% vs. v0, avg. reward: 0.495, 2.531 sec/game, 10.7 min. total, 411.7 MB
twistable_tiptoeing v3 238 games, 178119 moves, e=0.824, loss: 8.2, -, 52.1% elo% vs. v0, avg. reward: 0.487, 2.575 sec/game, 10.8 min. total, 411.7 MB
twistable_tiptoeing v3 239 games, 178999 moves, e=0.823, loss: 8.2, -, 49.7% elo% vs. v0, avg. reward: 0.492, 2.562 sec/game, 10.8 min. total, 411.8 MB
twistable_tiptoeing v3 240 games, 179797 moves, e=0.822, loss: 8.7, -, 47.4% elo% vs. v0, avg. reward: 0.489, 2.551 sec/game, 10.9 min. total, 411.8 MB
twistable_tiptoeing v3 241 games, 180743 moves, e=0.821, loss: 7.7, -, 45.3% elo% vs. v0, avg. reward: 0.490, 2.580 sec/game, 10.9 min. total, 412.4 MB
twistable_tiptoeing v3 242 games, 181588 moves, e=0.820, loss: 8.0, -, 43.2% elo% vs. v0, avg. reward: 0.491, 2.560 sec/game, 11.0 min. total, 413.1 MB
twistable_tiptoeing v3 243 games, 182324 moves, e=0.819, loss: 8.1, ., 43.5% elo% vs. v0, avg. reward: 0.487, 2.509 sec/game, 11.0 min. total, 413.5 MB
twistable_tiptoeing v3 244 games, 183070 moves, e=0.819, loss: 8.3, -, 41.6% elo% vs. v0, avg. reward: 0.492, 2.513 sec/game, 11.0 min. total, 414.1 MB
twistable_tiptoeing v3 245 games, 183791 moves, e=0.818, loss: 8.7, -, 39.7% elo% vs. v0, avg. reward: 0.490, 2.490 sec/game, 11.1 min. total, 415.7 MB
twistable_tiptoeing v3 246 games, 184587 moves, e=0.817, loss: 8.0, +, 42.4% elo% vs. v0, avg. reward: 0.497, 2.467 sec/game, 11.1 min. total, 413.9 MB
twistable_tiptoeing v3 247 games, 185304 moves, e=0.817, loss: 9.0, -, 40.5% elo% vs. v0, avg. reward: 0.500, 2.474 sec/game, 11.1 min. total, 415.4 MB
twistable_tiptoeing v3 248 games, 186108 moves, e=0.816, loss: 8.5, +, 43.2% elo% vs. v0, avg. reward: 0.495, 2.473 sec/game, 11.2 min. total, 416.4 MB
twistable_tiptoeing v3 249 games, 187049 moves, e=0.815, loss: 7.2, -, 41.2% elo% vs. v0, avg. reward: 0.494, 2.566 sec/game, 11.3 min. total, 414.6 MB
twistable_tiptoeing v3 250 games, 187896 moves, e=0.814, loss: 7.1, -, 39.4% elo% vs. v0, avg. reward: 0.500, 2.570 sec/game, 11.3 min. total, 414.8 MB
twistable_tiptoeing v3 251 games, 188639 moves, e=0.813, loss: 7.8, -, 37.7% elo% vs. v0, avg. reward: 0.503, 2.564 sec/game, 11.4 min. total, 416.7 MB
twistable_tiptoeing v3 252 games, 189421 moves, e=0.812, loss: 7.7, -, 36.1% elo% vs. v0, avg. reward: 0.507, 2.588 sec/game, 11.4 min. total, 416.6 MB
twistable_tiptoeing v3 253 games, 190179 moves, e=0.812, loss: 8.5, +, 38.8% elo% vs. v0, avg. reward: 0.511, 2.596 sec/game, 11.4 min. total, 416.6 MB
twistable_tiptoeing v3 254 games, 191191 moves, e=0.811, loss: 8.3, +, 41.5% elo% vs. v0, avg. reward: 0.511, 2.654 sec/game, 11.5 min. total, 416.5 MB
twistable_tiptoeing v3 255 games, 192023 moves, e=0.810, loss: 7.6, -, 39.7% elo% vs. v0, avg. reward: 0.507, 2.657 sec/game, 11.5 min. total, 416.8 MB
twistable_tiptoeing v3 256 games, 192900 moves, e=0.809, loss: 7.3, +, 42.4% elo% vs. v0, avg. reward: 0.504, 2.679 sec/game, 11.6 min. total, 417.3 MB
twistable_tiptoeing v3 257 games, 193821 moves, e=0.808, loss: 6.7, +, 45.0% elo% vs. v0, avg. reward: 0.504, 2.685 sec/game, 11.6 min. total, 417.0 MB
twistable_tiptoeing v3 258 games, 194694 moves, e=0.807, loss: 6.8, -, 42.9% elo% vs. v0, avg. reward: 0.503, 2.673 sec/game, 11.7 min. total, 422.0 MB
twistable_tiptoeing v3 259 games, 195524 moves, e=0.806, loss: 6.4, +, 45.5% elo% vs. v0, avg. reward: 0.501, 2.661 sec/game, 11.7 min. total, 420.4 MB
twistable_tiptoeing v3 260 games, 196273 moves, e=0.806, loss: 6.3, -, 43.5% elo% vs. v0, avg. reward: 0.499, 2.659 sec/game, 11.8 min. total, 420.6 MB
twistable_tiptoeing v3 261 games, 197028 moves, e=0.805, loss: 7.4, +, 46.0% elo% vs. v0, avg. reward: 0.493, 2.628 sec/game, 11.8 min. total, 420.4 MB
twistable_tiptoeing v3 262 games, 197859 moves, e=0.804, loss: 7.2, -, 43.9% elo% vs. v0, avg. reward: 0.497, 2.635 sec/game, 11.8 min. total, 420.4 MB
twistable_tiptoeing v3 263 games, 198705 moves, e=0.803, loss: 7.5, -, 42.0% elo% vs. v0, avg. reward: 0.501, 2.658 sec/game, 11.9 min. total, 420.5 MB
twistable_tiptoeing v3 264 games, 199630 moves, e=0.802, loss: 7.1, -, 40.1% elo% vs. v0, avg. reward: 0.500, 2.735 sec/game, 11.9 min. total, 420.7 MB
twistable_tiptoeing v3 265 games, 200480 moves, e=0.802, loss: 6.7, +, 42.8% elo% vs. v0, avg. reward: 0.506, 2.763 sec/game, 12.0 min. total, 420.8 MB
twistable_tiptoeing v3 266 games, 201408 moves, e=0.801, loss: 7.9, -, 40.9% elo% vs. v0, avg. reward: 0.509, 2.793 sec/game, 12.0 min. total, 422.1 MB
twistable_tiptoeing v3 267 games, 202201 moves, e=0.800, loss: 7.8, -, 39.0% elo% vs. v0, avg. reward: 0.515, 2.809 sec/game, 12.1 min. total, 423.6 MB
twistable_tiptoeing v3 268 games, 202958 moves, e=0.799, loss: 8.6, -, 37.3% elo% vs. v0, avg. reward: 0.517, 2.801 sec/game, 12.1 min. total, 423.6 MB
twistable_tiptoeing v3 269 games, 203771 moves, e=0.798, loss: 9.9, -, 35.8% elo% vs. v0, avg. reward: 0.515, 2.704 sec/game, 12.2 min. total, 423.4 MB
twistable_tiptoeing v3 270 games, 204606 moves, e=0.797, loss: 9.7, +, 38.5% elo% vs. v0, avg. reward: 0.517, 2.686 sec/game, 12.2 min. total, 423.6 MB
twistable_tiptoeing v3 271 games, 205456 moves, e=0.797, loss: 10.6, -, 36.8% elo% vs. v0, avg. reward: 0.520, 2.678 sec/game, 12.2 min. total, 423.6 MB
twistable_tiptoeing v3 272 games, 206326 moves, e=0.796, loss: 10.1, +, 39.6% elo% vs. v0, avg. reward: 0.527, 2.687 sec/game, 12.3 min. total, 423.5 MB
twistable_tiptoeing v3 273 games, 207264 moves, e=0.795, loss: 10.5, -, 37.9% elo% vs. v0, avg. reward: 0.532, 2.707 sec/game, 12.3 min. total, 424.1 MB
twistable_tiptoeing v3 274 games, 208120 moves, e=0.794, loss: 10.7, +, 40.6% elo% vs. v0, avg. reward: 0.536, 2.653 sec/game, 12.4 min. total, 424.2 MB
twistable_tiptoeing v3 275 games, 208904 moves, e=0.793, loss: 10.1, +, 43.3% elo% vs. v0, avg. reward: 0.535, 2.641 sec/game, 12.4 min. total, 426.8 MB
twistable_tiptoeing v3 276 games, 209837 moves, e=0.792, loss: 10.7, +, 45.8% elo% vs. v0, avg. reward: 0.533, 2.628 sec/game, 12.5 min. total, 426.4 MB
twistable_tiptoeing v3 277 games, 210680 moves, e=0.791, loss: 10.4, -, 43.7% elo% vs. v0, avg. reward: 0.535, 2.596 sec/game, 12.5 min. total, 426.5 MB
twistable_tiptoeing v3 278 games, 211469 moves, e=0.791, loss: 10.5, +, 46.3% elo% vs. v0, avg. reward: 0.527, 2.577 sec/game, 12.5 min. total, 426.6 MB
twistable_tiptoeing v3 279 games, 212172 moves, e=0.790, loss: 10.5, -, 44.2% elo% vs. v0, avg. reward: 0.528, 2.560 sec/game, 12.6 min. total, 426.7 MB
twistable_tiptoeing v3 280 games, 212950 moves, e=0.789, loss: 10.0, -, 42.2% elo% vs. v0, avg. reward: 0.526, 2.561 sec/game, 12.6 min. total, 426.9 MB
twistable_tiptoeing v3 281 games, 213926 moves, e=0.788, loss: 11.2, -, 40.3% elo% vs. v0, avg. reward: 0.526, 2.577 sec/game, 12.7 min. total, 428.4 MB
twistable_tiptoeing v3 282 games, 214700 moves, e=0.787, loss: 10.7, -, 38.5% elo% vs. v0, avg. reward: 0.528, 2.560 sec/game, 12.7 min. total, 426.9 MB
twistable_tiptoeing v3 283 games, 215511 moves, e=0.787, loss: 10.1, -, 36.9% elo% vs. v0, avg. reward: 0.525, 2.532 sec/game, 12.7 min. total, 427.4 MB
twistable_tiptoeing v3 284 games, 216411 moves, e=0.786, loss: 10.2, +, 39.6% elo% vs. v0, avg. reward: 0.523, 2.451 sec/game, 12.8 min. total, 428.8 MB
twistable_tiptoeing v3 285 games, 217281 moves, e=0.785, loss: 10.1, +, 42.3% elo% vs. v0, avg. reward: 0.522, 2.440 sec/game, 12.8 min. total, 428.8 MB
twistable_tiptoeing v3 286 games, 218225 moves, e=0.784, loss: 9.9, +, 44.9% elo% vs. v0, avg. reward: 0.521, 6.600 sec/game, 14.2 min. total, 428.9 MB
twistable_tiptoeing v3 287 games, 219052 moves, e=0.783, loss: 9.2, +, 47.4% elo% vs. v0, avg. reward: 0.527, 6.617 sec/game, 14.3 min. total, 428.8 MB
twistable_tiptoeing v3 288 games, 219856 moves, e=0.782, loss: 9.1, +, 49.9% elo% vs. v0, avg. reward: 0.529, 6.632 sec/game, 14.3 min. total, 430.8 MB
twistable_tiptoeing v3 289 games, 220696 moves, e=0.782, loss: 8.8, +, 52.2% elo% vs. v0, avg. reward: 0.529, 6.636 sec/game, 14.4 min. total, 429.7 MB
twistable_tiptoeing v3 290 games, 221574 moves, e=0.781, loss: 8.7, +, 54.4% elo% vs. v0, avg. reward: 0.529, 6.631 sec/game, 14.4 min. total, 430.6 MB
twistable_tiptoeing v3 291 games, 222426 moves, e=0.780, loss: 8.7, +, 56.4% elo% vs. v0, avg. reward: 0.531, 6.598 sec/game, 14.4 min. total, 431.5 MB
