twistable_tiptoeing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.8 MB
twistable_tiptoeing v1 35 games, 24600 moves, e=0.976, loss: 3.4, -, 50.1% elo% vs. v0, avg. reward: 0.402, 1.709 sec/game, 0.6 min. total, 400.8 MB
twistable_tiptoeing v1 36 games, 25276 moves, e=0.975, loss: 2.7, +, 52.4% elo% vs. v0, avg. reward: 0.397, 1.744 sec/game, 0.7 min. total, 401.2 MB
twistable_tiptoeing v1 37 games, 26031 moves, e=0.974, loss: 2.5, +, 54.6% elo% vs. v0, avg. reward: 0.398, 1.753 sec/game, 0.7 min. total, 401.5 MB
twistable_tiptoeing v1 38 games, 26842 moves, e=0.973, loss: 2.2, +, 56.6% elo% vs. v0, avg. reward: 0.408, 1.746 sec/game, 0.7 min. total, 401.4 MB
twistable_tiptoeing v1 39 games, 27601 moves, e=0.973, loss: 2.6, ., 56.3% elo% vs. v0, avg. reward: 0.398, 1.751 sec/game, 0.8 min. total, 401.8 MB
twistable_tiptoeing v1 40 games, 28421 moves, e=0.972, loss: 2.3, +, 58.3% elo% vs. v0, avg. reward: 0.398, 1.751 sec/game, 0.8 min. total, 401.6 MB
twistable_tiptoeing v1 41 games, 29151 moves, e=0.971, loss: 2.5, -, 55.7% elo% vs. v0, avg. reward: 0.397, 1.722 sec/game, 0.8 min. total, 404.1 MB
twistable_tiptoeing v1 42 games, 29713 moves, e=0.971, loss: 2.4, -, 53.1% elo% vs. v0, avg. reward: 0.390, 1.708 sec/game, 0.8 min. total, 404.0 MB
twistable_tiptoeing v1 43 games, 30477 moves, e=0.970, loss: 2.7, -, 50.7% elo% vs. v0, avg. reward: 0.391, 2.167 sec/game, 1.0 min. total, 404.7 MB
twistable_tiptoeing v1 44 games, 31251 moves, e=0.969, loss: 2.2, +, 52.9% elo% vs. v0, avg. reward: 0.390, 2.183 sec/game, 1.0 min. total, 404.7 MB
twistable_tiptoeing v1 45 games, 32023 moves, e=0.968, loss: 2.7, -, 50.5% elo% vs. v0, avg. reward: 0.386, 2.184 sec/game, 1.1 min. total, 404.8 MB
twistable_tiptoeing v1 46 games, 32721 moves, e=0.968, loss: 2.7, +, 52.8% elo% vs. v0, avg. reward: 0.390, 2.163 sec/game, 1.1 min. total, 404.8 MB
twistable_tiptoeing v1 47 games, 33383 moves, e=0.967, loss: 2.5, +, 55.0% elo% vs. v0, avg. reward: 0.389, 2.142 sec/game, 1.1 min. total, 404.7 MB
twistable_tiptoeing v1 48 games, 34077 moves, e=0.966, loss: 2.6, +, 57.0% elo% vs. v0, avg. reward: 0.382, 2.146 sec/game, 1.1 min. total, 405.1 MB
twistable_tiptoeing v1 49 games, 34816 moves, e=0.966, loss: 2.3, -, 54.4% elo% vs. v0, avg. reward: 0.385, 2.159 sec/game, 1.2 min. total, 408.0 MB
twistable_tiptoeing v1 50 games, 35501 moves, e=0.965, loss: 2.4, +, 56.5% elo% vs. v0, avg. reward: 0.383, 2.163 sec/game, 1.2 min. total, 408.1 MB
twistable_tiptoeing v1 51 games, 36227 moves, e=0.964, loss: 2.9, +, 58.4% elo% vs. v0, avg. reward: 0.387, 2.159 sec/game, 1.2 min. total, 408.2 MB
twistable_tiptoeing v1 52 games, 36993 moves, e=0.963, loss: 2.9, -, 55.8% elo% vs. v0, avg. reward: 0.384, 2.168 sec/game, 1.3 min. total, 408.5 MB
twistable_tiptoeing v1 53 games, 37776 moves, e=0.963, loss: 3.0, -, 53.3% elo% vs. v0, avg. reward: 0.385, 2.178 sec/game, 1.3 min. total, 408.2 MB
twistable_tiptoeing v1 54 games, 38482 moves, e=0.962, loss: 2.6, +, 55.4% elo% vs. v0, avg. reward: 0.388, 2.146 sec/game, 1.3 min. total, 408.2 MB
twistable_tiptoeing v1 55 games, 39215 moves, e=0.961, loss: 2.1, +, 57.4% elo% vs. v0, avg. reward: 0.389, 2.145 sec/game, 1.3 min. total, 408.4 MB
twistable_tiptoeing v1 56 games, 39814 moves, e=0.961, loss: 2.7, +, 59.3% elo% vs. v0, avg. reward: 0.384, 11.678 sec/game, 4.6 min. total, 410.2 MB
