many_mutilated v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
many_mutilated v7 357 games, 289601 moves, e=0.713, loss: 4.4, -, 12.1% elo% vs. simple_bot, avg. reward: -7.417, 2.086 sec/game, 9.4 min. total, 551.0 MB
many_mutilated v7 358 games, 290688 moves, e=0.712, loss: 4.3, -, 11.9% elo% vs. simple_bot, avg. reward: -7.400, 2.093 sec/game, 9.4 min. total, 552.6 MB
many_mutilated v7 359 games, 291642 moves, e=0.711, loss: 4.4, -, 11.6% elo% vs. simple_bot, avg. reward: -7.396, 2.104 sec/game, 9.4 min. total, 552.6 MB
many_mutilated v7 360 games, 292763 moves, e=0.710, loss: 4.1, -, 11.4% elo% vs. simple_bot, avg. reward: -7.373, 2.131 sec/game, 9.5 min. total, 552.6 MB
many_mutilated v7 361 games, 293942 moves, e=0.709, loss: 3.9, -, 11.2% elo% vs. simple_bot, avg. reward: -7.341, 2.152 sec/game, 9.5 min. total, 552.5 MB
many_mutilated v7 362 games, 295047 moves, e=0.708, loss: 3.7, -, 11.0% elo% vs. simple_bot, avg. reward: -7.329, 2.150 sec/game, 9.5 min. total, 553.0 MB
many_mutilated v7 363 games, 296017 moves, e=0.707, loss: 3.7, -, 10.8% elo% vs. simple_bot, avg. reward: -7.318, 2.134 sec/game, 9.6 min. total, 553.2 MB
many_mutilated v7 364 games, 296814 moves, e=0.706, loss: 3.5, -, 10.6% elo% vs. simple_bot, avg. reward: -7.317, 2.109 sec/game, 9.6 min. total, 553.5 MB
many_mutilated v7 365 games, 297857 moves, e=0.705, loss: 3.9, -, 10.4% elo% vs. simple_bot, avg. reward: -7.303, 2.106 sec/game, 9.6 min. total, 559.7 MB
many_mutilated v7 366 games, 298856 moves, e=0.704, loss: 4.2, -, 10.3% elo% vs. simple_bot, avg. reward: -7.298, 2.109 sec/game, 9.7 min. total, 555.4 MB
many_mutilated v7 367 games, 299988 moves, e=0.703, loss: 3.9, -, 10.1% elo% vs. simple_bot, avg. reward: -7.269, 2.109 sec/game, 9.7 min. total, 555.2 MB
many_mutilated v7 368 games, 301000 moves, e=0.702, loss: 4.2, -, 9.9% elo% vs. simple_bot, avg. reward: -7.238, 2.120 sec/game, 9.8 min. total, 555.5 MB
many_mutilated v7 369 games, 302030 moves, e=0.701, loss: 4.2, -, 9.8% elo% vs. simple_bot, avg. reward: -7.219, 2.117 sec/game, 9.8 min. total, 560.3 MB
many_mutilated v7 370 games, 302962 moves, e=0.700, loss: 4.5, -, 9.6% elo% vs. simple_bot, avg. reward: -7.209, 2.102 sec/game, 9.8 min. total, 560.7 MB
many_mutilated v7 371 games, 303924 moves, e=0.699, loss: 4.2, -, 9.4% elo% vs. simple_bot, avg. reward: -7.197, 2.120 sec/game, 9.9 min. total, 556.6 MB
many_mutilated v7 372 games, 305015 moves, e=0.698, loss: 4.3, -, 9.3% elo% vs. simple_bot, avg. reward: -7.175, 2.133 sec/game, 9.9 min. total, 557.3 MB
many_mutilated v7 373 games, 306091 moves, e=0.697, loss: 4.4, -, 9.2% elo% vs. simple_bot, avg. reward: -7.169, 2.167 sec/game, 9.9 min. total, 557.4 MB
many_mutilated v7 374 games, 307121 moves, e=0.696, loss: 4.7, -, 9.0% elo% vs. simple_bot, avg. reward: -7.153, 2.180 sec/game, 10.0 min. total, 562.2 MB
many_mutilated v7 375 games, 308022 moves, e=0.695, loss: 5.2, -, 8.9% elo% vs. simple_bot, avg. reward: -7.143, 2.158 sec/game, 10.0 min. total, 557.5 MB
many_mutilated v7 376 games, 309148 moves, e=0.694, loss: 5.0, -, 8.7% elo% vs. simple_bot, avg. reward: -7.119, 2.164 sec/game, 10.0 min. total, 557.4 MB
many_mutilated v7 377 games, 310132 moves, e=0.693, loss: 4.8, -, 8.6% elo% vs. simple_bot, avg. reward: -7.122, 2.152 sec/game, 10.1 min. total, 562.0 MB
many_mutilated v7 378 games, 311343 moves, e=0.692, loss: 4.4, -, 8.5% elo% vs. simple_bot, avg. reward: -7.088, 2.163 sec/game, 10.1 min. total, 557.8 MB
many_mutilated v7 379 games, 312390 moves, e=0.691, loss: 4.3, -, 8.4% elo% vs. simple_bot, avg. reward: -7.067, 2.174 sec/game, 10.2 min. total, 564.3 MB
many_mutilated v7 380 games, 313277 moves, e=0.690, loss: 4.4, -, 8.3% elo% vs. simple_bot, avg. reward: -7.060, 2.149 sec/game, 10.2 min. total, 559.6 MB
many_mutilated v7 381 games, 314262 moves, e=0.689, loss: 4.0, -, 8.1% elo% vs. simple_bot, avg. reward: -7.045, 2.137 sec/game, 10.2 min. total, 559.6 MB
many_mutilated v7 382 games, 315260 moves, e=0.688, loss: 4.0, -, 8.0% elo% vs. simple_bot, avg. reward: -7.036, 2.117 sec/game, 10.3 min. total, 560.1 MB
many_mutilated v7 383 games, 316256 moves, e=0.687, loss: 3.8, -, 7.9% elo% vs. simple_bot, avg. reward: -7.041, 2.135 sec/game, 10.3 min. total, 560.2 MB
many_mutilated v7 384 games, 317270 moves, e=0.686, loss: 4.0, -, 7.8% elo% vs. simple_bot, avg. reward: -7.025, 2.159 sec/game, 10.3 min. total, 559.9 MB
many_mutilated v7 385 games, 318280 moves, e=0.685, loss: 4.1, -, 7.7% elo% vs. simple_bot, avg. reward: -7.007, 2.150 sec/game, 10.4 min. total, 561.1 MB
many_mutilated v7 386 games, 319400 moves, e=0.684, loss: 4.0, -, 7.6% elo% vs. simple_bot, avg. reward: -6.977, 2.172 sec/game, 10.4 min. total, 561.2 MB
many_mutilated v7 387 games, 320318 moves, e=0.683, loss: 4.1, -, 7.5% elo% vs. simple_bot, avg. reward: -6.948, 2.149 sec/game, 10.4 min. total, 561.4 MB
many_mutilated v7 388 games, 321191 moves, e=0.682, loss: 3.9, -, 7.4% elo% vs. simple_bot, avg. reward: -6.942, 2.139 sec/game, 10.5 min. total, 561.2 MB
many_mutilated v7 389 games, 322281 moves, e=0.681, loss: 4.0, -, 7.3% elo% vs. simple_bot, avg. reward: -6.930, 2.142 sec/game, 10.5 min. total, 561.4 MB
many_mutilated v7 390 games, 323198 moves, e=0.680, loss: 4.0, -, 7.2% elo% vs. simple_bot, avg. reward: -6.923, 2.142 sec/game, 10.5 min. total, 561.4 MB
many_mutilated v7 391 games, 324225 moves, e=0.679, loss: 4.0, -, 7.1% elo% vs. simple_bot, avg. reward: -6.902, 2.145 sec/game, 10.6 min. total, 561.7 MB
many_mutilated v7 392 games, 325195 moves, e=0.678, loss: 4.0, -, 7.1% elo% vs. simple_bot, avg. reward: -6.889, 2.136 sec/game, 10.6 min. total, 562.4 MB
many_mutilated v7 393 games, 326288 moves, e=0.677, loss: 4.2, -, 7.0% elo% vs. simple_bot, avg. reward: -6.867, 2.137 sec/game, 10.6 min. total, 562.8 MB
many_mutilated v7 394 games, 327198 moves, e=0.676, loss: 3.9, -, 6.9% elo% vs. simple_bot, avg. reward: -6.879, 2.126 sec/game, 10.7 min. total, 563.0 MB
many_mutilated v7 395 games, 328058 moves, e=0.675, loss: 3.9, -, 6.8% elo% vs. simple_bot, avg. reward: -6.892, 2.115 sec/game, 10.7 min. total, 562.9 MB
many_mutilated v7 396 games, 329018 moves, e=0.674, loss: 4.3, -, 6.7% elo% vs. simple_bot, avg. reward: -6.889, 2.098 sec/game, 10.7 min. total, 563.3 MB
many_mutilated v7 397 games, 330144 moves, e=0.673, loss: 4.4, -, 6.7% elo% vs. simple_bot, avg. reward: -6.864, 2.120 sec/game, 10.8 min. total, 563.4 MB
many_mutilated v7 398 games, 331360 moves, e=0.672, loss: 4.3, -, 6.6% elo% vs. simple_bot, avg. reward: -6.846, 2.112 sec/game, 10.8 min. total, 563.3 MB
many_mutilated v7 399 games, 332461 moves, e=0.671, loss: 4.2, -, 6.5% elo% vs. simple_bot, avg. reward: -6.815, 2.133 sec/game, 10.9 min. total, 565.2 MB
many_mutilated v7 400 games, 333485 moves, e=0.670, loss: 4.5, -, 6.4% elo% vs. simple_bot, avg. reward: -6.806, 2.157 sec/game, 10.9 min. total, 565.5 MB
many_mutilated v8 401 games, 334486 moves, e=0.669, loss: 4.0, -, 47.7% elo% vs. simple_bot, avg. reward: -6.789, 2.161 sec/game, 10.9 min. total, 570.4 MB
many_mutilated v8 402 games, 335485 moves, e=0.668, loss: 4.1, -, 45.5% elo% vs. simple_bot, avg. reward: -6.774, 2.162 sec/game, 11.0 min. total, 565.9 MB
many_mutilated v8 403 games, 336604 moves, e=0.667, loss: 4.4, -, 43.4% elo% vs. simple_bot, avg. reward: -6.760, 2.170 sec/game, 11.0 min. total, 565.6 MB
many_mutilated v8 404 games, 337807 moves, e=0.666, loss: 4.1, -, 41.5% elo% vs. simple_bot, avg. reward: -6.739, 2.193 sec/game, 11.1 min. total, 567.2 MB
many_mutilated v8 405 games, 338889 moves, e=0.664, loss: 4.7, -, 39.6% elo% vs. simple_bot, avg. reward: -6.730, 2.196 sec/game, 11.1 min. total, 565.8 MB
many_mutilated v8 406 games, 339896 moves, e=0.664, loss: 4.9, -, 37.9% elo% vs. simple_bot, avg. reward: -6.724, 2.183 sec/game, 11.1 min. total, 567.6 MB
many_mutilated v8 407 games, 340937 moves, e=0.662, loss: 4.7, -, 36.3% elo% vs. simple_bot, avg. reward: -6.707, 2.202 sec/game, 11.2 min. total, 568.9 MB
many_mutilated v8 408 games, 342042 moves, e=0.661, loss: 4.9, -, 34.8% elo% vs. simple_bot, avg. reward: -6.701, 2.223 sec/game, 11.2 min. total, 567.5 MB
many_mutilated v8 409 games, 343142 moves, e=0.660, loss: 5.3, -, 33.3% elo% vs. simple_bot, avg. reward: -6.685, 2.221 sec/game, 11.2 min. total, 567.3 MB
many_mutilated v8 410 games, 344363 moves, e=0.659, loss: 5.1, -, 32.0% elo% vs. simple_bot, avg. reward: -6.660, 2.257 sec/game, 11.3 min. total, 568.9 MB
many_mutilated v8 411 games, 345514 moves, e=0.658, loss: 4.9, -, 30.7% elo% vs. simple_bot, avg. reward: -6.643, 2.261 sec/game, 11.3 min. total, 567.5 MB
many_mutilated v8 412 games, 346531 moves, e=0.657, loss: 5.0, -, 29.5% elo% vs. simple_bot, avg. reward: -6.632, 2.277 sec/game, 11.4 min. total, 568.4 MB
many_mutilated v8 413 games, 347669 moves, e=0.656, loss: 5.2, -, 28.4% elo% vs. simple_bot, avg. reward: -6.619, 2.278 sec/game, 11.4 min. total, 569.9 MB
many_mutilated v8 414 games, 348854 moves, e=0.655, loss: 5.1, -, 27.3% elo% vs. simple_bot, avg. reward: -6.616, 2.303 sec/game, 11.4 min. total, 570.1 MB
many_mutilated v8 415 games, 349988 moves, e=0.654, loss: 5.3, -, 26.4% elo% vs. simple_bot, avg. reward: -6.617, 2.338 sec/game, 11.5 min. total, 570.1 MB
many_mutilated v8 416 games, 351013 moves, e=0.652, loss: 6.0, -, 25.4% elo% vs. simple_bot, avg. reward: -6.610, 2.341 sec/game, 11.5 min. total, 570.1 MB
many_mutilated v8 417 games, 352011 moves, e=0.652, loss: 5.6, -, 24.5% elo% vs. simple_bot, avg. reward: -6.612, 2.331 sec/game, 11.6 min. total, 570.2 MB
many_mutilated v8 418 games, 352977 moves, e=0.651, loss: 6.0, -, 23.7% elo% vs. simple_bot, avg. reward: -6.607, 2.307 sec/game, 11.6 min. total, 570.8 MB
many_mutilated v8 419 games, 354056 moves, e=0.649, loss: 6.0, -, 22.9% elo% vs. simple_bot, avg. reward: -6.589, 2.298 sec/game, 11.6 min. total, 571.6 MB
many_mutilated v8 420 games, 355103 moves, e=0.648, loss: 5.9, -, 22.2% elo% vs. simple_bot, avg. reward: -6.565, 2.288 sec/game, 11.7 min. total, 571.6 MB
many_mutilated v8 421 games, 356365 moves, e=0.647, loss: 6.0, -, 21.5% elo% vs. simple_bot, avg. reward: -6.538, 2.309 sec/game, 11.7 min. total, 571.7 MB
many_mutilated v8 422 games, 357471 moves, e=0.646, loss: 5.7, -, 20.8% elo% vs. simple_bot, avg. reward: -6.534, 2.320 sec/game, 11.7 min. total, 571.9 MB
many_mutilated v8 423 games, 358711 moves, e=0.645, loss: 5.2, -, 20.2% elo% vs. simple_bot, avg. reward: -6.518, 2.333 sec/game, 11.8 min. total, 572.7 MB
many_mutilated v8 424 games, 359771 moves, e=0.644, loss: 4.8, -, 19.6% elo% vs. simple_bot, avg. reward: -6.510, 2.311 sec/game, 11.8 min. total, 572.5 MB
many_mutilated v8 425 games, 360903 moves, e=0.643, loss: 5.1, -, 19.1% elo% vs. simple_bot, avg. reward: -6.495, 2.321 sec/game, 11.9 min. total, 576.4 MB
many_mutilated v8 426 games, 362086 moves, e=0.642, loss: 5.3, -, 18.5% elo% vs. simple_bot, avg. reward: -6.456, 2.342 sec/game, 11.9 min. total, 574.9 MB
many_mutilated v8 427 games, 363277 moves, e=0.640, loss: 5.0, -, 18.0% elo% vs. simple_bot, avg. reward: -6.435, 2.359 sec/game, 12.0 min. total, 574.8 MB
many_mutilated v8 428 games, 364436 moves, e=0.639, loss: 4.2, +, 20.3% elo% vs. simple_bot, avg. reward: -6.414, 2.365 sec/game, 12.0 min. total, 576.5 MB
many_mutilated v8 429 games, 365506 moves, e=0.638, loss: 4.2, -, 19.7% elo% vs. simple_bot, avg. reward: -6.396, 2.370 sec/game, 12.0 min. total, 576.9 MB
many_mutilated v8 430 games, 366584 moves, e=0.637, loss: 4.1, ., 20.6% elo% vs. simple_bot, avg. reward: -6.387, 2.349 sec/game, 12.1 min. total, 575.8 MB
many_mutilated v8 431 games, 367720 moves, e=0.636, loss: 3.7, -, 20.0% elo% vs. simple_bot, avg. reward: -6.373, 2.350 sec/game, 12.1 min. total, 577.7 MB
many_mutilated v8 432 games, 368883 moves, e=0.635, loss: 4.0, -, 19.4% elo% vs. simple_bot, avg. reward: -6.351, 2.358 sec/game, 12.2 min. total, 576.8 MB
many_mutilated v8 433 games, 370059 moves, e=0.634, loss: 3.6, -, 18.9% elo% vs. simple_bot, avg. reward: -6.337, 2.367 sec/game, 12.2 min. total, 577.1 MB
many_mutilated v8 434 games, 371257 moves, e=0.632, loss: 3.5, -, 18.4% elo% vs. simple_bot, avg. reward: -6.317, 2.368 sec/game, 12.2 min. total, 577.0 MB
many_mutilated v8 435 games, 372416 moves, e=0.631, loss: 3.8, -, 17.9% elo% vs. simple_bot, avg. reward: -6.303, 2.369 sec/game, 12.3 min. total, 577.0 MB
many_mutilated v8 436 games, 373584 moves, e=0.630, loss: 3.7, -, 17.4% elo% vs. simple_bot, avg. reward: -6.286, 2.383 sec/game, 12.3 min. total, 576.9 MB
many_mutilated v8 437 games, 374876 moves, e=0.629, loss: 3.9, -, 16.9% elo% vs. simple_bot, avg. reward: -6.259, 2.406 sec/game, 12.4 min. total, 578.0 MB
many_mutilated v8 438 games, 375992 moves, e=0.628, loss: 3.8, -, 16.5% elo% vs. simple_bot, avg. reward: -6.245, 2.429 sec/game, 12.4 min. total, 579.0 MB
many_mutilated v8 439 games, 377177 moves, e=0.627, loss: 4.1, -, 16.1% elo% vs. simple_bot, avg. reward: -6.222, 2.436 sec/game, 12.4 min. total, 580.4 MB
many_mutilated v8 440 games, 378427 moves, e=0.625, loss: 4.0, -, 15.7% elo% vs. simple_bot, avg. reward: -6.197, 2.460 sec/game, 12.5 min. total, 579.2 MB
many_mutilated v8 441 games, 379448 moves, e=0.624, loss: 4.2, +, 17.8% elo% vs. simple_bot, avg. reward: -6.184, 2.437 sec/game, 12.5 min. total, 580.6 MB
many_mutilated v8 442 games, 380737 moves, e=0.623, loss: 4.1, -, 17.4% elo% vs. simple_bot, avg. reward: -6.173, 2.460 sec/game, 12.6 min. total, 579.3 MB
many_mutilated v8 443 games, 381761 moves, e=0.622, loss: 4.0, +, 19.7% elo% vs. simple_bot, avg. reward: -6.168, 2.435 sec/game, 12.6 min. total, 580.8 MB
many_mutilated v8 444 games, 382984 moves, e=0.621, loss: 4.1, -, 19.1% elo% vs. simple_bot, avg. reward: -6.154, 2.457 sec/game, 12.6 min. total, 581.8 MB
many_mutilated v8 445 games, 384147 moves, e=0.620, loss: 3.8, -, 18.6% elo% vs. simple_bot, avg. reward: -6.150, 2.456 sec/game, 12.7 min. total, 581.3 MB
many_mutilated v8 446 games, 385617 moves, e=0.618, loss: 3.4, +, 20.9% elo% vs. simple_bot, avg. reward: -6.119, 2.476 sec/game, 12.7 min. total, 582.7 MB
many_mutilated v8 447 games, 386870 moves, e=0.617, loss: 3.3, -, 20.3% elo% vs. simple_bot, avg. reward: -6.111, 2.477 sec/game, 12.8 min. total, 583.0 MB
many_mutilated v8 448 games, 388063 moves, e=0.616, loss: 3.4, -, 19.7% elo% vs. simple_bot, avg. reward: -6.093, 2.474 sec/game, 12.8 min. total, 582.2 MB
many_mutilated v8 449 games, 389225 moves, e=0.615, loss: 2.8, -, 19.1% elo% vs. simple_bot, avg. reward: -6.085, 2.481 sec/game, 12.9 min. total, 583.7 MB
many_mutilated v8 450 games, 390427 moves, e=0.613, loss: 2.8, -, 18.6% elo% vs. simple_bot, avg. reward: -6.071, 2.504 sec/game, 12.9 min. total, 582.7 MB
many_mutilated v8 451 games, 391475 moves, e=0.612, loss: 3.0, +, 21.0% elo% vs. simple_bot, avg. reward: -6.064, 2.494 sec/game, 12.9 min. total, 584.8 MB
many_mutilated v8 452 games, 392611 moves, e=0.611, loss: 3.6, ., 21.9% elo% vs. simple_bot, avg. reward: -6.044, 2.492 sec/game, 13.0 min. total, 584.8 MB
many_mutilated v8 453 games, 393764 moves, e=0.610, loss: 3.9, -, 21.2% elo% vs. simple_bot, avg. reward: -6.012, 2.481 sec/game, 13.0 min. total, 583.4 MB
many_mutilated v8 454 games, 394941 moves, e=0.609, loss: 4.6, +, 23.7% elo% vs. simple_bot, avg. reward: -5.990, 2.482 sec/game, 13.1 min. total, 583.4 MB
many_mutilated v8 455 games, 396118 moves, e=0.608, loss: 4.8, -, 22.9% elo% vs. simple_bot, avg. reward: -5.984, 2.486 sec/game, 13.1 min. total, 583.5 MB
many_mutilated v8 456 games, 397317 moves, e=0.607, loss: 5.0, -, 22.2% elo% vs. simple_bot, avg. reward: -5.977, 2.497 sec/game, 13.2 min. total, 585.9 MB
many_mutilated v8 457 games, 398493 moves, e=0.605, loss: 4.9, -, 21.5% elo% vs. simple_bot, avg. reward: -5.967, 2.490 sec/game, 13.2 min. total, 586.5 MB
many_mutilated v8 458 games, 399659 moves, e=0.604, loss: 5.2, -, 20.8% elo% vs. simple_bot, avg. reward: -5.959, 2.498 sec/game, 13.2 min. total, 586.2 MB
many_mutilated v8 459 games, 400703 moves, e=0.603, loss: 5.0, -, 20.2% elo% vs. simple_bot, avg. reward: -5.950, 2.483 sec/game, 13.3 min. total, 586.1 MB
many_mutilated v8 460 games, 401914 moves, e=0.602, loss: 5.0, -, 19.6% elo% vs. simple_bot, avg. reward: -5.948, 2.475 sec/game, 13.3 min. total, 587.5 MB
many_mutilated v8 461 games, 403109 moves, e=0.601, loss: 5.4, -, 19.1% elo% vs. simple_bot, avg. reward: -5.949, 2.499 sec/game, 13.4 min. total, 586.1 MB
many_mutilated v8 462 games, 404325 moves, e=0.600, loss: 5.1, -, 18.5% elo% vs. simple_bot, avg. reward: -5.943, 2.487 sec/game, 13.4 min. total, 586.3 MB
many_mutilated v8 463 games, 405571 moves, e=0.598, loss: 4.9, -, 18.0% elo% vs. simple_bot, avg. reward: -5.919, 2.510 sec/game, 13.4 min. total, 586.3 MB
many_mutilated v8 464 games, 406947 moves, e=0.597, loss: 5.3, -, 17.5% elo% vs. simple_bot, avg. reward: -5.878, 2.524 sec/game, 13.5 min. total, 589.1 MB
many_mutilated v8 465 games, 408262 moves, e=0.596, loss: 5.2, -, 17.1% elo% vs. simple_bot, avg. reward: -5.865, 2.536 sec/game, 13.5 min. total, 589.4 MB
many_mutilated v8 466 games, 409641 moves, e=0.594, loss: 4.5, -, 16.6% elo% vs. simple_bot, avg. reward: -5.843, 2.532 sec/game, 13.6 min. total, 588.3 MB
many_mutilated v8 467 games, 411032 moves, e=0.593, loss: 4.8, -, 16.2% elo% vs. simple_bot, avg. reward: -5.833, 2.543 sec/game, 13.6 min. total, 589.8 MB
many_mutilated v8 468 games, 412126 moves, e=0.592, loss: 4.2, -, 15.8% elo% vs. simple_bot, avg. reward: -5.824, 2.532 sec/game, 13.7 min. total, 588.6 MB
many_mutilated v8 469 games, 413350 moves, e=0.591, loss: 3.9, -, 15.4% elo% vs. simple_bot, avg. reward: -5.812, 2.546 sec/game, 13.7 min. total, 588.9 MB
many_mutilated v8 470 games, 414561 moves, e=0.590, loss: 3.9, +, 17.6% elo% vs. simple_bot, avg. reward: -5.793, 2.534 sec/game, 13.8 min. total, 591.2 MB
many_mutilated v8 471 games, 415991 moves, e=0.588, loss: 3.3, -, 17.1% elo% vs. simple_bot, avg. reward: -5.763, 2.569 sec/game, 13.8 min. total, 591.0 MB
many_mutilated v8 472 games, 417424 moves, e=0.587, loss: 3.6, -, 16.7% elo% vs. simple_bot, avg. reward: -5.748, 2.602 sec/game, 13.9 min. total, 591.1 MB
many_mutilated v8 473 games, 418695 moves, e=0.585, loss: 4.0, -, 16.2% elo% vs. simple_bot, avg. reward: -5.734, 2.616 sec/game, 13.9 min. total, 591.1 MB
many_mutilated v8 474 games, 419964 moves, e=0.584, loss: 3.7, -, 15.8% elo% vs. simple_bot, avg. reward: -5.718, 2.618 sec/game, 13.9 min. total, 591.4 MB
many_mutilated v8 475 games, 421177 moves, e=0.583, loss: 3.5, -, 15.4% elo% vs. simple_bot, avg. reward: -5.695, 2.624 sec/game, 14.0 min. total, 591.6 MB
many_mutilated v8 476 games, 422365 moves, e=0.582, loss: 4.1, -, 15.1% elo% vs. simple_bot, avg. reward: -5.690, 2.615 sec/game, 14.0 min. total, 592.6 MB
many_mutilated v8 477 games, 423775 moves, e=0.580, loss: 4.4, -, 14.7% elo% vs. simple_bot, avg. reward: -5.664, 2.640 sec/game, 14.1 min. total, 593.6 MB
many_mutilated v8 478 games, 424909 moves, e=0.579, loss: 4.0, -, 14.4% elo% vs. simple_bot, avg. reward: -5.666, 2.634 sec/game, 14.1 min. total, 593.6 MB
many_mutilated v8 479 games, 426195 moves, e=0.578, loss: 4.2, -, 14.1% elo% vs. simple_bot, avg. reward: -5.651, 2.655 sec/game, 14.2 min. total, 593.5 MB
many_mutilated v8 480 games, 427406 moves, e=0.577, loss: 4.1, -, 13.8% elo% vs. simple_bot, avg. reward: -5.626, 2.664 sec/game, 14.2 min. total, 593.8 MB
many_mutilated v8 481 games, 428513 moves, e=0.576, loss: 4.4, -, 13.5% elo% vs. simple_bot, avg. reward: -5.615, 2.643 sec/game, 14.2 min. total, 593.8 MB
many_mutilated v8 482 games, 429872 moves, e=0.574, loss: 4.7, -, 13.2% elo% vs. simple_bot, avg. reward: -5.592, 2.666 sec/game, 14.3 min. total, 594.3 MB
many_mutilated v8 483 games, 431011 moves, e=0.573, loss: 4.4, -, 12.9% elo% vs. simple_bot, avg. reward: -5.579, 2.655 sec/game, 14.3 min. total, 596.3 MB
many_mutilated v8 484 games, 432468 moves, e=0.572, loss: 4.6, -, 12.6% elo% vs. simple_bot, avg. reward: -5.556, 2.654 sec/game, 14.4 min. total, 594.9 MB
many_mutilated v8 485 games, 433739 moves, e=0.571, loss: 4.6, -, 12.4% elo% vs. simple_bot, avg. reward: -5.542, 2.654 sec/game, 14.4 min. total, 595.0 MB
many_mutilated v8 486 games, 435126 moves, e=0.569, loss: 5.3, -, 12.1% elo% vs. simple_bot, avg. reward: -5.529, 2.654 sec/game, 14.5 min. total, 596.4 MB
many_mutilated v8 487 games, 436515 moves, e=0.568, loss: 5.2, -, 11.9% elo% vs. simple_bot, avg. reward: -5.500, 2.656 sec/game, 14.5 min. total, 595.4 MB
many_mutilated v8 488 games, 437791 moves, e=0.567, loss: 4.4, -, 11.7% elo% vs. simple_bot, avg. reward: -5.472, 2.684 sec/game, 14.6 min. total, 596.9 MB
many_mutilated v8 489 games, 439053 moves, e=0.565, loss: 4.9, -, 11.5% elo% vs. simple_bot, avg. reward: -5.464, 2.687 sec/game, 14.6 min. total, 596.9 MB
many_mutilated v8 490 games, 440420 moves, e=0.564, loss: 5.0, -, 11.2% elo% vs. simple_bot, avg. reward: -5.432, 2.699 sec/game, 14.7 min. total, 597.2 MB
many_mutilated v8 491 games, 441707 moves, e=0.563, loss: 5.0, -, 11.0% elo% vs. simple_bot, avg. reward: -5.415, 2.689 sec/game, 14.7 min. total, 597.3 MB
many_mutilated v8 492 games, 443017 moves, e=0.561, loss: 5.0, -, 10.8% elo% vs. simple_bot, avg. reward: -5.393, 2.678 sec/game, 14.7 min. total, 597.3 MB
many_mutilated v8 493 games, 444191 moves, e=0.560, loss: 5.9, -, 10.6% elo% vs. simple_bot, avg. reward: -5.391, 2.667 sec/game, 14.8 min. total, 598.8 MB
many_mutilated v8 494 games, 445347 moves, e=0.559, loss: 6.5, ., 11.4% elo% vs. simple_bot, avg. reward: -5.369, 2.665 sec/game, 14.8 min. total, 599.8 MB
many_mutilated v8 495 games, 446522 moves, e=0.558, loss: 7.0, -, 11.1% elo% vs. simple_bot, avg. reward: -5.344, 2.657 sec/game, 14.9 min. total, 601.0 MB
many_mutilated v8 496 games, 448006 moves, e=0.556, loss: 7.5, -, 10.9% elo% vs. simple_bot, avg. reward: -5.315, 2.691 sec/game, 14.9 min. total, 604.3 MB
many_mutilated v8 497 games, 449048 moves, e=0.555, loss: 7.4, -, 10.7% elo% vs. simple_bot, avg. reward: -5.314, 2.651 sec/game, 15.0 min. total, 599.8 MB
many_mutilated v8 498 games, 450303 moves, e=0.554, loss: 7.6, -, 10.6% elo% vs. simple_bot, avg. reward: -5.313, 2.651 sec/game, 15.0 min. total, 601.1 MB
many_mutilated v8 499 games, 451678 moves, e=0.553, loss: 7.3, -, 10.4% elo% vs. simple_bot, avg. reward: -5.299, 2.662 sec/game, 15.0 min. total, 600.3 MB
many_mutilated v8 500 games, 452822 moves, e=0.552, loss: 7.1, -, 10.2% elo% vs. simple_bot, avg. reward: -5.299, 2.652 sec/game, 15.1 min. total, 600.4 MB
many_mutilated v9 501 games, 454173 moves, e=0.550, loss: 6.7, -, 47.7% elo% vs. simple_bot, avg. reward: -5.280, 2.687 sec/game, 15.1 min. total, 602.7 MB
many_mutilated v9 502 games, 455506 moves, e=0.549, loss: 6.7, -, 45.5% elo% vs. simple_bot, avg. reward: -5.258, 2.676 sec/game, 15.2 min. total, 602.7 MB
many_mutilated v9 503 games, 456673 moves, e=0.548, loss: 5.8, -, 43.4% elo% vs. simple_bot, avg. reward: -5.254, 2.681 sec/game, 15.2 min. total, 602.7 MB
many_mutilated v9 504 games, 457995 moves, e=0.547, loss: 5.2, -, 41.5% elo% vs. simple_bot, avg. reward: -5.244, 2.684 sec/game, 15.3 min. total, 603.1 MB
many_mutilated v9 505 games, 459248 moves, e=0.545, loss: 5.9, -, 39.6% elo% vs. simple_bot, avg. reward: -5.236, 2.676 sec/game, 15.3 min. total, 603.4 MB
many_mutilated v9 506 games, 460789 moves, e=0.544, loss: 5.8, +, 42.3% elo% vs. simple_bot, avg. reward: -5.207, 2.689 sec/game, 15.4 min. total, 605.3 MB
many_mutilated v9 507 games, 461896 moves, e=0.543, loss: 6.1, +, 44.9% elo% vs. simple_bot, avg. reward: -5.199, 2.664 sec/game, 15.4 min. total, 606.2 MB
many_mutilated v9 508 games, 463242 moves, e=0.541, loss: 7.1, -, 42.9% elo% vs. simple_bot, avg. reward: -5.180, 2.669 sec/game, 15.5 min. total, 606.5 MB
