grappling_amnesty v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.4 MB
grappling_amnesty v5 146 games, 107002 moves, e=0.894, loss: 2.8, -, 17.5% elo% vs. simple_bot, avg. reward: -6.261, 1.314 sec/game, 2.5 min. total, 456.6 MB
grappling_amnesty v5 147 games, 107825 moves, e=0.893, loss: 2.7, -, 17.0% elo% vs. simple_bot, avg. reward: -6.240, 1.322 sec/game, 2.5 min. total, 456.6 MB
grappling_amnesty v5 148 games, 108618 moves, e=0.892, loss: 2.8, -, 16.6% elo% vs. simple_bot, avg. reward: -6.232, 1.329 sec/game, 2.5 min. total, 455.7 MB
grappling_amnesty v5 149 games, 109408 moves, e=0.892, loss: 2.9, -, 16.2% elo% vs. simple_bot, avg. reward: -6.233, 1.307 sec/game, 2.5 min. total, 455.8 MB
grappling_amnesty v5 150 games, 110147 moves, e=0.891, loss: 2.8, -, 15.8% elo% vs. simple_bot, avg. reward: -6.232, 1.318 sec/game, 2.5 min. total, 457.2 MB
grappling_amnesty v5 151 games, 110987 moves, e=0.890, loss: 3.0, -, 15.4% elo% vs. simple_bot, avg. reward: -6.215, 1.324 sec/game, 2.6 min. total, 457.3 MB
grappling_amnesty v5 152 games, 111859 moves, e=0.889, loss: 2.9, -, 15.0% elo% vs. simple_bot, avg. reward: -6.196, 1.328 sec/game, 2.6 min. total, 458.7 MB
grappling_amnesty v5 153 games, 112554 moves, e=0.889, loss: 2.9, -, 14.7% elo% vs. simple_bot, avg. reward: -6.203, 1.322 sec/game, 2.6 min. total, 458.9 MB
grappling_amnesty v5 154 games, 113394 moves, e=0.888, loss: 3.0, -, 14.3% elo% vs. simple_bot, avg. reward: -6.197, 1.324 sec/game, 2.6 min. total, 458.0 MB
grappling_amnesty v5 155 games, 114211 moves, e=0.887, loss: 3.0, -, 14.0% elo% vs. simple_bot, avg. reward: -6.176, 1.346 sec/game, 2.7 min. total, 456.6 MB
grappling_amnesty v5 156 games, 115137 moves, e=0.886, loss: 3.0, -, 13.7% elo% vs. simple_bot, avg. reward: -6.157, 1.350 sec/game, 2.7 min. total, 457.7 MB
grappling_amnesty v5 157 games, 115835 moves, e=0.885, loss: 3.0, -, 13.4% elo% vs. simple_bot, avg. reward: -6.160, 1.336 sec/game, 2.7 min. total, 457.8 MB
grappling_amnesty v5 158 games, 116619 moves, e=0.885, loss: 3.0, -, 13.1% elo% vs. simple_bot, avg. reward: -6.162, 1.332 sec/game, 2.7 min. total, 458.9 MB
grappling_amnesty v5 159 games, 117318 moves, e=0.884, loss: 2.9, -, 12.9% elo% vs. simple_bot, avg. reward: -6.155, 1.311 sec/game, 2.7 min. total, 456.8 MB
grappling_amnesty v5 160 games, 118018 moves, e=0.883, loss: 2.6, -, 12.6% elo% vs. simple_bot, avg. reward: -6.145, 1.282 sec/game, 2.8 min. total, 457.2 MB
grappling_amnesty v5 161 games, 118890 moves, e=0.882, loss: 2.8, -, 12.3% elo% vs. simple_bot, avg. reward: -6.125, 1.273 sec/game, 2.8 min. total, 457.0 MB
grappling_amnesty v5 162 games, 119597 moves, e=0.882, loss: 2.7, -, 12.1% elo% vs. simple_bot, avg. reward: -6.131, 1.258 sec/game, 2.8 min. total, 456.7 MB
grappling_amnesty v5 163 games, 120448 moves, e=0.881, loss: 2.9, -, 11.9% elo% vs. simple_bot, avg. reward: -6.120, 1.254 sec/game, 2.8 min. total, 457.6 MB
grappling_amnesty v5 164 games, 121152 moves, e=0.880, loss: 3.0, -, 11.6% elo% vs. simple_bot, avg. reward: -6.106, 1.238 sec/game, 2.8 min. total, 458.2 MB
grappling_amnesty v5 165 games, 121910 moves, e=0.879, loss: 3.0, -, 11.4% elo% vs. simple_bot, avg. reward: -6.092, 1.241 sec/game, 2.8 min. total, 456.9 MB
grappling_amnesty v5 166 games, 122683 moves, e=0.879, loss: 3.0, -, 11.2% elo% vs. simple_bot, avg. reward: -6.086, 1.233 sec/game, 2.9 min. total, 458.8 MB
grappling_amnesty v5 167 games, 123590 moves, e=0.878, loss: 3.1, -, 11.0% elo% vs. simple_bot, avg. reward: -6.077, 1.225 sec/game, 2.9 min. total, 458.4 MB
grappling_amnesty v5 168 games, 124339 moves, e=0.877, loss: 2.9, -, 10.8% elo% vs. simple_bot, avg. reward: -6.077, 1.219 sec/game, 2.9 min. total, 458.3 MB
grappling_amnesty v5 169 games, 125092 moves, e=0.876, loss: 3.1, -, 10.6% elo% vs. simple_bot, avg. reward: -6.077, 1.213 sec/game, 2.9 min. total, 459.6 MB
grappling_amnesty v5 170 games, 125889 moves, e=0.875, loss: 3.2, -, 10.4% elo% vs. simple_bot, avg. reward: -6.069, 1.204 sec/game, 2.9 min. total, 460.1 MB
grappling_amnesty v5 171 games, 126676 moves, e=0.875, loss: 3.3, -, 10.3% elo% vs. simple_bot, avg. reward: -6.058, 1.188 sec/game, 3.0 min. total, 458.8 MB
grappling_amnesty v5 172 games, 127397 moves, e=0.874, loss: 3.4, -, 10.1% elo% vs. simple_bot, avg. reward: -6.054, 1.180 sec/game, 3.0 min. total, 460.9 MB
grappling_amnesty v5 173 games, 128125 moves, e=0.873, loss: 3.3, -, 9.9% elo% vs. simple_bot, avg. reward: -6.051, 1.166 sec/game, 3.0 min. total, 458.9 MB
grappling_amnesty v5 174 games, 128910 moves, e=0.872, loss: 3.4, -, 9.8% elo% vs. simple_bot, avg. reward: -6.050, 1.160 sec/game, 3.0 min. total, 460.5 MB
grappling_amnesty v5 175 games, 129683 moves, e=0.872, loss: 3.3, -, 9.6% elo% vs. simple_bot, avg. reward: -6.040, 1.146 sec/game, 3.0 min. total, 461.0 MB
grappling_amnesty v5 176 games, 130503 moves, e=0.871, loss: 3.2, -, 9.4% elo% vs. simple_bot, avg. reward: -6.027, 1.129 sec/game, 3.1 min. total, 459.5 MB
grappling_amnesty v5 177 games, 131234 moves, e=0.870, loss: 3.4, -, 9.3% elo% vs. simple_bot, avg. reward: -6.025, 1.132 sec/game, 3.1 min. total, 459.9 MB
grappling_amnesty v5 178 games, 131958 moves, e=0.869, loss: 3.4, -, 9.2% elo% vs. simple_bot, avg. reward: -6.029, 1.109 sec/game, 3.1 min. total, 462.3 MB
grappling_amnesty v5 179 games, 132699 moves, e=0.869, loss: 3.4, -, 9.0% elo% vs. simple_bot, avg. reward: -6.021, 1.116 sec/game, 3.1 min. total, 462.0 MB
grappling_amnesty v5 180 games, 133456 moves, e=0.868, loss: 3.6, -, 8.9% elo% vs. simple_bot, avg. reward: -6.011, 1.123 sec/game, 3.1 min. total, 462.2 MB
grappling_amnesty v5 181 games, 134231 moves, e=0.867, loss: 3.6, -, 8.7% elo% vs. simple_bot, avg. reward: -6.001, 1.121 sec/game, 3.1 min. total, 462.3 MB
grappling_amnesty v5 182 games, 135092 moves, e=0.866, loss: 3.6, -, 8.6% elo% vs. simple_bot, avg. reward: -5.998, 1.130 sec/game, 3.2 min. total, 463.6 MB
grappling_amnesty v5 183 games, 135867 moves, e=0.865, loss: 3.6, -, 8.5% elo% vs. simple_bot, avg. reward: -5.985, 1.124 sec/game, 3.2 min. total, 462.3 MB
grappling_amnesty v5 184 games, 136557 moves, e=0.865, loss: 3.4, -, 8.4% elo% vs. simple_bot, avg. reward: -5.991, 1.125 sec/game, 3.2 min. total, 463.6 MB
grappling_amnesty v5 185 games, 137332 moves, e=0.864, loss: 3.5, -, 8.3% elo% vs. simple_bot, avg. reward: -5.985, 1.125 sec/game, 3.2 min. total, 464.6 MB
grappling_amnesty v5 186 games, 138024 moves, e=0.863, loss: 3.6, -, 8.1% elo% vs. simple_bot, avg. reward: -5.982, 1.126 sec/game, 3.2 min. total, 465.2 MB
grappling_amnesty v5 187 games, 138861 moves, e=0.863, loss: 3.6, -, 8.0% elo% vs. simple_bot, avg. reward: -5.974, 1.121 sec/game, 3.3 min. total, 464.9 MB
grappling_amnesty v5 188 games, 139612 moves, e=0.862, loss: 3.4, -, 7.9% elo% vs. simple_bot, avg. reward: -5.961, 1.122 sec/game, 3.3 min. total, 463.3 MB
grappling_amnesty v5 189 games, 140316 moves, e=0.861, loss: 3.2, -, 7.8% elo% vs. simple_bot, avg. reward: -5.970, 1.122 sec/game, 3.3 min. total, 465.2 MB
grappling_amnesty v5 190 games, 141076 moves, e=0.860, loss: 3.2, -, 7.7% elo% vs. simple_bot, avg. reward: -5.984, 1.124 sec/game, 3.3 min. total, 464.8 MB
grappling_amnesty v5 191 games, 141954 moves, e=0.859, loss: 3.5, -, 7.6% elo% vs. simple_bot, avg. reward: -5.967, 1.132 sec/game, 3.3 min. total, 463.5 MB
grappling_amnesty v5 192 games, 142698 moves, e=0.859, loss: 3.5, -, 7.5% elo% vs. simple_bot, avg. reward: -5.969, 1.124 sec/game, 3.4 min. total, 463.9 MB
grappling_amnesty v5 193 games, 143437 moves, e=0.858, loss: 3.6, -, 7.4% elo% vs. simple_bot, avg. reward: -5.963, 1.133 sec/game, 3.4 min. total, 464.8 MB
grappling_amnesty v5 194 games, 144204 moves, e=0.857, loss: 3.5, -, 7.3% elo% vs. simple_bot, avg. reward: -5.960, 1.124 sec/game, 3.4 min. total, 466.2 MB
grappling_amnesty v5 195 games, 145016 moves, e=0.856, loss: 3.5, -, 7.2% elo% vs. simple_bot, avg. reward: -5.950, 1.124 sec/game, 3.4 min. total, 464.6 MB
grappling_amnesty v5 196 games, 145731 moves, e=0.856, loss: 3.3, -, 7.1% elo% vs. simple_bot, avg. reward: -5.935, 1.125 sec/game, 3.4 min. total, 468.0 MB
grappling_amnesty v5 197 games, 146532 moves, e=0.855, loss: 3.5, -, 7.1% elo% vs. simple_bot, avg. reward: -5.930, 1.127 sec/game, 3.4 min. total, 467.8 MB
grappling_amnesty v5 198 games, 147236 moves, e=0.854, loss: 3.3, -, 7.0% elo% vs. simple_bot, avg. reward: -5.936, 1.133 sec/game, 3.5 min. total, 467.8 MB
grappling_amnesty v5 199 games, 147995 moves, e=0.853, loss: 3.4, -, 6.9% elo% vs. simple_bot, avg. reward: -5.931, 1.130 sec/game, 3.5 min. total, 467.9 MB
grappling_amnesty v5 200 games, 148854 moves, e=0.853, loss: 3.6, -, 6.8% elo% vs. simple_bot, avg. reward: -5.926, 1.125 sec/game, 3.5 min. total, 468.2 MB
grappling_amnesty v6 201 games, 149578 moves, e=0.852, loss: 3.5, -, 47.7% elo% vs. simple_bot, avg. reward: -5.929, 1.124 sec/game, 3.5 min. total, 469.3 MB
grappling_amnesty v6 202 games, 150333 moves, e=0.851, loss: 3.5, -, 45.5% elo% vs. simple_bot, avg. reward: -5.933, 1.118 sec/game, 3.5 min. total, 468.0 MB
grappling_amnesty v6 203 games, 151001 moves, e=0.851, loss: 3.6, -, 43.4% elo% vs. simple_bot, avg. reward: -5.942, 1.109 sec/game, 3.6 min. total, 468.1 MB
grappling_amnesty v6 204 games, 151666 moves, e=0.850, loss: 3.4, -, 41.5% elo% vs. simple_bot, avg. reward: -5.939, 1.109 sec/game, 3.6 min. total, 469.5 MB
grappling_amnesty v6 205 games, 152438 moves, e=0.849, loss: 3.4, -, 39.6% elo% vs. simple_bot, avg. reward: -5.925, 1.109 sec/game, 3.6 min. total, 469.4 MB
grappling_amnesty v6 206 games, 153381 moves, e=0.848, loss: 3.3, -, 37.9% elo% vs. simple_bot, avg. reward: -5.920, 1.131 sec/game, 3.6 min. total, 468.8 MB
grappling_amnesty v6 207 games, 154207 moves, e=0.847, loss: 3.5, -, 36.3% elo% vs. simple_bot, avg. reward: -5.917, 1.132 sec/game, 3.6 min. total, 469.8 MB
grappling_amnesty v6 208 games, 155054 moves, e=0.846, loss: 3.6, -, 34.8% elo% vs. simple_bot, avg. reward: -5.910, 1.141 sec/game, 3.7 min. total, 469.7 MB
grappling_amnesty v6 209 games, 155779 moves, e=0.846, loss: 3.4, -, 33.3% elo% vs. simple_bot, avg. reward: -5.911, 1.139 sec/game, 3.7 min. total, 469.8 MB
grappling_amnesty v6 210 games, 156641 moves, e=0.845, loss: 3.5, -, 32.0% elo% vs. simple_bot, avg. reward: -5.901, 1.140 sec/game, 3.7 min. total, 470.8 MB
grappling_amnesty v6 211 games, 157518 moves, e=0.844, loss: 3.7, -, 30.7% elo% vs. simple_bot, avg. reward: -5.884, 1.143 sec/game, 3.7 min. total, 470.2 MB
grappling_amnesty v6 212 games, 158338 moves, e=0.843, loss: 3.6, -, 29.5% elo% vs. simple_bot, avg. reward: -5.873, 1.158 sec/game, 3.7 min. total, 469.5 MB
grappling_amnesty v6 213 games, 159165 moves, e=0.842, loss: 3.7, -, 28.4% elo% vs. simple_bot, avg. reward: -5.874, 1.159 sec/game, 3.8 min. total, 469.2 MB
grappling_amnesty v6 214 games, 160019 moves, e=0.842, loss: 3.5, -, 27.3% elo% vs. simple_bot, avg. reward: -5.862, 1.178 sec/game, 3.8 min. total, 469.3 MB
grappling_amnesty v6 215 games, 160851 moves, e=0.841, loss: 3.5, -, 26.4% elo% vs. simple_bot, avg. reward: -5.851, 1.179 sec/game, 3.8 min. total, 470.3 MB
grappling_amnesty v6 216 games, 161685 moves, e=0.840, loss: 3.5, -, 25.4% elo% vs. simple_bot, avg. reward: -5.851, 1.187 sec/game, 3.8 min. total, 471.3 MB
grappling_amnesty v6 217 games, 162466 moves, e=0.839, loss: 3.5, -, 24.5% elo% vs. simple_bot, avg. reward: -5.851, 1.185 sec/game, 3.8 min. total, 471.4 MB
grappling_amnesty v6 218 games, 163304 moves, e=0.838, loss: 3.5, -, 23.7% elo% vs. simple_bot, avg. reward: -5.840, 1.188 sec/game, 3.9 min. total, 471.2 MB
grappling_amnesty v6 219 games, 164261 moves, e=0.837, loss: 3.7, -, 22.9% elo% vs. simple_bot, avg. reward: -5.820, 1.207 sec/game, 3.9 min. total, 470.8 MB
grappling_amnesty v6 220 games, 164998 moves, e=0.837, loss: 3.7, -, 22.2% elo% vs. simple_bot, avg. reward: -5.819, 1.207 sec/game, 3.9 min. total, 472.2 MB
grappling_amnesty v6 221 games, 165791 moves, e=0.836, loss: 3.7, -, 21.5% elo% vs. simple_bot, avg. reward: -5.816, 1.211 sec/game, 3.9 min. total, 471.0 MB
grappling_amnesty v6 222 games, 166602 moves, e=0.835, loss: 3.7, -, 20.8% elo% vs. simple_bot, avg. reward: -5.798, 1.210 sec/game, 3.9 min. total, 471.7 MB
grappling_amnesty v6 223 games, 167481 moves, e=0.834, loss: 3.7, -, 20.2% elo% vs. simple_bot, avg. reward: -5.787, 1.228 sec/game, 4.0 min. total, 473.0 MB
grappling_amnesty v6 224 games, 168257 moves, e=0.833, loss: 3.5, -, 19.6% elo% vs. simple_bot, avg. reward: -5.787, 1.239 sec/game, 4.0 min. total, 471.6 MB
grappling_amnesty v6 225 games, 169104 moves, e=0.833, loss: 3.6, -, 19.1% elo% vs. simple_bot, avg. reward: -5.777, 1.248 sec/game, 4.0 min. total, 472.0 MB
grappling_amnesty v6 226 games, 169892 moves, e=0.832, loss: 3.5, -, 18.5% elo% vs. simple_bot, avg. reward: -5.775, 1.227 sec/game, 4.0 min. total, 472.6 MB
grappling_amnesty v6 227 games, 170856 moves, e=0.831, loss: 3.6, -, 18.0% elo% vs. simple_bot, avg. reward: -5.759, 1.235 sec/game, 4.1 min. total, 471.7 MB
grappling_amnesty v6 228 games, 171674 moves, e=0.830, loss: 3.8, -, 17.5% elo% vs. simple_bot, avg. reward: -5.744, 1.236 sec/game, 4.1 min. total, 473.2 MB
grappling_amnesty v6 229 games, 172417 moves, e=0.829, loss: 3.7, -, 17.1% elo% vs. simple_bot, avg. reward: -5.754, 1.238 sec/game, 4.1 min. total, 473.4 MB
grappling_amnesty v6 230 games, 173175 moves, e=0.829, loss: 3.9, -, 16.6% elo% vs. simple_bot, avg. reward: -5.739, 1.228 sec/game, 4.1 min. total, 475.1 MB
grappling_amnesty v6 231 games, 174084 moves, e=0.828, loss: 4.1, -, 16.2% elo% vs. simple_bot, avg. reward: -5.724, 1.241 sec/game, 4.1 min. total, 474.4 MB
grappling_amnesty v6 232 games, 174988 moves, e=0.827, loss: 4.1, -, 15.8% elo% vs. simple_bot, avg. reward: -5.710, 1.245 sec/game, 4.2 min. total, 475.5 MB
grappling_amnesty v6 233 games, 175689 moves, e=0.826, loss: 4.0, -, 15.4% elo% vs. simple_bot, avg. reward: -5.715, 1.236 sec/game, 4.2 min. total, 475.3 MB
grappling_amnesty v6 234 games, 176479 moves, e=0.825, loss: 4.1, -, 15.1% elo% vs. simple_bot, avg. reward: -5.707, 1.218 sec/game, 4.2 min. total, 474.6 MB
grappling_amnesty v6 235 games, 177308 moves, e=0.824, loss: 3.9, -, 14.7% elo% vs. simple_bot, avg. reward: -5.688, 1.226 sec/game, 4.2 min. total, 474.6 MB
grappling_amnesty v6 236 games, 178130 moves, e=0.824, loss: 4.2, -, 14.4% elo% vs. simple_bot, avg. reward: -5.682, 1.220 sec/game, 4.2 min. total, 474.6 MB
grappling_amnesty v6 237 games, 179070 moves, e=0.823, loss: 4.2, -, 14.0% elo% vs. simple_bot, avg. reward: -5.660, 1.230 sec/game, 4.3 min. total, 476.6 MB
grappling_amnesty v6 238 games, 179942 moves, e=0.822, loss: 3.9, -, 13.7% elo% vs. simple_bot, avg. reward: -5.660, 1.237 sec/game, 4.3 min. total, 474.8 MB
grappling_amnesty v6 239 games, 180816 moves, e=0.821, loss: 3.8, -, 13.4% elo% vs. simple_bot, avg. reward: -5.650, 1.228 sec/game, 4.3 min. total, 474.3 MB
grappling_amnesty v6 240 games, 181632 moves, e=0.820, loss: 4.0, -, 13.1% elo% vs. simple_bot, avg. reward: -5.657, 1.236 sec/game, 4.3 min. total, 475.7 MB
grappling_amnesty v6 241 games, 182472 moves, e=0.819, loss: 4.2, -, 12.9% elo% vs. simple_bot, avg. reward: -5.656, 1.236 sec/game, 4.3 min. total, 474.4 MB
grappling_amnesty v6 242 games, 183425 moves, e=0.818, loss: 4.1, -, 12.6% elo% vs. simple_bot, avg. reward: -5.640, 1.253 sec/game, 4.4 min. total, 475.9 MB
grappling_amnesty v6 243 games, 184280 moves, e=0.818, loss: 4.0, -, 12.4% elo% vs. simple_bot, avg. reward: -5.630, 1.245 sec/game, 4.4 min. total, 475.9 MB
grappling_amnesty v6 244 games, 185122 moves, e=0.817, loss: 4.0, -, 12.1% elo% vs. simple_bot, avg. reward: -5.618, 1.251 sec/game, 4.4 min. total, 474.6 MB
grappling_amnesty v6 245 games, 185865 moves, e=0.816, loss: 3.9, -, 11.9% elo% vs. simple_bot, avg. reward: -5.615, 1.245 sec/game, 4.4 min. total, 476.3 MB
grappling_amnesty v6 246 games, 186690 moves, e=0.815, loss: 4.2, -, 11.7% elo% vs. simple_bot, avg. reward: -5.613, 1.246 sec/game, 4.4 min. total, 476.1 MB
grappling_amnesty v6 247 games, 187502 moves, e=0.814, loss: 4.0, -, 11.4% elo% vs. simple_bot, avg. reward: -5.610, 1.237 sec/game, 4.5 min. total, 478.7 MB
grappling_amnesty v6 248 games, 188370 moves, e=0.814, loss: 4.3, -, 11.2% elo% vs. simple_bot, avg. reward: -5.604, 1.237 sec/game, 4.5 min. total, 476.9 MB
grappling_amnesty v6 249 games, 189082 moves, e=0.813, loss: 4.0, -, 11.0% elo% vs. simple_bot, avg. reward: -5.612, 1.238 sec/game, 4.5 min. total, 477.8 MB
grappling_amnesty v6 250 games, 189944 moves, e=0.812, loss: 4.1, -, 10.8% elo% vs. simple_bot, avg. reward: -5.605, 1.247 sec/game, 4.5 min. total, 478.3 MB
grappling_amnesty v6 251 games, 190852 moves, e=0.811, loss: 4.2, -, 10.6% elo% vs. simple_bot, avg. reward: -5.600, 1.243 sec/game, 4.5 min. total, 477.4 MB
grappling_amnesty v6 252 games, 191612 moves, e=0.810, loss: 4.0, -, 10.4% elo% vs. simple_bot, avg. reward: -5.608, 1.228 sec/game, 4.6 min. total, 478.9 MB
grappling_amnesty v6 253 games, 192287 moves, e=0.810, loss: 4.0, -, 10.3% elo% vs. simple_bot, avg. reward: -5.610, 1.235 sec/game, 4.6 min. total, 479.4 MB
grappling_amnesty v6 254 games, 193072 moves, e=0.809, loss: 4.0, -, 10.1% elo% vs. simple_bot, avg. reward: -5.610, 1.236 sec/game, 4.6 min. total, 479.0 MB
grappling_amnesty v6 255 games, 193853 moves, e=0.808, loss: 4.3, -, 9.9% elo% vs. simple_bot, avg. reward: -5.608, 1.229 sec/game, 4.6 min. total, 479.0 MB
grappling_amnesty v6 256 games, 194632 moves, e=0.807, loss: 4.5, -, 9.8% elo% vs. simple_bot, avg. reward: -5.616, 1.235 sec/game, 4.6 min. total, 479.0 MB
grappling_amnesty v6 257 games, 195598 moves, e=0.806, loss: 4.4, -, 9.6% elo% vs. simple_bot, avg. reward: -5.593, 1.243 sec/game, 4.7 min. total, 478.1 MB
grappling_amnesty v6 258 games, 196461 moves, e=0.806, loss: 4.3, -, 9.5% elo% vs. simple_bot, avg. reward: -5.586, 1.238 sec/game, 4.7 min. total, 479.0 MB
grappling_amnesty v6 259 games, 197273 moves, e=0.805, loss: 4.1, -, 9.3% elo% vs. simple_bot, avg. reward: -5.572, 1.237 sec/game, 4.7 min. total, 478.1 MB
grappling_amnesty v6 260 games, 198069 moves, e=0.804, loss: 4.2, -, 9.2% elo% vs. simple_bot, avg. reward: -5.565, 1.231 sec/game, 4.7 min. total, 478.1 MB
grappling_amnesty v6 261 games, 198901 moves, e=0.803, loss: 4.2, -, 9.0% elo% vs. simple_bot, avg. reward: -5.567, 1.232 sec/game, 4.7 min. total, 478.3 MB
grappling_amnesty v6 262 games, 199701 moves, e=0.802, loss: 4.2, -, 8.9% elo% vs. simple_bot, avg. reward: -5.556, 1.224 sec/game, 4.8 min. total, 481.6 MB
grappling_amnesty v6 263 games, 200587 moves, e=0.801, loss: 4.1, -, 8.8% elo% vs. simple_bot, avg. reward: -5.554, 1.230 sec/game, 4.8 min. total, 479.1 MB
grappling_amnesty v6 264 games, 201394 moves, e=0.801, loss: 4.1, -, 8.6% elo% vs. simple_bot, avg. reward: -5.542, 1.224 sec/game, 4.8 min. total, 481.9 MB
grappling_amnesty v6 265 games, 202267 moves, e=0.800, loss: 4.2, -, 8.5% elo% vs. simple_bot, avg. reward: -5.536, 1.232 sec/game, 4.8 min. total, 479.6 MB
grappling_amnesty v6 266 games, 203064 moves, e=0.799, loss: 4.2, -, 8.4% elo% vs. simple_bot, avg. reward: -5.531, 1.234 sec/game, 4.9 min. total, 481.7 MB
grappling_amnesty v6 267 games, 203864 moves, e=0.798, loss: 4.4, -, 8.3% elo% vs. simple_bot, avg. reward: -5.538, 1.235 sec/game, 4.9 min. total, 481.4 MB
grappling_amnesty v6 268 games, 204711 moves, e=0.797, loss: 4.3, -, 8.1% elo% vs. simple_bot, avg. reward: -5.527, 1.238 sec/game, 4.9 min. total, 482.4 MB
grappling_amnesty v6 269 games, 205498 moves, e=0.797, loss: 4.2, -, 8.0% elo% vs. simple_bot, avg. reward: -5.521, 1.238 sec/game, 4.9 min. total, 481.9 MB
grappling_amnesty v6 270 games, 206425 moves, e=0.796, loss: 4.4, -, 7.9% elo% vs. simple_bot, avg. reward: -5.510, 1.247 sec/game, 4.9 min. total, 480.6 MB
grappling_amnesty v6 271 games, 207181 moves, e=0.795, loss: 4.4, -, 7.8% elo% vs. simple_bot, avg. reward: -5.511, 1.230 sec/game, 5.0 min. total, 482.5 MB
grappling_amnesty v6 272 games, 208139 moves, e=0.794, loss: 4.8, -, 7.7% elo% vs. simple_bot, avg. reward: -5.490, 1.254 sec/game, 5.0 min. total, 483.7 MB
grappling_amnesty v6 273 games, 209042 moves, e=0.793, loss: 4.7, -, 7.6% elo% vs. simple_bot, avg. reward: -5.473, 1.269 sec/game, 5.0 min. total, 481.3 MB
grappling_amnesty v6 274 games, 209812 moves, e=0.792, loss: 4.8, -, 7.5% elo% vs. simple_bot, avg. reward: -5.473, 1.271 sec/game, 5.0 min. total, 483.6 MB
grappling_amnesty v6 275 games, 210823 moves, e=0.791, loss: 4.9, -, 7.4% elo% vs. simple_bot, avg. reward: -5.459, 1.290 sec/game, 5.1 min. total, 481.9 MB
grappling_amnesty v6 276 games, 211523 moves, e=0.791, loss: 4.7, -, 7.3% elo% vs. simple_bot, avg. reward: -5.466, 1.275 sec/game, 5.1 min. total, 482.2 MB
grappling_amnesty v6 277 games, 212531 moves, e=0.790, loss: 4.9, -, 7.2% elo% vs. simple_bot, avg. reward: -5.446, 1.280 sec/game, 5.1 min. total, 483.5 MB
grappling_amnesty v6 278 games, 213244 moves, e=0.789, loss: 4.9, -, 7.2% elo% vs. simple_bot, avg. reward: -5.445, 1.270 sec/game, 5.1 min. total, 481.7 MB
grappling_amnesty v6 279 games, 214059 moves, e=0.788, loss: 5.1, -, 7.1% elo% vs. simple_bot, avg. reward: -5.439, 1.269 sec/game, 5.1 min. total, 482.2 MB
grappling_amnesty v6 280 games, 214848 moves, e=0.787, loss: 5.3, -, 7.0% elo% vs. simple_bot, avg. reward: -5.436, 1.269 sec/game, 5.2 min. total, 484.8 MB
grappling_amnesty v6 281 games, 215802 moves, e=0.786, loss: 5.3, -, 6.9% elo% vs. simple_bot, avg. reward: -5.423, 1.277 sec/game, 5.2 min. total, 482.9 MB
grappling_amnesty v6 282 games, 216757 moves, e=0.785, loss: 5.0, -, 6.8% elo% vs. simple_bot, avg. reward: -5.415, 1.285 sec/game, 5.2 min. total, 483.5 MB
grappling_amnesty v6 283 games, 217712 moves, e=0.784, loss: 4.8, -, 6.7% elo% vs. simple_bot, avg. reward: -5.402, 1.289 sec/game, 5.2 min. total, 483.8 MB
grappling_amnesty v6 284 games, 218584 moves, e=0.784, loss: 5.0, -, 6.7% elo% vs. simple_bot, avg. reward: -5.382, 1.297 sec/game, 5.2 min. total, 483.1 MB
grappling_amnesty v6 285 games, 219479 moves, e=0.783, loss: 5.0, -, 6.6% elo% vs. simple_bot, avg. reward: -5.372, 1.297 sec/game, 5.3 min. total, 483.6 MB
grappling_amnesty v6 286 games, 220349 moves, e=0.782, loss: 5.0, -, 6.5% elo% vs. simple_bot, avg. reward: -5.354, 1.304 sec/game, 5.3 min. total, 485.5 MB
grappling_amnesty v6 287 games, 221134 moves, e=0.781, loss: 5.3, -, 6.4% elo% vs. simple_bot, avg. reward: -5.356, 1.307 sec/game, 5.3 min. total, 485.1 MB
grappling_amnesty v6 288 games, 221842 moves, e=0.780, loss: 5.4, -, 6.4% elo% vs. simple_bot, avg. reward: -5.359, 1.294 sec/game, 5.3 min. total, 486.5 MB
grappling_amnesty v6 289 games, 222743 moves, e=0.779, loss: 5.1, -, 6.3% elo% vs. simple_bot, avg. reward: -5.345, 1.306 sec/game, 5.4 min. total, 486.4 MB
grappling_amnesty v6 290 games, 223772 moves, e=0.778, loss: 4.8, -, 6.2% elo% vs. simple_bot, avg. reward: -5.327, 1.314 sec/game, 5.4 min. total, 485.6 MB
grappling_amnesty v6 291 games, 224642 moves, e=0.778, loss: 4.7, -, 6.2% elo% vs. simple_bot, avg. reward: -5.330, 1.323 sec/game, 5.4 min. total, 487.9 MB
grappling_amnesty v6 292 games, 225384 moves, e=0.777, loss: 4.9, -, 6.1% elo% vs. simple_bot, avg. reward: -5.328, 1.304 sec/game, 5.4 min. total, 486.7 MB
grappling_amnesty v6 293 games, 226072 moves, e=0.776, loss: 4.8, -, 6.0% elo% vs. simple_bot, avg. reward: -5.330, 1.289 sec/game, 5.4 min. total, 486.0 MB
grappling_amnesty v6 294 games, 226882 moves, e=0.775, loss: 5.0, -, 6.0% elo% vs. simple_bot, avg. reward: -5.326, 1.290 sec/game, 5.5 min. total, 487.4 MB
