grappling_amnesty v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.4 MB
grappling_amnesty v3 34 games, 24618 moves, e=0.976, loss: 3.3, -, 39.5% elo% vs. random_no_suicide, avg. reward: -6.405, 1.006 sec/game, 0.4 min. total, 429.6 MB
grappling_amnesty v3 35 games, 25270 moves, e=0.975, loss: 3.5, -, 37.7% elo% vs. random_no_suicide, avg. reward: -6.424, 0.999 sec/game, 0.4 min. total, 430.4 MB
grappling_amnesty v3 36 games, 26082 moves, e=0.974, loss: 3.4, -, 36.1% elo% vs. random_no_suicide, avg. reward: -6.400, 1.000 sec/game, 0.4 min. total, 431.2 MB
grappling_amnesty v3 37 games, 26767 moves, e=0.974, loss: 3.3, +, 38.9% elo% vs. random_no_suicide, avg. reward: -6.406, 1.011 sec/game, 0.4 min. total, 432.6 MB
grappling_amnesty v3 38 games, 27560 moves, e=0.973, loss: 3.2, -, 37.2% elo% vs. random_no_suicide, avg. reward: -6.381, 1.020 sec/game, 0.4 min. total, 433.2 MB
grappling_amnesty v3 39 games, 28229 moves, e=0.972, loss: 3.4, -, 35.6% elo% vs. random_no_suicide, avg. reward: -6.395, 1.013 sec/game, 0.5 min. total, 433.4 MB
grappling_amnesty v3 40 games, 28940 moves, e=0.971, loss: 3.2, -, 34.1% elo% vs. random_no_suicide, avg. reward: -6.396, 1.018 sec/game, 0.5 min. total, 434.0 MB
grappling_amnesty v3 41 games, 29438 moves, e=0.971, loss: 3.3, -, 32.7% elo% vs. random_no_suicide, avg. reward: -6.476, 0.996 sec/game, 0.5 min. total, 434.5 MB
grappling_amnesty v3 42 games, 30268 moves, e=0.970, loss: 3.1, -, 31.4% elo% vs. random_no_suicide, avg. reward: -6.455, 1.012 sec/game, 0.5 min. total, 432.3 MB
grappling_amnesty v3 43 games, 30963 moves, e=0.969, loss: 3.1, -, 30.2% elo% vs. random_no_suicide, avg. reward: -6.464, 1.019 sec/game, 0.5 min. total, 433.2 MB
grappling_amnesty v3 44 games, 31679 moves, e=0.969, loss: 3.3, -, 29.0% elo% vs. random_no_suicide, avg. reward: -6.463, 1.035 sec/game, 0.5 min. total, 434.6 MB
grappling_amnesty v3 45 games, 32425 moves, e=0.968, loss: 3.0, -, 27.9% elo% vs. random_no_suicide, avg. reward: -6.452, 1.041 sec/game, 0.6 min. total, 433.3 MB
grappling_amnesty v3 46 games, 33255 moves, e=0.967, loss: 3.2, -, 26.9% elo% vs. random_no_suicide, avg. reward: -6.432, 1.070 sec/game, 0.6 min. total, 433.0 MB
grappling_amnesty v3 47 games, 33891 moves, e=0.966, loss: 3.1, -, 25.9% elo% vs. random_no_suicide, avg. reward: -6.457, 1.072 sec/game, 0.6 min. total, 433.4 MB
grappling_amnesty v3 48 games, 34584 moves, e=0.966, loss: 3.1, -, 25.0% elo% vs. random_no_suicide, avg. reward: -6.458, 1.076 sec/game, 0.6 min. total, 435.7 MB
grappling_amnesty v3 49 games, 35379 moves, e=0.965, loss: 3.1, -, 24.2% elo% vs. random_no_suicide, avg. reward: -6.439, 1.081 sec/game, 0.6 min. total, 433.9 MB
grappling_amnesty v3 50 games, 36093 moves, e=0.964, loss: 3.0, -, 23.4% elo% vs. random_no_suicide, avg. reward: -6.434, 1.084 sec/game, 0.7 min. total, 434.8 MB
grappling_amnesty v3 51 games, 36777 moves, e=0.964, loss: 3.0, -, 22.6% elo% vs. random_no_suicide, avg. reward: -6.441, 1.096 sec/game, 0.7 min. total, 434.1 MB
grappling_amnesty v3 52 games, 37449 moves, e=0.963, loss: 3.1, -, 21.9% elo% vs. random_no_suicide, avg. reward: -6.450, 1.088 sec/game, 0.7 min. total, 434.4 MB
grappling_amnesty v3 53 games, 38227 moves, e=0.962, loss: 3.1, +, 24.4% elo% vs. random_no_suicide, avg. reward: -6.439, 1.099 sec/game, 0.7 min. total, 435.6 MB
grappling_amnesty v3 54 games, 38970 moves, e=0.961, loss: 3.0, -, 23.6% elo% vs. random_no_suicide, avg. reward: -6.434, 1.102 sec/game, 0.7 min. total, 434.5 MB
grappling_amnesty v3 55 games, 39584 moves, e=0.961, loss: 2.9, -, 22.8% elo% vs. random_no_suicide, avg. reward: -6.457, 1.101 sec/game, 0.8 min. total, 434.9 MB
grappling_amnesty v3 56 games, 40294 moves, e=0.960, loss: 2.8, -, 22.1% elo% vs. random_no_suicide, avg. reward: -6.460, 1.099 sec/game, 0.8 min. total, 436.1 MB
grappling_amnesty v3 57 games, 41039 moves, e=0.959, loss: 2.7, -, 21.4% elo% vs. random_no_suicide, avg. reward: -6.458, 1.099 sec/game, 0.8 min. total, 435.0 MB
grappling_amnesty v3 58 games, 41865 moves, e=0.959, loss: 2.7, -, 20.8% elo% vs. random_no_suicide, avg. reward: -6.442, 1.109 sec/game, 0.8 min. total, 435.1 MB
grappling_amnesty v3 59 games, 42505 moves, e=0.958, loss: 2.7, -, 20.1% elo% vs. random_no_suicide, avg. reward: -6.456, 1.109 sec/game, 0.8 min. total, 434.5 MB
grappling_amnesty v3 60 games, 43137 moves, e=0.957, loss: 2.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: -6.474, 1.099 sec/game, 0.8 min. total, 434.9 MB
grappling_amnesty v3 61 games, 43823 moves, e=0.957, loss: 2.7, -, 19.0% elo% vs. random_no_suicide, avg. reward: -6.481, 1.115 sec/game, 0.9 min. total, 434.9 MB
grappling_amnesty v3 62 games, 44565 moves, e=0.956, loss: 2.7, +, 21.4% elo% vs. random_no_suicide, avg. reward: -6.473, 1.101 sec/game, 0.9 min. total, 436.0 MB
grappling_amnesty v3 63 games, 45298 moves, e=0.955, loss: 2.8, -, 20.7% elo% vs. random_no_suicide, avg. reward: -6.469, 1.097 sec/game, 0.9 min. total, 435.5 MB
grappling_amnesty v3 64 games, 45900 moves, e=0.955, loss: 2.8, ., 21.6% elo% vs. random_no_suicide, avg. reward: -6.490, 1.084 sec/game, 0.9 min. total, 435.4 MB
grappling_amnesty v3 65 games, 46533 moves, e=0.954, loss: 2.7, +, 24.2% elo% vs. random_no_suicide, avg. reward: -6.500, 1.070 sec/game, 0.9 min. total, 435.6 MB
grappling_amnesty v3 66 games, 47268 moves, e=0.953, loss: 2.7, -, 23.4% elo% vs. random_no_suicide, avg. reward: -6.497, 1.042 sec/game, 0.9 min. total, 436.2 MB
grappling_amnesty v3 67 games, 48030 moves, e=0.952, loss: 2.7, -, 22.6% elo% vs. random_no_suicide, avg. reward: -6.489, 1.039 sec/game, 0.9 min. total, 438.7 MB
grappling_amnesty v3 68 games, 48832 moves, e=0.952, loss: 2.5, -, 21.9% elo% vs. random_no_suicide, avg. reward: -6.481, 1.042 sec/game, 1.0 min. total, 437.5 MB
