frenzy_eggnog v1 70 games, 32110 moves, e=0.968, loss: nan, -, 14.7% elo% vs. random_bot, avg. reward: -11.374, 0.244 sec/game, 0.3 min. total, 430.0 MB
frenzy_eggnog v1 72 games, 32920 moves, e=0.967, loss: nan, -, 14.4% elo% vs. random_bot, avg. reward: -11.422, 0.241 sec/game, 0.3 min. total, 433.6 MB
frenzy_eggnog v1 74 games, 33744 moves, e=0.967, loss: nan, ., 15.2% elo% vs. random_bot, avg. reward: -11.444, 0.242 sec/game, 0.3 min. total, 436.5 MB
frenzy_eggnog v1 76 games, 34570 moves, e=0.966, loss: nan, -, 14.8% elo% vs. random_bot, avg. reward: -11.467, 0.239 sec/game, 0.3 min. total, 439.0 MB
frenzy_eggnog v1 78 games, 35395 moves, e=0.965, loss: nan, -, 14.5% elo% vs. random_bot, avg. reward: -11.508, 0.240 sec/game, 0.3 min. total, 443.2 MB
frenzy_eggnog v1 80 games, 36238 moves, e=0.964, loss: nan, -, 14.2% elo% vs. random_bot, avg. reward: -11.508, 0.240 sec/game, 0.3 min. total, 446.0 MB
frenzy_eggnog v1 82 games, 37109 moves, e=0.963, loss: nan, -, 13.8% elo% vs. random_bot, avg. reward: -11.504, 0.241 sec/game, 0.3 min. total, 447.3 MB
frenzy_eggnog v1 84 games, 37959 moves, e=0.962, loss: nan, -, 13.5% elo% vs. random_bot, avg. reward: -11.501, 0.240 sec/game, 0.3 min. total, 449.2 MB
frenzy_eggnog v1 86 games, 38706 moves, e=0.962, loss: nan, -, 13.3% elo% vs. random_bot, avg. reward: -11.556, 0.239 sec/game, 0.3 min. total, 450.9 MB
frenzy_eggnog v1 88 games, 39495 moves, e=0.961, loss: nan, -, 13.0% elo% vs. random_bot, avg. reward: -11.583, 0.240 sec/game, 0.4 min. total, 452.7 MB
frenzy_eggnog v1 90 games, 40284 moves, e=0.960, loss: nan, -, 12.7% elo% vs. random_bot, avg. reward: -11.615, 0.241 sec/game, 0.4 min. total, 454.9 MB
frenzy_eggnog v1 92 games, 41089 moves, e=0.959, loss: nan, -, 12.5% elo% vs. random_bot, avg. reward: -11.635, 0.243 sec/game, 0.4 min. total, 458.4 MB
frenzy_eggnog v1 94 games, 42031 moves, e=0.958, loss: nan, ., 13.2% elo% vs. random_bot, avg. reward: -11.630, 0.247 sec/game, 0.4 min. total, 461.7 MB
