unlinked_crunching v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unlinked_crunching v4 145 games, 107509 moves, e=0.894, loss: 1036.5, -, 11.9% elo% vs. random_no_suicide, avg. reward: 11.700, 1.499 sec/game, 3.1 min. total, 458.2 MB
unlinked_crunching v4 146 games, 108250 moves, e=0.893, loss: 1080.6, -, 11.7% elo% vs. random_no_suicide, avg. reward: 11.692, 1.502 sec/game, 3.2 min. total, 458.1 MB
unlinked_crunching v4 147 games, 108967 moves, e=0.892, loss: 1073.2, -, 11.4% elo% vs. random_no_suicide, avg. reward: 11.692, 1.501 sec/game, 3.2 min. total, 458.3 MB
unlinked_crunching v4 148 games, 109798 moves, e=0.891, loss: 1084.7, -, 11.2% elo% vs. random_no_suicide, avg. reward: 11.685, 1.506 sec/game, 3.2 min. total, 458.4 MB
unlinked_crunching v4 149 games, 110558 moves, e=0.891, loss: 1025.7, -, 11.0% elo% vs. random_no_suicide, avg. reward: 11.662, 1.515 sec/game, 3.2 min. total, 458.5 MB
unlinked_crunching v4 150 games, 111321 moves, e=0.890, loss: 1014.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: 11.682, 1.509 sec/game, 3.3 min. total, 459.1 MB
unlinked_crunching v4 151 games, 112190 moves, e=0.889, loss: 1061.5, -, 10.6% elo% vs. random_no_suicide, avg. reward: 11.701, 1.511 sec/game, 3.3 min. total, 460.7 MB
unlinked_crunching v4 152 games, 113009 moves, e=0.888, loss: 1078.3, -, 10.4% elo% vs. random_no_suicide, avg. reward: 11.682, 1.520 sec/game, 3.3 min. total, 460.9 MB
unlinked_crunching v4 153 games, 113810 moves, e=0.887, loss: 1103.4, -, 10.3% elo% vs. random_no_suicide, avg. reward: 11.673, 1.510 sec/game, 3.3 min. total, 461.5 MB
unlinked_crunching v4 154 games, 114613 moves, e=0.887, loss: 1087.1, -, 10.1% elo% vs. random_no_suicide, avg. reward: 11.664, 1.505 sec/game, 3.4 min. total, 461.6 MB
unlinked_crunching v4 155 games, 115371 moves, e=0.886, loss: 1024.6, -, 9.9% elo% vs. random_no_suicide, avg. reward: 11.658, 1.503 sec/game, 3.4 min. total, 461.4 MB
unlinked_crunching v4 156 games, 116042 moves, e=0.885, loss: 1112.9, -, 9.8% elo% vs. random_no_suicide, avg. reward: 11.677, 1.491 sec/game, 3.4 min. total, 461.8 MB
unlinked_crunching v4 157 games, 116729 moves, e=0.884, loss: 1080.9, -, 9.6% elo% vs. random_no_suicide, avg. reward: 11.683, 1.471 sec/game, 3.4 min. total, 462.0 MB
unlinked_crunching v4 158 games, 117511 moves, e=0.884, loss: 1164.5, -, 9.5% elo% vs. random_no_suicide, avg. reward: 11.683, 1.492 sec/game, 3.5 min. total, 462.0 MB
unlinked_crunching v4 159 games, 118571 moves, e=0.883, loss: 1174.6, -, 9.3% elo% vs. random_no_suicide, avg. reward: 11.699, 1.515 sec/game, 3.5 min. total, 462.0 MB
unlinked_crunching v4 160 games, 119421 moves, e=0.882, loss: 1115.6, -, 9.2% elo% vs. random_no_suicide, avg. reward: 11.684, 1.508 sec/game, 3.5 min. total, 462.3 MB
unlinked_crunching v4 161 games, 120119 moves, e=0.881, loss: 1164.1, -, 9.0% elo% vs. random_no_suicide, avg. reward: 11.699, 1.518 sec/game, 3.5 min. total, 462.4 MB
unlinked_crunching v4 162 games, 120841 moves, e=0.880, loss: 1079.6, -, 8.9% elo% vs. random_no_suicide, avg. reward: 11.691, 1.518 sec/game, 3.6 min. total, 463.6 MB
unlinked_crunching v4 163 games, 121643 moves, e=0.880, loss: 1095.6, -, 8.8% elo% vs. random_no_suicide, avg. reward: 11.683, 1.518 sec/game, 3.6 min. total, 463.7 MB
unlinked_crunching v4 164 games, 122413 moves, e=0.879, loss: 1162.1, -, 8.6% elo% vs. random_no_suicide, avg. reward: 11.673, 1.521 sec/game, 3.6 min. total, 463.8 MB
unlinked_crunching v4 165 games, 123116 moves, e=0.878, loss: 1161.7, -, 8.5% elo% vs. random_no_suicide, avg. reward: 11.672, 1.508 sec/game, 3.6 min. total, 463.7 MB
unlinked_crunching v4 166 games, 123886 moves, e=0.877, loss: 1122.3, -, 8.4% elo% vs. random_no_suicide, avg. reward: 11.667, 1.510 sec/game, 3.7 min. total, 463.6 MB
unlinked_crunching v4 167 games, 124582 moves, e=0.877, loss: 1100.1, -, 8.3% elo% vs. random_no_suicide, avg. reward: 11.649, 1.513 sec/game, 3.7 min. total, 464.1 MB
unlinked_crunching v4 168 games, 125411 moves, e=0.876, loss: 1168.5, -, 8.1% elo% vs. random_no_suicide, avg. reward: 11.671, 1.511 sec/game, 3.7 min. total, 463.6 MB
unlinked_crunching v4 169 games, 126176 moves, e=0.875, loss: 1239.4, -, 8.0% elo% vs. random_no_suicide, avg. reward: 11.697, 1.510 sec/game, 3.7 min. total, 464.3 MB
unlinked_crunching v4 170 games, 126991 moves, e=0.874, loss: 1301.8, -, 7.9% elo% vs. random_no_suicide, avg. reward: 11.687, 1.520 sec/game, 3.8 min. total, 463.8 MB
unlinked_crunching v4 171 games, 127853 moves, e=0.873, loss: 1197.8, -, 7.8% elo% vs. random_no_suicide, avg. reward: 11.675, 1.510 sec/game, 3.8 min. total, 465.4 MB
unlinked_crunching v4 172 games, 128616 moves, e=0.873, loss: 1120.4, -, 7.7% elo% vs. random_no_suicide, avg. reward: 11.671, 1.508 sec/game, 3.8 min. total, 465.7 MB
unlinked_crunching v4 173 games, 129434 moves, e=0.872, loss: 1159.1, -, 7.6% elo% vs. random_no_suicide, avg. reward: 11.684, 1.510 sec/game, 3.9 min. total, 465.6 MB
unlinked_crunching v4 174 games, 130196 moves, e=0.871, loss: 1149.3, -, 7.5% elo% vs. random_no_suicide, avg. reward: 11.665, 1.515 sec/game, 3.9 min. total, 466.4 MB
unlinked_crunching v4 175 games, 130945 moves, e=0.870, loss: 1192.8, -, 7.4% elo% vs. random_no_suicide, avg. reward: 11.669, 1.516 sec/game, 3.9 min. total, 465.9 MB
unlinked_crunching v4 176 games, 131666 moves, e=0.870, loss: 1221.2, -, 7.3% elo% vs. random_no_suicide, avg. reward: 11.656, 1.519 sec/game, 3.9 min. total, 466.3 MB
unlinked_crunching v4 177 games, 132551 moves, e=0.869, loss: 1247.8, -, 7.2% elo% vs. random_no_suicide, avg. reward: 11.646, 1.548 sec/game, 4.0 min. total, 466.4 MB
unlinked_crunching v4 178 games, 133323 moves, e=0.868, loss: 1218.5, -, 7.2% elo% vs. random_no_suicide, avg. reward: 11.662, 1.539 sec/game, 4.0 min. total, 466.7 MB
unlinked_crunching v4 179 games, 134082 moves, e=0.867, loss: 1218.7, -, 7.1% elo% vs. random_no_suicide, avg. reward: 11.684, 1.517 sec/game, 4.0 min. total, 466.8 MB
unlinked_crunching v4 180 games, 134776 moves, e=0.867, loss: 1236.4, -, 7.0% elo% vs. random_no_suicide, avg. reward: 11.713, 1.507 sec/game, 4.0 min. total, 466.8 MB
unlinked_crunching v4 181 games, 135530 moves, e=0.866, loss: 1190.7, -, 6.9% elo% vs. random_no_suicide, avg. reward: 11.691, 1.514 sec/game, 4.1 min. total, 467.6 MB
unlinked_crunching v4 182 games, 136408 moves, e=0.865, loss: 1168.5, -, 6.8% elo% vs. random_no_suicide, avg. reward: 11.688, 1.526 sec/game, 4.1 min. total, 467.5 MB
unlinked_crunching v4 183 games, 137139 moves, e=0.864, loss: 1202.9, -, 6.7% elo% vs. random_no_suicide, avg. reward: 11.700, 1.527 sec/game, 4.1 min. total, 468.6 MB
unlinked_crunching v4 184 games, 137926 moves, e=0.863, loss: 1115.6, -, 6.7% elo% vs. random_no_suicide, avg. reward: 11.696, 1.534 sec/game, 4.1 min. total, 468.7 MB
unlinked_crunching v4 185 games, 138789 moves, e=0.863, loss: 1167.0, -, 6.6% elo% vs. random_no_suicide, avg. reward: 11.707, 1.560 sec/game, 4.2 min. total, 468.9 MB
unlinked_crunching v4 186 games, 139611 moves, e=0.862, loss: 1172.6, -, 6.5% elo% vs. random_no_suicide, avg. reward: 11.697, 1.562 sec/game, 4.2 min. total, 469.0 MB
unlinked_crunching v4 187 games, 140305 moves, e=0.861, loss: 1154.3, -, 6.4% elo% vs. random_no_suicide, avg. reward: 11.700, 1.561 sec/game, 4.2 min. total, 468.4 MB
unlinked_crunching v4 188 games, 141089 moves, e=0.860, loss: 1106.3, -, 6.4% elo% vs. random_no_suicide, avg. reward: 11.714, 1.561 sec/game, 4.2 min. total, 469.0 MB
unlinked_crunching v4 189 games, 141868 moves, e=0.860, loss: 1249.7, -, 6.3% elo% vs. random_no_suicide, avg. reward: 11.694, 1.578 sec/game, 4.3 min. total, 469.1 MB
unlinked_crunching v4 190 games, 142674 moves, e=0.859, loss: 1236.1, -, 6.2% elo% vs. random_no_suicide, avg. reward: 11.693, 1.572 sec/game, 4.3 min. total, 469.6 MB
unlinked_crunching v4 191 games, 143487 moves, e=0.858, loss: 1180.9, -, 6.2% elo% vs. random_no_suicide, avg. reward: 11.664, 1.573 sec/game, 4.3 min. total, 470.8 MB
unlinked_crunching v4 192 games, 144240 moves, e=0.857, loss: 1203.6, -, 6.1% elo% vs. random_no_suicide, avg. reward: 11.643, 1.589 sec/game, 4.4 min. total, 472.1 MB
unlinked_crunching v4 193 games, 145047 moves, e=0.856, loss: 1198.5, -, 6.0% elo% vs. random_no_suicide, avg. reward: 11.652, 1.615 sec/game, 4.4 min. total, 471.4 MB
unlinked_crunching v4 194 games, 145699 moves, e=0.856, loss: 1145.8, -, 6.0% elo% vs. random_no_suicide, avg. reward: 11.638, 1.611 sec/game, 4.4 min. total, 471.8 MB
unlinked_crunching v4 195 games, 146503 moves, e=0.855, loss: 1207.4, -, 5.9% elo% vs. random_no_suicide, avg. reward: 11.636, 1.626 sec/game, 4.4 min. total, 471.8 MB
unlinked_crunching v4 196 games, 147308 moves, e=0.854, loss: 1140.0, -, 5.8% elo% vs. random_no_suicide, avg. reward: 11.613, 1.644 sec/game, 4.5 min. total, 471.8 MB
unlinked_crunching v4 197 games, 148094 moves, e=0.853, loss: 1079.9, -, 5.8% elo% vs. random_no_suicide, avg. reward: 11.613, 1.636 sec/game, 4.5 min. total, 471.5 MB
unlinked_crunching v4 198 games, 148884 moves, e=0.853, loss: 1215.7, -, 5.7% elo% vs. random_no_suicide, avg. reward: 11.620, 1.654 sec/game, 4.5 min. total, 471.9 MB
unlinked_crunching v4 199 games, 149767 moves, e=0.852, loss: 1214.1, -, 5.7% elo% vs. random_no_suicide, avg. reward: 11.619, 1.674 sec/game, 4.6 min. total, 472.3 MB
unlinked_crunching v4 200 games, 150626 moves, e=0.851, loss: 1146.9, -, 5.6% elo% vs. random_no_suicide, avg. reward: 11.630, 1.697 sec/game, 4.6 min. total, 472.4 MB
unlinked_crunching v5 201 games, 151319 moves, e=0.850, loss: 1158.5, -, 47.7% elo% vs. random_no_suicide, avg. reward: 11.596, 1.704 sec/game, 4.6 min. total, 472.4 MB
unlinked_crunching v5 202 games, 152027 moves, e=0.849, loss: 1277.9, -, 45.5% elo% vs. random_no_suicide, avg. reward: 11.550, 1.693 sec/game, 4.6 min. total, 473.5 MB
unlinked_crunching v5 203 games, 152927 moves, e=0.849, loss: 1236.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: 11.556, 1.728 sec/game, 4.7 min. total, 473.4 MB
unlinked_crunching v5 204 games, 153722 moves, e=0.848, loss: 1307.2, -, 41.5% elo% vs. random_no_suicide, avg. reward: 11.558, 1.736 sec/game, 4.7 min. total, 473.3 MB
unlinked_crunching v5 205 games, 154548 moves, e=0.847, loss: 1302.6, -, 39.6% elo% vs. random_no_suicide, avg. reward: 11.579, 1.738 sec/game, 4.7 min. total, 473.3 MB
unlinked_crunching v5 206 games, 155336 moves, e=0.846, loss: 1300.3, -, 37.9% elo% vs. random_no_suicide, avg. reward: 11.579, 1.743 sec/game, 4.8 min. total, 473.5 MB
unlinked_crunching v5 207 games, 156061 moves, e=0.845, loss: 1311.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: 11.570, 1.746 sec/game, 4.8 min. total, 473.3 MB
unlinked_crunching v5 208 games, 156822 moves, e=0.845, loss: 1293.6, -, 34.8% elo% vs. random_no_suicide, avg. reward: 11.563, 1.747 sec/game, 4.8 min. total, 473.3 MB
unlinked_crunching v5 209 games, 157666 moves, e=0.844, loss: 1312.8, -, 33.3% elo% vs. random_no_suicide, avg. reward: 11.556, 1.735 sec/game, 4.8 min. total, 473.7 MB
unlinked_crunching v5 210 games, 158430 moves, e=0.843, loss: 1215.7, -, 32.0% elo% vs. random_no_suicide, avg. reward: 11.570, 1.735 sec/game, 4.9 min. total, 473.5 MB
unlinked_crunching v5 211 games, 159192 moves, e=0.842, loss: 1179.3, -, 30.7% elo% vs. random_no_suicide, avg. reward: 11.576, 1.735 sec/game, 4.9 min. total, 474.2 MB
unlinked_crunching v5 212 games, 160015 moves, e=0.842, loss: 1213.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: 11.593, 1.733 sec/game, 4.9 min. total, 475.3 MB
unlinked_crunching v5 213 games, 160825 moves, e=0.841, loss: 1217.7, -, 28.4% elo% vs. random_no_suicide, avg. reward: 11.595, 1.706 sec/game, 5.0 min. total, 475.7 MB
unlinked_crunching v5 214 games, 161508 moves, e=0.840, loss: 1189.3, -, 27.3% elo% vs. random_no_suicide, avg. reward: 11.598, 1.697 sec/game, 5.0 min. total, 475.2 MB
unlinked_crunching v5 215 games, 162322 moves, e=0.839, loss: 1100.7, -, 26.4% elo% vs. random_no_suicide, avg. reward: 11.612, 1.695 sec/game, 5.0 min. total, 475.2 MB
unlinked_crunching v5 216 games, 163065 moves, e=0.839, loss: 1112.5, -, 25.4% elo% vs. random_no_suicide, avg. reward: 11.603, 1.676 sec/game, 5.0 min. total, 475.8 MB
unlinked_crunching v5 217 games, 163813 moves, e=0.838, loss: 1086.1, -, 24.5% elo% vs. random_no_suicide, avg. reward: 11.605, 1.671 sec/game, 5.1 min. total, 475.8 MB
unlinked_crunching v5 218 games, 164539 moves, e=0.837, loss: 1147.0, -, 23.7% elo% vs. random_no_suicide, avg. reward: 11.583, 1.654 sec/game, 5.1 min. total, 475.8 MB
unlinked_crunching v5 219 games, 165386 moves, e=0.836, loss: 1113.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: 11.558, 1.652 sec/game, 5.1 min. total, 475.8 MB
unlinked_crunching v5 220 games, 166223 moves, e=0.835, loss: 1069.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: 11.547, 1.644 sec/game, 5.1 min. total, 475.8 MB
unlinked_crunching v5 221 games, 166998 moves, e=0.835, loss: 1040.9, -, 21.5% elo% vs. random_no_suicide, avg. reward: 11.557, 1.635 sec/game, 5.2 min. total, 476.5 MB
unlinked_crunching v5 222 games, 167761 moves, e=0.834, loss: 1044.1, -, 20.8% elo% vs. random_no_suicide, avg. reward: 11.566, 1.638 sec/game, 5.2 min. total, 477.4 MB
unlinked_crunching v5 223 games, 168529 moves, e=0.833, loss: 1020.3, -, 20.2% elo% vs. random_no_suicide, avg. reward: 11.551, 1.604 sec/game, 5.2 min. total, 478.0 MB
unlinked_crunching v5 224 games, 169397 moves, e=0.832, loss: 1057.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: 11.551, 1.604 sec/game, 5.2 min. total, 478.8 MB
unlinked_crunching v5 225 games, 170305 moves, e=0.831, loss: 1059.2, -, 19.1% elo% vs. random_no_suicide, avg. reward: 11.539, 1.602 sec/game, 5.3 min. total, 479.0 MB
unlinked_crunching v5 226 games, 171144 moves, e=0.831, loss: 1089.8, -, 18.5% elo% vs. random_no_suicide, avg. reward: 11.525, 1.608 sec/game, 5.3 min. total, 479.1 MB
unlinked_crunching v5 227 games, 171915 moves, e=0.830, loss: 1063.3, -, 18.0% elo% vs. random_no_suicide, avg. reward: 11.527, 1.609 sec/game, 5.3 min. total, 479.1 MB
unlinked_crunching v5 228 games, 172753 moves, e=0.829, loss: 1142.3, -, 17.5% elo% vs. random_no_suicide, avg. reward: 11.518, 1.609 sec/game, 5.4 min. total, 479.4 MB
unlinked_crunching v5 229 games, 173616 moves, e=0.828, loss: 1219.8, -, 17.1% elo% vs. random_no_suicide, avg. reward: 11.502, 1.619 sec/game, 5.4 min. total, 479.2 MB
unlinked_crunching v5 230 games, 174527 moves, e=0.827, loss: 1188.3, -, 16.6% elo% vs. random_no_suicide, avg. reward: 11.514, 1.628 sec/game, 5.4 min. total, 479.9 MB
unlinked_crunching v5 231 games, 175401 moves, e=0.826, loss: 1215.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: 11.509, 1.640 sec/game, 5.4 min. total, 480.1 MB
unlinked_crunching v5 232 games, 176362 moves, e=0.825, loss: 1138.5, -, 15.8% elo% vs. random_no_suicide, avg. reward: 11.522, 1.644 sec/game, 5.5 min. total, 480.3 MB
unlinked_crunching v5 233 games, 177176 moves, e=0.825, loss: 1109.5, -, 15.4% elo% vs. random_no_suicide, avg. reward: 11.507, 1.648 sec/game, 5.5 min. total, 480.8 MB
unlinked_crunching v5 234 games, 178119 moves, e=0.824, loss: 1132.2, -, 15.1% elo% vs. random_no_suicide, avg. reward: 11.512, 1.671 sec/game, 5.5 min. total, 480.9 MB
unlinked_crunching v5 235 games, 178838 moves, e=0.823, loss: 1176.1, -, 14.7% elo% vs. random_no_suicide, avg. reward: 11.496, 1.665 sec/game, 5.6 min. total, 480.9 MB
unlinked_crunching v5 236 games, 179825 moves, e=0.822, loss: 1216.8, -, 14.4% elo% vs. random_no_suicide, avg. reward: 11.501, 1.691 sec/game, 5.6 min. total, 480.9 MB
unlinked_crunching v5 237 games, 180653 moves, e=0.821, loss: 1209.5, -, 14.0% elo% vs. random_no_suicide, avg. reward: 11.497, 1.699 sec/game, 5.6 min. total, 481.0 MB
unlinked_crunching v5 238 games, 181591 moves, e=0.820, loss: 1147.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: 11.510, 1.718 sec/game, 5.7 min. total, 481.2 MB
unlinked_crunching v5 239 games, 182498 moves, e=0.819, loss: 1072.0, -, 13.4% elo% vs. random_no_suicide, avg. reward: 11.520, 1.714 sec/game, 5.7 min. total, 481.2 MB
unlinked_crunching v5 240 games, 183235 moves, e=0.819, loss: 1096.0, -, 13.1% elo% vs. random_no_suicide, avg. reward: 11.518, 1.713 sec/game, 5.7 min. total, 482.2 MB
unlinked_crunching v5 241 games, 184151 moves, e=0.818, loss: 1145.4, -, 12.9% elo% vs. random_no_suicide, avg. reward: 11.521, 1.731 sec/game, 5.7 min. total, 483.2 MB
unlinked_crunching v5 242 games, 185048 moves, e=0.817, loss: 1182.3, -, 12.6% elo% vs. random_no_suicide, avg. reward: 11.531, 1.742 sec/game, 5.8 min. total, 483.3 MB
unlinked_crunching v5 243 games, 185904 moves, e=0.816, loss: 1187.2, -, 12.4% elo% vs. random_no_suicide, avg. reward: 11.491, 1.754 sec/game, 5.8 min. total, 483.9 MB
unlinked_crunching v5 244 games, 186688 moves, e=0.815, loss: 1171.0, -, 12.1% elo% vs. random_no_suicide, avg. reward: 11.472, 1.742 sec/game, 5.8 min. total, 483.9 MB
unlinked_crunching v5 245 games, 187583 moves, e=0.814, loss: 1160.1, -, 11.9% elo% vs. random_no_suicide, avg. reward: 11.486, 1.740 sec/game, 5.9 min. total, 483.9 MB
unlinked_crunching v5 246 games, 188431 moves, e=0.813, loss: 1123.6, -, 11.7% elo% vs. random_no_suicide, avg. reward: 11.502, 1.741 sec/game, 5.9 min. total, 484.3 MB
unlinked_crunching v5 247 games, 189299 moves, e=0.813, loss: 1052.3, -, 11.4% elo% vs. random_no_suicide, avg. reward: 11.500, 1.743 sec/game, 5.9 min. total, 483.7 MB
unlinked_crunching v5 248 games, 190101 moves, e=0.812, loss: 1110.4, -, 11.2% elo% vs. random_no_suicide, avg. reward: 11.503, 1.751 sec/game, 5.9 min. total, 484.1 MB
unlinked_crunching v5 249 games, 191025 moves, e=0.811, loss: 1118.2, -, 11.0% elo% vs. random_no_suicide, avg. reward: 11.525, 1.752 sec/game, 6.0 min. total, 484.3 MB
unlinked_crunching v5 250 games, 191934 moves, e=0.810, loss: 1159.6, -, 10.8% elo% vs. random_no_suicide, avg. reward: 11.520, 1.752 sec/game, 6.0 min. total, 484.9 MB
unlinked_crunching v5 251 games, 192835 moves, e=0.809, loss: 1175.2, -, 10.6% elo% vs. random_no_suicide, avg. reward: 11.513, 1.755 sec/game, 6.0 min. total, 485.4 MB
unlinked_crunching v5 252 games, 193632 moves, e=0.808, loss: 1158.9, -, 10.4% elo% vs. random_no_suicide, avg. reward: 11.520, 1.746 sec/game, 6.1 min. total, 486.1 MB
unlinked_crunching v5 253 games, 194306 moves, e=0.808, loss: 1239.8, -, 10.3% elo% vs. random_no_suicide, avg. reward: 11.542, 1.735 sec/game, 6.1 min. total, 486.0 MB
unlinked_crunching v5 254 games, 195113 moves, e=0.807, loss: 1358.2, -, 10.1% elo% vs. random_no_suicide, avg. reward: 11.547, 1.723 sec/game, 6.1 min. total, 485.6 MB
unlinked_crunching v5 255 games, 195875 moves, e=0.806, loss: 1307.0, -, 9.9% elo% vs. random_no_suicide, avg. reward: 11.551, 1.719 sec/game, 6.1 min. total, 486.1 MB
unlinked_crunching v5 256 games, 196655 moves, e=0.805, loss: 1262.2, -, 9.8% elo% vs. random_no_suicide, avg. reward: 11.545, 1.705 sec/game, 6.2 min. total, 485.7 MB
unlinked_crunching v5 257 games, 197589 moves, e=0.804, loss: 1257.9, -, 9.6% elo% vs. random_no_suicide, avg. reward: 11.568, 1.708 sec/game, 6.2 min. total, 486.1 MB
unlinked_crunching v5 258 games, 198379 moves, e=0.804, loss: 1255.4, -, 9.5% elo% vs. random_no_suicide, avg. reward: 11.571, 1.691 sec/game, 6.2 min. total, 485.7 MB
unlinked_crunching v5 259 games, 199236 moves, e=0.803, loss: 1200.4, -, 9.3% elo% vs. random_no_suicide, avg. reward: 11.563, 1.690 sec/game, 6.2 min. total, 486.2 MB
unlinked_crunching v5 260 games, 200253 moves, e=0.802, loss: 1294.9, -, 9.2% elo% vs. random_no_suicide, avg. reward: 11.581, 1.714 sec/game, 6.3 min. total, 487.7 MB
unlinked_crunching v5 261 games, 200949 moves, e=0.801, loss: 1260.8, -, 9.0% elo% vs. random_no_suicide, avg. reward: 11.577, 1.687 sec/game, 6.3 min. total, 488.4 MB
unlinked_crunching v5 262 games, 201748 moves, e=0.800, loss: 1341.7, -, 8.9% elo% vs. random_no_suicide, avg. reward: 11.583, 1.688 sec/game, 6.3 min. total, 488.4 MB
unlinked_crunching v5 263 games, 202510 moves, e=0.800, loss: 1289.7, -, 8.8% elo% vs. random_no_suicide, avg. reward: 11.598, 1.676 sec/game, 6.4 min. total, 489.4 MB
unlinked_crunching v5 264 games, 203293 moves, e=0.799, loss: 1254.0, -, 8.6% elo% vs. random_no_suicide, avg. reward: 11.588, 1.677 sec/game, 6.4 min. total, 489.2 MB
unlinked_crunching v5 265 games, 204121 moves, e=0.798, loss: 1283.3, -, 8.5% elo% vs. random_no_suicide, avg. reward: 11.601, 1.668 sec/game, 6.4 min. total, 488.6 MB
unlinked_crunching v5 266 games, 204917 moves, e=0.797, loss: 1264.5, -, 8.4% elo% vs. random_no_suicide, avg. reward: 11.602, 1.658 sec/game, 6.4 min. total, 489.5 MB
unlinked_crunching v5 267 games, 205787 moves, e=0.796, loss: 1243.3, -, 8.3% elo% vs. random_no_suicide, avg. reward: 11.619, 1.669 sec/game, 6.5 min. total, 489.7 MB
unlinked_crunching v5 268 games, 206635 moves, e=0.795, loss: 1270.1, -, 8.1% elo% vs. random_no_suicide, avg. reward: 11.592, 1.672 sec/game, 6.5 min. total, 489.7 MB
unlinked_crunching v5 269 games, 207407 moves, e=0.795, loss: 1244.3, -, 8.0% elo% vs. random_no_suicide, avg. reward: 11.571, 1.661 sec/game, 6.5 min. total, 490.0 MB
unlinked_crunching v5 270 games, 208219 moves, e=0.794, loss: 1159.7, -, 7.9% elo% vs. random_no_suicide, avg. reward: 11.580, 1.650 sec/game, 6.6 min. total, 490.9 MB
unlinked_crunching v5 271 games, 209193 moves, e=0.793, loss: 1154.7, -, 7.8% elo% vs. random_no_suicide, avg. reward: 11.568, 1.659 sec/game, 6.6 min. total, 492.8 MB
unlinked_crunching v5 272 games, 210069 moves, e=0.792, loss: 1154.7, -, 7.7% elo% vs. random_no_suicide, avg. reward: 11.566, 1.672 sec/game, 6.6 min. total, 492.6 MB
unlinked_crunching v5 273 games, 210905 moves, e=0.791, loss: 1126.6, -, 7.6% elo% vs. random_no_suicide, avg. reward: 11.555, 1.689 sec/game, 6.6 min. total, 492.6 MB
unlinked_crunching v5 274 games, 211827 moves, e=0.790, loss: 1084.4, -, 7.5% elo% vs. random_no_suicide, avg. reward: 11.566, 1.704 sec/game, 6.7 min. total, 493.2 MB
unlinked_crunching v5 275 games, 212739 moves, e=0.789, loss: 1024.3, -, 7.4% elo% vs. random_no_suicide, avg. reward: 11.588, 1.725 sec/game, 6.7 min. total, 493.0 MB
unlinked_crunching v5 276 games, 213488 moves, e=0.789, loss: 1035.0, -, 7.3% elo% vs. random_no_suicide, avg. reward: 11.585, 1.721 sec/game, 6.7 min. total, 493.0 MB
unlinked_crunching v5 277 games, 214314 moves, e=0.788, loss: 1143.7, -, 7.2% elo% vs. random_no_suicide, avg. reward: 11.594, 1.723 sec/game, 6.8 min. total, 492.8 MB
unlinked_crunching v5 278 games, 215113 moves, e=0.787, loss: 1112.0, -, 7.2% elo% vs. random_no_suicide, avg. reward: 11.581, 1.725 sec/game, 6.8 min. total, 493.0 MB
unlinked_crunching v5 279 games, 215964 moves, e=0.786, loss: 1090.9, -, 7.1% elo% vs. random_no_suicide, avg. reward: 11.589, 1.730 sec/game, 6.8 min. total, 493.1 MB
unlinked_crunching v5 280 games, 216903 moves, e=0.785, loss: 1112.3, -, 7.0% elo% vs. random_no_suicide, avg. reward: 11.611, 1.721 sec/game, 6.9 min. total, 493.7 MB
unlinked_crunching v5 281 games, 217711 moves, e=0.784, loss: 1136.1, -, 6.9% elo% vs. random_no_suicide, avg. reward: 11.644, 1.730 sec/game, 6.9 min. total, 493.2 MB
unlinked_crunching v5 282 games, 218518 moves, e=0.784, loss: 1134.2, -, 6.8% elo% vs. random_no_suicide, avg. reward: 11.638, 1.732 sec/game, 6.9 min. total, 493.7 MB
unlinked_crunching v5 283 games, 219353 moves, e=0.783, loss: 1116.3, -, 6.7% elo% vs. random_no_suicide, avg. reward: 11.635, 1.736 sec/game, 6.9 min. total, 493.2 MB
unlinked_crunching v5 284 games, 220176 moves, e=0.782, loss: 1180.4, -, 6.7% elo% vs. random_no_suicide, avg. reward: 11.615, 1.746 sec/game, 7.0 min. total, 493.8 MB
unlinked_crunching v5 285 games, 221055 moves, e=0.781, loss: 1131.6, -, 6.6% elo% vs. random_no_suicide, avg. reward: 11.624, 1.752 sec/game, 7.0 min. total, 493.2 MB
unlinked_crunching v5 286 games, 221940 moves, e=0.780, loss: 1121.0, -, 6.5% elo% vs. random_no_suicide, avg. reward: 11.636, 1.764 sec/game, 7.0 min. total, 493.3 MB
unlinked_crunching v5 287 games, 222869 moves, e=0.779, loss: 1054.2, -, 6.4% elo% vs. random_no_suicide, avg. reward: 11.643, 1.774 sec/game, 7.1 min. total, 493.6 MB
unlinked_crunching v5 288 games, 223753 moves, e=0.778, loss: 1175.8, -, 6.4% elo% vs. random_no_suicide, avg. reward: 11.610, 1.779 sec/game, 7.1 min. total, 493.9 MB
unlinked_crunching v5 289 games, 224607 moves, e=0.778, loss: 1080.6, ., 6.9% elo% vs. random_no_suicide, avg. reward: 11.619, 1.783 sec/game, 7.1 min. total, 494.6 MB
