unlinked_crunching v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unlinked_crunching v2 35 games, 25501 moves, e=0.975, loss: 213.4, ., 50.9% elo% vs. guard_bot, avg. reward: 11.323, 1.381 sec/game, 0.6 min. total, 431.3 MB
unlinked_crunching v2 36 games, 26119 moves, e=0.974, loss: 225.4, ., 50.9% elo% vs. guard_bot, avg. reward: 11.287, 1.365 sec/game, 0.6 min. total, 431.0 MB
unlinked_crunching v2 37 games, 26897 moves, e=0.973, loss: 238.9, ., 50.8% elo% vs. guard_bot, avg. reward: 11.301, 1.362 sec/game, 0.6 min. total, 430.9 MB
unlinked_crunching v2 38 games, 27672 moves, e=0.973, loss: 249.3, ., 50.8% elo% vs. guard_bot, avg. reward: 11.281, 1.365 sec/game, 0.6 min. total, 431.4 MB
unlinked_crunching v2 39 games, 28456 moves, e=0.972, loss: 243.9, ., 50.7% elo% vs. guard_bot, avg. reward: 11.301, 1.360 sec/game, 0.7 min. total, 431.3 MB
unlinked_crunching v2 40 games, 29117 moves, e=0.971, loss: 258.3, +, 53.0% elo% vs. guard_bot, avg. reward: 11.338, 1.357 sec/game, 0.7 min. total, 431.4 MB
unlinked_crunching v2 41 games, 29837 moves, e=0.970, loss: 284.6, ., 52.9% elo% vs. guard_bot, avg. reward: 11.323, 1.351 sec/game, 0.7 min. total, 431.2 MB
unlinked_crunching v2 42 games, 30558 moves, e=0.970, loss: 293.9, ., 52.7% elo% vs. guard_bot, avg. reward: 11.315, 1.338 sec/game, 0.7 min. total, 431.7 MB
unlinked_crunching v2 43 games, 31321 moves, e=0.969, loss: 296.1, ., 52.6% elo% vs. guard_bot, avg. reward: 11.331, 1.345 sec/game, 0.8 min. total, 431.7 MB
unlinked_crunching v2 44 games, 31952 moves, e=0.968, loss: 303.4, ., 52.5% elo% vs. guard_bot, avg. reward: 11.278, 1.319 sec/game, 0.8 min. total, 431.7 MB
unlinked_crunching v2 45 games, 32760 moves, e=0.968, loss: 319.9, ., 52.4% elo% vs. guard_bot, avg. reward: 11.276, 1.334 sec/game, 0.8 min. total, 431.9 MB
unlinked_crunching v2 46 games, 33474 moves, e=0.967, loss: 320.6, +, 54.6% elo% vs. guard_bot, avg. reward: 11.302, 1.329 sec/game, 0.8 min. total, 431.8 MB
unlinked_crunching v2 47 games, 34225 moves, e=0.966, loss: 328.3, +, 56.6% elo% vs. guard_bot, avg. reward: 11.309, 1.328 sec/game, 0.8 min. total, 433.6 MB
unlinked_crunching v2 48 games, 35024 moves, e=0.965, loss: 317.2, +, 58.6% elo% vs. guard_bot, avg. reward: 11.324, 1.334 sec/game, 0.9 min. total, 434.4 MB
unlinked_crunching v2 49 games, 35810 moves, e=0.965, loss: 328.8, +, 60.4% elo% vs. guard_bot, avg. reward: 11.327, 1.343 sec/game, 0.9 min. total, 436.6 MB
unlinked_crunching v2 50 games, 36431 moves, e=0.964, loss: 333.0, +, 62.1% elo% vs. guard_bot, avg. reward: 11.306, 1.335 sec/game, 0.9 min. total, 437.0 MB
unlinked_crunching v2 51 games, 37040 moves, e=0.963, loss: 330.3, +, 63.8% elo% vs. guard_bot, avg. reward: 11.299, 1.324 sec/game, 0.9 min. total, 436.6 MB
unlinked_crunching v2 52 games, 37762 moves, e=0.963, loss: 330.6, +, 65.3% elo% vs. guard_bot, avg. reward: 11.327, 1.318 sec/game, 1.0 min. total, 437.0 MB
unlinked_crunching v2 53 games, 38393 moves, e=0.962, loss: 345.5, +, 66.7% elo% vs. guard_bot, avg. reward: 11.339, 1.306 sec/game, 1.0 min. total, 437.2 MB
unlinked_crunching v2 54 games, 39134 moves, e=0.961, loss: 349.6, +, 68.1% elo% vs. guard_bot, avg. reward: 11.356, 1.300 sec/game, 1.0 min. total, 436.7 MB
unlinked_crunching v2 55 games, 39839 moves, e=0.961, loss: 366.2, +, 69.3% elo% vs. guard_bot, avg. reward: 11.359, 1.303 sec/game, 1.0 min. total, 436.7 MB
unlinked_crunching v2 56 games, 40602 moves, e=0.960, loss: 376.3, +, 70.5% elo% vs. guard_bot, avg. reward: 11.351, 1.314 sec/game, 1.0 min. total, 437.1 MB
unlinked_crunching v3 57 games, 41312 moves, e=0.959, loss: 390.5, -, 47.7% elo% vs. random_no_suicide, avg. reward: 11.333, 1.303 sec/game, 1.1 min. total, 437.4 MB
unlinked_crunching v3 58 games, 42058 moves, e=0.958, loss: 421.3, -, 45.5% elo% vs. random_no_suicide, avg. reward: 11.349, 1.304 sec/game, 1.1 min. total, 438.7 MB
unlinked_crunching v3 59 games, 42700 moves, e=0.958, loss: 409.8, -, 43.4% elo% vs. random_no_suicide, avg. reward: 11.335, 1.292 sec/game, 1.1 min. total, 438.3 MB
unlinked_crunching v3 60 games, 43396 moves, e=0.957, loss: 405.9, -, 41.5% elo% vs. random_no_suicide, avg. reward: 11.341, 1.301 sec/game, 1.1 min. total, 438.9 MB
unlinked_crunching v3 61 games, 44080 moves, e=0.956, loss: 422.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: 11.328, 1.292 sec/game, 1.1 min. total, 440.8 MB
unlinked_crunching v3 62 games, 44766 moves, e=0.956, loss: 457.7, -, 37.9% elo% vs. random_no_suicide, avg. reward: 11.333, 1.301 sec/game, 1.2 min. total, 440.7 MB
unlinked_crunching v3 63 games, 45477 moves, e=0.955, loss: 456.9, -, 36.3% elo% vs. random_no_suicide, avg. reward: 11.329, 1.297 sec/game, 1.2 min. total, 440.7 MB
unlinked_crunching v3 64 games, 46154 moves, e=0.954, loss: 453.0, -, 34.8% elo% vs. random_no_suicide, avg. reward: 11.346, 1.298 sec/game, 1.2 min. total, 441.2 MB
unlinked_crunching v3 65 games, 46801 moves, e=0.954, loss: 454.7, -, 33.3% elo% vs. random_no_suicide, avg. reward: 11.344, 1.288 sec/game, 1.2 min. total, 441.2 MB
unlinked_crunching v3 66 games, 47666 moves, e=0.953, loss: 458.7, -, 32.0% elo% vs. random_no_suicide, avg. reward: 11.355, 1.299 sec/game, 1.3 min. total, 441.2 MB
unlinked_crunching v3 67 games, 48459 moves, e=0.952, loss: 494.7, -, 30.7% elo% vs. random_no_suicide, avg. reward: 11.365, 1.304 sec/game, 1.3 min. total, 441.4 MB
unlinked_crunching v3 68 games, 49185 moves, e=0.951, loss: 500.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: 11.351, 1.304 sec/game, 1.3 min. total, 441.4 MB
unlinked_crunching v3 69 games, 49800 moves, e=0.951, loss: 497.8, -, 28.4% elo% vs. random_no_suicide, avg. reward: 11.346, 1.293 sec/game, 1.3 min. total, 441.4 MB
unlinked_crunching v3 70 games, 50596 moves, e=0.950, loss: 524.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: 11.359, 1.305 sec/game, 1.3 min. total, 442.2 MB
unlinked_crunching v3 71 games, 51352 moves, e=0.949, loss: 543.0, -, 26.4% elo% vs. random_no_suicide, avg. reward: 11.380, 1.321 sec/game, 1.4 min. total, 444.2 MB
unlinked_crunching v3 72 games, 52189 moves, e=0.948, loss: 522.8, -, 25.4% elo% vs. random_no_suicide, avg. reward: 11.393, 1.332 sec/game, 1.4 min. total, 444.8 MB
unlinked_crunching v3 73 games, 52877 moves, e=0.948, loss: 516.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: 11.389, 1.350 sec/game, 1.4 min. total, 444.3 MB
unlinked_crunching v3 74 games, 53750 moves, e=0.947, loss: 546.4, -, 23.7% elo% vs. random_no_suicide, avg. reward: 11.401, 1.355 sec/game, 1.4 min. total, 444.8 MB
unlinked_crunching v3 75 games, 54452 moves, e=0.946, loss: 577.3, -, 22.9% elo% vs. random_no_suicide, avg. reward: 11.396, 1.352 sec/game, 1.5 min. total, 445.1 MB
unlinked_crunching v3 76 games, 55250 moves, e=0.945, loss: 584.2, -, 22.2% elo% vs. random_no_suicide, avg. reward: 11.411, 1.352 sec/game, 1.5 min. total, 445.1 MB
unlinked_crunching v3 77 games, 55927 moves, e=0.945, loss: 600.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: 11.415, 1.352 sec/game, 1.5 min. total, 445.0 MB
unlinked_crunching v3 78 games, 56637 moves, e=0.944, loss: 589.1, -, 20.8% elo% vs. random_no_suicide, avg. reward: 11.404, 1.353 sec/game, 1.5 min. total, 445.2 MB
