kerosene_tinderbox v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.8 MB
kerosene_tinderbox v1 35 games, 24357 moves, e=0.976, loss: 166.7, -, 22.1% elo% vs. v0, avg. reward: 6.930, 1.405 sec/game, 0.5 min. total, 399.7 MB
kerosene_tinderbox v1 36 games, 25021 moves, e=0.975, loss: 167.7, -, 21.4% elo% vs. v0, avg. reward: 6.821, 1.395 sec/game, 0.6 min. total, 400.0 MB
kerosene_tinderbox v1 37 games, 25670 moves, e=0.975, loss: 166.9, -, 20.8% elo% vs. v0, avg. reward: 6.717, 1.385 sec/game, 0.6 min. total, 400.1 MB
kerosene_tinderbox v1 38 games, 26267 moves, e=0.974, loss: 164.9, -, 20.1% elo% vs. v0, avg. reward: 6.666, 1.385 sec/game, 0.6 min. total, 400.3 MB
kerosene_tinderbox v1 39 games, 26987 moves, e=0.973, loss: 164.5, -, 19.5% elo% vs. v0, avg. reward: 6.637, 1.375 sec/game, 0.6 min. total, 400.4 MB
kerosene_tinderbox v1 40 games, 27700 moves, e=0.973, loss: 172.4, -, 19.0% elo% vs. v0, avg. reward: 6.588, 1.376 sec/game, 0.7 min. total, 400.6 MB
kerosene_tinderbox v1 41 games, 28372 moves, e=0.972, loss: 160.7, -, 18.4% elo% vs. v0, avg. reward: 6.617, 1.369 sec/game, 0.7 min. total, 401.7 MB
kerosene_tinderbox v1 42 games, 29012 moves, e=0.971, loss: 158.2, -, 17.9% elo% vs. v0, avg. reward: 6.475, 1.382 sec/game, 0.7 min. total, 403.0 MB
kerosene_tinderbox v1 43 games, 29685 moves, e=0.971, loss: 169.5, -, 17.5% elo% vs. v0, avg. reward: 6.464, 1.384 sec/game, 0.7 min. total, 404.5 MB
kerosene_tinderbox v1 44 games, 30403 moves, e=0.970, loss: 172.2, -, 17.0% elo% vs. v0, avg. reward: 6.447, 1.395 sec/game, 0.8 min. total, 406.4 MB
kerosene_tinderbox v1 45 games, 31130 moves, e=0.969, loss: 182.7, -, 16.6% elo% vs. v0, avg. reward: 6.420, 1.414 sec/game, 0.8 min. total, 406.2 MB
kerosene_tinderbox v1 46 games, 31943 moves, e=0.968, loss: 193.0, -, 16.1% elo% vs. v0, avg. reward: 6.398, 1.419 sec/game, 0.8 min. total, 406.7 MB
kerosene_tinderbox v1 47 games, 32670 moves, e=0.968, loss: 195.1, -, 15.7% elo% vs. v0, avg. reward: 6.371, 1.429 sec/game, 0.8 min. total, 407.3 MB
kerosene_tinderbox v1 48 games, 33398 moves, e=0.967, loss: 187.4, -, 15.4% elo% vs. v0, avg. reward: 6.395, 1.419 sec/game, 0.9 min. total, 407.8 MB
kerosene_tinderbox v1 49 games, 34319 moves, e=0.966, loss: 194.7, +, 17.5% elo% vs. v0, avg. reward: 6.429, 1.443 sec/game, 0.9 min. total, 410.8 MB
kerosene_tinderbox v1 50 games, 35110 moves, e=0.965, loss: 213.2, +, 19.8% elo% vs. v0, avg. reward: 6.629, 1.449 sec/game, 0.9 min. total, 409.1 MB
kerosene_tinderbox v1 51 games, 35897 moves, e=0.964, loss: 229.9, +, 22.3% elo% vs. v0, avg. reward: 6.746, 1.465 sec/game, 0.9 min. total, 410.2 MB
kerosene_tinderbox v1 52 games, 36687 moves, e=0.964, loss: 247.7, -, 21.6% elo% vs. v0, avg. reward: 6.835, 1.483 sec/game, 1.0 min. total, 410.7 MB
kerosene_tinderbox v1 53 games, 37329 moves, e=0.963, loss: 247.0, -, 20.9% elo% vs. v0, avg. reward: 6.806, 1.501 sec/game, 1.0 min. total, 411.3 MB
kerosene_tinderbox v1 54 games, 38031 moves, e=0.962, loss: 263.7, -, 20.3% elo% vs. v0, avg. reward: 6.756, 1.511 sec/game, 1.0 min. total, 411.8 MB
kerosene_tinderbox v1 55 games, 38816 moves, e=0.962, loss: 261.0, +, 22.7% elo% vs. v0, avg. reward: 6.829, 1.511 sec/game, 1.0 min. total, 412.7 MB
kerosene_tinderbox v1 56 games, 39427 moves, e=0.961, loss: 270.8, +, 25.3% elo% vs. v0, avg. reward: 6.691, 1.511 sec/game, 1.1 min. total, 414.5 MB
kerosene_tinderbox v1 57 games, 40088 moves, e=0.960, loss: 267.0, +, 28.0% elo% vs. v0, avg. reward: 6.704, 1.518 sec/game, 1.1 min. total, 416.3 MB
kerosene_tinderbox v1 58 games, 40839 moves, e=0.960, loss: 285.7, +, 30.8% elo% vs. v0, avg. reward: 6.770, 1.538 sec/game, 1.1 min. total, 418.4 MB
kerosene_tinderbox v1 59 games, 41505 moves, e=0.959, loss: 284.3, +, 33.6% elo% vs. v0, avg. reward: 6.674, 1.539 sec/game, 1.1 min. total, 416.6 MB
kerosene_tinderbox v1 60 games, 42126 moves, e=0.958, loss: 280.5, +, 36.3% elo% vs. v0, avg. reward: 6.582, 1.525 sec/game, 1.2 min. total, 416.4 MB
kerosene_tinderbox v1 61 games, 42825 moves, e=0.958, loss: 314.8, +, 39.1% elo% vs. v0, avg. reward: 6.669, 1.525 sec/game, 1.2 min. total, 418.5 MB
kerosene_tinderbox v1 62 games, 43580 moves, e=0.957, loss: 319.6, +, 41.8% elo% vs. v0, avg. reward: 6.719, 1.541 sec/game, 1.2 min. total, 416.7 MB
kerosene_tinderbox v1 63 games, 44264 moves, e=0.956, loss: 338.1, +, 44.4% elo% vs. v0, avg. reward: 6.704, 1.544 sec/game, 1.2 min. total, 418.6 MB
kerosene_tinderbox v1 64 games, 44972 moves, e=0.955, loss: 341.2, +, 47.0% elo% vs. v0, avg. reward: 6.742, 1.548 sec/game, 1.3 min. total, 418.8 MB
kerosene_tinderbox v1 65 games, 45688 moves, e=0.955, loss: 368.2, +, 49.4% elo% vs. v0, avg. reward: 6.725, 1.536 sec/game, 1.3 min. total, 417.0 MB
kerosene_tinderbox v1 66 games, 46528 moves, e=0.954, loss: 328.8, +, 51.7% elo% vs. v0, avg. reward: 6.735, 1.547 sec/game, 1.3 min. total, 420.9 MB
kerosene_tinderbox v1 67 games, 47294 moves, e=0.953, loss: 363.8, +, 53.9% elo% vs. v0, avg. reward: 6.772, 1.551 sec/game, 1.4 min. total, 423.3 MB
kerosene_tinderbox v1 68 games, 48088 moves, e=0.952, loss: 382.7, +, 56.0% elo% vs. v0, avg. reward: 6.853, 1.568 sec/game, 1.4 min. total, 423.4 MB
kerosene_tinderbox v1 69 games, 48786 moves, e=0.952, loss: 404.3, -, 53.5% elo% vs. v0, avg. reward: 6.806, 1.550 sec/game, 1.4 min. total, 421.2 MB
kerosene_tinderbox v1 70 games, 49453 moves, e=0.951, loss: 398.7, -, 51.0% elo% vs. v0, avg. reward: 6.748, 1.539 sec/game, 1.4 min. total, 421.3 MB
kerosene_tinderbox v1 71 games, 50193 moves, e=0.950, loss: 360.1, -, 48.7% elo% vs. v0, avg. reward: 6.834, 1.542 sec/game, 1.5 min. total, 421.2 MB
kerosene_tinderbox v1 72 games, 50828 moves, e=0.950, loss: 384.4, -, 46.4% elo% vs. v0, avg. reward: 6.774, 1.528 sec/game, 1.5 min. total, 421.1 MB
