kerosene_tinderbox v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.8 MB
kerosene_tinderbox v2 149 games, 107328 moves, e=0.894, loss: 1428.2, +, 50.8% elo% vs. v0, avg. reward: 8.871, 1.699 sec/game, 3.6 min. total, 445.0 MB
kerosene_tinderbox v2 150 games, 108201 moves, e=0.893, loss: 1475.9, +, 53.1% elo% vs. v0, avg. reward: 8.835, 1.716 sec/game, 3.7 min. total, 444.8 MB
kerosene_tinderbox v2 151 games, 108887 moves, e=0.892, loss: 1420.2, -, 50.7% elo% vs. v0, avg. reward: 8.765, 1.716 sec/game, 3.7 min. total, 445.0 MB
kerosene_tinderbox v2 152 games, 109645 moves, e=0.891, loss: 1410.3, +, 52.9% elo% vs. v0, avg. reward: 8.808, 1.715 sec/game, 3.7 min. total, 446.0 MB
kerosene_tinderbox v2 153 games, 110352 moves, e=0.891, loss: 1413.9, +, 55.1% elo% vs. v0, avg. reward: 8.825, 1.725 sec/game, 3.7 min. total, 449.0 MB
kerosene_tinderbox v2 154 games, 111064 moves, e=0.890, loss: 1397.6, +, 57.1% elo% vs. v0, avg. reward: 8.830, 1.719 sec/game, 3.8 min. total, 448.6 MB
kerosene_tinderbox v2 155 games, 111748 moves, e=0.889, loss: 1373.5, ., 56.8% elo% vs. v0, avg. reward: 8.753, 1.715 sec/game, 3.8 min. total, 447.8 MB
kerosene_tinderbox v2 156 games, 112549 moves, e=0.889, loss: 1414.4, +, 58.7% elo% vs. v0, avg. reward: 8.899, 1.717 sec/game, 3.8 min. total, 450.5 MB
kerosene_tinderbox v2 157 games, 113363 moves, e=0.888, loss: 1335.7, -, 56.1% elo% vs. v0, avg. reward: 8.884, 1.728 sec/game, 3.9 min. total, 448.4 MB
kerosene_tinderbox v2 158 games, 114155 moves, e=0.887, loss: 1224.0, -, 53.5% elo% vs. v0, avg. reward: 8.845, 1.729 sec/game, 3.9 min. total, 448.3 MB
kerosene_tinderbox v2 159 games, 114947 moves, e=0.886, loss: 1346.9, +, 55.7% elo% vs. v0, avg. reward: 8.920, 1.741 sec/game, 3.9 min. total, 450.6 MB
kerosene_tinderbox v2 160 games, 115749 moves, e=0.885, loss: 1294.6, +, 57.7% elo% vs. v0, avg. reward: 9.061, 1.745 sec/game, 4.0 min. total, 450.8 MB
kerosene_tinderbox v2 161 games, 116549 moves, e=0.885, loss: 1362.5, +, 59.6% elo% vs. v0, avg. reward: 9.074, 1.755 sec/game, 4.0 min. total, 451.6 MB
kerosene_tinderbox v2 162 games, 117219 moves, e=0.884, loss: 1552.6, +, 61.3% elo% vs. v0, avg. reward: 9.066, 1.793 sec/game, 4.0 min. total, 453.0 MB
kerosene_tinderbox v2 163 games, 118131 moves, e=0.883, loss: 1624.1, +, 63.0% elo% vs. v0, avg. reward: 9.154, 1.822 sec/game, 4.1 min. total, 453.8 MB
kerosene_tinderbox v2 164 games, 118873 moves, e=0.882, loss: 1667.3, -, 60.3% elo% vs. v0, avg. reward: 9.085, 1.820 sec/game, 4.1 min. total, 451.7 MB
kerosene_tinderbox v2 165 games, 119587 moves, e=0.882, loss: 1693.3, +, 62.0% elo% vs. v0, avg. reward: 9.099, 1.838 sec/game, 4.1 min. total, 453.7 MB
kerosene_tinderbox v2 166 games, 120289 moves, e=0.881, loss: 1598.6, +, 63.6% elo% vs. v0, avg. reward: 9.105, 1.860 sec/game, 4.2 min. total, 451.6 MB
kerosene_tinderbox v2 167 games, 120995 moves, e=0.880, loss: 1644.9, -, 60.9% elo% vs. v0, avg. reward: 9.135, 1.871 sec/game, 4.2 min. total, 451.7 MB
kerosene_tinderbox v2 168 games, 121739 moves, e=0.879, loss: 1738.6, -, 58.2% elo% vs. v0, avg. reward: 9.210, 1.880 sec/game, 4.2 min. total, 451.6 MB
kerosene_tinderbox v2 169 games, 122376 moves, e=0.879, loss: 1599.1, +, 60.0% elo% vs. v0, avg. reward: 9.212, 1.859 sec/game, 4.2 min. total, 452.1 MB
kerosene_tinderbox v2 170 games, 123094 moves, e=0.878, loss: 1675.8, +, 61.8% elo% vs. v0, avg. reward: 9.239, 1.865 sec/game, 4.3 min. total, 452.4 MB
kerosene_tinderbox v2 171 games, 124030 moves, e=0.877, loss: 1449.3, +, 63.4% elo% vs. v0, avg. reward: 9.295, 1.898 sec/game, 4.3 min. total, 454.6 MB
kerosene_tinderbox v2 172 games, 124716 moves, e=0.877, loss: 1580.9, +, 65.0% elo% vs. v0, avg. reward: 9.376, 1.896 sec/game, 4.3 min. total, 454.6 MB
kerosene_tinderbox v2 173 games, 125434 moves, e=0.876, loss: 1599.1, +, 66.4% elo% vs. v0, avg. reward: 9.250, 1.895 sec/game, 4.4 min. total, 452.6 MB
kerosene_tinderbox v2 174 games, 126181 moves, e=0.875, loss: 1680.3, +, 67.8% elo% vs. v0, avg. reward: 9.284, 1.917 sec/game, 4.4 min. total, 454.8 MB
kerosene_tinderbox v2 175 games, 126839 moves, e=0.874, loss: 1700.7, +, 69.1% elo% vs. v0, avg. reward: 9.360, 1.906 sec/game, 4.4 min. total, 454.7 MB
kerosene_tinderbox v2 176 games, 127516 moves, e=0.874, loss: 1714.3, +, 70.3% elo% vs. v0, avg. reward: 9.412, 1.916 sec/game, 4.5 min. total, 454.9 MB
kerosene_tinderbox v3 177 games, 128318 moves, e=0.873, loss: 1591.7, -, 49.9% elo% vs. v2, avg. reward: 9.487, 1.908 sec/game, 4.5 min. total, 515.5 MB
kerosene_tinderbox v3 178 games, 129072 moves, e=0.872, loss: 1567.8, +, 52.2% elo% vs. v2, avg. reward: 9.455, 1.908 sec/game, 4.5 min. total, 515.6 MB
kerosene_tinderbox v3 179 games, 129820 moves, e=0.871, loss: 1532.0, +, 54.4% elo% vs. v2, avg. reward: 9.387, 1.908 sec/game, 4.6 min. total, 515.6 MB
kerosene_tinderbox v3 180 games, 130608 moves, e=0.871, loss: 1425.4, -, 51.9% elo% vs. v2, avg. reward: 9.422, 1.920 sec/game, 4.6 min. total, 515.9 MB
kerosene_tinderbox v3 181 games, 131250 moves, e=0.870, loss: 1516.5, -, 49.5% elo% vs. v2, avg. reward: 9.456, 1.884 sec/game, 4.6 min. total, 518.1 MB
kerosene_tinderbox v3 182 games, 132007 moves, e=0.869, loss: 1513.4, +, 51.8% elo% vs. v2, avg. reward: 9.417, 1.856 sec/game, 4.6 min. total, 522.8 MB
kerosene_tinderbox v3 183 games, 132767 moves, e=0.869, loss: 1546.5, -, 49.4% elo% vs. v2, avg. reward: 9.416, 1.829 sec/game, 4.7 min. total, 521.4 MB
kerosene_tinderbox v3 184 games, 133578 moves, e=0.868, loss: 1556.2, -, 47.2% elo% vs. v2, avg. reward: 9.441, 1.828 sec/game, 4.7 min. total, 521.6 MB
kerosene_tinderbox v3 185 games, 134469 moves, e=0.867, loss: 1532.2, +, 49.6% elo% vs. v2, avg. reward: 9.549, 1.834 sec/game, 4.7 min. total, 521.8 MB
kerosene_tinderbox v3 186 games, 135117 moves, e=0.866, loss: 1582.2, -, 47.3% elo% vs. v2, avg. reward: 9.536, 1.796 sec/game, 4.8 min. total, 521.8 MB
kerosene_tinderbox v3 187 games, 135806 moves, e=0.866, loss: 1537.8, -, 45.2% elo% vs. v2, avg. reward: 9.543, 1.769 sec/game, 4.8 min. total, 521.9 MB
kerosene_tinderbox v3 188 games, 136606 moves, e=0.865, loss: 1707.3, -, 43.1% elo% vs. v2, avg. reward: 9.520, 1.767 sec/game, 4.8 min. total, 522.1 MB
kerosene_tinderbox v3 189 games, 137389 moves, e=0.864, loss: 1833.6, +, 45.7% elo% vs. v2, avg. reward: 9.494, 1.770 sec/game, 4.8 min. total, 523.1 MB
kerosene_tinderbox v3 190 games, 138243 moves, e=0.863, loss: 1885.2, +, 48.2% elo% vs. v2, avg. reward: 9.500, 1.761 sec/game, 4.9 min. total, 527.1 MB
kerosene_tinderbox v3 191 games, 139017 moves, e=0.862, loss: 1638.2, +, 50.6% elo% vs. v2, avg. reward: 9.452, 1.739 sec/game, 4.9 min. total, 527.2 MB
kerosene_tinderbox v3 192 games, 139785 moves, e=0.862, loss: 1639.2, +, 52.8% elo% vs. v2, avg. reward: 9.498, 1.736 sec/game, 4.9 min. total, 528.3 MB
kerosene_tinderbox v3 193 games, 140664 moves, e=0.861, loss: 1675.1, -, 50.4% elo% vs. v2, avg. reward: 9.483, 1.742 sec/game, 5.0 min. total, 528.1 MB
kerosene_tinderbox v3 194 games, 141535 moves, e=0.860, loss: 1660.6, +, 52.7% elo% vs. v2, avg. reward: 9.567, 1.739 sec/game, 5.0 min. total, 530.4 MB
kerosene_tinderbox v3 195 games, 142398 moves, e=0.859, loss: 1629.7, +, 54.9% elo% vs. v2, avg. reward: 9.543, 1.774 sec/game, 5.0 min. total, 530.5 MB
kerosene_tinderbox v3 196 games, 143132 moves, e=0.858, loss: 1609.3, -, 52.3% elo% vs. v2, avg. reward: 9.527, 1.761 sec/game, 5.1 min. total, 528.3 MB
kerosene_tinderbox v3 197 games, 143933 moves, e=0.858, loss: 1645.0, -, 49.9% elo% vs. v2, avg. reward: 9.575, 1.778 sec/game, 5.1 min. total, 528.1 MB
kerosene_tinderbox v3 198 games, 144749 moves, e=0.857, loss: 1610.4, -, 47.6% elo% vs. v2, avg. reward: 9.645, 1.787 sec/game, 5.1 min. total, 528.5 MB
kerosene_tinderbox v3 199 games, 145594 moves, e=0.856, loss: 1721.4, +, 50.0% elo% vs. v2, avg. reward: 9.677, 1.794 sec/game, 5.2 min. total, 528.6 MB
kerosene_tinderbox v3 200 games, 146382 moves, e=0.855, loss: 1705.1, -, 47.7% elo% vs. v2, avg. reward: 9.718, 1.800 sec/game, 5.2 min. total, 530.0 MB
kerosene_tinderbox v4 201 games, 147052 moves, e=0.854, loss: 1601.6, -, 47.7% elo% vs. v2, avg. reward: 9.723, 1.805 sec/game, 5.2 min. total, 531.6 MB
kerosene_tinderbox v4 202 games, 147754 moves, e=0.854, loss: 1641.0, -, 45.5% elo% vs. v2, avg. reward: 9.747, 1.813 sec/game, 5.2 min. total, 531.2 MB
kerosene_tinderbox v4 203 games, 148615 moves, e=0.853, loss: 1617.9, +, 48.0% elo% vs. v2, avg. reward: 9.802, 1.843 sec/game, 5.3 min. total, 531.7 MB
kerosene_tinderbox v4 204 games, 149436 moves, e=0.852, loss: 1739.3, -, 45.8% elo% vs. v2, avg. reward: 9.812, 1.849 sec/game, 5.3 min. total, 531.8 MB
kerosene_tinderbox v4 205 games, 150110 moves, e=0.851, loss: 1659.1, -, 43.7% elo% vs. v2, avg. reward: 9.770, 1.826 sec/game, 5.3 min. total, 531.5 MB
kerosene_tinderbox v4 206 games, 150988 moves, e=0.851, loss: 1506.4, +, 46.3% elo% vs. v2, avg. reward: 9.711, 1.856 sec/game, 5.4 min. total, 532.1 MB
kerosene_tinderbox v4 207 games, 151896 moves, e=0.850, loss: 1521.8, -, 44.2% elo% vs. v2, avg. reward: 9.726, 1.916 sec/game, 5.4 min. total, 531.9 MB
kerosene_tinderbox v4 208 games, 152723 moves, e=0.849, loss: 1468.0, -, 42.2% elo% vs. v2, avg. reward: 9.672, 1.921 sec/game, 5.5 min. total, 532.0 MB
kerosene_tinderbox v4 209 games, 153422 moves, e=0.848, loss: 1614.0, ., 42.5% elo% vs. v2, avg. reward: 9.692, 1.913 sec/game, 5.5 min. total, 533.6 MB
kerosene_tinderbox v4 210 games, 154283 moves, e=0.847, loss: 1490.0, +, 45.1% elo% vs. v2, avg. reward: 9.872, 1.915 sec/game, 5.5 min. total, 535.2 MB
kerosene_tinderbox v4 211 games, 155000 moves, e=0.847, loss: 1656.6, +, 47.7% elo% vs. v2, avg. reward: 9.855, 1.903 sec/game, 5.5 min. total, 537.4 MB
kerosene_tinderbox v4 212 games, 155778 moves, e=0.846, loss: 1700.6, +, 50.1% elo% vs. v2, avg. reward: 9.808, 1.938 sec/game, 5.6 min. total, 535.3 MB
kerosene_tinderbox v4 213 games, 156465 moves, e=0.845, loss: 1591.3, +, 52.4% elo% vs. v2, avg. reward: 9.769, 1.932 sec/game, 5.6 min. total, 535.5 MB
kerosene_tinderbox v4 214 games, 157386 moves, e=0.844, loss: 1600.5, -, 49.9% elo% vs. v2, avg. reward: 9.844, 1.960 sec/game, 5.6 min. total, 535.3 MB
kerosene_tinderbox v4 215 games, 158258 moves, e=0.843, loss: 1547.2, +, 52.3% elo% vs. v2, avg. reward: 9.836, 1.980 sec/game, 5.7 min. total, 537.9 MB
kerosene_tinderbox v4 216 games, 159054 moves, e=0.843, loss: 1535.2, -, 49.8% elo% vs. v2, avg. reward: 9.722, 1.988 sec/game, 5.7 min. total, 535.4 MB
kerosene_tinderbox v4 217 games, 159937 moves, e=0.842, loss: 1585.5, -, 47.6% elo% vs. v2, avg. reward: 9.941, 2.009 sec/game, 5.8 min. total, 536.6 MB
kerosene_tinderbox v4 218 games, 160845 moves, e=0.841, loss: 1732.9, +, 50.0% elo% vs. v2, avg. reward: 10.002, 2.022 sec/game, 5.8 min. total, 537.7 MB
kerosene_tinderbox v4 219 games, 161635 moves, e=0.840, loss: 1662.4, +, 52.3% elo% vs. v2, avg. reward: 10.037, 2.013 sec/game, 5.8 min. total, 541.3 MB
kerosene_tinderbox v4 220 games, 162403 moves, e=0.839, loss: 1705.7, +, 54.5% elo% vs. v2, avg. reward: 10.092, 2.004 sec/game, 5.9 min. total, 541.3 MB
kerosene_tinderbox v4 221 games, 163210 moves, e=0.838, loss: 1741.0, -, 52.0% elo% vs. v2, avg. reward: 10.146, 2.032 sec/game, 5.9 min. total, 539.2 MB
kerosene_tinderbox v4 222 games, 164161 moves, e=0.837, loss: 1974.8, -, 49.6% elo% vs. v2, avg. reward: 10.284, 2.050 sec/game, 5.9 min. total, 539.2 MB
kerosene_tinderbox v4 223 games, 164915 moves, e=0.837, loss: 2019.6, -, 47.3% elo% vs. v2, avg. reward: 10.329, 2.029 sec/game, 6.0 min. total, 539.3 MB
kerosene_tinderbox v4 224 games, 165806 moves, e=0.836, loss: 2067.7, -, 45.1% elo% vs. v2, avg. reward: 10.372, 2.050 sec/game, 6.0 min. total, 538.8 MB
kerosene_tinderbox v4 225 games, 166554 moves, e=0.835, loss: 2181.6, +, 47.6% elo% vs. v2, avg. reward: 10.295, 2.082 sec/game, 6.0 min. total, 541.3 MB
kerosene_tinderbox v4 226 games, 167334 moves, e=0.834, loss: 2137.9, +, 50.0% elo% vs. v2, avg. reward: 10.341, 2.068 sec/game, 6.1 min. total, 539.5 MB
kerosene_tinderbox v4 227 games, 168080 moves, e=0.834, loss: 2255.4, -, 47.7% elo% vs. v2, avg. reward: 10.341, 2.025 sec/game, 6.1 min. total, 540.8 MB
kerosene_tinderbox v4 228 games, 168949 moves, e=0.833, loss: 2103.1, -, 45.6% elo% vs. v2, avg. reward: 10.430, 2.018 sec/game, 6.1 min. total, 540.7 MB
kerosene_tinderbox v4 229 games, 169737 moves, e=0.832, loss: 2158.8, -, 43.5% elo% vs. v2, avg. reward: 10.340, 2.045 sec/game, 6.2 min. total, 540.7 MB
kerosene_tinderbox v4 230 games, 170641 moves, e=0.831, loss: 2253.2, -, 41.5% elo% vs. v2, avg. reward: 10.374, 2.050 sec/game, 6.2 min. total, 540.7 MB
kerosene_tinderbox v4 231 games, 171586 moves, e=0.830, loss: 2229.0, +, 44.2% elo% vs. v2, avg. reward: 10.643, 2.093 sec/game, 6.2 min. total, 540.9 MB
kerosene_tinderbox v4 232 games, 172602 moves, e=0.829, loss: 2174.9, -, 42.2% elo% vs. v2, avg. reward: 10.852, 2.101 sec/game, 6.3 min. total, 541.3 MB
kerosene_tinderbox v4 233 games, 173373 moves, e=0.828, loss: 2230.1, +, 44.8% elo% vs. v2, avg. reward: 10.841, 2.107 sec/game, 6.3 min. total, 543.7 MB
kerosene_tinderbox v4 234 games, 174295 moves, e=0.827, loss: 2193.5, ., 45.0% elo% vs. v2, avg. reward: 10.933, 2.086 sec/game, 6.3 min. total, 542.1 MB
kerosene_tinderbox v4 235 games, 175082 moves, e=0.827, loss: 2211.5, +, 47.5% elo% vs. v2, avg. reward: 10.862, 2.053 sec/game, 6.4 min. total, 548.5 MB
kerosene_tinderbox v4 236 games, 175884 moves, e=0.826, loss: 2065.1, -, 45.4% elo% vs. v2, avg. reward: 10.908, 2.064 sec/game, 6.4 min. total, 545.4 MB
kerosene_tinderbox v4 237 games, 176796 moves, e=0.825, loss: 2021.3, -, 43.3% elo% vs. v2, avg. reward: 10.898, 2.054 sec/game, 6.4 min. total, 545.4 MB
kerosene_tinderbox v4 238 games, 177727 moves, e=0.824, loss: 2169.5, -, 41.4% elo% vs. v2, avg. reward: 11.091, 2.054 sec/game, 6.5 min. total, 545.4 MB
kerosene_tinderbox v4 239 games, 178575 moves, e=0.823, loss: 2181.6, -, 39.5% elo% vs. v2, avg. reward: 11.148, 2.063 sec/game, 6.5 min. total, 545.3 MB
kerosene_tinderbox v4 240 games, 179364 moves, e=0.822, loss: 2053.0, -, 37.8% elo% vs. v2, avg. reward: 11.181, 2.066 sec/game, 6.5 min. total, 545.3 MB
kerosene_tinderbox v4 241 games, 180227 moves, e=0.822, loss: 2080.1, -, 36.2% elo% vs. v2, avg. reward: 11.167, 2.074 sec/game, 6.6 min. total, 545.8 MB
kerosene_tinderbox v4 242 games, 181054 moves, e=0.821, loss: 2220.7, +, 38.9% elo% vs. v2, avg. reward: 11.010, 2.064 sec/game, 6.6 min. total, 545.8 MB
kerosene_tinderbox v4 243 games, 181759 moves, e=0.820, loss: 2107.1, +, 41.6% elo% vs. v2, avg. reward: 10.972, 2.050 sec/game, 6.6 min. total, 545.7 MB
kerosene_tinderbox v4 244 games, 182627 moves, e=0.819, loss: 2051.9, +, 44.3% elo% vs. v2, avg. reward: 10.990, 2.051 sec/game, 6.7 min. total, 548.4 MB
kerosene_tinderbox v4 245 games, 183406 moves, e=0.818, loss: 2222.2, +, 46.8% elo% vs. v2, avg. reward: 11.067, 2.049 sec/game, 6.7 min. total, 549.8 MB
kerosene_tinderbox v4 246 games, 184281 moves, e=0.818, loss: 2063.6, -, 44.7% elo% vs. v2, avg. reward: 11.129, 2.078 sec/game, 6.8 min. total, 548.0 MB
kerosene_tinderbox v4 247 games, 184993 moves, e=0.817, loss: 1991.3, -, 42.6% elo% vs. v2, avg. reward: 11.144, 2.090 sec/game, 6.8 min. total, 548.1 MB
kerosene_tinderbox v4 248 games, 185868 moves, e=0.816, loss: 2081.9, -, 40.7% elo% vs. v2, avg. reward: 11.167, 2.127 sec/game, 6.8 min. total, 548.1 MB
kerosene_tinderbox v4 249 games, 186637 moves, e=0.815, loss: 2027.9, -, 38.9% elo% vs. v2, avg. reward: 11.207, 2.118 sec/game, 6.9 min. total, 548.1 MB
kerosene_tinderbox v4 250 games, 187407 moves, e=0.814, loss: 1911.6, -, 37.2% elo% vs. v2, avg. reward: 11.192, 2.115 sec/game, 6.9 min. total, 548.2 MB
kerosene_tinderbox v4 251 games, 188249 moves, e=0.814, loss: 1868.2, -, 35.7% elo% vs. v2, avg. reward: 11.209, 2.098 sec/game, 6.9 min. total, 548.2 MB
kerosene_tinderbox v4 252 games, 189036 moves, e=0.813, loss: 1990.9, -, 34.2% elo% vs. v2, avg. reward: 11.152, 2.068 sec/game, 7.0 min. total, 548.7 MB
kerosene_tinderbox v4 253 games, 189872 moves, e=0.812, loss: 1854.4, -, 32.8% elo% vs. v2, avg. reward: 11.319, 2.085 sec/game, 7.0 min. total, 549.0 MB
kerosene_tinderbox v4 254 games, 190886 moves, e=0.811, loss: 1857.4, -, 31.4% elo% vs. v2, avg. reward: 11.429, 2.106 sec/game, 7.0 min. total, 548.9 MB
kerosene_tinderbox v4 255 games, 191560 moves, e=0.810, loss: 1775.2, +, 34.2% elo% vs. v2, avg. reward: 11.531, 2.092 sec/game, 7.1 min. total, 551.4 MB
kerosene_tinderbox v4 256 games, 192310 moves, e=0.810, loss: 1771.9, -, 32.8% elo% vs. v2, avg. reward: 11.432, 2.093 sec/game, 7.1 min. total, 550.9 MB
kerosene_tinderbox v4 257 games, 193166 moves, e=0.809, loss: 1809.6, +, 35.6% elo% vs. v2, avg. reward: 11.460, 2.093 sec/game, 7.1 min. total, 553.1 MB
kerosene_tinderbox v4 258 games, 194004 moves, e=0.808, loss: 1829.5, -, 34.1% elo% vs. v2, avg. reward: 11.436, 2.094 sec/game, 7.2 min. total, 551.4 MB
kerosene_tinderbox v4 259 games, 194896 moves, e=0.807, loss: 1958.1, +, 36.9% elo% vs. v2, avg. reward: 11.446, 2.110 sec/game, 7.2 min. total, 553.2 MB
kerosene_tinderbox v4 260 games, 195848 moves, e=0.806, loss: 1836.1, -, 35.3% elo% vs. v2, avg. reward: 11.448, 2.135 sec/game, 7.3 min. total, 551.4 MB
kerosene_tinderbox v4 261 games, 196553 moves, e=0.805, loss: 1860.2, -, 33.9% elo% vs. v2, avg. reward: 11.332, 2.106 sec/game, 7.3 min. total, 551.4 MB
kerosene_tinderbox v4 262 games, 197310 moves, e=0.805, loss: 2039.9, -, 32.5% elo% vs. v2, avg. reward: 11.309, 2.113 sec/game, 7.3 min. total, 551.6 MB
kerosene_tinderbox v4 263 games, 198074 moves, e=0.804, loss: 1831.9, -, 31.2% elo% vs. v2, avg. reward: 11.219, 2.134 sec/game, 7.4 min. total, 552.4 MB
kerosene_tinderbox v4 264 games, 198888 moves, e=0.803, loss: 1904.9, ., 31.9% elo% vs. v2, avg. reward: 11.276, 2.129 sec/game, 7.4 min. total, 554.6 MB
kerosene_tinderbox v4 265 games, 199727 moves, e=0.802, loss: 1781.8, +, 34.7% elo% vs. v2, avg. reward: 11.355, 2.146 sec/game, 7.4 min. total, 554.5 MB
kerosene_tinderbox v4 266 games, 200686 moves, e=0.801, loss: 1852.2, +, 37.5% elo% vs. v2, avg. reward: 11.443, 2.147 sec/game, 7.5 min. total, 556.3 MB
kerosene_tinderbox v4 267 games, 201532 moves, e=0.800, loss: 1813.3, -, 35.9% elo% vs. v2, avg. reward: 11.397, 2.163 sec/game, 7.5 min. total, 554.4 MB
kerosene_tinderbox v4 268 games, 202429 moves, e=0.800, loss: 1944.9, -, 34.4% elo% vs. v2, avg. reward: 11.252, 2.149 sec/game, 7.6 min. total, 554.4 MB
kerosene_tinderbox v4 269 games, 203164 moves, e=0.799, loss: 1939.2, +, 37.2% elo% vs. v2, avg. reward: 11.277, 2.155 sec/game, 7.6 min. total, 554.3 MB
kerosene_tinderbox v4 270 games, 204005 moves, e=0.798, loss: 1824.8, +, 39.9% elo% vs. v2, avg. reward: 11.317, 2.152 sec/game, 7.6 min. total, 556.3 MB
kerosene_tinderbox v4 271 games, 204867 moves, e=0.797, loss: 1835.2, +, 42.6% elo% vs. v2, avg. reward: 11.258, 2.164 sec/game, 7.7 min. total, 556.5 MB
kerosene_tinderbox v4 272 games, 205741 moves, e=0.796, loss: 1985.7, +, 45.2% elo% vs. v2, avg. reward: 11.264, 2.178 sec/game, 7.7 min. total, 558.0 MB
kerosene_tinderbox v4 273 games, 206704 moves, e=0.795, loss: 1877.6, +, 47.7% elo% vs. v2, avg. reward: 11.331, 2.191 sec/game, 7.7 min. total, 556.1 MB
kerosene_tinderbox v4 274 games, 207509 moves, e=0.795, loss: 1920.8, -, 45.5% elo% vs. v2, avg. reward: 11.318, 2.170 sec/game, 7.8 min. total, 555.7 MB
kerosene_tinderbox v4 275 games, 208314 moves, e=0.794, loss: 1883.0, ., 45.7% elo% vs. v2, avg. reward: 11.240, 2.184 sec/game, 7.8 min. total, 556.3 MB
kerosene_tinderbox v4 276 games, 209117 moves, e=0.793, loss: 1824.8, +, 48.2% elo% vs. v2, avg. reward: 11.286, 2.187 sec/game, 7.8 min. total, 556.5 MB
kerosene_tinderbox v4 277 games, 209864 moves, e=0.792, loss: 1862.9, -, 46.0% elo% vs. v2, avg. reward: 11.216, 2.171 sec/game, 7.9 min. total, 556.5 MB
kerosene_tinderbox v4 278 games, 210694 moves, e=0.791, loss: 1893.4, -, 43.9% elo% vs. v2, avg. reward: 11.341, 2.165 sec/game, 7.9 min. total, 556.5 MB
kerosene_tinderbox v4 279 games, 211529 moves, e=0.791, loss: 1902.0, -, 41.9% elo% vs. v2, avg. reward: 11.464, 2.143 sec/game, 7.9 min. total, 556.0 MB
kerosene_tinderbox v4 280 games, 212289 moves, e=0.790, loss: 1742.3, -, 40.0% elo% vs. v2, avg. reward: 11.445, 2.115 sec/game, 8.0 min. total, 557.7 MB
kerosene_tinderbox v4 281 games, 213160 moves, e=0.789, loss: 1841.2, -, 38.3% elo% vs. v2, avg. reward: 11.461, 2.150 sec/game, 8.0 min. total, 559.3 MB
kerosene_tinderbox v4 282 games, 214023 moves, e=0.788, loss: 1872.3, -, 36.6% elo% vs. v2, avg. reward: 11.561, 2.154 sec/game, 8.0 min. total, 559.6 MB
kerosene_tinderbox v4 283 games, 214936 moves, e=0.787, loss: 1751.4, -, 35.1% elo% vs. v2, avg. reward: 11.641, 2.163 sec/game, 8.1 min. total, 559.4 MB
kerosene_tinderbox v4 284 games, 215727 moves, e=0.786, loss: 1760.2, -, 33.6% elo% vs. v2, avg. reward: 11.614, 2.157 sec/game, 8.1 min. total, 559.5 MB
kerosene_tinderbox v4 285 games, 216437 moves, e=0.786, loss: 1849.1, -, 32.3% elo% vs. v2, avg. reward: 11.434, 2.129 sec/game, 8.1 min. total, 559.6 MB
kerosene_tinderbox v4 286 games, 217304 moves, e=0.785, loss: 2158.7, -, 31.0% elo% vs. v2, avg. reward: 11.492, 2.129 sec/game, 8.2 min. total, 559.5 MB
kerosene_tinderbox v4 287 games, 218172 moves, e=0.784, loss: 2082.2, +, 33.8% elo% vs. v2, avg. reward: 11.539, 2.122 sec/game, 8.2 min. total, 559.6 MB
kerosene_tinderbox v4 288 games, 219071 moves, e=0.783, loss: 1969.7, -, 32.4% elo% vs. v2, avg. reward: 11.605, 2.130 sec/game, 8.3 min. total, 559.7 MB
kerosene_tinderbox v4 289 games, 219885 moves, e=0.782, loss: 2014.6, -, 31.1% elo% vs. v2, avg. reward: 11.562, 2.141 sec/game, 8.3 min. total, 561.1 MB
kerosene_tinderbox v4 290 games, 220722 moves, e=0.781, loss: 2092.3, +, 33.9% elo% vs. v2, avg. reward: 11.616, 2.151 sec/game, 8.3 min. total, 562.7 MB
kerosene_tinderbox v4 291 games, 221544 moves, e=0.781, loss: 1924.6, -, 32.5% elo% vs. v2, avg. reward: 11.609, 2.141 sec/game, 8.4 min. total, 562.9 MB
kerosene_tinderbox v4 292 games, 222403 moves, e=0.780, loss: 1975.2, -, 31.2% elo% vs. v2, avg. reward: 11.563, 2.137 sec/game, 8.4 min. total, 562.5 MB
kerosene_tinderbox v4 293 games, 223333 moves, e=0.779, loss: 2076.4, -, 30.0% elo% vs. v2, avg. reward: 11.489, 2.119 sec/game, 8.4 min. total, 565.2 MB
kerosene_tinderbox v4 294 games, 224115 moves, e=0.778, loss: 2105.3, +, 32.7% elo% vs. v2, avg. reward: 11.384, 2.102 sec/game, 8.5 min. total, 563.3 MB
kerosene_tinderbox v4 295 games, 224878 moves, e=0.777, loss: 2184.4, -, 31.4% elo% vs. v2, avg. reward: 11.409, 2.096 sec/game, 8.5 min. total, 563.5 MB
kerosene_tinderbox v4 296 games, 225755 moves, e=0.777, loss: 2088.3, -, 30.2% elo% vs. v2, avg. reward: 11.541, 2.088 sec/game, 8.5 min. total, 553.0 MB
kerosene_tinderbox v4 297 games, 226625 moves, e=0.776, loss: 2171.8, -, 29.0% elo% vs. v2, avg. reward: 11.459, 3.335 sec/game, 9.0 min. total, 552.8 MB
