moocher_shakable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.0 MB
moocher_shakable v3 35 games, 25259 moves, e=0.975, loss: 8.6, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.810, 2.106 sec/game, 0.8 min. total, 464.8 MB
moocher_shakable v3 36 games, 26019 moves, e=0.974, loss: 8.0, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.792, 2.099 sec/game, 0.8 min. total, 466.3 MB
moocher_shakable v3 37 games, 26758 moves, e=0.974, loss: 7.3, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.782, 2.101 sec/game, 0.9 min. total, 468.0 MB
moocher_shakable v3 38 games, 27494 moves, e=0.973, loss: 7.1, +, 39.0% elo% vs. random_no_suicide, avg. reward: -9.769, 2.100 sec/game, 0.9 min. total, 470.6 MB
moocher_shakable v3 39 games, 28284 moves, e=0.972, loss: 7.1, -, 37.3% elo% vs. random_no_suicide, avg. reward: -9.741, 2.137 sec/game, 0.9 min. total, 470.8 MB
moocher_shakable v3 40 games, 29062 moves, e=0.971, loss: 6.8, -, 35.7% elo% vs. random_no_suicide, avg. reward: -9.718, 2.157 sec/game, 1.0 min. total, 470.8 MB
moocher_shakable v3 41 games, 29827 moves, e=0.970, loss: 6.7, -, 34.2% elo% vs. random_no_suicide, avg. reward: -9.701, 2.162 sec/game, 1.0 min. total, 470.9 MB
moocher_shakable v3 42 games, 30501 moves, e=0.970, loss: 6.9, +, 37.0% elo% vs. random_no_suicide, avg. reward: -9.722, 2.143 sec/game, 1.0 min. total, 470.9 MB
moocher_shakable v3 43 games, 31161 moves, e=0.969, loss: 6.6, ., 37.5% elo% vs. random_no_suicide, avg. reward: -9.743, 2.142 sec/game, 1.1 min. total, 470.8 MB
moocher_shakable v3 44 games, 31855 moves, e=0.968, loss: 6.8, -, 35.9% elo% vs. random_no_suicide, avg. reward: -9.759, 2.103 sec/game, 1.1 min. total, 471.9 MB
moocher_shakable v3 45 games, 32430 moves, e=0.968, loss: 7.0, -, 34.4% elo% vs. random_no_suicide, avg. reward: -9.824, 2.084 sec/game, 1.1 min. total, 472.3 MB
moocher_shakable v3 46 games, 33010 moves, e=0.967, loss: 6.8, ., 35.1% elo% vs. random_no_suicide, avg. reward: -9.866, 2.047 sec/game, 1.2 min. total, 472.9 MB
moocher_shakable v3 47 games, 33667 moves, e=0.967, loss: 6.6, -, 33.6% elo% vs. random_no_suicide, avg. reward: -9.885, 2.032 sec/game, 1.2 min. total, 474.3 MB
moocher_shakable v3 48 games, 34303 moves, e=0.966, loss: 6.4, ., 34.3% elo% vs. random_no_suicide, avg. reward: -9.908, 2.026 sec/game, 1.2 min. total, 474.3 MB
