moocher_shakable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.0 MB
moocher_shakable v11 733 games, 904484 moves, e=0.105, loss: 3.7, -, 20.1% elo% vs. simple_bot, avg. reward: -2.201, 9.655 sec/game, 50.6 min. total, 655.8 MB
moocher_shakable v11 734 games, 908117 moves, e=0.101, loss: 2.8, -, 19.5% elo% vs. simple_bot, avg. reward: -2.182, 9.709 sec/game, 50.8 min. total, 656.1 MB
moocher_shakable v11 735 games, 911296 moves, e=0.098, loss: 2.8, -, 19.0% elo% vs. simple_bot, avg. reward: -2.170, 9.742 sec/game, 50.9 min. total, 656.7 MB
moocher_shakable v11 736 games, 914438 moves, e=0.095, loss: 2.9, -, 18.4% elo% vs. simple_bot, avg. reward: -2.157, 9.829 sec/game, 51.1 min. total, 660.1 MB
moocher_shakable v11 737 games, 917758 moves, e=0.091, loss: 2.8, -, 17.9% elo% vs. simple_bot, avg. reward: -2.145, 9.901 sec/game, 51.3 min. total, 658.2 MB
moocher_shakable v11 738 games, 921543 moves, e=0.088, loss: 2.2, -, 17.5% elo% vs. simple_bot, avg. reward: -2.122, 10.119 sec/game, 51.5 min. total, 658.0 MB
moocher_shakable v11 739 games, 925213 moves, e=0.084, loss: 2.0, -, 17.0% elo% vs. simple_bot, avg. reward: -2.107, 10.222 sec/game, 51.7 min. total, 658.4 MB
moocher_shakable v11 740 games, 928977 moves, e=0.080, loss: 1.9, -, 16.6% elo% vs. simple_bot, avg. reward: -2.089, 10.279 sec/game, 51.9 min. total, 659.5 MB
moocher_shakable v11 741 games, 932681 moves, e=0.077, loss: 1.5, -, 16.1% elo% vs. simple_bot, avg. reward: -2.064, 10.316 sec/game, 52.0 min. total, 660.4 MB
moocher_shakable v11 742 games, 936127 moves, e=0.073, loss: 1.7, -, 15.7% elo% vs. simple_bot, avg. reward: -2.039, 10.359 sec/game, 52.2 min. total, 661.5 MB
moocher_shakable v11 743 games, 939348 moves, e=0.070, loss: 2.0, -, 15.4% elo% vs. simple_bot, avg. reward: -2.017, 10.324 sec/game, 52.4 min. total, 663.7 MB
moocher_shakable v11 744 games, 942998 moves, e=0.066, loss: 2.0, -, 15.0% elo% vs. simple_bot, avg. reward: -1.998, 10.395 sec/game, 52.6 min. total, 664.3 MB
moocher_shakable v11 745 games, 946324 moves, e=0.063, loss: 2.3, -, 14.6% elo% vs. simple_bot, avg. reward: -1.971, 10.473 sec/game, 52.8 min. total, 664.7 MB
moocher_shakable v11 746 games, 949947 moves, e=0.060, loss: 2.2, -, 14.3% elo% vs. simple_bot, avg. reward: -1.951, 10.573 sec/game, 53.0 min. total, 666.0 MB
moocher_shakable v11 747 games, 953445 moves, e=0.056, loss: 2.2, +, 16.4% elo% vs. simple_bot, avg. reward: -1.931, 10.622 sec/game, 53.1 min. total, 666.9 MB
moocher_shakable v11 748 games, 956866 moves, e=0.053, loss: 2.1, -, 16.0% elo% vs. simple_bot, avg. reward: -1.911, 10.703 sec/game, 53.3 min. total, 666.7 MB
moocher_shakable v11 749 games, 960628 moves, e=0.049, loss: 1.7, -, 15.6% elo% vs. simple_bot, avg. reward: -1.888, 10.791 sec/game, 53.5 min. total, 666.3 MB
moocher_shakable v11 750 games, 964006 moves, e=0.046, loss: 2.1, -, 15.2% elo% vs. simple_bot, avg. reward: -1.871, 10.836 sec/game, 53.7 min. total, 667.4 MB
moocher_shakable v11 751 games, 967789 moves, e=0.042, loss: 2.0, ., 16.0% elo% vs. simple_bot, avg. reward: -1.842, 10.947 sec/game, 53.9 min. total, 667.2 MB
moocher_shakable v11 752 games, 971977 moves, e=0.038, loss: 1.8, -, 15.6% elo% vs. simple_bot, avg. reward: -1.816, 11.108 sec/game, 54.1 min. total, 666.6 MB
moocher_shakable v11 753 games, 975638 moves, e=0.034, loss: 2.0, -, 15.3% elo% vs. simple_bot, avg. reward: -1.792, 11.175 sec/game, 54.3 min. total, 667.2 MB
moocher_shakable v11 754 games, 979745 moves, e=0.030, loss: 2.7, -, 14.9% elo% vs. simple_bot, avg. reward: -1.765, 11.239 sec/game, 54.5 min. total, 666.4 MB
moocher_shakable v11 755 games, 983814 moves, e=0.026, loss: 2.4, -, 14.6% elo% vs. simple_bot, avg. reward: -1.744, 11.357 sec/game, 54.7 min. total, 666.6 MB
moocher_shakable v11 756 games, 987706 moves, e=0.022, loss: 2.5, -, 14.2% elo% vs. simple_bot, avg. reward: -1.725, 11.431 sec/game, 54.9 min. total, 667.5 MB
moocher_shakable v11 757 games, 991628 moves, e=0.018, loss: 2.5, -, 13.9% elo% vs. simple_bot, avg. reward: -1.701, 11.527 sec/game, 55.1 min. total, 668.3 MB
moocher_shakable v11 758 games, 996297 moves, e=0.014, loss: 1.5, -, 13.6% elo% vs. simple_bot, avg. reward: -1.683, 11.612 sec/game, 55.3 min. total, 668.9 MB
moocher_shakable v11 759 games, 1000558 moves, e=0.010, loss: 1.3, +, 15.6% elo% vs. simple_bot, avg. reward: -1.666, 11.666 sec/game, 55.5 min. total, 670.4 MB
moocher_shakable v11 760 games, 1004737 moves, e=0.010, loss: 1.6, -, 15.2% elo% vs. simple_bot, avg. reward: -1.649, 11.723 sec/game, 55.8 min. total, 670.3 MB
moocher_shakable v11 761 games, 1008875 moves, e=0.010, loss: 1.6, -, 14.9% elo% vs. simple_bot, avg. reward: -1.630, 11.756 sec/game, 56.0 min. total, 669.6 MB
moocher_shakable v11 762 games, 1012744 moves, e=0.010, loss: 2.1, -, 14.5% elo% vs. simple_bot, avg. reward: -1.611, 11.836 sec/game, 56.2 min. total, 670.1 MB
moocher_shakable v11 763 games, 1016625 moves, e=0.010, loss: 2.1, ., 15.3% elo% vs. simple_bot, avg. reward: -1.588, 11.918 sec/game, 56.4 min. total, 671.2 MB
moocher_shakable v11 764 games, 1020988 moves, e=0.010, loss: 2.1, -, 15.0% elo% vs. simple_bot, avg. reward: -1.566, 12.006 sec/game, 56.6 min. total, 672.9 MB
moocher_shakable v11 765 games, 1025258 moves, e=0.010, loss: 1.6, +, 17.1% elo% vs. simple_bot, avg. reward: -1.541, 12.129 sec/game, 56.8 min. total, 674.2 MB
moocher_shakable v11 766 games, 1029698 moves, e=0.010, loss: 1.7, -, 16.6% elo% vs. simple_bot, avg. reward: -1.524, 12.238 sec/game, 57.0 min. total, 675.3 MB
moocher_shakable v11 767 games, 1033466 moves, e=0.010, loss: 1.7, -, 16.2% elo% vs. simple_bot, avg. reward: -1.496, 12.237 sec/game, 57.2 min. total, 675.6 MB
moocher_shakable v11 768 games, 1037755 moves, e=0.010, loss: 1.5, -, 15.8% elo% vs. simple_bot, avg. reward: -1.475, 12.346 sec/game, 57.4 min. total, 678.8 MB
moocher_shakable v11 769 games, 1041873 moves, e=0.010, loss: 1.8, -, 15.4% elo% vs. simple_bot, avg. reward: -1.441, 12.393 sec/game, 57.6 min. total, 680.1 MB
moocher_shakable v11 770 games, 1045954 moves, e=0.010, loss: 1.9, -, 15.1% elo% vs. simple_bot, avg. reward: -1.424, 12.470 sec/game, 57.8 min. total, 680.2 MB
moocher_shakable v11 771 games, 1049650 moves, e=0.010, loss: 2.3, -, 14.7% elo% vs. simple_bot, avg. reward: -1.402, 12.464 sec/game, 58.0 min. total, 679.5 MB
moocher_shakable v11 772 games, 1053297 moves, e=0.010, loss: 2.1, +, 16.8% elo% vs. simple_bot, avg. reward: -1.379, 12.365 sec/game, 58.2 min. total, 679.9 MB
moocher_shakable v11 773 games, 1057835 moves, e=0.010, loss: 2.0, -, 16.4% elo% vs. simple_bot, avg. reward: -1.356, 12.471 sec/game, 58.5 min. total, 679.8 MB
moocher_shakable v11 774 games, 1061576 moves, e=0.010, loss: 1.7, -, 16.0% elo% vs. simple_bot, avg. reward: -1.336, 12.419 sec/game, 58.6 min. total, 681.6 MB
moocher_shakable v11 775 games, 1066052 moves, e=0.010, loss: 1.7, -, 15.6% elo% vs. simple_bot, avg. reward: -1.316, 12.480 sec/game, 58.9 min. total, 681.2 MB
moocher_shakable v11 776 games, 1069921 moves, e=0.010, loss: 1.8, +, 17.7% elo% vs. simple_bot, avg. reward: -1.298, 12.475 sec/game, 59.1 min. total, 680.9 MB
moocher_shakable v11 777 games, 1074189 moves, e=0.010, loss: 1.9, +, 20.0% elo% vs. simple_bot, avg. reward: -1.278, 12.520 sec/game, 59.3 min. total, 682.9 MB
moocher_shakable v11 778 games, 1078599 moves, e=0.010, loss: 1.8, +, 22.5% elo% vs. simple_bot, avg. reward: -1.256, 12.495 sec/game, 59.5 min. total, 683.3 MB
moocher_shakable v11 779 games, 1082432 moves, e=0.010, loss: 2.1, +, 25.1% elo% vs. simple_bot, avg. reward: -1.241, 12.440 sec/game, 59.7 min. total, 683.9 MB
moocher_shakable v11 780 games, 1086854 moves, e=0.010, loss: 1.7, +, 27.8% elo% vs. simple_bot, avg. reward: -1.219, 12.495 sec/game, 59.9 min. total, 683.8 MB
moocher_shakable v11 781 games, 1090630 moves, e=0.010, loss: 1.7, +, 30.5% elo% vs. simple_bot, avg. reward: -1.203, 12.450 sec/game, 60.1 min. total, 684.7 MB
moocher_shakable v11 782 games, 1094646 moves, e=0.010, loss: 1.9, +, 33.3% elo% vs. simple_bot, avg. reward: -1.184, 12.441 sec/game, 60.3 min. total, 686.4 MB
moocher_shakable v11 783 games, 1099035 moves, e=0.010, loss: 1.5, +, 36.1% elo% vs. simple_bot, avg. reward: -1.164, 12.538 sec/game, 60.5 min. total, 688.6 MB
moocher_shakable v11 784 games, 1103566 moves, e=0.010, loss: 1.3, +, 38.8% elo% vs. simple_bot, avg. reward: -1.142, 12.564 sec/game, 60.8 min. total, 687.8 MB
moocher_shakable v11 785 games, 1108099 moves, e=0.010, loss: 1.2, +, 41.6% elo% vs. simple_bot, avg. reward: -1.123, 12.607 sec/game, 61.0 min. total, 687.8 MB
moocher_shakable v11 786 games, 1112438 moves, e=0.010, loss: 1.3, -, 39.7% elo% vs. simple_bot, avg. reward: -1.104, 12.566 sec/game, 61.2 min. total, 687.6 MB
moocher_shakable v11 787 games, 1116515 moves, e=0.010, loss: 2.0, -, 38.0% elo% vs. simple_bot, avg. reward: -1.091, 12.625 sec/game, 61.4 min. total, 688.2 MB
moocher_shakable v11 788 games, 1120721 moves, e=0.010, loss: 2.1, +, 40.7% elo% vs. simple_bot, avg. reward: -1.075, 12.615 sec/game, 61.6 min. total, 688.8 MB
moocher_shakable v11 789 games, 1124381 moves, e=0.010, loss: 2.6, +, 43.4% elo% vs. simple_bot, avg. reward: -1.058, 12.566 sec/game, 61.8 min. total, 689.5 MB
moocher_shakable v11 790 games, 1128778 moves, e=0.010, loss: 2.0, +, 45.9% elo% vs. simple_bot, avg. reward: -1.036, 12.614 sec/game, 62.1 min. total, 689.9 MB
moocher_shakable v11 791 games, 1133186 moves, e=0.010, loss: 1.8, +, 48.4% elo% vs. simple_bot, avg. reward: -1.014, 12.733 sec/game, 62.3 min. total, 690.5 MB
moocher_shakable v11 792 games, 1137352 moves, e=0.010, loss: 1.5, +, 50.8% elo% vs. simple_bot, avg. reward: -0.995, 12.814 sec/game, 62.5 min. total, 691.1 MB
moocher_shakable v11 793 games, 1141692 moves, e=0.010, loss: 1.5, +, 53.1% elo% vs. simple_bot, avg. reward: -0.978, 12.780 sec/game, 62.7 min. total, 690.4 MB
moocher_shakable v11 794 games, 1145825 moves, e=0.010, loss: 1.6, +, 55.2% elo% vs. simple_bot, avg. reward: -0.961, 12.827 sec/game, 62.9 min. total, 691.3 MB
moocher_shakable v11 795 games, 1150237 moves, e=0.010, loss: 1.4, +, 57.2% elo% vs. simple_bot, avg. reward: -0.944, 12.827 sec/game, 63.1 min. total, 694.1 MB
moocher_shakable v11 796 games, 1154597 moves, e=0.010, loss: 1.2, -, 54.6% elo% vs. simple_bot, avg. reward: -0.929, 12.905 sec/game, 63.4 min. total, 694.5 MB
moocher_shakable v11 797 games, 1158463 moves, e=0.010, loss: 1.7, -, 52.1% elo% vs. simple_bot, avg. reward: -0.916, 12.848 sec/game, 63.6 min. total, 695.0 MB
moocher_shakable v11 798 games, 1162971 moves, e=0.010, loss: 1.5, +, 54.3% elo% vs. simple_bot, avg. reward: -0.900, 12.867 sec/game, 63.8 min. total, 697.6 MB
moocher_shakable v11 799 games, 1167126 moves, e=0.010, loss: 1.5, +, 56.4% elo% vs. simple_bot, avg. reward: -0.887, 12.951 sec/game, 64.0 min. total, 696.7 MB
moocher_shakable v11 800 games, 1171279 moves, e=0.010, loss: 1.6, -, 53.8% elo% vs. simple_bot, avg. reward: -0.867, 12.891 sec/game, 64.2 min. total, 696.9 MB
moocher_shakable v12 801 games, 1175617 moves, e=0.010, loss: 1.5, -, 47.7% elo% vs. simple_bot, avg. reward: -0.853, 12.986 sec/game, 64.4 min. total, 698.5 MB
moocher_shakable v12 802 games, 1179568 moves, e=0.010, loss: 1.9, +, 50.1% elo% vs. simple_bot, avg. reward: -0.837, 12.981 sec/game, 64.6 min. total, 698.5 MB
moocher_shakable v12 803 games, 1183761 moves, e=0.010, loss: 2.0, +, 52.4% elo% vs. simple_bot, avg. reward: -0.824, 12.934 sec/game, 64.9 min. total, 698.9 MB
moocher_shakable v12 804 games, 1187892 moves, e=0.010, loss: 1.8, +, 54.6% elo% vs. simple_bot, avg. reward: -0.808, 12.871 sec/game, 65.1 min. total, 698.4 MB
moocher_shakable v12 805 games, 1192485 moves, e=0.010, loss: 2.2, ., 54.4% elo% vs. simple_bot, avg. reward: -0.793, 12.874 sec/game, 65.3 min. total, 699.1 MB
moocher_shakable v12 806 games, 1197235 moves, e=0.010, loss: 1.4, +, 56.4% elo% vs. simple_bot, avg. reward: -0.781, 12.959 sec/game, 65.5 min. total, 701.5 MB
moocher_shakable v12 807 games, 1201737 moves, e=0.010, loss: 1.3, +, 58.4% elo% vs. simple_bot, avg. reward: -0.767, 13.029 sec/game, 65.8 min. total, 702.1 MB
moocher_shakable v12 808 games, 1206285 moves, e=0.010, loss: 1.1, +, 60.3% elo% vs. simple_bot, avg. reward: -0.751, 13.080 sec/game, 66.0 min. total, 701.8 MB
moocher_shakable v12 809 games, 1210651 moves, e=0.010, loss: 1.4, -, 57.6% elo% vs. simple_bot, avg. reward: -0.737, 13.175 sec/game, 66.2 min. total, 703.7 MB
moocher_shakable v12 810 games, 1214833 moves, e=0.010, loss: 1.9, +, 59.5% elo% vs. simple_bot, avg. reward: -0.726, 13.147 sec/game, 66.4 min. total, 702.7 MB
moocher_shakable v12 811 games, 1219258 moves, e=0.010, loss: 1.7, -, 56.8% elo% vs. simple_bot, avg. reward: -0.709, 13.128 sec/game, 66.7 min. total, 702.8 MB
moocher_shakable v12 812 games, 1223692 moves, e=0.010, loss: 1.8, -, 54.2% elo% vs. simple_bot, avg. reward: -0.698, 13.169 sec/game, 66.9 min. total, 704.1 MB
moocher_shakable v12 813 games, 1227942 moves, e=0.010, loss: 1.8, +, 56.3% elo% vs. simple_bot, avg. reward: -0.688, 13.146 sec/game, 67.1 min. total, 704.6 MB
moocher_shakable v12 814 games, 1232414 moves, e=0.010, loss: 1.5, +, 58.3% elo% vs. simple_bot, avg. reward: -0.681, 13.216 sec/game, 67.3 min. total, 705.8 MB
moocher_shakable v12 815 games, 1236810 moves, e=0.010, loss: 1.7, -, 55.6% elo% vs. simple_bot, avg. reward: -0.669, 13.203 sec/game, 67.5 min. total, 705.2 MB
moocher_shakable v12 816 games, 1241022 moves, e=0.010, loss: 1.7, +, 57.6% elo% vs. simple_bot, avg. reward: -0.654, 13.189 sec/game, 67.8 min. total, 705.3 MB
moocher_shakable v12 817 games, 1245653 moves, e=0.010, loss: 1.6, +, 59.5% elo% vs. simple_bot, avg. reward: -0.641, 13.300 sec/game, 68.0 min. total, 705.8 MB
moocher_shakable v12 818 games, 1249870 moves, e=0.010, loss: 1.7, +, 61.3% elo% vs. simple_bot, avg. reward: -0.625, 13.261 sec/game, 68.2 min. total, 708.4 MB
moocher_shakable v12 819 games, 1254301 moves, e=0.010, loss: 1.9, +, 63.0% elo% vs. simple_bot, avg. reward: -0.616, 13.272 sec/game, 68.4 min. total, 708.9 MB
moocher_shakable v12 820 games, 1258978 moves, e=0.010, loss: 1.3, +, 64.6% elo% vs. simple_bot, avg. reward: -0.608, 13.355 sec/game, 68.7 min. total, 709.2 MB
moocher_shakable v12 821 games, 1263293 moves, e=0.010, loss: 1.4, -, 61.8% elo% vs. simple_bot, avg. reward: -0.601, 13.351 sec/game, 68.9 min. total, 710.3 MB
moocher_shakable v12 822 games, 1267730 moves, e=0.010, loss: 1.6, -, 59.1% elo% vs. simple_bot, avg. reward: -0.591, 13.442 sec/game, 69.1 min. total, 710.1 MB
moocher_shakable v12 823 games, 1272335 moves, e=0.010, loss: 1.5, +, 60.9% elo% vs. simple_bot, avg. reward: -0.582, 13.502 sec/game, 69.4 min. total, 710.9 MB
moocher_shakable v12 824 games, 1276969 moves, e=0.010, loss: 1.3, +, 62.6% elo% vs. simple_bot, avg. reward: -0.572, 13.580 sec/game, 69.6 min. total, 712.0 MB
moocher_shakable v12 825 games, 1281446 moves, e=0.010, loss: 1.6, +, 64.2% elo% vs. simple_bot, avg. reward: -0.561, 13.568 sec/game, 69.8 min. total, 711.9 MB
moocher_shakable v12 826 games, 1285831 moves, e=0.010, loss: 1.4, +, 65.7% elo% vs. simple_bot, avg. reward: -0.549, 13.507 sec/game, 70.0 min. total, 713.5 MB
moocher_shakable v12 827 games, 1290453 moves, e=0.010, loss: 1.2, +, 67.1% elo% vs. simple_bot, avg. reward: -0.538, 13.517 sec/game, 70.3 min. total, 714.1 MB
moocher_shakable v12 828 games, 1295138 moves, e=0.010, loss: 1.3, +, 68.4% elo% vs. simple_bot, avg. reward: -0.527, 13.536 sec/game, 70.5 min. total, 714.3 MB
moocher_shakable v12 829 games, 1299452 moves, e=0.010, loss: 1.8, +, 69.7% elo% vs. simple_bot, avg. reward: -0.518, 13.513 sec/game, 70.7 min. total, 715.8 MB
moocher_shakable v12 830 games, 1303949 moves, e=0.010, loss: 1.8, +, 70.8% elo% vs. simple_bot, avg. reward: -0.507, 13.584 sec/game, 71.0 min. total, 715.4 MB
moocher_shakable v13 831 games, 1308017 moves, e=0.010, loss: 1.8, +, 54.5% elo% vs. terrible_bot, avg. reward: -0.497, 13.506 sec/game, 71.2 min. total, 748.5 MB
moocher_shakable v13 832 games, 1312295 moves, e=0.010, loss: 1.6, +, 56.6% elo% vs. terrible_bot, avg. reward: -0.487, 13.498 sec/game, 71.4 min. total, 751.8 MB
moocher_shakable v13 833 games, 1316741 moves, e=0.010, loss: 1.8, +, 58.5% elo% vs. terrible_bot, avg. reward: -0.478, 13.527 sec/game, 71.6 min. total, 752.0 MB
moocher_shakable v13 834 games, 1321305 moves, e=0.010, loss: 1.5, -, 55.9% elo% vs. terrible_bot, avg. reward: -0.472, 13.507 sec/game, 71.8 min. total, 752.2 MB
moocher_shakable v13 835 games, 1325669 moves, e=0.010, loss: 1.2, +, 57.9% elo% vs. terrible_bot, avg. reward: -0.464, 13.497 sec/game, 72.0 min. total, 753.1 MB
moocher_shakable v13 836 games, 1330058 moves, e=0.010, loss: 1.2, +, 59.7% elo% vs. terrible_bot, avg. reward: -0.456, 13.521 sec/game, 72.3 min. total, 753.1 MB
moocher_shakable v13 837 games, 1334170 moves, e=0.010, loss: 1.7, +, 61.5% elo% vs. terrible_bot, avg. reward: -0.450, 13.431 sec/game, 72.5 min. total, 753.3 MB
moocher_shakable v13 838 games, 1338449 moves, e=0.010, loss: 1.9, +, 63.2% elo% vs. terrible_bot, avg. reward: -0.447, 13.424 sec/game, 72.7 min. total, 753.8 MB
moocher_shakable v13 839 games, 1342937 moves, e=0.010, loss: 1.7, -, 60.4% elo% vs. terrible_bot, avg. reward: -0.442, 13.420 sec/game, 72.9 min. total, 754.1 MB
moocher_shakable v13 840 games, 1347520 moves, e=0.010, loss: 1.8, +, 62.2% elo% vs. terrible_bot, avg. reward: -0.437, 13.399 sec/game, 73.1 min. total, 756.3 MB
moocher_shakable v13 841 games, 1352061 moves, e=0.010, loss: 1.6, +, 63.8% elo% vs. terrible_bot, avg. reward: -0.432, 13.411 sec/game, 73.4 min. total, 756.3 MB
moocher_shakable v13 842 games, 1356230 moves, e=0.010, loss: 1.6, +, 65.3% elo% vs. terrible_bot, avg. reward: -0.426, 13.350 sec/game, 73.6 min. total, 756.9 MB
moocher_shakable v13 843 games, 1360647 moves, e=0.010, loss: 2.0, +, 66.7% elo% vs. terrible_bot, avg. reward: -0.421, 13.327 sec/game, 73.8 min. total, 759.4 MB
moocher_shakable v13 844 games, 1365394 moves, e=0.010, loss: 1.3, -, 64.0% elo% vs. terrible_bot, avg. reward: -0.416, 13.337 sec/game, 74.0 min. total, 762.8 MB
moocher_shakable v13 845 games, 1370111 moves, e=0.010, loss: 1.1, +, 65.5% elo% vs. terrible_bot, avg. reward: -0.409, 13.357 sec/game, 74.3 min. total, 760.7 MB
moocher_shakable v13 846 games, 1374615 moves, e=0.010, loss: 1.4, +, 66.9% elo% vs. terrible_bot, avg. reward: -0.405, 13.393 sec/game, 74.5 min. total, 759.8 MB
moocher_shakable v13 847 games, 1378946 moves, e=0.010, loss: 1.8, -, 64.1% elo% vs. terrible_bot, avg. reward: -0.403, 13.350 sec/game, 74.7 min. total, 760.1 MB
moocher_shakable v13 848 games, 1383536 moves, e=0.010, loss: 1.6, +, 65.6% elo% vs. terrible_bot, avg. reward: -0.399, 13.313 sec/game, 75.0 min. total, 761.1 MB
moocher_shakable v13 849 games, 1387621 moves, e=0.010, loss: 1.6, +, 67.0% elo% vs. terrible_bot, avg. reward: -0.397, 13.306 sec/game, 75.2 min. total, 762.5 MB
moocher_shakable v13 850 games, 1392146 moves, e=0.010, loss: 1.2, +, 68.4% elo% vs. terrible_bot, avg. reward: -0.391, 13.294 sec/game, 75.4 min. total, 763.1 MB
moocher_shakable v13 851 games, 1396744 moves, e=0.010, loss: 1.5, +, 69.6% elo% vs. terrible_bot, avg. reward: -0.389, 13.397 sec/game, 75.6 min. total, 763.2 MB
moocher_shakable v13 852 games, 1401277 moves, e=0.010, loss: 1.2, +, 70.8% elo% vs. terrible_bot, avg. reward: -0.388, 13.451 sec/game, 75.9 min. total, 764.1 MB
moocher_shakable v14 853 games, 1405990 moves, e=0.010, loss: 1.4, +, 54.5% elo% vs. supershibe, avg. reward: -0.385, 13.537 sec/game, 76.1 min. total, 767.2 MB
moocher_shakable v14 854 games, 1410258 moves, e=0.010, loss: 1.8, +, 56.6% elo% vs. supershibe, avg. reward: -0.384, 13.607 sec/game, 76.4 min. total, 768.0 MB
moocher_shakable v14 855 games, 1414744 moves, e=0.010, loss: 1.9, +, 58.5% elo% vs. supershibe, avg. reward: -0.383, 13.713 sec/game, 76.6 min. total, 768.2 MB
moocher_shakable v14 856 games, 1418899 moves, e=0.010, loss: 1.9, +, 60.4% elo% vs. supershibe, avg. reward: -0.382, 13.684 sec/game, 76.8 min. total, 768.9 MB
moocher_shakable v14 857 games, 1422952 moves, e=0.010, loss: 2.5, +, 62.1% elo% vs. supershibe, avg. reward: -0.383, 13.671 sec/game, 77.0 min. total, 760.0 MB
moocher_shakable v14 858 games, 1426933 moves, e=0.010, loss: 2.1, -, 59.4% elo% vs. supershibe, avg. reward: -0.385, 13.643 sec/game, 77.2 min. total, 760.0 MB
moocher_shakable v14 859 games, 1431213 moves, e=0.010, loss: 1.7, -, 56.7% elo% vs. supershibe, avg. reward: -0.385, 13.649 sec/game, 77.5 min. total, 761.5 MB
moocher_shakable v14 860 games, 1435136 moves, e=0.010, loss: 1.5, -, 54.1% elo% vs. supershibe, avg. reward: -0.386, 13.561 sec/game, 77.7 min. total, 760.6 MB
moocher_shakable v14 861 games, 1439154 moves, e=0.010, loss: 1.5, -, 51.6% elo% vs. supershibe, avg. reward: -0.387, 13.493 sec/game, 77.9 min. total, 761.3 MB
moocher_shakable v14 862 games, 1443242 moves, e=0.010, loss: 1.9, -, 49.3% elo% vs. supershibe, avg. reward: -0.386, 13.495 sec/game, 78.1 min. total, 761.5 MB
moocher_shakable v14 863 games, 1447422 moves, e=0.010, loss: 2.0, +, 51.6% elo% vs. supershibe, avg. reward: -0.386, 13.456 sec/game, 78.3 min. total, 762.0 MB
moocher_shakable v14 864 games, 1451345 moves, e=0.010, loss: 2.1, +, 53.8% elo% vs. supershibe, avg. reward: -0.386, 13.348 sec/game, 78.5 min. total, 762.3 MB
moocher_shakable v14 865 games, 1455443 moves, e=0.010, loss: 1.9, +, 55.9% elo% vs. supershibe, avg. reward: -0.386, 13.270 sec/game, 78.7 min. total, 763.4 MB
moocher_shakable v14 866 games, 1459505 moves, e=0.010, loss: 2.0, -, 53.4% elo% vs. supershibe, avg. reward: -0.386, 13.192 sec/game, 78.9 min. total, 765.8 MB
moocher_shakable v14 867 games, 1463677 moves, e=0.010, loss: 2.2, +, 55.5% elo% vs. supershibe, avg. reward: -0.386, 13.166 sec/game, 79.1 min. total, 765.8 MB
moocher_shakable v14 868 games, 1467695 moves, e=0.010, loss: 1.8, -, 53.0% elo% vs. supershibe, avg. reward: -0.387, 13.124 sec/game, 79.3 min. total, 765.8 MB
moocher_shakable v14 869 games, 1472000 moves, e=0.010, loss: 1.7, +, 55.1% elo% vs. supershibe, avg. reward: -0.386, 13.149 sec/game, 79.5 min. total, 766.4 MB
moocher_shakable v14 870 games, 1476418 moves, e=0.010, loss: 1.4, -, 52.6% elo% vs. supershibe, avg. reward: -0.383, 13.135 sec/game, 79.8 min. total, 766.0 MB
moocher_shakable v14 871 games, 1480706 moves, e=0.010, loss: 1.4, +, 54.8% elo% vs. supershibe, avg. reward: -0.381, 13.100 sec/game, 80.0 min. total, 766.2 MB
moocher_shakable v14 872 games, 1485083 moves, e=0.010, loss: 1.5, -, 52.3% elo% vs. supershibe, avg. reward: -0.380, 13.049 sec/game, 80.2 min. total, 767.2 MB
moocher_shakable v14 873 games, 1489394 moves, e=0.010, loss: 1.5, -, 49.8% elo% vs. supershibe, avg. reward: -0.380, 12.940 sec/game, 80.4 min. total, 767.1 MB
moocher_shakable v14 874 games, 1493675 moves, e=0.010, loss: 1.8, +, 52.2% elo% vs. supershibe, avg. reward: -0.379, 12.861 sec/game, 80.7 min. total, 768.5 MB
moocher_shakable v14 875 games, 1498134 moves, e=0.010, loss: 2.0, +, 54.4% elo% vs. supershibe, avg. reward: -0.379, 12.780 sec/game, 80.9 min. total, 769.2 MB
moocher_shakable v14 876 games, 1502447 moves, e=0.010, loss: 1.6, +, 56.4% elo% vs. supershibe, avg. reward: -0.377, 12.822 sec/game, 81.1 min. total, 769.1 MB
moocher_shakable v14 877 games, 1506835 moves, e=0.010, loss: 1.7, +, 58.4% elo% vs. supershibe, avg. reward: -0.377, 12.930 sec/game, 81.3 min. total, 770.6 MB
moocher_shakable v14 878 games, 1511149 moves, e=0.010, loss: 1.8, +, 60.2% elo% vs. supershibe, avg. reward: -0.377, 12.972 sec/game, 81.6 min. total, 770.4 MB
moocher_shakable v14 879 games, 1515423 moves, e=0.010, loss: 2.0, -, 57.6% elo% vs. supershibe, avg. reward: -0.378, 12.954 sec/game, 81.8 min. total, 771.2 MB
moocher_shakable v14 880 games, 1519577 moves, e=0.010, loss: 1.8, +, 59.5% elo% vs. supershibe, avg. reward: -0.378, 12.993 sec/game, 82.0 min. total, 772.9 MB
moocher_shakable v14 881 games, 1523619 moves, e=0.010, loss: 2.2, +, 61.2% elo% vs. supershibe, avg. reward: -0.378, 13.013 sec/game, 82.2 min. total, 773.7 MB
moocher_shakable v14 882 games, 1528157 moves, e=0.010, loss: 1.7, +, 62.9% elo% vs. supershibe, avg. reward: -0.377, 13.070 sec/game, 82.4 min. total, 773.4 MB
