marrow_each v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 319.3 MB
marrow_each v18 1289 games, 3126308 moves, e=0.010, loss: 265.1, -, 5.3% elo% vs. v16, avg. reward: -1.028, 7.361 sec/game, 160.1 min. total, 788.6 MB
marrow_each v18 1290 games, 3128630 moves, e=0.010, loss: 265.8, -, 5.3% elo% vs. v16, avg. reward: -1.042, 7.338 sec/game, 160.2 min. total, 789.9 MB
marrow_each v18 1291 games, 3131089 moves, e=0.010, loss: 264.9, -, 5.2% elo% vs. v16, avg. reward: -1.054, 7.342 sec/game, 160.3 min. total, 794.6 MB
marrow_each v18 1292 games, 3133550 moves, e=0.010, loss: 286.0, -, 5.2% elo% vs. v16, avg. reward: -1.064, 7.364 sec/game, 160.4 min. total, 793.3 MB
marrow_each v18 1293 games, 3135925 moves, e=0.010, loss: 308.6, -, 5.1% elo% vs. v16, avg. reward: -1.074, 7.365 sec/game, 160.6 min. total, 794.1 MB
marrow_each v18 1294 games, 3138260 moves, e=0.010, loss: 368.8, -, 5.1% elo% vs. v16, avg. reward: -1.087, 7.368 sec/game, 160.7 min. total, 796.2 MB
marrow_each v18 1295 games, 3140582 moves, e=0.010, loss: 405.7, -, 5.0% elo% vs. v16, avg. reward: -1.101, 7.362 sec/game, 160.8 min. total, 793.9 MB
marrow_each v18 1296 games, 3142966 moves, e=0.010, loss: 454.9, -, 5.0% elo% vs. v16, avg. reward: -1.113, 7.363 sec/game, 160.9 min. total, 793.2 MB
marrow_each v18 1297 games, 3145464 moves, e=0.010, loss: 464.0, -, 4.9% elo% vs. v16, avg. reward: -1.124, 7.369 sec/game, 161.1 min. total, 794.9 MB
marrow_each v18 1298 games, 3147791 moves, e=0.010, loss: 477.6, -, 4.9% elo% vs. v16, avg. reward: -1.135, 7.387 sec/game, 161.2 min. total, 797.0 MB
marrow_each v18 1299 games, 3150177 moves, e=0.010, loss: 469.8, -, 4.9% elo% vs. v16, avg. reward: -1.147, 7.377 sec/game, 161.3 min. total, 770.5 MB
marrow_each v18 1300 games, 3152556 moves, e=0.010, loss: 501.1, -, 4.8% elo% vs. v16, avg. reward: -1.159, 7.384 sec/game, 161.4 min. total, 770.7 MB
marrow_each v18 1301 games, 3154836 moves, e=0.010, loss: 563.9, -, 4.8% elo% vs. v16, avg. reward: -1.173, 7.359 sec/game, 161.6 min. total, 771.5 MB
marrow_each v18 1302 games, 3157143 moves, e=0.010, loss: 616.5, -, 4.7% elo% vs. v16, avg. reward: -1.186, 7.359 sec/game, 161.7 min. total, 770.1 MB
marrow_each v18 1303 games, 3159523 moves, e=0.010, loss: 675.5, -, 4.7% elo% vs. v16, avg. reward: -1.198, 7.360 sec/game, 161.8 min. total, 770.6 MB
marrow_each v18 1304 games, 3161842 moves, e=0.010, loss: 770.0, -, 4.7% elo% vs. v16, avg. reward: -1.209, 7.343 sec/game, 161.9 min. total, 771.8 MB
marrow_each v18 1305 games, 3164226 moves, e=0.010, loss: 896.3, -, 4.6% elo% vs. v16, avg. reward: -1.220, 7.343 sec/game, 162.0 min. total, 775.2 MB
marrow_each v18 1306 games, 3166509 moves, e=0.010, loss: 1077.9, -, 4.6% elo% vs. v16, avg. reward: -1.233, 7.354 sec/game, 162.2 min. total, 774.2 MB
marrow_each v18 1307 games, 3168781 moves, e=0.010, loss: 1224.0, -, 4.5% elo% vs. v16, avg. reward: -1.249, 7.354 sec/game, 162.3 min. total, 773.6 MB
marrow_each v18 1308 games, 3171201 moves, e=0.010, loss: 1222.6, -, 4.5% elo% vs. v16, avg. reward: -1.262, 7.338 sec/game, 162.4 min. total, 774.2 MB
marrow_each v18 1309 games, 3173577 moves, e=0.010, loss: 1215.7, -, 4.5% elo% vs. v16, avg. reward: -1.273, 7.331 sec/game, 162.5 min. total, 777.0 MB
marrow_each v18 1310 games, 3175861 moves, e=0.010, loss: 1124.5, -, 4.4% elo% vs. v16, avg. reward: -1.286, 7.336 sec/game, 162.6 min. total, 781.7 MB
marrow_each v18 1311 games, 3178260 moves, e=0.010, loss: 1101.7, -, 4.4% elo% vs. v16, avg. reward: -1.299, 7.334 sec/game, 162.8 min. total, 783.1 MB
marrow_each v18 1312 games, 3180701 moves, e=0.010, loss: 1245.1, -, 4.4% elo% vs. v16, avg. reward: -1.311, 7.330 sec/game, 162.9 min. total, 781.5 MB
marrow_each v18 1313 games, 3183057 moves, e=0.010, loss: 1298.6, -, 4.3% elo% vs. v16, avg. reward: -1.324, 7.312 sec/game, 163.0 min. total, 782.3 MB
marrow_each v18 1314 games, 3185423 moves, e=0.010, loss: 1358.7, -, 4.3% elo% vs. v16, avg. reward: -1.336, 7.327 sec/game, 163.1 min. total, 781.4 MB
marrow_each v18 1315 games, 3187612 moves, e=0.010, loss: 1505.0, -, 4.3% elo% vs. v16, avg. reward: -1.352, 7.299 sec/game, 163.2 min. total, 779.8 MB
marrow_each v18 1316 games, 3189927 moves, e=0.010, loss: 1499.4, -, 4.2% elo% vs. v16, avg. reward: -1.364, 7.289 sec/game, 163.4 min. total, 782.4 MB
marrow_each v18 1317 games, 3192302 moves, e=0.010, loss: 1590.6, -, 4.2% elo% vs. v16, avg. reward: -1.377, 7.269 sec/game, 163.5 min. total, 781.9 MB
marrow_each v18 1318 games, 3194572 moves, e=0.010, loss: 1657.4, -, 4.2% elo% vs. v16, avg. reward: -1.387, 7.254 sec/game, 163.6 min. total, 781.9 MB
marrow_each v18 1319 games, 3196921 moves, e=0.010, loss: 1873.8, -, 4.1% elo% vs. v16, avg. reward: -1.398, 7.237 sec/game, 163.7 min. total, 783.5 MB
marrow_each v18 1320 games, 3199363 moves, e=0.010, loss: 2072.1, -, 4.1% elo% vs. v16, avg. reward: -1.407, 7.252 sec/game, 163.9 min. total, 786.8 MB
marrow_each v18 1321 games, 3201637 moves, e=0.010, loss: 2358.8, -, 4.1% elo% vs. v16, avg. reward: -1.417, 7.233 sec/game, 164.0 min. total, 787.0 MB
marrow_each v18 1322 games, 3204049 moves, e=0.010, loss: 2166.5, -, 4.1% elo% vs. v16, avg. reward: -1.425, 7.248 sec/game, 164.1 min. total, 785.2 MB
marrow_each v18 1323 games, 3206446 moves, e=0.010, loss: 2393.5, -, 4.0% elo% vs. v16, avg. reward: -1.435, 7.263 sec/game, 164.2 min. total, 787.2 MB
marrow_each v18 1324 games, 3208838 moves, e=0.010, loss: 2771.5, -, 4.0% elo% vs. v16, avg. reward: -1.445, 7.283 sec/game, 164.3 min. total, 788.2 MB
marrow_each v18 1325 games, 3211317 moves, e=0.010, loss: 3083.7, -, 4.0% elo% vs. v16, avg. reward: -1.452, 7.293 sec/game, 164.5 min. total, 787.6 MB
marrow_each v18 1326 games, 3213732 moves, e=0.010, loss: 2998.1, -, 3.9% elo% vs. v16, avg. reward: -1.460, 7.300 sec/game, 164.6 min. total, 787.9 MB
marrow_each v18 1327 games, 3216142 moves, e=0.010, loss: 3408.1, -, 3.9% elo% vs. v16, avg. reward: -1.464, 7.317 sec/game, 164.7 min. total, 793.3 MB
marrow_each v18 1328 games, 3218492 moves, e=0.010, loss: 3620.8, -, 3.9% elo% vs. v16, avg. reward: -1.471, 7.309 sec/game, 164.8 min. total, 769.5 MB
marrow_each v18 1329 games, 3220826 moves, e=0.010, loss: 3774.5, -, 3.9% elo% vs. v16, avg. reward: -1.478, 7.299 sec/game, 165.0 min. total, 770.8 MB
marrow_each v18 1330 games, 3223161 moves, e=0.010, loss: 4285.9, -, 3.8% elo% vs. v16, avg. reward: -1.485, 7.305 sec/game, 165.1 min. total, 769.6 MB
marrow_each v18 1331 games, 3225507 moves, e=0.010, loss: 4580.9, -, 3.8% elo% vs. v16, avg. reward: -1.492, 7.305 sec/game, 165.2 min. total, 767.2 MB
marrow_each v18 1332 games, 3227839 moves, e=0.010, loss: 4639.8, -, 3.8% elo% vs. v16, avg. reward: -1.496, 7.288 sec/game, 165.3 min. total, 769.6 MB
marrow_each v18 1333 games, 3230246 moves, e=0.010, loss: 5079.4, -, 3.8% elo% vs. v16, avg. reward: -1.503, 7.306 sec/game, 165.4 min. total, 768.3 MB
marrow_each v18 1334 games, 3232675 moves, e=0.010, loss: 5261.0, -, 3.7% elo% vs. v16, avg. reward: -1.507, 7.307 sec/game, 165.6 min. total, 773.9 MB
marrow_each v18 1335 games, 3234981 moves, e=0.010, loss: 5292.4, -, 3.7% elo% vs. v16, avg. reward: -1.517, 7.336 sec/game, 165.7 min. total, 771.0 MB
marrow_each v18 1336 games, 3237389 moves, e=0.010, loss: 5251.3, -, 3.7% elo% vs. v16, avg. reward: -1.526, 7.348 sec/game, 165.8 min. total, 771.9 MB
marrow_each v18 1337 games, 3239741 moves, e=0.010, loss: 5978.9, -, 3.7% elo% vs. v16, avg. reward: -1.537, 7.348 sec/game, 165.9 min. total, 772.5 MB
marrow_each v18 1338 games, 3242125 moves, e=0.010, loss: 5879.2, -, 3.6% elo% vs. v16, avg. reward: -1.543, 7.369 sec/game, 166.1 min. total, 774.0 MB
marrow_each v18 1339 games, 3244527 moves, e=0.010, loss: 6129.1, -, 3.6% elo% vs. v16, avg. reward: -1.549, 7.375 sec/game, 166.2 min. total, 776.3 MB
marrow_each v18 1340 games, 3246927 moves, e=0.010, loss: 6251.2, -, 3.6% elo% vs. v16, avg. reward: -1.556, 7.355 sec/game, 166.3 min. total, 777.5 MB
marrow_each v18 1341 games, 3249206 moves, e=0.010, loss: 6929.9, -, 3.6% elo% vs. v16, avg. reward: -1.564, 7.373 sec/game, 166.4 min. total, 776.0 MB
marrow_each v18 1342 games, 3251535 moves, e=0.010, loss: 7302.9, -, 3.5% elo% vs. v16, avg. reward: -1.568, 7.364 sec/game, 166.5 min. total, 776.3 MB
marrow_each v18 1343 games, 3253894 moves, e=0.010, loss: 7844.1, -, 3.5% elo% vs. v16, avg. reward: -1.576, 7.375 sec/game, 166.7 min. total, 776.7 MB
marrow_each v18 1344 games, 3256302 moves, e=0.010, loss: 7633.6, -, 3.5% elo% vs. v16, avg. reward: -1.583, 7.350 sec/game, 166.8 min. total, 775.8 MB
marrow_each v18 1345 games, 3258676 moves, e=0.010, loss: 7627.3, -, 3.5% elo% vs. v16, avg. reward: -1.593, 7.348 sec/game, 166.9 min. total, 781.5 MB
marrow_each v18 1346 games, 3261055 moves, e=0.010, loss: 7642.3, -, 3.5% elo% vs. v16, avg. reward: -1.602, 7.340 sec/game, 167.0 min. total, 780.2 MB
marrow_each v18 1347 games, 3263359 moves, e=0.010, loss: 8511.5, -, 3.4% elo% vs. v16, avg. reward: -1.612, 7.325 sec/game, 167.2 min. total, 779.6 MB
marrow_each v18 1348 games, 3265732 moves, e=0.010, loss: 9348.8, -, 3.4% elo% vs. v16, avg. reward: -1.621, 7.328 sec/game, 167.3 min. total, 779.4 MB
marrow_each v18 1349 games, 3268212 moves, e=0.010, loss: 10783.6, -, 3.4% elo% vs. v16, avg. reward: -1.630, 7.351 sec/game, 167.4 min. total, 779.9 MB
marrow_each v18 1350 games, 3270550 moves, e=0.010, loss: 11292.4, -, 3.4% elo% vs. v16, avg. reward: -1.639, 7.360 sec/game, 167.5 min. total, 778.6 MB
marrow_each v18 1351 games, 3272941 moves, e=0.010, loss: 11623.2, -, 3.4% elo% vs. v16, avg. reward: -1.645, 7.342 sec/game, 167.7 min. total, 779.0 MB
marrow_each v18 1352 games, 3275359 moves, e=0.010, loss: 12406.5, -, 3.3% elo% vs. v16, avg. reward: -1.649, 7.362 sec/game, 167.8 min. total, 782.1 MB
marrow_each v18 1353 games, 3277693 moves, e=0.010, loss: 12592.7, -, 3.3% elo% vs. v16, avg. reward: -1.657, 7.352 sec/game, 167.9 min. total, 783.3 MB
marrow_each v18 1354 games, 3280066 moves, e=0.010, loss: 13591.5, -, 3.3% elo% vs. v16, avg. reward: -1.663, 7.354 sec/game, 168.0 min. total, 783.7 MB
marrow_each v18 1355 games, 3282601 moves, e=0.010, loss: 13370.1, -, 3.3% elo% vs. v16, avg. reward: -1.664, 7.386 sec/game, 168.2 min. total, 784.7 MB
marrow_each v18 1356 games, 3284979 moves, e=0.010, loss: 13294.4, -, 3.3% elo% vs. v16, avg. reward: -1.667, 7.364 sec/game, 168.3 min. total, 787.9 MB
marrow_each v18 1357 games, 3287358 moves, e=0.010, loss: 14032.8, -, 3.2% elo% vs. v16, avg. reward: -1.674, 7.380 sec/game, 168.4 min. total, 786.4 MB
marrow_each v18 1358 games, 3289830 moves, e=0.010, loss: 13548.8, -, 3.2% elo% vs. v16, avg. reward: -1.676, 7.378 sec/game, 168.5 min. total, 786.3 MB
marrow_each v18 1359 games, 3292309 moves, e=0.010, loss: 13771.6, -, 3.2% elo% vs. v16, avg. reward: -1.679, 7.407 sec/game, 168.7 min. total, 789.1 MB
marrow_each v18 1360 games, 3294608 moves, e=0.010, loss: 13840.3, -, 3.2% elo% vs. v16, avg. reward: -1.682, 7.400 sec/game, 168.8 min. total, 789.6 MB
marrow_each v18 1361 games, 3297026 moves, e=0.010, loss: 15430.1, -, 3.2% elo% vs. v16, avg. reward: -1.684, 7.419 sec/game, 168.9 min. total, 792.6 MB
marrow_each v18 1362 games, 3299445 moves, e=0.010, loss: 15449.5, -, 3.1% elo% vs. v16, avg. reward: -1.687, 7.414 sec/game, 169.0 min. total, 790.7 MB
marrow_each v18 1363 games, 3301903 moves, e=0.010, loss: 16887.2, -, 3.1% elo% vs. v16, avg. reward: -1.685, 7.425 sec/game, 169.1 min. total, 794.2 MB
marrow_each v18 1364 games, 3304245 moves, e=0.010, loss: 16926.0, -, 3.1% elo% vs. v16, avg. reward: -1.688, 7.427 sec/game, 169.3 min. total, 791.6 MB
marrow_each v18 1365 games, 3306702 moves, e=0.010, loss: 18934.0, -, 3.1% elo% vs. v16, avg. reward: -1.689, 7.424 sec/game, 169.4 min. total, 791.0 MB
marrow_each v18 1366 games, 3309136 moves, e=0.010, loss: 19930.3, -, 3.1% elo% vs. v16, avg. reward: -1.691, 7.439 sec/game, 169.5 min. total, 793.8 MB
marrow_each v18 1367 games, 3311647 moves, e=0.010, loss: 22026.9, -, 3.1% elo% vs. v16, avg. reward: -1.689, 7.476 sec/game, 169.6 min. total, 796.3 MB
marrow_each v18 1368 games, 3314101 moves, e=0.010, loss: 22449.4, -, 3.0% elo% vs. v16, avg. reward: -1.693, 7.477 sec/game, 169.8 min. total, 795.2 MB
marrow_each v18 1369 games, 3316582 moves, e=0.010, loss: 24544.6, -, 3.0% elo% vs. v16, avg. reward: -1.691, 7.472 sec/game, 169.9 min. total, 796.7 MB
marrow_each v18 1370 games, 3319029 moves, e=0.010, loss: 24708.9, -, 3.0% elo% vs. v16, avg. reward: -1.694, 7.471 sec/game, 170.0 min. total, 799.3 MB
marrow_each v18 1371 games, 3321452 moves, e=0.010, loss: 24345.2, -, 3.0% elo% vs. v16, avg. reward: -1.696, 7.496 sec/game, 170.1 min. total, 799.8 MB
marrow_each v18 1372 games, 3323957 moves, e=0.010, loss: 23644.1, -, 3.0% elo% vs. v16, avg. reward: -1.695, 7.513 sec/game, 170.3 min. total, 799.3 MB
marrow_each v18 1373 games, 3326379 moves, e=0.010, loss: 23875.8, -, 3.0% elo% vs. v16, avg. reward: -1.699, 7.524 sec/game, 170.4 min. total, 797.9 MB
marrow_each v18 1374 games, 3328814 moves, e=0.010, loss: 24148.2, -, 2.9% elo% vs. v16, avg. reward: -1.701, 7.531 sec/game, 170.5 min. total, 800.3 MB
marrow_each v18 1375 games, 3331255 moves, e=0.010, loss: 25884.7, -, 2.9% elo% vs. v16, avg. reward: -1.701, 7.509 sec/game, 170.7 min. total, 799.3 MB
marrow_each v18 1376 games, 3333619 moves, e=0.010, loss: 28317.0, -, 2.9% elo% vs. v16, avg. reward: -1.704, 7.518 sec/game, 170.8 min. total, 800.9 MB
marrow_each v18 1377 games, 3336131 moves, e=0.010, loss: 29149.0, -, 2.9% elo% vs. v16, avg. reward: -1.702, 7.540 sec/game, 170.9 min. total, 805.7 MB
marrow_each v18 1378 games, 3338556 moves, e=0.010, loss: 30342.6, -, 2.9% elo% vs. v16, avg. reward: -1.700, 7.552 sec/game, 171.0 min. total, 800.9 MB
marrow_each v18 1379 games, 3341013 moves, e=0.010, loss: 30212.3, -, 2.9% elo% vs. v16, avg. reward: -1.699, 7.544 sec/game, 171.2 min. total, 786.8 MB
marrow_each v18 1380 games, 3343541 moves, e=0.010, loss: 30397.9, -, 2.9% elo% vs. v16, avg. reward: -1.698, 7.569 sec/game, 171.3 min. total, 785.3 MB
marrow_each v18 1381 games, 3345983 moves, e=0.010, loss: 30845.4, -, 2.8% elo% vs. v16, avg. reward: -1.701, 7.573 sec/game, 171.4 min. total, 785.0 MB
marrow_each v18 1382 games, 3348329 moves, e=0.010, loss: 31816.5, -, 2.8% elo% vs. v16, avg. reward: -1.703, 7.569 sec/game, 171.5 min. total, 786.4 MB
marrow_each v18 1383 games, 3350753 moves, e=0.010, loss: 33295.3, -, 2.8% elo% vs. v16, avg. reward: -1.700, 7.552 sec/game, 171.7 min. total, 785.9 MB
marrow_each v18 1384 games, 3353267 moves, e=0.010, loss: 35017.4, -, 2.8% elo% vs. v16, avg. reward: -1.697, 7.584 sec/game, 171.8 min. total, 787.3 MB
marrow_each v18 1385 games, 3355750 moves, e=0.010, loss: 33827.9, -, 2.8% elo% vs. v16, avg. reward: -1.694, 7.589 sec/game, 171.9 min. total, 786.3 MB
marrow_each v18 1386 games, 3357968 moves, e=0.010, loss: 35203.9, -, 2.8% elo% vs. v16, avg. reward: -1.698, 7.563 sec/game, 172.0 min. total, 788.7 MB
marrow_each v18 1387 games, 3360420 moves, e=0.010, loss: 35110.3, -, 2.8% elo% vs. v16, avg. reward: -1.699, 7.542 sec/game, 172.2 min. total, 789.6 MB
marrow_each v18 1388 games, 3362933 moves, e=0.010, loss: 35506.5, -, 2.7% elo% vs. v16, avg. reward: -1.699, 7.549 sec/game, 172.3 min. total, 787.4 MB
marrow_each v18 1389 games, 3365348 moves, e=0.010, loss: 39569.9, -, 2.7% elo% vs. v16, avg. reward: -1.699, 7.555 sec/game, 172.4 min. total, 788.5 MB
marrow_each v18 1390 games, 3367816 moves, e=0.010, loss: 39394.7, -, 2.7% elo% vs. v16, avg. reward: -1.697, 7.568 sec/game, 172.5 min. total, 789.1 MB
marrow_each v18 1391 games, 3370193 moves, e=0.010, loss: 40203.0, -, 2.7% elo% vs. v16, avg. reward: -1.698, 7.544 sec/game, 172.7 min. total, 790.8 MB
marrow_each v18 1392 games, 3372681 moves, e=0.010, loss: 40256.0, -, 2.7% elo% vs. v16, avg. reward: -1.698, 7.543 sec/game, 172.8 min. total, 791.8 MB
marrow_each v18 1393 games, 3375187 moves, e=0.010, loss: 40016.9, -, 2.7% elo% vs. v16, avg. reward: -1.697, 7.541 sec/game, 172.9 min. total, 794.7 MB
marrow_each v18 1394 games, 3377514 moves, e=0.010, loss: 43814.6, -, 2.7% elo% vs. v16, avg. reward: -1.696, 7.516 sec/game, 173.0 min. total, 796.5 MB
marrow_each v18 1395 games, 3379984 moves, e=0.010, loss: 43708.3, -, 2.7% elo% vs. v16, avg. reward: -1.696, 7.535 sec/game, 173.2 min. total, 795.4 MB
marrow_each v18 1396 games, 3382372 moves, e=0.010, loss: 45562.5, -, 2.6% elo% vs. v16, avg. reward: -1.696, 7.525 sec/game, 173.3 min. total, 797.1 MB
marrow_each v18 1397 games, 3384774 moves, e=0.010, loss: 43862.5, -, 2.6% elo% vs. v16, avg. reward: -1.699, 7.503 sec/game, 173.4 min. total, 796.6 MB
marrow_each v18 1398 games, 3387180 moves, e=0.010, loss: 45793.9, -, 2.6% elo% vs. v16, avg. reward: -1.698, 7.494 sec/game, 173.5 min. total, 798.9 MB
marrow_each v18 1399 games, 3389469 moves, e=0.010, loss: 50239.5, -, 2.6% elo% vs. v16, avg. reward: -1.700, 7.473 sec/game, 173.7 min. total, 798.4 MB
marrow_each v18 1400 games, 3391825 moves, e=0.010, loss: 52272.2, -, 2.6% elo% vs. v16, avg. reward: -1.701, 7.440 sec/game, 173.8 min. total, 798.2 MB
marrow_each v18 1401 games, 3394253 moves, e=0.010, loss: 51654.6, -, 2.6% elo% vs. v16, avg. reward: -1.700, 7.435 sec/game, 173.9 min. total, 795.3 MB
marrow_each v18 1402 games, 3396663 moves, e=0.010, loss: 55416.8, -, 2.6% elo% vs. v16, avg. reward: -1.699, 7.465 sec/game, 174.0 min. total, 797.5 MB
marrow_each v18 1403 games, 3399117 moves, e=0.010, loss: 55860.2, -, 2.6% elo% vs. v16, avg. reward: -1.699, 7.470 sec/game, 174.2 min. total, 797.1 MB
marrow_each v18 1404 games, 3401611 moves, e=0.010, loss: 55102.6, -, 2.5% elo% vs. v16, avg. reward: -1.701, 7.487 sec/game, 174.3 min. total, 799.9 MB
marrow_each v18 1405 games, 3404003 moves, e=0.010, loss: 56865.0, -, 2.5% elo% vs. v16, avg. reward: -1.702, 7.477 sec/game, 174.4 min. total, 796.8 MB
marrow_each v18 1406 games, 3406521 moves, e=0.010, loss: 59083.8, -, 2.5% elo% vs. v16, avg. reward: -1.699, 7.515 sec/game, 174.5 min. total, 772.9 MB
marrow_each v18 1407 games, 3408835 moves, e=0.010, loss: 56973.9, -, 2.5% elo% vs. v16, avg. reward: -1.699, 7.497 sec/game, 174.7 min. total, 772.1 MB
marrow_each v18 1408 games, 3411268 moves, e=0.010, loss: 60856.1, -, 2.5% elo% vs. v16, avg. reward: -1.701, 7.490 sec/game, 174.8 min. total, 773.9 MB
marrow_each v18 1409 games, 3413605 moves, e=0.010, loss: 61178.3, -, 2.5% elo% vs. v16, avg. reward: -1.704, 7.485 sec/game, 174.9 min. total, 776.4 MB
marrow_each v18 1410 games, 3416008 moves, e=0.010, loss: 56786.8, -, 2.5% elo% vs. v16, avg. reward: -1.704, 7.473 sec/game, 175.0 min. total, 775.1 MB
marrow_each v18 1411 games, 3418389 moves, e=0.010, loss: 53121.8, -, 2.5% elo% vs. v16, avg. reward: -1.703, 7.492 sec/game, 175.2 min. total, 776.1 MB
marrow_each v18 1412 games, 3420885 moves, e=0.010, loss: 51548.4, -, 2.5% elo% vs. v16, avg. reward: -1.702, 7.493 sec/game, 175.3 min. total, 778.7 MB
marrow_each v18 1413 games, 3423328 moves, e=0.010, loss: 48901.0, -, 2.4% elo% vs. v16, avg. reward: -1.702, 7.497 sec/game, 175.4 min. total, 778.4 MB
marrow_each v18 1414 games, 3425865 moves, e=0.010, loss: 46250.0, -, 2.4% elo% vs. v16, avg. reward: -1.698, 7.536 sec/game, 175.5 min. total, 778.6 MB
marrow_each v18 1415 games, 3428299 moves, e=0.010, loss: 45231.8, -, 2.4% elo% vs. v16, avg. reward: -1.695, 7.518 sec/game, 175.7 min. total, 778.4 MB
marrow_each v18 1416 games, 3430703 moves, e=0.010, loss: 47246.6, -, 2.4% elo% vs. v16, avg. reward: -1.693, 7.536 sec/game, 175.8 min. total, 778.9 MB
marrow_each v18 1417 games, 3433054 moves, e=0.010, loss: 52412.5, -, 2.4% elo% vs. v16, avg. reward: -1.692, 7.521 sec/game, 175.9 min. total, 777.6 MB
marrow_each v18 1418 games, 3435460 moves, e=0.010, loss: 55613.8, -, 2.4% elo% vs. v16, avg. reward: -1.692, 7.515 sec/game, 176.0 min. total, 777.7 MB
marrow_each v18 1419 games, 3437880 moves, e=0.010, loss: 57536.6, -, 2.4% elo% vs. v16, avg. reward: -1.692, 7.529 sec/game, 176.2 min. total, 779.2 MB
marrow_each v18 1420 games, 3440301 moves, e=0.010, loss: 60804.8, -, 2.4% elo% vs. v16, avg. reward: -1.694, 7.551 sec/game, 176.3 min. total, 779.0 MB
marrow_each v18 1421 games, 3442755 moves, e=0.010, loss: 56912.1, -, 2.4% elo% vs. v16, avg. reward: -1.692, 7.551 sec/game, 176.4 min. total, 780.7 MB
marrow_each v18 1422 games, 3445232 moves, e=0.010, loss: 53513.5, -, 2.3% elo% vs. v16, avg. reward: -1.692, 7.539 sec/game, 176.5 min. total, 782.3 MB
marrow_each v18 1423 games, 3447694 moves, e=0.010, loss: 53914.6, -, 2.3% elo% vs. v16, avg. reward: -1.691, 7.552 sec/game, 176.7 min. total, 785.4 MB
marrow_each v18 1424 games, 3450091 moves, e=0.010, loss: 51314.4, -, 2.3% elo% vs. v16, avg. reward: -1.692, 7.504 sec/game, 176.8 min. total, 784.5 MB
marrow_each v18 1425 games, 3452385 moves, e=0.010, loss: 52153.7, -, 2.3% elo% vs. v16, avg. reward: -1.697, 7.490 sec/game, 176.9 min. total, 787.0 MB
marrow_each v18 1426 games, 3454840 moves, e=0.010, loss: 52456.5, -, 2.3% elo% vs. v16, avg. reward: -1.697, 7.473 sec/game, 177.0 min. total, 785.9 MB
marrow_each v18 1427 games, 3457349 moves, e=0.010, loss: 52120.8, -, 2.3% elo% vs. v16, avg. reward: -1.699, 7.515 sec/game, 177.2 min. total, 788.3 MB
marrow_each v18 1428 games, 3459784 moves, e=0.010, loss: 52420.9, -, 2.3% elo% vs. v16, avg. reward: -1.699, 7.513 sec/game, 177.3 min. total, 786.2 MB
marrow_each v18 1429 games, 3462262 moves, e=0.010, loss: 49981.2, -, 2.3% elo% vs. v16, avg. reward: -1.696, 7.513 sec/game, 177.4 min. total, 788.2 MB
marrow_each v18 1430 games, 3464643 moves, e=0.010, loss: 50652.2, -, 2.3% elo% vs. v16, avg. reward: -1.694, 7.516 sec/game, 177.5 min. total, 789.0 MB
marrow_each v18 1431 games, 3467136 moves, e=0.010, loss: 51623.4, -, 2.3% elo% vs. v16, avg. reward: -1.693, 7.534 sec/game, 177.7 min. total, 790.4 MB
marrow_each v18 1432 games, 3469580 moves, e=0.010, loss: 52254.0, -, 2.3% elo% vs. v16, avg. reward: -1.692, 7.526 sec/game, 177.8 min. total, 789.1 MB
marrow_each v18 1433 games, 3472084 moves, e=0.010, loss: 52073.7, -, 2.2% elo% vs. v16, avg. reward: -1.691, 7.521 sec/game, 177.9 min. total, 789.5 MB
marrow_each v18 1434 games, 3474479 moves, e=0.010, loss: 52373.5, -, 2.2% elo% vs. v16, avg. reward: -1.693, 7.500 sec/game, 178.0 min. total, 791.3 MB
marrow_each v18 1435 games, 3476996 moves, e=0.010, loss: 52532.5, -, 2.2% elo% vs. v16, avg. reward: -1.693, 7.512 sec/game, 178.2 min. total, 792.2 MB
marrow_each v18 1436 games, 3479469 moves, e=0.010, loss: 56128.6, -, 2.2% elo% vs. v16, avg. reward: -1.693, 7.533 sec/game, 178.3 min. total, 791.3 MB
marrow_each v18 1437 games, 3481812 moves, e=0.010, loss: 59281.5, -, 2.2% elo% vs. v16, avg. reward: -1.693, 7.533 sec/game, 178.4 min. total, 792.6 MB
marrow_each v18 1438 games, 3484198 moves, e=0.010, loss: 61080.8, -, 2.2% elo% vs. v16, avg. reward: -1.693, 7.554 sec/game, 178.6 min. total, 794.1 MB
marrow_each v18 1439 games, 3486577 moves, e=0.010, loss: 60002.5, -, 2.2% elo% vs. v16, avg. reward: -1.695, 7.544 sec/game, 178.7 min. total, 779.9 MB
marrow_each v18 1440 games, 3489041 moves, e=0.010, loss: 63314.2, -, 2.2% elo% vs. v16, avg. reward: -1.695, 7.554 sec/game, 178.8 min. total, 779.3 MB
marrow_each v18 1441 games, 3491440 moves, e=0.010, loss: 64488.2, -, 2.2% elo% vs. v16, avg. reward: -1.693, 7.537 sec/game, 178.9 min. total, 780.0 MB
marrow_each v18 1442 games, 3493904 moves, e=0.010, loss: 69231.8, -, 2.2% elo% vs. v16, avg. reward: -1.692, 7.559 sec/game, 179.1 min. total, 780.3 MB
