marrow_each v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 319.3 MB
marrow_each v1 37 games, 26267 moves, e=0.974, loss: 6.9, -, 31.9% elo% vs. v0, avg. reward: -9.890, 2.285 sec/game, 0.9 min. total, 416.5 MB
marrow_each v1 38 games, 27027 moves, e=0.973, loss: 6.4, -, 30.7% elo% vs. v0, avg. reward: -9.877, 2.287 sec/game, 1.0 min. total, 416.8 MB
marrow_each v1 39 games, 27689 moves, e=0.973, loss: 6.2, +, 33.5% elo% vs. v0, avg. reward: -9.896, 2.290 sec/game, 1.0 min. total, 416.5 MB
marrow_each v1 40 games, 28341 moves, e=0.972, loss: 6.2, ., 34.1% elo% vs. v0, avg. reward: -9.919, 2.309 sec/game, 1.1 min. total, 416.5 MB
marrow_each v1 41 games, 29028 moves, e=0.971, loss: 6.2, -, 32.7% elo% vs. v0, avg. reward: -9.932, 2.296 sec/game, 1.1 min. total, 417.2 MB
marrow_each v1 42 games, 29862 moves, e=0.970, loss: 6.4, -, 31.4% elo% vs. v0, avg. reward: -9.895, 2.332 sec/game, 1.1 min. total, 417.0 MB
marrow_each v1 43 games, 30500 moves, e=0.970, loss: 6.5, -, 30.2% elo% vs. v0, avg. reward: -9.926, 2.309 sec/game, 1.2 min. total, 416.7 MB
marrow_each v1 44 games, 31194 moves, e=0.969, loss: 6.6, +, 33.0% elo% vs. v0, avg. reward: -9.935, 2.300 sec/game, 1.2 min. total, 416.9 MB
marrow_each v1 45 games, 31910 moves, e=0.968, loss: 6.4, +, 35.8% elo% vs. v0, avg. reward: -9.930, 2.289 sec/game, 1.2 min. total, 417.1 MB
marrow_each v1 46 games, 32559 moves, e=0.968, loss: 6.6, -, 34.3% elo% vs. v0, avg. reward: -9.948, 2.261 sec/game, 1.3 min. total, 417.2 MB
marrow_each v1 47 games, 33342 moves, e=0.967, loss: 6.8, -, 32.8% elo% vs. v0, avg. reward: -9.917, 2.250 sec/game, 1.3 min. total, 417.2 MB
marrow_each v1 48 games, 33966 moves, e=0.966, loss: 6.9, -, 31.5% elo% vs. v0, avg. reward: -9.947, 2.226 sec/game, 1.3 min. total, 417.8 MB
marrow_each v1 49 games, 34713 moves, e=0.966, loss: 6.5, -, 30.3% elo% vs. v0, avg. reward: -9.938, 2.236 sec/game, 1.4 min. total, 418.0 MB
marrow_each v1 50 games, 35484 moves, e=0.965, loss: 6.5, +, 33.1% elo% vs. v0, avg. reward: -9.918, 2.227 sec/game, 1.4 min. total, 420.2 MB
marrow_each v1 51 games, 36250 moves, e=0.964, loss: 6.3, ., 33.8% elo% vs. v0, avg. reward: -9.890, 2.207 sec/game, 1.4 min. total, 422.3 MB
marrow_each v1 52 games, 37042 moves, e=0.963, loss: 6.3, -, 32.4% elo% vs. v0, avg. reward: -9.867, 2.209 sec/game, 1.5 min. total, 422.1 MB
marrow_each v1 53 games, 37802 moves, e=0.963, loss: 6.2, +, 35.2% elo% vs. v0, avg. reward: -9.850, 2.200 sec/game, 1.5 min. total, 422.3 MB
marrow_each v1 54 games, 38536 moves, e=0.962, loss: 6.0, +, 37.9% elo% vs. v0, avg. reward: -9.841, 2.187 sec/game, 1.6 min. total, 422.2 MB
marrow_each v1 55 games, 39260 moves, e=0.961, loss: 5.9, +, 40.7% elo% vs. v0, avg. reward: -9.824, 2.194 sec/game, 1.6 min. total, 422.6 MB
marrow_each v1 56 games, 40048 moves, e=0.960, loss: 5.7, +, 43.3% elo% vs. v0, avg. reward: -9.809, 2.189 sec/game, 1.6 min. total, 422.4 MB
marrow_each v1 57 games, 40763 moves, e=0.960, loss: 5.8, -, 41.4% elo% vs. v0, avg. reward: -9.809, 2.196 sec/game, 1.7 min. total, 422.5 MB
marrow_each v1 58 games, 41533 moves, e=0.959, loss: 6.1, +, 44.0% elo% vs. v0, avg. reward: -9.790, 2.190 sec/game, 1.7 min. total, 423.0 MB
marrow_each v1 59 games, 42210 moves, e=0.958, loss: 6.1, +, 46.6% elo% vs. v0, avg. reward: -9.794, 2.187 sec/game, 1.7 min. total, 424.9 MB
marrow_each v1 60 games, 42838 moves, e=0.958, loss: 5.9, +, 49.0% elo% vs. v0, avg. reward: -9.824, 2.181 sec/game, 1.8 min. total, 425.2 MB
marrow_each v1 61 games, 43641 moves, e=0.957, loss: 5.8, +, 51.4% elo% vs. v0, avg. reward: -9.804, 2.195 sec/game, 1.8 min. total, 425.5 MB
marrow_each v1 62 games, 44294 moves, e=0.956, loss: 5.8, +, 53.6% elo% vs. v0, avg. reward: -9.824, 2.168 sec/game, 1.9 min. total, 425.4 MB
marrow_each v1 63 games, 45115 moves, e=0.955, loss: 6.1, +, 55.7% elo% vs. v0, avg. reward: -9.801, 2.179 sec/game, 1.9 min. total, 427.5 MB
marrow_each v1 64 games, 45918 moves, e=0.955, loss: 5.9, +, 57.7% elo% vs. v0, avg. reward: -9.780, 2.205 sec/game, 1.9 min. total, 426.1 MB
