fit_relearn v1 73 games, 32888 moves, e=0.967, loss: nan, -, 17.2% elo% vs. random_bot, avg. reward: -11.516, 0.250 sec/game, 0.3 min. total, 435.4 MB
fit_relearn v1 75 games, 33783 moves, e=0.967, loss: nan, -, 16.8% elo% vs. random_bot, avg. reward: -11.510, 0.252 sec/game, 0.3 min. total, 439.1 MB
fit_relearn v1 77 games, 34588 moves, e=0.966, loss: nan, -, 16.3% elo% vs. random_bot, avg. reward: -11.524, 0.248 sec/game, 0.3 min. total, 443.9 MB
fit_relearn v1 79 games, 35263 moves, e=0.965, loss: nan, -, 15.9% elo% vs. random_bot, avg. reward: -11.627, 0.248 sec/game, 0.4 min. total, 446.4 MB
fit_relearn v1 81 games, 36030 moves, e=0.964, loss: nan, -, 15.5% elo% vs. random_bot, avg. reward: -11.669, 0.247 sec/game, 0.4 min. total, 447.0 MB
fit_relearn v1 83 games, 36842 moves, e=0.964, loss: nan, ., 16.4% elo% vs. random_bot, avg. reward: -11.683, 0.248 sec/game, 0.4 min. total, 448.1 MB
fit_relearn v1 85 games, 37638 moves, e=0.963, loss: nan, -, 16.0% elo% vs. random_bot, avg. reward: -11.705, 0.249 sec/game, 0.4 min. total, 449.8 MB
fit_relearn v1 87 games, 38430 moves, e=0.962, loss: nan, -, 15.6% elo% vs. random_bot, avg. reward: -11.741, 0.252 sec/game, 0.4 min. total, 451.7 MB
fit_relearn v1 89 games, 39231 moves, e=0.961, loss: nan, -, 15.2% elo% vs. random_bot, avg. reward: -11.755, 0.255 sec/game, 0.4 min. total, 454.5 MB
fit_relearn v1 91 games, 40054 moves, e=0.960, loss: nan, -, 14.9% elo% vs. random_bot, avg. reward: -11.766, 0.258 sec/game, 0.4 min. total, 457.8 MB
fit_relearn v1 93 games, 40937 moves, e=0.959, loss: nan, -, 14.5% elo% vs. random_bot, avg. reward: -11.749, 0.261 sec/game, 0.4 min. total, 461.7 MB
fit_relearn v1 95 games, 41748 moves, e=0.959, loss: nan, -, 14.2% elo% vs. random_bot, avg. reward: -11.759, 0.262 sec/game, 0.4 min. total, 465.4 MB
fit_relearn v1 97 games, 42612 moves, e=0.958, loss: nan, ., 15.0% elo% vs. random_bot, avg. reward: -11.753, 0.270 sec/game, 0.4 min. total, 468.8 MB
fit_relearn v1 99 games, 43348 moves, e=0.957, loss: nan, -, 14.7% elo% vs. random_bot, avg. reward: -11.803, 0.266 sec/game, 0.4 min. total, 469.8 MB
fit_relearn v1 101 games, 44115 moves, e=0.956, loss: nan, -, 14.3% elo% vs. random_bot, avg. reward: -11.850, 0.266 sec/game, 0.5 min. total, 470.8 MB
fit_relearn v1 103 games, 44881 moves, e=0.956, loss: nan, -, 14.0% elo% vs. random_bot, avg. reward: -11.896, 0.265 sec/game, 0.5 min. total, 472.6 MB
fit_relearn v1 105 games, 45699 moves, e=0.955, loss: nan, -, 13.7% elo% vs. random_bot, avg. reward: -11.916, 0.263 sec/game, 0.5 min. total, 474.7 MB
fit_relearn v1 107 games, 46507 moves, e=0.954, loss: nan, -, 13.4% elo% vs. random_bot, avg. reward: -11.959, 0.261 sec/game, 0.5 min. total, 476.9 MB
fit_relearn v1 109 games, 47238 moves, e=0.953, loss: nan, -, 13.1% elo% vs. random_bot, avg. reward: -12.054, 0.256 sec/game, 0.5 min. total, 479.4 MB
fit_relearn v1 111 games, 48086 moves, e=0.952, loss: nan, ., 13.9% elo% vs. random_bot, avg. reward: -12.094, 0.255 sec/game, 0.5 min. total, 482.6 MB
fit_relearn v1 113 games, 48817 moves, e=0.952, loss: nan, -, 13.6% elo% vs. random_bot, avg. reward: -12.125, 0.252 sec/game, 0.5 min. total, 485.8 MB
fit_relearn v1 115 games, 49597 moves, e=0.951, loss: nan, ., 14.4% elo% vs. random_bot, avg. reward: -12.163, 0.250 sec/game, 0.5 min. total, 490.0 MB
fit_relearn v1 117 games, 50293 moves, e=0.950, loss: nan, -, 14.1% elo% vs. random_bot, avg. reward: -12.254, 0.250 sec/game, 0.5 min. total, 492.7 MB
fit_relearn v1 119 games, 51076 moves, e=0.949, loss: nan, -, 13.8% elo% vs. random_bot, avg. reward: -12.304, 0.252 sec/game, 0.5 min. total, 493.5 MB
fit_relearn v1 122 games, 52045 moves, e=0.948, loss: nan, -, 13.5% elo% vs. random_bot, avg. reward: -12.386, 0.297 sec/game, 0.6 min. total, 495.7 MB
fit_relearn v1 124 games, 52826 moves, e=0.948, loss: nan, -, 13.2% elo% vs. random_bot, avg. reward: -12.393, 0.297 sec/game, 0.6 min. total, 497.8 MB
fit_relearn v1 126 games, 53573 moves, e=0.947, loss: nan, -, 12.9% elo% vs. random_bot, avg. reward: -12.444, 0.297 sec/game, 0.6 min. total, 499.6 MB
fit_relearn v1 128 games, 54465 moves, e=0.946, loss: nan, -, 12.7% elo% vs. random_bot, avg. reward: -12.437, 0.301 sec/game, 0.6 min. total, 502.2 MB
fit_relearn v1 130 games, 55275 moves, e=0.945, loss: nan, -, 12.4% elo% vs. random_bot, avg. reward: -12.459, 0.301 sec/game, 0.6 min. total, 504.6 MB
fit_relearn v1 132 games, 56053 moves, e=0.945, loss: nan, -, 12.2% elo% vs. random_bot, avg. reward: -12.429, 0.302 sec/game, 0.6 min. total, 508.0 MB
fit_relearn v1 134 games, 56749 moves, e=0.944, loss: nan, -, 11.9% elo% vs. random_bot, avg. reward: -12.519, 0.301 sec/game, 0.6 min. total, 511.1 MB
fit_relearn v1 136 games, 57560 moves, e=0.943, loss: nan, -, 11.7% elo% vs. random_bot, avg. reward: -12.525, 0.301 sec/game, 0.6 min. total, 515.7 MB
fit_relearn v1 139 games, 58587 moves, e=0.942, loss: nan, -, 11.5% elo% vs. random_bot, avg. reward: -12.622, 0.348 sec/game, 0.6 min. total, 518.2 MB
fit_relearn v1 141 games, 59351 moves, e=0.941, loss: nan, -, 11.3% elo% vs. random_bot, avg. reward: -12.642, 0.348 sec/game, 0.7 min. total, 519.4 MB
fit_relearn v1 143 games, 60104 moves, e=0.940, loss: nan, ., 12.0% elo% vs. random_bot, avg. reward: -12.721, 0.304 sec/game, 0.7 min. total, 521.1 MB
fit_relearn v1 145 games, 60847 moves, e=0.940, loss: nan, -, 11.8% elo% vs. random_bot, avg. reward: -12.761, 0.306 sec/game, 0.7 min. total, 523.2 MB
fit_relearn v1 147 games, 61581 moves, e=0.939, loss: nan, -, 11.5% elo% vs. random_bot, avg. reward: -12.812, 0.306 sec/game, 0.7 min. total, 525.1 MB
fit_relearn v1 149 games, 62317 moves, e=0.938, loss: nan, ., 12.3% elo% vs. random_bot, avg. reward: -12.838, 0.306 sec/game, 0.7 min. total, 527.3 MB
fit_relearn v1 151 games, 63070 moves, e=0.938, loss: nan, -, 12.0% elo% vs. random_bot, avg. reward: -12.894, 0.305 sec/game, 0.7 min. total, 530.1 MB
fit_relearn v1 153 games, 63886 moves, e=0.937, loss: nan, -, 11.8% elo% vs. random_bot, avg. reward: -12.902, 0.307 sec/game, 0.7 min. total, 532.9 MB
fit_relearn v1 155 games, 64676 moves, e=0.936, loss: nan, -, 11.6% elo% vs. random_bot, avg. reward: -12.894, 0.309 sec/game, 0.7 min. total, 536.1 MB
fit_relearn v1 157 games, 65387 moves, e=0.935, loss: nan, ., 12.3% elo% vs. random_bot, avg. reward: -12.951, 0.314 sec/game, 0.7 min. total, 539.4 MB
