pulsate_salute v1 36 games, 25415 moves, e=0.975, loss: nan, +, 46.8% elo% vs. v0, avg. reward: -10.272, 0.266 sec/game, 0.2 min. total, 424.2 MB
pulsate_salute v1 37 games, 26121 moves, e=0.974, loss: nan, +, 49.3% elo% vs. v0, avg. reward: -10.266, 0.267 sec/game, 0.2 min. total, 427.9 MB
pulsate_salute v1 38 games, 26778 moves, e=0.973, loss: nan, ., 49.3% elo% vs. v0, avg. reward: -10.277, 0.267 sec/game, 0.2 min. total, 428.7 MB
pulsate_salute v1 39 games, 27471 moves, e=0.973, loss: nan, +, 51.6% elo% vs. v0, avg. reward: -10.281, 0.269 sec/game, 0.2 min. total, 428.8 MB
pulsate_salute v1 40 games, 28091 moves, e=0.972, loss: nan, +, 53.9% elo% vs. v0, avg. reward: -10.310, 0.269 sec/game, 0.2 min. total, 430.0 MB
pulsate_salute v1 41 games, 28727 moves, e=0.972, loss: nan, -, 51.4% elo% vs. v0, avg. reward: -10.334, 0.267 sec/game, 0.2 min. total, 431.4 MB
pulsate_salute v1 42 games, 29428 moves, e=0.971, loss: nan, -, 49.0% elo% vs. v0, avg. reward: -10.329, 0.267 sec/game, 0.2 min. total, 433.6 MB
pulsate_salute v1 43 games, 30098 moves, e=0.970, loss: nan, -, 46.8% elo% vs. v0, avg. reward: -10.338, 0.266 sec/game, 0.2 min. total, 435.5 MB
pulsate_salute v1 44 games, 30688 moves, e=0.970, loss: nan, -, 44.6% elo% vs. v0, avg. reward: -10.378, 0.264 sec/game, 0.2 min. total, 436.9 MB
pulsate_salute v1 45 games, 31366 moves, e=0.969, loss: nan, -, 42.6% elo% vs. v0, avg. reward: -10.375, 0.256 sec/game, 0.2 min. total, 439.6 MB
pulsate_salute v1 46 games, 32061 moves, e=0.968, loss: nan, +, 45.2% elo% vs. v0, avg. reward: -10.365, 0.251 sec/game, 0.2 min. total, 442.0 MB
pulsate_salute v1 47 games, 32755 moves, e=0.968, loss: nan, ., 45.4% elo% vs. v0, avg. reward: -10.365, 0.250 sec/game, 0.2 min. total, 444.6 MB
pulsate_salute v1 48 games, 33415 moves, e=0.967, loss: nan, +, 47.9% elo% vs. v0, avg. reward: -10.372, 0.248 sec/game, 0.2 min. total, 447.9 MB
pulsate_salute v1 49 games, 34149 moves, e=0.966, loss: nan, +, 50.3% elo% vs. v0, avg. reward: -10.357, 0.239 sec/game, 0.2 min. total, 452.4 MB
pulsate_salute v1 50 games, 34857 moves, e=0.965, loss: nan, -, 48.0% elo% vs. v0, avg. reward: -10.359, 0.237 sec/game, 0.2 min. total, 456.5 MB
pulsate_salute v1 51 games, 35569 moves, e=0.965, loss: nan, +, 50.4% elo% vs. v0, avg. reward: -10.352, 0.241 sec/game, 0.2 min. total, 456.7 MB
pulsate_salute v1 52 games, 36175 moves, e=0.964, loss: nan, -, 48.1% elo% vs. v0, avg. reward: -10.384, 0.241 sec/game, 0.2 min. total, 457.8 MB
pulsate_salute v1 53 games, 36954 moves, e=0.963, loss: nan, +, 50.5% elo% vs. v0, avg. reward: -10.363, 0.242 sec/game, 0.2 min. total, 459.8 MB
pulsate_salute v1 54 games, 37667 moves, e=0.963, loss: nan, +, 52.8% elo% vs. v0, avg. reward: -10.359, 0.243 sec/game, 0.2 min. total, 461.6 MB
