justness_pawing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
justness_pawing v2 35 games, 25328 moves, e=0.975, loss: 23.5, +, 55.7% elo% vs. guard_bot, avg. reward: -5.460, 1.449 sec/game, 0.6 min. total, 452.8 MB
justness_pawing v2 36 games, 25967 moves, e=0.974, loss: 24.1, +, 57.7% elo% vs. guard_bot, avg. reward: -5.494, 1.449 sec/game, 0.6 min. total, 457.6 MB
justness_pawing v2 37 games, 26609 moves, e=0.974, loss: 22.7, +, 59.6% elo% vs. guard_bot, avg. reward: -5.536, 1.432 sec/game, 0.6 min. total, 457.8 MB
justness_pawing v2 38 games, 27219 moves, e=0.973, loss: 25.1, +, 61.4% elo% vs. guard_bot, avg. reward: -5.592, 1.431 sec/game, 0.6 min. total, 457.9 MB
justness_pawing v2 39 games, 27963 moves, e=0.972, loss: 26.9, +, 63.0% elo% vs. guard_bot, avg. reward: -5.579, 1.434 sec/game, 0.7 min. total, 458.5 MB
justness_pawing v2 40 games, 28681 moves, e=0.972, loss: 25.6, ., 62.5% elo% vs. guard_bot, avg. reward: -5.579, 1.447 sec/game, 0.7 min. total, 458.1 MB
justness_pawing v2 41 games, 29410 moves, e=0.971, loss: 28.6, +, 64.1% elo% vs. guard_bot, avg. reward: -5.568, 1.440 sec/game, 0.7 min. total, 455.7 MB
justness_pawing v2 42 games, 30091 moves, e=0.970, loss: 29.8, +, 65.6% elo% vs. guard_bot, avg. reward: -5.583, 1.447 sec/game, 0.7 min. total, 459.4 MB
justness_pawing v2 43 games, 30820 moves, e=0.969, loss: 29.2, ., 64.9% elo% vs. guard_bot, avg. reward: -5.579, 1.434 sec/game, 0.8 min. total, 460.7 MB
justness_pawing v2 44 games, 31566 moves, e=0.969, loss: 29.9, ., 64.3% elo% vs. guard_bot, avg. reward: -5.573, 1.440 sec/game, 0.8 min. total, 460.7 MB
justness_pawing v2 45 games, 32365 moves, e=0.968, loss: 28.6, +, 65.8% elo% vs. guard_bot, avg. reward: -5.545, 1.445 sec/game, 0.8 min. total, 460.4 MB
justness_pawing v2 46 games, 33167 moves, e=0.967, loss: 30.5, ., 65.1% elo% vs. guard_bot, avg. reward: -5.518, 1.470 sec/game, 0.8 min. total, 460.8 MB
justness_pawing v2 47 games, 33924 moves, e=0.966, loss: 34.0, +, 66.6% elo% vs. guard_bot, avg. reward: -5.499, 1.490 sec/game, 0.9 min. total, 461.7 MB
justness_pawing v2 48 games, 34566 moves, e=0.966, loss: 33.5, +, 67.9% elo% vs. guard_bot, avg. reward: -5.529, 1.495 sec/game, 0.9 min. total, 460.9 MB
justness_pawing v2 49 games, 35250 moves, e=0.965, loss: 32.9, +, 69.2% elo% vs. guard_bot, avg. reward: -5.525, 1.500 sec/game, 0.9 min. total, 456.6 MB
justness_pawing v2 50 games, 35843 moves, e=0.965, loss: 34.3, +, 70.4% elo% vs. guard_bot, avg. reward: -5.574, 1.487 sec/game, 0.9 min. total, 461.2 MB
justness_pawing v3 51 games, 36591 moves, e=0.964, loss: 31.7, +, 54.5% elo% vs. random_no_suicide, avg. reward: -5.571, 1.475 sec/game, 1.0 min. total, 458.5 MB
justness_pawing v3 52 games, 37401 moves, e=0.963, loss: 30.7, -, 52.0% elo% vs. random_no_suicide, avg. reward: -5.542, 1.482 sec/game, 1.0 min. total, 462.4 MB
justness_pawing v3 53 games, 38085 moves, e=0.962, loss: 32.9, -, 49.6% elo% vs. random_no_suicide, avg. reward: -5.555, 1.466 sec/game, 1.0 min. total, 463.7 MB
justness_pawing v3 54 games, 38807 moves, e=0.962, loss: 35.1, -, 47.3% elo% vs. random_no_suicide, avg. reward: -5.541, 1.472 sec/game, 1.0 min. total, 466.7 MB
justness_pawing v3 55 games, 39484 moves, e=0.961, loss: 34.5, -, 45.1% elo% vs. random_no_suicide, avg. reward: -5.555, 1.440 sec/game, 1.1 min. total, 464.6 MB
justness_pawing v3 56 games, 40186 moves, e=0.960, loss: 35.0, +, 47.7% elo% vs. random_no_suicide, avg. reward: -5.554, 1.437 sec/game, 1.1 min. total, 462.4 MB
justness_pawing v3 57 games, 40919 moves, e=0.959, loss: 35.8, -, 45.5% elo% vs. random_no_suicide, avg. reward: -5.551, 1.450 sec/game, 1.1 min. total, 467.4 MB
justness_pawing v3 58 games, 41662 moves, e=0.959, loss: 37.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: -5.540, 1.454 sec/game, 1.1 min. total, 468.1 MB
justness_pawing v3 59 games, 42443 moves, e=0.958, loss: 38.3, -, 41.5% elo% vs. random_no_suicide, avg. reward: -5.522, 1.458 sec/game, 1.2 min. total, 468.1 MB
justness_pawing v3 60 games, 43194 moves, e=0.957, loss: 38.8, -, 39.6% elo% vs. random_no_suicide, avg. reward: -5.516, 1.490 sec/game, 1.2 min. total, 469.3 MB
justness_pawing v3 61 games, 43936 moves, e=0.957, loss: 39.3, -, 37.9% elo% vs. random_no_suicide, avg. reward: -5.512, 1.526 sec/game, 1.2 min. total, 470.0 MB
justness_pawing v3 62 games, 44581 moves, e=0.956, loss: 39.9, -, 36.3% elo% vs. random_no_suicide, avg. reward: -5.533, 1.528 sec/game, 1.2 min. total, 470.3 MB
justness_pawing v3 63 games, 45203 moves, e=0.955, loss: 40.3, -, 34.7% elo% vs. random_no_suicide, avg. reward: -5.557, 1.529 sec/game, 1.3 min. total, 471.0 MB
justness_pawing v3 64 games, 45892 moves, e=0.955, loss: 41.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: -5.566, 1.517 sec/game, 1.3 min. total, 467.5 MB
justness_pawing v3 65 games, 46677 moves, e=0.954, loss: 40.0, -, 31.9% elo% vs. random_no_suicide, avg. reward: -5.547, 1.530 sec/game, 1.3 min. total, 472.1 MB
justness_pawing v3 66 games, 47429 moves, e=0.953, loss: 42.4, -, 30.7% elo% vs. random_no_suicide, avg. reward: -5.536, 1.534 sec/game, 1.4 min. total, 472.3 MB
justness_pawing v3 67 games, 48227 moves, e=0.952, loss: 45.0, -, 29.5% elo% vs. random_no_suicide, avg. reward: -5.520, 1.547 sec/game, 1.4 min. total, 472.2 MB
justness_pawing v3 68 games, 49052 moves, e=0.951, loss: 42.0, -, 28.4% elo% vs. random_no_suicide, avg. reward: -5.497, 1.579 sec/game, 1.4 min. total, 472.2 MB
justness_pawing v3 69 games, 49874 moves, e=0.951, loss: 41.8, -, 27.3% elo% vs. random_no_suicide, avg. reward: -5.476, 1.599 sec/game, 1.4 min. total, 472.5 MB
justness_pawing v3 70 games, 50610 moves, e=0.950, loss: 43.3, -, 26.3% elo% vs. random_no_suicide, avg. reward: -5.468, 1.653 sec/game, 1.5 min. total, 473.4 MB
justness_pawing v3 71 games, 51333 moves, e=0.949, loss: 43.9, -, 25.4% elo% vs. random_no_suicide, avg. reward: -5.466, 1.695 sec/game, 1.5 min. total, 473.9 MB
justness_pawing v3 72 games, 51942 moves, e=0.949, loss: 41.8, -, 24.5% elo% vs. random_no_suicide, avg. reward: -5.493, 1.672 sec/game, 1.5 min. total, 474.1 MB
justness_pawing v3 73 games, 52614 moves, e=0.948, loss: 46.2, -, 23.7% elo% vs. random_no_suicide, avg. reward: -5.500, 1.687 sec/game, 1.6 min. total, 471.7 MB
justness_pawing v3 74 games, 53399 moves, e=0.947, loss: 42.0, -, 22.9% elo% vs. random_no_suicide, avg. reward: -5.489, 1.697 sec/game, 1.6 min. total, 472.4 MB
justness_pawing v3 75 games, 54129 moves, e=0.946, loss: 44.9, -, 22.2% elo% vs. random_no_suicide, avg. reward: -5.484, 1.706 sec/game, 1.6 min. total, 476.8 MB
justness_pawing v3 76 games, 54905 moves, e=0.946, loss: 43.7, -, 21.5% elo% vs. random_no_suicide, avg. reward: -5.471, 1.723 sec/game, 1.6 min. total, 472.4 MB
justness_pawing v3 77 games, 55669 moves, e=0.945, loss: 47.1, -, 20.8% elo% vs. random_no_suicide, avg. reward: -5.460, 1.731 sec/game, 1.7 min. total, 477.5 MB
