justness_pawing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
justness_pawing v13 643 games, 704751 moves, e=0.302, loss: 14.9, -, 34.7% elo% vs. simple_bot, avg. reward: 2.084, 5.183 sec/game, 3.0 min. total, 482.6 MB
justness_pawing v13 644 games, 707035 moves, e=0.300, loss: 20.5, -, 33.3% elo% vs. simple_bot, avg. reward: 2.093, 5.247 sec/game, 3.1 min. total, 483.0 MB
justness_pawing v13 645 games, 709259 moves, e=0.298, loss: 23.2, -, 31.9% elo% vs. simple_bot, avg. reward: 2.104, 5.428 sec/game, 3.3 min. total, 426.4 MB
justness_pawing v13 646 games, 711804 moves, e=0.295, loss: 26.0, -, 30.6% elo% vs. simple_bot, avg. reward: 2.118, 5.715 sec/game, 3.4 min. total, 430.3 MB
justness_pawing v13 647 games, 714126 moves, e=0.293, loss: 27.1, -, 29.5% elo% vs. simple_bot, avg. reward: 2.131, 5.845 sec/game, 3.6 min. total, 431.7 MB
justness_pawing v13 648 games, 716313 moves, e=0.291, loss: 23.1, -, 28.3% elo% vs. simple_bot, avg. reward: 2.135, 5.834 sec/game, 3.7 min. total, 431.1 MB
justness_pawing v13 649 games, 718490 moves, e=0.289, loss: 21.2, -, 27.3% elo% vs. simple_bot, avg. reward: 2.138, 5.846 sec/game, 3.8 min. total, 431.1 MB
justness_pawing v13 650 games, 720710 moves, e=0.286, loss: 25.5, -, 26.3% elo% vs. simple_bot, avg. reward: 2.152, 5.874 sec/game, 3.8 min. total, 432.1 MB
justness_pawing v13 651 games, 723137 moves, e=0.284, loss: 23.9, -, 25.4% elo% vs. simple_bot, avg. reward: 2.165, 5.959 sec/game, 3.9 min. total, 431.5 MB
justness_pawing v13 652 games, 725608 moves, e=0.282, loss: 21.7, -, 24.5% elo% vs. simple_bot, avg. reward: 2.176, 5.987 sec/game, 4.1 min. total, 433.3 MB
justness_pawing v13 653 games, 727754 moves, e=0.280, loss: 17.4, -, 23.7% elo% vs. simple_bot, avg. reward: 2.180, 5.935 sec/game, 4.2 min. total, 433.8 MB
justness_pawing v13 654 games, 729896 moves, e=0.277, loss: 28.4, -, 22.9% elo% vs. simple_bot, avg. reward: 2.185, 5.962 sec/game, 4.3 min. total, 413.1 MB
justness_pawing v13 655 games, 732144 moves, e=0.275, loss: 29.0, -, 22.2% elo% vs. simple_bot, avg. reward: 2.191, 6.138 sec/game, 4.4 min. total, 413.4 MB
justness_pawing v13 656 games, 734294 moves, e=0.273, loss: 35.8, -, 21.5% elo% vs. simple_bot, avg. reward: 2.189, 6.353 sec/game, 4.5 min. total, 411.6 MB
justness_pawing v13 657 games, 736586 moves, e=0.271, loss: 34.3, -, 20.8% elo% vs. simple_bot, avg. reward: 2.197, 6.475 sec/game, 4.7 min. total, 416.9 MB
justness_pawing v13 658 games, 738129 moves, e=0.269, loss: 55.2, -, 20.2% elo% vs. simple_bot, avg. reward: 2.173, 6.452 sec/game, 4.7 min. total, 416.1 MB
justness_pawing v13 659 games, 740358 moves, e=0.267, loss: 64.8, -, 19.6% elo% vs. simple_bot, avg. reward: 2.179, 6.500 sec/game, 4.8 min. total, 414.4 MB
justness_pawing v13 660 games, 742816 moves, e=0.265, loss: 50.0, -, 19.0% elo% vs. simple_bot, avg. reward: 2.191, 6.649 sec/game, 5.0 min. total, 414.7 MB
justness_pawing v13 661 games, 745097 moves, e=0.262, loss: 45.6, -, 18.5% elo% vs. simple_bot, avg. reward: 2.202, 6.653 sec/game, 5.1 min. total, 415.4 MB
justness_pawing v13 662 games, 747183 moves, e=0.260, loss: 56.5, -, 18.0% elo% vs. simple_bot, avg. reward: 2.204, 6.665 sec/game, 5.2 min. total, 414.2 MB
justness_pawing v13 663 games, 749619 moves, e=0.258, loss: 35.2, -, 17.5% elo% vs. simple_bot, avg. reward: 2.220, 6.680 sec/game, 5.3 min. total, 419.3 MB
justness_pawing v13 664 games, 751939 moves, e=0.256, loss: 30.5, -, 17.0% elo% vs. simple_bot, avg. reward: 2.227, 6.662 sec/game, 5.3 min. total, 417.6 MB
justness_pawing v13 665 games, 754044 moves, e=0.253, loss: 40.3, -, 16.6% elo% vs. simple_bot, avg. reward: 2.225, 6.500 sec/game, 5.4 min. total, 417.0 MB
justness_pawing v13 666 games, 756483 moves, e=0.251, loss: 39.5, -, 16.2% elo% vs. simple_bot, avg. reward: 2.237, 6.261 sec/game, 5.5 min. total, 419.9 MB
justness_pawing v13 667 games, 759069 moves, e=0.249, loss: 30.6, -, 15.8% elo% vs. simple_bot, avg. reward: 2.251, 6.130 sec/game, 5.6 min. total, 423.0 MB
justness_pawing v13 668 games, 761205 moves, e=0.246, loss: 28.7, -, 15.4% elo% vs. simple_bot, avg. reward: 2.254, 6.082 sec/game, 5.7 min. total, 423.2 MB
justness_pawing v13 669 games, 763520 moves, e=0.244, loss: 34.5, -, 15.0% elo% vs. simple_bot, avg. reward: 2.263, 6.078 sec/game, 5.8 min. total, 428.1 MB
justness_pawing v13 670 games, 765982 moves, e=0.242, loss: 33.0, -, 14.7% elo% vs. simple_bot, avg. reward: 2.271, 6.103 sec/game, 5.9 min. total, 429.3 MB
justness_pawing v13 671 games, 768610 moves, e=0.239, loss: 35.0, -, 14.3% elo% vs. simple_bot, avg. reward: 2.283, 6.071 sec/game, 6.0 min. total, 428.2 MB
justness_pawing v13 672 games, 771251 moves, e=0.236, loss: 38.5, -, 14.0% elo% vs. simple_bot, avg. reward: 2.295, 6.049 sec/game, 6.1 min. total, 432.5 MB
justness_pawing v13 673 games, 773936 moves, e=0.234, loss: 25.3, -, 13.7% elo% vs. simple_bot, avg. reward: 2.306, 6.039 sec/game, 6.2 min. total, 435.2 MB
justness_pawing v13 674 games, 776157 moves, e=0.232, loss: 19.0, -, 13.4% elo% vs. simple_bot, avg. reward: 2.312, 5.937 sec/game, 6.2 min. total, 431.6 MB
justness_pawing v13 675 games, 778664 moves, e=0.229, loss: 18.7, -, 13.1% elo% vs. simple_bot, avg. reward: 2.321, 5.832 sec/game, 6.3 min. total, 431.3 MB
justness_pawing v13 676 games, 780810 moves, e=0.227, loss: 26.7, -, 12.9% elo% vs. simple_bot, avg. reward: 2.324, 5.625 sec/game, 6.4 min. total, 431.3 MB
justness_pawing v13 677 games, 783411 moves, e=0.224, loss: 31.4, -, 12.6% elo% vs. simple_bot, avg. reward: 2.333, 5.554 sec/game, 6.5 min. total, 428.8 MB
justness_pawing v13 678 games, 786078 moves, e=0.222, loss: 28.9, -, 12.3% elo% vs. simple_bot, avg. reward: 2.345, 5.617 sec/game, 6.6 min. total, 431.0 MB
justness_pawing v13 679 games, 788969 moves, e=0.219, loss: 20.4, -, 12.1% elo% vs. simple_bot, avg. reward: 2.357, 5.628 sec/game, 6.7 min. total, 434.1 MB
justness_pawing v13 680 games, 791704 moves, e=0.216, loss: 17.8, -, 11.9% elo% vs. simple_bot, avg. reward: 2.368, 5.537 sec/game, 6.8 min. total, 438.0 MB
justness_pawing v13 681 games, 794512 moves, e=0.213, loss: 12.5, -, 11.6% elo% vs. simple_bot, avg. reward: 2.380, 5.551 sec/game, 6.9 min. total, 441.9 MB
justness_pawing v13 682 games, 797247 moves, e=0.211, loss: 15.4, -, 11.4% elo% vs. simple_bot, avg. reward: 2.391, 5.593 sec/game, 7.0 min. total, 440.1 MB
justness_pawing v13 683 games, 799879 moves, e=0.208, loss: 9.0, -, 11.2% elo% vs. simple_bot, avg. reward: 2.399, 5.587 sec/game, 7.1 min. total, 440.7 MB
justness_pawing v13 684 games, 802969 moves, e=0.205, loss: 9.6, -, 11.0% elo% vs. simple_bot, avg. reward: 2.414, 5.640 sec/game, 7.2 min. total, 444.2 MB
justness_pawing v13 685 games, 805665 moves, e=0.202, loss: 10.5, -, 10.8% elo% vs. simple_bot, avg. reward: 2.424, 5.710 sec/game, 7.3 min. total, 443.3 MB
justness_pawing v13 686 games, 808383 moves, e=0.200, loss: 19.6, -, 10.6% elo% vs. simple_bot, avg. reward: 2.437, 5.719 sec/game, 7.4 min. total, 442.5 MB
justness_pawing v13 687 games, 810594 moves, e=0.198, loss: 33.2, -, 10.4% elo% vs. simple_bot, avg. reward: 2.440, 5.691 sec/game, 7.5 min. total, 440.8 MB
justness_pawing v13 688 games, 813243 moves, e=0.195, loss: 54.8, -, 10.3% elo% vs. simple_bot, avg. reward: 2.447, 5.747 sec/game, 7.6 min. total, 441.2 MB
justness_pawing v13 689 games, 816260 moves, e=0.192, loss: 43.7, -, 10.1% elo% vs. simple_bot, avg. reward: 2.458, 5.806 sec/game, 7.7 min. total, 441.9 MB
justness_pawing v13 690 games, 818828 moves, e=0.189, loss: 38.9, -, 9.9% elo% vs. simple_bot, avg. reward: 2.465, 5.800 sec/game, 7.8 min. total, 442.4 MB
justness_pawing v13 691 games, 821692 moves, e=0.187, loss: 42.3, -, 9.8% elo% vs. simple_bot, avg. reward: 2.477, 5.806 sec/game, 7.9 min. total, 444.1 MB
justness_pawing v13 692 games, 823932 moves, e=0.184, loss: 45.2, -, 9.6% elo% vs. simple_bot, avg. reward: 2.477, 5.754 sec/game, 8.0 min. total, 443.2 MB
justness_pawing v13 693 games, 826159 moves, e=0.182, loss: 56.2, -, 9.4% elo% vs. simple_bot, avg. reward: 2.478, 5.712 sec/game, 8.1 min. total, 438.4 MB
justness_pawing v13 694 games, 828769 moves, e=0.180, loss: 62.6, -, 9.3% elo% vs. simple_bot, avg. reward: 2.486, 5.750 sec/game, 8.2 min. total, 438.7 MB
justness_pawing v13 695 games, 831700 moves, e=0.177, loss: 57.0, -, 9.2% elo% vs. simple_bot, avg. reward: 2.496, 5.794 sec/game, 8.3 min. total, 441.0 MB
justness_pawing v13 696 games, 834045 moves, e=0.174, loss: 50.8, -, 9.0% elo% vs. simple_bot, avg. reward: 2.497, 5.803 sec/game, 8.4 min. total, 440.9 MB
justness_pawing v13 697 games, 836426 moves, e=0.172, loss: 61.7, -, 8.9% elo% vs. simple_bot, avg. reward: 2.503, 5.783 sec/game, 8.4 min. total, 443.5 MB
justness_pawing v13 698 games, 838794 moves, e=0.170, loss: 63.4, -, 8.7% elo% vs. simple_bot, avg. reward: 2.509, 5.752 sec/game, 8.5 min. total, 442.6 MB
justness_pawing v13 699 games, 841270 moves, e=0.167, loss: 57.6, -, 8.6% elo% vs. simple_bot, avg. reward: 2.515, 5.686 sec/game, 8.6 min. total, 442.7 MB
justness_pawing v13 700 games, 844131 moves, e=0.164, loss: 54.6, -, 8.5% elo% vs. simple_bot, avg. reward: 2.522, 5.701 sec/game, 8.7 min. total, 445.8 MB
justness_pawing v14 701 games, 847149 moves, e=0.161, loss: 38.6, -, 47.7% elo% vs. simple_bot, avg. reward: 2.532, 5.729 sec/game, 8.8 min. total, 450.2 MB
justness_pawing v14 702 games, 849963 moves, e=0.159, loss: 23.9, -, 45.5% elo% vs. simple_bot, avg. reward: 2.547, 5.747 sec/game, 8.9 min. total, 452.7 MB
justness_pawing v14 703 games, 852554 moves, e=0.156, loss: 29.6, -, 43.4% elo% vs. simple_bot, avg. reward: 2.560, 5.737 sec/game, 9.0 min. total, 452.8 MB
justness_pawing v14 704 games, 855665 moves, e=0.153, loss: 28.0, -, 41.5% elo% vs. simple_bot, avg. reward: 2.579, 5.733 sec/game, 9.1 min. total, 453.2 MB
justness_pawing v14 705 games, 858732 moves, e=0.150, loss: 24.8, -, 39.6% elo% vs. simple_bot, avg. reward: 2.593, 5.834 sec/game, 9.3 min. total, 443.3 MB
justness_pawing v14 706 games, 861374 moves, e=0.147, loss: 17.6, -, 37.9% elo% vs. simple_bot, avg. reward: 2.609, 5.829 sec/game, 9.4 min. total, 442.2 MB
justness_pawing v14 707 games, 864006 moves, e=0.145, loss: 28.6, -, 36.3% elo% vs. simple_bot, avg. reward: 2.618, 5.899 sec/game, 9.5 min. total, 443.3 MB
justness_pawing v14 708 games, 867165 moves, e=0.142, loss: 27.9, -, 34.8% elo% vs. simple_bot, avg. reward: 2.639, 5.990 sec/game, 9.6 min. total, 442.1 MB
justness_pawing v14 709 games, 869942 moves, e=0.139, loss: 32.4, -, 33.3% elo% vs. simple_bot, avg. reward: 2.655, 6.009 sec/game, 9.7 min. total, 442.5 MB
justness_pawing v14 710 games, 872721 moves, e=0.136, loss: 39.7, -, 32.0% elo% vs. simple_bot, avg. reward: 2.674, 6.059 sec/game, 9.8 min. total, 443.2 MB
justness_pawing v14 711 games, 875576 moves, e=0.133, loss: 37.7, -, 30.7% elo% vs. simple_bot, avg. reward: 2.684, 6.063 sec/game, 9.9 min. total, 446.3 MB
justness_pawing v14 712 games, 878493 moves, e=0.130, loss: 39.3, -, 29.5% elo% vs. simple_bot, avg. reward: 2.707, 6.178 sec/game, 10.0 min. total, 448.3 MB
justness_pawing v14 713 games, 881638 moves, e=0.127, loss: 31.3, -, 28.4% elo% vs. simple_bot, avg. reward: 2.725, 6.254 sec/game, 10.2 min. total, 448.9 MB
justness_pawing v14 714 games, 884506 moves, e=0.124, loss: 30.8, -, 27.3% elo% vs. simple_bot, avg. reward: 2.744, 6.277 sec/game, 10.3 min. total, 450.3 MB
justness_pawing v14 715 games, 887454 moves, e=0.121, loss: 33.1, -, 26.4% elo% vs. simple_bot, avg. reward: 2.759, 6.263 sec/game, 10.4 min. total, 449.3 MB
justness_pawing v14 716 games, 890820 moves, e=0.118, loss: 33.9, -, 25.4% elo% vs. simple_bot, avg. reward: 2.783, 6.345 sec/game, 10.5 min. total, 453.8 MB
justness_pawing v14 717 games, 893363 moves, e=0.116, loss: 40.4, -, 24.5% elo% vs. simple_bot, avg. reward: 2.794, 6.350 sec/game, 10.6 min. total, 451.1 MB
justness_pawing v14 718 games, 895455 moves, e=0.113, loss: 54.3, -, 23.7% elo% vs. simple_bot, avg. reward: 2.797, 6.304 sec/game, 10.6 min. total, 448.5 MB
justness_pawing v14 719 games, 898123 moves, e=0.111, loss: 60.7, -, 22.9% elo% vs. simple_bot, avg. reward: 2.814, 6.313 sec/game, 10.7 min. total, 447.2 MB
justness_pawing v14 720 games, 900660 moves, e=0.108, loss: 69.4, -, 22.2% elo% vs. simple_bot, avg. reward: 2.821, 6.253 sec/game, 10.8 min. total, 444.6 MB
justness_pawing v14 721 games, 903869 moves, e=0.105, loss: 63.4, -, 21.5% elo% vs. simple_bot, avg. reward: 2.844, 6.233 sec/game, 10.9 min. total, 449.5 MB
justness_pawing v14 722 games, 906561 moves, e=0.103, loss: 53.3, -, 20.8% elo% vs. simple_bot, avg. reward: 2.853, 6.207 sec/game, 11.0 min. total, 451.4 MB
justness_pawing v14 723 games, 909389 moves, e=0.100, loss: 50.8, -, 20.2% elo% vs. simple_bot, avg. reward: 2.866, 6.229 sec/game, 11.1 min. total, 452.6 MB
justness_pawing v14 724 games, 912023 moves, e=0.097, loss: 61.1, -, 19.6% elo% vs. simple_bot, avg. reward: 2.875, 6.183 sec/game, 11.2 min. total, 451.6 MB
justness_pawing v14 725 games, 915220 moves, e=0.094, loss: 53.6, -, 19.1% elo% vs. simple_bot, avg. reward: 2.891, 6.090 sec/game, 11.3 min. total, 457.0 MB
justness_pawing v14 726 games, 918160 moves, e=0.091, loss: 49.3, -, 18.5% elo% vs. simple_bot, avg. reward: 2.899, 6.093 sec/game, 11.4 min. total, 452.1 MB
justness_pawing v14 727 games, 921426 moves, e=0.088, loss: 36.0, -, 18.0% elo% vs. simple_bot, avg. reward: 2.916, 6.077 sec/game, 11.5 min. total, 453.9 MB
justness_pawing v14 728 games, 924312 moves, e=0.085, loss: 31.2, -, 17.5% elo% vs. simple_bot, avg. reward: 2.934, 5.978 sec/game, 11.6 min. total, 455.1 MB
justness_pawing v14 729 games, 927016 moves, e=0.082, loss: 36.6, -, 17.1% elo% vs. simple_bot, avg. reward: 2.945, 5.898 sec/game, 11.7 min. total, 457.5 MB
justness_pawing v14 730 games, 929684 moves, e=0.080, loss: 38.0, -, 16.6% elo% vs. simple_bot, avg. reward: 2.954, 5.835 sec/game, 11.8 min. total, 451.7 MB
justness_pawing v14 731 games, 932475 moves, e=0.077, loss: 45.7, -, 16.2% elo% vs. simple_bot, avg. reward: 2.968, 5.784 sec/game, 11.9 min. total, 453.8 MB
justness_pawing v14 732 games, 935342 moves, e=0.074, loss: 45.8, -, 15.8% elo% vs. simple_bot, avg. reward: 2.979, 5.715 sec/game, 12.0 min. total, 460.8 MB
justness_pawing v14 733 games, 937861 moves, e=0.072, loss: 48.4, -, 15.4% elo% vs. simple_bot, avg. reward: 2.986, 5.635 sec/game, 12.0 min. total, 460.5 MB
justness_pawing v14 734 games, 940438 moves, e=0.069, loss: 57.1, -, 15.1% elo% vs. simple_bot, avg. reward: 2.990, 5.583 sec/game, 12.1 min. total, 460.2 MB
justness_pawing v14 735 games, 943312 moves, e=0.066, loss: 52.1, -, 14.7% elo% vs. simple_bot, avg. reward: 3.011, 5.546 sec/game, 12.2 min. total, 455.3 MB
justness_pawing v14 736 games, 946528 moves, e=0.063, loss: 53.3, -, 14.4% elo% vs. simple_bot, avg. reward: 3.027, 5.524 sec/game, 12.3 min. total, 455.7 MB
justness_pawing v14 737 games, 949763 moves, e=0.060, loss: 45.4, -, 14.0% elo% vs. simple_bot, avg. reward: 3.042, 5.574 sec/game, 12.4 min. total, 464.5 MB
justness_pawing v14 738 games, 952561 moves, e=0.057, loss: 43.0, -, 13.7% elo% vs. simple_bot, avg. reward: 3.058, 5.619 sec/game, 12.5 min. total, 461.4 MB
justness_pawing v14 739 games, 955033 moves, e=0.055, loss: 46.6, -, 13.4% elo% vs. simple_bot, avg. reward: 3.065, 5.601 sec/game, 12.6 min. total, 464.1 MB
justness_pawing v14 740 games, 957704 moves, e=0.052, loss: 51.1, -, 13.1% elo% vs. simple_bot, avg. reward: 3.072, 5.608 sec/game, 12.7 min. total, 464.8 MB
justness_pawing v14 741 games, 960296 moves, e=0.049, loss: 56.6, -, 12.9% elo% vs. simple_bot, avg. reward: 3.077, 5.550 sec/game, 12.8 min. total, 462.2 MB
justness_pawing v14 742 games, 962673 moves, e=0.047, loss: 60.1, -, 12.6% elo% vs. simple_bot, avg. reward: 3.083, 5.499 sec/game, 12.8 min. total, 456.3 MB
justness_pawing v14 743 games, 965059 moves, e=0.045, loss: 59.3, -, 12.4% elo% vs. simple_bot, avg. reward: 3.090, 5.439 sec/game, 12.9 min. total, 452.3 MB
justness_pawing v14 744 games, 967347 moves, e=0.042, loss: 62.1, -, 12.1% elo% vs. simple_bot, avg. reward: 3.092, 5.391 sec/game, 13.0 min. total, 455.1 MB
justness_pawing v14 745 games, 969321 moves, e=0.040, loss: 63.9, -, 11.9% elo% vs. simple_bot, avg. reward: 3.088, 5.277 sec/game, 13.1 min. total, 449.1 MB
justness_pawing v14 746 games, 971615 moves, e=0.038, loss: 67.8, -, 11.7% elo% vs. simple_bot, avg. reward: 3.087, 5.223 sec/game, 13.1 min. total, 449.6 MB
justness_pawing v14 747 games, 974776 moves, e=0.035, loss: 60.6, -, 11.4% elo% vs. simple_bot, avg. reward: 3.098, 5.214 sec/game, 13.2 min. total, 455.7 MB
justness_pawing v14 748 games, 977612 moves, e=0.032, loss: 54.7, -, 11.2% elo% vs. simple_bot, avg. reward: 3.109, 5.204 sec/game, 13.3 min. total, 459.6 MB
justness_pawing v14 749 games, 980764 moves, e=0.029, loss: 50.7, -, 11.0% elo% vs. simple_bot, avg. reward: 3.125, 5.239 sec/game, 13.4 min. total, 472.0 MB
justness_pawing v14 750 games, 983395 moves, e=0.026, loss: 49.9, -, 10.8% elo% vs. simple_bot, avg. reward: 3.131, 5.230 sec/game, 13.5 min. total, 467.2 MB
justness_pawing v14 751 games, 985638 moves, e=0.024, loss: 57.6, -, 10.6% elo% vs. simple_bot, avg. reward: 3.132, 5.196 sec/game, 13.6 min. total, 465.0 MB
justness_pawing v14 752 games, 988351 moves, e=0.022, loss: 59.5, -, 10.4% elo% vs. simple_bot, avg. reward: 3.139, 5.173 sec/game, 13.7 min. total, 464.7 MB
justness_pawing v14 753 games, 990673 moves, e=0.019, loss: 63.2, -, 10.3% elo% vs. simple_bot, avg. reward: 3.143, 5.155 sec/game, 13.8 min. total, 460.6 MB
justness_pawing v14 754 games, 993494 moves, e=0.016, loss: 54.8, -, 10.1% elo% vs. simple_bot, avg. reward: 3.153, 5.184 sec/game, 13.8 min. total, 462.0 MB
justness_pawing v14 755 games, 996233 moves, e=0.014, loss: 55.9, -, 9.9% elo% vs. simple_bot, avg. reward: 3.163, 5.191 sec/game, 13.9 min. total, 470.9 MB
justness_pawing v14 756 games, 999104 moves, e=0.011, loss: 53.9, -, 9.8% elo% vs. simple_bot, avg. reward: 3.176, 5.154 sec/game, 14.0 min. total, 466.5 MB
justness_pawing v14 757 games, 1001528 moves, e=0.010, loss: 60.3, -, 9.6% elo% vs. simple_bot, avg. reward: 3.178, 5.067 sec/game, 14.1 min. total, 472.5 MB
justness_pawing v14 758 games, 1003667 moves, e=0.010, loss: 66.3, -, 9.5% elo% vs. simple_bot, avg. reward: 3.194, 5.021 sec/game, 14.2 min. total, 464.0 MB
justness_pawing v14 759 games, 1005684 moves, e=0.010, loss: 61.9, -, 9.3% elo% vs. simple_bot, avg. reward: 3.191, 4.961 sec/game, 14.2 min. total, 460.7 MB
justness_pawing v14 760 games, 1007642 moves, e=0.010, loss: 66.9, -, 9.2% elo% vs. simple_bot, avg. reward: 3.181, 4.896 sec/game, 14.3 min. total, 457.5 MB
justness_pawing v14 761 games, 1010451 moves, e=0.010, loss: 65.2, -, 9.0% elo% vs. simple_bot, avg. reward: 3.189, 4.914 sec/game, 14.4 min. total, 459.4 MB
justness_pawing v14 762 games, 1012724 moves, e=0.010, loss: 63.9, -, 8.9% elo% vs. simple_bot, avg. reward: 3.192, 4.898 sec/game, 14.5 min. total, 463.4 MB
justness_pawing v14 763 games, 1015442 moves, e=0.010, loss: 61.3, -, 8.8% elo% vs. simple_bot, avg. reward: 3.197, 4.941 sec/game, 14.6 min. total, 468.3 MB
justness_pawing v14 764 games, 1018000 moves, e=0.010, loss: 55.0, -, 8.6% elo% vs. simple_bot, avg. reward: 3.203, 5.055 sec/game, 14.7 min. total, 472.2 MB
justness_pawing v14 765 games, 1020636 moves, e=0.010, loss: 54.3, -, 8.5% elo% vs. simple_bot, avg. reward: 3.215, 5.149 sec/game, 14.8 min. total, 465.3 MB
justness_pawing v14 766 games, 1023094 moves, e=0.010, loss: 50.7, -, 8.4% elo% vs. simple_bot, avg. reward: 3.216, 5.153 sec/game, 14.9 min. total, 469.1 MB
justness_pawing v14 767 games, 1025502 moves, e=0.010, loss: 54.3, -, 8.3% elo% vs. simple_bot, avg. reward: 3.216, 5.094 sec/game, 14.9 min. total, 467.2 MB
justness_pawing v14 768 games, 1028078 moves, e=0.010, loss: 58.4, -, 8.1% elo% vs. simple_bot, avg. reward: 3.226, 5.066 sec/game, 15.0 min. total, 468.5 MB
justness_pawing v14 769 games, 1030304 moves, e=0.010, loss: 59.5, -, 8.0% elo% vs. simple_bot, avg. reward: 3.226, 4.987 sec/game, 15.1 min. total, 466.0 MB
justness_pawing v14 770 games, 1032200 moves, e=0.010, loss: 65.0, -, 7.9% elo% vs. simple_bot, avg. reward: 3.217, 4.919 sec/game, 15.2 min. total, 467.7 MB
justness_pawing v14 771 games, 1035217 moves, e=0.010, loss: 59.0, -, 7.8% elo% vs. simple_bot, avg. reward: 3.225, 4.975 sec/game, 15.2 min. total, 469.6 MB
justness_pawing v14 772 games, 1037911 moves, e=0.010, loss: 61.3, -, 7.7% elo% vs. simple_bot, avg. reward: 3.229, 4.971 sec/game, 15.3 min. total, 474.2 MB
justness_pawing v14 773 games, 1040449 moves, e=0.010, loss: 58.0, -, 7.6% elo% vs. simple_bot, avg. reward: 3.231, 4.983 sec/game, 15.4 min. total, 478.3 MB
justness_pawing v14 774 games, 1042880 moves, e=0.010, loss: 59.1, -, 7.5% elo% vs. simple_bot, avg. reward: 3.235, 4.946 sec/game, 15.5 min. total, 477.1 MB
justness_pawing v14 775 games, 1045547 moves, e=0.010, loss: 68.7, -, 7.4% elo% vs. simple_bot, avg. reward: 3.240, 4.931 sec/game, 15.6 min. total, 480.4 MB
justness_pawing v14 776 games, 1048253 moves, e=0.010, loss: 69.2, -, 7.3% elo% vs. simple_bot, avg. reward: 3.249, 4.928 sec/game, 15.7 min. total, 475.3 MB
justness_pawing v14 777 games, 1050994 moves, e=0.010, loss: 64.6, -, 7.2% elo% vs. simple_bot, avg. reward: 3.255, 4.949 sec/game, 15.8 min. total, 474.8 MB
justness_pawing v14 778 games, 1053463 moves, e=0.010, loss: 64.1, -, 7.2% elo% vs. simple_bot, avg. reward: 3.255, 4.985 sec/game, 15.8 min. total, 480.2 MB
justness_pawing v14 779 games, 1056341 moves, e=0.010, loss: 57.5, -, 7.1% elo% vs. simple_bot, avg. reward: 3.261, 5.061 sec/game, 15.9 min. total, 478.3 MB
justness_pawing v14 780 games, 1059023 moves, e=0.010, loss: 57.7, -, 7.0% elo% vs. simple_bot, avg. reward: 3.265, 5.126 sec/game, 16.0 min. total, 479.2 MB
justness_pawing v14 781 games, 1061672 moves, e=0.010, loss: 57.6, -, 6.9% elo% vs. simple_bot, avg. reward: 3.267, 5.110 sec/game, 16.1 min. total, 478.7 MB
justness_pawing v14 782 games, 1064354 moves, e=0.010, loss: 57.5, -, 6.8% elo% vs. simple_bot, avg. reward: 3.270, 5.153 sec/game, 16.2 min. total, 479.8 MB
justness_pawing v14 783 games, 1066990 moves, e=0.010, loss: 67.8, -, 6.7% elo% vs. simple_bot, avg. reward: 3.276, 5.129 sec/game, 16.3 min. total, 477.5 MB
justness_pawing v14 784 games, 1069972 moves, e=0.010, loss: 65.6, -, 6.7% elo% vs. simple_bot, avg. reward: 3.277, 5.082 sec/game, 16.4 min. total, 481.6 MB
justness_pawing v14 785 games, 1072898 moves, e=0.010, loss: 68.6, -, 6.6% elo% vs. simple_bot, avg. reward: 3.283, 5.085 sec/game, 16.5 min. total, 483.8 MB
justness_pawing v14 786 games, 1075651 moves, e=0.010, loss: 72.7, -, 6.5% elo% vs. simple_bot, avg. reward: 3.285, 5.155 sec/game, 16.6 min. total, 484.6 MB
justness_pawing v14 787 games, 1078699 moves, e=0.010, loss: 65.8, -, 6.4% elo% vs. simple_bot, avg. reward: 3.298, 5.290 sec/game, 16.7 min. total, 486.3 MB
justness_pawing v14 788 games, 1081226 moves, e=0.010, loss: 65.6, -, 6.4% elo% vs. simple_bot, avg. reward: 3.302, 5.350 sec/game, 16.8 min. total, 486.0 MB
justness_pawing v14 789 games, 1084102 moves, e=0.010, loss: 63.0, -, 6.3% elo% vs. simple_bot, avg. reward: 3.306, 5.440 sec/game, 16.9 min. total, 485.4 MB
justness_pawing v14 790 games, 1087152 moves, e=0.010, loss: 59.7, -, 6.2% elo% vs. simple_bot, avg. reward: 3.317, 5.563 sec/game, 17.0 min. total, 485.0 MB
justness_pawing v14 791 games, 1090159 moves, e=0.010, loss: 59.5, -, 6.2% elo% vs. simple_bot, avg. reward: 3.323, 5.563 sec/game, 17.1 min. total, 486.2 MB
justness_pawing v14 792 games, 1093588 moves, e=0.010, loss: 56.6, -, 6.1% elo% vs. simple_bot, avg. reward: 3.342, 5.629 sec/game, 17.2 min. total, 488.8 MB
justness_pawing v14 793 games, 1096749 moves, e=0.010, loss: 57.1, -, 6.0% elo% vs. simple_bot, avg. reward: 3.358, 5.697 sec/game, 17.3 min. total, 488.7 MB
justness_pawing v14 794 games, 1100707 moves, e=0.010, loss: 50.6, -, 6.0% elo% vs. simple_bot, avg. reward: 3.370, 5.828 sec/game, 17.4 min. total, 489.9 MB
