crept_squid v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
crept_squid v1 37 games, 25896 moves, e=0.974, loss: 37.9, -, 22.9% elo% vs. v0, avg. reward: -3.592, 1.462 sec/game, 0.6 min. total, 404.3 MB
crept_squid v1 38 games, 26642 moves, e=0.974, loss: 40.9, -, 22.1% elo% vs. v0, avg. reward: -3.586, 1.464 sec/game, 0.6 min. total, 404.3 MB
crept_squid v1 39 games, 27374 moves, e=0.973, loss: 41.7, -, 21.4% elo% vs. v0, avg. reward: -3.551, 1.466 sec/game, 0.7 min. total, 404.2 MB
crept_squid v1 40 games, 28182 moves, e=0.972, loss: 43.4, +, 24.0% elo% vs. v0, avg. reward: -3.506, 1.481 sec/game, 0.7 min. total, 402.5 MB
crept_squid v1 41 games, 28890 moves, e=0.971, loss: 42.3, +, 26.6% elo% vs. v0, avg. reward: -3.479, 1.496 sec/game, 0.7 min. total, 404.7 MB
crept_squid v1 42 games, 29456 moves, e=0.971, loss: 46.6, -, 25.7% elo% vs. v0, avg. reward: -3.585, 1.485 sec/game, 0.7 min. total, 406.0 MB
crept_squid v1 43 games, 30106 moves, e=0.970, loss: 48.0, -, 24.8% elo% vs. v0, avg. reward: -3.546, 1.480 sec/game, 0.8 min. total, 406.1 MB
crept_squid v1 44 games, 30768 moves, e=0.970, loss: 50.7, -, 23.9% elo% vs. v0, avg. reward: -3.562, 1.481 sec/game, 0.8 min. total, 406.0 MB
crept_squid v1 45 games, 31498 moves, e=0.969, loss: 51.1, -, 23.2% elo% vs. v0, avg. reward: -3.588, 1.481 sec/game, 0.8 min. total, 406.0 MB
crept_squid v1 46 games, 32224 moves, e=0.968, loss: 49.7, -, 22.4% elo% vs. v0, avg. reward: -3.609, 1.476 sec/game, 0.8 min. total, 406.0 MB
crept_squid v1 47 games, 32857 moves, e=0.967, loss: 51.1, -, 21.7% elo% vs. v0, avg. reward: -3.666, 1.472 sec/game, 0.8 min. total, 406.0 MB
crept_squid v1 48 games, 33401 moves, e=0.967, loss: 54.9, -, 21.0% elo% vs. v0, avg. reward: -3.744, 1.458 sec/game, 0.9 min. total, 406.0 MB
crept_squid v1 49 games, 34191 moves, e=0.966, loss: 56.2, +, 23.5% elo% vs. v0, avg. reward: -3.660, 1.476 sec/game, 0.9 min. total, 406.1 MB
crept_squid v1 50 games, 34973 moves, e=0.965, loss: 55.1, -, 22.8% elo% vs. v0, avg. reward: -3.682, 1.479 sec/game, 0.9 min. total, 406.4 MB
crept_squid v1 51 games, 35569 moves, e=0.965, loss: 53.4, -, 22.0% elo% vs. v0, avg. reward: -3.743, 1.470 sec/game, 0.9 min. total, 407.8 MB
crept_squid v1 52 games, 36346 moves, e=0.964, loss: 59.0, -, 21.3% elo% vs. v0, avg. reward: -3.731, 1.474 sec/game, 1.0 min. total, 408.1 MB
crept_squid v1 53 games, 36998 moves, e=0.963, loss: 62.3, +, 23.9% elo% vs. v0, avg. reward: -3.725, 1.484 sec/game, 1.0 min. total, 406.9 MB
crept_squid v1 54 games, 37664 moves, e=0.963, loss: 55.8, -, 23.1% elo% vs. v0, avg. reward: -3.805, 1.470 sec/game, 1.0 min. total, 409.5 MB
crept_squid v1 55 games, 38349 moves, e=0.962, loss: 56.3, -, 22.3% elo% vs. v0, avg. reward: -3.804, 1.451 sec/game, 1.0 min. total, 410.2 MB
crept_squid v1 56 games, 39067 moves, e=0.961, loss: 62.1, -, 21.6% elo% vs. v0, avg. reward: -3.799, 1.464 sec/game, 1.1 min. total, 410.9 MB
