zoology_jogging v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
zoology_jogging v3 144 games, 106072 moves, e=0.895, loss: 17913552.9, -, 7.9% elo% vs. random_no_suicide, avg. reward: 1304.423, 1.594 sec/game, 3.4 min. total, 460.5 MB
zoology_jogging v3 145 games, 106871 moves, e=0.894, loss: 17471837.8, -, 7.8% elo% vs. random_no_suicide, avg. reward: 1308.258, 1.599 sec/game, 3.4 min. total, 460.5 MB
zoology_jogging v3 146 games, 107571 moves, e=0.894, loss: 18287237.9, -, 7.7% elo% vs. random_no_suicide, avg. reward: 1296.195, 1.600 sec/game, 3.4 min. total, 460.3 MB
zoology_jogging v3 147 games, 108351 moves, e=0.893, loss: 17689540.8, -, 7.6% elo% vs. random_no_suicide, avg. reward: 1320.033, 1.602 sec/game, 3.5 min. total, 460.7 MB
zoology_jogging v3 148 games, 109083 moves, e=0.892, loss: 16656420.4, -, 7.5% elo% vs. random_no_suicide, avg. reward: 1332.741, 1.601 sec/game, 3.5 min. total, 460.6 MB
zoology_jogging v3 149 games, 109865 moves, e=0.891, loss: 17104251.8, -, 7.4% elo% vs. random_no_suicide, avg. reward: 1340.979, 1.602 sec/game, 3.5 min. total, 460.6 MB
zoology_jogging v3 150 games, 110675 moves, e=0.890, loss: 17285615.3, -, 7.3% elo% vs. random_no_suicide, avg. reward: 1346.963, 1.598 sec/game, 3.5 min. total, 461.0 MB
zoology_jogging v3 151 games, 111350 moves, e=0.890, loss: 18267393.9, -, 7.2% elo% vs. random_no_suicide, avg. reward: 1359.448, 1.588 sec/game, 3.6 min. total, 462.6 MB
zoology_jogging v3 152 games, 112054 moves, e=0.889, loss: 17896310.1, -, 7.1% elo% vs. random_no_suicide, avg. reward: 1381.014, 1.595 sec/game, 3.6 min. total, 462.1 MB
zoology_jogging v3 153 games, 112880 moves, e=0.888, loss: 18301482.5, -, 7.1% elo% vs. random_no_suicide, avg. reward: 1376.908, 1.608 sec/game, 3.6 min. total, 462.2 MB
zoology_jogging v3 154 games, 113518 moves, e=0.888, loss: 18142934.9, -, 7.0% elo% vs. random_no_suicide, avg. reward: 1371.208, 1.586 sec/game, 3.6 min. total, 462.3 MB
zoology_jogging v3 155 games, 114256 moves, e=0.887, loss: 17747944.2, -, 6.9% elo% vs. random_no_suicide, avg. reward: 1370.478, 1.584 sec/game, 3.7 min. total, 462.3 MB
zoology_jogging v3 156 games, 114910 moves, e=0.886, loss: 18000178.3, -, 6.8% elo% vs. random_no_suicide, avg. reward: 1372.392, 1.575 sec/game, 3.7 min. total, 462.3 MB
zoology_jogging v3 157 games, 115680 moves, e=0.885, loss: 17824081.2, -, 6.7% elo% vs. random_no_suicide, avg. reward: 1356.770, 1.575 sec/game, 3.7 min. total, 462.3 MB
zoology_jogging v3 158 games, 116448 moves, e=0.885, loss: 17397083.9, -, 6.7% elo% vs. random_no_suicide, avg. reward: 1346.543, 1.578 sec/game, 3.7 min. total, 461.8 MB
zoology_jogging v3 159 games, 117258 moves, e=0.884, loss: 18032230.3, -, 6.6% elo% vs. random_no_suicide, avg. reward: 1354.922, 1.599 sec/game, 3.8 min. total, 461.9 MB
zoology_jogging v3 160 games, 118067 moves, e=0.883, loss: 18289656.3, -, 6.5% elo% vs. random_no_suicide, avg. reward: 1358.648, 1.594 sec/game, 3.8 min. total, 462.4 MB
zoology_jogging v3 161 games, 119048 moves, e=0.882, loss: 18075064.0, -, 6.4% elo% vs. random_no_suicide, avg. reward: 1365.498, 1.607 sec/game, 3.8 min. total, 463.2 MB
zoology_jogging v3 162 games, 119854 moves, e=0.881, loss: 18140170.2, -, 6.4% elo% vs. random_no_suicide, avg. reward: 1360.332, 1.617 sec/game, 3.9 min. total, 463.4 MB
zoology_jogging v3 163 games, 120663 moves, e=0.881, loss: 18133246.9, -, 6.3% elo% vs. random_no_suicide, avg. reward: 1355.691, 1.614 sec/game, 3.9 min. total, 463.4 MB
zoology_jogging v3 164 games, 121367 moves, e=0.880, loss: 18343672.9, -, 6.2% elo% vs. random_no_suicide, avg. reward: 1363.553, 1.626 sec/game, 3.9 min. total, 463.5 MB
zoology_jogging v3 165 games, 122218 moves, e=0.879, loss: 18278346.2, -, 6.2% elo% vs. random_no_suicide, avg. reward: 1365.939, 1.629 sec/game, 4.0 min. total, 463.6 MB
zoology_jogging v3 166 games, 123027 moves, e=0.878, loss: 17990857.0, -, 6.1% elo% vs. random_no_suicide, avg. reward: 1366.208, 1.641 sec/game, 4.0 min. total, 463.0 MB
zoology_jogging v3 167 games, 123736 moves, e=0.878, loss: 18202519.4, -, 6.0% elo% vs. random_no_suicide, avg. reward: 1374.357, 1.631 sec/game, 4.0 min. total, 463.6 MB
zoology_jogging v3 168 games, 124498 moves, e=0.877, loss: 17469945.1, -, 6.0% elo% vs. random_no_suicide, avg. reward: 1365.498, 1.633 sec/game, 4.0 min. total, 464.3 MB
zoology_jogging v3 169 games, 125276 moves, e=0.876, loss: 18269354.2, -, 5.9% elo% vs. random_no_suicide, avg. reward: 1364.318, 1.633 sec/game, 4.1 min. total, 463.7 MB
zoology_jogging v3 170 games, 126123 moves, e=0.875, loss: 18144678.4, -, 5.8% elo% vs. random_no_suicide, avg. reward: 1366.313, 1.642 sec/game, 4.1 min. total, 464.2 MB
zoology_jogging v3 171 games, 126893 moves, e=0.874, loss: 17969389.7, -, 5.8% elo% vs. random_no_suicide, avg. reward: 1358.118, 1.661 sec/game, 4.1 min. total, 465.0 MB
zoology_jogging v3 172 games, 127635 moves, e=0.874, loss: 17416429.8, -, 5.7% elo% vs. random_no_suicide, avg. reward: 1356.021, 1.656 sec/game, 4.1 min. total, 465.2 MB
zoology_jogging v3 173 games, 128399 moves, e=0.873, loss: 17039235.7, -, 5.7% elo% vs. random_no_suicide, avg. reward: 1348.294, 1.654 sec/game, 4.2 min. total, 465.7 MB
zoology_jogging v3 174 games, 129086 moves, e=0.872, loss: 17266693.8, -, 5.6% elo% vs. random_no_suicide, avg. reward: 1345.453, 1.656 sec/game, 4.2 min. total, 466.0 MB
zoology_jogging v3 175 games, 129880 moves, e=0.871, loss: 16871215.8, -, 5.6% elo% vs. random_no_suicide, avg. reward: 1352.733, 1.657 sec/game, 4.2 min. total, 466.1 MB
zoology_jogging v3 176 games, 130597 moves, e=0.871, loss: 16789905.5, -, 5.5% elo% vs. random_no_suicide, avg. reward: 1353.268, 1.669 sec/game, 4.3 min. total, 466.2 MB
zoology_jogging v3 177 games, 131401 moves, e=0.870, loss: 17575430.8, -, 5.5% elo% vs. random_no_suicide, avg. reward: 1343.138, 1.672 sec/game, 4.3 min. total, 466.0 MB
zoology_jogging v3 178 games, 132196 moves, e=0.869, loss: 17385251.2, -, 5.4% elo% vs. random_no_suicide, avg. reward: 1352.579, 1.678 sec/game, 4.3 min. total, 465.6 MB
zoology_jogging v3 179 games, 133030 moves, e=0.868, loss: 17241799.2, -, 5.4% elo% vs. random_no_suicide, avg. reward: 1356.928, 1.678 sec/game, 4.3 min. total, 465.7 MB
zoology_jogging v3 180 games, 133797 moves, e=0.868, loss: 17209049.9, -, 5.3% elo% vs. random_no_suicide, avg. reward: 1370.137, 1.677 sec/game, 4.4 min. total, 466.2 MB
zoology_jogging v3 181 games, 134499 moves, e=0.867, loss: 17470166.2, -, 5.3% elo% vs. random_no_suicide, avg. reward: 1372.857, 1.651 sec/game, 4.4 min. total, 466.6 MB
zoology_jogging v3 182 games, 135148 moves, e=0.866, loss: 16759944.9, -, 5.2% elo% vs. random_no_suicide, avg. reward: 1370.744, 1.630 sec/game, 4.4 min. total, 467.5 MB
zoology_jogging v3 183 games, 135864 moves, e=0.865, loss: 17270098.9, -, 5.2% elo% vs. random_no_suicide, avg. reward: 1364.465, 1.628 sec/game, 4.4 min. total, 468.0 MB
zoology_jogging v3 184 games, 136645 moves, e=0.865, loss: 17499471.8, -, 5.1% elo% vs. random_no_suicide, avg. reward: 1374.062, 1.633 sec/game, 4.5 min. total, 468.2 MB
zoology_jogging v3 185 games, 137288 moves, e=0.864, loss: 17481577.7, -, 5.1% elo% vs. random_no_suicide, avg. reward: 1369.300, 1.615 sec/game, 4.5 min. total, 469.1 MB
zoology_jogging v3 186 games, 138014 moves, e=0.863, loss: 17188042.7, -, 5.0% elo% vs. random_no_suicide, avg. reward: 1379.752, 1.605 sec/game, 4.5 min. total, 469.1 MB
zoology_jogging v3 187 games, 138764 moves, e=0.863, loss: 19057597.8, -, 5.0% elo% vs. random_no_suicide, avg. reward: 1364.826, 1.620 sec/game, 4.5 min. total, 468.7 MB
zoology_jogging v3 188 games, 139678 moves, e=0.862, loss: 18413611.6, -, 4.9% elo% vs. random_no_suicide, avg. reward: 1373.012, 1.639 sec/game, 4.6 min. total, 469.1 MB
zoology_jogging v3 189 games, 140292 moves, e=0.861, loss: 18625752.6, -, 4.9% elo% vs. random_no_suicide, avg. reward: 1372.394, 1.625 sec/game, 4.6 min. total, 469.2 MB
zoology_jogging v3 190 games, 141026 moves, e=0.860, loss: 18988071.4, -, 4.9% elo% vs. random_no_suicide, avg. reward: 1371.519, 1.606 sec/game, 4.6 min. total, 469.5 MB
zoology_jogging v3 191 games, 141811 moves, e=0.860, loss: 19485773.7, -, 4.8% elo% vs. random_no_suicide, avg. reward: 1370.025, 1.599 sec/game, 4.7 min. total, 470.1 MB
zoology_jogging v3 192 games, 142627 moves, e=0.859, loss: 19469283.2, -, 4.8% elo% vs. random_no_suicide, avg. reward: 1369.978, 1.610 sec/game, 4.7 min. total, 470.5 MB
zoology_jogging v3 193 games, 143394 moves, e=0.858, loss: 19375959.6, -, 4.7% elo% vs. random_no_suicide, avg. reward: 1374.996, 1.611 sec/game, 4.7 min. total, 470.8 MB
zoology_jogging v3 194 games, 144052 moves, e=0.857, loss: 19073403.4, -, 4.7% elo% vs. random_no_suicide, avg. reward: 1375.859, 1.611 sec/game, 4.7 min. total, 471.3 MB
zoology_jogging v3 195 games, 144849 moves, e=0.857, loss: 18137217.3, -, 4.7% elo% vs. random_no_suicide, avg. reward: 1371.318, 1.610 sec/game, 4.8 min. total, 471.5 MB
zoology_jogging v3 196 games, 145770 moves, e=0.856, loss: 17404772.4, -, 4.6% elo% vs. random_no_suicide, avg. reward: 1345.856, 1.624 sec/game, 4.8 min. total, 471.6 MB
zoology_jogging v3 197 games, 146468 moves, e=0.855, loss: 17163439.8, -, 4.6% elo% vs. random_no_suicide, avg. reward: 1355.291, 1.622 sec/game, 4.8 min. total, 471.7 MB
zoology_jogging v3 198 games, 147258 moves, e=0.854, loss: 16744843.8, -, 4.5% elo% vs. random_no_suicide, avg. reward: 1354.445, 1.620 sec/game, 4.8 min. total, 471.8 MB
zoology_jogging v3 199 games, 148005 moves, e=0.853, loss: 16922689.3, -, 4.5% elo% vs. random_no_suicide, avg. reward: 1358.646, 1.613 sec/game, 4.9 min. total, 472.4 MB
zoology_jogging v3 200 games, 148788 moves, e=0.853, loss: 15955337.9, -, 4.5% elo% vs. random_no_suicide, avg. reward: 1326.491, 1.615 sec/game, 4.9 min. total, 472.4 MB
zoology_jogging v4 201 games, 149616 moves, e=0.852, loss: 14862005.2, -, 47.7% elo% vs. random_no_suicide, avg. reward: 1320.358, 1.622 sec/game, 4.9 min. total, 473.6 MB
zoology_jogging v4 202 games, 150546 moves, e=0.851, loss: 14659423.8, -, 45.5% elo% vs. random_no_suicide, avg. reward: 1356.441, 1.663 sec/game, 5.0 min. total, 472.6 MB
zoology_jogging v4 203 games, 151338 moves, e=0.850, loss: 15996398.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: 1337.501, 1.665 sec/game, 5.0 min. total, 473.7 MB
zoology_jogging v4 204 games, 152206 moves, e=0.849, loss: 16129458.3, -, 41.5% elo% vs. random_no_suicide, avg. reward: 1345.591, 1.673 sec/game, 5.0 min. total, 473.9 MB
zoology_jogging v4 205 games, 152896 moves, e=0.849, loss: 16267602.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: 1343.402, 1.674 sec/game, 5.0 min. total, 474.6 MB
zoology_jogging v4 206 games, 153658 moves, e=0.848, loss: 15874913.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: 1356.343, 1.676 sec/game, 5.1 min. total, 474.6 MB
zoology_jogging v4 207 games, 154418 moves, e=0.847, loss: 15661915.0, -, 36.3% elo% vs. random_no_suicide, avg. reward: 1353.381, 1.671 sec/game, 5.1 min. total, 474.9 MB
zoology_jogging v4 208 games, 155231 moves, e=0.846, loss: 15990235.1, -, 34.8% elo% vs. random_no_suicide, avg. reward: 1345.985, 1.655 sec/game, 5.1 min. total, 475.0 MB
zoology_jogging v4 209 games, 156058 moves, e=0.846, loss: 16455650.0, -, 33.3% elo% vs. random_no_suicide, avg. reward: 1351.569, 1.681 sec/game, 5.2 min. total, 475.2 MB
zoology_jogging v4 210 games, 156899 moves, e=0.845, loss: 17091056.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: 1333.243, 1.692 sec/game, 5.2 min. total, 475.3 MB
zoology_jogging v4 211 games, 157651 moves, e=0.844, loss: 17670903.8, -, 30.7% elo% vs. random_no_suicide, avg. reward: 1351.938, 1.693 sec/game, 5.2 min. total, 475.6 MB
zoology_jogging v4 212 games, 158373 moves, e=0.843, loss: 17646826.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: 1358.849, 1.686 sec/game, 5.2 min. total, 477.0 MB
zoology_jogging v4 213 games, 159110 moves, e=0.842, loss: 18032367.1, -, 28.4% elo% vs. random_no_suicide, avg. reward: 1364.585, 1.691 sec/game, 5.3 min. total, 476.7 MB
zoology_jogging v4 214 games, 159988 moves, e=0.842, loss: 18646239.3, -, 27.3% elo% vs. random_no_suicide, avg. reward: 1367.121, 1.706 sec/game, 5.3 min. total, 476.4 MB
zoology_jogging v4 215 games, 160824 moves, e=0.841, loss: 18584135.3, -, 26.4% elo% vs. random_no_suicide, avg. reward: 1364.405, 1.718 sec/game, 5.3 min. total, 477.0 MB
zoology_jogging v4 216 games, 161668 moves, e=0.840, loss: 18547900.3, -, 25.4% elo% vs. random_no_suicide, avg. reward: 1366.929, 1.717 sec/game, 5.4 min. total, 477.1 MB
zoology_jogging v4 217 games, 162429 moves, e=0.839, loss: 19030103.4, -, 24.5% elo% vs. random_no_suicide, avg. reward: 1365.218, 1.709 sec/game, 5.4 min. total, 477.3 MB
zoology_jogging v4 218 games, 163226 moves, e=0.838, loss: 18309148.7, -, 23.7% elo% vs. random_no_suicide, avg. reward: 1365.951, 1.716 sec/game, 5.4 min. total, 477.3 MB
zoology_jogging v4 219 games, 163855 moves, e=0.838, loss: 18192242.2, -, 22.9% elo% vs. random_no_suicide, avg. reward: 1350.378, 1.702 sec/game, 5.4 min. total, 477.2 MB
zoology_jogging v4 220 games, 164678 moves, e=0.837, loss: 18032202.5, -, 22.2% elo% vs. random_no_suicide, avg. reward: 1357.536, 1.707 sec/game, 5.5 min. total, 477.4 MB
zoology_jogging v4 221 games, 165573 moves, e=0.836, loss: 17866375.4, -, 21.5% elo% vs. random_no_suicide, avg. reward: 1361.038, 1.715 sec/game, 5.5 min. total, 477.3 MB
zoology_jogging v4 222 games, 166340 moves, e=0.835, loss: 17976189.0, -, 20.8% elo% vs. random_no_suicide, avg. reward: 1360.809, 1.688 sec/game, 5.5 min. total, 478.4 MB
zoology_jogging v4 223 games, 167089 moves, e=0.835, loss: 16971658.2, -, 20.2% elo% vs. random_no_suicide, avg. reward: 1342.650, 1.696 sec/game, 5.6 min. total, 478.3 MB
zoology_jogging v4 224 games, 167897 moves, e=0.834, loss: 17299342.3, -, 19.6% elo% vs. random_no_suicide, avg. reward: 1340.527, 1.693 sec/game, 5.6 min. total, 478.7 MB
zoology_jogging v4 225 games, 168643 moves, e=0.833, loss: 17016813.6, -, 19.1% elo% vs. random_no_suicide, avg. reward: 1330.715, 1.709 sec/game, 5.6 min. total, 478.3 MB
zoology_jogging v4 226 games, 169470 moves, e=0.832, loss: 16251574.7, -, 18.5% elo% vs. random_no_suicide, avg. reward: 1330.545, 1.711 sec/game, 5.6 min. total, 479.0 MB
zoology_jogging v4 227 games, 170243 moves, e=0.831, loss: 16558268.7, -, 18.0% elo% vs. random_no_suicide, avg. reward: 1328.575, 1.728 sec/game, 5.7 min. total, 479.1 MB
zoology_jogging v4 228 games, 171023 moves, e=0.831, loss: 16497364.3, -, 17.5% elo% vs. random_no_suicide, avg. reward: 1333.210, 1.728 sec/game, 5.7 min. total, 479.4 MB
zoology_jogging v4 229 games, 171904 moves, e=0.830, loss: 16634075.3, -, 17.1% elo% vs. random_no_suicide, avg. reward: 1332.528, 1.730 sec/game, 5.7 min. total, 479.7 MB
zoology_jogging v4 230 games, 172697 moves, e=0.829, loss: 16698356.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: 1337.965, 1.729 sec/game, 5.8 min. total, 479.2 MB
zoology_jogging v4 231 games, 173533 moves, e=0.828, loss: 15975576.7, -, 16.2% elo% vs. random_no_suicide, avg. reward: 1335.752, 1.733 sec/game, 5.8 min. total, 480.8 MB
zoology_jogging v4 232 games, 174331 moves, e=0.827, loss: 16097463.3, -, 15.8% elo% vs. random_no_suicide, avg. reward: 1337.613, 1.733 sec/game, 5.8 min. total, 481.1 MB
zoology_jogging v4 233 games, 175230 moves, e=0.827, loss: 15551437.2, -, 15.4% elo% vs. random_no_suicide, avg. reward: 1341.977, 1.744 sec/game, 5.9 min. total, 482.2 MB
zoology_jogging v4 234 games, 176109 moves, e=0.826, loss: 15420427.3, -, 15.1% elo% vs. random_no_suicide, avg. reward: 1325.124, 1.755 sec/game, 5.9 min. total, 481.5 MB
zoology_jogging v4 235 games, 177103 moves, e=0.825, loss: 15584224.0, -, 14.7% elo% vs. random_no_suicide, avg. reward: 1323.192, 1.775 sec/game, 5.9 min. total, 481.8 MB
zoology_jogging v4 236 games, 177997 moves, e=0.824, loss: 16101778.0, -, 14.4% elo% vs. random_no_suicide, avg. reward: 1335.259, 1.779 sec/game, 6.0 min. total, 482.4 MB
zoology_jogging v4 237 games, 178816 moves, e=0.823, loss: 16486464.0, -, 14.0% elo% vs. random_no_suicide, avg. reward: 1332.653, 1.807 sec/game, 6.0 min. total, 482.7 MB
zoology_jogging v4 238 games, 179794 moves, e=0.822, loss: 16360706.9, -, 13.7% elo% vs. random_no_suicide, avg. reward: 1326.153, 1.818 sec/game, 6.0 min. total, 482.5 MB
zoology_jogging v4 239 games, 180608 moves, e=0.821, loss: 16277668.0, -, 13.4% elo% vs. random_no_suicide, avg. reward: 1326.650, 1.840 sec/game, 6.1 min. total, 482.5 MB
zoology_jogging v4 240 games, 181457 moves, e=0.820, loss: 16667880.2, -, 13.1% elo% vs. random_no_suicide, avg. reward: 1315.981, 1.840 sec/game, 6.1 min. total, 482.9 MB
zoology_jogging v4 241 games, 182211 moves, e=0.820, loss: 17055560.8, -, 12.9% elo% vs. random_no_suicide, avg. reward: 1309.322, 1.831 sec/game, 6.1 min. total, 484.2 MB
zoology_jogging v4 242 games, 182961 moves, e=0.819, loss: 16794924.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: 1305.234, 1.837 sec/game, 6.1 min. total, 484.4 MB
zoology_jogging v4 243 games, 183750 moves, e=0.818, loss: 16162209.5, -, 12.4% elo% vs. random_no_suicide, avg. reward: 1318.751, 1.832 sec/game, 6.2 min. total, 484.6 MB
zoology_jogging v4 244 games, 184671 moves, e=0.817, loss: 16495255.1, -, 12.1% elo% vs. random_no_suicide, avg. reward: 1318.099, 1.838 sec/game, 6.2 min. total, 484.5 MB
zoology_jogging v4 245 games, 185467 moves, e=0.816, loss: 16505829.6, -, 11.9% elo% vs. random_no_suicide, avg. reward: 1310.514, 1.840 sec/game, 6.2 min. total, 484.5 MB
zoology_jogging v4 246 games, 186403 moves, e=0.815, loss: 16224823.3, -, 11.7% elo% vs. random_no_suicide, avg. reward: 1308.391, 1.871 sec/game, 6.3 min. total, 484.8 MB
zoology_jogging v4 247 games, 187337 moves, e=0.815, loss: 16355791.0, -, 11.4% elo% vs. random_no_suicide, avg. reward: 1317.208, 1.871 sec/game, 6.3 min. total, 484.7 MB
zoology_jogging v4 248 games, 188146 moves, e=0.814, loss: 16791659.7, -, 11.2% elo% vs. random_no_suicide, avg. reward: 1297.430, 1.876 sec/game, 6.3 min. total, 484.8 MB
zoology_jogging v4 249 games, 188929 moves, e=0.813, loss: 17533335.7, -, 11.0% elo% vs. random_no_suicide, avg. reward: 1293.439, 1.876 sec/game, 6.4 min. total, 485.0 MB
zoology_jogging v4 250 games, 189859 moves, e=0.812, loss: 17259459.4, -, 10.8% elo% vs. random_no_suicide, avg. reward: 1285.916, 1.891 sec/game, 6.4 min. total, 486.4 MB
zoology_jogging v4 251 games, 190788 moves, e=0.811, loss: 16818589.2, -, 10.6% elo% vs. random_no_suicide, avg. reward: 1278.958, 1.903 sec/game, 6.4 min. total, 486.7 MB
zoology_jogging v4 252 games, 191621 moves, e=0.810, loss: 17584581.1, -, 10.4% elo% vs. random_no_suicide, avg. reward: 1265.288, 1.913 sec/game, 6.5 min. total, 487.2 MB
zoology_jogging v4 253 games, 192538 moves, e=0.809, loss: 17547504.1, -, 10.3% elo% vs. random_no_suicide, avg. reward: 1269.453, 1.918 sec/game, 6.5 min. total, 487.5 MB
zoology_jogging v4 254 games, 193327 moves, e=0.809, loss: 18192812.1, -, 10.1% elo% vs. random_no_suicide, avg. reward: 1287.471, 1.908 sec/game, 6.5 min. total, 487.5 MB
zoology_jogging v4 255 games, 194119 moves, e=0.808, loss: 18765045.4, -, 9.9% elo% vs. random_no_suicide, avg. reward: 1286.915, 1.880 sec/game, 6.6 min. total, 487.7 MB
zoology_jogging v4 256 games, 194873 moves, e=0.807, loss: 18774607.3, -, 9.8% elo% vs. random_no_suicide, avg. reward: 1297.057, 1.865 sec/game, 6.6 min. total, 487.9 MB
zoology_jogging v4 257 games, 195791 moves, e=0.806, loss: 18903790.4, -, 9.6% elo% vs. random_no_suicide, avg. reward: 1301.343, 1.863 sec/game, 6.6 min. total, 487.3 MB
zoology_jogging v4 258 games, 196668 moves, e=0.805, loss: 19071906.5, -, 9.5% elo% vs. random_no_suicide, avg. reward: 1307.770, 1.856 sec/game, 6.6 min. total, 487.5 MB
zoology_jogging v4 259 games, 197494 moves, e=0.804, loss: 19116068.7, -, 9.3% elo% vs. random_no_suicide, avg. reward: 1310.279, 1.851 sec/game, 6.7 min. total, 487.8 MB
zoology_jogging v4 260 games, 198444 moves, e=0.804, loss: 18913660.8, -, 9.2% elo% vs. random_no_suicide, avg. reward: 1307.792, 1.872 sec/game, 6.7 min. total, 489.1 MB
zoology_jogging v4 261 games, 199434 moves, e=0.803, loss: 18364611.2, -, 9.0% elo% vs. random_no_suicide, avg. reward: 1294.176, 1.904 sec/game, 6.7 min. total, 489.2 MB
zoology_jogging v4 262 games, 200289 moves, e=0.802, loss: 18646521.0, -, 8.9% elo% vs. random_no_suicide, avg. reward: 1296.765, 1.903 sec/game, 6.8 min. total, 489.3 MB
zoology_jogging v4 263 games, 201104 moves, e=0.801, loss: 18100380.0, -, 8.8% elo% vs. random_no_suicide, avg. reward: 1293.968, 1.912 sec/game, 6.8 min. total, 489.5 MB
zoology_jogging v4 264 games, 201892 moves, e=0.800, loss: 18045172.0, -, 8.6% elo% vs. random_no_suicide, avg. reward: 1278.401, 1.900 sec/game, 6.8 min. total, 489.4 MB
zoology_jogging v4 265 games, 202762 moves, e=0.799, loss: 17095313.6, -, 8.5% elo% vs. random_no_suicide, avg. reward: 1274.876, 1.911 sec/game, 6.9 min. total, 489.4 MB
zoology_jogging v4 266 games, 203695 moves, e=0.798, loss: 16698468.2, -, 8.4% elo% vs. random_no_suicide, avg. reward: 1283.716, 1.894 sec/game, 6.9 min. total, 489.7 MB
zoology_jogging v4 267 games, 204581 moves, e=0.797, loss: 17701224.5, -, 8.3% elo% vs. random_no_suicide, avg. reward: 1278.675, 1.892 sec/game, 6.9 min. total, 489.5 MB
zoology_jogging v4 268 games, 205450 moves, e=0.797, loss: 17400846.6, -, 8.1% elo% vs. random_no_suicide, avg. reward: 1293.901, 1.899 sec/game, 7.0 min. total, 490.0 MB
zoology_jogging v4 269 games, 206244 moves, e=0.796, loss: 17823815.0, -, 8.0% elo% vs. random_no_suicide, avg. reward: 1312.968, 1.890 sec/game, 7.0 min. total, 490.9 MB
zoology_jogging v4 270 games, 207058 moves, e=0.795, loss: 18469506.3, -, 7.9% elo% vs. random_no_suicide, avg. reward: 1315.604, 1.878 sec/game, 7.0 min. total, 491.7 MB
zoology_jogging v4 271 games, 207870 moves, e=0.794, loss: 17751499.2, -, 7.8% elo% vs. random_no_suicide, avg. reward: 1325.984, 1.865 sec/game, 7.1 min. total, 492.3 MB
zoology_jogging v4 272 games, 208793 moves, e=0.793, loss: 17719547.9, -, 7.7% elo% vs. random_no_suicide, avg. reward: 1319.801, 1.881 sec/game, 7.1 min. total, 492.3 MB
zoology_jogging v4 273 games, 209950 moves, e=0.792, loss: 17329819.3, -, 7.6% elo% vs. random_no_suicide, avg. reward: 1316.614, 1.903 sec/game, 7.1 min. total, 491.9 MB
zoology_jogging v4 274 games, 210785 moves, e=0.791, loss: 17644472.9, -, 7.5% elo% vs. random_no_suicide, avg. reward: 1321.787, 1.907 sec/game, 7.2 min. total, 492.3 MB
zoology_jogging v4 275 games, 211726 moves, e=0.790, loss: 18160386.8, -, 7.4% elo% vs. random_no_suicide, avg. reward: 1327.567, 1.928 sec/game, 7.2 min. total, 492.3 MB
zoology_jogging v4 276 games, 212533 moves, e=0.790, loss: 18603397.0, -, 7.3% elo% vs. random_no_suicide, avg. reward: 1319.904, 1.930 sec/game, 7.2 min. total, 493.2 MB
zoology_jogging v4 277 games, 213380 moves, e=0.789, loss: 19093884.8, -, 7.2% elo% vs. random_no_suicide, avg. reward: 1315.439, 1.929 sec/game, 7.3 min. total, 493.2 MB
zoology_jogging v4 278 games, 214257 moves, e=0.788, loss: 20237993.2, -, 7.2% elo% vs. random_no_suicide, avg. reward: 1310.203, 1.922 sec/game, 7.3 min. total, 493.6 MB
zoology_jogging v4 279 games, 215108 moves, e=0.787, loss: 19239259.7, -, 7.1% elo% vs. random_no_suicide, avg. reward: 1303.475, 1.930 sec/game, 7.3 min. total, 495.1 MB
zoology_jogging v4 280 games, 216057 moves, e=0.786, loss: 19066941.0, -, 7.0% elo% vs. random_no_suicide, avg. reward: 1299.762, 1.929 sec/game, 7.4 min. total, 494.8 MB
zoology_jogging v4 281 games, 216920 moves, e=0.785, loss: 18331071.0, -, 6.9% elo% vs. random_no_suicide, avg. reward: 1333.023, 1.907 sec/game, 7.4 min. total, 495.5 MB
zoology_jogging v4 282 games, 217722 moves, e=0.784, loss: 18466902.7, -, 6.8% elo% vs. random_no_suicide, avg. reward: 1340.063, 1.906 sec/game, 7.4 min. total, 495.3 MB
zoology_jogging v4 283 games, 218628 moves, e=0.784, loss: 18344343.4, -, 6.7% elo% vs. random_no_suicide, avg. reward: 1343.436, 1.919 sec/game, 7.4 min. total, 495.4 MB
zoology_jogging v4 284 games, 219482 moves, e=0.783, loss: 18368144.3, -, 6.7% elo% vs. random_no_suicide, avg. reward: 1333.196, 1.925 sec/game, 7.5 min. total, 495.5 MB
zoology_jogging v4 285 games, 220270 moves, e=0.782, loss: 19457392.4, -, 6.6% elo% vs. random_no_suicide, avg. reward: 1351.481, 1.916 sec/game, 7.5 min. total, 495.3 MB
zoology_jogging v4 286 games, 221083 moves, e=0.781, loss: 20129353.9, -, 6.5% elo% vs. random_no_suicide, avg. reward: 1344.365, 1.913 sec/game, 7.5 min. total, 495.9 MB
