zoology_jogging v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
zoology_jogging v2 34 games, 24213 moves, e=0.976, loss: 9257493.6, ., 51.1% elo% vs. guard_bot, avg. reward: 1341.619, 1.501 sec/game, 0.6 min. total, 427.9 MB
zoology_jogging v2 35 games, 24966 moves, e=0.975, loss: 9184865.5, ., 51.1% elo% vs. guard_bot, avg. reward: 1328.688, 1.500 sec/game, 0.6 min. total, 429.3 MB
zoology_jogging v2 36 games, 25707 moves, e=0.975, loss: 9035637.5, ., 51.0% elo% vs. guard_bot, avg. reward: 1326.588, 1.480 sec/game, 0.6 min. total, 431.8 MB
zoology_jogging v2 37 games, 26376 moves, e=0.974, loss: 9071940.8, ., 51.0% elo% vs. guard_bot, avg. reward: 1313.667, 1.476 sec/game, 0.7 min. total, 432.9 MB
zoology_jogging v2 38 games, 27119 moves, e=0.973, loss: 8914464.4, ., 50.9% elo% vs. guard_bot, avg. reward: 1302.257, 1.460 sec/game, 0.7 min. total, 433.0 MB
zoology_jogging v2 39 games, 27841 moves, e=0.972, loss: 9009227.2, +, 53.2% elo% vs. guard_bot, avg. reward: 1298.109, 1.452 sec/game, 0.7 min. total, 432.5 MB
zoology_jogging v2 40 games, 28579 moves, e=0.972, loss: 8827321.3, +, 55.3% elo% vs. guard_bot, avg. reward: 1299.875, 1.470 sec/game, 0.7 min. total, 433.0 MB
zoology_jogging v2 41 games, 29303 moves, e=0.971, loss: 8633391.3, +, 57.4% elo% vs. guard_bot, avg. reward: 1293.607, 1.472 sec/game, 0.8 min. total, 433.3 MB
zoology_jogging v2 42 games, 30141 moves, e=0.970, loss: 8481029.2, ., 57.0% elo% vs. guard_bot, avg. reward: 1307.984, 1.497 sec/game, 0.8 min. total, 433.2 MB
zoology_jogging v2 43 games, 30848 moves, e=0.969, loss: 8186475.6, ., 56.7% elo% vs. guard_bot, avg. reward: 1294.050, 1.499 sec/game, 0.8 min. total, 433.4 MB
zoology_jogging v2 44 games, 31534 moves, e=0.969, loss: 8418038.4, ., 56.4% elo% vs. guard_bot, avg. reward: 1364.665, 1.492 sec/game, 0.8 min. total, 433.4 MB
zoology_jogging v2 45 games, 32286 moves, e=0.968, loss: 8874249.6, ., 56.1% elo% vs. guard_bot, avg. reward: 1358.766, 1.494 sec/game, 0.9 min. total, 433.2 MB
zoology_jogging v2 46 games, 32903 moves, e=0.967, loss: 9122096.2, ., 55.8% elo% vs. guard_bot, avg. reward: 1378.258, 1.497 sec/game, 0.9 min. total, 433.3 MB
zoology_jogging v2 47 games, 33640 moves, e=0.967, loss: 9443702.5, ., 55.6% elo% vs. guard_bot, avg. reward: 1357.148, 1.497 sec/game, 0.9 min. total, 433.0 MB
zoology_jogging v2 48 games, 34354 moves, e=0.966, loss: 9429286.5, ., 55.3% elo% vs. guard_bot, avg. reward: 1360.912, 1.499 sec/game, 0.9 min. total, 433.5 MB
zoology_jogging v2 49 games, 35218 moves, e=0.965, loss: 9547671.5, ., 55.1% elo% vs. guard_bot, avg. reward: 1358.979, 1.484 sec/game, 1.0 min. total, 433.4 MB
zoology_jogging v2 50 games, 35964 moves, e=0.964, loss: 9596287.3, ., 54.8% elo% vs. guard_bot, avg. reward: 1354.377, 1.461 sec/game, 1.0 min. total, 434.1 MB
zoology_jogging v2 51 games, 36644 moves, e=0.964, loss: 9998582.3, ., 54.6% elo% vs. guard_bot, avg. reward: 1346.936, 1.462 sec/game, 1.0 min. total, 435.6 MB
zoology_jogging v2 52 games, 37288 moves, e=0.963, loss: 9908627.5, ., 54.4% elo% vs. guard_bot, avg. reward: 1336.262, 1.447 sec/game, 1.0 min. total, 436.6 MB
zoology_jogging v2 53 games, 37980 moves, e=0.962, loss: 10092308.7, ., 54.2% elo% vs. guard_bot, avg. reward: 1330.161, 1.446 sec/game, 1.1 min. total, 436.4 MB
zoology_jogging v2 54 games, 38600 moves, e=0.962, loss: 9961304.4, ., 54.0% elo% vs. guard_bot, avg. reward: 1328.450, 1.436 sec/game, 1.1 min. total, 436.5 MB
zoology_jogging v2 55 games, 39387 moves, e=0.961, loss: 10294456.1, ., 53.8% elo% vs. guard_bot, avg. reward: 1324.379, 1.437 sec/game, 1.1 min. total, 436.3 MB
zoology_jogging v2 56 games, 40128 moves, e=0.960, loss: 10360281.2, +, 55.9% elo% vs. guard_bot, avg. reward: 1314.088, 1.446 sec/game, 1.1 min. total, 435.9 MB
zoology_jogging v2 57 games, 40796 moves, e=0.960, loss: 10187775.8, ., 55.7% elo% vs. guard_bot, avg. reward: 1333.852, 1.429 sec/game, 1.1 min. total, 435.9 MB
zoology_jogging v2 58 games, 41475 moves, e=0.959, loss: 10726830.8, +, 57.7% elo% vs. guard_bot, avg. reward: 1339.032, 1.435 sec/game, 1.2 min. total, 435.8 MB
zoology_jogging v2 59 games, 42235 moves, e=0.958, loss: 10242639.3, ., 57.3% elo% vs. guard_bot, avg. reward: 1324.179, 1.428 sec/game, 1.2 min. total, 436.3 MB
zoology_jogging v2 60 games, 43065 moves, e=0.957, loss: 9803545.7, +, 59.2% elo% vs. guard_bot, avg. reward: 1318.547, 1.437 sec/game, 1.2 min. total, 436.5 MB
zoology_jogging v2 61 games, 43792 moves, e=0.957, loss: 9990122.2, ., 58.8% elo% vs. guard_bot, avg. reward: 1319.211, 1.449 sec/game, 1.2 min. total, 436.4 MB
zoology_jogging v2 62 games, 44490 moves, e=0.956, loss: 10147168.8, ., 58.4% elo% vs. guard_bot, avg. reward: 1313.774, 1.429 sec/game, 1.3 min. total, 436.4 MB
zoology_jogging v2 63 games, 45193 moves, e=0.955, loss: 10129875.6, ., 58.1% elo% vs. guard_bot, avg. reward: 1311.275, 1.430 sec/game, 1.3 min. total, 436.5 MB
zoology_jogging v2 64 games, 45911 moves, e=0.955, loss: 10046387.1, +, 59.9% elo% vs. guard_bot, avg. reward: 1317.090, 1.427 sec/game, 1.3 min. total, 437.4 MB
