corny_hush v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.8 MB
corny_hush v2 36 games, 25790 moves, e=0.974, loss: 5.0, +, 68.8% elo% vs. guard_bot, avg. reward: -8.489, 1.394 sec/game, 0.6 min. total, 458.1 MB
corny_hush v2 37 games, 26463 moves, e=0.974, loss: 5.4, +, 70.0% elo% vs. guard_bot, avg. reward: -8.505, 1.395 sec/game, 0.6 min. total, 458.1 MB
corny_hush v3 38 games, 27168 moves, e=0.973, loss: 5.3, -, 49.9% elo% vs. random_no_suicide, avg. reward: -8.505, 1.390 sec/game, 0.6 min. total, 457.4 MB
corny_hush v3 39 games, 27834 moves, e=0.972, loss: 4.8, -, 47.6% elo% vs. random_no_suicide, avg. reward: -8.526, 1.381 sec/game, 0.6 min. total, 457.2 MB
corny_hush v3 40 games, 28657 moves, e=0.972, loss: 5.5, -, 45.4% elo% vs. random_no_suicide, avg. reward: -8.498, 1.395 sec/game, 0.7 min. total, 457.3 MB
corny_hush v3 41 games, 29443 moves, e=0.971, loss: 5.4, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.478, 1.405 sec/game, 0.7 min. total, 457.6 MB
corny_hush v3 42 games, 30062 moves, e=0.970, loss: 4.9, -, 41.4% elo% vs. random_no_suicide, avg. reward: -8.514, 1.407 sec/game, 0.7 min. total, 458.7 MB
corny_hush v3 43 games, 30751 moves, e=0.970, loss: 5.3, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.526, 1.418 sec/game, 0.7 min. total, 460.7 MB
corny_hush v3 44 games, 31446 moves, e=0.969, loss: 5.4, -, 37.8% elo% vs. random_no_suicide, avg. reward: -8.529, 1.408 sec/game, 0.8 min. total, 462.5 MB
corny_hush v3 45 games, 32287 moves, e=0.968, loss: 5.9, -, 36.2% elo% vs. random_no_suicide, avg. reward: -8.500, 1.431 sec/game, 0.8 min. total, 462.6 MB
corny_hush v3 46 games, 33037 moves, e=0.967, loss: 5.3, -, 34.7% elo% vs. random_no_suicide, avg. reward: -8.492, 1.431 sec/game, 0.8 min. total, 462.5 MB
corny_hush v3 47 games, 33708 moves, e=0.967, loss: 5.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.502, 1.420 sec/game, 0.8 min. total, 462.5 MB
corny_hush v3 48 games, 34374 moves, e=0.966, loss: 5.6, -, 31.9% elo% vs. random_no_suicide, avg. reward: -8.516, 1.407 sec/game, 0.9 min. total, 462.7 MB
corny_hush v3 49 games, 35122 moves, e=0.965, loss: 5.5, -, 30.6% elo% vs. random_no_suicide, avg. reward: -8.506, 1.423 sec/game, 0.9 min. total, 462.7 MB
corny_hush v3 50 games, 35793 moves, e=0.965, loss: 5.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: -8.520, 1.427 sec/game, 0.9 min. total, 462.7 MB
corny_hush v3 51 games, 36522 moves, e=0.964, loss: 5.0, -, 28.3% elo% vs. random_no_suicide, avg. reward: -8.514, 1.431 sec/game, 0.9 min. total, 462.8 MB
corny_hush v3 52 games, 37247 moves, e=0.963, loss: 5.6, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.510, 1.433 sec/game, 1.0 min. total, 462.8 MB
corny_hush v3 53 games, 38067 moves, e=0.962, loss: 5.3, -, 26.3% elo% vs. random_no_suicide, avg. reward: -8.492, 1.433 sec/game, 1.0 min. total, 462.9 MB
corny_hush v3 54 games, 38749 moves, e=0.962, loss: 5.6, -, 25.4% elo% vs. random_no_suicide, avg. reward: -8.504, 1.422 sec/game, 1.0 min. total, 465.2 MB
