corny_hush v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.8 MB
corny_hush v6 302 games, 235456 moves, e=0.767, loss: 4.0, -, 45.5% elo% vs. random_no_suicide, avg. reward: -7.183, 2.069 sec/game, 8.3 min. total, 532.7 MB
corny_hush v6 303 games, 236313 moves, e=0.766, loss: 4.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: -7.175, 2.087 sec/game, 8.3 min. total, 532.6 MB
corny_hush v6 304 games, 237182 moves, e=0.765, loss: 4.1, -, 41.5% elo% vs. random_no_suicide, avg. reward: -7.165, 2.078 sec/game, 8.3 min. total, 532.8 MB
corny_hush v6 305 games, 237945 moves, e=0.764, loss: 4.0, -, 39.6% elo% vs. random_no_suicide, avg. reward: -7.162, 2.081 sec/game, 8.4 min. total, 533.0 MB
corny_hush v6 306 games, 238917 moves, e=0.763, loss: 4.1, -, 37.9% elo% vs. random_no_suicide, avg. reward: -7.144, 2.092 sec/game, 8.4 min. total, 532.8 MB
corny_hush v6 307 games, 239794 moves, e=0.763, loss: 3.9, -, 36.3% elo% vs. random_no_suicide, avg. reward: -7.142, 2.094 sec/game, 8.5 min. total, 532.8 MB
corny_hush v6 308 games, 240650 moves, e=0.762, loss: 3.9, -, 34.8% elo% vs. random_no_suicide, avg. reward: -7.140, 2.092 sec/game, 8.5 min. total, 532.9 MB
corny_hush v6 309 games, 241445 moves, e=0.761, loss: 3.8, -, 33.3% elo% vs. random_no_suicide, avg. reward: -7.142, 2.062 sec/game, 8.5 min. total, 532.8 MB
corny_hush v6 310 games, 242363 moves, e=0.760, loss: 3.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: -7.130, 2.069 sec/game, 8.6 min. total, 533.1 MB
corny_hush v6 311 games, 243115 moves, e=0.759, loss: 3.7, -, 30.7% elo% vs. random_no_suicide, avg. reward: -7.132, 2.056 sec/game, 8.6 min. total, 534.2 MB
corny_hush v6 312 games, 243989 moves, e=0.758, loss: 3.7, -, 29.5% elo% vs. random_no_suicide, avg. reward: -7.124, 2.044 sec/game, 8.6 min. total, 535.4 MB
corny_hush v6 313 games, 244845 moves, e=0.758, loss: 3.7, -, 28.4% elo% vs. random_no_suicide, avg. reward: -7.119, 2.049 sec/game, 8.7 min. total, 533.5 MB
corny_hush v6 314 games, 245605 moves, e=0.757, loss: 4.0, -, 27.3% elo% vs. random_no_suicide, avg. reward: -7.117, 2.037 sec/game, 8.7 min. total, 535.8 MB
corny_hush v6 315 games, 246521 moves, e=0.756, loss: 4.3, -, 26.4% elo% vs. random_no_suicide, avg. reward: -7.103, 2.050 sec/game, 8.7 min. total, 536.4 MB
corny_hush v6 316 games, 247440 moves, e=0.755, loss: 4.5, -, 25.4% elo% vs. random_no_suicide, avg. reward: -7.091, 2.084 sec/game, 8.8 min. total, 536.5 MB
corny_hush v6 317 games, 248402 moves, e=0.754, loss: 4.2, -, 24.5% elo% vs. random_no_suicide, avg. reward: -7.079, 2.101 sec/game, 8.8 min. total, 536.5 MB
corny_hush v6 318 games, 249196 moves, e=0.753, loss: 4.3, -, 23.7% elo% vs. random_no_suicide, avg. reward: -7.060, 2.090 sec/game, 8.8 min. total, 533.7 MB
corny_hush v6 319 games, 250085 moves, e=0.752, loss: 4.4, -, 22.9% elo% vs. random_no_suicide, avg. reward: -7.050, 2.091 sec/game, 8.9 min. total, 537.1 MB
corny_hush v6 320 games, 251001 moves, e=0.752, loss: 4.4, -, 22.2% elo% vs. random_no_suicide, avg. reward: -7.035, 2.106 sec/game, 8.9 min. total, 537.1 MB
corny_hush v6 321 games, 251985 moves, e=0.751, loss: 4.4, -, 21.5% elo% vs. random_no_suicide, avg. reward: -7.017, 2.103 sec/game, 8.9 min. total, 537.2 MB
corny_hush v6 322 games, 252857 moves, e=0.750, loss: 4.3, -, 20.8% elo% vs. random_no_suicide, avg. reward: -7.005, 2.106 sec/game, 9.0 min. total, 538.9 MB
corny_hush v6 323 games, 253817 moves, e=0.749, loss: 4.3, +, 23.3% elo% vs. random_no_suicide, avg. reward: -7.000, 2.101 sec/game, 9.0 min. total, 536.5 MB
corny_hush v6 324 games, 254635 moves, e=0.748, loss: 4.4, -, 22.6% elo% vs. random_no_suicide, avg. reward: -7.006, 2.110 sec/game, 9.0 min. total, 539.3 MB
corny_hush v6 325 games, 255509 moves, e=0.747, loss: 4.4, -, 21.9% elo% vs. random_no_suicide, avg. reward: -7.003, 2.126 sec/game, 9.1 min. total, 536.2 MB
corny_hush v6 326 games, 256297 moves, e=0.746, loss: 4.6, +, 24.4% elo% vs. random_no_suicide, avg. reward: -7.022, 2.100 sec/game, 9.1 min. total, 538.8 MB
corny_hush v6 327 games, 257076 moves, e=0.745, loss: 4.6, +, 27.1% elo% vs. random_no_suicide, avg. reward: -7.016, 2.086 sec/game, 9.1 min. total, 538.6 MB
corny_hush v6 328 games, 257882 moves, e=0.745, loss: 4.6, +, 29.8% elo% vs. random_no_suicide, avg. reward: -7.024, 2.077 sec/game, 9.2 min. total, 539.2 MB
corny_hush v6 329 games, 258757 moves, e=0.744, loss: 4.2, -, 28.7% elo% vs. random_no_suicide, avg. reward: -7.021, 2.096 sec/game, 9.2 min. total, 539.4 MB
corny_hush v6 330 games, 259517 moves, e=0.743, loss: 4.0, -, 27.6% elo% vs. random_no_suicide, avg. reward: -7.031, 2.077 sec/game, 9.2 min. total, 539.4 MB
corny_hush v6 331 games, 260417 moves, e=0.742, loss: 4.1, +, 30.4% elo% vs. random_no_suicide, avg. reward: -7.024, 2.093 sec/game, 9.3 min. total, 540.1 MB
corny_hush v6 332 games, 261312 moves, e=0.741, loss: 3.9, -, 29.2% elo% vs. random_no_suicide, avg. reward: -7.018, 2.098 sec/game, 9.3 min. total, 538.6 MB
corny_hush v6 333 games, 262095 moves, e=0.741, loss: 4.0, ., 30.0% elo% vs. random_no_suicide, avg. reward: -7.014, 2.098 sec/game, 9.3 min. total, 541.6 MB
corny_hush v6 334 games, 263219 moves, e=0.739, loss: 4.3, +, 32.8% elo% vs. random_no_suicide, avg. reward: -6.992, 2.139 sec/game, 9.4 min. total, 541.1 MB
corny_hush v6 335 games, 264106 moves, e=0.739, loss: 4.3, -, 31.4% elo% vs. random_no_suicide, avg. reward: -6.977, 2.132 sec/game, 9.4 min. total, 542.6 MB
corny_hush v6 336 games, 264873 moves, e=0.738, loss: 4.3, ., 32.2% elo% vs. random_no_suicide, avg. reward: -6.971, 2.105 sec/game, 9.5 min. total, 541.8 MB
corny_hush v6 337 games, 265842 moves, e=0.737, loss: 3.9, -, 30.9% elo% vs. random_no_suicide, avg. reward: -6.966, 2.121 sec/game, 9.5 min. total, 542.2 MB
corny_hush v6 338 games, 266783 moves, e=0.736, loss: 3.9, +, 33.7% elo% vs. random_no_suicide, avg. reward: -6.949, 2.137 sec/game, 9.5 min. total, 542.6 MB
corny_hush v6 339 games, 267743 moves, e=0.735, loss: 4.1, +, 36.5% elo% vs. random_no_suicide, avg. reward: -6.939, 2.141 sec/game, 9.6 min. total, 542.6 MB
corny_hush v6 340 games, 268526 moves, e=0.734, loss: 4.3, -, 34.9% elo% vs. random_no_suicide, avg. reward: -6.942, 2.133 sec/game, 9.6 min. total, 544.1 MB
corny_hush v6 341 games, 269332 moves, e=0.733, loss: 4.1, -, 33.5% elo% vs. random_no_suicide, avg. reward: -6.945, 2.111 sec/game, 9.6 min. total, 542.8 MB
corny_hush v6 342 games, 270127 moves, e=0.733, loss: 4.2, -, 32.1% elo% vs. random_no_suicide, avg. reward: -6.939, 2.103 sec/game, 9.7 min. total, 545.4 MB
corny_hush v6 343 games, 271080 moves, e=0.732, loss: 4.0, -, 30.8% elo% vs. random_no_suicide, avg. reward: -6.934, 2.104 sec/game, 9.7 min. total, 545.5 MB
corny_hush v6 344 games, 271919 moves, e=0.731, loss: 4.0, -, 29.6% elo% vs. random_no_suicide, avg. reward: -6.929, 2.099 sec/game, 9.7 min. total, 545.5 MB
corny_hush v6 345 games, 272888 moves, e=0.730, loss: 3.7, -, 28.5% elo% vs. random_no_suicide, avg. reward: -6.901, 2.111 sec/game, 9.8 min. total, 545.3 MB
corny_hush v6 346 games, 273807 moves, e=0.729, loss: 4.1, -, 27.5% elo% vs. random_no_suicide, avg. reward: -6.884, 2.142 sec/game, 9.8 min. total, 545.6 MB
corny_hush v6 347 games, 274560 moves, e=0.728, loss: 4.2, +, 30.2% elo% vs. random_no_suicide, avg. reward: -6.890, 2.141 sec/game, 9.9 min. total, 545.9 MB
corny_hush v6 348 games, 275505 moves, e=0.727, loss: 4.1, -, 29.0% elo% vs. random_no_suicide, avg. reward: -6.873, 2.156 sec/game, 9.9 min. total, 546.4 MB
corny_hush v6 349 games, 276381 moves, e=0.726, loss: 4.4, -, 28.0% elo% vs. random_no_suicide, avg. reward: -6.864, 2.151 sec/game, 9.9 min. total, 547.1 MB
corny_hush v6 350 games, 277291 moves, e=0.725, loss: 4.3, +, 30.7% elo% vs. random_no_suicide, avg. reward: -6.854, 2.175 sec/game, 10.0 min. total, 545.3 MB
corny_hush v6 351 games, 278128 moves, e=0.725, loss: 4.1, +, 33.5% elo% vs. random_no_suicide, avg. reward: -6.854, 2.159 sec/game, 10.0 min. total, 547.4 MB
corny_hush v6 352 games, 279088 moves, e=0.724, loss: 4.4, +, 36.3% elo% vs. random_no_suicide, avg. reward: -6.843, 2.165 sec/game, 10.0 min. total, 548.0 MB
corny_hush v6 353 games, 279972 moves, e=0.723, loss: 4.4, -, 34.7% elo% vs. random_no_suicide, avg. reward: -6.833, 2.179 sec/game, 10.1 min. total, 548.2 MB
corny_hush v6 354 games, 280945 moves, e=0.722, loss: 4.3, -, 33.3% elo% vs. random_no_suicide, avg. reward: -6.821, 2.153 sec/game, 10.1 min. total, 548.3 MB
corny_hush v6 355 games, 281717 moves, e=0.721, loss: 4.3, -, 31.9% elo% vs. random_no_suicide, avg. reward: -6.832, 2.148 sec/game, 10.1 min. total, 548.4 MB
corny_hush v6 356 games, 282571 moves, e=0.720, loss: 4.5, -, 30.7% elo% vs. random_no_suicide, avg. reward: -6.825, 2.159 sec/game, 10.2 min. total, 548.2 MB
corny_hush v6 357 games, 283516 moves, e=0.719, loss: 4.6, ., 31.4% elo% vs. random_no_suicide, avg. reward: -6.801, 2.143 sec/game, 10.2 min. total, 547.7 MB
corny_hush v6 358 games, 284301 moves, e=0.719, loss: 4.3, -, 30.2% elo% vs. random_no_suicide, avg. reward: -6.799, 2.136 sec/game, 10.3 min. total, 549.3 MB
corny_hush v6 359 games, 285243 moves, e=0.718, loss: 4.2, +, 33.0% elo% vs. random_no_suicide, avg. reward: -6.784, 2.134 sec/game, 10.3 min. total, 549.3 MB
corny_hush v6 360 games, 286201 moves, e=0.717, loss: 4.6, +, 35.8% elo% vs. random_no_suicide, avg. reward: -6.783, 2.146 sec/game, 10.3 min. total, 549.6 MB
corny_hush v6 361 games, 287101 moves, e=0.716, loss: 4.4, -, 34.3% elo% vs. random_no_suicide, avg. reward: -6.780, 2.157 sec/game, 10.4 min. total, 550.1 MB
corny_hush v6 362 games, 288124 moves, e=0.715, loss: 4.6, -, 32.9% elo% vs. random_no_suicide, avg. reward: -6.758, 2.183 sec/game, 10.4 min. total, 549.9 MB
corny_hush v6 363 games, 289133 moves, e=0.714, loss: 4.8, -, 31.5% elo% vs. random_no_suicide, avg. reward: -6.737, 2.204 sec/game, 10.4 min. total, 550.5 MB
corny_hush v6 364 games, 290186 moves, e=0.713, loss: 4.8, ., 32.3% elo% vs. random_no_suicide, avg. reward: -6.729, 2.228 sec/game, 10.5 min. total, 550.4 MB
corny_hush v6 365 games, 290982 moves, e=0.712, loss: 4.6, -, 31.0% elo% vs. random_no_suicide, avg. reward: -6.728, 2.205 sec/game, 10.5 min. total, 550.4 MB
corny_hush v6 366 games, 291829 moves, e=0.711, loss: 4.7, -, 29.8% elo% vs. random_no_suicide, avg. reward: -6.721, 2.185 sec/game, 10.6 min. total, 550.3 MB
corny_hush v6 367 games, 292758 moves, e=0.710, loss: 4.4, -, 28.7% elo% vs. random_no_suicide, avg. reward: -6.712, 2.207 sec/game, 10.6 min. total, 550.9 MB
corny_hush v6 368 games, 293642 moves, e=0.709, loss: 4.3, -, 27.6% elo% vs. random_no_suicide, avg. reward: -6.713, 2.203 sec/game, 10.6 min. total, 552.1 MB
corny_hush v6 369 games, 294468 moves, e=0.708, loss: 4.2, -, 26.6% elo% vs. random_no_suicide, avg. reward: -6.709, 2.200 sec/game, 10.7 min. total, 552.8 MB
corny_hush v6 370 games, 295340 moves, e=0.708, loss: 4.2, -, 25.6% elo% vs. random_no_suicide, avg. reward: -6.719, 2.191 sec/game, 10.7 min. total, 552.6 MB
corny_hush v6 371 games, 296320 moves, e=0.707, loss: 4.2, -, 24.7% elo% vs. random_no_suicide, avg. reward: -6.713, 2.222 sec/game, 10.7 min. total, 553.0 MB
corny_hush v6 372 games, 297149 moves, e=0.706, loss: 4.3, -, 23.9% elo% vs. random_no_suicide, avg. reward: -6.712, 2.199 sec/game, 10.8 min. total, 552.8 MB
corny_hush v6 373 games, 298183 moves, e=0.705, loss: 4.3, -, 23.1% elo% vs. random_no_suicide, avg. reward: -6.704, 2.216 sec/game, 10.8 min. total, 552.8 MB
corny_hush v6 374 games, 299080 moves, e=0.704, loss: 4.4, +, 25.7% elo% vs. random_no_suicide, avg. reward: -6.687, 2.224 sec/game, 10.9 min. total, 552.9 MB
corny_hush v6 375 games, 299946 moves, e=0.703, loss: 4.6, -, 24.8% elo% vs. random_no_suicide, avg. reward: -6.665, 2.229 sec/game, 10.9 min. total, 553.0 MB
corny_hush v6 376 games, 300736 moves, e=0.702, loss: 4.4, -, 24.0% elo% vs. random_no_suicide, avg. reward: -6.675, 2.216 sec/game, 10.9 min. total, 553.6 MB
corny_hush v6 377 games, 301665 moves, e=0.701, loss: 4.6, -, 23.2% elo% vs. random_no_suicide, avg. reward: -6.663, 2.222 sec/game, 11.0 min. total, 554.0 MB
corny_hush v6 378 games, 302585 moves, e=0.700, loss: 4.8, -, 22.4% elo% vs. random_no_suicide, avg. reward: -6.656, 2.219 sec/game, 11.0 min. total, 554.4 MB
corny_hush v6 379 games, 303565 moves, e=0.699, loss: 5.0, -, 21.7% elo% vs. random_no_suicide, avg. reward: -6.649, 2.239 sec/game, 11.0 min. total, 555.1 MB
corny_hush v6 380 games, 304401 moves, e=0.699, loss: 5.0, -, 21.1% elo% vs. random_no_suicide, avg. reward: -6.660, 2.233 sec/game, 11.1 min. total, 555.0 MB
corny_hush v6 381 games, 305294 moves, e=0.698, loss: 4.9, -, 20.4% elo% vs. random_no_suicide, avg. reward: -6.657, 2.226 sec/game, 11.1 min. total, 555.1 MB
corny_hush v6 382 games, 306170 moves, e=0.697, loss: 4.7, -, 19.8% elo% vs. random_no_suicide, avg. reward: -6.657, 2.210 sec/game, 11.1 min. total, 555.0 MB
corny_hush v6 383 games, 307005 moves, e=0.696, loss: 5.2, -, 19.2% elo% vs. random_no_suicide, avg. reward: -6.656, 2.183 sec/game, 11.2 min. total, 555.0 MB
corny_hush v6 384 games, 307918 moves, e=0.695, loss: 4.9, -, 18.7% elo% vs. random_no_suicide, avg. reward: -6.653, 2.163 sec/game, 11.2 min. total, 555.1 MB
corny_hush v6 385 games, 308773 moves, e=0.694, loss: 4.6, -, 18.2% elo% vs. random_no_suicide, avg. reward: -6.641, 2.177 sec/game, 11.2 min. total, 555.3 MB
corny_hush v6 386 games, 309808 moves, e=0.693, loss: 4.7, -, 17.7% elo% vs. random_no_suicide, avg. reward: -6.630, 2.194 sec/game, 11.3 min. total, 556.3 MB
corny_hush v6 387 games, 310877 moves, e=0.692, loss: 4.6, +, 20.0% elo% vs. random_no_suicide, avg. reward: -6.621, 2.208 sec/game, 11.3 min. total, 557.9 MB
corny_hush v6 388 games, 311820 moves, e=0.691, loss: 4.6, +, 22.5% elo% vs. random_no_suicide, avg. reward: -6.611, 2.226 sec/game, 11.4 min. total, 558.3 MB
corny_hush v6 389 games, 312721 moves, e=0.690, loss: 4.7, -, 21.8% elo% vs. random_no_suicide, avg. reward: -6.618, 2.237 sec/game, 11.4 min. total, 558.5 MB
corny_hush v6 390 games, 313668 moves, e=0.689, loss: 4.6, -, 21.1% elo% vs. random_no_suicide, avg. reward: -6.616, 2.239 sec/game, 11.4 min. total, 558.6 MB
corny_hush v6 391 games, 314544 moves, e=0.689, loss: 4.7, -, 20.4% elo% vs. random_no_suicide, avg. reward: -6.618, 2.223 sec/game, 11.5 min. total, 558.9 MB
corny_hush v6 392 games, 315255 moves, e=0.688, loss: 4.6, -, 19.8% elo% vs. random_no_suicide, avg. reward: -6.641, 2.220 sec/game, 11.5 min. total, 559.2 MB
corny_hush v6 393 games, 316282 moves, e=0.687, loss: 4.7, +, 22.3% elo% vs. random_no_suicide, avg. reward: -6.617, 2.215 sec/game, 11.6 min. total, 559.4 MB
corny_hush v6 394 games, 317281 moves, e=0.686, loss: 4.6, -, 21.6% elo% vs. random_no_suicide, avg. reward: -6.607, 2.226 sec/game, 11.6 min. total, 559.5 MB
corny_hush v6 395 games, 318176 moves, e=0.685, loss: 4.6, -, 20.9% elo% vs. random_no_suicide, avg. reward: -6.598, 2.230 sec/game, 11.6 min. total, 560.4 MB
corny_hush v6 396 games, 318980 moves, e=0.684, loss: 4.6, -, 20.3% elo% vs. random_no_suicide, avg. reward: -6.598, 2.245 sec/game, 11.7 min. total, 561.8 MB
corny_hush v6 397 games, 319881 moves, e=0.683, loss: 4.7, -, 19.7% elo% vs. random_no_suicide, avg. reward: -6.583, 2.260 sec/game, 11.7 min. total, 561.6 MB
corny_hush v6 398 games, 320664 moves, e=0.683, loss: 4.6, -, 19.1% elo% vs. random_no_suicide, avg. reward: -6.599, 2.243 sec/game, 11.7 min. total, 561.3 MB
corny_hush v6 399 games, 321592 moves, e=0.682, loss: 4.6, -, 18.6% elo% vs. random_no_suicide, avg. reward: -6.592, 2.224 sec/game, 11.8 min. total, 561.6 MB
corny_hush v6 400 games, 322482 moves, e=0.681, loss: 4.7, -, 18.1% elo% vs. random_no_suicide, avg. reward: -6.581, 2.237 sec/game, 11.8 min. total, 561.5 MB
corny_hush v7 401 games, 323377 moves, e=0.680, loss: 4.5, -, 47.7% elo% vs. random_no_suicide, avg. reward: -6.586, 2.242 sec/game, 11.9 min. total, 561.7 MB
corny_hush v7 402 games, 324284 moves, e=0.679, loss: 5.0, +, 50.1% elo% vs. random_no_suicide, avg. reward: -6.581, 2.252 sec/game, 11.9 min. total, 560.9 MB
corny_hush v7 403 games, 325437 moves, e=0.678, loss: 5.0, ., 50.1% elo% vs. random_no_suicide, avg. reward: -6.562, 2.282 sec/game, 11.9 min. total, 561.6 MB
corny_hush v7 404 games, 326339 moves, e=0.677, loss: 4.6, -, 47.8% elo% vs. random_no_suicide, avg. reward: -6.558, 2.280 sec/game, 12.0 min. total, 561.9 MB
corny_hush v7 405 games, 327161 moves, e=0.676, loss: 4.6, -, 45.6% elo% vs. random_no_suicide, avg. reward: -6.555, 2.269 sec/game, 12.0 min. total, 563.2 MB
corny_hush v7 406 games, 328167 moves, e=0.675, loss: 4.7, -, 43.5% elo% vs. random_no_suicide, avg. reward: -6.556, 2.267 sec/game, 12.0 min. total, 560.7 MB
corny_hush v7 407 games, 329011 moves, e=0.674, loss: 4.8, -, 41.6% elo% vs. random_no_suicide, avg. reward: -6.558, 2.249 sec/game, 12.1 min. total, 563.4 MB
corny_hush v7 408 games, 330003 moves, e=0.673, loss: 4.8, -, 39.7% elo% vs. random_no_suicide, avg. reward: -6.541, 2.246 sec/game, 12.1 min. total, 563.6 MB
corny_hush v7 409 games, 330931 moves, e=0.672, loss: 4.7, -, 38.0% elo% vs. random_no_suicide, avg. reward: -6.528, 2.238 sec/game, 12.2 min. total, 563.5 MB
corny_hush v7 410 games, 331719 moves, e=0.672, loss: 4.7, -, 36.4% elo% vs. random_no_suicide, avg. reward: -6.537, 2.229 sec/game, 12.2 min. total, 563.5 MB
corny_hush v7 411 games, 332601 moves, e=0.671, loss: 4.6, -, 34.8% elo% vs. random_no_suicide, avg. reward: -6.524, 2.229 sec/game, 12.2 min. total, 563.4 MB
corny_hush v7 412 games, 333709 moves, e=0.670, loss: 4.5, -, 33.4% elo% vs. random_no_suicide, avg. reward: -6.505, 2.280 sec/game, 12.3 min. total, 563.5 MB
corny_hush v7 413 games, 334799 moves, e=0.669, loss: 4.5, ., 34.1% elo% vs. random_no_suicide, avg. reward: -6.485, 2.284 sec/game, 12.3 min. total, 564.3 MB
corny_hush v7 414 games, 335783 moves, e=0.668, loss: 4.4, -, 32.7% elo% vs. random_no_suicide, avg. reward: -6.467, 2.277 sec/game, 12.4 min. total, 565.3 MB
corny_hush v7 415 games, 336738 moves, e=0.667, loss: 4.4, -, 31.4% elo% vs. random_no_suicide, avg. reward: -6.462, 2.281 sec/game, 12.4 min. total, 565.9 MB
corny_hush v7 416 games, 337701 moves, e=0.666, loss: 4.6, +, 34.1% elo% vs. random_no_suicide, avg. reward: -6.455, 2.301 sec/game, 12.4 min. total, 566.6 MB
corny_hush v7 417 games, 338729 moves, e=0.665, loss: 4.6, +, 36.9% elo% vs. random_no_suicide, avg. reward: -6.451, 2.304 sec/game, 12.5 min. total, 566.9 MB
corny_hush v7 418 games, 339587 moves, e=0.664, loss: 4.4, -, 35.3% elo% vs. random_no_suicide, avg. reward: -6.448, 2.323 sec/game, 12.5 min. total, 567.1 MB
corny_hush v7 419 games, 340626 moves, e=0.663, loss: 4.6, -, 33.9% elo% vs. random_no_suicide, avg. reward: -6.433, 2.343 sec/game, 12.6 min. total, 567.3 MB
corny_hush v7 420 games, 341617 moves, e=0.662, loss: 4.7, -, 32.5% elo% vs. random_no_suicide, avg. reward: -6.422, 2.332 sec/game, 12.6 min. total, 567.6 MB
corny_hush v7 421 games, 342498 moves, e=0.661, loss: 4.9, +, 35.3% elo% vs. random_no_suicide, avg. reward: -6.425, 2.327 sec/game, 12.6 min. total, 567.5 MB
corny_hush v7 422 games, 343650 moves, e=0.660, loss: 4.4, ., 35.9% elo% vs. random_no_suicide, avg. reward: -6.408, 2.359 sec/game, 12.7 min. total, 568.0 MB
corny_hush v7 423 games, 344550 moves, e=0.659, loss: 4.5, -, 34.4% elo% vs. random_no_suicide, avg. reward: -6.409, 2.334 sec/game, 12.7 min. total, 569.2 MB
corny_hush v7 424 games, 345286 moves, e=0.658, loss: 4.8, -, 33.0% elo% vs. random_no_suicide, avg. reward: -6.413, 2.334 sec/game, 12.7 min. total, 569.1 MB
corny_hush v7 425 games, 346231 moves, e=0.657, loss: 4.9, ., 33.7% elo% vs. random_no_suicide, avg. reward: -6.406, 2.344 sec/game, 12.8 min. total, 569.1 MB
corny_hush v7 426 games, 347131 moves, e=0.656, loss: 4.7, +, 36.5% elo% vs. random_no_suicide, avg. reward: -6.390, 2.333 sec/game, 12.8 min. total, 568.6 MB
corny_hush v7 427 games, 348009 moves, e=0.655, loss: 4.8, ., 37.0% elo% vs. random_no_suicide, avg. reward: -6.380, 2.336 sec/game, 12.9 min. total, 569.1 MB
corny_hush v7 428 games, 349133 moves, e=0.654, loss: 4.8, -, 35.5% elo% vs. random_no_suicide, avg. reward: -6.355, 2.350 sec/game, 12.9 min. total, 569.2 MB
corny_hush v7 429 games, 350047 moves, e=0.653, loss: 4.8, -, 34.0% elo% vs. random_no_suicide, avg. reward: -6.347, 2.365 sec/game, 12.9 min. total, 569.7 MB
corny_hush v7 430 games, 350848 moves, e=0.653, loss: 4.6, +, 36.8% elo% vs. random_no_suicide, avg. reward: -6.341, 2.371 sec/game, 13.0 min. total, 570.1 MB
corny_hush v7 431 games, 351871 moves, e=0.652, loss: 4.8, +, 39.5% elo% vs. random_no_suicide, avg. reward: -6.328, 2.378 sec/game, 13.0 min. total, 568.7 MB
corny_hush v7 432 games, 352875 moves, e=0.651, loss: 4.5, +, 42.2% elo% vs. random_no_suicide, avg. reward: -6.321, 2.361 sec/game, 13.1 min. total, 569.2 MB
corny_hush v7 433 games, 353870 moves, e=0.650, loss: 4.9, -, 40.3% elo% vs. random_no_suicide, avg. reward: -6.303, 2.357 sec/game, 13.1 min. total, 571.8 MB
corny_hush v7 434 games, 354830 moves, e=0.649, loss: 4.8, -, 38.5% elo% vs. random_no_suicide, avg. reward: -6.313, 2.363 sec/game, 13.1 min. total, 571.7 MB
corny_hush v7 435 games, 355790 moves, e=0.648, loss: 4.7, -, 36.9% elo% vs. random_no_suicide, avg. reward: -6.307, 2.364 sec/game, 13.2 min. total, 571.7 MB
corny_hush v7 436 games, 356914 moves, e=0.647, loss: 4.9, +, 39.6% elo% vs. random_no_suicide, avg. reward: -6.282, 2.383 sec/game, 13.2 min. total, 572.0 MB
corny_hush v7 437 games, 357992 moves, e=0.646, loss: 4.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: -6.277, 2.375 sec/game, 13.3 min. total, 572.0 MB
corny_hush v7 438 games, 358922 moves, e=0.645, loss: 4.3, +, 40.6% elo% vs. random_no_suicide, avg. reward: -6.276, 2.393 sec/game, 13.3 min. total, 572.3 MB
corny_hush v7 439 games, 359913 moves, e=0.644, loss: 4.2, -, 38.8% elo% vs. random_no_suicide, avg. reward: -6.274, 2.375 sec/game, 13.3 min. total, 573.1 MB
corny_hush v7 440 games, 360823 moves, e=0.643, loss: 4.6, -, 37.1% elo% vs. random_no_suicide, avg. reward: -6.258, 2.380 sec/game, 13.4 min. total, 574.9 MB
corny_hush v7 441 games, 361683 moves, e=0.642, loss: 4.4, -, 35.6% elo% vs. random_no_suicide, avg. reward: -6.256, 2.391 sec/game, 13.4 min. total, 575.1 MB
corny_hush v7 442 games, 362590 moves, e=0.641, loss: 4.5, -, 34.1% elo% vs. random_no_suicide, avg. reward: -6.244, 2.356 sec/game, 13.5 min. total, 575.1 MB
corny_hush v7 443 games, 363524 moves, e=0.640, loss: 4.5, +, 36.8% elo% vs. random_no_suicide, avg. reward: -6.242, 2.376 sec/game, 13.5 min. total, 575.7 MB
corny_hush v7 444 games, 364322 moves, e=0.639, loss: 4.7, +, 39.6% elo% vs. random_no_suicide, avg. reward: -6.241, 2.362 sec/game, 13.5 min. total, 575.2 MB
corny_hush v7 445 games, 365417 moves, e=0.638, loss: 4.7, +, 42.3% elo% vs. random_no_suicide, avg. reward: -6.237, 2.383 sec/game, 13.6 min. total, 572.9 MB
corny_hush v7 446 games, 366290 moves, e=0.637, loss: 4.9, +, 44.9% elo% vs. random_no_suicide, avg. reward: -6.241, 2.386 sec/game, 13.6 min. total, 576.0 MB
corny_hush v7 447 games, 367220 moves, e=0.636, loss: 5.2, +, 47.4% elo% vs. random_no_suicide, avg. reward: -6.223, 2.380 sec/game, 13.7 min. total, 576.0 MB
corny_hush v7 448 games, 368235 moves, e=0.635, loss: 5.1, +, 49.8% elo% vs. random_no_suicide, avg. reward: -6.219, 2.378 sec/game, 13.7 min. total, 576.5 MB
corny_hush v7 449 games, 369197 moves, e=0.634, loss: 4.8, +, 52.1% elo% vs. random_no_suicide, avg. reward: -6.214, 2.378 sec/game, 13.7 min. total, 577.9 MB
corny_hush v7 450 games, 370308 moves, e=0.633, loss: 4.7, +, 54.3% elo% vs. random_no_suicide, avg. reward: -6.201, 2.425 sec/game, 13.8 min. total, 578.5 MB
corny_hush v7 451 games, 371305 moves, e=0.632, loss: 4.8, -, 51.8% elo% vs. random_no_suicide, avg. reward: -6.182, 2.420 sec/game, 13.8 min. total, 578.7 MB
corny_hush v7 452 games, 372274 moves, e=0.631, loss: 5.1, -, 49.5% elo% vs. random_no_suicide, avg. reward: -6.178, 2.422 sec/game, 13.9 min. total, 578.6 MB
