suffix_guts v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.7 MB
suffix_guts v4 146 games, 108001 moves, e=0.893, loss: 53603.1, -, 11.7% elo% vs. random_no_suicide, avg. reward: 26.961, 1.822 sec/game, 3.8 min. total, 521.8 MB
suffix_guts v4 147 games, 108736 moves, e=0.892, loss: 52535.5, -, 11.4% elo% vs. random_no_suicide, avg. reward: 26.952, 1.819 sec/game, 3.8 min. total, 522.0 MB
suffix_guts v4 148 games, 109508 moves, e=0.892, loss: 48223.9, -, 11.2% elo% vs. random_no_suicide, avg. reward: 27.344, 1.805 sec/game, 3.8 min. total, 522.8 MB
suffix_guts v4 149 games, 110250 moves, e=0.891, loss: 47814.1, -, 11.0% elo% vs. random_no_suicide, avg. reward: 27.344, 1.805 sec/game, 3.9 min. total, 524.5 MB
suffix_guts v4 150 games, 110928 moves, e=0.890, loss: 42293.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: 27.075, 1.791 sec/game, 3.9 min. total, 526.0 MB
suffix_guts v4 151 games, 111616 moves, e=0.890, loss: 44683.4, -, 10.6% elo% vs. random_no_suicide, avg. reward: 26.782, 1.793 sec/game, 3.9 min. total, 524.9 MB
suffix_guts v4 152 games, 112404 moves, e=0.889, loss: 48222.1, -, 10.4% elo% vs. random_no_suicide, avg. reward: 26.874, 1.797 sec/game, 4.0 min. total, 526.4 MB
suffix_guts v4 153 games, 113148 moves, e=0.888, loss: 47243.5, -, 10.3% elo% vs. random_no_suicide, avg. reward: 26.366, 1.788 sec/game, 4.0 min. total, 525.2 MB
suffix_guts v4 154 games, 113916 moves, e=0.887, loss: 40065.7, -, 10.1% elo% vs. random_no_suicide, avg. reward: 26.895, 1.788 sec/game, 4.0 min. total, 525.4 MB
suffix_guts v4 155 games, 114626 moves, e=0.887, loss: 40541.8, -, 9.9% elo% vs. random_no_suicide, avg. reward: 27.179, 1.791 sec/game, 4.0 min. total, 525.4 MB
suffix_guts v4 156 games, 115413 moves, e=0.886, loss: 39464.2, -, 9.8% elo% vs. random_no_suicide, avg. reward: 27.030, 1.793 sec/game, 4.1 min. total, 526.6 MB
suffix_guts v4 157 games, 116058 moves, e=0.885, loss: 36444.0, -, 9.6% elo% vs. random_no_suicide, avg. reward: 26.313, 1.787 sec/game, 4.1 min. total, 525.6 MB
suffix_guts v4 158 games, 116904 moves, e=0.884, loss: 38115.7, -, 9.5% elo% vs. random_no_suicide, avg. reward: 26.568, 1.787 sec/game, 4.1 min. total, 525.8 MB
suffix_guts v4 159 games, 117689 moves, e=0.883, loss: 37833.7, -, 9.3% elo% vs. random_no_suicide, avg. reward: 26.654, 1.788 sec/game, 4.2 min. total, 526.6 MB
suffix_guts v4 160 games, 118478 moves, e=0.883, loss: 40902.8, -, 9.2% elo% vs. random_no_suicide, avg. reward: 26.663, 1.788 sec/game, 4.2 min. total, 527.8 MB
suffix_guts v4 161 games, 119297 moves, e=0.882, loss: 42845.0, -, 9.0% elo% vs. random_no_suicide, avg. reward: 26.600, 1.799 sec/game, 4.2 min. total, 527.9 MB
suffix_guts v4 162 games, 120115 moves, e=0.881, loss: 34880.8, +, 10.5% elo% vs. random_no_suicide, avg. reward: 26.266, 1.813 sec/game, 4.3 min. total, 526.7 MB
suffix_guts v4 163 games, 120854 moves, e=0.880, loss: 35758.3, -, 10.3% elo% vs. random_no_suicide, avg. reward: 26.241, 1.815 sec/game, 4.3 min. total, 526.8 MB
suffix_guts v4 164 games, 121681 moves, e=0.880, loss: 36980.4, -, 10.1% elo% vs. random_no_suicide, avg. reward: 26.617, 1.836 sec/game, 4.3 min. total, 526.5 MB
suffix_guts v4 165 games, 122386 moves, e=0.879, loss: 36138.8, -, 10.0% elo% vs. random_no_suicide, avg. reward: 26.467, 1.832 sec/game, 4.4 min. total, 527.5 MB
suffix_guts v4 166 games, 123201 moves, e=0.878, loss: 38652.0, -, 9.8% elo% vs. random_no_suicide, avg. reward: 26.842, 1.821 sec/game, 4.4 min. total, 527.1 MB
suffix_guts v4 167 games, 123946 moves, e=0.877, loss: 42106.9, -, 9.6% elo% vs. random_no_suicide, avg. reward: 26.724, 1.824 sec/game, 4.4 min. total, 527.7 MB
suffix_guts v4 168 games, 124796 moves, e=0.876, loss: 41213.2, -, 9.5% elo% vs. random_no_suicide, avg. reward: 25.976, 1.824 sec/game, 4.4 min. total, 529.6 MB
suffix_guts v4 169 games, 125446 moves, e=0.876, loss: 36590.5, ., 10.2% elo% vs. random_no_suicide, avg. reward: 25.904, 1.821 sec/game, 4.5 min. total, 529.6 MB
suffix_guts v4 170 games, 126137 moves, e=0.875, loss: 35191.4, +, 11.8% elo% vs. random_no_suicide, avg. reward: 25.355, 1.824 sec/game, 4.5 min. total, 530.8 MB
suffix_guts v4 171 games, 126884 moves, e=0.874, loss: 34089.6, -, 11.5% elo% vs. random_no_suicide, avg. reward: 24.934, 1.830 sec/game, 4.5 min. total, 529.6 MB
suffix_guts v4 172 games, 127677 moves, e=0.874, loss: 36457.8, +, 13.3% elo% vs. random_no_suicide, avg. reward: 24.452, 1.830 sec/game, 4.6 min. total, 530.9 MB
suffix_guts v4 173 games, 128375 moves, e=0.873, loss: 36931.6, -, 13.0% elo% vs. random_no_suicide, avg. reward: 24.447, 1.829 sec/game, 4.6 min. total, 529.8 MB
suffix_guts v4 174 games, 129159 moves, e=0.872, loss: 32922.0, -, 12.8% elo% vs. random_no_suicide, avg. reward: 24.283, 1.844 sec/game, 4.6 min. total, 529.8 MB
suffix_guts v4 175 games, 129913 moves, e=0.871, loss: 33523.4, -, 12.5% elo% vs. random_no_suicide, avg. reward: 24.272, 1.836 sec/game, 4.6 min. total, 529.7 MB
suffix_guts v4 176 games, 130718 moves, e=0.871, loss: 33999.1, -, 12.3% elo% vs. random_no_suicide, avg. reward: 24.194, 1.855 sec/game, 4.7 min. total, 529.6 MB
suffix_guts v4 177 games, 131484 moves, e=0.870, loss: 33894.3, -, 12.0% elo% vs. random_no_suicide, avg. reward: 24.055, 1.865 sec/game, 4.7 min. total, 532.3 MB
suffix_guts v4 178 games, 132326 moves, e=0.869, loss: 32847.6, -, 11.8% elo% vs. random_no_suicide, avg. reward: 24.546, 1.859 sec/game, 4.7 min. total, 534.1 MB
suffix_guts v4 179 games, 133131 moves, e=0.868, loss: 34106.8, -, 11.6% elo% vs. random_no_suicide, avg. reward: 24.924, 1.878 sec/game, 4.8 min. total, 534.2 MB
suffix_guts v4 180 games, 133783 moves, e=0.868, loss: 31061.8, -, 11.3% elo% vs. random_no_suicide, avg. reward: 25.137, 1.863 sec/game, 4.8 min. total, 534.2 MB
suffix_guts v4 181 games, 134618 moves, e=0.867, loss: 30650.4, -, 11.1% elo% vs. random_no_suicide, avg. reward: 25.220, 1.857 sec/game, 4.8 min. total, 532.9 MB
suffix_guts v4 182 games, 135451 moves, e=0.866, loss: 34869.3, -, 10.9% elo% vs. random_no_suicide, avg. reward: 24.962, 1.870 sec/game, 4.9 min. total, 533.2 MB
suffix_guts v4 183 games, 136346 moves, e=0.865, loss: 37340.7, -, 10.7% elo% vs. random_no_suicide, avg. reward: 25.140, 1.880 sec/game, 4.9 min. total, 534.1 MB
suffix_guts v4 184 games, 137151 moves, e=0.864, loss: 36960.7, -, 10.6% elo% vs. random_no_suicide, avg. reward: 24.566, 1.877 sec/game, 4.9 min. total, 533.3 MB
suffix_guts v4 185 games, 137946 moves, e=0.863, loss: 37943.9, -, 10.4% elo% vs. random_no_suicide, avg. reward: 24.542, 1.878 sec/game, 5.0 min. total, 533.2 MB
suffix_guts v4 186 games, 138648 moves, e=0.863, loss: 38188.9, -, 10.2% elo% vs. random_no_suicide, avg. reward: 24.912, 1.876 sec/game, 5.0 min. total, 534.6 MB
suffix_guts v4 187 games, 139510 moves, e=0.862, loss: 41652.6, ., 10.9% elo% vs. random_no_suicide, avg. reward: 24.780, 1.879 sec/game, 5.0 min. total, 533.7 MB
suffix_guts v4 188 games, 140222 moves, e=0.861, loss: 48287.3, -, 10.7% elo% vs. random_no_suicide, avg. reward: 24.669, 1.877 sec/game, 5.1 min. total, 534.1 MB
suffix_guts v4 189 games, 140999 moves, e=0.860, loss: 52860.9, -, 10.5% elo% vs. random_no_suicide, avg. reward: 24.779, 1.888 sec/game, 5.1 min. total, 535.7 MB
suffix_guts v4 190 games, 141766 moves, e=0.860, loss: 46992.1, -, 10.3% elo% vs. random_no_suicide, avg. reward: 24.636, 1.902 sec/game, 5.1 min. total, 535.3 MB
suffix_guts v4 191 games, 142504 moves, e=0.859, loss: 53026.4, -, 10.1% elo% vs. random_no_suicide, avg. reward: 23.760, 1.897 sec/game, 5.2 min. total, 535.8 MB
suffix_guts v4 192 games, 143399 moves, e=0.858, loss: 49612.2, -, 10.0% elo% vs. random_no_suicide, avg. reward: 24.564, 1.910 sec/game, 5.2 min. total, 534.7 MB
suffix_guts v4 193 games, 144256 moves, e=0.857, loss: 42025.3, -, 9.8% elo% vs. random_no_suicide, avg. reward: 24.768, 1.939 sec/game, 5.2 min. total, 535.7 MB
suffix_guts v4 194 games, 145024 moves, e=0.856, loss: 39057.7, -, 9.7% elo% vs. random_no_suicide, avg. reward: 25.008, 1.925 sec/game, 5.3 min. total, 536.1 MB
suffix_guts v4 195 games, 145859 moves, e=0.856, loss: 44469.5, -, 9.5% elo% vs. random_no_suicide, avg. reward: 24.557, 1.938 sec/game, 5.3 min. total, 536.2 MB
suffix_guts v4 196 games, 146719 moves, e=0.855, loss: 49511.2, -, 9.4% elo% vs. random_no_suicide, avg. reward: 24.437, 1.933 sec/game, 5.3 min. total, 534.9 MB
suffix_guts v4 197 games, 147514 moves, e=0.854, loss: 52340.9, -, 9.2% elo% vs. random_no_suicide, avg. reward: 24.554, 1.933 sec/game, 5.4 min. total, 535.0 MB
suffix_guts v4 198 games, 148223 moves, e=0.853, loss: 51024.2, -, 9.1% elo% vs. random_no_suicide, avg. reward: 25.111, 1.915 sec/game, 5.4 min. total, 536.7 MB
suffix_guts v4 199 games, 148977 moves, e=0.853, loss: 49940.0, -, 8.9% elo% vs. random_no_suicide, avg. reward: 25.367, 1.904 sec/game, 5.4 min. total, 538.3 MB
suffix_guts v4 200 games, 149704 moves, e=0.852, loss: 48396.8, -, 8.8% elo% vs. random_no_suicide, avg. reward: 25.650, 1.918 sec/game, 5.5 min. total, 537.0 MB
suffix_guts v5 201 games, 150459 moves, e=0.851, loss: 52869.1, -, 47.7% elo% vs. random_no_suicide, avg. reward: 25.342, 1.921 sec/game, 5.5 min. total, 538.4 MB
suffix_guts v5 202 games, 151311 moves, e=0.850, loss: 53099.3, -, 45.5% elo% vs. random_no_suicide, avg. reward: 25.347, 1.932 sec/game, 5.5 min. total, 537.2 MB
suffix_guts v5 203 games, 152138 moves, e=0.849, loss: 46537.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: 25.559, 1.919 sec/game, 5.6 min. total, 538.5 MB
suffix_guts v5 204 games, 152979 moves, e=0.849, loss: 44128.8, -, 41.5% elo% vs. random_no_suicide, avg. reward: 25.398, 1.933 sec/game, 5.6 min. total, 537.3 MB
suffix_guts v5 205 games, 153820 moves, e=0.848, loss: 51392.8, -, 39.6% elo% vs. random_no_suicide, avg. reward: 25.748, 1.935 sec/game, 5.6 min. total, 538.6 MB
suffix_guts v5 206 games, 154550 moves, e=0.847, loss: 51370.3, -, 37.9% elo% vs. random_no_suicide, avg. reward: 26.294, 1.935 sec/game, 5.7 min. total, 537.3 MB
suffix_guts v5 207 games, 155357 moves, e=0.846, loss: 53407.2, -, 36.3% elo% vs. random_no_suicide, avg. reward: 25.839, 1.936 sec/game, 5.7 min. total, 539.0 MB
suffix_guts v5 208 games, 156240 moves, e=0.845, loss: 55620.7, -, 34.8% elo% vs. random_no_suicide, avg. reward: 25.563, 1.953 sec/game, 5.7 min. total, 539.1 MB
suffix_guts v5 209 games, 157171 moves, e=0.844, loss: 46690.9, -, 33.3% elo% vs. random_no_suicide, avg. reward: 25.903, 1.963 sec/game, 5.8 min. total, 539.8 MB
suffix_guts v5 210 games, 158004 moves, e=0.844, loss: 44319.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: 26.037, 1.977 sec/game, 5.8 min. total, 541.1 MB
suffix_guts v5 211 games, 158700 moves, e=0.843, loss: 39984.5, -, 30.7% elo% vs. random_no_suicide, avg. reward: 26.182, 1.965 sec/game, 5.8 min. total, 539.9 MB
suffix_guts v5 212 games, 159423 moves, e=0.842, loss: 37957.6, -, 29.5% elo% vs. random_no_suicide, avg. reward: 25.749, 1.950 sec/game, 5.8 min. total, 540.0 MB
suffix_guts v5 213 games, 160177 moves, e=0.841, loss: 39043.8, -, 28.4% elo% vs. random_no_suicide, avg. reward: 26.155, 1.937 sec/game, 5.9 min. total, 540.0 MB
suffix_guts v5 214 games, 160927 moves, e=0.841, loss: 36254.6, -, 27.3% elo% vs. random_no_suicide, avg. reward: 26.414, 1.938 sec/game, 5.9 min. total, 540.3 MB
suffix_guts v5 215 games, 161706 moves, e=0.840, loss: 38064.4, -, 26.4% elo% vs. random_no_suicide, avg. reward: 26.536, 1.937 sec/game, 5.9 min. total, 540.4 MB
suffix_guts v5 216 games, 162566 moves, e=0.839, loss: 43766.3, -, 25.4% elo% vs. random_no_suicide, avg. reward: 26.360, 1.937 sec/game, 6.0 min. total, 541.1 MB
suffix_guts v5 217 games, 163454 moves, e=0.838, loss: 38293.4, -, 24.5% elo% vs. random_no_suicide, avg. reward: 26.315, 1.942 sec/game, 6.0 min. total, 542.4 MB
suffix_guts v5 218 games, 164166 moves, e=0.837, loss: 42622.3, -, 23.7% elo% vs. random_no_suicide, avg. reward: 26.227, 1.957 sec/game, 6.0 min. total, 541.3 MB
suffix_guts v5 219 games, 164903 moves, e=0.837, loss: 41974.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: 25.607, 1.951 sec/game, 6.1 min. total, 542.8 MB
suffix_guts v5 220 games, 165718 moves, e=0.836, loss: 44163.3, -, 22.2% elo% vs. random_no_suicide, avg. reward: 25.829, 1.953 sec/game, 6.1 min. total, 543.3 MB
suffix_guts v5 221 games, 166516 moves, e=0.835, loss: 36038.9, -, 21.5% elo% vs. random_no_suicide, avg. reward: 25.677, 1.950 sec/game, 6.1 min. total, 543.4 MB
suffix_guts v5 222 games, 167286 moves, e=0.834, loss: 39596.0, -, 20.8% elo% vs. random_no_suicide, avg. reward: 25.776, 1.928 sec/game, 6.2 min. total, 542.2 MB
suffix_guts v5 223 games, 168097 moves, e=0.834, loss: 42711.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: 25.626, 1.941 sec/game, 6.2 min. total, 542.3 MB
suffix_guts v5 224 games, 168881 moves, e=0.833, loss: 44110.9, -, 19.6% elo% vs. random_no_suicide, avg. reward: 26.384, 1.928 sec/game, 6.2 min. total, 543.2 MB
suffix_guts v5 225 games, 169546 moves, e=0.832, loss: 47433.4, -, 19.1% elo% vs. random_no_suicide, avg. reward: 26.711, 1.912 sec/game, 6.3 min. total, 542.1 MB
suffix_guts v5 226 games, 170310 moves, e=0.831, loss: 46053.0, -, 18.5% elo% vs. random_no_suicide, avg. reward: 27.107, 1.918 sec/game, 6.3 min. total, 542.4 MB
suffix_guts v5 227 games, 171252 moves, e=0.830, loss: 46308.3, -, 18.0% elo% vs. random_no_suicide, avg. reward: 27.117, 1.938 sec/game, 6.3 min. total, 544.1 MB
suffix_guts v5 228 games, 172115 moves, e=0.830, loss: 44373.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: 27.343, 1.945 sec/game, 6.4 min. total, 544.6 MB
suffix_guts v5 229 games, 172861 moves, e=0.829, loss: 49218.8, -, 17.1% elo% vs. random_no_suicide, avg. reward: 27.358, 1.932 sec/game, 6.4 min. total, 544.4 MB
suffix_guts v5 230 games, 173518 moves, e=0.828, loss: 51735.1, -, 16.6% elo% vs. random_no_suicide, avg. reward: 27.308, 1.910 sec/game, 6.4 min. total, 544.8 MB
suffix_guts v5 231 games, 174316 moves, e=0.827, loss: 49362.6, -, 16.2% elo% vs. random_no_suicide, avg. reward: 26.780, 1.925 sec/game, 6.5 min. total, 544.7 MB
suffix_guts v5 232 games, 175070 moves, e=0.827, loss: 42636.1, -, 15.8% elo% vs. random_no_suicide, avg. reward: 27.315, 1.929 sec/game, 6.5 min. total, 545.8 MB
suffix_guts v5 233 games, 175877 moves, e=0.826, loss: 43877.4, -, 15.4% elo% vs. random_no_suicide, avg. reward: 26.999, 1.948 sec/game, 6.5 min. total, 546.1 MB
suffix_guts v5 234 games, 176670 moves, e=0.825, loss: 45530.7, -, 15.1% elo% vs. random_no_suicide, avg. reward: 26.718, 1.952 sec/game, 6.6 min. total, 545.0 MB
suffix_guts v5 235 games, 177590 moves, e=0.824, loss: 44659.5, -, 14.7% elo% vs. random_no_suicide, avg. reward: 26.655, 1.971 sec/game, 6.6 min. total, 545.3 MB
suffix_guts v5 236 games, 178305 moves, e=0.823, loss: 44094.8, -, 14.4% elo% vs. random_no_suicide, avg. reward: 26.131, 1.964 sec/game, 6.6 min. total, 546.5 MB
suffix_guts v5 237 games, 179127 moves, e=0.823, loss: 43696.5, -, 14.0% elo% vs. random_no_suicide, avg. reward: 26.143, 1.962 sec/game, 6.7 min. total, 546.7 MB
suffix_guts v5 238 games, 179797 moves, e=0.822, loss: 44999.5, -, 13.7% elo% vs. random_no_suicide, avg. reward: 25.825, 1.950 sec/game, 6.7 min. total, 547.7 MB
suffix_guts v5 239 games, 180621 moves, e=0.821, loss: 47581.9, +, 15.7% elo% vs. random_no_suicide, avg. reward: 25.926, 1.966 sec/game, 6.7 min. total, 549.1 MB
suffix_guts v5 240 games, 181482 moves, e=0.820, loss: 40277.3, -, 15.3% elo% vs. random_no_suicide, avg. reward: 26.010, 1.969 sec/game, 6.8 min. total, 547.8 MB
suffix_guts v5 241 games, 182153 moves, e=0.820, loss: 39145.5, -, 15.0% elo% vs. random_no_suicide, avg. reward: 26.204, 1.967 sec/game, 6.8 min. total, 548.1 MB
suffix_guts v5 242 games, 182898 moves, e=0.819, loss: 40231.0, +, 17.1% elo% vs. random_no_suicide, avg. reward: 25.792, 1.955 sec/game, 6.8 min. total, 548.1 MB
suffix_guts v5 243 games, 183675 moves, e=0.818, loss: 37192.5, -, 16.6% elo% vs. random_no_suicide, avg. reward: 25.790, 1.945 sec/game, 6.8 min. total, 549.4 MB
suffix_guts v5 244 games, 184463 moves, e=0.817, loss: 36528.9, -, 16.2% elo% vs. random_no_suicide, avg. reward: 25.819, 1.965 sec/game, 6.9 min. total, 547.7 MB
suffix_guts v5 245 games, 185238 moves, e=0.817, loss: 39886.9, -, 15.8% elo% vs. random_no_suicide, avg. reward: 25.961, 1.981 sec/game, 6.9 min. total, 548.1 MB
suffix_guts v5 246 games, 186100 moves, e=0.816, loss: 36514.4, -, 15.4% elo% vs. random_no_suicide, avg. reward: 26.078, 1.983 sec/game, 7.0 min. total, 548.4 MB
suffix_guts v5 247 games, 186881 moves, e=0.815, loss: 41974.9, -, 15.1% elo% vs. random_no_suicide, avg. reward: 26.090, 1.974 sec/game, 7.0 min. total, 550.5 MB
suffix_guts v5 248 games, 187662 moves, e=0.814, loss: 41560.8, -, 14.7% elo% vs. random_no_suicide, avg. reward: 26.348, 1.955 sec/game, 7.0 min. total, 551.5 MB
suffix_guts v5 249 games, 188554 moves, e=0.813, loss: 43251.8, -, 14.4% elo% vs. random_no_suicide, avg. reward: 26.699, 1.978 sec/game, 7.1 min. total, 550.8 MB
suffix_guts v5 250 games, 189347 moves, e=0.813, loss: 40247.6, -, 14.1% elo% vs. random_no_suicide, avg. reward: 26.777, 1.992 sec/game, 7.1 min. total, 552.1 MB
suffix_guts v5 251 games, 190085 moves, e=0.812, loss: 45353.9, -, 13.7% elo% vs. random_no_suicide, avg. reward: 27.193, 1.990 sec/game, 7.1 min. total, 550.8 MB
suffix_guts v5 252 games, 190859 moves, e=0.811, loss: 45741.7, -, 13.5% elo% vs. random_no_suicide, avg. reward: 26.811, 1.994 sec/game, 7.2 min. total, 550.8 MB
suffix_guts v5 253 games, 191620 moves, e=0.810, loss: 43719.8, -, 13.2% elo% vs. random_no_suicide, avg. reward: 27.340, 1.978 sec/game, 7.2 min. total, 552.1 MB
suffix_guts v5 254 games, 192511 moves, e=0.809, loss: 34992.4, -, 12.9% elo% vs. random_no_suicide, avg. reward: 27.280, 1.979 sec/game, 7.2 min. total, 550.4 MB
suffix_guts v5 255 games, 193415 moves, e=0.809, loss: 43507.2, ., 13.7% elo% vs. random_no_suicide, avg. reward: 27.069, 1.989 sec/game, 7.3 min. total, 552.9 MB
suffix_guts v5 256 games, 194265 moves, e=0.808, loss: 42593.1, -, 13.4% elo% vs. random_no_suicide, avg. reward: 26.921, 1.985 sec/game, 7.3 min. total, 551.6 MB
suffix_guts v5 257 games, 195168 moves, e=0.807, loss: 43445.0, -, 13.1% elo% vs. random_no_suicide, avg. reward: 27.285, 2.001 sec/game, 7.3 min. total, 552.4 MB
suffix_guts v5 258 games, 195989 moves, e=0.806, loss: 50280.7, -, 12.8% elo% vs. random_no_suicide, avg. reward: 27.413, 2.034 sec/game, 7.4 min. total, 553.4 MB
suffix_guts v5 259 games, 196765 moves, e=0.805, loss: 46114.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: 26.906, 2.025 sec/game, 7.4 min. total, 553.6 MB
suffix_guts v5 260 games, 197546 moves, e=0.804, loss: 44336.6, -, 12.3% elo% vs. random_no_suicide, avg. reward: 27.548, 2.027 sec/game, 7.4 min. total, 553.1 MB
suffix_guts v5 261 games, 198389 moves, e=0.804, loss: 45472.0, +, 14.2% elo% vs. random_no_suicide, avg. reward: 27.659, 2.036 sec/game, 7.5 min. total, 552.5 MB
suffix_guts v5 262 games, 199312 moves, e=0.803, loss: 44887.0, -, 13.9% elo% vs. random_no_suicide, avg. reward: 28.189, 2.086 sec/game, 7.5 min. total, 553.4 MB
suffix_guts v5 263 games, 200222 moves, e=0.802, loss: 45728.9, -, 13.6% elo% vs. random_no_suicide, avg. reward: 28.488, 2.103 sec/game, 7.6 min. total, 553.8 MB
suffix_guts v5 264 games, 200918 moves, e=0.801, loss: 48719.0, -, 13.3% elo% vs. random_no_suicide, avg. reward: 28.109, 2.071 sec/game, 7.6 min. total, 553.7 MB
suffix_guts v5 265 games, 201805 moves, e=0.800, loss: 47081.7, -, 13.0% elo% vs. random_no_suicide, avg. reward: 28.156, 2.087 sec/game, 7.6 min. total, 552.9 MB
suffix_guts v5 266 games, 202619 moves, e=0.799, loss: 44308.8, -, 12.7% elo% vs. random_no_suicide, avg. reward: 28.156, 2.084 sec/game, 7.6 min. total, 553.8 MB
suffix_guts v5 267 games, 203379 moves, e=0.799, loss: 45744.8, ., 13.5% elo% vs. random_no_suicide, avg. reward: 28.418, 2.072 sec/game, 7.7 min. total, 554.5 MB
suffix_guts v5 268 games, 204155 moves, e=0.798, loss: 44818.0, -, 13.2% elo% vs. random_no_suicide, avg. reward: 28.798, 2.071 sec/game, 7.7 min. total, 554.5 MB
suffix_guts v5 269 games, 204969 moves, e=0.797, loss: 43079.5, -, 12.9% elo% vs. random_no_suicide, avg. reward: 28.696, 2.063 sec/game, 7.7 min. total, 556.0 MB
suffix_guts v5 270 games, 205760 moves, e=0.796, loss: 47772.7, -, 12.7% elo% vs. random_no_suicide, avg. reward: 29.217, 2.060 sec/game, 7.8 min. total, 554.7 MB
suffix_guts v5 271 games, 206625 moves, e=0.795, loss: 46290.3, -, 12.4% elo% vs. random_no_suicide, avg. reward: 29.689, 2.075 sec/game, 7.8 min. total, 554.8 MB
suffix_guts v5 272 games, 207382 moves, e=0.795, loss: 50472.2, +, 14.3% elo% vs. random_no_suicide, avg. reward: 29.946, 2.075 sec/game, 7.8 min. total, 554.7 MB
suffix_guts v5 273 games, 208234 moves, e=0.794, loss: 54711.6, -, 14.0% elo% vs. random_no_suicide, avg. reward: 30.437, 2.077 sec/game, 7.9 min. total, 556.1 MB
suffix_guts v5 274 games, 209155 moves, e=0.793, loss: 54420.9, -, 13.6% elo% vs. random_no_suicide, avg. reward: 30.853, 2.102 sec/game, 7.9 min. total, 555.0 MB
suffix_guts v5 275 games, 209972 moves, e=0.792, loss: 49366.3, -, 13.4% elo% vs. random_no_suicide, avg. reward: 31.212, 2.077 sec/game, 8.0 min. total, 556.0 MB
suffix_guts v5 276 games, 210917 moves, e=0.791, loss: 53779.6, -, 13.1% elo% vs. random_no_suicide, avg. reward: 30.726, 2.094 sec/game, 8.0 min. total, 558.5 MB
suffix_guts v5 277 games, 211765 moves, e=0.790, loss: 51002.1, +, 15.0% elo% vs. random_no_suicide, avg. reward: 30.327, 2.093 sec/game, 8.0 min. total, 558.2 MB
suffix_guts v5 278 games, 212654 moves, e=0.789, loss: 53367.1, -, 14.7% elo% vs. random_no_suicide, avg. reward: 30.078, 2.098 sec/game, 8.1 min. total, 558.1 MB
suffix_guts v5 279 games, 213522 moves, e=0.789, loss: 51492.5, -, 14.3% elo% vs. random_no_suicide, avg. reward: 29.712, 2.113 sec/game, 8.1 min. total, 558.0 MB
suffix_guts v5 280 games, 214219 moves, e=0.788, loss: 49355.2, -, 14.0% elo% vs. random_no_suicide, avg. reward: 29.389, 2.102 sec/game, 8.1 min. total, 559.5 MB
suffix_guts v5 281 games, 214951 moves, e=0.787, loss: 43742.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: 29.291, 2.102 sec/game, 8.2 min. total, 558.5 MB
suffix_guts v5 282 games, 215804 moves, e=0.786, loss: 38914.0, +, 15.7% elo% vs. random_no_suicide, avg. reward: 29.285, 2.069 sec/game, 8.2 min. total, 558.7 MB
suffix_guts v5 283 games, 216609 moves, e=0.786, loss: 34867.5, +, 17.8% elo% vs. random_no_suicide, avg. reward: 29.201, 2.065 sec/game, 8.2 min. total, 559.4 MB
suffix_guts v5 284 games, 217488 moves, e=0.785, loss: 37487.8, -, 17.4% elo% vs. random_no_suicide, avg. reward: 29.209, 2.096 sec/game, 8.3 min. total, 560.5 MB
suffix_guts v5 285 games, 218148 moves, e=0.784, loss: 38057.9, -, 16.9% elo% vs. random_no_suicide, avg. reward: 28.809, 2.065 sec/game, 8.3 min. total, 559.3 MB
suffix_guts v5 286 games, 218963 moves, e=0.783, loss: 34211.8, -, 16.5% elo% vs. random_no_suicide, avg. reward: 28.584, 2.073 sec/game, 8.3 min. total, 559.3 MB
suffix_guts v5 287 games, 219832 moves, e=0.782, loss: 31942.4, -, 16.1% elo% vs. random_no_suicide, avg. reward: 28.813, 2.090 sec/game, 8.4 min. total, 560.7 MB
suffix_guts v5 288 games, 220621 moves, e=0.782, loss: 31320.2, -, 15.7% elo% vs. random_no_suicide, avg. reward: 28.261, 2.093 sec/game, 8.4 min. total, 559.5 MB
suffix_guts v5 289 games, 221457 moves, e=0.781, loss: 26170.6, -, 15.3% elo% vs. random_no_suicide, avg. reward: 27.751, 2.100 sec/game, 8.4 min. total, 560.3 MB
suffix_guts v5 290 games, 222305 moves, e=0.780, loss: 29574.0, -, 14.9% elo% vs. random_no_suicide, avg. reward: 27.723, 2.103 sec/game, 8.5 min. total, 559.5 MB
suffix_guts v5 291 games, 223164 moves, e=0.779, loss: 33336.9, -, 14.6% elo% vs. random_no_suicide, avg. reward: 28.084, 2.105 sec/game, 8.5 min. total, 559.7 MB
suffix_guts v5 292 games, 223894 moves, e=0.778, loss: 34041.3, -, 14.3% elo% vs. random_no_suicide, avg. reward: 27.552, 2.104 sec/game, 8.5 min. total, 560.2 MB
suffix_guts v5 293 games, 224876 moves, e=0.777, loss: 30699.5, -, 13.9% elo% vs. random_no_suicide, avg. reward: 27.296, 2.119 sec/game, 8.6 min. total, 560.7 MB
