dragging_probation v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
dragging_probation v7 313 games, 251648 moves, e=0.751, loss: 5.2, -, 28.4% elo% vs. simple_bot, avg. reward: -7.718, 2.164 sec/game, 8.4 min. total, 539.8 MB
dragging_probation v7 314 games, 252698 moves, e=0.750, loss: 4.9, -, 27.3% elo% vs. simple_bot, avg. reward: -7.707, 2.167 sec/game, 8.5 min. total, 540.3 MB
dragging_probation v7 315 games, 253616 moves, e=0.749, loss: 4.7, -, 26.4% elo% vs. simple_bot, avg. reward: -7.709, 2.160 sec/game, 8.5 min. total, 540.8 MB
dragging_probation v7 316 games, 254616 moves, e=0.748, loss: 4.9, -, 25.4% elo% vs. simple_bot, avg. reward: -7.692, 2.135 sec/game, 8.5 min. total, 543.4 MB
dragging_probation v7 317 games, 255710 moves, e=0.747, loss: 5.1, -, 24.5% elo% vs. simple_bot, avg. reward: -7.679, 2.142 sec/game, 8.6 min. total, 543.2 MB
dragging_probation v7 318 games, 256775 moves, e=0.746, loss: 5.1, -, 23.7% elo% vs. simple_bot, avg. reward: -7.670, 2.171 sec/game, 8.6 min. total, 543.2 MB
dragging_probation v7 319 games, 257816 moves, e=0.745, loss: 4.9, -, 22.9% elo% vs. simple_bot, avg. reward: -7.654, 2.182 sec/game, 8.7 min. total, 543.2 MB
dragging_probation v7 320 games, 258822 moves, e=0.744, loss: 4.7, -, 22.2% elo% vs. simple_bot, avg. reward: -7.628, 2.193 sec/game, 8.7 min. total, 543.5 MB
dragging_probation v7 321 games, 259755 moves, e=0.743, loss: 4.9, -, 21.5% elo% vs. simple_bot, avg. reward: -7.609, 2.199 sec/game, 8.7 min. total, 543.4 MB
dragging_probation v7 322 games, 260904 moves, e=0.742, loss: 5.0, -, 20.8% elo% vs. simple_bot, avg. reward: -7.583, 2.199 sec/game, 8.8 min. total, 544.5 MB
dragging_probation v7 323 games, 261812 moves, e=0.741, loss: 4.9, -, 20.2% elo% vs. simple_bot, avg. reward: -7.587, 2.205 sec/game, 8.8 min. total, 544.3 MB
dragging_probation v7 324 games, 262754 moves, e=0.740, loss: 5.2, -, 19.6% elo% vs. simple_bot, avg. reward: -7.563, 2.205 sec/game, 8.9 min. total, 544.2 MB
dragging_probation v7 325 games, 263792 moves, e=0.739, loss: 5.1, -, 19.1% elo% vs. simple_bot, avg. reward: -7.552, 2.215 sec/game, 8.9 min. total, 544.5 MB
dragging_probation v7 326 games, 264931 moves, e=0.738, loss: 4.9, -, 18.5% elo% vs. simple_bot, avg. reward: -7.531, 2.253 sec/game, 8.9 min. total, 544.6 MB
dragging_probation v7 327 games, 265929 moves, e=0.737, loss: 4.8, -, 18.0% elo% vs. simple_bot, avg. reward: -7.501, 2.265 sec/game, 9.0 min. total, 544.7 MB
dragging_probation v7 328 games, 266834 moves, e=0.736, loss: 4.6, -, 17.5% elo% vs. simple_bot, avg. reward: -7.495, 2.269 sec/game, 9.0 min. total, 545.1 MB
dragging_probation v7 329 games, 267799 moves, e=0.735, loss: 4.8, -, 17.1% elo% vs. simple_bot, avg. reward: -7.483, 2.301 sec/game, 9.0 min. total, 549.6 MB
dragging_probation v7 330 games, 268853 moves, e=0.734, loss: 5.0, -, 16.6% elo% vs. simple_bot, avg. reward: -7.478, 2.318 sec/game, 9.1 min. total, 544.6 MB
dragging_probation v7 331 games, 269855 moves, e=0.733, loss: 4.7, -, 16.2% elo% vs. simple_bot, avg. reward: -7.467, 2.311 sec/game, 9.1 min. total, 544.7 MB
dragging_probation v7 332 games, 270797 moves, e=0.732, loss: 4.8, -, 15.8% elo% vs. simple_bot, avg. reward: -7.466, 2.298 sec/game, 9.2 min. total, 544.6 MB
dragging_probation v7 333 games, 271920 moves, e=0.731, loss: 4.9, -, 15.4% elo% vs. simple_bot, avg. reward: -7.448, 2.289 sec/game, 9.2 min. total, 544.7 MB
dragging_probation v7 334 games, 272968 moves, e=0.730, loss: 4.5, -, 15.1% elo% vs. simple_bot, avg. reward: -7.405, 2.300 sec/game, 9.2 min. total, 546.0 MB
dragging_probation v7 335 games, 273877 moves, e=0.729, loss: 3.9, -, 14.7% elo% vs. simple_bot, avg. reward: -7.375, 2.292 sec/game, 9.3 min. total, 546.7 MB
dragging_probation v7 336 games, 274892 moves, e=0.728, loss: 4.1, -, 14.4% elo% vs. simple_bot, avg. reward: -7.351, 2.293 sec/game, 9.3 min. total, 546.7 MB
dragging_probation v7 337 games, 275863 moves, e=0.727, loss: 4.7, -, 14.0% elo% vs. simple_bot, avg. reward: -7.350, 2.291 sec/game, 9.4 min. total, 546.9 MB
dragging_probation v7 338 games, 276804 moves, e=0.726, loss: 5.3, -, 13.7% elo% vs. simple_bot, avg. reward: -7.337, 2.259 sec/game, 9.4 min. total, 546.9 MB
dragging_probation v7 339 games, 277762 moves, e=0.725, loss: 5.0, -, 13.4% elo% vs. simple_bot, avg. reward: -7.327, 2.263 sec/game, 9.4 min. total, 547.5 MB
dragging_probation v7 340 games, 278721 moves, e=0.724, loss: 5.1, -, 13.1% elo% vs. simple_bot, avg. reward: -7.313, 2.251 sec/game, 9.5 min. total, 552.0 MB
dragging_probation v7 341 games, 279763 moves, e=0.723, loss: 4.8, -, 12.9% elo% vs. simple_bot, avg. reward: -7.292, 2.252 sec/game, 9.5 min. total, 550.1 MB
dragging_probation v7 342 games, 280711 moves, e=0.722, loss: 4.8, -, 12.6% elo% vs. simple_bot, avg. reward: -7.293, 2.257 sec/game, 9.5 min. total, 549.8 MB
dragging_probation v7 343 games, 281601 moves, e=0.721, loss: 5.0, -, 12.4% elo% vs. simple_bot, avg. reward: -7.293, 2.254 sec/game, 9.6 min. total, 549.8 MB
dragging_probation v7 344 games, 282492 moves, e=0.720, loss: 5.2, -, 12.1% elo% vs. simple_bot, avg. reward: -7.294, 2.236 sec/game, 9.6 min. total, 549.8 MB
dragging_probation v7 345 games, 283593 moves, e=0.719, loss: 5.5, -, 11.9% elo% vs. simple_bot, avg. reward: -7.283, 2.255 sec/game, 9.6 min. total, 549.8 MB
dragging_probation v7 346 games, 284583 moves, e=0.718, loss: 6.6, -, 11.7% elo% vs. simple_bot, avg. reward: -7.273, 2.229 sec/game, 9.7 min. total, 551.2 MB
dragging_probation v7 347 games, 285635 moves, e=0.717, loss: 6.3, -, 11.4% elo% vs. simple_bot, avg. reward: -7.268, 2.248 sec/game, 9.7 min. total, 550.6 MB
dragging_probation v7 348 games, 286828 moves, e=0.716, loss: 6.3, -, 11.2% elo% vs. simple_bot, avg. reward: -7.246, 2.272 sec/game, 9.8 min. total, 551.0 MB
dragging_probation v7 349 games, 287905 moves, e=0.715, loss: 6.4, -, 11.0% elo% vs. simple_bot, avg. reward: -7.225, 2.273 sec/game, 9.8 min. total, 551.0 MB
dragging_probation v7 350 games, 289022 moves, e=0.714, loss: 5.9, -, 10.8% elo% vs. simple_bot, avg. reward: -7.204, 2.273 sec/game, 9.8 min. total, 551.1 MB
dragging_probation v7 351 games, 289941 moves, e=0.713, loss: 5.7, -, 10.6% elo% vs. simple_bot, avg. reward: -7.180, 2.269 sec/game, 9.9 min. total, 551.2 MB
dragging_probation v7 352 games, 290866 moves, e=0.712, loss: 5.6, -, 10.4% elo% vs. simple_bot, avg. reward: -7.176, 2.283 sec/game, 9.9 min. total, 551.7 MB
dragging_probation v7 353 games, 291817 moves, e=0.711, loss: 5.7, -, 10.3% elo% vs. simple_bot, avg. reward: -7.164, 2.258 sec/game, 10.0 min. total, 552.1 MB
dragging_probation v7 354 games, 292937 moves, e=0.710, loss: 5.1, -, 10.1% elo% vs. simple_bot, avg. reward: -7.147, 2.268 sec/game, 10.0 min. total, 554.3 MB
dragging_probation v7 355 games, 293929 moves, e=0.709, loss: 4.9, -, 9.9% elo% vs. simple_bot, avg. reward: -7.126, 2.289 sec/game, 10.0 min. total, 554.2 MB
dragging_probation v7 356 games, 294939 moves, e=0.708, loss: 4.7, -, 9.8% elo% vs. simple_bot, avg. reward: -7.101, 2.287 sec/game, 10.1 min. total, 554.0 MB
dragging_probation v7 357 games, 295965 moves, e=0.707, loss: 4.5, -, 9.6% elo% vs. simple_bot, avg. reward: -7.074, 2.297 sec/game, 10.1 min. total, 554.7 MB
dragging_probation v7 358 games, 296980 moves, e=0.706, loss: 4.5, -, 9.5% elo% vs. simple_bot, avg. reward: -7.064, 2.306 sec/game, 10.2 min. total, 558.5 MB
dragging_probation v7 359 games, 298009 moves, e=0.705, loss: 4.6, -, 9.3% elo% vs. simple_bot, avg. reward: -7.039, 2.301 sec/game, 10.2 min. total, 554.9 MB
dragging_probation v7 360 games, 299100 moves, e=0.704, loss: 4.6, -, 9.2% elo% vs. simple_bot, avg. reward: -7.022, 2.331 sec/game, 10.2 min. total, 556.2 MB
dragging_probation v7 361 games, 300394 moves, e=0.703, loss: 4.5, -, 9.0% elo% vs. simple_bot, avg. reward: -6.996, 2.355 sec/game, 10.3 min. total, 557.0 MB
dragging_probation v7 362 games, 301489 moves, e=0.702, loss: 4.4, -, 8.9% elo% vs. simple_bot, avg. reward: -6.969, 2.367 sec/game, 10.3 min. total, 557.1 MB
dragging_probation v7 363 games, 302594 moves, e=0.700, loss: 3.9, -, 8.8% elo% vs. simple_bot, avg. reward: -6.951, 2.390 sec/game, 10.4 min. total, 557.0 MB
dragging_probation v7 364 games, 303729 moves, e=0.699, loss: 3.8, -, 8.6% elo% vs. simple_bot, avg. reward: -6.930, 2.416 sec/game, 10.4 min. total, 557.0 MB
dragging_probation v7 365 games, 304916 moves, e=0.698, loss: 3.7, -, 8.5% elo% vs. simple_bot, avg. reward: -6.904, 2.425 sec/game, 10.5 min. total, 557.8 MB
dragging_probation v7 366 games, 305717 moves, e=0.697, loss: 4.0, -, 8.4% elo% vs. simple_bot, avg. reward: -6.912, 2.400 sec/game, 10.5 min. total, 557.7 MB
dragging_probation v7 367 games, 307049 moves, e=0.696, loss: 4.0, -, 8.3% elo% vs. simple_bot, avg. reward: -6.897, 2.428 sec/game, 10.5 min. total, 558.3 MB
dragging_probation v7 368 games, 308308 moves, e=0.695, loss: 4.0, -, 8.1% elo% vs. simple_bot, avg. reward: -6.866, 2.441 sec/game, 10.6 min. total, 558.3 MB
dragging_probation v7 369 games, 309398 moves, e=0.694, loss: 4.2, -, 8.0% elo% vs. simple_bot, avg. reward: -6.865, 2.443 sec/game, 10.6 min. total, 559.9 MB
dragging_probation v7 370 games, 310612 moves, e=0.692, loss: 4.2, -, 7.9% elo% vs. simple_bot, avg. reward: -6.837, 2.455 sec/game, 10.7 min. total, 558.3 MB
dragging_probation v7 371 games, 311703 moves, e=0.691, loss: 4.8, -, 7.8% elo% vs. simple_bot, avg. reward: -6.828, 2.471 sec/game, 10.7 min. total, 559.3 MB
dragging_probation v7 372 games, 312836 moves, e=0.690, loss: 4.8, -, 7.7% elo% vs. simple_bot, avg. reward: -6.806, 2.485 sec/game, 10.7 min. total, 559.3 MB
dragging_probation v7 373 games, 314095 moves, e=0.689, loss: 5.1, -, 7.6% elo% vs. simple_bot, avg. reward: -6.778, 2.514 sec/game, 10.8 min. total, 560.5 MB
dragging_probation v7 374 games, 315267 moves, e=0.688, loss: 4.3, -, 7.5% elo% vs. simple_bot, avg. reward: -6.767, 2.523 sec/game, 10.8 min. total, 560.8 MB
dragging_probation v7 375 games, 316378 moves, e=0.687, loss: 4.6, -, 7.4% elo% vs. simple_bot, avg. reward: -6.752, 2.519 sec/game, 10.9 min. total, 560.6 MB
dragging_probation v7 376 games, 317454 moves, e=0.686, loss: 4.6, -, 7.3% elo% vs. simple_bot, avg. reward: -6.742, 2.546 sec/game, 10.9 min. total, 561.5 MB
dragging_probation v7 377 games, 318648 moves, e=0.685, loss: 4.6, -, 7.2% elo% vs. simple_bot, avg. reward: -6.716, 2.541 sec/game, 11.0 min. total, 561.4 MB
dragging_probation v7 378 games, 319651 moves, e=0.684, loss: 4.4, -, 7.2% elo% vs. simple_bot, avg. reward: -6.711, 2.553 sec/game, 11.0 min. total, 562.8 MB
dragging_probation v7 379 games, 320669 moves, e=0.683, loss: 4.4, -, 7.1% elo% vs. simple_bot, avg. reward: -6.697, 2.552 sec/game, 11.0 min. total, 562.3 MB
dragging_probation v7 380 games, 321806 moves, e=0.681, loss: 3.8, -, 7.0% elo% vs. simple_bot, avg. reward: -6.665, 2.549 sec/game, 11.1 min. total, 562.3 MB
dragging_probation v7 381 games, 322779 moves, e=0.680, loss: 3.4, -, 6.9% elo% vs. simple_bot, avg. reward: -6.657, 2.529 sec/game, 11.1 min. total, 562.1 MB
dragging_probation v7 382 games, 323866 moves, e=0.679, loss: 4.2, -, 6.8% elo% vs. simple_bot, avg. reward: -6.631, 2.514 sec/game, 11.2 min. total, 562.3 MB
dragging_probation v7 383 games, 325022 moves, e=0.678, loss: 4.4, -, 6.7% elo% vs. simple_bot, avg. reward: -6.622, 2.527 sec/game, 11.2 min. total, 563.7 MB
dragging_probation v7 384 games, 326241 moves, e=0.677, loss: 4.3, -, 6.7% elo% vs. simple_bot, avg. reward: -6.603, 2.535 sec/game, 11.2 min. total, 563.4 MB
dragging_probation v7 385 games, 327201 moves, e=0.676, loss: 4.3, -, 6.6% elo% vs. simple_bot, avg. reward: -6.572, 2.509 sec/game, 11.3 min. total, 565.9 MB
dragging_probation v7 386 games, 328404 moves, e=0.675, loss: 4.5, -, 6.5% elo% vs. simple_bot, avg. reward: -6.551, 2.554 sec/game, 11.3 min. total, 564.5 MB
dragging_probation v7 387 games, 329582 moves, e=0.674, loss: 4.2, -, 6.4% elo% vs. simple_bot, avg. reward: -6.541, 2.531 sec/game, 11.4 min. total, 566.0 MB
dragging_probation v7 388 games, 330720 moves, e=0.673, loss: 4.7, -, 6.4% elo% vs. simple_bot, avg. reward: -6.535, 2.536 sec/game, 11.4 min. total, 564.6 MB
dragging_probation v7 389 games, 331752 moves, e=0.672, loss: 4.9, -, 6.3% elo% vs. simple_bot, avg. reward: -6.534, 2.516 sec/game, 11.5 min. total, 564.6 MB
dragging_probation v7 390 games, 332698 moves, e=0.671, loss: 5.3, -, 6.2% elo% vs. simple_bot, avg. reward: -6.526, 2.514 sec/game, 11.5 min. total, 565.2 MB
dragging_probation v7 391 games, 333841 moves, e=0.669, loss: 5.4, -, 6.2% elo% vs. simple_bot, avg. reward: -6.520, 2.513 sec/game, 11.5 min. total, 567.2 MB
dragging_probation v7 392 games, 334974 moves, e=0.668, loss: 5.1, -, 6.1% elo% vs. simple_bot, avg. reward: -6.508, 2.494 sec/game, 11.6 min. total, 565.9 MB
dragging_probation v7 393 games, 335886 moves, e=0.667, loss: 5.1, -, 6.0% elo% vs. simple_bot, avg. reward: -6.522, 2.483 sec/game, 11.6 min. total, 566.0 MB
dragging_probation v7 394 games, 336903 moves, e=0.666, loss: 4.8, -, 6.0% elo% vs. simple_bot, avg. reward: -6.522, 2.451 sec/game, 11.7 min. total, 565.9 MB
dragging_probation v7 395 games, 338107 moves, e=0.665, loss: 4.8, -, 5.9% elo% vs. simple_bot, avg. reward: -6.512, 2.480 sec/game, 11.7 min. total, 566.4 MB
dragging_probation v7 396 games, 339347 moves, e=0.664, loss: 4.2, -, 5.8% elo% vs. simple_bot, avg. reward: -6.507, 2.477 sec/game, 11.7 min. total, 567.1 MB
dragging_probation v7 397 games, 340317 moves, e=0.663, loss: 3.8, -, 5.8% elo% vs. simple_bot, avg. reward: -6.511, 2.458 sec/game, 11.8 min. total, 568.0 MB
dragging_probation v7 398 games, 341451 moves, e=0.662, loss: 3.8, -, 5.7% elo% vs. simple_bot, avg. reward: -6.488, 2.469 sec/game, 11.8 min. total, 568.1 MB
dragging_probation v7 399 games, 342542 moves, e=0.661, loss: 3.5, -, 5.7% elo% vs. simple_bot, avg. reward: -6.471, 2.487 sec/game, 11.9 min. total, 568.3 MB
dragging_probation v7 400 games, 343873 moves, e=0.660, loss: 3.3, -, 5.6% elo% vs. simple_bot, avg. reward: -6.445, 2.518 sec/game, 11.9 min. total, 568.8 MB
dragging_probation v8 401 games, 345026 moves, e=0.658, loss: 3.5, -, 47.7% elo% vs. simple_bot, avg. reward: -6.433, 2.529 sec/game, 12.0 min. total, 570.6 MB
dragging_probation v8 402 games, 346003 moves, e=0.657, loss: 3.5, -, 45.5% elo% vs. simple_bot, avg. reward: -6.442, 2.527 sec/game, 12.0 min. total, 570.4 MB
dragging_probation v8 403 games, 347134 moves, e=0.656, loss: 3.5, -, 43.4% elo% vs. simple_bot, avg. reward: -6.423, 2.508 sec/game, 12.0 min. total, 570.2 MB
dragging_probation v8 404 games, 348214 moves, e=0.655, loss: 3.6, -, 41.5% elo% vs. simple_bot, avg. reward: -6.411, 2.514 sec/game, 12.1 min. total, 570.3 MB
dragging_probation v8 405 games, 349345 moves, e=0.654, loss: 3.8, -, 39.6% elo% vs. simple_bot, avg. reward: -6.387, 2.530 sec/game, 12.1 min. total, 570.3 MB
dragging_probation v8 406 games, 350490 moves, e=0.653, loss: 3.9, -, 37.9% elo% vs. simple_bot, avg. reward: -6.372, 2.525 sec/game, 12.2 min. total, 570.6 MB
dragging_probation v8 407 games, 351627 moves, e=0.652, loss: 4.2, -, 36.3% elo% vs. simple_bot, avg. reward: -6.348, 2.539 sec/game, 12.2 min. total, 570.6 MB
dragging_probation v8 408 games, 352835 moves, e=0.651, loss: 3.8, -, 34.8% elo% vs. simple_bot, avg. reward: -6.324, 2.524 sec/game, 12.3 min. total, 573.8 MB
dragging_probation v8 409 games, 353905 moves, e=0.650, loss: 3.9, -, 33.3% elo% vs. simple_bot, avg. reward: -6.307, 2.538 sec/game, 12.3 min. total, 573.8 MB
dragging_probation v8 410 games, 355137 moves, e=0.648, loss: 3.7, -, 32.0% elo% vs. simple_bot, avg. reward: -6.276, 2.553 sec/game, 12.4 min. total, 572.5 MB
dragging_probation v8 411 games, 356176 moves, e=0.647, loss: 3.8, -, 30.7% elo% vs. simple_bot, avg. reward: -6.281, 2.543 sec/game, 12.4 min. total, 572.5 MB
dragging_probation v8 412 games, 357378 moves, e=0.646, loss: 3.5, -, 29.5% elo% vs. simple_bot, avg. reward: -6.269, 2.577 sec/game, 12.4 min. total, 572.8 MB
dragging_probation v8 413 games, 358516 moves, e=0.645, loss: 3.5, -, 28.4% elo% vs. simple_bot, avg. reward: -6.258, 2.577 sec/game, 12.5 min. total, 573.1 MB
dragging_probation v8 414 games, 359585 moves, e=0.644, loss: 3.1, -, 27.3% elo% vs. simple_bot, avg. reward: -6.255, 2.601 sec/game, 12.5 min. total, 573.1 MB
dragging_probation v8 415 games, 360890 moves, e=0.643, loss: 2.9, -, 26.4% elo% vs. simple_bot, avg. reward: -6.226, 2.597 sec/game, 12.6 min. total, 574.6 MB
dragging_probation v8 416 games, 362160 moves, e=0.641, loss: 3.4, -, 25.4% elo% vs. simple_bot, avg. reward: -6.212, 2.613 sec/game, 12.6 min. total, 573.2 MB
dragging_probation v8 417 games, 363299 moves, e=0.640, loss: 3.3, -, 24.5% elo% vs. simple_bot, avg. reward: -6.209, 2.631 sec/game, 12.7 min. total, 573.3 MB
dragging_probation v8 418 games, 364371 moves, e=0.639, loss: 3.4, -, 23.7% elo% vs. simple_bot, avg. reward: -6.209, 2.617 sec/game, 12.7 min. total, 574.0 MB
dragging_probation v8 419 games, 365588 moves, e=0.638, loss: 3.6, -, 22.9% elo% vs. simple_bot, avg. reward: -6.196, 2.637 sec/game, 12.7 min. total, 574.7 MB
dragging_probation v8 420 games, 366669 moves, e=0.637, loss: 3.1, -, 22.2% elo% vs. simple_bot, avg. reward: -6.192, 2.597 sec/game, 12.8 min. total, 575.7 MB
dragging_probation v8 421 games, 367921 moves, e=0.636, loss: 3.9, -, 21.5% elo% vs. simple_bot, avg. reward: -6.176, 2.624 sec/game, 12.8 min. total, 575.7 MB
dragging_probation v8 422 games, 369060 moves, e=0.635, loss: 3.9, -, 20.8% elo% vs. simple_bot, avg. reward: -6.176, 2.625 sec/game, 12.9 min. total, 575.8 MB
dragging_probation v8 423 games, 370391 moves, e=0.633, loss: 4.2, -, 20.2% elo% vs. simple_bot, avg. reward: -6.149, 2.660 sec/game, 12.9 min. total, 576.1 MB
dragging_probation v8 424 games, 371426 moves, e=0.632, loss: 4.4, -, 19.6% elo% vs. simple_bot, avg. reward: -6.137, 2.645 sec/game, 13.0 min. total, 576.5 MB
dragging_probation v8 425 games, 372691 moves, e=0.631, loss: 4.6, -, 19.1% elo% vs. simple_bot, avg. reward: -6.125, 2.661 sec/game, 13.0 min. total, 576.8 MB
dragging_probation v8 426 games, 373821 moves, e=0.630, loss: 4.6, -, 18.5% elo% vs. simple_bot, avg. reward: -6.123, 2.663 sec/game, 13.1 min. total, 579.1 MB
dragging_probation v8 427 games, 374807 moves, e=0.629, loss: 4.9, -, 18.0% elo% vs. simple_bot, avg. reward: -6.123, 2.636 sec/game, 13.1 min. total, 578.8 MB
dragging_probation v8 428 games, 375963 moves, e=0.628, loss: 5.4, -, 17.5% elo% vs. simple_bot, avg. reward: -6.100, 2.640 sec/game, 13.1 min. total, 579.2 MB
dragging_probation v8 429 games, 377066 moves, e=0.627, loss: 5.0, -, 17.1% elo% vs. simple_bot, avg. reward: -6.089, 2.631 sec/game, 13.2 min. total, 578.9 MB
dragging_probation v8 430 games, 378167 moves, e=0.626, loss: 4.6, -, 16.6% elo% vs. simple_bot, avg. reward: -6.086, 2.629 sec/game, 13.2 min. total, 578.9 MB
dragging_probation v8 431 games, 379398 moves, e=0.624, loss: 4.6, -, 16.2% elo% vs. simple_bot, avg. reward: -6.069, 2.651 sec/game, 13.3 min. total, 580.4 MB
dragging_probation v8 432 games, 380474 moves, e=0.623, loss: 4.6, -, 15.8% elo% vs. simple_bot, avg. reward: -6.054, 2.628 sec/game, 13.3 min. total, 580.4 MB
dragging_probation v8 433 games, 381987 moves, e=0.622, loss: 4.0, -, 15.4% elo% vs. simple_bot, avg. reward: -6.032, 2.675 sec/game, 13.4 min. total, 582.1 MB
dragging_probation v8 434 games, 382992 moves, e=0.621, loss: 4.1, -, 15.1% elo% vs. simple_bot, avg. reward: -6.034, 2.664 sec/game, 13.4 min. total, 583.4 MB
dragging_probation v8 435 games, 384398 moves, e=0.619, loss: 4.0, -, 14.7% elo% vs. simple_bot, avg. reward: -6.001, 2.676 sec/game, 13.5 min. total, 582.4 MB
dragging_probation v8 436 games, 385684 moves, e=0.618, loss: 3.3, -, 14.4% elo% vs. simple_bot, avg. reward: -5.988, 2.680 sec/game, 13.5 min. total, 582.6 MB
dragging_probation v8 437 games, 386841 moves, e=0.617, loss: 3.7, -, 14.0% elo% vs. simple_bot, avg. reward: -5.975, 2.683 sec/game, 13.6 min. total, 582.5 MB
dragging_probation v8 438 games, 388023 moves, e=0.616, loss: 3.4, -, 13.7% elo% vs. simple_bot, avg. reward: -5.957, 2.698 sec/game, 13.6 min. total, 582.7 MB
dragging_probation v8 439 games, 389065 moves, e=0.615, loss: 3.2, -, 13.4% elo% vs. simple_bot, avg. reward: -5.950, 2.664 sec/game, 13.6 min. total, 582.5 MB
dragging_probation v8 440 games, 390197 moves, e=0.614, loss: 3.4, -, 13.1% elo% vs. simple_bot, avg. reward: -5.936, 2.677 sec/game, 13.7 min. total, 584.2 MB
dragging_probation v8 441 games, 391315 moves, e=0.613, loss: 3.6, -, 12.9% elo% vs. simple_bot, avg. reward: -5.929, 2.657 sec/game, 13.7 min. total, 583.0 MB
dragging_probation v8 442 games, 392418 moves, e=0.612, loss: 3.6, -, 12.6% elo% vs. simple_bot, avg. reward: -5.916, 2.649 sec/game, 13.8 min. total, 583.1 MB
dragging_probation v8 443 games, 393889 moves, e=0.610, loss: 3.3, -, 12.4% elo% vs. simple_bot, avg. reward: -5.877, 2.670 sec/game, 13.8 min. total, 583.6 MB
dragging_probation v8 444 games, 395134 moves, e=0.609, loss: 3.6, -, 12.1% elo% vs. simple_bot, avg. reward: -5.855, 2.682 sec/game, 13.9 min. total, 585.9 MB
dragging_probation v8 445 games, 396556 moves, e=0.607, loss: 4.1, -, 11.9% elo% vs. simple_bot, avg. reward: -5.839, 2.711 sec/game, 13.9 min. total, 585.6 MB
dragging_probation v8 446 games, 397763 moves, e=0.606, loss: 3.9, -, 11.7% elo% vs. simple_bot, avg. reward: -5.827, 2.712 sec/game, 14.0 min. total, 585.4 MB
dragging_probation v8 447 games, 399024 moves, e=0.605, loss: 4.9, -, 11.4% elo% vs. simple_bot, avg. reward: -5.810, 2.748 sec/game, 14.0 min. total, 585.4 MB
dragging_probation v8 448 games, 400442 moves, e=0.604, loss: 4.6, -, 11.2% elo% vs. simple_bot, avg. reward: -5.801, 2.772 sec/game, 14.1 min. total, 589.9 MB
dragging_probation v8 449 games, 401818 moves, e=0.602, loss: 4.4, -, 11.0% elo% vs. simple_bot, avg. reward: -5.784, 2.813 sec/game, 14.1 min. total, 585.4 MB
dragging_probation v8 450 games, 402911 moves, e=0.601, loss: 4.3, -, 10.8% elo% vs. simple_bot, avg. reward: -5.783, 2.793 sec/game, 14.2 min. total, 586.0 MB
dragging_probation v8 451 games, 404178 moves, e=0.600, loss: 4.4, -, 10.6% elo% vs. simple_bot, avg. reward: -5.764, 2.814 sec/game, 14.2 min. total, 587.4 MB
dragging_probation v8 452 games, 405320 moves, e=0.599, loss: 4.4, -, 10.4% elo% vs. simple_bot, avg. reward: -5.744, 2.816 sec/game, 14.3 min. total, 587.4 MB
dragging_probation v8 453 games, 406639 moves, e=0.597, loss: 4.2, -, 10.3% elo% vs. simple_bot, avg. reward: -5.719, 2.808 sec/game, 14.3 min. total, 587.5 MB
dragging_probation v8 454 games, 407898 moves, e=0.596, loss: 4.2, -, 10.1% elo% vs. simple_bot, avg. reward: -5.711, 2.820 sec/game, 14.3 min. total, 587.6 MB
dragging_probation v8 455 games, 409069 moves, e=0.595, loss: 3.8, -, 9.9% elo% vs. simple_bot, avg. reward: -5.703, 2.808 sec/game, 14.4 min. total, 588.0 MB
dragging_probation v8 456 games, 410233 moves, e=0.594, loss: 4.0, -, 9.8% elo% vs. simple_bot, avg. reward: -5.690, 2.780 sec/game, 14.4 min. total, 592.7 MB
dragging_probation v8 457 games, 411627 moves, e=0.592, loss: 4.7, -, 9.6% elo% vs. simple_bot, avg. reward: -5.673, 2.816 sec/game, 14.5 min. total, 590.2 MB
dragging_probation v8 458 games, 412987 moves, e=0.591, loss: 4.4, -, 9.5% elo% vs. simple_bot, avg. reward: -5.656, 2.832 sec/game, 14.5 min. total, 592.5 MB
dragging_probation v8 459 games, 414474 moves, e=0.590, loss: 4.8, -, 9.3% elo% vs. simple_bot, avg. reward: -5.633, 2.887 sec/game, 14.6 min. total, 591.2 MB
dragging_probation v8 460 games, 415661 moves, e=0.588, loss: 4.6, -, 9.2% elo% vs. simple_bot, avg. reward: -5.624, 2.886 sec/game, 14.6 min. total, 591.3 MB
dragging_probation v8 461 games, 416875 moves, e=0.587, loss: 5.0, -, 9.0% elo% vs. simple_bot, avg. reward: -5.629, 2.879 sec/game, 14.7 min. total, 591.1 MB
dragging_probation v8 462 games, 418062 moves, e=0.586, loss: 5.1, -, 8.9% elo% vs. simple_bot, avg. reward: -5.623, 2.907 sec/game, 14.7 min. total, 591.1 MB
dragging_probation v8 463 games, 419154 moves, e=0.585, loss: 5.6, -, 8.8% elo% vs. simple_bot, avg. reward: -5.622, 2.850 sec/game, 14.8 min. total, 591.9 MB
dragging_probation v8 464 games, 420407 moves, e=0.584, loss: 5.3, -, 8.6% elo% vs. simple_bot, avg. reward: -5.617, 2.872 sec/game, 14.8 min. total, 592.6 MB
