dragging_probation v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
dragging_probation v2 35 games, 24340 moves, e=0.976, loss: 7.0, +, 70.1% elo% vs. guard_bot, avg. reward: -10.197, 1.372 sec/game, 0.5 min. total, 462.2 MB
dragging_probation v3 36 games, 25054 moves, e=0.975, loss: 7.7, -, 49.9% elo% vs. random_no_suicide, avg. reward: -10.183, 1.354 sec/game, 0.5 min. total, 462.5 MB
dragging_probation v3 37 games, 25719 moves, e=0.975, loss: 7.0, -, 47.6% elo% vs. random_no_suicide, avg. reward: -10.193, 1.345 sec/game, 0.6 min. total, 462.2 MB
dragging_probation v3 38 games, 26528 moves, e=0.974, loss: 7.2, -, 45.4% elo% vs. random_no_suicide, avg. reward: -10.157, 1.357 sec/game, 0.6 min. total, 462.5 MB
dragging_probation v3 39 games, 27348 moves, e=0.973, loss: 6.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: -10.115, 1.377 sec/game, 0.6 min. total, 464.1 MB
dragging_probation v3 40 games, 28012 moves, e=0.972, loss: 6.9, -, 41.4% elo% vs. random_no_suicide, avg. reward: -10.123, 1.350 sec/game, 0.6 min. total, 466.0 MB
dragging_probation v3 41 games, 28738 moves, e=0.972, loss: 7.1, +, 44.0% elo% vs. random_no_suicide, avg. reward: -10.105, 1.352 sec/game, 0.7 min. total, 461.8 MB
dragging_probation v3 42 games, 29512 moves, e=0.971, loss: 6.9, -, 42.1% elo% vs. random_no_suicide, avg. reward: -10.081, 1.364 sec/game, 0.7 min. total, 466.5 MB
dragging_probation v3 43 games, 30267 moves, e=0.970, loss: 6.7, -, 40.2% elo% vs. random_no_suicide, avg. reward: -10.060, 1.357 sec/game, 0.7 min. total, 462.0 MB
dragging_probation v3 44 games, 30943 moves, e=0.969, loss: 6.3, -, 38.4% elo% vs. random_no_suicide, avg. reward: -10.073, 1.328 sec/game, 0.7 min. total, 466.5 MB
dragging_probation v3 45 games, 31799 moves, e=0.969, loss: 6.8, -, 36.8% elo% vs. random_no_suicide, avg. reward: -10.032, 1.348 sec/game, 0.8 min. total, 466.3 MB
dragging_probation v3 46 games, 32565 moves, e=0.968, loss: 7.1, -, 35.2% elo% vs. random_no_suicide, avg. reward: -10.009, 1.362 sec/game, 0.8 min. total, 466.5 MB
dragging_probation v3 47 games, 33319 moves, e=0.967, loss: 7.0, -, 33.7% elo% vs. random_no_suicide, avg. reward: -9.996, 1.364 sec/game, 0.8 min. total, 466.6 MB
dragging_probation v3 48 games, 33950 moves, e=0.966, loss: 6.9, -, 32.4% elo% vs. random_no_suicide, avg. reward: -10.011, 1.353 sec/game, 0.8 min. total, 466.5 MB
dragging_probation v3 49 games, 34724 moves, e=0.966, loss: 6.9, -, 31.1% elo% vs. random_no_suicide, avg. reward: -9.988, 1.361 sec/game, 0.8 min. total, 463.4 MB
dragging_probation v3 50 games, 35398 moves, e=0.965, loss: 6.6, -, 29.9% elo% vs. random_no_suicide, avg. reward: -9.991, 1.366 sec/game, 0.9 min. total, 468.8 MB
dragging_probation v3 51 games, 36161 moves, e=0.964, loss: 7.2, -, 28.7% elo% vs. random_no_suicide, avg. reward: -9.969, 1.379 sec/game, 0.9 min. total, 469.1 MB
dragging_probation v3 52 games, 36852 moves, e=0.964, loss: 6.9, -, 27.6% elo% vs. random_no_suicide, avg. reward: -9.976, 1.382 sec/game, 0.9 min. total, 469.1 MB
dragging_probation v3 53 games, 37552 moves, e=0.963, loss: 7.0, -, 26.6% elo% vs. random_no_suicide, avg. reward: -9.975, 1.381 sec/game, 0.9 min. total, 468.9 MB
dragging_probation v3 54 games, 38276 moves, e=0.962, loss: 7.2, +, 29.4% elo% vs. random_no_suicide, avg. reward: -9.967, 1.382 sec/game, 1.0 min. total, 464.4 MB
dragging_probation v3 55 games, 39076 moves, e=0.961, loss: 7.8, -, 28.3% elo% vs. random_no_suicide, avg. reward: -9.943, 1.381 sec/game, 1.0 min. total, 468.8 MB
dragging_probation v3 56 games, 39858 moves, e=0.961, loss: 7.1, ., 29.1% elo% vs. random_no_suicide, avg. reward: -9.927, 1.389 sec/game, 1.0 min. total, 468.9 MB
dragging_probation v3 57 games, 40595 moves, e=0.960, loss: 7.5, -, 28.0% elo% vs. random_no_suicide, avg. reward: -9.918, 1.405 sec/game, 1.0 min. total, 464.4 MB
dragging_probation v3 58 games, 41351 moves, e=0.959, loss: 7.2, -, 27.0% elo% vs. random_no_suicide, avg. reward: -9.904, 1.396 sec/game, 1.1 min. total, 469.9 MB
dragging_probation v3 59 games, 42005 moves, e=0.958, loss: 7.0, +, 29.7% elo% vs. random_no_suicide, avg. reward: -9.925, 1.386 sec/game, 1.1 min. total, 471.4 MB
dragging_probation v3 60 games, 42707 moves, e=0.958, loss: 7.1, -, 28.6% elo% vs. random_no_suicide, avg. reward: -9.928, 1.394 sec/game, 1.1 min. total, 471.6 MB
dragging_probation v3 61 games, 43325 moves, e=0.957, loss: 7.5, -, 27.5% elo% vs. random_no_suicide, avg. reward: -9.955, 1.379 sec/game, 1.1 min. total, 471.3 MB
dragging_probation v3 62 games, 44051 moves, e=0.956, loss: 7.5, -, 26.5% elo% vs. random_no_suicide, avg. reward: -9.947, 1.378 sec/game, 1.1 min. total, 471.6 MB
dragging_probation v3 63 games, 44875 moves, e=0.956, loss: 7.9, +, 29.2% elo% vs. random_no_suicide, avg. reward: -9.926, 1.387 sec/game, 1.2 min. total, 467.6 MB
dragging_probation v3 64 games, 45715 moves, e=0.955, loss: 7.5, -, 28.1% elo% vs. random_no_suicide, avg. reward: -9.894, 1.416 sec/game, 1.2 min. total, 472.4 MB
dragging_probation v3 65 games, 46499 moves, e=0.954, loss: 7.0, -, 27.1% elo% vs. random_no_suicide, avg. reward: -9.875, 1.411 sec/game, 1.2 min. total, 467.9 MB
dragging_probation v3 66 games, 47402 moves, e=0.953, loss: 6.3, +, 29.8% elo% vs. random_no_suicide, avg. reward: -9.838, 1.427 sec/game, 1.3 min. total, 468.2 MB
dragging_probation v3 67 games, 48146 moves, e=0.952, loss: 6.2, +, 32.6% elo% vs. random_no_suicide, avg. reward: -9.827, 1.429 sec/game, 1.3 min. total, 470.5 MB
dragging_probation v3 68 games, 48982 moves, e=0.952, loss: 5.9, -, 31.3% elo% vs. random_no_suicide, avg. reward: -9.800, 1.442 sec/game, 1.3 min. total, 469.2 MB
dragging_probation v3 69 games, 49722 moves, e=0.951, loss: 5.9, -, 30.1% elo% vs. random_no_suicide, avg. reward: -9.798, 1.440 sec/game, 1.3 min. total, 473.6 MB
dragging_probation v3 70 games, 50485 moves, e=0.950, loss: 6.2, ., 30.8% elo% vs. random_no_suicide, avg. reward: -9.791, 1.451 sec/game, 1.4 min. total, 473.8 MB
dragging_probation v3 71 games, 51119 moves, e=0.949, loss: 6.2, +, 33.6% elo% vs. random_no_suicide, avg. reward: -9.807, 1.443 sec/game, 1.4 min. total, 469.3 MB
dragging_probation v3 72 games, 51857 moves, e=0.949, loss: 6.0, -, 32.2% elo% vs. random_no_suicide, avg. reward: -9.804, 1.455 sec/game, 1.4 min. total, 469.5 MB
dragging_probation v3 73 games, 52578 moves, e=0.948, loss: 5.9, -, 31.0% elo% vs. random_no_suicide, avg. reward: -9.797, 1.448 sec/game, 1.4 min. total, 469.4 MB
dragging_probation v3 74 games, 53251 moves, e=0.947, loss: 5.6, -, 29.8% elo% vs. random_no_suicide, avg. reward: -9.805, 1.448 sec/game, 1.4 min. total, 469.2 MB
dragging_probation v3 75 games, 53917 moves, e=0.947, loss: 5.8, -, 28.6% elo% vs. random_no_suicide, avg. reward: -9.811, 1.441 sec/game, 1.5 min. total, 474.0 MB
dragging_probation v3 76 games, 54675 moves, e=0.946, loss: 5.5, -, 27.6% elo% vs. random_no_suicide, avg. reward: -9.802, 1.441 sec/game, 1.5 min. total, 474.4 MB
dragging_probation v3 77 games, 55443 moves, e=0.945, loss: 5.5, ., 28.4% elo% vs. random_no_suicide, avg. reward: -9.795, 1.446 sec/game, 1.5 min. total, 470.2 MB
dragging_probation v3 78 games, 56160 moves, e=0.944, loss: 5.3, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.790, 1.442 sec/game, 1.5 min. total, 470.6 MB
dragging_probation v3 79 games, 56788 moves, e=0.944, loss: 5.6, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.805, 1.456 sec/game, 1.6 min. total, 475.6 MB
dragging_probation v3 80 games, 57586 moves, e=0.943, loss: 5.8, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.786, 1.512 sec/game, 1.6 min. total, 475.4 MB
dragging_probation v3 81 games, 58265 moves, e=0.942, loss: 5.8, +, 28.1% elo% vs. random_no_suicide, avg. reward: -9.793, 1.536 sec/game, 1.6 min. total, 475.0 MB
dragging_probation v3 82 games, 59083 moves, e=0.942, loss: 5.9, +, 30.9% elo% vs. random_no_suicide, avg. reward: -9.776, 1.549 sec/game, 1.7 min. total, 470.7 MB
dragging_probation v3 83 games, 59835 moves, e=0.941, loss: 5.9, +, 33.6% elo% vs. random_no_suicide, avg. reward: -9.767, 1.549 sec/game, 1.7 min. total, 470.8 MB
dragging_probation v3 84 games, 60588 moves, e=0.940, loss: 5.6, -, 32.3% elo% vs. random_no_suicide, avg. reward: -9.759, 1.551 sec/game, 1.7 min. total, 470.9 MB
dragging_probation v3 85 games, 61359 moves, e=0.939, loss: 5.1, ., 33.0% elo% vs. random_no_suicide, avg. reward: -9.750, 1.549 sec/game, 1.7 min. total, 472.6 MB
dragging_probation v3 86 games, 61960 moves, e=0.939, loss: 5.1, -, 31.7% elo% vs. random_no_suicide, avg. reward: -9.775, 1.522 sec/game, 1.8 min. total, 472.4 MB
dragging_probation v3 87 games, 62572 moves, e=0.938, loss: 5.0, +, 34.4% elo% vs. random_no_suicide, avg. reward: -9.795, 1.502 sec/game, 1.8 min. total, 472.7 MB
dragging_probation v3 88 games, 63252 moves, e=0.937, loss: 5.3, +, 37.2% elo% vs. random_no_suicide, avg. reward: -9.799, 1.499 sec/game, 1.8 min. total, 472.3 MB
dragging_probation v3 89 games, 63981 moves, e=0.937, loss: 5.5, +, 40.0% elo% vs. random_no_suicide, avg. reward: -9.796, 1.490 sec/game, 1.8 min. total, 472.5 MB
