oversight_living v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.8 MB
oversight_living v2 37 games, 26122 moves, e=0.974, loss: 8.9, +, 66.3% elo% vs. v1, avg. reward: -9.942, 1.440 sec/game, 0.6 min. total, 473.3 MB
oversight_living v2 38 games, 26759 moves, e=0.974, loss: 8.5, +, 67.7% elo% vs. v1, avg. reward: -9.967, 1.431 sec/game, 0.6 min. total, 474.2 MB
oversight_living v2 39 games, 27501 moves, e=0.973, loss: 8.1, +, 69.0% elo% vs. v1, avg. reward: -9.950, 1.427 sec/game, 0.6 min. total, 476.1 MB
oversight_living v2 40 games, 28220 moves, e=0.972, loss: 7.8, +, 70.2% elo% vs. v1, avg. reward: -9.936, 1.438 sec/game, 0.7 min. total, 474.6 MB
oversight_living v3 41 games, 28910 moves, e=0.971, loss: 8.1, -, 49.9% elo% vs. v2, avg. reward: -9.943, 1.439 sec/game, 0.7 min. total, 482.8 MB
oversight_living v3 42 games, 29617 moves, e=0.971, loss: 8.0, +, 52.2% elo% vs. v2, avg. reward: -9.939, 1.440 sec/game, 0.7 min. total, 486.2 MB
oversight_living v3 43 games, 30370 moves, e=0.970, loss: 7.7, +, 54.4% elo% vs. v2, avg. reward: -9.921, 1.432 sec/game, 0.7 min. total, 492.1 MB
oversight_living v3 44 games, 30966 moves, e=0.969, loss: 7.1, +, 56.5% elo% vs. v2, avg. reward: -9.959, 1.421 sec/game, 0.7 min. total, 493.0 MB
oversight_living v3 45 games, 31665 moves, e=0.969, loss: 7.1, -, 53.9% elo% vs. v2, avg. reward: -9.961, 1.420 sec/game, 0.8 min. total, 493.5 MB
oversight_living v3 46 games, 32341 moves, e=0.968, loss: 7.2, -, 51.4% elo% vs. v2, avg. reward: -9.965, 1.407 sec/game, 0.8 min. total, 491.2 MB
oversight_living v3 47 games, 33074 moves, e=0.967, loss: 6.8, -, 49.1% elo% vs. v2, avg. reward: -9.951, 1.415 sec/game, 0.8 min. total, 491.1 MB
