subarctic_cranberry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.5 MB
subarctic_cranberry v2 35 games, 24905 moves, e=0.975, loss: 7.1, -, 43.9% elo% vs. v1, avg. reward: -9.963, 1.467 sec/game, 0.6 min. total, 409.0 MB
subarctic_cranberry v2 36 games, 25569 moves, e=0.975, loss: 7.1, -, 41.9% elo% vs. v1, avg. reward: -9.988, 1.462 sec/game, 0.6 min. total, 409.4 MB
subarctic_cranberry v2 37 games, 26194 moves, e=0.974, loss: 7.0, +, 44.6% elo% vs. v1, avg. reward: -10.026, 1.443 sec/game, 0.6 min. total, 410.6 MB
subarctic_cranberry v2 38 games, 26915 moves, e=0.973, loss: 6.8, +, 47.1% elo% vs. v1, avg. reward: -10.018, 1.446 sec/game, 0.6 min. total, 411.0 MB
subarctic_cranberry v2 39 games, 27560 moves, e=0.973, loss: 6.5, -, 44.9% elo% vs. v1, avg. reward: -10.037, 1.446 sec/game, 0.7 min. total, 413.4 MB
subarctic_cranberry v2 40 games, 28332 moves, e=0.972, loss: 7.1, +, 47.5% elo% vs. v1, avg. reward: -10.012, 1.465 sec/game, 0.7 min. total, 410.3 MB
subarctic_cranberry v2 41 games, 29057 moves, e=0.971, loss: 7.3, +, 49.9% elo% vs. v1, avg. reward: -10.007, 1.467 sec/game, 0.7 min. total, 410.0 MB
subarctic_cranberry v2 42 games, 29732 moves, e=0.971, loss: 7.0, +, 52.2% elo% vs. v1, avg. reward: -10.012, 1.468 sec/game, 0.7 min. total, 409.8 MB
subarctic_cranberry v2 43 games, 30510 moves, e=0.970, loss: 6.7, ., 52.1% elo% vs. v1, avg. reward: -9.986, 1.471 sec/game, 0.8 min. total, 410.4 MB
subarctic_cranberry v2 44 games, 31194 moves, e=0.969, loss: 6.6, +, 54.3% elo% vs. v1, avg. reward: -9.995, 1.469 sec/game, 0.8 min. total, 410.5 MB
subarctic_cranberry v2 45 games, 31877 moves, e=0.968, loss: 6.3, +, 56.4% elo% vs. v1, avg. reward: -10.000, 1.462 sec/game, 0.8 min. total, 410.1 MB
subarctic_cranberry v2 46 games, 32621 moves, e=0.968, loss: 6.3, -, 53.8% elo% vs. v1, avg. reward: -9.986, 1.464 sec/game, 0.8 min. total, 410.6 MB
subarctic_cranberry v2 47 games, 33320 moves, e=0.967, loss: 6.4, -, 51.3% elo% vs. v1, avg. reward: -9.987, 1.476 sec/game, 0.9 min. total, 411.2 MB
subarctic_cranberry v2 48 games, 34089 moves, e=0.966, loss: 5.9, -, 49.0% elo% vs. v1, avg. reward: -9.968, 1.472 sec/game, 0.9 min. total, 413.5 MB
subarctic_cranberry v2 49 games, 34787 moves, e=0.966, loss: 6.1, -, 46.7% elo% vs. v1, avg. reward: -9.967, 1.464 sec/game, 0.9 min. total, 414.0 MB
subarctic_cranberry v2 50 games, 35448 moves, e=0.965, loss: 6.2, -, 44.6% elo% vs. v1, avg. reward: -9.983, 1.459 sec/game, 0.9 min. total, 413.6 MB
subarctic_cranberry v2 51 games, 36132 moves, e=0.964, loss: 6.3, -, 42.6% elo% vs. v1, avg. reward: -9.984, 1.469 sec/game, 1.0 min. total, 413.9 MB
subarctic_cranberry v2 52 games, 36806 moves, e=0.964, loss: 6.0, -, 40.7% elo% vs. v1, avg. reward: -9.989, 1.459 sec/game, 1.0 min. total, 413.6 MB
subarctic_cranberry v2 53 games, 37543 moves, e=0.963, loss: 5.7, -, 38.9% elo% vs. v1, avg. reward: -9.978, 1.450 sec/game, 1.0 min. total, 413.5 MB
subarctic_cranberry v2 54 games, 38321 moves, e=0.962, loss: 6.5, -, 37.2% elo% vs. v1, avg. reward: -9.962, 1.467 sec/game, 1.0 min. total, 414.0 MB
subarctic_cranberry v2 55 games, 39002 moves, e=0.961, loss: 6.5, +, 39.9% elo% vs. v1, avg. reward: -9.971, 1.454 sec/game, 1.1 min. total, 413.7 MB
subarctic_cranberry v2 56 games, 39777 moves, e=0.961, loss: 6.5, -, 38.2% elo% vs. v1, avg. reward: -9.956, 1.464 sec/game, 1.1 min. total, 414.6 MB
subarctic_cranberry v2 57 games, 40452 moves, e=0.960, loss: 6.0, -, 36.5% elo% vs. v1, avg. reward: -9.961, 1.477 sec/game, 1.1 min. total, 415.8 MB
subarctic_cranberry v2 58 games, 41115 moves, e=0.959, loss: 6.0, -, 35.0% elo% vs. v1, avg. reward: -9.977, 1.466 sec/game, 1.1 min. total, 416.8 MB
subarctic_cranberry v2 59 games, 41840 moves, e=0.959, loss: 5.7, -, 33.5% elo% vs. v1, avg. reward: -9.960, 1.464 sec/game, 1.2 min. total, 416.9 MB
subarctic_cranberry v2 60 games, 42479 moves, e=0.958, loss: 5.6, +, 36.3% elo% vs. v1, avg. reward: -9.983, 1.446 sec/game, 1.2 min. total, 416.8 MB
subarctic_cranberry v2 61 games, 43166 moves, e=0.957, loss: 5.3, -, 34.8% elo% vs. v1, avg. reward: -9.983, 1.447 sec/game, 1.2 min. total, 416.8 MB
subarctic_cranberry v2 62 games, 43899 moves, e=0.957, loss: 5.5, -, 33.3% elo% vs. v1, avg. reward: -9.972, 1.452 sec/game, 1.2 min. total, 417.0 MB
subarctic_cranberry v2 63 games, 44566 moves, e=0.956, loss: 5.6, -, 32.0% elo% vs. v1, avg. reward: -9.981, 1.452 sec/game, 1.2 min. total, 416.9 MB
subarctic_cranberry v2 64 games, 45175 moves, e=0.955, loss: 5.6, -, 30.7% elo% vs. v1, avg. reward: -10.009, 1.441 sec/game, 1.3 min. total, 416.6 MB
subarctic_cranberry v2 65 games, 45915 moves, e=0.955, loss: 5.9, -, 29.5% elo% vs. v1, avg. reward: -9.997, 1.443 sec/game, 1.3 min. total, 416.7 MB
