subarctic_cranberry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.5 MB
subarctic_cranberry v7 334 games, 273044 moves, e=0.730, loss: 4.2, -, 50.7% elo% vs. v5, avg. reward: -7.263, 2.423 sec/game, 9.9 min. total, 520.3 MB
subarctic_cranberry v7 335 games, 273973 moves, e=0.729, loss: 4.2, +, 53.0% elo% vs. v5, avg. reward: -7.255, 2.396 sec/game, 9.9 min. total, 520.8 MB
subarctic_cranberry v7 336 games, 274940 moves, e=0.728, loss: 3.9, +, 55.1% elo% vs. v5, avg. reward: -7.243, 2.400 sec/game, 9.9 min. total, 522.5 MB
subarctic_cranberry v7 337 games, 275812 moves, e=0.727, loss: 4.3, +, 57.2% elo% vs. v5, avg. reward: -7.235, 2.378 sec/game, 10.0 min. total, 522.9 MB
subarctic_cranberry v7 338 games, 277053 moves, e=0.726, loss: 4.1, +, 59.1% elo% vs. v5, avg. reward: -7.198, 2.402 sec/game, 10.0 min. total, 522.8 MB
subarctic_cranberry v7 339 games, 277999 moves, e=0.725, loss: 4.1, -, 56.4% elo% vs. v5, avg. reward: -7.186, 2.407 sec/game, 10.1 min. total, 522.6 MB
subarctic_cranberry v7 340 games, 278907 moves, e=0.724, loss: 4.3, +, 58.4% elo% vs. v5, avg. reward: -7.183, 2.404 sec/game, 10.1 min. total, 523.1 MB
subarctic_cranberry v7 341 games, 279801 moves, e=0.723, loss: 4.4, -, 55.8% elo% vs. v5, avg. reward: -7.176, 2.392 sec/game, 10.1 min. total, 523.3 MB
subarctic_cranberry v7 342 games, 280761 moves, e=0.722, loss: 4.5, +, 57.8% elo% vs. v5, avg. reward: -7.164, 2.387 sec/game, 10.2 min. total, 524.0 MB
subarctic_cranberry v7 343 games, 281668 moves, e=0.721, loss: 4.5, -, 55.2% elo% vs. v5, avg. reward: -7.162, 2.362 sec/game, 10.2 min. total, 526.4 MB
subarctic_cranberry v7 344 games, 282769 moves, e=0.720, loss: 5.3, +, 57.2% elo% vs. v5, avg. reward: -7.145, 2.388 sec/game, 10.2 min. total, 526.1 MB
subarctic_cranberry v7 345 games, 283831 moves, e=0.719, loss: 4.9, ., 56.9% elo% vs. v5, avg. reward: -7.129, 2.379 sec/game, 10.3 min. total, 526.2 MB
subarctic_cranberry v7 346 games, 284759 moves, e=0.718, loss: 5.2, +, 58.8% elo% vs. v5, avg. reward: -7.129, 2.384 sec/game, 10.3 min. total, 526.4 MB
subarctic_cranberry v7 347 games, 285869 moves, e=0.717, loss: 5.1, +, 60.6% elo% vs. v5, avg. reward: -7.105, 2.396 sec/game, 10.4 min. total, 526.4 MB
subarctic_cranberry v7 348 games, 286934 moves, e=0.716, loss: 5.0, ., 60.2% elo% vs. v5, avg. reward: -7.092, 2.386 sec/game, 10.4 min. total, 526.6 MB
subarctic_cranberry v7 349 games, 287975 moves, e=0.715, loss: 5.1, -, 57.5% elo% vs. v5, avg. reward: -7.053, 2.401 sec/game, 10.4 min. total, 527.6 MB
subarctic_cranberry v7 350 games, 288925 moves, e=0.714, loss: 4.8, +, 59.4% elo% vs. v5, avg. reward: -7.027, 2.404 sec/game, 10.5 min. total, 527.3 MB
subarctic_cranberry v7 351 games, 289879 moves, e=0.713, loss: 4.9, -, 56.7% elo% vs. v5, avg. reward: -7.020, 2.395 sec/game, 10.5 min. total, 525.4 MB
subarctic_cranberry v7 352 games, 290925 moves, e=0.712, loss: 4.4, +, 58.7% elo% vs. v5, avg. reward: -7.000, 2.407 sec/game, 10.6 min. total, 527.5 MB
subarctic_cranberry v7 353 games, 292054 moves, e=0.711, loss: 4.2, +, 60.5% elo% vs. v5, avg. reward: -6.971, 2.400 sec/game, 10.6 min. total, 527.5 MB
subarctic_cranberry v7 354 games, 293257 moves, e=0.710, loss: 4.1, +, 62.2% elo% vs. v5, avg. reward: -6.951, 2.410 sec/game, 10.7 min. total, 527.8 MB
subarctic_cranberry v7 355 games, 294387 moves, e=0.709, loss: 3.5, +, 63.8% elo% vs. v5, avg. reward: -6.937, 2.426 sec/game, 10.7 min. total, 530.4 MB
subarctic_cranberry v7 356 games, 295434 moves, e=0.708, loss: 3.0, +, 65.4% elo% vs. v5, avg. reward: -6.937, 2.456 sec/game, 10.8 min. total, 530.2 MB
subarctic_cranberry v7 357 games, 296558 moves, e=0.706, loss: 3.0, +, 66.8% elo% vs. v5, avg. reward: -6.919, 2.472 sec/game, 10.8 min. total, 530.0 MB
subarctic_cranberry v7 358 games, 297652 moves, e=0.705, loss: 3.5, ., 66.1% elo% vs. v5, avg. reward: -6.901, 2.461 sec/game, 10.8 min. total, 530.4 MB
subarctic_cranberry v7 359 games, 298573 moves, e=0.704, loss: 3.5, +, 67.5% elo% vs. v5, avg. reward: -6.893, 2.456 sec/game, 10.9 min. total, 530.1 MB
subarctic_cranberry v7 360 games, 299698 moves, e=0.703, loss: 3.7, -, 64.7% elo% vs. v5, avg. reward: -6.879, 2.485 sec/game, 10.9 min. total, 530.2 MB
subarctic_cranberry v7 361 games, 301042 moves, e=0.702, loss: 3.2, +, 66.2% elo% vs. v5, avg. reward: -6.857, 2.537 sec/game, 11.0 min. total, 532.7 MB
subarctic_cranberry v7 362 games, 302035 moves, e=0.701, loss: 2.9, +, 67.6% elo% vs. v5, avg. reward: -6.845, 2.538 sec/game, 11.0 min. total, 530.5 MB
subarctic_cranberry v7 363 games, 303156 moves, e=0.700, loss: 3.4, +, 68.9% elo% vs. v5, avg. reward: -6.830, 2.564 sec/game, 11.1 min. total, 532.4 MB
subarctic_cranberry v7 364 games, 304066 moves, e=0.699, loss: 3.2, +, 70.1% elo% vs. v5, avg. reward: -6.824, 2.534 sec/game, 11.1 min. total, 532.7 MB
subarctic_cranberry v8 365 games, 305109 moves, e=0.698, loss: 4.5, +, 52.3% elo% vs. v7, avg. reward: -6.815, 2.539 sec/game, 11.1 min. total, 533.4 MB
subarctic_cranberry v8 366 games, 306407 moves, e=0.697, loss: 4.9, +, 54.5% elo% vs. v7, avg. reward: -6.773, 2.589 sec/game, 11.2 min. total, 535.5 MB
subarctic_cranberry v8 367 games, 307597 moves, e=0.695, loss: 4.1, ., 54.3% elo% vs. v7, avg. reward: -6.749, 2.601 sec/game, 11.2 min. total, 534.0 MB
subarctic_cranberry v8 368 games, 308864 moves, e=0.694, loss: 3.9, ., 54.1% elo% vs. v7, avg. reward: -6.719, 2.626 sec/game, 11.3 min. total, 534.2 MB
subarctic_cranberry v8 369 games, 309797 moves, e=0.693, loss: 4.3, +, 56.2% elo% vs. v7, avg. reward: -6.718, 2.619 sec/game, 11.3 min. total, 534.8 MB
subarctic_cranberry v8 370 games, 310847 moves, e=0.692, loss: 3.6, -, 53.6% elo% vs. v7, avg. reward: -6.708, 2.609 sec/game, 11.4 min. total, 534.5 MB
subarctic_cranberry v8 371 games, 312080 moves, e=0.691, loss: 3.5, +, 55.7% elo% vs. v7, avg. reward: -6.694, 2.652 sec/game, 11.4 min. total, 534.5 MB
subarctic_cranberry v8 372 games, 313085 moves, e=0.690, loss: 3.3, +, 57.7% elo% vs. v7, avg. reward: -6.679, 2.641 sec/game, 11.5 min. total, 536.4 MB
subarctic_cranberry v8 373 games, 314025 moves, e=0.689, loss: 3.4, +, 59.6% elo% vs. v7, avg. reward: -6.674, 2.631 sec/game, 11.5 min. total, 533.1 MB
subarctic_cranberry v8 374 games, 315123 moves, e=0.688, loss: 3.2, +, 61.4% elo% vs. v7, avg. reward: -6.675, 2.606 sec/game, 11.5 min. total, 537.3 MB
subarctic_cranberry v8 375 games, 316004 moves, e=0.687, loss: 3.2, -, 58.7% elo% vs. v7, avg. reward: -6.666, 2.601 sec/game, 11.6 min. total, 536.4 MB
subarctic_cranberry v8 376 games, 316972 moves, e=0.686, loss: 3.3, +, 60.5% elo% vs. v7, avg. reward: -6.660, 2.590 sec/game, 11.6 min. total, 536.3 MB
subarctic_cranberry v8 377 games, 317976 moves, e=0.685, loss: 3.6, -, 57.8% elo% vs. v7, avg. reward: -6.646, 2.589 sec/game, 11.7 min. total, 536.4 MB
subarctic_cranberry v8 378 games, 319047 moves, e=0.684, loss: 3.5, -, 55.2% elo% vs. v7, avg. reward: -6.623, 2.576 sec/game, 11.7 min. total, 536.8 MB
subarctic_cranberry v8 379 games, 320208 moves, e=0.683, loss: 3.9, +, 57.2% elo% vs. v7, avg. reward: -6.604, 2.603 sec/game, 11.7 min. total, 536.9 MB
subarctic_cranberry v8 380 games, 321201 moves, e=0.682, loss: 4.7, +, 59.2% elo% vs. v7, avg. reward: -6.603, 2.585 sec/game, 11.8 min. total, 540.8 MB
subarctic_cranberry v8 381 games, 322115 moves, e=0.681, loss: 4.9, -, 56.5% elo% vs. v7, avg. reward: -6.594, 2.535 sec/game, 11.8 min. total, 539.8 MB
subarctic_cranberry v8 382 games, 323244 moves, e=0.680, loss: 4.6, -, 53.9% elo% vs. v7, avg. reward: -6.572, 2.550 sec/game, 11.9 min. total, 540.5 MB
subarctic_cranberry v8 383 games, 324261 moves, e=0.679, loss: 4.7, +, 56.0% elo% vs. v7, avg. reward: -6.560, 2.538 sec/game, 11.9 min. total, 540.6 MB
subarctic_cranberry v8 384 games, 325137 moves, e=0.678, loss: 5.1, -, 53.5% elo% vs. v7, avg. reward: -6.551, 2.538 sec/game, 11.9 min. total, 541.0 MB
subarctic_cranberry v8 385 games, 326197 moves, e=0.677, loss: 5.1, -, 51.0% elo% vs. v7, avg. reward: -6.537, 2.534 sec/game, 12.0 min. total, 539.0 MB
subarctic_cranberry v8 386 games, 327297 moves, e=0.676, loss: 5.4, -, 48.7% elo% vs. v7, avg. reward: -6.531, 2.506 sec/game, 12.0 min. total, 538.8 MB
subarctic_cranberry v8 387 games, 328497 moves, e=0.675, loss: 5.4, -, 46.4% elo% vs. v7, avg. reward: -6.513, 2.498 sec/game, 12.1 min. total, 539.1 MB
subarctic_cranberry v8 388 games, 329624 moves, e=0.674, loss: 5.2, +, 48.9% elo% vs. v7, avg. reward: -6.484, 2.485 sec/game, 12.1 min. total, 544.2 MB
subarctic_cranberry v8 389 games, 330626 moves, e=0.673, loss: 4.8, -, 46.6% elo% vs. v7, avg. reward: -6.498, 2.497 sec/game, 12.2 min. total, 543.9 MB
subarctic_cranberry v8 390 games, 331583 moves, e=0.672, loss: 5.0, +, 49.1% elo% vs. v7, avg. reward: -6.499, 2.484 sec/game, 12.2 min. total, 544.1 MB
subarctic_cranberry v8 391 games, 332770 moves, e=0.671, loss: 5.0, +, 51.4% elo% vs. v7, avg. reward: -6.487, 2.466 sec/game, 12.2 min. total, 544.1 MB
subarctic_cranberry v8 392 games, 333865 moves, e=0.669, loss: 4.9, +, 53.7% elo% vs. v7, avg. reward: -6.472, 2.491 sec/game, 12.3 min. total, 544.2 MB
subarctic_cranberry v8 393 games, 335059 moves, e=0.668, loss: 4.7, +, 55.8% elo% vs. v7, avg. reward: -6.464, 2.498 sec/game, 12.3 min. total, 544.2 MB
subarctic_cranberry v8 394 games, 336209 moves, e=0.667, loss: 4.5, +, 57.8% elo% vs. v7, avg. reward: -6.456, 2.512 sec/game, 12.4 min. total, 545.6 MB
subarctic_cranberry v8 395 games, 337372 moves, e=0.666, loss: 4.0, +, 59.7% elo% vs. v7, avg. reward: -6.457, 2.532 sec/game, 12.4 min. total, 545.9 MB
subarctic_cranberry v8 396 games, 338542 moves, e=0.665, loss: 4.4, +, 61.4% elo% vs. v7, avg. reward: -6.456, 2.541 sec/game, 12.5 min. total, 546.1 MB
subarctic_cranberry v8 397 games, 339628 moves, e=0.664, loss: 4.4, +, 63.1% elo% vs. v7, avg. reward: -6.446, 2.553 sec/game, 12.5 min. total, 545.9 MB
subarctic_cranberry v8 398 games, 340878 moves, e=0.663, loss: 4.0, -, 60.4% elo% vs. v7, avg. reward: -6.431, 2.585 sec/game, 12.6 min. total, 544.1 MB
subarctic_cranberry v8 399 games, 341957 moves, e=0.661, loss: 4.4, +, 62.1% elo% vs. v7, avg. reward: -6.414, 2.575 sec/game, 12.6 min. total, 544.3 MB
subarctic_cranberry v8 400 games, 342971 moves, e=0.660, loss: 4.0, -, 59.4% elo% vs. v7, avg. reward: -6.413, 2.580 sec/game, 12.6 min. total, 545.6 MB
subarctic_cranberry v9 401 games, 344010 moves, e=0.659, loss: 4.1, -, 47.7% elo% vs. v7, avg. reward: -6.413, 2.599 sec/game, 12.7 min. total, 546.4 MB
subarctic_cranberry v9 402 games, 345034 moves, e=0.658, loss: 4.0, -, 45.5% elo% vs. v7, avg. reward: -6.400, 2.591 sec/game, 12.7 min. total, 548.5 MB
subarctic_cranberry v9 403 games, 346394 moves, e=0.657, loss: 4.5, +, 48.0% elo% vs. v7, avg. reward: -6.380, 2.629 sec/game, 12.8 min. total, 546.6 MB
subarctic_cranberry v9 404 games, 347423 moves, e=0.656, loss: 4.6, +, 50.4% elo% vs. v7, avg. reward: -6.385, 2.642 sec/game, 12.8 min. total, 546.5 MB
subarctic_cranberry v9 405 games, 348520 moves, e=0.655, loss: 4.7, +, 52.7% elo% vs. v7, avg. reward: -6.369, 2.651 sec/game, 12.9 min. total, 547.0 MB
subarctic_cranberry v9 406 games, 349525 moves, e=0.654, loss: 4.8, -, 50.3% elo% vs. v7, avg. reward: -6.367, 2.643 sec/game, 12.9 min. total, 547.9 MB
subarctic_cranberry v9 407 games, 350729 moves, e=0.653, loss: 4.9, -, 47.9% elo% vs. v7, avg. reward: -6.349, 2.653 sec/game, 13.0 min. total, 551.8 MB
subarctic_cranberry v9 408 games, 351937 moves, e=0.652, loss: 5.0, +, 50.3% elo% vs. v7, avg. reward: -6.337, 2.656 sec/game, 13.0 min. total, 550.6 MB
subarctic_cranberry v9 409 games, 352922 moves, e=0.651, loss: 4.6, +, 52.6% elo% vs. v7, avg. reward: -6.342, 2.653 sec/game, 13.0 min. total, 550.4 MB
subarctic_cranberry v9 410 games, 353985 moves, e=0.650, loss: 5.1, -, 50.2% elo% vs. v7, avg. reward: -6.340, 2.670 sec/game, 13.1 min. total, 550.6 MB
subarctic_cranberry v9 411 games, 354940 moves, e=0.649, loss: 4.9, -, 47.9% elo% vs. v7, avg. reward: -6.336, 2.642 sec/game, 13.1 min. total, 550.5 MB
subarctic_cranberry v9 412 games, 356015 moves, e=0.648, loss: 5.3, -, 45.7% elo% vs. v7, avg. reward: -6.343, 2.639 sec/game, 13.2 min. total, 550.6 MB
subarctic_cranberry v9 413 games, 356970 moves, e=0.647, loss: 6.1, -, 43.6% elo% vs. v7, avg. reward: -6.342, 2.613 sec/game, 13.2 min. total, 550.3 MB
subarctic_cranberry v9 414 games, 357884 moves, e=0.646, loss: 6.3, -, 41.7% elo% vs. v7, avg. reward: -6.333, 2.585 sec/game, 13.2 min. total, 552.2 MB
subarctic_cranberry v9 415 games, 358870 moves, e=0.645, loss: 6.5, -, 39.8% elo% vs. v7, avg. reward: -6.338, 2.569 sec/game, 13.3 min. total, 553.8 MB
subarctic_cranberry v9 416 games, 359899 moves, e=0.644, loss: 6.5, -, 38.1% elo% vs. v7, avg. reward: -6.322, 2.560 sec/game, 13.3 min. total, 553.7 MB
subarctic_cranberry v9 417 games, 360909 moves, e=0.643, loss: 6.0, +, 40.8% elo% vs. v7, avg. reward: -6.319, 2.552 sec/game, 13.4 min. total, 555.7 MB
subarctic_cranberry v9 418 games, 362128 moves, e=0.641, loss: 5.7, -, 39.0% elo% vs. v7, avg. reward: -6.307, 2.546 sec/game, 13.4 min. total, 553.7 MB
subarctic_cranberry v9 419 games, 363270 moves, e=0.640, loss: 6.1, ., 39.5% elo% vs. v7, avg. reward: -6.292, 2.558 sec/game, 13.5 min. total, 553.7 MB
subarctic_cranberry v9 420 games, 364325 moves, e=0.639, loss: 6.4, +, 42.2% elo% vs. v7, avg. reward: -6.280, 2.557 sec/game, 13.5 min. total, 553.7 MB
subarctic_cranberry v9 421 games, 365313 moves, e=0.638, loss: 5.7, +, 44.8% elo% vs. v7, avg. reward: -6.278, 2.552 sec/game, 13.5 min. total, 555.8 MB
subarctic_cranberry v9 422 games, 366568 moves, e=0.637, loss: 6.1, +, 47.3% elo% vs. v7, avg. reward: -6.268, 2.574 sec/game, 13.6 min. total, 556.5 MB
subarctic_cranberry v9 423 games, 367849 moves, e=0.636, loss: 5.6, +, 49.7% elo% vs. v7, avg. reward: -6.255, 2.563 sec/game, 13.6 min. total, 558.4 MB
subarctic_cranberry v9 424 games, 369059 moves, e=0.635, loss: 5.0, +, 52.0% elo% vs. v7, avg. reward: -6.237, 2.589 sec/game, 13.7 min. total, 558.5 MB
subarctic_cranberry v9 425 games, 370538 moves, e=0.633, loss: 4.9, +, 54.2% elo% vs. v7, avg. reward: -6.213, 2.631 sec/game, 13.7 min. total, 558.6 MB
subarctic_cranberry v9 426 games, 371559 moves, e=0.632, loss: 4.3, +, 56.3% elo% vs. v7, avg. reward: -6.203, 2.639 sec/game, 13.8 min. total, 558.8 MB
subarctic_cranberry v9 427 games, 372676 moves, e=0.631, loss: 3.8, -, 53.8% elo% vs. v7, avg. reward: -6.198, 2.627 sec/game, 13.8 min. total, 557.7 MB
subarctic_cranberry v9 428 games, 374002 moves, e=0.630, loss: 3.9, +, 55.9% elo% vs. v7, avg. reward: -6.188, 2.647 sec/game, 13.9 min. total, 561.8 MB
subarctic_cranberry v9 429 games, 375089 moves, e=0.629, loss: 4.3, +, 57.9% elo% vs. v7, avg. reward: -6.174, 2.669 sec/game, 13.9 min. total, 562.5 MB
subarctic_cranberry v9 430 games, 376130 moves, e=0.628, loss: 4.3, +, 59.7% elo% vs. v7, avg. reward: -6.173, 2.670 sec/game, 14.0 min. total, 562.2 MB
subarctic_cranberry v9 431 games, 377230 moves, e=0.627, loss: 4.6, +, 61.5% elo% vs. v7, avg. reward: -6.168, 2.697 sec/game, 14.0 min. total, 560.6 MB
subarctic_cranberry v9 432 games, 378193 moves, e=0.626, loss: 5.3, +, 63.2% elo% vs. v7, avg. reward: -6.172, 2.673 sec/game, 14.1 min. total, 560.9 MB
subarctic_cranberry v9 433 games, 379296 moves, e=0.624, loss: 6.0, +, 64.7% elo% vs. v7, avg. reward: -6.179, 2.697 sec/game, 14.1 min. total, 563.1 MB
subarctic_cranberry v9 434 games, 380304 moves, e=0.623, loss: 6.0, -, 62.0% elo% vs. v7, avg. reward: -6.180, 2.711 sec/game, 14.1 min. total, 560.8 MB
subarctic_cranberry v9 435 games, 381581 moves, e=0.622, loss: 6.1, +, 63.6% elo% vs. v7, avg. reward: -6.156, 2.745 sec/game, 14.2 min. total, 562.8 MB
subarctic_cranberry v9 436 games, 382826 moves, e=0.621, loss: 5.9, -, 60.9% elo% vs. v7, avg. reward: -6.135, 2.768 sec/game, 14.2 min. total, 562.8 MB
subarctic_cranberry v9 437 games, 384100 moves, e=0.620, loss: 6.1, ., 60.4% elo% vs. v7, avg. reward: -6.108, 2.795 sec/game, 14.3 min. total, 563.3 MB
subarctic_cranberry v9 438 games, 385525 moves, e=0.618, loss: 5.3, +, 62.1% elo% vs. v7, avg. reward: -6.096, 2.809 sec/game, 14.3 min. total, 565.6 MB
subarctic_cranberry v9 439 games, 386478 moves, e=0.617, loss: 5.2, +, 63.7% elo% vs. v7, avg. reward: -6.096, 2.795 sec/game, 14.4 min. total, 563.7 MB
subarctic_cranberry v9 440 games, 387691 moves, e=0.616, loss: 5.1, -, 61.0% elo% vs. v7, avg. reward: -6.079, 2.818 sec/game, 14.4 min. total, 565.5 MB
subarctic_cranberry v9 441 games, 389092 moves, e=0.615, loss: 4.2, -, 58.3% elo% vs. v7, avg. reward: -6.053, 2.864 sec/game, 14.5 min. total, 564.6 MB
subarctic_cranberry v9 442 games, 390262 moves, e=0.614, loss: 4.0, -, 55.6% elo% vs. v7, avg. reward: -6.043, 2.858 sec/game, 14.5 min. total, 564.3 MB
subarctic_cranberry v9 443 games, 391382 moves, e=0.613, loss: 4.3, +, 57.7% elo% vs. v7, avg. reward: -6.027, 2.846 sec/game, 14.6 min. total, 564.3 MB
subarctic_cranberry v9 444 games, 392558 moves, e=0.611, loss: 4.3, +, 59.5% elo% vs. v7, avg. reward: -6.021, 2.839 sec/game, 14.6 min. total, 564.3 MB
subarctic_cranberry v9 445 games, 393814 moves, e=0.610, loss: 4.5, -, 56.9% elo% vs. v7, avg. reward: -6.007, 2.820 sec/game, 14.7 min. total, 564.4 MB
subarctic_cranberry v9 446 games, 395051 moves, e=0.609, loss: 4.4, +, 58.8% elo% vs. v7, avg. reward: -5.988, 2.845 sec/game, 14.7 min. total, 564.4 MB
subarctic_cranberry v9 447 games, 396119 moves, e=0.608, loss: 4.1, ., 58.4% elo% vs. v7, avg. reward: -5.993, 2.834 sec/game, 14.8 min. total, 566.1 MB
subarctic_cranberry v9 448 games, 397575 moves, e=0.606, loss: 4.2, -, 55.8% elo% vs. v7, avg. reward: -5.975, 2.853 sec/game, 14.8 min. total, 568.4 MB
subarctic_cranberry v9 449 games, 398708 moves, e=0.605, loss: 3.9, +, 57.8% elo% vs. v7, avg. reward: -5.965, 2.838 sec/game, 14.9 min. total, 568.5 MB
subarctic_cranberry v9 450 games, 400012 moves, e=0.604, loss: 4.0, -, 55.2% elo% vs. v7, avg. reward: -5.944, 2.882 sec/game, 14.9 min. total, 570.6 MB
subarctic_cranberry v9 451 games, 401302 moves, e=0.603, loss: 4.8, -, 52.6% elo% vs. v7, avg. reward: -5.916, 2.899 sec/game, 15.0 min. total, 568.6 MB
subarctic_cranberry v9 452 games, 402347 moves, e=0.602, loss: 4.7, +, 54.8% elo% vs. v7, avg. reward: -5.918, 2.917 sec/game, 15.0 min. total, 571.0 MB
subarctic_cranberry v9 453 games, 403475 moves, e=0.601, loss: 4.6, +, 56.9% elo% vs. v7, avg. reward: -5.919, 2.920 sec/game, 15.1 min. total, 570.7 MB
subarctic_cranberry v9 454 games, 404696 moves, e=0.599, loss: 4.6, -, 54.3% elo% vs. v7, avg. reward: -5.918, 2.935 sec/game, 15.1 min. total, 569.2 MB
subarctic_cranberry v9 455 games, 405874 moves, e=0.598, loss: 4.8, +, 56.4% elo% vs. v7, avg. reward: -5.914, 2.918 sec/game, 15.2 min. total, 570.4 MB
subarctic_cranberry v9 456 games, 406920 moves, e=0.597, loss: 5.0, -, 53.8% elo% vs. v7, avg. reward: -5.914, 2.905 sec/game, 15.2 min. total, 572.2 MB
subarctic_cranberry v9 457 games, 407983 moves, e=0.596, loss: 5.3, -, 51.3% elo% vs. v7, avg. reward: -5.919, 2.884 sec/game, 15.3 min. total, 570.3 MB
subarctic_cranberry v9 458 games, 409111 moves, e=0.595, loss: 5.2, +, 53.6% elo% vs. v7, avg. reward: -5.916, 2.859 sec/game, 15.3 min. total, 572.8 MB
subarctic_cranberry v9 459 games, 410322 moves, e=0.594, loss: 5.3, +, 55.7% elo% vs. v7, avg. reward: -5.893, 2.877 sec/game, 15.3 min. total, 572.5 MB
subarctic_cranberry v9 460 games, 411563 moves, e=0.593, loss: 5.1, -, 53.1% elo% vs. v7, avg. reward: -5.886, 2.880 sec/game, 15.4 min. total, 573.9 MB
subarctic_cranberry v9 461 games, 412576 moves, e=0.592, loss: 5.5, ., 53.0% elo% vs. v7, avg. reward: -5.898, 2.833 sec/game, 15.4 min. total, 574.5 MB
subarctic_cranberry v9 462 games, 413732 moves, e=0.590, loss: 5.6, +, 55.1% elo% vs. v7, avg. reward: -5.887, 2.837 sec/game, 15.5 min. total, 576.2 MB
subarctic_cranberry v9 463 games, 415040 moves, e=0.589, loss: 5.1, +, 57.2% elo% vs. v7, avg. reward: -5.877, 2.853 sec/game, 15.5 min. total, 576.1 MB
subarctic_cranberry v9 464 games, 416164 moves, e=0.588, loss: 5.2, +, 59.1% elo% vs. v7, avg. reward: -5.860, 2.854 sec/game, 15.6 min. total, 574.3 MB
subarctic_cranberry v9 465 games, 417161 moves, e=0.587, loss: 4.7, +, 60.9% elo% vs. v7, avg. reward: -5.863, 2.828 sec/game, 15.6 min. total, 576.1 MB
subarctic_cranberry v9 466 games, 418379 moves, e=0.586, loss: 4.2, -, 58.2% elo% vs. v7, avg. reward: -5.868, 2.808 sec/game, 15.7 min. total, 574.6 MB
subarctic_cranberry v9 467 games, 419609 moves, e=0.585, loss: 4.3, +, 60.1% elo% vs. v7, avg. reward: -5.867, 2.833 sec/game, 15.7 min. total, 574.7 MB
subarctic_cranberry v9 468 games, 420814 moves, e=0.583, loss: 4.6, -, 57.4% elo% vs. v7, avg. reward: -5.865, 2.797 sec/game, 15.8 min. total, 576.2 MB
subarctic_cranberry v9 469 games, 421972 moves, e=0.582, loss: 4.7, -, 54.8% elo% vs. v7, avg. reward: -5.849, 2.805 sec/game, 15.8 min. total, 576.4 MB
subarctic_cranberry v9 470 games, 423188 moves, e=0.581, loss: 4.6, ., 54.6% elo% vs. v7, avg. reward: -5.841, 2.785 sec/game, 15.9 min. total, 576.6 MB
subarctic_cranberry v9 471 games, 424396 moves, e=0.580, loss: 4.3, +, 56.6% elo% vs. v7, avg. reward: -5.845, 2.770 sec/game, 15.9 min. total, 578.6 MB
subarctic_cranberry v9 472 games, 425664 moves, e=0.579, loss: 4.6, +, 58.6% elo% vs. v7, avg. reward: -5.829, 2.794 sec/game, 16.0 min. total, 576.7 MB
subarctic_cranberry v9 473 games, 426880 moves, e=0.577, loss: 4.7, -, 55.9% elo% vs. v7, avg. reward: -5.810, 2.811 sec/game, 16.0 min. total, 577.4 MB
subarctic_cranberry v9 474 games, 428083 moves, e=0.576, loss: 4.7, -, 53.4% elo% vs. v7, avg. reward: -5.804, 2.812 sec/game, 16.1 min. total, 579.6 MB
subarctic_cranberry v9 475 games, 429434 moves, e=0.575, loss: 4.7, +, 55.5% elo% vs. v7, avg. reward: -5.777, 2.828 sec/game, 16.1 min. total, 582.7 MB
subarctic_cranberry v9 476 games, 430685 moves, e=0.574, loss: 4.5, +, 57.5% elo% vs. v7, avg. reward: -5.758, 2.840 sec/game, 16.2 min. total, 580.8 MB
subarctic_cranberry v9 477 games, 431693 moves, e=0.573, loss: 4.3, ., 57.2% elo% vs. v7, avg. reward: -5.758, 2.835 sec/game, 16.2 min. total, 582.8 MB
subarctic_cranberry v9 478 games, 432947 moves, e=0.571, loss: 4.8, +, 59.1% elo% vs. v7, avg. reward: -5.748, 2.849 sec/game, 16.2 min. total, 580.7 MB
subarctic_cranberry v9 479 games, 434027 moves, e=0.570, loss: 5.1, -, 56.5% elo% vs. v7, avg. reward: -5.755, 2.845 sec/game, 16.3 min. total, 580.5 MB
subarctic_cranberry v9 480 games, 435181 moves, e=0.569, loss: 4.8, +, 58.4% elo% vs. v7, avg. reward: -5.740, 2.837 sec/game, 16.3 min. total, 580.8 MB
subarctic_cranberry v9 481 games, 436374 moves, e=0.568, loss: 4.6, -, 55.8% elo% vs. v7, avg. reward: -5.723, 2.870 sec/game, 16.4 min. total, 582.1 MB
subarctic_cranberry v9 482 games, 437661 moves, e=0.567, loss: 4.7, -, 53.2% elo% vs. v7, avg. reward: -5.711, 2.874 sec/game, 16.4 min. total, 582.6 MB
subarctic_cranberry v9 483 games, 438784 moves, e=0.566, loss: 5.3, +, 55.4% elo% vs. v7, avg. reward: -5.702, 2.859 sec/game, 16.5 min. total, 584.5 MB
subarctic_cranberry v9 484 games, 439925 moves, e=0.564, loss: 5.5, +, 57.4% elo% vs. v7, avg. reward: -5.681, 2.847 sec/game, 16.5 min. total, 582.6 MB
subarctic_cranberry v9 485 games, 441117 moves, e=0.563, loss: 5.6, -, 54.8% elo% vs. v7, avg. reward: -5.680, 2.870 sec/game, 16.6 min. total, 582.2 MB
