pushchair_marxism v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.4 MB
pushchair_marxism v3 34 games, 23791 moves, e=0.976, loss: 35481.0, -, 31.9% elo% vs. random_no_suicide, avg. reward: 24.008, 1.560 sec/game, 0.6 min. total, 469.7 MB
pushchair_marxism v3 35 games, 24568 moves, e=0.976, loss: 37517.6, -, 30.6% elo% vs. random_no_suicide, avg. reward: 23.067, 1.561 sec/game, 0.6 min. total, 469.9 MB
pushchair_marxism v3 36 games, 25361 moves, e=0.975, loss: 27660.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: 23.230, 1.602 sec/game, 0.6 min. total, 470.8 MB
pushchair_marxism v3 37 games, 26100 moves, e=0.974, loss: 31465.0, -, 28.3% elo% vs. random_no_suicide, avg. reward: 23.442, 1.592 sec/game, 0.6 min. total, 471.6 MB
pushchair_marxism v3 38 games, 26835 moves, e=0.973, loss: 30496.9, -, 27.3% elo% vs. random_no_suicide, avg. reward: 23.284, 1.617 sec/game, 0.7 min. total, 473.7 MB
pushchair_marxism v3 39 games, 27435 moves, e=0.973, loss: 32608.4, -, 26.3% elo% vs. random_no_suicide, avg. reward: 23.665, 1.608 sec/game, 0.7 min. total, 473.8 MB
pushchair_marxism v3 40 games, 28178 moves, e=0.972, loss: 36221.5, -, 25.4% elo% vs. random_no_suicide, avg. reward: 23.849, 1.621 sec/game, 0.7 min. total, 473.7 MB
pushchair_marxism v3 41 games, 28906 moves, e=0.971, loss: 35094.6, -, 24.5% elo% vs. random_no_suicide, avg. reward: 23.034, 1.612 sec/game, 0.8 min. total, 473.9 MB
pushchair_marxism v3 42 games, 29589 moves, e=0.971, loss: 38114.6, -, 23.7% elo% vs. random_no_suicide, avg. reward: 23.283, 1.613 sec/game, 0.8 min. total, 474.3 MB
pushchair_marxism v3 43 games, 30299 moves, e=0.970, loss: 41215.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: 23.495, 1.616 sec/game, 0.8 min. total, 474.1 MB
pushchair_marxism v3 44 games, 31091 moves, e=0.969, loss: 37856.3, -, 22.2% elo% vs. random_no_suicide, avg. reward: 22.757, 1.641 sec/game, 0.8 min. total, 474.4 MB
pushchair_marxism v3 45 games, 31937 moves, e=0.968, loss: 38073.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: 23.123, 1.665 sec/game, 0.9 min. total, 474.6 MB
pushchair_marxism v3 46 games, 32631 moves, e=0.968, loss: 39869.6, -, 20.8% elo% vs. random_no_suicide, avg. reward: 23.025, 1.654 sec/game, 0.9 min. total, 475.1 MB
pushchair_marxism v3 47 games, 33487 moves, e=0.967, loss: 36987.4, -, 20.2% elo% vs. random_no_suicide, avg. reward: 23.608, 1.682 sec/game, 0.9 min. total, 475.1 MB
pushchair_marxism v3 48 games, 34234 moves, e=0.966, loss: 35977.5, -, 19.6% elo% vs. random_no_suicide, avg. reward: 24.040, 1.698 sec/game, 1.0 min. total, 476.0 MB
pushchair_marxism v3 49 games, 34936 moves, e=0.965, loss: 36654.8, -, 19.0% elo% vs. random_no_suicide, avg. reward: 24.217, 1.673 sec/game, 1.0 min. total, 476.7 MB
pushchair_marxism v3 50 games, 35646 moves, e=0.965, loss: 40220.7, -, 18.5% elo% vs. random_no_suicide, avg. reward: 24.956, 1.683 sec/game, 1.0 min. total, 476.9 MB
pushchair_marxism v3 51 games, 36426 moves, e=0.964, loss: 42049.4, -, 18.0% elo% vs. random_no_suicide, avg. reward: 25.299, 1.699 sec/game, 1.0 min. total, 477.1 MB
pushchair_marxism v3 52 games, 37123 moves, e=0.963, loss: 41866.1, -, 17.5% elo% vs. random_no_suicide, avg. reward: 25.724, 1.699 sec/game, 1.1 min. total, 477.1 MB
pushchair_marxism v3 53 games, 37760 moves, e=0.963, loss: 44240.1, -, 17.0% elo% vs. random_no_suicide, avg. reward: 26.818, 1.684 sec/game, 1.1 min. total, 477.1 MB
pushchair_marxism v3 54 games, 38547 moves, e=0.962, loss: 44412.4, -, 16.6% elo% vs. random_no_suicide, avg. reward: 26.158, 1.698 sec/game, 1.1 min. total, 477.0 MB
pushchair_marxism v3 55 games, 39142 moves, e=0.961, loss: 41144.1, -, 16.2% elo% vs. random_no_suicide, avg. reward: 25.467, 1.670 sec/game, 1.1 min. total, 477.0 MB
pushchair_marxism v3 56 games, 39805 moves, e=0.961, loss: 46316.6, -, 15.8% elo% vs. random_no_suicide, avg. reward: 24.819, 1.646 sec/game, 1.2 min. total, 477.1 MB
pushchair_marxism v3 57 games, 40579 moves, e=0.960, loss: 45917.2, -, 15.4% elo% vs. random_no_suicide, avg. reward: 24.906, 1.679 sec/game, 1.2 min. total, 477.3 MB
pushchair_marxism v3 58 games, 41317 moves, e=0.959, loss: 48271.5, -, 15.0% elo% vs. random_no_suicide, avg. reward: 25.485, 1.664 sec/game, 1.2 min. total, 477.4 MB
pushchair_marxism v3 59 games, 41995 moves, e=0.958, loss: 52129.4, -, 14.7% elo% vs. random_no_suicide, avg. reward: 24.875, 1.676 sec/game, 1.3 min. total, 478.4 MB
pushchair_marxism v3 60 games, 42602 moves, e=0.958, loss: 47020.2, -, 14.3% elo% vs. random_no_suicide, avg. reward: 24.265, 1.658 sec/game, 1.3 min. total, 478.0 MB
pushchair_marxism v3 61 games, 43357 moves, e=0.957, loss: 42683.4, -, 14.0% elo% vs. random_no_suicide, avg. reward: 23.710, 1.672 sec/game, 1.3 min. total, 477.9 MB
pushchair_marxism v3 62 games, 44158 moves, e=0.956, loss: 34801.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: 23.791, 1.676 sec/game, 1.3 min. total, 478.1 MB
pushchair_marxism v3 63 games, 44830 moves, e=0.956, loss: 39509.1, -, 13.4% elo% vs. random_no_suicide, avg. reward: 23.953, 1.686 sec/game, 1.4 min. total, 478.3 MB
pushchair_marxism v3 64 games, 45567 moves, e=0.955, loss: 40203.5, -, 13.1% elo% vs. random_no_suicide, avg. reward: 23.427, 1.668 sec/game, 1.4 min. total, 478.5 MB
pushchair_marxism v3 65 games, 46254 moves, e=0.954, loss: 36846.9, -, 12.9% elo% vs. random_no_suicide, avg. reward: 22.908, 1.656 sec/game, 1.4 min. total, 478.5 MB
pushchair_marxism v3 66 games, 46853 moves, e=0.954, loss: 37084.2, -, 12.6% elo% vs. random_no_suicide, avg. reward: 22.629, 1.654 sec/game, 1.5 min. total, 478.6 MB
pushchair_marxism v3 67 games, 47548 moves, e=0.953, loss: 36033.4, -, 12.3% elo% vs. random_no_suicide, avg. reward: 22.783, 1.632 sec/game, 1.5 min. total, 478.6 MB
pushchair_marxism v3 68 games, 48227 moves, e=0.952, loss: 27864.3, -, 12.1% elo% vs. random_no_suicide, avg. reward: 22.727, 1.623 sec/game, 1.5 min. total, 479.1 MB
pushchair_marxism v3 69 games, 48987 moves, e=0.952, loss: 24010.4, -, 11.9% elo% vs. random_no_suicide, avg. reward: 22.642, 1.640 sec/game, 1.5 min. total, 479.9 MB
pushchair_marxism v3 70 games, 49613 moves, e=0.951, loss: 26728.0, -, 11.6% elo% vs. random_no_suicide, avg. reward: 22.156, 1.634 sec/game, 1.6 min. total, 479.2 MB
pushchair_marxism v3 71 games, 50267 moves, e=0.950, loss: 25802.2, -, 11.4% elo% vs. random_no_suicide, avg. reward: 21.688, 1.621 sec/game, 1.6 min. total, 479.3 MB
