pushchair_marxism v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.4 MB
pushchair_marxism v3 144 games, 104946 moves, e=0.896, loss: 29993.8, -, 4.7% elo% vs. random_no_suicide, avg. reward: 19.140, 1.842 sec/game, 3.8 min. total, 497.2 MB
pushchair_marxism v3 145 games, 105760 moves, e=0.895, loss: 33255.9, -, 4.7% elo% vs. random_no_suicide, avg. reward: 19.154, 1.843 sec/game, 3.8 min. total, 497.2 MB
pushchair_marxism v3 146 games, 106492 moves, e=0.895, loss: 39691.7, -, 4.6% elo% vs. random_no_suicide, avg. reward: 19.284, 1.845 sec/game, 3.8 min. total, 497.3 MB
pushchair_marxism v3 147 games, 107259 moves, e=0.894, loss: 33067.7, -, 4.6% elo% vs. random_no_suicide, avg. reward: 19.209, 1.848 sec/game, 3.9 min. total, 497.2 MB
pushchair_marxism v3 148 games, 108098 moves, e=0.893, loss: 43384.7, -, 4.5% elo% vs. random_no_suicide, avg. reward: 19.402, 1.886 sec/game, 3.9 min. total, 497.4 MB
pushchair_marxism v3 149 games, 108861 moves, e=0.892, loss: 39757.6, -, 4.5% elo% vs. random_no_suicide, avg. reward: 18.984, 1.872 sec/game, 4.0 min. total, 497.4 MB
pushchair_marxism v3 150 games, 109594 moves, e=0.892, loss: 38977.2, -, 4.5% elo% vs. random_no_suicide, avg. reward: 18.275, 1.881 sec/game, 4.0 min. total, 497.6 MB
pushchair_marxism v3 151 games, 110440 moves, e=0.891, loss: 44076.3, -, 4.4% elo% vs. random_no_suicide, avg. reward: 18.121, 1.899 sec/game, 4.0 min. total, 498.3 MB
pushchair_marxism v3 152 games, 111211 moves, e=0.890, loss: 40698.6, -, 4.4% elo% vs. random_no_suicide, avg. reward: 18.076, 1.897 sec/game, 4.0 min. total, 500.4 MB
pushchair_marxism v3 153 games, 111935 moves, e=0.889, loss: 41977.5, -, 4.4% elo% vs. random_no_suicide, avg. reward: 17.556, 1.910 sec/game, 4.1 min. total, 500.0 MB
pushchair_marxism v3 154 games, 112680 moves, e=0.888, loss: 48205.0, -, 4.3% elo% vs. random_no_suicide, avg. reward: 18.089, 1.912 sec/game, 4.1 min. total, 500.0 MB
pushchair_marxism v3 155 games, 113490 moves, e=0.888, loss: 43964.7, -, 4.3% elo% vs. random_no_suicide, avg. reward: 18.866, 1.915 sec/game, 4.1 min. total, 500.1 MB
pushchair_marxism v3 156 games, 114286 moves, e=0.887, loss: 48297.1, -, 4.3% elo% vs. random_no_suicide, avg. reward: 19.516, 1.908 sec/game, 4.2 min. total, 500.1 MB
pushchair_marxism v3 157 games, 115136 moves, e=0.886, loss: 48218.8, -, 4.2% elo% vs. random_no_suicide, avg. reward: 19.135, 1.925 sec/game, 4.2 min. total, 500.1 MB
pushchair_marxism v3 158 games, 115984 moves, e=0.885, loss: 50050.8, -, 4.2% elo% vs. random_no_suicide, avg. reward: 18.466, 1.932 sec/game, 4.3 min. total, 500.3 MB
pushchair_marxism v3 159 games, 116604 moves, e=0.885, loss: 48602.6, -, 4.2% elo% vs. random_no_suicide, avg. reward: 19.102, 1.901 sec/game, 4.3 min. total, 500.3 MB
pushchair_marxism v3 160 games, 117426 moves, e=0.884, loss: 48908.6, -, 4.1% elo% vs. random_no_suicide, avg. reward: 19.622, 1.916 sec/game, 4.3 min. total, 500.3 MB
pushchair_marxism v3 161 games, 118213 moves, e=0.883, loss: 48219.3, -, 4.1% elo% vs. random_no_suicide, avg. reward: 20.137, 1.921 sec/game, 4.3 min. total, 500.5 MB
pushchair_marxism v3 162 games, 119022 moves, e=0.882, loss: 48690.6, -, 4.1% elo% vs. random_no_suicide, avg. reward: 20.385, 1.939 sec/game, 4.4 min. total, 501.4 MB
pushchair_marxism v3 163 games, 119791 moves, e=0.881, loss: 49836.7, -, 4.1% elo% vs. random_no_suicide, avg. reward: 20.475, 1.934 sec/game, 4.4 min. total, 501.6 MB
pushchair_marxism v3 164 games, 120622 moves, e=0.881, loss: 47003.0, -, 4.0% elo% vs. random_no_suicide, avg. reward: 20.489, 1.964 sec/game, 4.4 min. total, 501.3 MB
pushchair_marxism v3 165 games, 121422 moves, e=0.880, loss: 43919.2, -, 4.0% elo% vs. random_no_suicide, avg. reward: 21.258, 1.954 sec/game, 4.5 min. total, 501.4 MB
pushchair_marxism v3 166 games, 122267 moves, e=0.879, loss: 45872.1, -, 4.0% elo% vs. random_no_suicide, avg. reward: 21.606, 1.981 sec/game, 4.5 min. total, 501.7 MB
pushchair_marxism v3 167 games, 123008 moves, e=0.878, loss: 48267.7, -, 3.9% elo% vs. random_no_suicide, avg. reward: 21.723, 1.976 sec/game, 4.5 min. total, 501.6 MB
pushchair_marxism v3 168 games, 123776 moves, e=0.877, loss: 48618.5, -, 3.9% elo% vs. random_no_suicide, avg. reward: 21.441, 1.955 sec/game, 4.6 min. total, 501.4 MB
pushchair_marxism v3 169 games, 124820 moves, e=0.876, loss: 39289.3, -, 3.9% elo% vs. random_no_suicide, avg. reward: 21.591, 1.986 sec/game, 4.6 min. total, 501.7 MB
pushchair_marxism v3 170 games, 125695 moves, e=0.876, loss: 39792.7, -, 3.9% elo% vs. random_no_suicide, avg. reward: 22.197, 1.990 sec/game, 4.6 min. total, 502.6 MB
pushchair_marxism v3 171 games, 126379 moves, e=0.875, loss: 46565.1, -, 3.8% elo% vs. random_no_suicide, avg. reward: 22.493, 1.984 sec/game, 4.7 min. total, 504.1 MB
pushchair_marxism v3 172 games, 127162 moves, e=0.874, loss: 50979.4, -, 3.8% elo% vs. random_no_suicide, avg. reward: 22.111, 1.991 sec/game, 4.7 min. total, 504.1 MB
pushchair_marxism v3 173 games, 127828 moves, e=0.873, loss: 46878.7, -, 3.8% elo% vs. random_no_suicide, avg. reward: 22.548, 1.967 sec/game, 4.7 min. total, 504.3 MB
pushchair_marxism v3 174 games, 128620 moves, e=0.873, loss: 47742.4, -, 3.8% elo% vs. random_no_suicide, avg. reward: 22.754, 1.969 sec/game, 4.8 min. total, 504.0 MB
pushchair_marxism v3 175 games, 129474 moves, e=0.872, loss: 46502.5, -, 3.7% elo% vs. random_no_suicide, avg. reward: 23.001, 1.983 sec/game, 4.8 min. total, 504.1 MB
pushchair_marxism v3 176 games, 130181 moves, e=0.871, loss: 44377.2, -, 3.7% elo% vs. random_no_suicide, avg. reward: 23.419, 1.980 sec/game, 4.8 min. total, 504.5 MB
pushchair_marxism v3 177 games, 131016 moves, e=0.870, loss: 46974.9, -, 3.7% elo% vs. random_no_suicide, avg. reward: 24.132, 1.980 sec/game, 4.9 min. total, 504.9 MB
pushchair_marxism v3 178 games, 131752 moves, e=0.870, loss: 38451.6, -, 3.7% elo% vs. random_no_suicide, avg. reward: 23.926, 1.975 sec/game, 4.9 min. total, 504.6 MB
pushchair_marxism v3 179 games, 132458 moves, e=0.869, loss: 40367.8, -, 3.6% elo% vs. random_no_suicide, avg. reward: 23.422, 1.998 sec/game, 4.9 min. total, 504.4 MB
pushchair_marxism v3 180 games, 133190 moves, e=0.868, loss: 37969.3, -, 3.6% elo% vs. random_no_suicide, avg. reward: 23.025, 1.991 sec/game, 5.0 min. total, 504.9 MB
pushchair_marxism v3 181 games, 134003 moves, e=0.867, loss: 37688.2, -, 3.6% elo% vs. random_no_suicide, avg. reward: 22.848, 1.993 sec/game, 5.0 min. total, 506.8 MB
pushchair_marxism v3 182 games, 134708 moves, e=0.867, loss: 42772.2, -, 3.6% elo% vs. random_no_suicide, avg. reward: 22.595, 2.000 sec/game, 5.0 min. total, 506.6 MB
pushchair_marxism v3 183 games, 135332 moves, e=0.866, loss: 38132.0, -, 3.5% elo% vs. random_no_suicide, avg. reward: 22.139, 1.988 sec/game, 5.1 min. total, 506.6 MB
pushchair_marxism v3 184 games, 136191 moves, e=0.865, loss: 35752.6, -, 3.5% elo% vs. random_no_suicide, avg. reward: 22.119, 1.976 sec/game, 5.1 min. total, 506.7 MB
pushchair_marxism v3 185 games, 136947 moves, e=0.864, loss: 37833.2, -, 3.5% elo% vs. random_no_suicide, avg. reward: 21.986, 1.979 sec/game, 5.1 min. total, 509.2 MB
pushchair_marxism v3 186 games, 137786 moves, e=0.864, loss: 37483.3, -, 3.5% elo% vs. random_no_suicide, avg. reward: 21.991, 1.982 sec/game, 5.2 min. total, 506.8 MB
pushchair_marxism v3 187 games, 138519 moves, e=0.863, loss: 33447.1, -, 3.5% elo% vs. random_no_suicide, avg. reward: 22.021, 1.983 sec/game, 5.2 min. total, 506.8 MB
pushchair_marxism v3 188 games, 139292 moves, e=0.862, loss: 30993.9, -, 3.4% elo% vs. random_no_suicide, avg. reward: 22.405, 1.989 sec/game, 5.2 min. total, 506.7 MB
pushchair_marxism v3 189 games, 140031 moves, e=0.861, loss: 34208.7, -, 3.4% elo% vs. random_no_suicide, avg. reward: 22.687, 1.947 sec/game, 5.3 min. total, 507.2 MB
pushchair_marxism v3 190 games, 140825 moves, e=0.861, loss: 41302.7, -, 3.4% elo% vs. random_no_suicide, avg. reward: 22.741, 1.958 sec/game, 5.3 min. total, 507.7 MB
pushchair_marxism v3 191 games, 141533 moves, e=0.860, loss: 40202.2, -, 3.4% elo% vs. random_no_suicide, avg. reward: 23.015, 1.950 sec/game, 5.3 min. total, 507.8 MB
pushchair_marxism v3 192 games, 142421 moves, e=0.859, loss: 37474.9, +, 4.0% elo% vs. random_no_suicide, avg. reward: 23.030, 1.959 sec/game, 5.4 min. total, 508.1 MB
